STE_CODE_2021,C21_OD_H_f_so_FH_Tot,C21_OD_H_f_so_LP_H,C21_OD_H_f_so_GH,C21_OD_H_f_so_OH,C21_OD_H_f_so_Tot,C21_OD_Tot_FH_CF_no_ch,C21_OD_Tot_FH_CF_w_ch,C21_OD_Tot_FH_One_PFam,C21_OD_Tot_FH_oth_fa,C21_OD_Tot_FH_Tot,C21_OD_Tot_LP_H,C21_OD_Tot_GH,C21_OD_Tot_OH,C21_OD_Tot_Tot,C21_DS_ns_FH_CF_no_ch,C21_DS_ns_FH_CF_w_ch,C21_DS_ns_FH_One_PFam,C21_DS_ns_FH_oth_fa,C21_DS_ns_FH_Tot,C21_DS_ns_LP_H,C21_DS_ns_GH,C21_DS_ns_OH,C21_DS_NS_Tot,C21_Tot_FH_CF_no_ch,C21_Tot_FH_CF_w_ch,C21_Tot_FH_One_PFam,C21_Tot_FH_oth_fa,C21_Tot_FH_Tot,C21_Tot_LP_H,C21_Tot_GH,C21_Tot_OH,C21_Tot_Tot
1,4669,3377,1019,1074,10138,4518,1973,1386,276,8158,9826,1387,8158,27528,1644,1359,547,78,3629,3685,446,1871,9619,763210,942246,325593,34063,2065107,723716,111646,157794,3058269
2,2275,2002,510,467,5256,2330,856,563,106,3853,5931,670,4544,15003,678,515,209,35,1440,1328,211,689,3671,617485,775064,254710,28870,1676129,619542,94559,117400,2507636
3,721,453,95,276,1548,3511,837,695,90,5131,7909,483,21211,34731,1531,825,423,57,2830,2822,292,4740,10687,526638,557290,221718,22225,1327873,461009,80576,128570,1998032
4,381,282,49,106,815,697,242,139,20,1102,1513,148,3209,5978,433,287,138,18,876,896,110,963,2844,190558,194316,77808,7821,470498,197272,23542,31840,723158
5,422,252,60,184,918,1701,383,233,42,2360,3313,188,14873,20731,487,321,125,24,959,1002,69,2068,4092,261958,311151,102909,10932,686949,245193,32591,65029,1029762
6,232,166,46,57,503,357,126,87,13,590,725,74,819,2208,117,81,27,6,229,237,15,143,631,65024,55040,25430,2128,147619,63360,7429,11013,229427
7,37,18,5,23,83,380,104,51,14,546,597,36,6476,7652,149,73,47,5,284,356,25,1366,2024,17283,23087,8756,1113,50246,16814,3605,14713,85374
8,8,3,4,0,15,25,15,14,6,57,92,11,201,367,47,38,18,3,107,90,15,62,275,45194,53911,16336,1768,117214,43338,7850,6575,174972
9,3,0,0,0,3,3,0,0,0,5,0,0,3,9,7,0,0,0,10,13,0,17,41,459,405,136,20,1008,492,28,268,1805
