STE_CODE_2021,C11_AP_15_19_NCB_0,C11_AP_15_19_NCB_1,C11_AP_15_19_NCB_2,C11_AP_15_19_NCB_3,C11_AP_15_19_NCB_4,C11_AP_15_19_NCB_5,C11_AP_15_19_NCB_6mor,C11_AP_15_19_NCB_NS,C11_AP_15_19_Tot,C11_AP_20_24_NCB_0,C11_AP_20_24_NCB_1,C11_AP_20_24_NCB_2,C11_AP_20_24_NCB_3,C11_AP_20_24_NCB_4,C11_AP_20_24_NCB_5,C11_AP_20_24_NCB_6mor,C11_AP_20_24_NCB_NS,C11_AP_20_24_Tot,C11_AP_25_29_NCB_0,C11_AP_25_29_NCB_1,C11_AP_25_29_NCB_2,C11_AP_25_29_NCB_3,C11_AP_25_29_NCB_4,C11_AP_25_29_NCB_5,C11_AP_25_29_NCB_6mor,C11_AP_25_29_NCB_NS,C11_AP_25_29_Tot,C11_AP_30_34_NCB_0,C11_AP_30_34_NCB_1,C11_AP_30_34_NCB_2,C11_AP_30_34_NCB_3,C11_AP_30_34_NCB_4,C11_AP_30_34_NCB_5,C11_AP_30_34_NCB_6mor,C11_AP_30_34_NCB_NS,C11_AP_30_34_Tot,C11_AP_35_39_NCB_0,C11_AP_35_39_NCB_1,C11_AP_35_39_NCB_2,C11_AP_35_39_NCB_3,C11_AP_35_39_NCB_4,C11_AP_35_39_NCB_5,C11_AP_35_39_NCB_6mor,C11_AP_35_39_NCB_NS,C11_AP_35_39_Tot,C11_AP_40_44_NCB_0,C11_AP_40_44_NCB_1,C11_AP_40_44_NCB_2,C11_AP_40_44_NCB_3,C11_AP_40_44_NCB_4,C11_AP_40_44_NCB_5,C11_AP_40_44_NCB_6mor,C11_AP_40_44_NCB_NS,C11_AP_40_44_Tot,C11_AP_45_49_NCB_0,C11_AP_45_49_NCB_1,C11_AP_45_49_NCB_2,C11_AP_45_49_NCB_3,C11_AP_45_49_NCB_4,C11_AP_45_49_NCB_5,C11_AP_45_49_NCB_6mor,C11_AP_45_49_NCB_NS,C11_AP_45_49_Tot,C11_AP_50_54_NCB_0,C11_AP_50_54_NCB_1,C11_AP_50_54_NCB_2,C11_AP_50_54_NCB_3,C11_AP_50_54_NCB_4,C11_AP_50_54_NCB_5,C11_AP_50_54_NCB_6mor,C11_AP_50_54_NCB_NS,C11_AP_50_54_Tot,C11_AP_55_59_NCB_0,C11_AP_55_59_NCB_1,C11_AP_55_59_NCB_2,C11_AP_55_59_NCB_3,C11_AP_55_59_NCB_4,C11_AP_55_59_NCB_5,C11_AP_55_59_NCB_6mor,C11_AP_55_59_NCB_NS,C11_AP_55_59_Tot,C11_AP_60_64_NCB_0,C11_AP_60_64_NCB_1,C11_AP_60_64_NCB_2,C11_AP_60_64_NCB_3,C11_AP_60_64_NCB_4,C11_AP_60_64_NCB_5,C11_AP_60_64_NCB_6mor,C11_AP_60_64_NCB_NS,C11_AP_60_64_Tot,C11_AP_65_69_NCB_0,C11_AP_65_69_NCB_1,C11_AP_65_69_NCB_2,C11_AP_65_69_NCB_3,C11_AP_65_69_NCB_4,C11_AP_65_69_NCB_5,C11_AP_65_69_NCB_6mor,C11_AP_65_69_NCB_NS,C11_AP_65_69_Tot,C11_AP_70_74_NCB_0,C11_AP_70_74_NCB_1,C11_AP_70_74_NCB_2,C11_AP_70_74_NCB_3,C11_AP_70_74_NCB_4,C11_AP_70_74_NCB_5,C11_AP_70_74_NCB_6mor,C11_AP_70_74_NCB_NS,C11_AP_70_74_Tot,C11_AP_75_79_NCB_0,C11_AP_75_79_NCB_1,C11_AP_75_79_NCB_2,C11_AP_75_79_NCB_3,C11_AP_75_79_NCB_4,C11_AP_75_79_NCB_5,C11_AP_75_79_NCB_6mor,C11_AP_75_79_NCB_NS,C11_AP_75_79_Tot,C11_AP_80_84_NCB_0,C11_AP_80_84_NCB_1,C11_AP_80_84_NCB_2,C11_AP_80_84_NCB_3,C11_AP_80_84_NCB_4,C11_AP_80_84_NCB_5,C11_AP_80_84_NCB_6mor,C11_AP_80_84_NCB_NS,C11_AP_80_84_Tot,C11_AP_85over_N_c_b_0,C11_AP_85over_N_c_b_1,C11_AP_85over_N_c_b_2,C11_AP_85over_N_c_b_3,C11_AP_85over_N_c_b_4,C11_AP_85over_N_c_b_5,C11_AP_85over_N_c_b_6mor,C11_AP_85over_N_c_b_NS,C11_AP_85over_Tot,C11_AP_Tot_NCB_0,C11_AP_Tot_NCB_1,C11_AP_Tot_NCB_2,C11_AP_Tot_NCB_3,C11_AP_Tot_NCB_4,C11_AP_Tot_NCB_5,C11_AP_Tot_N_c_b_6mor,C11_AP_Tot_NCB_NS,C11_AP_Tot_Tot,C16_AP_15_19_NCB_0,C16_AP_15_19_NCB_1,C16_AP_15_19_NCB_2,C16_AP_15_19_NCB_3,C16_AP_15_19_NCB_4,C16_AP_15_19_NCB_5,C16_AP_15_19_NCB_6mor,C16_AP_15_19_NCB_NS,C16_AP_15_19_Tot,C16_AP_20_24_NCB_0,C16_AP_20_24_NCB_1,C16_AP_20_24_NCB_2,C16_AP_20_24_NCB_3,C16_AP_20_24_NCB_4,C16_AP_20_24_NCB_5,C16_AP_20_24_NCB_6mor,C16_AP_20_24_NCB_NS,C16_AP_20_24_Tot,C16_AP_25_29_NCB_0,C16_AP_25_29_NCB_1,C16_AP_25_29_NCB_2,C16_AP_25_29_NCB_3,C16_AP_25_29_NCB_4,C16_AP_25_29_NCB_5,C16_AP_25_29_NCB_6mor,C16_AP_25_29_NCB_NS,C16_AP_25_29_Tot,C16_AP_30_34_NCB_0,C16_AP_30_34_NCB_1,C16_AP_30_34_NCB_2,C16_AP_30_34_NCB_3,C16_AP_30_34_NCB_4,C16_AP_30_34_NCB_5,C16_AP_30_34_NCB_6mor,C16_AP_30_34_NCB_NS,C16_AP_30_34_Tot,C16_AP_35_39_NCB_0,C16_AP_35_39_NCB_1,C16_AP_35_39_NCB_2,C16_AP_35_39_NCB_3,C16_AP_35_39_NCB_4,C16_AP_35_39_NCB_5,C16_AP_35_39_NCB_6mor,C16_AP_35_39_NCB_NS,C16_AP_35_39_Tot,C16_AP_40_44_NCB_0,C16_AP_40_44_NCB_1,C16_AP_40_44_NCB_2,C16_AP_40_44_NCB_3,C16_AP_40_44_NCB_4,C16_AP_40_44_NCB_5,C16_AP_40_44_NCB_6mor,C16_AP_40_44_NCB_NS,C16_AP_40_44_Tot,C16_AP_45_49_NCB_0,C16_AP_45_49_NCB_1
1,192135,2982,417,99,55,11,59,19424,215191,180139,17376,7251,1710,365,90,97,15702,222734,149282,36933,25126,9020,2567,722,378,15447,239470,87893,48482,54452,22694,7421,2186,1250,13335,237725,51902,40263,83722,41061,13440,3923,2516,12377,249209,39700,34420,90049,48096,16506,4998,3250,11594,248612,36266,32288,88843,49653,17779,5199,3346,11184,244552,33379,29707,84129,51846,19530,5642,3335,11129,238695,27488,24567,75076,48769,18864,5422,3139,10180,213510,22181,19680,71359,46704,18380,5468,3270,9610,196650,15569,13456,51984,37868,16920,5567,3808,8495,153660,11270,9302,35250,30438,16662,6598,5586,7825,122937,8913,7641,24611,23225,14432,6657,6727,7780,99984,7963,7465,20562,18030,11518,5669,6335,8526,86073,9092,10149,22197,16458,9733,4777,5521,13923,91852,873174,334705,735032,445676,184169,62937,48620,176529,2860846,190014,2039,308,71,21,10,62,25783,218317,193991,15084,6435,1453,256,67,92,23801,241183,169392,37226,24549,8314,2215,598,315,23972,266577,104271,58488,58765,22404,6939,2031,1095,20383,274379,54143,43880,82118,37351,12454,3761,2369,16286,252362,40507,36119,92423,47234,16162,4938,3342,15549,256266,37179,34794
2,151521,1586,278,82,34,13,55,14756,168331,155883,11133,4215,908,170,46,100,11970,184420,132762,27902,16376,5381,1484,356,155,11162,195579,77789,39579,40666,14758,4301,1238,689,9199,188222,45470,32643,66674,30251,8693,2488,1498,8419,196141,34430,27391,76143,38274,11663,3166,2061,8266,201393,29383,23806,71132,39697,12841,3425,2173,7828,190280,25836,20819,66023,40695,14202,3634,2222,7557,180992,20526,17391,59731,38126,13825,3760,2092,6944,162402,15681,13929,55824,37344,14449,4181,2315,6892,150621,10216,9042,38988,29640,13277,4517,3020,6191,114897,7403,6350,25987,23551,13281,5361,4554,5933,92419,5832,5378,18557,17936,11515,5290,5546,5809,75862,5320,5377,15210,13896,9119,4529,5185,6496,65123,6298,6972,16578,12824,7693,3782,4327,10242,68729,724354,249309,572374,343380,136550,45793,36002,127663,2235416,152012,1033,165,33,19,10,41,21174,174492,169367,10035,3833,815,150,33,69,19761,204064,150501,29864,16723,5178,1359,314,193,19582,223709,93229,50535,46419,15139,4388,1257,720,16634,228324,47933,36488,67712,27350,7963,2282,1596,12782,204109,35771,29921,75282,36177,10880,3228,2284,12283,205829,32299,27949
3,127541,3081,438,81,34,15,49,12246,143492,112664,15097,6579,1650,372,64,77,9772,146281,86385,25754,19400,7486,2396,715,347,8884,151374,48032,28489,36225,16172,5716,1896,1157,7765,145455,29830,24700,53115,26917,9499,3131,2281,7539,157017,24386,21445,57418,31036,11396,3661,2727,7583,159655,21879,19016,54928,32227,12309,3943,2628,7156,154088,18823,16324,51071,33598,13344,3922,2441,6953,146484,15295,13450,45890,30940,12636,3751,2261,6245,130475,12322,11391,43253,29709,12602,3760,2366,5988,121400,8902,7763,29512,23431,11193,4083,2715,5050,92641,6225,4873,17508,17185,10564,4625,3647,4511,69142,4468,3624,11043,11904,8394,4293,4173,4422,52328,3757,3430,8946,8897,6323,3485,3760,4820,43419,3903,4364,9297,7908,5295,2834,3146,8406,45151,524426,202807,444638,279147,122076,44178,33787,107337,1758403,126669,1945,279,54,31,15,33,16061,145089,121344,13292,6030,1459,307,46,95,15013,157576,93486,25549,19230,7041,2134,590,294,14296,162626,56049,33577,39529,16320,5488,1794,1157,12302,166218,30742,25177,51132,24436,8869,2951,2218,10260,155777,24848,23044,58249,30521,11164,3757,3019,10596,165198,23587,21989
4,45311,812,108,30,16,4,18,3870,50165,42022,4414,1867,429,78,22,25,2756,51609,31493,9119,6260,2105,585,157,69,2317,52099,16465,10620,12615,5046,1475,479,256,1951,48906,10129,8796,19151,8496,2571,784,506,1916,52359,8900,8065,21862,10889,3331,899,690,2003,56644,8721,7471,22064,11198,3758,1111,700,2001,57015,8091,6731,22167,11930,4071,1149,612,1987,56736,6649,5899,20934,11374,3912,982,510,1867,52126,5189,4982,20436,11643,3927,1042,536,1990,49739,3403,3069,14423,10032,3872,1168,717,1664,38345,2298,2059,9019,8328,4487,1684,1141,1716,30738,1732,1712,6155,6365,4141,1785,1518,1707,25119,1660,1815,5345,5079,3387,1677,1624,2051,22635,2087,2470,6081,4989,3030,1487,1434,3569,25142,194155,78025,188493,107935,42642,14428,10356,33357,669385,43413,457,84,22,9,3,9,5166,49169,43021,3557,1578,293,69,10,26,4214,52766,33199,8553,5876,1844,519,136,78,3652,53851,19298,12487,13810,4908,1478,476,288,3229,55983,10161,8977,18183,7987,2380,770,535,2701,51697,8142,7927,20575,9525,3092,971,698,2655,53580,8447,7925
5,63762,1297,174,29,27,13,25,6416,71739,60375,6969,3039,721,139,32,47,5498,76820,48580,13045,9522,3198,942,236,124,5508,81148,27013,15564,18606,7362,2537,732,446,4728,76982,15516,12612,28231,13125,4055,1237,888,4537,80199,12377,10958,31548,15834,5236,1594,1110,4365,83021,10784,9391,29787,16938,5835,1663,1058,3905,79364,9087,7883,27897,17351,6345,1778,1004,3713,75058,7238,6657,25219,16252,6074,1588,968,3342,67336,5348,5276,22920,14982,5752,1552,863,3067,59770,3368,3217,14761,11480,5139,1544,956,2294,42761,2382,2163,9044,9401,5394,1986,1427,2153,33950,1784,1551,5907,6778,4698,2175,1694,2176,26761,1430,1418,4652,4935,3595,1719,1681,2227,21647,1640,1963,4894,4349,2996,1423,1482,3545,22293,270682,99963,236195,142740,58743,19274,13771,57481,898860,63602,767,94,24,5,8,17,8368,72881,60848,6080,2434,507,116,22,39,7727,77773,55164,14177,9535,3235,863,222,117,8615,91940,34536,20362,22100,8104,2421,685,389,7687,96282,17211,14580,29176,13003,3980,1177,796,5809,85737,12668,11883,32160,15625,5065,1570,1164,5643,85784,11800,11327
6,14160,386,67,11,11,0,10,1204,15847,11021,1825,824,190,39,8,8,750,14653,7397,2748,2342,962,282,78,33,547,14383,4118,2911,3885,1747,656,197,116,517,14158,2909,2524,5743,2780,987,355,237,568,16113,2649,2453,6499,3501,1266,427,259,564,17617,2547,2242,6631,3783,1377,480,303,582,17944,2605,2094,6757,4226,1639,509,290,656,18781,2127,1839,6246,4156,1656,462,244,654,17387,1790,1549,5897,4161,1678,527,263,633,16491,1265,992,4048,3283,1602,540,371,601,12715,819,679,2468,2558,1573,716,566,578,9961,606,512,1672,1840,1345,703,581,567,7835,553,499,1294,1341,969,525,589,554,6323,659,690,1457,1328,831,427,496,856,6733,55233,23939,55846,35871,15907,5948,4370,9825,206937,13103,244,29,3,4,0,4,1721,15118,10926,1564,679,159,30,7,8,1206,14569,7902,2536,2084,767,218,68,30,1007,14609,4419,3025,3974,1833,608,181,106,941,15085,2706,2372,5020,2408,912,308,208,872,14810,2540,2255,5824,3049,1099,414,280,955,16422,2619,2408
7,5348,398,60,15,3,0,5,1141,6968,4790,1255,647,187,44,8,9,917,7859,4611,1542,1219,601,239,78,36,1050,9380,2778,1486,1818,944,455,170,96,874,8620,1779,1227,2139,1197,602,264,177,911,8298,1380,998,2257,1425,648,292,217,887,8104,1246,827,1990,1329,594,245,190,776,7192,952,752,1966,1323,646,265,192,655,6749,683,586,1628,1160,571,218,144,550,5548,456,388,1175,857,408,202,194,415,4097,262,194,613,502,260,120,153,261,2365,163,96,306,262,198,105,139,209,1479,75,40,127,132,135,78,136,136,853,45,52,86,85,66,56,92,93,571,33,46,73,56,45,28,53,101,443,24589,9881,16110,10080,4918,2124,1830,8979,78510,4728,271,32,9,3,0,0,1555,6598,4636,1095,530,108,16,9,9,1385,7796,5298,1617,1223,525,147,43,26,1688,10573,3435,1946,2045,985,384,150,79,1431,10471,1788,1342,2327,1279,527,238,151,1103,8747,1422,1048,2230,1258,622,220,192,1055,8035,1275,972
8,10626,114,23,6,0,0,0,870,11635,13040,760,288,58,8,0,7,957,15108,10959,1991,1136,322,77,28,22,722,15263,5982,3039,3013,1021,248,73,28,575,13986,3303,2331,4818,1924,550,123,75,472,13601,2510,1944,5083,2245,684,168,98,459,13178,2231,1649,4868,2453,771,196,104,384,12654,1956,1538,4458,2601,823,191,106,400,12073,1386,1174,3970,2488,868,225,87,333,10533,1059,1023,3577,2286,824,203,137,296,9408,654,586,2297,1667,698,211,112,259,6487,391,392,1368,1245,676,264,179,246,4759,309,284,898,908,537,232,209,202,3574,210,244,668,644,412,211,210,295,2895,216,356,739,653,363,185,176,488,3176,54842,17418,37206,20513,7544,2309,1553,6965,148341,10973,52,13,4,0,0,0,1099,12144,13382,624,213,52,7,0,4,1284,15563,11649,2125,1117,297,85,19,7,1234,16538,7142,3937,3634,1004,217,72,44,1095,17143,3648,2822,5271,1950,462,147,74,800,15174,2604,2094,5558,2324,689,181,107,734,14286,2304,1921
9,50,0,0,0,0,0,0,5,52,40,12,11,0,0,0,0,5,71,40,12,14,3,0,0,0,3,69,23,12,13,14,0,0,5,7,74,16,19,21,14,3,0,0,8,78,15,17,24,22,9,4,5,8,99,11,9,35,16,13,5,4,4,95,4,5,31,28,13,0,5,0,93,10,7,34,17,13,3,6,10,86,6,3,9,9,9,0,0,8,41,3,9,3,4,0,6,5,0,26,0,0,9,5,0,0,0,4,16,0,0,0,4,0,0,4,0,10,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,227,104,193,134,53,24,20,59,818,77,0,0,0,0,0,0,24,103,47,11,0,0,0,0,0,8,71,43,19,15,6,6,0,0,12,100,44,29,36,19,8,0,0,16,142,31,18,40,33,5,0,6,11,140,30,25,45,25,10,5,0,16,154,30,21
