STE_CODE_2021,C11_0_4_Need_asst_M,C11_0_4_Need_asst_F,C11_0_4_Need_asst_P,C11_0_4_No_need_asst_M,C11_0_4_No_need_asst_F,C11_0_4_No_need_asst_P,C11_0_4_Need_asst_ns_M,C11_0_4_Need_asst_ns_F,C11_0_4_Need_asst_ns_P,C11_0_4_Tot_M,C11_0_4_Tot_F,C11_0_4_Tot_P,C11_5_14_Need_asst_M,C11_5_14_Need_asst_F,C11_5_14_Need_asst_P,C11_5_14_No_need_asst_M,C11_5_14_No_need_asst_F,C11_5_14_No_need_asst_P,C11_5_14_Need_asst_ns_M,C11_5_14_Need_asst_ns_F,C11_5_14_Need_asst_ns_P,C11_5_14_Tot_M,C11_5_14_Tot_F,C11_5_14_Tot_P,C11_15_19_Need_asst_M,C11_15_19_Need_asst_F,C11_15_19_Need_asst_P,C11_15_19_No_need_asst_M,C11_15_19_No_need_asst_F,C11_15_19_No_need_asst_P,C11_15_19_Need_asst_ns_M,C11_15_19_Need_asst_ns_F,C11_15_19_Need_asst_ns_P,C11_15_19_Tot_M,C11_15_19_Tot_F,C11_15_19_Tot_P,C11_20_24_Need_asst_M,C11_20_24_Need_asst_F,C11_20_24_Need_asst_P,C11_20_24_No_need_asst_M,C11_20_24_No_need_asst_F,C11_20_24_No_need_asst_P,C11_20_24_Need_asst_ns_M,C11_20_24_Need_asst_ns_F,C11_20_24_Need_asst_ns_P,C11_20_24_Tot_M,C11_20_24_Tot_F,C11_20_24_Tot_P,C11_25_34_Need_asst_M,C11_25_34_Need_asst_F,C11_25_34_Need_asst_P,C11_25_34_No_need_asst_M,C11_25_34_No_need_asst_F,C11_25_34_No_need_asst_P,C11_25_34_Need_asst_ns_M,C11_25_34_Need_asst_ns_F,C11_25_34_Need_asst_ns_P,C11_25_34_Tot_M,C11_25_34_Tot_F,C11_25_34_Tot_P,C11_35_44_Need_asst_M,C11_35_44_Need_asst_F,C11_35_44_Need_asst_P,C11_35_44_No_need_asst_M,C11_35_44_No_need_asst_F,C11_35_44_No_need_asst_P,C11_35_44_Need_asst_ns_M,C11_35_44_Need_asst_ns_F,C11_35_44_Need_asst_ns_P,C11_35_44_Tot_M,C11_35_44_Tot_F,C11_35_44_Tot_P,C11_45_54_Need_asst_M,C11_45_54_Need_asst_F,C11_45_54_Need_asst_P,C11_45_54_No_need_asst_M,C11_45_54_No_need_asst_F,C11_45_54_No_need_asst_P,C11_45_54_Need_asst_ns_M,C11_45_54_Need_asst_ns_F,C11_45_54_Need_asst_ns_P,C11_45_54_Tot_M,C11_45_54_Tot_F,C11_45_54_Tot_P,C11_55_64_Need_asst_M,C11_55_64_Need_asst_F,C11_55_64_Need_asst_P,C11_55_64_No_need_asst_M,C11_55_64_No_need_asst_F,C11_55_64_No_need_asst_P,C11_55_64_Need_asst_ns_M,C11_55_64_Need_asst_ns_F,C11_55_64_Need_asst_ns_P,C11_55_64_Tot_M,C11_55_64_Tot_F,C11_55_64_Tot_P,C11_65_74_Need_asst_M,C11_65_74_Need_asst_F,C11_65_74_Need_asst_P,C11_65_74_No_need_asst_M,C11_65_74_No_need_asst_F,C11_65_74_No_need_asst_P,C11_65_74_Need_asst_ns_M,C11_65_74_Need_asst_ns_F,C11_65_74_Need_asst_ns_P,C11_65_74_Tot_M,C11_65_74_Tot_F,C11_65_74_Tot_P,C11_75_84_Need_asst_M,C11_75_84_Need_asst_F,C11_75_84_Need_asst_P,C11_75_84_No_need_asst_M,C11_75_84_No_need_asst_F,C11_75_84_No_need_asst_P,C11_75_84_Need_asst_ns_M,C11_75_84_Need_asst_ns_F,C11_75_84_Need_asst_ns_P,C11_75_84_Tot_M,C11_75_84_Tot_F,C11_75_84_Tot_P,C11_85over_Need_asst_M,C11_85over_Need_asst_F,C11_85over_Need_asst_P,C11_85over_No_need_asst_M,C11_85over_No_need_asst_F,C11_85over_No_need_asst_P,C11_85over_Need_asst_ns_M,C11_85over_Need_asst_ns_F,C11_85over_Need_asst_ns_P,C11_85over_Tot_M,C11_85over_Tot_F,C11_85over_Tot_P,C11_Tot_Need_asst_M,C11_Tot_Need_asst_F,C11_Tot_Need_asst_P,C11_Tot_No_need_asst_M,C11_Tot_No_need_asst_F,C11_Tot_No_need_asst_P,C11_Tot_Need_asst_ns_M,C11_Tot_Need_asst_ns_F,C11_Tot_Need_asst_ns_P,C11_Tot_Tot_M,C11_Tot_Tot_F,C11_Tot_Tot_P,C16_0_4_Need_asst_M,C16_0_4_Need_asst_F,C16_0_4_Need_asst_P,C16_0_4_No_need_asst_M,C16_0_4_No_need_asst_F,C16_0_4_No_need_asst_P,C16_0_4_Need_asst_ns_M,C16_0_4_Need_asst_ns_F,C16_0_4_Need_asst_ns_P,C16_0_4_Tot_M,C16_0_4_Tot_F,C16_0_4_Tot_P,C16_5_14_Need_asst_M,C16_5_14_Need_asst_F,C16_5_14_Need_asst_P,C16_5_14_No_need_asst_M,C16_5_14_No_need_asst_F,C16_5_14_No_need_asst_P,C16_5_14_Need_asst_ns_M,C16_5_14_Need_asst_ns_F,C16_5_14_Need_asst_ns_P,C16_5_14_Tot_M,C16_5_14_Tot_F,C16_5_14_Tot_P,C16_15_19_Need_asst_M,C16_15_19_Need_asst_F,C16_15_19_Need_asst_P,C16_15_19_No_need_asst_M,C16_15_19_No_need_asst_F,C16_15_19_No_need_asst_P,C16_15_19_Need_asst_ns_M,C16_15_19_Need_asst_ns_F,C16_15_19_Need_asst_ns_P,C16_15_19_Tot_M,C16_15_19_Tot_F,C16_15_19_Tot_P,C16_20_24_Need_asst_M,C16_20_24_Need_asst_F,C16_20_24_Need_asst_P,C16_20_24_No_need_asst_M,C16_20_24_No_need_asst_F,C16_20_24_No_need_asst_P,C16_20_24_Need_asst_ns_M,C16_20_24_Need_asst_ns_F,C16_20_24_Need_asst_ns_P,C16_20_24_Tot_M,C16_20_24_Tot_F,C16_20_24_Tot_P,C16_25_34_Need_asst_M,C16_25_34_Need_asst_F,C16_25_34_Need_asst_P,C16_25_34_No_need_asst_M,C16_25_34_No_need_asst_F,C16_25_34_No_need_asst_P,C16_25_34_Need_asst_ns_M,C16_25_34_Need_asst_ns_F
1,2913,1689,4606,215848,206292,422141,16576,15413,31988,235337,223394,458737,14922,6864,21787,410879,396257,807138,23432,21416,44856,449233,424537,873780,5291,3082,8380,210845,202126,412974,12090,9981,22067,228226,215189,443415,3751,2618,6372,206185,207281,413465,17019,12836,29852,226955,222735,449684,6728,5716,12438,421867,443617,865483,35716,27856,63574,464311,477189,941497,9730,9507,19237,434014,463977,897993,30058,24342,54397,473802,497826,971622,15463,16756,32222,424960,444895,869856,26784,21592,48377,467207,483243,950451,23743,22840,46584,355067,369349,724410,21317,17973,39293,400127,410162,810286,24119,24427,48542,226608,238905,465517,14361,13267,27632,265088,276599,541687,27556,43117,70670,113436,130953,244381,9710,11992,21702,150702,186062,336754,19327,48205,67529,24415,35703,60114,4149,7943,12094,47891,91851,139730,153540,184823,338365,3044125,3139344,6183466,211217,184616,395828,3408882,3508783,6917657,3455,1868,5321,220321,210017,430343,15088,14394,29481,238864,226279,465135,19924,8985,28908,427467,414419,841883,25704,24702,50405,473095,448106,921198,7309,4252,11561,209384,201879,411268,13406,12185,25593,230099,218316,448424,5372,3575,8946,224203,221049,445247,18917,16557,35471,248492,241181,489669,8682,7503,16185,473885,494509,968397,43995,38948
2,2238,1221,3455,163209,155577,318788,11654,10836,22489,177101,167634,344733,11880,5423,17300,307909,298068,605981,15901,14878,30778,335690,318369,654064,4283,2470,6757,164458,158632,323093,8263,7227,15489,177004,168329,345342,2889,2026,4920,175392,173123,348514,12404,9267,21672,190685,184416,375108,5226,4586,9812,346754,359885,706637,25096,19335,44433,377076,383806,760882,7555,7707,15265,348764,372897,721658,20763,16931,37696,377082,397535,774616,10556,12137,22691,326905,344408,671313,17736,14730,32465,355197,371275,726472,16036,16866,32904,268020,283763,551784,14168,12388,26552,298224,313017,611245,17622,18872,36492,167288,178619,345903,10003,9826,19828,194913,207317,402224,21461,34076,55542,84527,97883,182419,7380,9024,16408,113368,140983,254359,14398,35968,50362,18647,26653,45302,3219,6111,9329,36264,68732,104999,114146,141352,255498,2371877,2449517,4821398,146598,130548,277147,2632621,2721417,5354035,2729,1447,4170,175680,167536,343219,12183,11646,23833,190592,180629,371219,15846,7240,23087,328243,319781,648022,19897,18693,38589,363986,345714,709698,5669,3333,9001,166126,161384,327508,10057,9772,19828,181852,174489,356338,4209,3121,7330,191121,187626,378749,14402,13307,27713,209732,204054,413790,6760,6069,12829,396963,414441,811398,33446,31518
3,1810,1121,2935,140626,133567,274197,10786,9976,20767,153222,144664,297894,10298,4936,15230,269879,261573,531451,16347,14942,31287,296524,281451,577972,3862,2315,6178,137887,134058,271944,8681,7118,15800,150430,143491,293919,2560,1759,4321,133041,136102,269144,11974,8412,20387,147575,146273,293847,4558,3743,8301,262717,276660,539376,23303,16422,39730,290578,296825,587407,6329,6219,12553,276606,294999,571606,21146,15451,36591,304081,316669,620750,9288,9730,19016,262295,277145,539441,18729,13697,32422,290312,300572,590885,14912,12747,27658,219805,228055,447866,14486,11073,25561,249203,251875,501086,14951,13159,28111,136896,140800,277691,9018,7826,16840,160865,161785,322641,14331,20922,35252,60566,67893,128459,5894,6937,12828,80791,95752,176543,9753,22721,32472,12195,17030,29224,2701,5409,8107,24649,45160,69800,92642,99380,192021,1912517,1967881,3880398,143067,117258,260325,2148226,2184519,4332739,2236,1300,3537,139368,133186,272558,10431,9940,20368,152035,144426,296464,15029,7147,22174,282717,274667,557385,18742,17929,36677,316488,299743,616230,5406,3013,8419,136162,132998,269160,9627,9082,18707,151195,145093,296285,3882,2618,6498,141806,143052,284859,13598,11908,25501,159286,157578,316859,6230,5152,11380,282494,298689,581180,29131,25002
4,793,441,1229,45421,43727,89156,2927,2833,5754,49141,47001,96146,4085,1891,5983,89414,87061,176471,4325,4012,8335,97824,92964,190792,1346,852,2197,49343,47405,96747,2398,1910,4306,53087,50167,103249,1053,730,1782,49793,48727,98521,3127,2152,5279,53973,51609,105585,1854,1587,3437,93561,95211,188767,5903,4209,10117,101318,101007,202326,2760,2717,5481,99055,102209,201266,5551,4078,9631,107366,109004,216378,4120,4271,8389,101791,105528,207317,5275,3951,9233,111186,113750,224942,5863,5429,11300,87751,92962,180708,4125,3475,7600,97739,101866,199611,5339,5581,10921,56008,60786,116795,2770,2717,5484,64117,69084,133196,6745,11037,17783,29617,34128,63742,2077,2591,4662,38439,47756,86193,5251,13364,18615,6831,9983,16812,933,1797,2723,13015,25144,38150,39219,47904,87122,708585,727726,1436313,39413,33723,73136,787217,809353,1596570,964,496,1464,46088,44005,90093,2853,2662,5515,49905,47163,97068,5699,2587,8284,89771,88106,177873,5042,4732,9772,100512,95425,195928,1931,1060,2990,47073,45705,92783,2516,2397,4917,51520,49162,100684,1307,952,2259,50539,48887,99424,3368,2931,6304,55214,52770,107987,2298,2021,4315,98403,101453,199863,7572,6363
5,827,490,1313,71023,67267,138290,6010,5649,11654,77860,73406,151260,3977,1936,5913,135273,130444,265713,8835,8350,17185,148085,140730,288808,1420,826,2237,70259,67028,137289,4794,3888,8681,76473,71742,148211,1031,693,1730,73345,71457,144803,7806,4671,12487,82182,76821,159010,1682,1492,3171,147219,146502,293720,17064,10137,27204,165965,158131,324096,2324,2375,4704,148405,151777,300186,14305,9066,23369,165034,163218,328258,3316,3711,7026,140797,143177,283972,11686,7537,19225,155799,154425,310225,5334,5013,10342,113727,116157,229882,8257,5940,14196,127318,127110,254427,5495,5288,10786,66124,67750,133876,4218,3663,7886,75837,76701,152541,6313,9944,16255,30664,35185,65853,2728,3278,6006,39705,48407,88119,4419,11175,15593,6307,8867,15175,1196,2254,3448,11922,22296,34216,36130,42938,79075,1003144,1005617,2008764,86897,64436,151332,1126171,1112991,2239170,987,565,1551,76395,72638,149028,5774,5370,11145,83156,78573,161732,5546,2670,8215,146482,141631,288118,9552,9072,18626,161580,153373,314956,1979,1128,3108,70408,67554,137958,4726,4201,8932,77113,72883,149998,1465,960,2423,74069,71031,145099,7027,5792,12814,82561,77783,160335,2410,2028,4431,168803,171296,340094,19741,14906
6,230,134,364,14793,14071,28862,994,957,1955,16017,15162,31184,1189,565,1755,29547,28693,58244,1374,1317,2693,32110,30575,62689,450,263,712,15689,14959,30651,704,620,1325,16843,15842,32686,314,232,542,13779,13786,27563,833,634,1477,14926,14652,29574,614,532,1145,24674,26893,51567,1452,1118,2570,26740,28543,55285,944,1046,1991,28698,31472,60166,1482,1212,2696,31124,33730,64851,1593,1547,3143,31706,33960,65665,1533,1219,2753,34832,36726,71561,2463,2267,4727,29013,30416,59438,1465,1193,2661,32941,33876,66825,2138,1972,4106,18930,19716,38648,1018,988,2011,22086,22676,44757,2065,3122,5193,8766,10174,18945,705,855,1559,11536,14151,25695,1405,3639,5046,1802,2668,4471,303,426,724,3510,6733,10243,13401,15326,28725,217407,226812,444212,11866,10543,22411,242674,252681,495351,203,129,330,13396,12876,26273,944,933,1875,14543,13938,28475,1549,782,2328,28256,27517,55778,1874,1756,3630,31679,30055,61737,646,345,1001,14406,13841,28244,910,922,1836,15962,15108,31079,478,322,798,13702,13282,26983,1116,964,2079,15296,14568,29864,775,661,1438,25375,27059,52433,2183,1979
7,75,39,115,7742,7343,15088,1010,904,1915,8827,8286,17119,351,171,517,14345,13918,28259,1698,1546,3241,16394,15635,32022,118,73,187,6732,6189,12924,1010,708,1713,7860,6970,14820,98,61,156,7573,7019,14594,1312,777,2092,8983,7857,16839,168,169,334,15554,16084,31641,2835,1750,4584,18557,18003,36558,249,267,514,14211,14479,28691,2303,1649,3953,16763,16395,33162,382,352,735,12460,12285,24739,1797,1300,3098,14639,13937,28578,543,545,1088,9283,8243,17530,1278,855,2133,11104,9643,20751,481,480,956,3743,2996,6744,499,363,861,4723,3839,8565,343,448,792,868,814,1682,196,167,359,1407,1429,2833,107,255,363,100,130,228,44,56,98,251,441,693,2922,2856,5772,92612,89506,182118,13985,10070,24048,109519,102432,211946,87,62,151,7737,7455,15193,1173,1111,2287,8997,8628,17628,459,204,661,14211,13494,27706,1798,1689,3481,16468,15387,31845,162,105,261,6320,5667,11987,990,831,1821,7472,6603,14072,101,69,171,7182,6596,13785,1564,1125,2694,8847,7790,16644,244,178,414,17843,18003,35844,3915,2864
8,128,64,198,11638,10879,22512,613,518,1130,12379,11461,23842,742,372,1110,20240,19628,39869,836,680,1520,21818,20680,42502,247,135,384,11521,11000,22518,593,500,1098,12361,11635,24000,147,139,287,14333,14114,28448,1157,859,2017,15637,15112,30749,340,327,666,26866,27597,54461,1796,1322,3118,29002,29246,58247,405,459,862,24441,25361,49804,1299,959,2263,26145,26779,52929,531,684,1217,21670,23242,44911,1070,806,1875,23271,24732,48008,642,735,1369,17439,18602,36039,758,611,1373,18839,19948,38785,665,777,1442,9299,10050,19351,450,421,872,10414,11248,21664,819,1354,2175,4092,4744,8842,279,366,645,5190,6464,11668,634,1614,2246,884,1261,2147,136,299,441,1654,3174,4831,5314,6653,11964,162434,166483,328911,9002,7346,16346,176750,180482,357219,168,110,279,13015,12178,25190,714,613,1330,13897,12901,26796,1102,520,1622,22528,21649,44171,986,898,1890,24616,23067,47684,365,281,647,11422,11307,22726,575,557,1134,12362,12145,24506,258,214,476,14560,14407,28968,1045,943,1990,15863,15564,31430,427,482,909,29643,31139,60792,2360,2056
9,0,0,0,68,55,122,8,12,20,76,67,140,0,3,0,168,166,333,8,16,18,176,185,357,0,0,0,69,49,121,41,6,44,110,55,165,5,0,3,62,60,126,140,6,141,207,66,271,3,0,4,150,140,285,430,9,438,583,149,725,0,6,0,148,161,302,126,15,138,274,182,449,0,4,7,202,180,383,32,7,37,234,191,427,6,5,10,197,115,310,8,7,19,211,127,342,9,3,13,57,36,97,8,0,9,74,39,119,3,6,12,11,10,18,0,0,0,14,16,35,5,0,4,0,0,0,0,0,0,5,0,4,37,33,68,1130,971,2097,801,68,868,1968,1072,3034,5,0,5,133,114,246,7,11,15,145,125,263,7,0,9,251,245,495,22,23,45,280,268,549,5,0,9,91,89,182,15,13,28,111,102,214,0,0,0,79,61,144,60,10,67,139,71,211,0,4,5,189,206,391,139,33
