STE_CODE_2021,Managers_C11_M,Managers_C11_F,Managers_C11_P,Managers_C16_M,Managers_C16_F,Managers_C16_P,Managers_C21_M,Managers_C21_F,Managers_C21_P,Professionals_C11_M,Professionals_C11_F,Professionals_C11_P,Professionals_C16_M,Professionals_C16_F,Professionals_C16_P,Professionals_C21_M,Professionals_C21_F,Professionals_C21_P,Tech_trad_wkrs_C11_M,Tech_trad_wkrs_C11_F,Tech_trad_wkrs_C11_P,Tech_trad_wkrs_C16_M,Tech_trad_wkrs_C16_F,Tech_trad_wkrs_C16_P,Tech_trad_wkrs_C21_M,Tech_trad_wkrs_C21_F,Tech_trad_wkrs_C21_P,Com_pers_S_work_C11_Cens_M,Com_pers_S_work_C11_Cens_F,Com_pers_S_work_C11_Cens_P,Com_pers_S_work_C16_Cens_M,Com_pers_S_work_C16_Cens_F,Com_pers_S_work_C16_Cens_P,Com_pers_S_work_C21_Cens_M,Com_pers_S_work_C21_Cens_F,Com_pers_S_work_C21_Cens_P,Cler_admin_work_C11_M,Cler_admin_work_C11_F,Cler_admin_work_C11_P,Cler_admin_work_C16_M,Cler_admin_work_C16_F,Cler_admin_work_C16_P,Cler_admin_work_C21_M,Cler_admin_work_C21_F,Cler_admin_work_C21_P,Sales_workers_C11_M,Sales_workers_C11_F,Sales_workers_C11_P,Sales_workers_C16_M,Sales_workers_C16_F,Sales_workers_C16_P,Sales_workers_C21_M,Sales_workers_C21_F,Sales_workers_C21_P,Mach_oper_driv_C11_M,Mach_oper_driv_C11_F,Mach_oper_driv_C11_P,Mach_oper_driv_C16_M,Mach_oper_driv_C16_F,Mach_oper_driv_C16_P,Mach_oper_driv_C21_M,Mach_oper_driv_C21_F,Mach_oper_driv_C21_P,Labourers_C11_M,Labourers_C11_F,Labourers_C11_P,Labourers_C16_M,Labourers_C16_F,Labourers_C16_P,Labourers_C21_M,Labourers_C21_F,Labourers_C21_P,Inadeq_descr_Ns_C11_M,Inadeq_descr_Ns_C11_F,Inadeq_descr_Ns_C11_P,Inadeq_descr_Ns_C16_M,Inadeq_descr_Ns_C16_F,Inadeq_descr_Ns_C16_P,Inadeq_descr_Ns_C21_M,Inadeq_descr_Ns_C21_F,Inadeq_descr_Ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
1,269124,149213,418335,286349,169735,456086,322626,214190,536820,333718,379832,713549,362518,435609,798128,424367,527763,952131,352058,62613,414674,362654,66579,429235,365131,71456,436589,96910,200760,297670,108754,241510,350259,114547,276233,390779,114051,359087,473140,115155,352822,467982,120643,359971,480612,113608,176887,290494,123757,187658,311413,119531,175358,294889,180631,18811,199439,186101,20736,206840,193666,28521,222186,179557,93570,273126,196827,101061,297888,195644,105325,300966,34756,23154,57911,36937,25569,62508,39674,29523,69202,1674412,1463917,3138332,1779049,1601285,3380336,1895828,1788326,3684158
2,218238,114691,332926,236522,133397,369922,270091,172020,442109,261155,303621,564775,286997,349222,636220,349884,441079,790960,297555,53205,350757,300592,58159,358746,332009,67451,399460,70124,164254,234380,86147,203200,289342,99256,248319,347570,91617,272878,364500,94360,268852,363215,105703,286741,392444,95425,149908,245331,104296,160847,265142,104624,158697,263317,136712,17836,154549,141545,17645,159191,162921,25021,187939,147232,79956,227184,161881,85551,247428,178144,99144,277292,33460,22767,56224,27786,19139,46924,36005,25802,61805,1351517,1179110,2530628,1440118,1296011,2736127,1638622,1524268,3162893
3,155812,89791,245607,159917,98598,258514,182124,123632,305755,172432,213149,385583,181148,242769,423919,218670,304727,523395,261340,43220,304567,259547,45897,305440,279706,54204,333915,60549,142431,202978,70722,171230,241960,84231,216809,301039,62872,236455,299326,63081,228239,291318,68752,240620,309376,74246,125391,199633,77963,129830,207801,80715,130725,211439,135419,13904,149321,133097,14538,147639,146435,20310,166739,137060,78179,215233,143547,81723,225271,154327,92068,246394,21754,15275,37032,20962,13635,34595,26730,19315,46047,1081488,957795,2039276,1109978,1026476,2136450,1241677,1202413,2444090
4,61550,31743,93294,60238,33841,94074,67638,41769,109406,64612,80512,145123,64853,86235,151086,75973,104482,180460,88188,16400,104591,83465,16674,100138,91084,19379,110462,22439,55266,77702,26007,63617,89627,31464,78058,109523,24542,81678,106220,23477,76066,99540,26375,78585,104955,26454,44426,70880,27202,44558,71762,27669,43336,71002,43275,3798,47074,42122,3399,45515,46146,4535,50680,52523,29802,82323,53244,29610,82852,56330,31757,88086,7697,4460,12160,6920,4587,11507,8926,5909,14838,391279,348084,739359,387523,358587,746105,431597,407810,839414
5,88584,45218,133800,89173,50179,139350,99086,61594,160687,103520,114829,218352,106135,131093,237229,126076,160926,287009,157347,25948,183300,159431,27970,187398,165365,34017,199379,29702,73679,103385,34551,88337,122890,41966,112377,154341,34346,123832,158180,33180,117230,150406,35617,122001,157610,33537,61056,94591,36931,65409,102334,36915,64751,101670,75030,8826,83852,77070,9324,86392,86974,13418,100392,68461,37763,106223,71166,41435,112599,76153,46803,122961,10203,5983,16188,11966,7161,19129,13365,8843,22204,600740,497141,1097879,619598,538138,1157735,681527,624724,1306249
6,17762,9211,26972,17060,9408,26463,20056,12351,32403,17127,23018,40149,17009,23766,40771,20421,30498,50919,27032,5225,32260,24961,5282,30245,29168,6315,35480,6698,17521,24219,7237,19525,26760,9890,24782,34676,6855,23193,30055,6669,21529,28196,7000,22778,29776,7515,13638,21152,7685,13719,21399,8112,13727,21834,13455,1124,14574,12800,1002,13799,14767,1468,16230,14659,9993,24647,14854,10323,25182,17370,11305,28679,1970,1302,3269,2223,1543,3770,2847,1872,4717,113074,104224,217297,110488,106094,216584,129624,125097,254722
7,7179,4653,11833,7382,5136,12517,7644,6195,13843,8097,11543,19643,8349,12304,20649,8889,14691,23578,12879,2030,14906,14112,2076,16184,12533,2224,14759,6179,7003,13184,6238,7946,14178,7279,9526,16803,3124,11352,14475,3205,10896,14100,3488,10619,14102,2397,4277,6673,2626,4392,7016,2668,4273,6942,5407,557,5965,5310,565,5879,4911,636,5551,6173,3244,9421,6333,3309,9644,5723,3380,9099,1422,952,2374,1560,973,2537,1390,975,2366,52858,45614,98479,55113,47592,102708,54524,52506,107035
8,18162,12873,31033,18856,13925,32778,23893,20501,44389,28775,29308,58082,30513,32199,62718,37577,40592,78169,16585,3318,19908,16257,3379,19638,19464,4414,23880,7159,11071,18232,8423,13269,21695,10080,17063,27144,11464,26049,37514,10625,24043,34666,11104,25047,36150,5530,7827,13359,5760,8201,13956,6654,8555,15209,4293,380,4681,4331,359,4692,5538,473,6016,6473,2792,9265,7133,3222,10355,8486,3892,12380,2136,1688,3828,2829,2300,5132,2858,2402,5263,100590,95303,195885,104719,100907,205628,125651,122948,248603
9,116,45,162,204,139,340,195,167,364,86,102,192,99,144,245,110,194,299,182,15,195,328,52,380,345,44,391,55,87,140,111,188,299,107,222,335,43,119,157,52,198,249,53,226,279,3,19,20,32,97,135,37,98,135,93,4,101,151,11,164,121,14,135,105,72,169,173,126,304,147,118,271,24,5,32,37,11,56,26,13,43,705,470,1182,1189,979,2168,1149,1107,2251
