STE_CODE_2021,C21_F_Tot_Em_Tot,C21_F_Tot_Unem_Look_FT,C21_F_Tot_Unem_Look_PT,C21_F_Tot_Unem_Tot,C21_F_Tot_Tot_labo_for,C21_F_Tot_Not_LF,C21_F_Tot_LF_NS,C21_F_Tot_Tot,C11_P_15_19_Em_FT,C11_P_15_19_Em_PT,C11_P_15_19_Em_AFW,C11_P_15_19_Em_Hrs_NS,C11_P_15_19_Em_Tot,C11_P_15_19_Unem_Look_FT,C11_P_15_19_Unem_Look_PT,C11_P_15_19_Unem_Tot,C11_P_15_19_Tot_LF,C11_P_15_19_Not_LF,C11_P_15_19_LF_NS,C11_P_15_19_Tot,C11_P_20_24_Em_FT,C11_P_20_24_Em_PT,C11_P_20_24_Em_AFW,C11_P_20_24_Em_Hrs_NS,C11_P_20_24_Em_Tot,C11_P_20_24_Unem_Look_FT,C11_P_20_24_Unem_Look_PT,C11_P_20_24_Unem_Tot,C11_P_20_24_Tot_LF,C11_P_20_24_Not_LF,C11_P_20_24_LF_NS,C11_P_20_24_Tot,C11_P_25_29_Em_FT,C11_P_25_29_Em_PT,C11_P_25_29_Em_AFW,C11_P_25_29_Em_Hrs_NS,C11_P_25_29_Em_Tot,C11_P_25_29_Unem_Look_FT,C11_P_25_29_Unem_Look_PT,C11_P_25_29_Unem_Tot,C11_P_25_29_Tot_LF,C11_P_25_29_Not_LF,C11_P_25_29_LF_NS,C11_P_25_29_Tot,C11_P_30_34_Em_FT,C11_P_30_34_Em_PT,C11_P_30_34_Em_AFW,C11_P_30_34_Em_Hrs_NS,C11_P_30_34_Em_Tot,C11_P_30_34_Unem_Look_FT,C11_P_30_34_Unem_Look_PT,C11_P_30_34_Unem_Tot,C11_P_30_34_Tot_LF,C11_P_30_34_Not_LF,C11_P_30_34_LF_NS,C11_P_30_34_Tot,C11_P_35_39_Em_FT,C11_P_35_39_Em_PT,C11_P_35_39_Em_AFW,C11_P_35_39_Em_Hrs_NS,C11_P_35_39_Em_Tot,C11_P_35_39_Unem_Look_FT,C11_P_35_39_Unem_Look_PT,C11_P_35_39_Unem_Tot,C11_P_35_39_Tot_LF,C11_P_35_39_Not_LF,C11_P_35_39_LF_NS,C11_P_35_39_Tot,C11_P_40_44_Em_FT,C11_P_40_44_Em_PT,C11_P_40_44_Em_AFW,C11_P_40_44_Em_Hrs_NS,C11_P_40_44_Em_Tot,C11_P_40_44_Unem_Look_FT,C11_P_40_44_Unem_Look_PT,C11_P_40_44_Unem_Tot,C11_P_40_44_Tot_LF,C11_P_40_44_Not_LF,C11_P_40_44_LF_NS,C11_P_40_44_Tot,C11_P_45_49_Em_FT,C11_P_45_49_Em_PT,C11_P_45_49_Em_AFW,C11_P_45_49_Em_Hrs_NS,C11_P_45_49_Em_Tot,C11_P_45_49_Unem_Look_FT,C11_P_45_49_Unem_Look_PT,C11_P_45_49_Unem_Tot,C11_P_45_49_Tot_LF,C11_P_45_49_Not_LF,C11_P_45_49_LF_NS,C11_P_45_49_Tot,C11_P_50_54_Em_FT,C11_P_50_54_Em_PT,C11_P_50_54_Em_AFW,C11_P_50_54_Em_Hrs_NS,C11_P_50_54_Em_Tot,C11_P_50_54_Unem_Look_FT,C11_P_50_54_Unem_Look_PT,C11_P_50_54_Unem_Tot,C11_P_50_54_Tot_LF,C11_P_50_54_Not_LF,C11_P_50_54_LF_NS,C11_P_50_54_Tot,C11_P_55_59_Em_FT,C11_P_55_59_Em_PT,C11_P_55_59_Em_AFW,C11_P_55_59_Em_Hrs_NS,C11_P_55_59_Em_Tot,C11_P_55_59_Unem_Look_FT,C11_P_55_59_Unem_Look_PT,C11_P_55_59_Unem_Tot,C11_P_55_59_Tot_LF,C11_P_55_59_Not_LF,C11_P_55_59_LF_NS,C11_P_55_59_Tot,C11_P_60_64_Em_FT,C11_P_60_64_Em_PT,C11_P_60_64_Em_AFW,C11_P_60_64_Em_Hrs_NS,C11_P_60_64_Em_Tot,C11_P_60_64_Unem_Look_FT,C11_P_60_64_Unem_Look_PT,C11_P_60_64_Unem_Tot,C11_P_60_64_Tot_LF,C11_P_60_64_Not_LF,C11_P_60_64_LF_NS,C11_P_60_64_Tot,C11_P_65_69_Em_FT,C11_P_65_69_Em_PT,C11_P_65_69_Em_AFW,C11_P_65_69_Em_Hrs_NS,C11_P_65_69_Em_Tot,C11_P_65_69_Unem_Look_FT,C11_P_65_69_Unem_Look_PT,C11_P_65_69_Unem_Tot,C11_P_65_69_Tot_LF,C11_P_65_69_Not_LF,C11_P_65_69_LF_NS,C11_P_65_69_Tot,C11_P_70_74_Em_FT,C11_P_70_74_Em_PT,C11_P_70_74_Em_AFW,C11_P_70_74_Em_Hrs_NS,C11_P_70_74_Em_Tot,C11_P_70_74_Unem_Look_FT,C11_P_70_74_Unem_Look_PT,C11_P_70_74_Unem_Tot,C11_P_70_74_Tot_LF,C11_P_70_74_Not_LF,C11_P_70_74_LF_NS,C11_P_70_74_Tot,C11_P_75over_Em_FT,C11_P_75over_Em_PT,C11_P_75over_Em_Aw_fr_w,C11_P_75over_Emp_H_wor_ns,C11_P_75over_Em_Tot,C11_P_75over_Unem_Lo_ft_wor,C11_P_75over_Unem_Lo_pt_wor,C11_P_75over_Unemp_Tot,C11_P_75over_Tot_lab_for,C11_P_75over_N_lab_forc,C11_P_75over_LF_NS,C11_P_75over_Tot,C11_P_Tot_Em_FT,C11_P_Tot_Em_PT,C11_P_Tot_Em_AFW,C11_P_Tot_Em_Hrs_NS,C11_P_Tot_Em_Tot,C11_P_Tot_Unem_Look_FT,C11_P_Tot_Unem_Look_PT,C11_P_Tot_Unem_Tot,C11_P_Tot_Tot_labo_for,C11_P_Tot_Not_LF,C11_P_Tot_LF_NS,C11_P_Tot_Tot,C16_P_15_19_Em_FT,C16_P_15_19_Em_PT,C16_P_15_19_Em_AFW,C16_P_15_19_Em_Hrs_NS,C16_P_15_19_Em_Tot,C16_P_15_19_Unem_Look_FT,C16_P_15_19_Unem_Look_PT,C16_P_15_19_Unem_Tot,C16_P_15_19_Tot_LF,C16_P_15_19_Not_LF,C16_P_15_19_LF_NS,C16_P_15_19_Tot,C16_P_20_24_Em_FT,C16_P_20_24_Em_PT,C16_P_20_24_Em_AFW,C16_P_20_24_Em_Hrs_NS,C16_P_20_24_Em_Tot,C16_P_20_24_Unem_Look_FT,C16_P_20_24_Unem_Look_PT,C16_P_20_24_Unem_Tot,C16_P_20_24_Tot_LF,C16_P_20_24_Not_LF,C16_P_20_24_LF_NS,C16_P_20_24_Tot
1,1788326,38814,45919,84732,1873062,1306903,193611,3373575,43165,104624,7684,6206,161680,12512,20188,32699,194382,229086,19950,443415,165453,107540,10020,9290,292307,19632,14116,33754,326063,96887,26735,449684,249569,73167,13133,7956,343829,15457,6929,22388,366212,77279,29673,473163,242652,78065,16691,6678,344083,12083,5953,18039,362123,79719,26493,468331,245562,95572,14290,7079,362500,11490,6385,17876,380379,82828,24920,488126,245972,99655,10706,7429,363768,11222,6350,17566,381329,78712,23455,483499,251179,96200,10271,7483,365132,11123,5519,16645,381777,77086,22568,481426,237037,89692,11637,6580,344950,9942,4784,14729,359672,87014,22333,469023,178772,77082,11397,4975,272223,7597,4172,11773,283993,115705,19916,419614,102980,65111,8299,3504,179890,4887,3788,8679,188566,183039,19063,390675,32820,32324,3561,1658,70361,529,1023,1550,71914,215497,16913,304324,8647,13038,1314,871,23868,145,378,521,24383,197328,15654,237364,4110,7398,1114,1118,13744,84,236,317,14062,413081,49345,476487,2007924,939464,120119,70820,3138332,116696,79829,196523,3334854,1933273,317015,5585148,35320,115452,6386,4905,162063,10503,25848,36358,198417,228163,21841,448424,159903,134297,8485,8739,311424,19456,18918,38368,349795,108944,30932,489669
2,1524268,31673,46389,78060,1602334,990067,141342,2733735,28408,89459,5233,5054,128152,7658,17546,25198,153352,178147,13842,345342,134621,97896,8238,7896,248652,14518,11936,26453,275106,80257,19750,375108,211611,62464,10777,6599,291448,12031,5437,17466,308915,58112,21643,388668,196881,63051,13408,5215,278563,9099,4463,13567,292133,61601,18480,372216,190849,78953,11964,5605,287370,8201,4736,12935,300310,65924,17188,383415,197058,87372,9192,5981,299608,8162,4706,12862,312468,61902,16830,391203,195668,80306,8362,5775,290110,7503,3874,11379,301487,55288,15595,372368,181450,73045,9847,5171,269521,6533,3200,9734,279253,60080,14776,354109,136338,63678,9229,3748,212996,5211,2862,8078,221067,82861,13503,317439,77685,54250,7545,2753,142234,3208,2390,5602,147836,132510,13462,293812,23776,25874,3039,1361,54042,348,671,1018,55062,157517,12330,224910,5995,10024,1090,702,17807,108,239,354,18162,147248,11904,177314,2918,5478,863,872,10132,77,118,200,10332,310142,38875,359353,1583268,791835,98788,56739,2530628,82658,62184,144843,2675477,1451591,228177,4355243,19907,96644,4290,3751,124594,6751,25302,32050,156653,182857,16830,356338,119301,123030,6947,6920,256196,16750,19300,36043,292248,96914,24632,413790
3,1202413,27951,35434,63383,1265788,754104,127561,2147455,37855,87385,4900,4902,135036,11988,14980,26972,162010,117434,14467,293919,121273,66994,7015,5626,200910,14422,7704,22124,223028,52307,18512,293847,157415,48849,9314,4720,220294,10261,4461,14718,235010,46677,19021,300712,146292,50989,10270,4032,211589,7762,3893,11661,223246,46985,16467,286696,155734,61598,9030,4618,230985,7681,4037,11720,242699,48877,16605,308183,163666,64878,7442,4775,240769,7649,3664,11310,252079,43971,16515,312570,162438,60042,7459,4584,234519,7164,3072,10234,244750,42333,15659,302746,149754,54688,8023,3872,216334,6310,2599,8910,225244,48151,14745,288140,112474,47464,7587,2967,170499,4997,2310,7299,177798,67396,12767,257966,68328,39110,5880,2276,115599,3208,2103,5312,120906,109773,12443,243124,20397,18982,2200,1047,42636,417,650,1068,43701,131609,10451,185761,5058,6933,725,529,13248,116,206,321,13570,113824,9485,136884,2262,3392,536,676,6864,60,98,157,7022,209963,29359,246343,1302956,611293,80396,44628,2039276,82016,49777,131798,2171075,1079303,206499,3456876,26644,91924,3960,3318,125849,11498,21955,33450,159298,120776,16214,296285,113010,83283,5669,4712,206671,17822,11329,29152,235825,58437,22593,316859
4,407810,8663,12326,20987,428801,294257,32298,755362,9738,29909,1764,1483,42895,3210,5070,8283,51177,48410,3663,103249,38166,27894,2659,1902,70630,4973,3182,8153,78783,22264,4549,105585,52862,19150,3599,1461,77081,3596,1655,5255,82335,17641,4533,104508,47517,19453,4102,1275,72340,2786,1377,4159,76502,17365,3949,97822,49439,23741,3462,1313,77955,2686,1355,4039,82000,18005,3964,103965,55519,26494,2977,1453,86434,2580,1296,3881,90309,17920,4177,112406,57408,25792,2983,1425,87600,2521,1142,3658,91261,17646,4180,113086,55912,23900,3576,1275,84663,2130,928,3062,87724,20000,4132,111857,43859,20822,3381,957,69024,1604,862,2463,71486,26882,3643,102013,25363,17715,2538,771,46386,918,706,1626,48008,45762,3832,97599,6884,8265,978,318,16449,87,159,246,16697,54696,3269,74668,1654,2979,357,176,5164,31,63,90,5260,49962,3316,58534,743,1489,240,268,2736,23,26,50,2793,109877,11676,124345,445073,247603,32615,14063,739359,27145,17823,44969,784329,466426,58880,1309633,5916,28943,1289,921,37074,2775,7522,10296,47373,49284,4027,100684,31648,32574,2220,1466,67900,5883,4558,10437,78344,24425,5226,107987
5,624724,13385,19892,33274,658000,373268,60125,1091391,21799,40729,2789,2417,67732,4567,5964,10535,78267,61978,7966,148211,67595,35580,4464,2975,110616,5655,3695,9355,119968,27931,11110,159010,90687,24843,5671,2415,123619,4277,2030,6311,129931,25243,12777,167948,79137,26149,6206,2094,113591,3257,1815,5071,118659,26653,10837,156152,79243,31920,5699,2377,119237,3043,1816,4848,124093,27044,10394,161528,84874,35754,5129,2387,128155,3034,1866,4897,133050,23490,10191,166734,85528,32878,5231,2212,125852,2848,1364,4207,130056,20588,9214,159855,79262,29629,5433,1937,116258,2418,1110,3525,119786,22108,8470,150371,61144,26242,5016,1511,93916,1862,924,2786,96702,29802,7390,133893,36306,22877,3845,1114,64140,1184,855,2041,66182,47960,6390,120530,10596,11204,1486,517,23802,195,296,494,24292,57270,4759,86321,2344,4352,473,231,7402,50,104,150,7553,54304,4359,66214,898,2087,303,277,3566,25,59,82,3647,105196,13491,122333,699413,324260,51744,22464,1097879,32423,21893,54318,1152197,529556,117351,1799104,12005,42779,1834,1473,58101,4748,10975,15720,73821,68428,7747,149998,55225,44547,3299,2538,105608,8567,6178,14745,120354,29056,10923,160335
6,125097,3134,4109,7239,132337,94370,11979,238684,3882,8307,625,406,13224,1239,1460,2701,15917,15593,1175,32686,11095,6965,825,457,19337,1665,788,2454,21790,6539,1248,29574,13287,5329,976,378,19968,1095,461,1554,21521,5463,1089,28076,12095,5929,1156,350,19526,862,403,1264,20796,5352,1056,27205,13653,7748,1031,378,22817,885,408,1291,24111,5658,1138,30908,15762,8589,944,430,25722,894,442,1337,27056,5669,1220,33944,17096,8325,1042,443,26901,832,349,1174,28077,5744,1206,35026,17311,8186,1254,440,27187,825,335,1160,28354,6878,1300,36527,12685,7297,1151,326,21454,651,372,1024,22482,10332,1280,34093,7021,5789,877,252,13939,392,322,718,14653,16717,1358,32729,1879,2520,307,116,4816,28,74,102,4919,19159,1237,25315,487,959,97,52,1597,9,13,20,1617,16655,1182,19447,223,443,78,72,812,3,15,14,830,31621,3494,35944,126470,76382,10349,4095,217297,9379,5447,14825,232124,151376,17978,401480,2477,8618,496,345,11936,1009,1932,2938,14869,14700,1505,31079,9608,8092,709,377,18786,1749,1047,2797,21587,6537,1741,29864
7,52506,1734,1235,2961,55476,27472,8457,91409,2193,2673,204,258,5328,527,402,931,6258,6986,1573,14820,7137,2092,570,361,10163,707,238,945,11112,3934,1793,16839,9177,2227,777,345,12532,566,215,779,13315,3794,2101,19212,8307,2266,712,319,11602,483,160,643,12246,3386,1714,17342,8147,2396,641,305,11491,420,166,590,12080,3041,1710,16828,8395,2284,515,276,11474,369,105,477,11951,2632,1754,16337,8096,1882,521,251,10759,310,90,394,11151,2138,1507,14801,7498,1714,525,227,9963,220,75,297,10258,2139,1380,13776,5841,1356,421,164,7781,166,52,217,8000,2455,1175,11630,3411,1151,306,99,4965,95,49,148,5109,3076,935,9120,1023,516,102,64,1700,19,21,39,1739,2973,572,5287,255,224,37,16,529,8,7,16,548,2328,400,3278,63,90,10,13,184,10,7,16,195,2793,545,3531,69544,20878,5339,2707,98479,3902,1587,5486,103967,41688,17146,162799,1493,2686,152,202,4526,596,454,1052,5581,6863,1633,14072,6415,2214,367,357,9356,930,294,1222,10575,3820,2255,16644
8,122948,1800,2725,4521,127471,55096,7413,189986,2844,7771,537,349,11500,413,1279,1690,13197,9825,976,24000,12987,7828,876,431,22122,633,916,1548,23677,5283,1793,30749,19293,4113,1176,356,24936,517,298,814,25751,3280,1504,30537,16419,4410,1575,298,22705,396,224,621,23326,3203,1180,27707,15689,5070,1247,277,22279,352,235,590,22871,3069,1017,26957,15843,4888,958,284,21969,337,153,497,22467,2538,970,25973,15818,4126,810,302,21057,328,143,463,21519,2231,844,24600,14935,3574,925,238,19669,284,121,405,20072,2571,762,23405,10406,3454,862,159,14884,184,124,304,15188,4533,690,20410,5845,3200,603,122,9772,124,118,242,10014,7783,578,18371,1537,1700,235,47,3518,24,66,89,3613,8535,527,12674,322,620,75,19,1032,9,18,23,1059,7464,468,8991,111,278,30,27,441,3,11,15,457,14574,1473,16499,132043,51027,9905,2918,195885,3612,3705,7311,203207,74890,12777,290876,2018,7984,412,333,10747,380,1957,2341,13084,10454,971,24506,10850,8890,667,532,20951,801,1115,1922,22877,6778,1774,31430
9,1107,12,16,30,1133,482,269,1891,35,13,0,3,54,5,4,4,61,104,4,165,74,8,0,8,101,0,0,0,102,159,8,271,78,19,4,7,109,7,0,7,121,294,11,425,72,25,9,5,110,4,0,8,118,173,7,298,74,35,4,0,114,9,6,7,125,88,16,226,105,26,6,0,138,6,0,6,139,66,20,219,116,38,11,4,168,5,0,5,169,46,7,226,105,32,4,0,147,0,0,5,149,50,5,203,99,21,9,0,124,0,0,4,132,56,11,196,76,14,0,8,93,0,0,0,94,42,7,146,8,4,0,0,20,0,0,0,16,47,3,67,10,0,0,0,10,0,0,0,10,39,0,53,0,0,0,0,0,0,0,0,0,32,6,36,869,231,50,41,1182,34,12,44,1233,1203,101,2534,21,37,3,6,73,3,3,9,82,107,23,214,69,34,10,7,116,5,0,3,119,59,31,211
