STE_CODE_2021,C21_F_Health_15_19,C21_F_Health_20_24,C21_F_Health_25_34,C21_F_Health_35_44,C21_F_Health_45_54,C21_F_Health_55_64,C21_F_Health_65_74,C21_F_Health_75_84,C21_F_Health_85over,C21_F_Health_Tot,C21_F_Educ_15_19,C21_F_Educ_20_24,C21_F_Educ_25_34,C21_F_Educ_35_44,C21_F_Educ_45_54,C21_F_Educ_55_64,C21_F_Educ_65_74,C21_F_Educ_75_84,C21_F_Educ_85over,C21_F_Educ_Tot,C21_F_MngtCom_15_19,C21_F_MngtCom_20_24,C21_F_MngtCom_25_34,C21_F_MngtCom_35_44,C21_F_MngtCom_45_54,C21_F_MngtCom_55_64,C21_F_MngtCom_65_74,C21_F_MngtCom_75_84,C21_F_MngtCom_85over,C21_F_MngtCom_Tot,C21_F_Soc_cult_15_19,C21_F_Soc_cult_20_24,C21_F_Soc_cult_25_34,C21_F_Soc_cult_35_44,C21_F_Soc_cult_45_54,C21_F_Soc_cult_55_64,C21_F_Soc_cult_65_74,C21_F_Soc_cult_75_84,C21_F_Soc_cult_85over,C21_F_Soc_cult_Tot,C21_F_Creative_art_15_19,C21_F_Creative_art_20_24,C21_F_Creative_art_25_34,C21_F_Creative_art_35_44,C21_F_Creative_art_45_54,C21_F_Creative_art_55_64,C21_F_Creative_art_65_74,C21_F_Creative_art_75_84,C21_F_Creative_art_85over,C21_F_Creative_art_Tot,C21_F_FoodHos_PS_15_19,C21_F_FoodHos_PS_20_24,C21_F_FoodHos_PS_25_34,C21_F_FoodHos_PS_35_44,C21_F_FoodHos_PS_45_54,C21_F_FoodHos_PS_55_64,C21_F_FoodHos_PS_65_74,C21_F_FoodHos_PS_75_84,C21_F_FoodHos_PS_85over,C21_F_FoodHos_PS_Tot,C21_F_MixFld_pr_15_19,C21_F_MixFld_pr_20_24,C21_F_MixFld_pr_25_34,C21_F_MixFld_pr_35_44,C21_F_MixFld_pr_45_54,C21_F_MixFld_pr_55_64,C21_F_MixFld_pr_65_74,C21_F_MixFld_pr_75_84,C21_F_MixFld_pr_85over,C21_F_MixFld_pr_Tot,C21_F_FldStu_ID_15_19,C21_F_FldStu_ID_20_24,C21_F_FldStu_ID_25_34,C21_F_FldStu_ID_35_44,C21_F_FldStu_ID_45_54,C21_F_FldStu_ID_55_64,C21_F_FldStu_ID_65_74,C21_F_FldStu_ID_75_84,C21_F_FldStu_ID_85over,C21_F_FldStu_ID_Tot,C21_F_FldStu_NS_15_19,C21_F_FldStu_NS_20_24,C21_F_FldStu_NS_25_34,C21_F_FldStu_NS_35_44,C21_F_FldStu_NS_45_54,C21_F_FldStu_NS_55_64,C21_F_FldStu_NS_65_74,C21_F_FldStu_NS_75_84,C21_F_FldStu_NS_85over,C21_F_FldStu_NS_Tot,C21_F_Tot_15_19,C21_F_Tot_20_24,C21_F_Tot_25_34,C21_F_Tot_35_44,C21_F_Tot_45_54,C21_F_Tot_55_64,C21_F_Tot_65_74,C21_F_Tot_75_84,C21_F_Tot_85over,C21_F_Tot_Tot,C11_P_NatPhy_sci_15_19,C11_P_NatPhy_sci_20_24,C11_P_NatPhy_sci_25_34,C11_P_NatPhy_sci_35_44,C11_P_NatPhy_sci_45_54,C11_P_NatPhy_sci_55_64,C11_P_NatPhy_sci_65_74,C11_P_NatPhy_sci_75_84,C11_P_NatPhy_sci_85over,C11_P_NatPhy_sci_Tot,C11_P_InfTec_15_19,C11_P_InfTec_20_24,C11_P_InfTec_25_34,C11_P_InfTec_35_44,C11_P_InfTec_45_54,C11_P_InfTec_55_64,C11_P_InfTec_65_74,C11_P_InfTec_75_84,C11_P_InfTec_85over,C11_P_InfTec_Tot,C11_P_EngRT_15_19,C11_P_EngRT_20_24,C11_P_EngRT_25_34,C11_P_EngRT_35_44,C11_P_EngRT_45_54,C11_P_EngRT_55_64,C11_P_EngRT_65_74,C11_P_EngRT_75_84,C11_P_EngRT_85over,C11_P_EngRT_Tot,C11_P_ArchBuild_15_19,C11_P_ArchBuild_20_24,C11_P_ArchBuild_25_34,C11_P_ArchBuild_35_44,C11_P_ArchBuild_45_54,C11_P_ArchBuild_55_64,C11_P_ArchBuild_65_74,C11_P_ArchBuild_75_84,C11_P_ArchBuild_85over,C11_P_ArchBuild_Tot,C11_P_AgEnv_RS_15_19,C11_P_AgEnv_RS_20_24,C11_P_AgEnv_RS_25_34,C11_P_AgEnv_RS_35_44,C11_P_AgEnv_RS_45_54,C11_P_AgEnv_RS_55_64,C11_P_AgEnv_RS_65_74,C11_P_AgEnv_RS_75_84,C11_P_AgEnv_RS_85over,C11_P_AgEnv_RS_Tot,C11_P_Health_15_19,C11_P_Health_20_24,C11_P_Health_25_34,C11_P_Health_35_44,C11_P_Health_45_54,C11_P_Health_55_64,C11_P_Health_65_74,C11_P_Health_75_84,C11_P_Health_85over,C11_P_Health_Tot,C11_P_Educ_15_19,C11_P_Educ_20_24,C11_P_Educ_25_34,C11_P_Educ_35_44,C11_P_Educ_45_54,C11_P_Educ_55_64,C11_P_Educ_65_74,C11_P_Educ_75_84,C11_P_Educ_85over,C11_P_Educ_Tot,C11_P_MngtCom_15_19,C11_P_MngtCom_20_24,C11_P_MngtCom_25_34,C11_P_MngtCom_35_44,C11_P_MngtCom_45_54,C11_P_MngtCom_55_64,C11_P_MngtCom_65_74,C11_P_MngtCom_75_84,C11_P_MngtCom_85over,C11_P_MngtCom_Tot,C11_P_Soc_cult_15_19,C11_P_Soc_cult_20_24,C11_P_Soc_cult_25_34,C11_P_Soc_cult_35_44,C11_P_Soc_cult_45_54,C11_P_Soc_cult_55_64,C11_P_Soc_cult_65_74,C11_P_Soc_cult_75_84,C11_P_Soc_cult_85over,C11_P_Soc_cult_Tot,C11_P_Creative_art_15_19,C11_P_Creative_art_20_24,C11_P_Creative_art_25_34,C11_P_Creative_art_35_44,C11_P_Creative_art_45_54,C11_P_Creative_art_55_64,C11_P_Creative_art_65_74,C11_P_Creative_art_75_84,C11_P_Creative_art_85over,C11_P_Creative_art_Tot
1,1933,18668,71769,57762,50713,49967,35278,15440,5093,306622,775,9761,46447,45655,43177,40292,36888,15441,4197,242626,3017,26600,121007,133390,108819,79813,47053,17363,5029,542091,2497,21713,75454,74684,66345,52890,30416,9565,1989,335550,1248,10427,32358,25553,17452,11147,6414,2764,912,108268,3153,11084,29307,25821,21414,13790,8559,3391,835,117354,217,489,546,334,375,494,430,349,334,3562,268,1633,5834,6932,6343,4433,2945,1275,508,30163,13354,16181,42757,38116,31594,29670,29652,28844,24067,254236,27535,130213,476589,459564,381760,309834,212867,100839,45167,2144373,166,5707,18946,20163,17570,13310,6933,2510,728,86019,1135,7328,40078,27708,15825,6592,1458,245,26,100399,2756,23293,75807,92357,103467,83648,54256,27774,8371,471738,1735,12238,34024,37221,33992,25916,15969,7983,2074,171145,1043,4321,13356,14640,12778,8394,4343,1842,440,61169,1428,14104,52362,57576,61057,45964,23457,11670,3778,271404,325,7612,38089,44818,49225,51480,24105,10044,2696,228395,6553,50550,168772,156930,122521,83550,38039,15351,5612,647876,3519,25318,78731,77554,64416,47423,19543,7071,1831,325401,1477,14234,37139,26569,17564,10846,5188,2359,768,116142
2,1206,17446,71157,54534,43713,38795,27378,12219,4282,270729,530,7746,40810,39661,36869,34055,30972,13590,3138,207359,1171,17362,86957,98498,74308,47466,24284,8260,2762,361062,1820,17214,66235,64696,58025,45103,26121,7688,1502,288410,974,9176,28167,21016,12865,7695,4355,1824,652,86731,2056,9044,27483,23313,17323,11315,7145,3016,755,101444,135,395,418,282,240,236,272,134,60,2184,135,1886,6255,7608,6429,4153,2691,1060,400,30623,9826,12113,33190,28868,23924,21599,22354,20986,16339,189192,18744,106880,412340,387768,305237,230847,155773,72860,31506,1721959,139,5823,18966,18036,14012,10052,4724,1735,600,74089,675,5859,34902,22910,12390,5114,932,113,24,82921,2311,18623,62799,73685,75070,59776,37848,19218,5587,354937,2233,13452,30903,29336,23845,17001,10649,5198,1279,133898,711,3636,11989,11855,9596,5432,2584,1093,279,47178,742,13632,48043,48105,47297,35097,17549,8837,2792,222106,231,5276,30356,34511,39428,41562,21424,7625,2125,182546,4668,38320,125876,108266,76287,48210,20767,8928,3398,434723,3034,20655,64032,61801,51081,38123,14652,4805,1190,259368,1359,12717,31895,20757,12217,7633,3585,1589,550,92300
3,2849,14611,50160,43045,38382,34852,22310,9736,2838,218781,725,5691,25250,33292,34095,28135,22042,8841,1926,159992,6264,17826,63416,72198,61058,42690,22119,6855,1604,294026,4380,15542,44822,47195,43251,33918,18885,5229,802,214031,1450,6166,14658,12025,8396,5086,2917,1354,422,52480,4773,11017,23821,19370,16193,10385,6432,2409,461,94855,538,392,377,252,186,198,195,132,63,2326,393,943,2786,3454,3191,2304,1470,644,231,15417,10309,12345,29034,25177,22562,20101,18788,17053,12260,167624,33397,92670,280074,281680,246123,190281,121809,54737,21330,1322101,197,3863,11031,9953,7807,5949,2937,989,241,42973,1945,3713,14248,11059,6420,2918,646,81,16,41049,3158,19023,56980,63880,66051,53932,33193,14707,3699,314630,1658,9736,24485,26085,24212,19903,11764,4916,1120,123881,1117,2798,9547,9624,7482,4353,2228,815,192,38165,985,9905,34512,38661,39881,27865,14084,6222,1870,173988,310,4501,25035,31155,31341,27999,13801,4551,1284,139974,7437,28121,79939,75330,58380,38181,15874,5802,1731,310802,4144,15378,44765,42602,34737,25566,9869,2874,628,180561,1751,7627,16211,11691,7262,4849,2517,1142,319,53379
4,397,5050,18294,15403,13579,14607,10163,4043,1413,82949,258,1955,9452,9604,8930,8744,9216,4020,937,53117,786,4501,19516,23071,18687,13367,7132,2327,695,90087,1180,4878,16464,16596,15566,13576,8325,2389,434,79416,419,1699,4260,3666,2473,1639,1069,511,193,15934,1012,2722,7202,6007,4984,3366,2321,930,262,28811,39,103,113,105,112,145,109,60,19,797,58,277,1030,1383,1113,847,622,282,121,5741,2588,2690,6420,5964,5870,5824,6402,6397,4356,46501,7099,26789,92633,91062,77952,66666,48128,22084,8866,441289,38,1390,4816,4356,3563,3012,1449,505,157,19285,234,1208,5590,3710,2372,1245,252,27,3,14642,820,6320,18857,22351,23193,20258,13241,7122,2137,114299,567,3070,6166,6435,6309,5249,3601,1920,544,33875,296,1437,3989,3949,3145,1969,840,366,109,16105,315,3883,14093,15109,17225,12848,5879,2958,994,73300,56,1479,7615,8495,10110,12894,6332,2083,761,49824,1660,9193,28364,26097,20815,14350,6296,2639,963,110385,1033,5944,17071,16489,15316,12226,4776,1542,387,74783,255,2410,5717,4094,2836,1935,1035,420,148,18842
5,1084,7444,26757,23169,18806,17211,11498,5320,1687,112976,947,3436,14631,17488,17935,15535,11308,4590,1181,87038,2330,8040,31373,37350,29588,20274,11215,4337,1296,145804,1940,6973,21931,23925,20176,15914,9462,2785,535,103645,1019,3088,7252,6376,3997,2501,1626,790,249,26907,1600,4746,12259,9864,7892,4903,3190,1212,275,45944,233,195,215,129,119,145,118,61,29,1243,155,522,1632,1944,1595,1190,764,306,124,8226,4425,5415,14157,12616,10831,9497,8949,8073,6127,80092,14418,45069,148014,150838,122609,94623,61821,28736,12011,678144,101,2546,8602,7884,6075,4068,1812,636,173,31898,693,2000,8246,5631,3433,1420,301,30,0,21765,2188,13169,38593,40136,39552,30442,16378,7290,1877,189623,1182,5706,11940,11288,10866,8510,5194,2445,554,57689,518,1702,5705,5119,3931,2545,1297,547,112,21468,505,5629,18936,19621,20244,14498,7601,3391,970,91394,446,2890,12957,16842,18057,15148,7082,2618,831,76870,2766,14025,42033,39271,30535,20575,9632,3758,1208,163811,1726,7805,22241,20984,18020,13546,5305,1806,401,91837,859,4087,8922,6005,3879,2826,1361,561,169,28667
6,109,1384,4873,3919,3706,4362,3372,1472,443,23637,40,437,2392,3170,3105,3367,3163,1588,452,17710,208,1540,7985,6266,4999,4304,2464,752,237,28761,229,1416,4987,4938,5048,4784,2979,730,136,25249,35,319,1252,1068,898,845,605,238,66,5321,211,951,2629,1998,1707,1138,735,283,53,9709,5,52,39,18,25,23,31,23,11,233,17,100,332,379,367,308,218,98,27,1856,970,975,2422,2075,2107,2380,2757,2487,1287,17459,1911,7945,30102,26283,24078,23188,17283,7985,2831,141608,8,297,1134,1361,1164,996,477,197,49,5681,94,450,1371,837,643,343,77,12,0,3833,327,1791,4747,6161,7037,6048,4053,1947,533,32643,231,1246,2063,2540,2911,2202,1441,692,172,13500,117,428,1398,1590,1366,782,366,172,46,6278,50,906,2967,3641,4782,4175,2099,940,349,19905,16,322,2302,2805,3738,4131,2355,964,304,16932,537,2424,6730,6382,5969,4461,1879,829,257,29481,335,1528,4297,5025,4977,4061,1459,450,113,22256,70,485,1263,1250,1068,947,491,205,72,5849
7,55,521,3031,2047,1366,1206,591,183,51,9044,31,232,1385,1489,1381,1113,640,215,21,6516,184,591,3420,2890,2185,1411,549,117,21,11360,100,452,2293,2078,1622,1227,543,120,13,8442,12,107,489,354,232,156,84,23,5,1465,144,271,922,712,474,265,107,24,6,2932,6,8,16,18,15,5,0,0,0,74,9,37,189,162,131,80,47,9,0,671,821,915,2569,2063,1771,1439,848,341,133,10899,1457,3452,15665,12983,9951,7358,3603,1086,254,55810,6,99,550,489,396,266,97,19,0,1918,41,169,630,390,261,138,20,7,0,1661,161,1140,3148,3302,3012,2088,835,213,25,13912,73,401,1126,962,884,699,294,71,8,4517,80,233,709,667,483,222,78,15,4,2488,33,383,2086,1800,1761,1170,344,112,20,7714,20,221,1313,1480,1617,1390,474,81,12,6600,191,1009,3520,3188,2374,1499,349,56,16,12192,114,650,2303,2183,1821,1209,361,72,12,8728,36,176,635,452,347,225,75,10,4,1966
8,56,1174,4729,3637,2653,2340,1730,888,327,17533,39,514,2609,2819,2368,2112,2142,1208,307,14122,162,1462,7552,7740,5967,4062,2415,882,264,30511,145,2341,8013,7369,5498,4146,2886,1146,253,31782,69,585,1926,1730,1140,661,378,167,60,6718,228,597,1400,1140,852,462,282,146,45,5150,16,23,21,16,17,19,20,10,6,140,17,138,489,601,457,345,214,125,53,2442,644,1017,2103,1547,1168,895,966,814,561,9709,1464,9137,33728,30927,23168,17166,12258,5797,1993,135623,17,808,2560,2350,2225,1796,878,334,108,11070,160,783,3941,3099,2386,1056,196,15,0,11648,74,964,3645,3747,3660,2961,1737,949,252,17987,74,786,1705,1651,1411,1151,705,354,105,7947,26,204,822,889,638,446,210,106,20,3366,30,678,2818,2852,3069,2279,1143,558,204,13628,15,369,2336,2414,2584,2802,1618,557,148,12843,279,2943,9239,8528,6952,4778,1856,654,316,35543,178,2692,9634,7732,6781,5651,2584,895,240,36386,100,988,2658,1721,1165,691,285,127,53,7795
9,0,7,19,20,18,26,30,9,4,136,0,7,19,28,27,32,22,7,0,153,0,14,34,47,31,37,26,7,0,202,0,6,18,32,28,24,12,10,0,133,0,0,7,5,4,16,3,0,0,39,7,12,20,19,23,10,3,3,5,92,0,0,0,0,0,0,0,0,0,0,0,0,5,4,6,6,0,0,0,16,20,17,53,56,47,62,39,32,4,334,31,73,193,237,196,221,132,70,14,1178,0,4,10,10,0,6,0,0,0,28,0,3,7,3,0,0,0,0,0,9,0,11,27,39,50,35,8,0,0,171,0,5,9,10,15,11,6,0,0,46,0,3,8,12,12,3,0,0,0,28,0,5,8,12,16,19,4,0,0,53,0,0,20,31,28,15,0,0,0,99,8,8,39,33,34,10,3,0,0,131,0,6,26,23,23,4,0,0,0,88,0,5,9,0,5,0,0,0,0,16
