STE_CODE_2021,C16_5_9_Indig_st_ns_P,C16_5_9_Tot_M,C16_5_9_Tot_F,C16_5_9_Tot_P,C16_10_14_Indigen_M,C16_10_14_Indigen_F,C16_10_14_Indigen_P,C16_10_14_NonInd_M,C16_10_14_NonInd_F,C16_10_14_NonInd_P,C16_10_14_Ind_st_ns_M,C16_10_14_Ind_st_ns_F,C16_10_14_Ind_st_ns_P,C16_10_14_Tot_M,C16_10_14_Tot_F,C16_10_14_Tot_P,C16_15_19_Indigen_M,C16_15_19_Indigen_F,C16_15_19_Indigen_P,C16_15_19_NonInd_M,C16_15_19_NonInd_F,C16_15_19_NonInd_P,C16_15_19_Ind_st_ns_M,C16_15_19_Ind_st_ns_F,C16_15_19_Ind_st_ns_P,C16_15_19_Tot_M,C16_15_19_Tot_F,C16_15_19_Tot_P,C16_20_24_Indigen_M,C16_20_24_Indigen_F,C16_20_24_Indigen_P,C16_20_24_NonInd_M,C16_20_24_NonInd_F,C16_20_24_NonInd_P,C16_20_24_Ind_st_ns_M,C16_20_24_Ind_st_ns_F,C16_20_24_Ind_st_ns_P,C16_20_24_Tot_M,C16_20_24_Tot_F,C16_20_24_Tot_P,C16_25_29_Indigen_M,C16_25_29_Indigen_F,C16_25_29_Indigen_P,C16_25_29_NonInd_M,C16_25_29_NonInd_F,C16_25_29_NonInd_P,C16_25_29_Ind_st_ns_M,C16_25_29_Ind_st_ns_F,C16_25_29_Ind_st_ns_P,C16_25_29_Tot_M,C16_25_29_Tot_F,C16_25_29_Tot_P,C16_30_34_Indigen_M,C16_30_34_Indigen_F,C16_30_34_Indigen_P,C16_30_34_NonInd_M,C16_30_34_NonInd_F,C16_30_34_NonInd_P,C16_30_34_Ind_st_ns_M,C16_30_34_Ind_st_ns_F,C16_30_34_Ind_st_ns_P,C16_30_34_Tot_M,C16_30_34_Tot_F,C16_30_34_Tot_P,C16_35_39_Indigen_M,C16_35_39_Indigen_F,C16_35_39_Indigen_P,C16_35_39_NonInd_M,C16_35_39_NonInd_F,C16_35_39_NonInd_P,C16_35_39_Ind_st_ns_M,C16_35_39_Ind_st_ns_F,C16_35_39_Ind_st_ns_P,C16_35_39_Tot_M,C16_35_39_Tot_F,C16_35_39_Tot_P,C16_40_44_Indigen_M,C16_40_44_Indigen_F,C16_40_44_Indigen_P,C16_40_44_NonInd_M,C16_40_44_NonInd_F,C16_40_44_NonInd_P,C16_40_44_Ind_st_ns_M,C16_40_44_Ind_st_ns_F,C16_40_44_Ind_st_ns_P,C16_40_44_Tot_M,C16_40_44_Tot_F,C16_40_44_Tot_P,C16_45_49_Indigen_M,C16_45_49_Indigen_F,C16_45_49_Indigen_P,C16_45_49_NonInd_M,C16_45_49_NonInd_F,C16_45_49_NonInd_P,C16_45_49_Ind_st_ns_M,C16_45_49_Ind_st_ns_F,C16_45_49_Ind_st_ns_P,C16_45_49_Tot_M,C16_45_49_Tot_F,C16_45_49_Tot_P,C16_50_54_Indigen_M,C16_50_54_Indigen_F,C16_50_54_Indigen_P,C16_50_54_NonInd_M,C16_50_54_NonInd_F,C16_50_54_NonInd_P,C16_50_54_Ind_st_ns_M,C16_50_54_Ind_st_ns_F,C16_50_54_Ind_st_ns_P,C16_50_54_Tot_M,C16_50_54_Tot_F,C16_50_54_Tot_P,C16_55_59_Indigen_M,C16_55_59_Indigen_F,C16_55_59_Indigen_P,C16_55_59_NonInd_M,C16_55_59_NonInd_F,C16_55_59_NonInd_P,C16_55_59_Ind_st_ns_M,C16_55_59_Ind_st_ns_F,C16_55_59_Ind_st_ns_P,C16_55_59_Tot_M,C16_55_59_Tot_F,C16_55_59_Tot_P,C16_60_64_Indigen_M,C16_60_64_Indigen_F,C16_60_64_Indigen_P,C16_60_64_NonInd_M,C16_60_64_NonInd_F,C16_60_64_NonInd_P,C16_60_64_Ind_st_ns_M,C16_60_64_Ind_st_ns_F,C16_60_64_Ind_st_ns_P,C16_60_64_Tot_M,C16_60_64_Tot_F,C16_60_64_Tot_P,C16_65_over_Indigen_M,C16_65_over_Indigen_F,C16_65_over_Indigen_P,C16_65over_NonInd_M,C16_65over_NonInd_F,C16_65over_NonInd_P,C16_65over_Indig_st_ns_M,C16_65over_Indig_st_ns_F,C16_65over_Indig_st_ns_P,C16_65_over_Tot_M,C16_65_over_Tot_F,C16_65_over_Tot_P,C16_Tot_Indig_M,C16_Tot_Indig_F,C16_Tot_Indig_P,C16_Tot_NonInd_M,C16_Tot_NonInd_F,C16_Tot_NonInd_P,C16_Tot_Indig_st_ns_M,C16_Tot_Indig_st_ns_F,C16_Tot_Indig_st_ns_P,C16_Tot_Tot_M,C16_Tot_Tot_F,C16_Tot_Tot_P,C21_0_4_Indig_M,C21_0_4_Indig_F,C21_0_4_Indig_P,C21_0_4_NonInd_M,C21_0_4_NonInd_F,C21_0_4_NonInd_P,C21_0_4_Indig_st_ns_M,C21_0_4_Indig_st_ns_F,C21_0_4_Indig_st_ns_P,C21_0_4_Tot_M,C21_0_4_Tot_F,C21_0_4_Tot_P,C21_5_9_Indig_M,C21_5_9_Indig_F,C21_5_9_Indig_P,C21_5_9_NonInd_M,C21_5_9_NonInd_F,C21_5_9_NonInd_P,C21_5_9_Indig_st_ns_M,C21_5_9_Indig_st_ns_F,C21_5_9_Indig_st_ns_P,C21_5_9_Tot_M,C21_5_9_Tot_F,C21_5_9_Tot_P,C21_10_14_Indigen_M,C21_10_14_Indigen_F,C21_10_14_Indigen_P,C21_10_14_NonInd_M,C21_10_14_NonInd_F,C21_10_14_NonInd_P,C21_10_14_Ind_st_ns_M,C21_10_14_Ind_st_ns_F,C21_10_14_Ind_st_ns_P,C21_10_14_Tot_M,C21_10_14_Tot_F,C21_10_14_Tot_P,C21_15_19_Indigen_M,C21_15_19_Indigen_F,C21_15_19_Indigen_P,C21_15_19_NonInd_M
1,23838,245210,232976,478185,12382,11580,23962,204299,193116,397416,11205,10430,21631,227882,215129,443012,11420,10955,22375,206674,196307,402982,12012,11051,23062,230107,218317,448424,9692,9259,18950,223459,217388,440842,15337,14537,29880,248485,241183,489669,7557,7583,15142,235284,241856,477136,17742,17135,34881,260579,266577,527158,6117,6504,12624,242636,251528,494163,17228,16348,33578,265983,274379,540363,5299,5664,10967,227219,232819,460039,14846,13872,28721,247359,252362,499722,5522,6393,11918,226900,236445,463347,14469,13426,27902,246904,256266,503162,5451,6344,11793,219966,233142,453110,14181,13363,27545,239600,252844,492443,4990,5640,10629,219602,227683,447287,14264,13365,27629,238856,246687,485543,4297,4767,9066,210559,222893,433456,13917,13288,27197,228773,240948,469721,3292,3572,6866,188425,199864,388286,12565,12325,24892,204286,215758,420046,5376,6199,11578,520032,603292,1123325,37722,45022,82737,563129,654515,1217642,107365,108811,216171,3358657,3467637,6826288,219986,217773,437765,3686007,3794216,7480230,15576,14664,30241,214484,202440,416924,10648,10236,20890,240712,227347,468056,16250,14865,31114,228254,216269,444523,12930,12246,25176,257439,243381,500810,15932,15281,31215,228953,216695,445650,12561,11716,24272,257440,243693,501135,14115,13399,27517,210605
2,18788,189075,179558,368635,2546,2458,5009,163652,155495,319143,8708,8207,16910,174907,166156,341065,2395,2406,4803,170240,163130,333367,9214,8961,18174,181849,174492,356338,2191,2086,4275,195202,190075,385272,12340,11908,24249,209730,204064,413790,1774,1858,3638,201903,207847,409748,13885,13998,27886,217556,223709,441268,1449,1450,2900,204549,213438,417988,13611,13428,27037,219608,228324,447923,1229,1328,2553,187220,191832,379047,11475,10951,22428,199917,204109,404028,1309,1375,2685,183583,193751,377336,11168,10703,21870,196062,205829,401892,1330,1404,2739,182323,195140,377468,11118,10722,21840,194776,207269,402045,1088,1237,2329,172653,182181,354836,10855,10353,21208,184599,193771,378372,932,988,1919,161933,173121,335058,10300,10335,20640,173172,184442,357614,749,806,1552,144105,154947,299054,9547,9690,19240,154399,165440,319839,1142,1375,2516,390931,462907,853835,29770,36470,66242,421840,500753,922595,23624,24164,47788,2712480,2819793,5532275,171968,174592,346563,2908079,3018545,5926624,3560,3460,7014,181440,172430,353868,7677,7332,15012,192679,183222,375900,3616,3451,7067,193885,183254,377136,9245,8718,17964,206739,195427,402168,3569,3414,6986,188707,178318,367025,8970,8407,17376,201248,190141,391388,3062,2963,6020,175504
3,17645,162809,154329,317138,10884,10453,21341,134585,127006,261591,8212,7955,16166,153680,145413,299095,9891,9524,19420,132907,127331,260235,8395,8239,16636,151192,145089,296285,8343,8120,16461,139717,138814,278533,11224,10643,21867,159283,157576,316859,6537,6686,13221,139643,144692,284332,11944,11248,23195,158127,162626,320749,5487,5815,11304,142435,149918,292355,11808,10484,22286,159731,166218,325943,4893,5283,10175,134069,141412,275479,10479,9081,19566,149442,155777,305218,5052,5534,10584,141746,150091,291839,10909,9572,20480,157707,165198,322899,4701,5331,10033,141534,150315,291852,11288,9811,21099,157523,165459,322979,4169,4541,8710,135921,143545,279471,10922,9627,20548,151016,157712,308725,3310,3756,7061,129084,136487,265575,10334,9229,19562,142723,149475,292200,2453,2794,5249,116089,121749,237835,9011,8589,17601,127555,133130,260687,3611,4584,8199,311121,347111,658230,24340,27180,51517,339068,378879,717951,92176,94307,186484,2072864,2138159,4211019,156845,148837,305688,2321885,2381302,4703192,13189,12549,25731,130358,122527,252887,7169,6671,13833,150708,141746,292452,13728,13151,26873,146576,138899,285471,8713,8252,16969,169015,160289,329311,14111,13448,27564,153160,144529,297682,9047,8260,17303,176322,166240,342560,11943,11719,23665,140438
4,4533,51432,49036,100467,1847,1823,3665,45033,42550,87583,2196,2013,4210,49074,46382,95462,1819,1739,3551,47488,45233,92726,2209,2197,4404,51515,49169,100684,1487,1530,3015,51043,48731,99779,2691,2506,5194,55218,52766,107987,1314,1313,2622,49393,49875,99263,2808,2662,5473,53509,53851,107362,1106,1118,2225,50790,52215,103002,2873,2644,5523,54763,55983,110747,843,925,1769,47614,48452,96073,2659,2317,4976,51118,51697,102814,910,1028,1937,49475,50221,99702,2685,2330,5009,53069,53580,106650,884,1031,1918,52290,53744,106034,3009,2657,5669,56186,57435,113618,810,887,1695,52118,53756,105868,3011,2696,5708,55930,57337,113269,651,742,1396,51005,53568,104572,3014,2921,5935,54668,57230,111898,499,547,1046,46226,49339,95564,2773,2648,5417,49505,52524,102027,718,867,1579,130928,155271,286202,8451,10362,18808,140096,166495,306588,16890,17296,34181,766039,790967,1557007,43074,42393,85467,826001,850653,1676653,2363,2175,4544,44386,42084,86465,1608,1614,3221,48352,45872,94232,2381,2266,4647,48917,46259,95177,1994,1932,3930,53299,50452,103750,2395,2329,4724,49443,46991,96432,2091,1917,4003,53923,51237,105159,2119,1973,4090,47055
5,8747,84278,79873,164154,4182,4129,8312,69095,65605,134702,4021,3769,7790,77299,73504,150806,3848,3567,7417,69195,65575,134768,4070,3744,7807,77112,72881,149998,3469,3185,6654,73650,69524,143175,5431,5068,10501,82560,77773,160335,3208,2928,6136,81913,82472,164387,7852,6529,14385,92971,91940,184908,2678,2637,5313,87380,87324,174708,7921,6323,14247,97985,96282,194267,2216,2230,4446,78523,78487,157007,6570,5020,11594,87305,85737,173040,2219,2195,4418,77689,78616,156311,6302,4965,11268,86213,85784,172001,1993,2282,4274,78258,78755,157009,6329,4905,11234,86578,85942,172519,1703,1912,3618,73849,74183,148028,5995,4797,10789,81546,80892,162437,1378,1565,2948,67276,69565,136846,5460,4646,10107,74122,75778,149898,1005,1189,2192,59235,61998,121227,4595,4123,8723,64835,67306,132144,1375,1821,3192,149640,169041,318686,11442,12863,24304,162464,183726,346187,38022,37959,75981,1114998,1122550,2237543,85401,75491,160890,1238418,1235996,2474414,4859,4406,9264,74958,70958,145920,3432,3140,6571,83249,78503,161753,4997,4537,9532,79603,75598,155204,4017,3900,7918,88612,84042,172654,4819,4818,9632,79361,74725,154086,3964,3690,7657,88139,83238,171377,4349,4179,8530,70937
6,1715,16190,15326,31517,1299,1265,2561,13349,12640,25991,841,825,1667,15492,14729,30221,1262,1121,2379,13861,13148,27009,837,848,1681,15958,15118,31079,976,943,1916,13420,12795,26212,897,835,1733,15292,14569,29864,758,825,1578,12436,12945,25374,903,848,1753,14091,14609,28699,646,815,1461,12740,13433,26176,852,837,1688,14241,15085,29328,539,667,1212,12207,13348,25560,778,788,1567,13522,14810,28335,566,669,1232,13600,14876,28477,908,872,1781,15078,16422,31499,645,738,1382,14947,16194,31140,1058,930,1985,16645,17863,34514,535,644,1181,15621,16600,32225,1090,1037,2128,17250,18290,35539,528,594,1129,16372,17545,33910,1176,1174,2344,18078,19310,37383,451,413,861,15407,16292,31698,1139,1083,2218,16997,17783,34775,719,732,1454,41962,47927,89888,3420,3982,7407,46099,52645,98749,11580,11996,23578,222332,232795,455132,15562,15691,31255,249476,260480,509961,1517,1360,2875,12395,11808,24200,612,589,1196,14520,13756,28277,1599,1558,3162,13533,13008,26543,743,703,1449,15881,15274,31150,1771,1709,3476,14565,13662,28226,792,720,1510,17123,16088,33212,1510,1372,2878,13255
7,1322,8689,8131,16819,3088,2788,5873,4073,3919,7992,614,547,1164,7776,7252,15028,2922,2699,5619,3944,3371,7317,609,531,1139,7474,6598,14072,2846,2637,5480,5055,4408,9462,945,752,1702,8850,7796,16644,2576,2423,5003,7144,6992,14139,1404,1154,2562,11133,10573,21707,2330,2301,4628,7261,7171,14430,1266,1001,2269,10860,10471,21333,1911,1970,3883,6291,5972,12262,1065,799,1867,9268,8747,18014,1861,1961,3829,5778,5359,11138,933,715,1648,8580,8035,16615,1650,1859,3511,5831,5292,11115,1058,772,1828,8537,7914,16455,1333,1550,2883,5443,4888,10329,923,714,1646,7697,7157,14854,974,1149,2122,4802,4477,9284,823,662,1486,6600,6291,12891,704,885,1593,4084,3453,7538,718,559,1275,5503,4900,10409,900,1307,2209,6652,5653,12309,1038,812,1844,8593,7770,16369,29131,29118,58247,76556,70772,147328,12882,10377,23258,118568,110269,228838,2794,2572,5365,5124,4729,9848,528,475,1009,8445,7774,16224,3012,2776,5791,4973,4866,9838,583,630,1215,8565,8276,16842,3103,2913,6020,4535,4195,8735,574,507,1087,8218,7616,15836,3049,2840,5891,3780
8,970,13228,12225,25449,313,310,622,10678,10150,20830,396,382,779,11391,10843,22233,335,348,679,11531,11284,22814,500,510,1011,12364,12144,24506,375,312,689,14602,14398,29000,882,856,1741,15860,15563,31430,281,294,575,14658,15294,29954,1006,949,1956,15947,16538,32485,206,244,454,15251,16015,31263,1026,880,1913,16484,17143,33630,182,209,384,14049,14249,28299,782,717,1502,15014,15174,30188,177,195,371,12986,13440,26426,770,658,1423,13926,14286,28213,192,171,361,12262,12601,24865,713,620,1327,13162,13392,26554,156,172,329,11053,11824,22873,636,593,1226,11845,12589,24433,106,132,245,10117,10838,20952,573,589,1163,10793,11561,22359,97,79,176,8539,9416,17960,476,537,1013,9112,10040,19147,92,118,206,21276,25566,46837,1342,1590,2928,22704,27267,49972,3274,3233,6508,182196,188551,370746,10274,9867,20144,195743,201660,397393,464,430,893,12923,12111,25032,378,378,758,13766,12918,26680,492,450,944,14065,13277,27344,446,431,877,15002,14158,29162,477,360,840,13131,12330,25457,404,392,800,14012,13086,27097,442,451,895,12417
9,23,154,130,286,16,8,25,99,118,223,14,3,20,127,136,261,11,13,22,90,77,167,6,10,24,104,103,214,9,3,11,112,57,174,16,7,24,136,71,211,3,3,8,137,80,220,19,11,29,162,100,263,6,6,10,142,127,267,19,15,34,167,142,310,8,10,19,160,124,287,11,5,17,182,140,317,6,14,18,147,128,276,11,13,20,171,154,321,9,12,22,144,134,279,17,16,34,170,165,333,10,6,10,172,145,318,24,25,51,207,173,380,7,11,20,167,152,312,19,26,46,195,185,378,5,0,10,141,138,281,20,21,40,172,163,331,8,14,23,331,287,615,43,39,85,384,331,717,115,115,232,2099,1793,3893,246,211,462,2463,2119,4583,4,7,13,110,87,202,16,13,30,132,109,243,5,12,14,133,120,252,11,13,27,150,141,292,8,14,19,128,99,231,27,18,42,167,130,295,9,4,14,72
