STE_CODE_2021,C11_SH_FH_CF_no_ch,C11_SH_FH_CF_w_ch,C11_SH_FH_One_PFam,C11_SH_FH_oth_fa,C11_SH_FH_Tot,C11_SH_LP_H,C11_SH_GH,C11_SH_OH,C11_SH_Tot,C11_SDRTHT1S_FH_CF_no_ch,C11_SDRTHT1S_FH_CF_w_ch,C11_SDRTHT1S_FH_One_PFam,C11_SDRTHT1S_FH_oth_fa,C11_SDRTHT1S_FH_Tot,C11_SDRTHT1S_LP_H,C11_SDRTHT1S_GH,C11_SDRTHT1S_OH,C11_SDRTHT1S_Tot,C11_SDRTHT2S_FH_CF_no_ch,C11_SDRTHT2S_FH_CF_w_ch,C11_SDRTHT2S_FH_One_PFam,C11_SDRTHT2S_FH_oth_fa,C11_SDRTHT2S_FH_Tot,C11_SDRTHT2S_LP_H,C11_SDRTHT2S_GH,C11_SDRTHT2S_OH,C11_SDRTHT2S_Tot,C11_SDRTHT_FH_CF_no_ch,C11_SDRTHT_FH_CF_w_ch,C11_SDRTHT_FH_One_PFam,C11_SDRTHT_FH_oth_fa,C11_SDRTHT_FH_Tot,C11_SDRTHT_LP_H,C11_SDRTHT_GH,C11_SDRTHT_OH,C11_SDRTHT_Tot,C11_F_a_1_2_FH_CF_no_ch,C11_F_a_1_2_FH_CF_w_ch,C11_F_a_1_2_FH_One_PFam,C11_F_a_1_2_FH_oth_fa,C11_F_a_1_2_FH_Tot,C11_F_a_1_2_LP_H,C11_F_a_1_2_GH,C11_F_a_1_2_OH,C11_F_a_1_2_Tot,C11_F_a_3_FH_CF_no_ch,C11_F_a_3_FH_CF_w_ch,C11_F_a_3_FH_One_PFam,C11_F_a_3_FH_oth_fa,C11_F_a_3_FH_Tot,C11_F_a_3_LP_H,C11_F_a_3_GH,C11_F_a_3_OH,C11_F_a_3_Tot,C11_F_a_4_8_FH_CF_no_ch,C11_F_a_4_8_FH_CF_w_ch,C11_F_a_4_8_FH_One_PFam,C11_F_a_4_8_FH_oth_fa,C11_F_a_4_8_FH_Tot,C11_F_a_4_8_LP_H,C11_F_a_4_8_GH,C11_F_a_4_8_OH,C11_F_a_4_8_Tot,C11_F_a_9m_FH_CF_no_ch,C11_F_a_9m_FH_CF_w_ch,C11_F_a_9m_FH_One_PFam,C11_F_a_9m_FH_oth_fa,C11_F_a_9m_FH_Tot,C11_F_a_9m_LP_H,C11_F_a_9m_GH,C11_F_a_9m_OH,C11_F_a_9m_Tot,C11_F_a_a_h_FH_CF_no_ch,C11_F_a_a_h_FH_CF_w_ch,C11_F_a_a_h_FH_One_PFam,C11_F_a_a_h_FH_oth_fa,C11_F_a_a_h_FH_Tot,C11_F_a_a_h_LP_H,C11_F_a_a_h_GH,C11_F_a_a_h_OH,C11_F_a_a_h_Tot,C11_F_a_Tot_FH_CF_no_ch,C11_F_a_Tot_FH_CF_w_ch,C11_F_a_Tot_FH_One_PFam,C11_F_a_Tot_FH_oth_fa,C11_F_a_Tot_FH_Tot,C11_F_a_Tot_LP_H,C11_F_a_Tot_GH,C11_F_a_Tot_OH,C11_F_a_Tot_Tot,C11_OD_C_c_hb_FH_CF_no_ch,C11_OD_C_c_hb_FH_CF_w_ch,C11_OD_C_c_hb_FH_One_PFam,C11_OD_C_c_hb_FH_oth_fa,C11_OD_C_c_hb_FH_Tot,C11_OD_C_c_hb_LP_H,C11_OD_C_c_hb_GH,C11_OD_C_c_hb_OH,C11_OD_C_c_hb_Tot,C11_OD_Ih_t_s_FH_CF_no_ch,C11_OD_Ih_t_s_FH_CF_w_ch,C11_OD_Ih_t_s_FH_One_PFam,C11_OD_Ih_t_s_FH_oth_fa,C11_OD_Ih_t_s_FH_Tot,C11_OD_Ih_t_s_LP_H,C11_OD_Ih_t_s_GH,C11_OD_Ih_t_s_OH,C11_OD_Ih_t_s_Tot,C11_OD_H_f_so_FH_CF_no_ch,C11_OD_H_f_so_FH_CF_w_ch,C11_OD_H_f_so_FH_One_PFam,C11_OD_H_f_so_FH_oth_fa,C11_OD_H_f_so_FH_Tot,C11_OD_H_f_so_LP_H,C11_OD_H_f_so_GH,C11_OD_H_f_so_OH,C11_OD_H_f_so_Tot,C11_OD_Tot_FH_CF_no_ch,C11_OD_Tot_FH_CF_w_ch,C11_OD_Tot_FH_One_PFam,C11_OD_Tot_FH_oth_fa,C11_OD_Tot_FH_Tot,C11_OD_Tot_LP_H,C11_OD_Tot_GH,C11_OD_Tot_OH,C11_OD_Tot_Tot,C11_DS_ns_FH_CF_no_ch,C11_DS_ns_FH_CF_w_ch,C11_DS_ns_FH_One_PFam,C11_DS_ns_FH_oth_fa,C11_DS_ns_FH_Tot,C11_DS_ns_LP_H,C11_DS_ns_GH,C11_DS_ns_OH,C11_DS_NS_Tot,C11_Tot_FH_CF_no_ch,C11_Tot_FH_CF_w_ch,C11_Tot_FH_One_PFam,C11_Tot_FH_oth_fa,C11_Tot_FH_Tot,C11_Tot_LP_H,C11_Tot_GH,C11_Tot_OH,C11_Tot_Tot,C16_SH_FH_CF_no_ch,C16_SH_FH_CF_w_ch,C16_SH_FH_One_PFam,C16_SH_FH_oth_fa,C16_SH_FH_Tot,C16_SH_LP_H,C16_SH_GH,C16_SH_OH,C16_SH_Tot,C16_SDRTHT1S_FH_CF_no_ch,C16_SDRTHT1S_FH_CF_w_ch,C16_SDRTHT1S_FH_One_PFam,C16_SDRTHT1S_FH_oth_fa,C16_SDRTHT1S_FH_Tot,C16_SDRTHT1S_LP_H,C16_SDRTHT1S_GH,C16_SDRTHT1S_OH,C16_SDRTHT1S_Tot,C16_SDRTHT2S_FH_CF_no_ch,C16_SDRTHT2S_FH_CF_w_ch,C16_SDRTHT2S_FH_One_PFam,C16_SDRTHT2S_FH_oth_fa,C16_SDRTHT2S_FH_Tot,C16_SDRTHT2S_LP_H,C16_SDRTHT2S_GH,C16_SDRTHT2S_OH,C16_SDRTHT2S_Tot,C16_SDRTHT_Tot_FH_CF_no_ch,C16_SDRTHT_Tot_FH_CF_w_ch,C16_SDRTHT_Tot_FH_One_PFam,C16_SDRTHT_Tot_FH_oth_fa,C16_SDRTHT_Tot_FH_Tot,C16_SDRTHT_Tot_LP_H,C16_SDRTHT_Tot_GH,C16_SDRTHT_Tot_OH,C16_SDRTHT_Tot_Tot,C16_F_a_1_2_FH_CF_no_ch,C16_F_a_1_2_FH_CF_w_ch,C16_F_a_1_2_FH_One_PFam,C16_F_a_1_2_FH_oth_fa,C16_F_a_1_2_FH_Tot,C16_F_a_1_2_LP_H,C16_F_a_1_2_GH,C16_F_a_1_2_OH,C16_F_a_1_2_Tot,C16_F_a_3_FH_CF_no_ch,C16_F_a_3_FH_CF_w_ch,C16_F_a_3_FH_One_PFam,C16_F_a_3_FH_oth_fa,C16_F_a_3_FH_Tot,C16_F_a_3_LP_H,C16_F_a_3_GH,C16_F_a_3_OH,C16_F_a_3_Tot,C16_F_a_4_8_FH_CF_no_ch,C16_F_a_4_8_FH_CF_w_ch
1,456764,684325,209332,18047,1368466,308055,41176,55832,1773528,29940,25803,15837,1633,73210,52232,5494,6170,137106,30751,39815,18854,1950,91369,33042,8583,7611,140601,60697,65612,34695,3580,164578,85268,14076,13790,277713,29809,19543,14351,2229,65936,75339,9437,12945,163651,36400,26048,14505,2915,79877,54835,12429,12961,160097,47497,24068,10831,3698,86098,60762,16190,20664,183717,..,..,..,..,..,..,..,..,..,795,603,486,34,1918,2180,193,366,4660,114504,70259,40180,8882,233834,193121,38240,46935,512128,3120,568,761,94,4548,8327,352,7835,21056,114,140,68,11,331,391,23,1722,2458,1595,1462,763,114,3926,2576,671,920,8104,4824,2161,1595,221,8805,11295,1044,10478,31618,737,650,276,54,1724,1414,204,865,4205,637531,823016,286081,30784,1777399,599153,94751,127896,2599192,457898,692251,209018,19011,1378169,307342,44309,80895,1810712,30996,26987,16014,1652,75653,59905,6183,9546,151288,38562,57117,24014,2268,121957,43779,9969,10789,186498,69555,84106,40028,3921,197612,103683,16153,20338,337787,27441,21102,13241,1945,63737,63784,9101,14156,150775,40882,32186,15656,2850,91571,56615,14270,15338,177799,65762,39227
2,393154,582929,173577,17011,1166678,284319,44970,48515,1544490,29546,20892,12096,1850,64392,51137,7745,5878,129155,17464,16899,6836,1297,42490,14087,5878,3799,66259,47014,37794,18923,3149,106886,65223,13627,9676,195415,33932,17216,13690,2806,67639,78064,11480,10798,167991,10120,2664,1972,997,15756,19405,5427,4832,45419,13353,3948,3347,1907,22554,22438,6344,8385,59722,..,..,..,..,..,..,..,..,..,264,175,119,18,568,726,82,135,1508,57670,24000,19122,5733,106527,120638,23330,24147,274640,1358,251,287,34,1928,4896,212,2675,9705,88,95,26,5,216,229,15,936,1390,1089,1008,314,71,2483,1305,418,473,4676,2536,1355,624,109,4626,6426,640,4077,15771,211,181,68,18,472,262,65,117,907,500588,646259,212319,26019,1385188,476871,82630,86535,2031223,400565,606350,177606,17581,1202105,299079,45771,73900,1620847,43045,37285,19314,2586,102221,79231,10607,12024,204091,29007,32861,12218,1938,76028,23568,9270,7047,115901,72047,70147,31526,4517,178244,102800,19872,19067,319988,22683,13033,8097,1690,45506,48908,8184,10253,112853,13055,3875,2547,1010,20490,23014,6119,6537,56165,25418,6950
3,356249,452376,142675,13686,964985,205864,44450,47541,1262845,15497,7146,7344,769,30752,29336,3118,3153,66364,16593,11411,10291,1380,39671,19974,6582,4841,71061,32092,18553,17635,2148,70425,49308,9699,7999,137429,18145,7450,9920,1634,37151,51695,7740,8916,105505,10946,3102,2983,937,17970,18224,5483,5400,47073,14282,3777,2341,774,21174,15971,4731,7664,49541,..,..,..,..,..,..,..,..,..,328,172,156,14,671,814,88,191,1762,43699,14505,15401,3363,76963,86707,18045,22167,203881,4345,709,688,79,5828,9828,537,20008,36203,298,231,94,16,638,590,57,2414,3700,610,409,196,25,1247,747,107,294,2392,5253,1354,982,121,7709,11166,702,22724,42299,397,238,92,11,741,466,70,809,2089,437685,487019,176793,19328,1120829,353511,72969,101233,1648537,369703,469306,150587,14009,1003610,220059,45981,68235,1337886,16815,7210,9024,884,33933,38741,3308,6033,82005,23189,18201,16326,1730,59438,31201,8361,8603,107603,40007,25408,25347,2608,93370,69943,11670,14634,189616,13362,6049,7366,1098,27873,39934,5689,8644,82142,13725,4580,4070,1017,23389,22106,6445,5995,57930,20913,5600
4,145691,165448,56147,5117,372407,107554,14513,14848,509313,11375,5601,6697,749,24416,26493,2467,2148,55517,3631,2208,1458,270,7576,4239,1282,817,13913,15003,7813,8152,1019,31989,30726,3749,2963,69429,8212,3389,3321,697,15620,27973,2541,2577,48710,708,310,141,71,1234,2049,429,430,4143,1093,266,185,123,1670,2365,649,1022,5707,..,..,..,..,..,..,..,..,..,68,38,30,5,143,272,19,27,463,10082,4003,3677,903,18667,32656,3643,4061,59030,502,60,50,7,617,1230,53,2311,4213,52,33,12,3,98,103,9,328,532,196,139,61,9,403,257,43,61,770,752,227,122,21,1117,1587,105,2704,5514,85,58,23,0,169,144,13,286,615,171620,177552,68120,7066,424352,172669,22016,24859,643895,144751,165193,56992,5113,372046,110262,14494,20895,517697,14735,9145,8584,1015,33468,36452,3291,4689,77907,5554,4379,2544,441,12913,6507,1868,1479,22770,20282,13521,11126,1455,46387,42962,5161,6164,100673,5768,3393,2277,449,11885,18547,1780,2445,34655,815,395,198,86,1493,2117,433,573,4611,1506,403
5,181263,242774,69600,7824,501461,116288,21017,29834,668604,15041,8322,6223,1006,30592,29213,3629,4201,67637,6167,3767,1802,458,12198,6737,1969,2009,22910,21201,12090,8028,1467,42788,35951,5601,6209,90544,8128,3488,3104,629,15342,19820,2477,3844,41488,3010,840,503,258,4610,6218,1201,1928,13955,3916,985,432,233,5565,6051,1073,2705,15406,..,..,..,..,..,..,..,..,..,130,73,48,10,255,331,27,68,690,15190,5382,4078,1132,25785,32423,4784,8545,71535,1974,342,184,33,2535,3320,167,9892,15914,111,89,26,3,236,207,28,1607,2080,286,168,67,6,536,297,61,202,1089,2369,603,279,48,3304,3822,258,11705,19083,212,126,32,8,370,280,36,936,1619,220237,260976,82016,10476,573710,188761,31690,57232,851392,193177,263754,74427,8000,539358,124784,21680,39709,725534,21663,14278,9648,1442,47026,40594,4575,7515,99718,8975,6189,2736,560,18450,9411,2501,2746,33112,30637,20463,12380,1999,65480,50005,7076,10262,132825,4543,1790,1287,278,7892,11308,1235,3014,23442,3035,934,527,230,4736,5860,1006,1897,13494,5664,1453
6,50750,51136,19735,1433,123048,38728,4735,5177,171690,1507,571,866,77,3023,4850,335,383,8593,506,255,238,33,1039,834,252,142,2261,2014,826,1110,112,4058,5681,588,526,10859,2102,705,1198,131,4145,7761,626,763,13294,204,53,26,12,299,567,107,126,1099,157,29,26,14,230,342,56,84,714,..,..,..,..,..,..,..,..,..,72,29,24,4,126,224,31,23,402,2532,817,1282,168,4797,8893,823,997,15509,142,52,28,4,227,414,15,173,822,21,24,3,5,50,68,7,104,227,166,116,34,12,334,220,37,52,642,334,191,70,9,607,696,53,334,1694,32,39,6,0,70,28,8,21,129,55654,53009,22201,1718,132582,54036,6206,7059,199876,52579,49306,20634,1505,124021,44008,4970,9238,182237,1201,425,770,88,2476,5351,368,692,8892,732,401,316,53,1498,1392,297,263,3446,1932,828,1082,140,3980,6743,667,956,12340,1491,569,888,103,3052,5597,550,950,10151,214,43,47,22,325,639,122,145,1229,153,35
7,9825,17927,5471,574,33790,5611,1781,3678,44864,1054,725,452,56,2292,1796,291,596,4977,733,506,237,35,1507,741,255,300,2804,1789,1233,689,91,3796,2533,547,894,7776,1315,856,642,97,2909,2555,430,973,6867,521,225,102,23,868,579,274,450,2174,836,294,126,33,1286,753,359,571,2966,..,..,..,..,..,..,..,..,..,12,11,5,0,36,34,3,26,96,2684,1386,877,147,5100,3920,1069,2018,12103,591,237,92,23,945,758,59,4138,5894,94,43,24,22,185,313,46,592,1136,50,22,10,0,78,85,15,49,229,728,306,128,44,1208,1148,119,4780,7255,69,53,30,3,151,101,13,331,591,15094,20898,7186,867,44043,13319,3525,11700,72596,10867,18254,5475,718,35309,6022,1768,5052,48150,1193,1050,585,83,2910,1955,278,753,5901,705,653,253,38,1648,833,218,421,3129,1896,1700,839,123,4564,2793,497,1179,9027,1089,875,476,72,2519,2064,355,892,5829,575,326,119,26,1041,645,206,376,2266,1535,751
8,25303,38477,10259,990,75033,15480,3752,2508,96770,2882,1810,1194,146,6027,5162,687,469,12345,1890,1430,888,104,4311,1769,858,371,7307,4772,3235,2083,245,10336,6928,1547,845,19654,1169,491,389,75,2121,2768,501,472,5858,1505,420,286,84,2289,2757,785,701,6535,1475,293,135,51,1959,1978,587,865,5386,..,..,..,..,..,..,..,..,..,91,32,21,3,139,183,20,43,382,4236,1237,817,215,6504,7679,1886,2082,18159,34,6,16,3,58,123,4,133,326,0,0,0,0,0,3,0,25,32,5,6,3,0,12,13,6,4,34,41,12,19,3,72,138,10,166,395,11,12,9,4,34,16,0,7,54,34360,42972,13191,1454,91983,30249,7199,5611,135032,25336,40424,10018,864,76645,15811,3066,3595,99113,3064,2483,1505,149,7208,6050,619,828,14695,2946,2665,1239,165,7016,3275,1118,812,12221,6010,5150,2743,319,14223,9326,1731,1635,26916,1052,466,299,62,1876,2361,356,523,5117,1902,823,339,109,3170,3333,808,850,8161,2948,798
9,102,197,44,5,351,34,9,35,436,16,17,7,0,39,19,3,17,76,4,0,0,0,4,0,0,0,3,20,17,7,0,42,20,3,17,85,15,20,5,0,39,49,4,35,127,34,36,6,4,85,23,7,12,126,0,3,0,0,3,3,0,0,8,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,50,59,12,4,132,74,10,49,261,0,0,0,0,0,0,0,16,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,3,0,0,0,0,16,19,10,3,0,0,11,3,0,4,17,180,281,70,6,541,138,20,124,819,363,350,112,5,832,286,13,117,1241,13,21,10,0,42,16,0,9,66,7,10,3,0,17,12,0,9,37,20,28,13,0,61,26,0,20,102,5,9,3,0,19,34,0,24,76,14,25,7,4,50,8,0,16,77,0,0
