STE_CODE_2021,C11_PI_S_R225_274,C11_PI_S_R275_349,C11_PI_S_R350_449,C11_PI_S_R450_549,C11_PI_S_R550_649,C11_PI_S_R650more,C11_PI_S_R_NS,C11_PI_S_R_Tot,C11_AI_NS_R1_74,C11_AI_NS_R75_99,C11_AI_NS_R100_149,C11_AI_NS_R150_199,C11_AI_NS_R200_224,C11_AI_NS_R225_274,C11_AI_NS_R275_349,C11_AI_NS_R350_449,C11_AI_NS_R450_549,C11_AI_NS_R550_649,C11_AI_NS_R650more,C11_AI_NS_R_NS,C11_AI_NS_R_Tot,C11_Tot_R1_74,C11_Tot_R75_99,C11_Tot_R100_149,C11_Tot_R150_199,C11_Tot_R200_224,C11_Tot_R225_274,C11_Tot_R275_349,C11_Tot_R350_449,C11_Tot_R450_549,C11_Tot_R550_649,C11_Tot_R650more,C11_Tot_R_NS,C11_Tot_R_Tot,C16_Neg_Ni_inc_R1_74,C16_Neg_Ni_inc_R75_99,C16_Neg_Ni_inc_R100_149,C16_Neg_Ni_inc_R150_199,C16_Neg_Ni_inc_R200_224,C16_Neg_Ni_inc_R225_274,C16_Neg_Ni_inc_R275_349,C16_Neg_Ni_inc_R350_449,C16_Neg_Ni_inc_R450_549,C16_Neg_Ni_inc_R550_649,C16_Neg_Ni_inc_R650more,C16_Neg_Ni_inc_R_NS,C16_Neg_Ni_inc_R_Tot,C16_1_149_R1_74,C16_1_149_R75_99,C16_1_149_R100_149,C16_1_149_R150_199,C16_1_149_R200_224,C16_1_149_R225_274,C16_1_149_R275_349,C16_1_149_R350_449,C16_1_149_R450_549,C16_1_149_R550_649,C16_1_149_R650more,C16_1_149_R_NS,C16_1_149_R_Tot,C16_150_299_R1_74,C16_150_299_R75_99,C16_150_299_R100_149,C16_150_299_R150_199,C16_150_299_R200_224,C16_150_299_R225_274,C16_150_299_R275_349,C16_150_299_R350_449,C16_150_299_R450_549,C16_150_299_R550_649,C16_150_299_R650more,C16_150_299_R_NS,C16_150_299_R_Tot,C16_300_399_R1_74,C16_300_399_R75_99,C16_300_399_R100_149,C16_300_399_R150_199,C16_300_399_R200_224,C16_300_399_R225_274,C16_300_399_R275_349,C16_300_399_R350_449,C16_300_399_R450_549,C16_300_399_R550_649,C16_300_399_R650more,C16_300_399_R_NS,C16_300_399_R_Tot,C16_400_499_R1_74,C16_400_499_R75_99,C16_400_499_R100_149,C16_400_499_R150_199,C16_400_499_R200_224,C16_400_499_R225_274,C16_400_499_R275_349,C16_400_499_R350_449,C16_400_499_R450_549,C16_400_499_R550_649,C16_400_499_R650more,C16_400_499_R_NS,C16_400_499_R_Tot,C16_500_649_R1_74,C16_500_649_R75_99,C16_500_649_R100_149,C16_500_649_R150_199,C16_500_649_R200_224,C16_500_649_R225_274,C16_500_649_R275_349,C16_500_649_R350_449,C16_500_649_R450_549,C16_500_649_R550_649,C16_500_649_R650more,C16_500_649_R_NS,C16_500_649_R_Tot,C16_650_799_R1_74,C16_650_799_R75_99,C16_650_799_R100_149,C16_650_799_R150_199,C16_650_799_R200_224,C16_650_799_R225_274,C16_650_799_R275_349,C16_650_799_R350_449,C16_650_799_R450_549,C16_650_799_R550_649,C16_650_799_R650more,C16_650_799_R_NS,C16_650_799_R_Tot,C16_800_999_R1_74,C16_800_999_R75_99,C16_800_999_R100_149,C16_800_999_R150_199,C16_800_999_R200_224,C16_800_999_R225_274,C16_800_999_R275_349,C16_800_999_R350_449,C16_800_999_R450_549,C16_800_999_R550_649,C16_800_999_R650more,C16_800_999_R_NS,C16_800_999_R_Tot,C16_1000_1249_R1_74,C16_1000_1249_R75_99,C16_1000_1249_R100_149,C16_1000_1249_R150_199,C16_1000_1249_R200_224,C16_1000_1249_R225_274,C16_1000_1249_R275_349,C16_1000_1249_R350_449,C16_1000_1249_R450_549,C16_1000_1249_R550_649,C16_1000_1249_R650more,C16_1000_1249_R_NS,C16_1000_1249_R_Tot,C16_1250_1499_R1_74,C16_1250_1499_R75_99,C16_1250_1499_R100_149,C16_1250_1499_R150_199,C16_1250_1499_R200_224,C16_1250_1499_R225_274,C16_1250_1499_R275_349,C16_1250_1499_R350_449,C16_1250_1499_R450_549,C16_1250_1499_R550_649,C16_1250_1499_R650more,C16_1250_1499_R_NS,C16_1250_1499_R_Tot,C16_1500_1999_R1_74,C16_1500_1999_R75_99,C16_1500_1999_R100_149,C16_1500_1999_R150_199,C16_1500_1999_R200_224,C16_1500_1999_R225_274,C16_1500_1999_R275_349,C16_1500_1999_R350_449,C16_1500_1999_R450_549,C16_1500_1999_R550_649,C16_1500_1999_R650more,C16_1500_1999_R_NS,C16_1500_1999_R_Tot,C16_2000_2499_R1_74,C16_2000_2499_R75_99,C16_2000_2499_R100_149,C16_2000_2499_R150_199,C16_2000_2499_R200_224,C16_2000_2499_R225_274,C16_2000_2499_R275_349,C16_2000_2499_R350_449,C16_2000_2499_R450_549,C16_2000_2499_R550_649,C16_2000_2499_R650more,C16_2000_2499_R_NS,C16_2000_2499_R_Tot,C16_2500_2999_R1_74,C16_2500_2999_R75_99,C16_2500_2999_R100_149,C16_2500_2999_R150_199,C16_2500_2999_R200_224,C16_2500_2999_R225_274,C16_2500_2999_R275_349,C16_2500_2999_R350_449,C16_2500_2999_R450_549,C16_2500_2999_R550_649
1,4503,8306,9848,6219,3572,5319,2648,49979,965,1925,1975,1755,893,1292,1769,1697,875,478,972,4636,19230,18412,36315,52798,63828,42051,74476,124055,135810,71318,36695,47166,27745,730661,333,241,1134,1025,649,952,1932,2970,2375,1891,2790,1717,18014,406,277,868,741,360,411,622,782,525,347,477,500,6317,2422,1848,5319,3086,1515,1610,1964,2006,1074,570,658,1260,23328,945,1308,12805,5621,2369,2510,3052,2606,1119,469,530,1436,34762,1031,1336,13501,9132,4353,5409,6175,5431,2252,929,825,1790,52172,431,463,3559,6130,3621,5966,8310,8193,3401,1311,1132,1510,44024,450,525,3449,7206,4893,6992,11043,11961,4858,1912,1515,1753,56559,362,321,2345,3922,4010,6514,11878,15119,6796,2725,2170,1546,57696,329,262,1739,3338,3192,6122,13619,20671,10029,4198,3459,1749,68707,287,157,1025,2201,2073,4546,10861,19902,10694,4882,3860,1401,61903,451,186,1057,2072,2193,5177,12857,29966,20455,9687,8238,1996,94342,351,133,635,1248,1245,3018,7814,21777,21073,12455,11021,1576,82346,172,52,272,440,480,1331,2959,9510,11033,7821
2,4434,7849,6910,3426,1545,2053,2002,35027,452,985,1189,1333,699,1212,1697,963,401,216,491,3414,13060,9476,20505,35387,50367,35755,74742,116018,82564,31259,12767,16978,20139,505952,213,158,783,897,686,1814,3283,3875,2436,1480,1175,1477,18295,242,202,675,532,383,549,942,848,456,200,217,453,5695,1276,869,3305,2183,1272,1855,2470,1683,653,298,301,901,17061,516,855,7479,3321,1928,2647,3239,1814,551,226,239,993,23803,642,929,8173,5901,3432,5318,6443,3288,894,344,396,1331,37086,279,328,2559,4622,3282,6208,9083,4695,1210,423,501,1123,34315,330,385,2367,4611,3573,7343,11934,6906,1646,583,641,1248,41567,268,270,1661,3126,3385,7747,15000,9053,2247,866,821,1277,45717,257,202,1402,2796,2882,7944,18658,13354,3455,1203,1169,1451,54774,174,158,870,1826,1940,5779,16787,14198,3727,1279,1255,1130,49128,273,151,977,1848,1913,6334,21710,24876,7528,2535,2361,1563,72079,200,101,569,969,996,3398,13784,22513,9429,3367,2856,1203,59385,90,65,247,354,360,1209,5591,10963,5917,2435
3,3811,8639,11164,4112,1452,1366,1791,39390,715,655,1016,1209,668,1162,1724,1425,491,242,453,3268,13037,19470,15392,30334,38971,30093,59767,116453,120095,35136,11704,12207,18541,508167,129,108,496,554,459,753,1377,1863,1041,514,396,828,8510,214,138,378,388,237,344,542,594,246,92,95,271,3544,1308,905,2242,1726,977,1443,1726,1357,466,167,158,645,13126,526,1252,4966,3154,1639,2519,2784,1749,386,136,125,876,20112,626,1464,6930,5586,3569,6025,6081,3754,851,229,222,1117,36440,370,359,2316,4298,3143,6408,9061,5997,1263,332,260,867,34673,365,442,2257,4443,3497,7445,12391,9099,1919,503,379,1048,43788,342,338,1620,3169,3186,7160,13879,11835,2711,667,472,1068,46434,393,293,1407,2514,2639,7122,16431,17332,4209,1082,723,1172,55313,388,216,951,1640,1810,5256,14108,18264,5077,1203,806,1008,50723,674,284,1061,1730,1847,5832,16683,28477,9843,2522,1506,1292,71752,909,261,745,1087,1089,3297,9969,22449,10125,2878,1909,1022,55741,496,140,317,404,390,1263,3740,10363,6117,2151
4,1719,2443,1365,434,154,186,486,10118,388,607,595,491,236,404,433,176,55,26,102,1214,4743,8266,14401,19669,22123,14951,28616,32651,14981,3612,1328,1828,7087,169516,96,129,299,335,204,437,722,625,318,110,81,341,3706,169,159,304,262,120,214,282,136,61,24,14,138,1892,1172,1048,1576,1018,484,759,781,368,84,31,42,380,7742,349,2264,3357,1648,724,1200,1185,386,65,24,54,497,11745,380,2206,4343,2910,1388,2279,2180,677,132,31,69,553,17147,217,341,1452,2342,1369,2975,3309,1080,148,51,40,383,13696,157,414,1332,2824,1731,3520,4325,1488,186,45,67,502,16586,158,276,959,1637,1653,3642,4984,1825,310,102,73,422,16053,149,195,732,1464,1316,3753,6130,2692,391,117,114,485,17533,107,111,482,1026,887,2725,5095,2879,438,113,100,324,14283,118,98,524,998,890,2857,6247,4755,877,226,173,370,18136,77,53,345,511,518,1409,3658,3966,1048,255,205,270,12324,48,17,119,226,186,483,1341,1819,640,165
5,1615,4253,5916,2176,814,1076,1043,20785,467,512,563,429,235,411,697,633,237,113,292,1435,6020,10418,10375,17125,16070,11882,22827,48012,49728,15728,5669,8915,9996,226748,97,84,318,251,153,311,762,1061,478,185,174,424,4296,129,108,275,196,81,152,249,354,142,41,50,161,1932,706,495,1384,819,360,510,857,836,256,58,64,375,6721,321,568,3214,1248,534,803,1275,1029,203,58,69,405,9731,412,600,3888,2087,970,1432,2321,1894,382,87,92,519,14700,241,193,1119,1541,837,1583,3323,2841,591,118,128,350,12872,269,232,1049,1865,1003,1836,3830,3921,791,182,175,452,15611,250,165,729,973,971,1840,4502,5059,1164,247,225,474,16591,233,152,710,927,872,1875,5192,7208,1907,407,339,541,20357,208,105,462,727,593,1368,4306,7222,2031,412,367,456,18272,329,155,627,850,809,1815,5682,11535,4220,1027,755,763,28566,609,136,535,679,589,1204,3669,9779,4819,1463,1066,724,25260,205,58,271,305,275,480,1402,4674,3097,939
6,509,580,315,104,29,28,114,2800,88,257,213,204,112,122,91,33,7,6,18,341,1503,2031,4460,6567,9033,5488,8537,7389,3015,735,220,350,1718,49551,21,20,73,107,74,117,116,74,25,12,12,78,741,56,36,93,95,51,55,47,31,18,0,5,31,524,339,230,535,481,246,281,166,38,16,11,7,112,2467,84,440,1004,940,404,407,237,67,13,3,13,135,3737,151,562,1408,1445,798,956,512,142,24,7,18,164,6191,82,79,550,1147,812,1117,791,192,22,15,17,141,4967,77,119,492,1167,894,1361,1033,263,38,14,14,112,5583,62,74,329,776,769,1302,1212,335,38,10,18,110,5035,61,35,268,579,707,1360,1431,458,80,18,12,90,5103,52,28,157,349,446,987,1261,497,65,21,13,82,3971,63,27,131,325,385,959,1471,824,159,42,23,107,4505,55,17,82,154,171,460,849,649,189,38,20,65,2744,19,0,35,43,65,134,309,334,91,22
7,141,237,419,409,238,226,239,2880,215,48,73,53,14,28,52,47,46,18,61,266,923,5427,1329,1927,1743,1417,1604,2585,4113,3323,1577,1473,2288,28800,44,13,23,22,9,13,10,33,12,13,14,44,250,91,26,19,20,5,0,7,13,16,0,4,33,240,278,113,93,43,18,14,15,20,15,7,9,61,677,272,208,121,51,22,30,32,39,9,5,11,55,857,408,215,184,95,41,31,58,44,32,11,8,88,1215,196,84,159,95,56,60,84,97,41,17,12,80,980,304,104,215,140,57,96,136,159,88,29,28,101,1443,295,125,170,147,77,125,211,266,134,45,38,117,1744,318,96,170,145,98,148,307,414,250,100,67,133,2249,252,99,137,120,87,161,262,480,312,146,102,152,2304,308,113,150,144,101,352,383,871,691,304,218,301,3932,222,72,120,88,67,304,320,826,883,463,331,308,4018,106,40,60,49,35,212,142,396,507,312
8,157,239,820,766,337,215,136,3090,47,72,50,39,11,19,29,97,59,21,39,165,660,1258,2346,2338,1808,1225,1904,3898,12247,7234,2467,1652,1292,39677,33,21,45,53,17,27,81,174,124,57,52,68,755,30,29,54,31,16,9,32,57,31,10,16,35,334,226,176,241,89,37,41,59,96,44,12,19,68,1104,86,392,587,149,68,46,78,107,47,16,11,84,1663,75,416,771,227,72,98,133,197,68,17,15,96,2180,42,71,339,246,96,125,232,309,109,20,18,54,1656,24,68,258,327,157,196,332,445,134,37,30,63,2077,17,49,137,190,156,243,490,706,229,54,44,83,2396,21,23,115,148,106,283,866,1292,402,97,63,90,3502,17,14,65,98,87,204,799,1593,481,124,85,75,3645,17,15,64,114,85,292,1038,2810,1199,292,138,111,6180,18,5,48,66,55,205,726,2626,1615,475,232,105,6166,4,11,15,25,26,132,288,1296,1044,309
9,7,0,0,0,0,0,5,47,0,0,3,0,0,0,0,0,0,0,0,0,8,100,32,49,42,23,30,24,9,9,4,11,57,385,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,3,3,0,0,0,0,0,0,0,0,6,0,0,10,0,3,0,7,0,0,0,0,0,21,4,5,6,4,0,0,0,0,0,0,0,0,21,4,0,4,9,6,0,0,0,0,0,0,4,29,0,0,12,11,4,0,0,5,3,0,0,3,36,7,4,15,6,3,0,0,0,0,0,0,4,48,3,0,3,10,4,0,0,5,0,0,0,3,40,3,4,10,7,9,9,3,7,3,0,0,10,61,8,3,0,11,5,4,12,4,0,0,0,9,63,11,0,0,5,0,0,7,5,0,0
