STE_CODE_2021,Tot_persons_C11_M,Tot_persons_C11_F,Tot_persons_C11_P,Tot_persons_C16_M,Tot_persons_C16_F,Tot_persons_C16_P,Tot_persons_C21_M,Tot_persons_C21_F,Tot_persons_C21_P,Age_0_4_C11_M,Age_0_4_C11_F,Age_0_4_C11_P,Age_0_4_C16_M,Age_0_4_C16_F,Age_0_4_C16_P,Age_0_4_C21_M,Age_0_4_C21_F,Age_0_4_C21_P,Age_5_14_C11_M,Age_5_14_C11_F,Age_5_14_C11_P,Age_5_14_C16_M,Age_5_14_C16_F,Age_5_14_C16_P,Age_5_14_C21_M,Age_5_14_C21_F,Age_5_14_C21_P,Age_15_19_C11_M,Age_15_19_C11_F,Age_15_19_C11_P,Age_15_19_C16_M,Age_15_19_C16_F,Age_15_19_C16_P,Age_15_19_C21_M,Age_15_19_C21_F,Age_15_19_C21_P,Age_20_24_C11_M,Age_20_24_C11_F,Age_20_24_C11_P,Age_20_24_C16_M,Age_20_24_C16_F,Age_20_24_C16_P,Age_20_24_C21_M,Age_20_24_C21_F,Age_20_24_C21_P,Age_25_34_C11_M,Age_25_34_C11_F,Age_25_34_C11_P,Age_25_34_C16_M,Age_25_34_C16_F,Age_25_34_C16_P,Age_25_34_C21_M,Age_25_34_C21_F,Age_25_34_C21_P,Age_35_44_C11_M,Age_35_44_C11_F,Age_35_44_C11_P,Age_35_44_C16_M,Age_35_44_C16_F,Age_35_44_C16_P,Age_35_44_C21_M,Age_35_44_C21_F,Age_35_44_C21_P,Age_45_54_C11_M,Age_45_54_C11_F,Age_45_54_C11_P,Age_45_54_C16_M,Age_45_54_C16_F,Age_45_54_C16_P,Age_45_54_C21_M,Age_45_54_C21_F,Age_45_54_C21_P,Age_55_64_C11_M,Age_55_64_C11_F,Age_55_64_C11_P,Age_55_64_C16_M,Age_55_64_C16_F,Age_55_64_C16_P,Age_55_64_C21_M,Age_55_64_C21_F,Age_55_64_C21_P,Age_65_74_C11_M,Age_65_74_C11_F,Age_65_74_C11_P,Age_65_74_C16_M,Age_65_74_C16_F,Age_65_74_C16_P,Age_65_74_C21_M,Age_65_74_C21_F,Age_65_74_C21_P,Age_75_84_C11_M,Age_75_84_C11_F,Age_75_84_C11_P,Age_75_84_C16_M,Age_75_84_C16_F,Age_75_84_C16_P,Age_75_84_C21_M,Age_75_84_C21_F,Age_75_84_C21_P,Age_grp_85over_C11_M,Age_grp_85over_C11_F,Age_grp_85over_C11_P,Age_grp_85over_C16_M,Age_grp_85over_C16_F,Age_grp_85over_C16_P,Age_grp_85over_C21_M,Age_grp_85over_C21_F,Age_grp_85over_C21_P,OS_vis_C11_M,OS_vis_C11_F,OS_vis_C11_P,OS_vis_C16_M,OS_vis_C16_F,OS_vis_C16_P,OS_vis_C21_M,OS_vis_C21_F,OS_vis_C21_P,IP_Abor_C11_M,IP_Abor_C11_F,IP_Abor_C11_P,IP_Abor_C16_M,IP_Abor_C16_F,IP_Abor_C16_P,IP_Abor_C21_M,IP_Abor_C21_F,IP_Abor_C21_P,IP_Tor_Strt_Is_2011_Ce_M,IP_Tor_Strt_Is_2011_Ce_F,IP_Tor_Strt_Is_2011_Ce_P,IP_Tor_Strt_Is_2016_Ce_M,IP_Tor_Strt_Is_2016_Ce_F,IP_Tor_Strt_Is_2016_Ce_P,IP_Tor_Strt_Is_2021_Ce_M,IP_Tor_Strt_Is_2021_Ce_F,IP_Tor_Strt_Is_2021_Ce_P,IP_B_Ab_To_St_Is_2011_Ce_M,IP_B_Ab_To_St_Is_2011_Ce_F,IP_B_Ab_To_St_Is_2011_Ce_P,IP_B_Ab_To_St_Is_2016_Ce_M,IP_B_Ab_To_St_Is_2016_Ce_F,IP_B_Ab_To_St_Is_2016_Ce_P,IP_B_Ab_To_St_Is_2021_Ce_M,IP_B_Ab_To_St_Is_2021_Ce_F,IP_B_Ab_To_St_Is_2021_Ce_P,IP_Tot_2011_Ce_M,IP_Tot_2011_Ce_F,IP_Tot_2011_Ce_P,IP_Tot_2016_Ce_M,IP_Tot_2016_Ce_F,IP_Tot_2016_Ce_P,IP_Tot_2021_Ce_M,IP_Tot_2021_Ce_F,IP_Tot_2021_Ce_P,Brthplace_Aust_2011_Ce_M,Brthplace_Aust_2011_Ce_F,Brthplace_Aust_2011_Ce_P,Brthplace_Aust_2016_Ce_M,Brthplace_Aust_2016_Ce_F,Brthplace_Aust_2016_Ce_P,Brthplace_Aust_2021_Ce_M,Brthplace_Aust_2021_Ce_F,Brthplace_Aust_2021_Ce_P,Brthplace_Elsewhere_2011_Ce_M,Brthplace_Elsewhere_2011_Ce_F,Brthplace_Elsewhere_2011_Ce_P,Brthplace_Elsewhere_2016_Ce_M,Brthplace_Elsewhere_2016_Ce_F,Brthplace_Elsewhere_2016_Ce_P,Brthplace_Elsewhere_2021_Ce_M,Brthplace_Elsewhere_2021_Ce_F,Brthplace_Elsewhere_2021_Ce_P,LSH_Eng_only_2011_Ce_M,LSH_Eng_only_2011_Ce_F,LSH_Eng_only_2011_Ce_P,LSH_Eng_only_2016_Ce_M,LSH_Eng_only_2016_Ce_F,LSH_Eng_only_2016_Ce_P,LSH_Eng_only_2021_Ce_M,LSH_Eng_only_2021_Ce_F,LSH_Eng_only_2021_Ce_P,LSH_Oth_Lan_2011_Ce_M,LSH_Oth_Lan_2011_Ce_F,LSH_Oth_Lan_2011_Ce_P,LSH_Oth_Lan_2016_Ce_M,LSH_Oth_Lan_2016_Ce_F,LSH_Oth_Lan_2016_Ce_P,LSH_Oth_Lan_2021_Ce_M,LSH_Oth_Lan_2021_Ce_F,LSH_Oth_Lan_2021_Ce_P,Aust_citiz_C11_M,Aust_citiz_C11_F,Aust_citiz_C11_P,Aust_citiz_C16_M,Aust_citiz_C16_F,Aust_citiz_C16_P,Aust_citiz_C21_M,Aust_citiz_C21_F,Aust_citiz_C21_P
1,3408877,3508780,6917657,3686007,3794216,7480230,3984166,4087995,8072163,235334,223396,458737,238859,226273,465135,240712,227347,468056,449235,424543,873780,473092,448104,921198,514881,487069,1001950,228228,215191,443415,230107,218317,448424,236148,221749,457896,226954,222734,449684,248485,241183,489669,254808,241374,496185,464302,477193,941497,526562,540962,1067522,564183,577842,1142026,473804,497823,971622,494262,508623,1002886,544184,558980,1103170,467207,483243,950451,478458,499529,977984,497158,519788,1016948,400131,410157,810286,433059,456707,889766,468679,493100,961784,265088,276599,541687,330473,346555,677021,381017,407711,788725,150703,186055,336754,170910,202207,373110,211315,240207,451521,47882,91852,139730,61746,105755,167506,71074,112820,183895,28893,33196,62083,42709,53207,95917,8733,8724,17458,81010,83601,164616,102826,104428,207256,132620,134445,267067,2441,2327,4770,2491,2353,4842,2658,2472,5127,1631,1616,3242,2051,2030,4083,2899,2946,5844,85083,87539,172620,107365,108811,216171,138179,139862,278043,2340176,2407286,4747464,2425533,2473670,4899202,2620108,2657480,5277591,866931,911520,1778456,1007743,1064715,2072458,1147575,1219373,2366948,2470013,2543330,5013347,2536106,2590528,5126635,2707952,2750024,5457982,751039,803296,1554335,908328,973693,1882017,1035532,1110551,2146080,2900774,3013499,5914275,3040661,3145459,6186119,3325551,3430483,6756031
2,2632623,2721424,5354035,2908079,3018545,5926624,3200963,3302528,6503491,177103,167636,344733,190592,180625,371219,192679,183222,375900,335699,318365,654064,363984,345717,709698,407989,385564,793556,177008,168331,345342,181849,174492,356338,186517,176690,363201,190682,184420,375108,209730,204064,413790,210533,199803,410337,377077,383804,760882,437163,452025,889191,483005,492492,975493,377079,397534,774616,395975,409934,805915,452707,466025,918738,355200,371272,726472,379374,401043,780416,402329,424557,826885,298222,313021,611245,327568,349887,677452,361238,385315,746547,194909,207320,402224,244826,264768,509597,289036,316522,605557,113366,140991,254359,129452,155558,285008,159926,184873,344801,36270,68729,104999,47566,80425,127990,55017,87455,142475,20407,23744,44148,31459,41664,73121,6285,6640,12918,17138,17808,34947,22005,22584,44590,30908,30961,61865,1088,1072,2159,1038,987,2027,1115,972,2083,448,438,882,578,594,1169,847,851,1692,18672,19315,37992,23624,24164,47788,32862,32782,65646,1802131,1868817,3670944,1893744,1951766,3845515,2090149,2138535,4228686,687890,717431,1405325,817122,863132,1680256,947035,1004805,1951837,1902397,1972465,3874864,1981354,2045463,4026817,2157940,2211866,4369804,600904,634529,1235435,744745,794092,1538833,867455,924326,1791786,2225600,2323976,4549576,2370575,2467555,4838130,2647013,2742806,5389821
3,2148216,2184519,4332739,2321885,2381302,4703192,2540404,2615736,5156138,153229,144663,297894,152032,144429,296464,150708,141746,292452,296518,281449,577972,316489,299745,616230,345336,326530,671867,150422,143492,293919,151192,145089,296285,160521,152988,313506,147570,146281,293847,159283,157576,316859,162887,160852,323739,290577,296827,587407,317852,328840,646694,344067,357651,701724,304082,316668,620750,307149,320970,628122,334387,353426,687817,290311,300571,590885,308535,323169,631704,328847,345286,674132,249206,251875,501086,270279,282600,552884,299154,316136,615299,160859,161785,322641,208591,214012,422602,245407,258059,503466,80789,95752,176543,98707,111112,209816,131066,143929,274997,24647,45151,69800,31769,53759,85531,38018,59126,97140,30715,35094,65810,37054,46893,83949,8411,6494,14902,60363,62532,122893,73505,75439,148940,95266,98142,193405,10051,10046,20100,10512,10536,21053,10842,10936,21772,6329,6498,12832,8156,8337,16489,11000,11127,22122,76743,79086,155826,92176,94307,186484,117102,120203,237303,1579226,1613008,3192237,1658120,1685691,3343820,1821362,1858645,3680014,434085,454425,888514,489323,526553,1015879,557995,612331,1170334,1817071,1858887,3675955,1889226,1931410,3820631,2046514,2104690,4151206,202071,221772,423838,263294,294395,557689,320107,361766,681877,1802121,1859407,3661527,1917148,1974184,3891328,2132379,2209581,4341959
4,787218,809352,1596570,826001,850653,1676653,878592,902924,1781516,49142,47006,96146,49909,47161,97068,48352,45872,94232,97829,92963,190792,100508,95421,195928,107220,101691,208912,53084,50165,103249,51515,49169,100684,51114,48041,99152,53977,51609,105585,55218,52766,107987,56156,53018,109174,101319,101011,202326,108275,109838,218111,117670,117619,235287,107373,109002,216378,104183,105280,209468,111877,114778,226660,111192,113750,224942,112115,114772,226890,111029,113611,224641,97739,101870,199611,104172,109756,213925,110759,116382,227147,64115,69082,133196,81317,87534,168850,94257,102082,196344,38441,47753,86193,42437,50820,93257,51928,60725,112656,13010,25142,38150,16340,28140,44484,18220,29101,47325,4881,5562,10447,6323,8038,14363,2083,1533,3619,14204,14627,28833,16098,16516,32616,20143,20449,40592,490,549,1041,475,466,941,501,497,994,278,281,560,315,313,627,492,476,967,14970,15463,30432,16890,17296,34181,21140,21420,42562,577871,592915,1170792,590565,601987,1192550,631392,641961,1273356,171631,181365,352999,185616,198477,384093,206176,222331,428503,641616,661451,1303066,646641,664895,1311533,682215,700733,1382951,111015,118537,229550,132341,141771,274116,153239,164049,317287,682146,707195,1389337,706220,729290,1435503,761799,787301,1549097
5,1126175,1112990,2239170,1238418,1235996,2474414,1322855,1337171,2660026,77857,73408,151260,83156,78572,161732,83249,78503,161753,148082,140726,288808,161575,153382,314956,176755,167277,344030,76469,71739,148211,77112,72881,149998,78685,74580,153263,82189,76820,159010,82560,77773,160335,81122,77702,158817,165964,158130,324096,190954,188220,379175,183972,188385,372352,165038,163220,328258,173523,171520,345044,188720,190766,379492,155804,154428,310225,168121,166832,334958,173750,174505,348256,127318,127110,254427,138950,143087,282038,154609,158832,313444,75834,76708,152541,98755,100907,199669,120271,127110,247382,39707,48411,88119,47859,56238,104097,62085,69042,131131,11919,22293,34216,15849,26580,42424,19644,30459,50106,12484,12417,24905,13851,17393,31247,4126,3417,7540,33071,33987,67060,36437,36484,72922,42761,42244,85004,705,602,1308,768,661,1436,881,743,1625,645,661,1299,812,813,1626,1066,995,2068,34421,35246,69669,38022,37959,75981,44716,43985,88693,705715,705807,1411522,748844,744010,1492859,824158,824648,1648804,340974,343524,684503,393618,404080,797695,413674,443973,857643,887448,888502,1775953,931001,930036,1861036,995834,1006945,2002771,158429,166619,325053,211102,224233,435336,231911,257132,489043,896189,909746,1805937,972305,982366,1954673,1089713,1113858,2203574
6,242674,252678,495351,249476,260480,509961,273765,283804,557571,16017,15159,31184,14539,13929,28475,14520,13756,28277,32113,30577,62689,31685,30053,61737,32998,31362,64363,16841,15847,32686,15958,15118,31079,15523,14544,30065,14924,14653,29574,15292,14569,29864,15806,15216,31024,26742,28542,55285,28339,29696,58028,38367,38291,76661,31121,33728,64851,28598,31230,59829,31893,34058,65959,34832,36725,71561,33900,36152,70048,33340,35868,69206,32947,33882,66825,35067,37089,72158,36370,39020,75393,22087,22677,44757,28076,29301,57379,32657,34338,66998,11540,14155,25695,13676,15928,29602,17239,19414,36649,3510,6733,10243,4348,7415,11762,5062,7928,12995,1018,1173,2187,1377,1589,2968,659,388,1046,8720,9023,17742,10582,10988,21571,13575,14162,27738,565,601,1169,578,535,1119,592,630,1225,343,369,718,419,470,889,588,634,1229,9625,9999,19627,11580,11996,23578,14761,15425,30186,202457,211810,414266,201537,209958,411495,215976,224842,440818,28313,29338,57648,29673,31565,61240,42094,43581,85669,221981,232131,454118,220344,230075,450412,234662,245214,479875,10556,11591,22151,12896,14400,27294,24072,24617,48690,219833,230667,450497,221540,232314,453850,237749,249407,487157
7,109519,102422,211946,118568,110269,228838,117526,115075,232605,8831,8284,17119,9000,8623,17628,8445,7774,16224,16395,15630,32022,16465,15384,31845,16787,15893,32678,7856,6968,14820,7474,6598,14072,7320,6857,14183,8985,7859,16839,8850,7796,16644,8321,7473,15791,18556,17998,36558,21989,21046,43037,20934,21958,42894,16763,16397,33162,17849,16780,34628,17661,18155,35817,14638,13937,28578,16238,15072,31309,15049,14923,29970,11110,9643,20751,12108,11193,23295,12298,11933,24236,4727,3843,8565,6313,5350,11663,7569,6933,14499,1413,1423,2833,1891,1883,3773,2644,2513,5157,253,443,693,394,545,939,499,665,1157,2963,3196,6163,5089,3883,8977,2435,772,3205,26924,27648,54574,27891,27921,55806,29005,29557,58566,366,307,669,397,348,740,375,321,692,748,786,1530,845,847,1692,923,928,1852,28037,28742,56781,29131,29118,58247,30310,30809,61115,81340,76689,158032,81680,75849,157531,82313,79260,161573,17627,17548,35178,22639,22768,45407,24326,26413,50738,68935,64083,133015,69198,63437,132635,67791,65468,133262,27484,29198,56679,33065,34493,67556,36228,39105,75337,89294,85782,175081,92336,87633,179970,93115,92458,185571
8,176745,180475,357219,195743,201660,397393,224361,230140,454499,12385,11457,23842,13898,12897,26796,13766,12918,26680,21820,20678,42502,24615,23065,47684,29019,27242,56253,12362,11635,24000,12364,12144,24506,13415,12936,26348,15638,15108,30749,15860,15563,31430,17084,17173,34261,28995,29248,58247,32433,33679,66115,38702,39046,77747,26146,26783,52929,28942,29465,58405,34336,35048,69387,23275,24728,48008,25006,25979,50990,27837,28369,56207,18842,19943,38785,19909,21596,41503,21907,23500,45406,10423,11247,21664,13945,15509,29452,16645,19029,35673,5192,6468,11668,6445,7921,14360,8789,10567,19350,1657,3176,4831,2319,3839,6159,2867,4314,7181,1740,1914,3659,2095,2780,4877,553,597,1151,2478,2380,4855,3090,3048,6138,4282,4141,8425,100,86,185,90,96,179,117,107,230,78,58,137,95,89,183,137,159,300,2656,2529,5188,3274,3233,6508,4542,4407,8949,126434,128620,255057,134013,136019,270039,152580,154335,306909,41801,44519,86322,50615,54550,105164,63013,67640,130653,137597,140448,278044,143049,145941,288990,160427,163428,323854,31057,33614,64667,41490,45183,86671,54021,57636,111660,154791,158962,313752,165650,170294,335945,192180,197830,390014
9,1971,1064,3034,2463,2119,4583,2520,2268,4788,78,60,140,143,123,263,132,109,243,178,180,357,282,269,549,313,268,587,112,52,165,104,103,214,88,103,189,201,71,271,136,71,211,108,104,218,580,146,725,328,245,572,339,240,583,273,175,449,346,294,638,324,310,642,239,188,427,379,333,712,347,316,665,210,128,342,360,347,708,382,384,772,82,44,119,266,212,475,322,267,586,11,22,35,96,93,184,120,135,257,5,0,4,21,31,55,31,34,66,18,17,38,61,56,119,15,10,23,117,115,233,106,111,213,97,116,212,4,0,6,8,7,10,4,5,6,0,0,3,0,0,5,3,0,6,119,124,244,115,115,232,99,117,224,777,694,1470,1319,1221,2534,1359,1319,2683,963,301,1264,831,648,1481,774,607,1382,527,417,944,892,833,1729,968,986,1956,637,589,1226,1058,1066,2132,980,966,1946,989,837,1827,1716,1596,3307,1730,1706,3435
