STE_CODE_2021,C11_M_NatPhy_sci_15_19,C11_M_NatPhy_sci_20_24,C11_M_NatPhy_sci_25_34,C11_M_NatPhy_sci_35_44,C11_M_NatPhy_sci_45_54,C11_M_NatPhy_sci_55_64,C11_M_NatPhy_sci_65_74,C11_M_NatPhy_sci_75_84,C11_M_NatPhy_sci_85over,C11_M_NatPhy_sci_Tot,C11_M_InfTec_15_19,C11_M_InfTec_20_24,C11_M_InfTec_25_34,C11_M_InfTec_35_44,C11_M_InfTec_45_54,C11_M_InfTec_55_64,C11_M_InfTec_65_74,C11_M_InfTec_75_84,C11_M_InfTec_85over,C11_M_InfTec_Tot,C11_M_EngRT_15_19,C11_M_EngRT_20_24,C11_M_EngRT_25_34,C11_M_EngRT_35_44,C11_M_EngRT_45_54,C11_M_EngRT_55_64,C11_M_EngRT_65_74,C11_M_EngRT_75_84,C11_M_EngRT_85over,C11_M_EngRT_Tot,C11_M_ArchBuild_15_19,C11_M_ArchBuild_20_24,C11_M_ArchBuild_25_34,C11_M_ArchBuild_35_44,C11_M_ArchBuild_45_54,C11_M_ArchBuild_55_64,C11_M_ArchBuild_65_74,C11_M_ArchBuild_75_84,C11_M_ArchBuild_85over,C11_M_ArchBuild_Tot,C11_M_AgEnv_RS_15_19,C11_M_AgEnv_RS_20_24,C11_M_AgEnv_RS_25_34,C11_M_AgEnv_RS_35_44,C11_M_AgEnv_RS_45_54,C11_M_AgEnv_RS_55_64,C11_M_AgEnv_RS_65_74,C11_M_AgEnv_RS_75_84,C11_M_AgEnv_RS_85over,C11_M_AgEnv_RS_Tot,C11_M_Health_15_19,C11_M_Health_20_24,C11_M_Health_25_34,C11_M_Health_35_44,C11_M_Health_45_54,C11_M_Health_55_64,C11_M_Health_65_74,C11_M_Health_75_84,C11_M_Health_85over,C11_M_Health_Tot,C11_M_Educ_15_19,C11_M_Educ_20_24,C11_M_Educ_25_34,C11_M_Educ_35_44,C11_M_Educ_45_54,C11_M_Educ_55_64,C11_M_Educ_65_74,C11_M_Educ_75_84,C11_M_Educ_85over,C11_M_Educ_Tot,C11_M_MngtCom_15_19,C11_M_MngtCom_20_24,C11_M_MngtCom_25_34,C11_M_MngtCom_35_44,C11_M_MngtCom_45_54,C11_M_MngtCom_55_64,C11_M_MngtCom_65_74,C11_M_MngtCom_75_84,C11_M_MngtCom_85over,C11_M_MngtCom_Tot,C11_M_Soc_cult_15_19,C11_M_Soc_cult_20_24,C11_M_Soc_cult_25_34,C11_M_Soc_cult_35_44,C11_M_Soc_cult_45_54,C11_M_Soc_cult_55_64,C11_M_Soc_cult_65_74,C11_M_Soc_cult_75_84,C11_M_Soc_cult_85over,C11_M_Soc_cult_Tot,C11_M_Creative_art_15_19,C11_M_Creative_art_20_24,C11_M_Creative_art_25_34,C11_M_Creative_art_35_44,C11_M_Creative_art_45_54,C11_M_Creative_art_55_64,C11_M_Creative_art_65_74,C11_M_Creative_art_75_84,C11_M_Creative_art_85over,C11_M_Creative_art_Tot,C11_M_FoodHos_PS_15_19,C11_M_FoodHos_PS_20_24,C11_M_FoodHos_PS_25_34,C11_M_FoodHos_PS_35_44,C11_M_FoodHos_PS_45_54,C11_M_FoodHos_PS_55_64,C11_M_FoodHos_PS_65_74,C11_M_FoodHos_PS_75_84,C11_M_FoodHos_PS_85over,C11_M_FoodHos_PS_Tot,C11_M_MixFld_pr_15_19,C11_M_MixFld_pr_20_24,C11_M_MixFld_pr_25_34,C11_M_MixFld_pr_35_44,C11_M_MixFld_pr_45_54,C11_M_MixFld_pr_55_64,C11_M_MixFld_pr_65_74,C11_M_MixFld_pr_75_84,C11_M_MixFld_pr_85over,C11_M_MixFld_pr_Tot,C11_M_FldStu_ID_15_19,C11_M_FldStu_ID_20_24,C11_M_FldStu_ID_25_34,C11_M_FldStu_ID_35_44,C11_M_FldStu_ID_45_54,C11_M_FldStu_ID_55_64,C11_M_FldStu_ID_65_74,C11_M_FldStu_ID_75_84,C11_M_FldStu_ID_85over,C11_M_FldStu_ID_Tot,C11_M_FldStu_NS_15_19,C11_M_FldStu_NS_20_24,C11_M_FldStu_NS_25_34,C11_M_FldStu_NS_35_44,C11_M_FldStu_NS_45_54,C11_M_FldStu_NS_55_64,C11_M_FldStu_NS_65_74,C11_M_FldStu_NS_75_84,C11_M_FldStu_NS_85over,C11_M_FldStu_NS_Tot,C11_M_Tot_15_19,C11_M_Tot_20_24,C11_M_Tot_25_34,C11_M_Tot_35_44,C11_M_Tot_45_54,C11_M_Tot_55_64,C11_M_Tot_65_74,C11_M_Tot_75_84,C11_M_Tot_85over,C11_M_Tot_Tot,C16_M_NatPhy_sci_15_19,C16_M_NatPhy_sci_20_24,C16_M_NatPhy_sci_25_34,C16_M_NatPhy_sci_35_44,C16_M_NatPhy_sci_45_54,C16_M_NatPhy_sci_55_64,C16_M_NatPhy_sci_65_74,C16_M_NatPhy_sci_75_84,C16_M_NatPhy_sci_85over,C16_M_NatPhy_sci_Tot,C16_M_InfTec_15_19,C16_M_InfTec_20_24,C16_M_InfTec_25_34,C16_M_InfTec_35_44,C16_M_InfTec_45_54,C16_M_InfTec_55_64,C16_M_InfTec_65_74,C16_M_InfTec_75_84,C16_M_InfTec_85over,C16_M_InfTec_Tot,C16_M_EngRT_15_19,C16_M_EngRT_20_24,C16_M_EngRT_25_34,C16_M_EngRT_35_44,C16_M_EngRT_45_54,C16_M_EngRT_55_64,C16_M_EngRT_65_74,C16_M_EngRT_75_84,C16_M_EngRT_85over,C16_M_EngRT_Tot,C16_M_ArchBuild_15_19,C16_M_ArchBuild_20_24,C16_M_ArchBuild_25_34,C16_M_ArchBuild_35_44,C16_M_ArchBuild_45_54,C16_M_ArchBuild_55_64,C16_M_ArchBuild_65_74,C16_M_ArchBuild_75_84,C16_M_ArchBuild_85over,C16_M_ArchBuild_Tot,C16_M_AgEnv_RS_15_19,C16_M_AgEnv_RS_20_24,C16_M_AgEnv_RS_25_34,C16_M_AgEnv_RS_35_44,C16_M_AgEnv_RS_45_54,C16_M_AgEnv_RS_55_64,C16_M_AgEnv_RS_65_74,C16_M_AgEnv_RS_75_84,C16_M_AgEnv_RS_85over,C16_M_AgEnv_RS_Tot
1,85,2514,8099,9568,9110,8015,4744,1760,494,44404,936,6083,30736,19839,10582,4231,832,135,21,73397,2614,21778,68676,84930,96189,79294,50987,25140,7241,436851,1658,11035,29832,33680,31541,24700,15503,7823,2037,157811,589,2797,8938,10378,9557,6729,3695,1642,386,44715,294,3039,12146,13886,13322,10475,5663,3127,951,62893,85,1446,7424,9676,12192,15191,7197,3072,689,56979,1697,18247,65362,60489,48830,36312,17329,6634,1986,256892,926,7274,24099,26583,22130,19220,9215,3757,993,114200,692,5579,14369,9884,6902,4743,2178,879,236,45452,980,6121,15240,12384,8995,6032,3800,1492,389,55427,274,385,282,262,294,261,163,99,44,2063,210,1053,3520,4290,4046,3025,1529,822,345,18836,23610,21894,43812,40310,40047,34487,29791,25529,10802,270281,34653,109242,332529,336157,313747,252711,152628,81909,26608,1640194,130,3383,9760,9759,9835,8825,6820,2589,766,51861,792,6575,30751,30744,14099,6724,2089,276,53,92100,2102,22534,79389,81686,91947,86676,65070,32002,10181,471586,2021,12014,36080,35362,34155,27993,19344,10183,2819,179984,511,2820,8843,10462,10177,8357,5186,2362,634,49351
2,59,2257,7234,8198,7704,6510,3511,1263,420,37153,591,4841,26617,16692,8630,3594,626,77,10,61677,2116,17055,55906,67249,70358,56884,35505,17264,4881,327213,2165,12132,26787,26031,21977,16150,10315,5091,1247,121905,405,2333,7689,8156,7077,4430,2182,979,235,33487,168,2477,10288,10718,10388,7704,3718,1992,583,48035,85,1081,6624,7691,9802,11761,6759,2505,530,46846,1399,15121,50278,45047,34791,24758,11170,4344,1406,188315,1016,5875,18103,17972,15172,13367,6374,2346,583,80810,693,5464,13451,8435,5092,3528,1627,569,196,39033,1011,5936,14041,9925,7157,4267,2493,1038,236,46103,171,296,260,178,181,134,115,92,39,1467,164,1147,3938,4130,3530,2711,1330,681,261,17890,17615,16889,31873,29324,28317,24946,22120,19844,8637,199566,27639,92894,273081,259743,230181,180745,107851,58088,19265,1249499,120,3993,8823,8770,8264,7365,5358,1856,605,45168,575,5555,27860,26275,11895,5757,1734,214,36,79891,2133,17964,65247,64524,71753,63090,46107,22215,7240,360274,2029,12663,36805,27513,25155,19813,12676,7022,1976,145658,401,2347,8006,8673,8192,5854,3336,1414,420,38638
3,86,1799,4856,4954,4315,3853,2060,694,155,22778,1434,3114,11291,8268,4593,2041,435,54,5,31240,2919,17802,52727,59864,62863,51948,31774,13692,3339,296941,1561,8965,22148,24111,23065,19312,11561,4858,1100,116679,674,1750,5917,6802,5630,3571,2002,742,175,27263,177,1899,8218,9623,8779,6125,3124,1516,387,39853,89,790,5010,6302,6974,7661,4407,1396,324,32954,1789,8084,26201,27850,23249,17547,7995,2850,782,116345,1178,4487,12290,12743,10315,8862,4405,1507,334,56129,806,2987,6296,4299,2866,2222,1101,429,106,21111,1200,4231,10207,9295,6231,4366,2333,746,167,38784,200,245,209,146,148,131,124,78,38,1314,196,632,2135,2806,2475,1938,1074,496,151,11903,15622,15099,28549,27812,26319,22256,17952,14428,6330,174368,27939,71892,196066,204871,187807,151840,90347,43483,13399,987649,150,1922,5380,5346,4921,4192,3275,1140,285,26609,1069,3746,11121,11187,6320,3153,1087,154,14,37862,3221,18083,59997,60387,63843,57504,42744,19399,4997,330173,1461,7738,26861,25112,23655,21924,15064,6966,1691,130482,528,1802,5447,7029,6528,4897,2828,1218,298,30580
4,22,655,2266,2313,2083,2034,1076,368,105,10932,186,1007,4410,2786,1742,901,173,15,0,11221,758,5931,17340,20847,22111,19535,12561,6495,1868,107449,547,2756,5414,5728,5873,4997,3522,1884,532,31250,199,954,2664,2813,2350,1616,726,338,95,11756,62,676,3197,3411,3494,2769,1369,726,212,15912,24,336,1734,2042,2667,4108,2109,611,141,13769,423,2904,9995,10386,9223,7542,3540,1439,484,45938,276,1799,4988,4817,4579,4506,2141,797,198,24093,135,1117,2418,1683,1242,951,484,168,49,8255,315,1461,3325,2922,2189,1490,833,297,87,12917,43,66,63,57,54,40,33,30,16,406,69,241,906,965,880,726,370,232,88,4466,4905,4234,7765,7852,8328,7179,6389,6289,2944,55883,7965,24135,66490,68621,66802,58385,35341,19693,6823,354253,14,638,2410,2453,2235,2111,1654,579,159,12250,236,1032,4254,3897,2188,1324,446,56,5,13436,849,5854,19265,19320,22093,20253,16243,8311,2679,114858,622,2812,7296,5508,6022,5739,4321,2456,760,35533,212,877,2728,3021,2765,2061,1211,446,187,13496
5,41,1092,3862,4115,3562,2801,1368,453,122,17410,590,1674,6522,4209,2343,977,211,18,3,16551,2035,12298,35361,37562,37786,29431,15648,6656,1616,178385,1124,5135,10548,10206,10184,8184,5099,2414,544,53443,287,1006,3299,3307,2840,2041,1159,499,97,14540,83,1002,4278,4735,4343,2990,1637,741,187,19998,56,401,2277,3001,3816,4022,2128,822,194,16714,580,4465,14676,14930,12728,9618,4549,1625,503,63669,472,2253,6141,6181,5382,4676,2215,833,190,28336,395,1606,3426,2225,1529,1254,532,193,50,11211,350,1788,4986,4401,3474,2022,1113,397,91,18626,87,110,89,97,91,79,64,40,15,669,87,321,1067,1314,1244,902,490,240,91,5762,8082,9394,19751,17641,15539,12188,8393,6832,2989,100809,14263,42553,116282,113929,104856,81180,44601,21756,6695,546121,60,1434,4407,4356,4001,3113,2190,680,195,20433,497,1717,6408,6086,3248,1509,469,64,6,20002,1852,12647,43768,41422,40049,33134,21636,9333,2330,206168,933,4608,14782,11248,10873,8951,6147,3332,812,61682,265,904,3143,3536,3215,2519,1653,727,185,16152
6,0,133,509,704,697,674,376,145,43,3287,83,397,1129,632,461,230,49,7,0,2992,302,1701,4390,5727,6624,5770,3862,1811,486,30670,223,1174,1895,2365,2797,2152,1414,685,171,12880,84,310,975,1118,1006,629,317,156,37,4642,9,154,662,849,1003,861,439,204,61,4254,4,69,573,676,942,1230,651,240,66,4441,112,637,2037,2243,2280,2050,946,389,87,10769,48,358,1052,1285,1339,1409,651,216,53,6403,28,210,501,482,399,423,209,85,22,2367,138,462,1139,1059,833,600,323,90,25,4676,11,13,8,12,9,14,15,9,8,101,18,54,219,254,267,266,155,75,29,1332,1597,1156,1937,2216,2494,2578,2488,2062,865,17391,2668,6844,17034,19621,21158,18881,11885,6167,1945,106204,0,151,575,682,725,719,578,190,68,3692,60,395,1182,802,543,335,134,23,0,3487,233,1615,4602,4979,6052,6394,4848,2382,682,31799,165,1018,2660,2019,2472,2645,1703,915,233,13828,79,321,957,1137,1128,850,458,213,59,5192
7,0,43,227,246,231,180,73,19,0,1024,31,137,461,259,156,87,14,4,0,1143,149,1066,2912,3124,2881,2011,796,193,21,13150,67,378,1045,897,851,682,292,71,8,4288,36,140,392,439,339,176,70,12,4,1613,7,73,475,445,392,280,85,23,8,1787,7,44,244,311,415,442,154,29,0,1645,39,266,1052,1142,881,697,170,29,6,4281,31,211,781,746,608,449,169,40,8,3053,19,71,254,184,143,115,45,5,0,851,50,213,559,433,322,173,54,6,0,1814,6,13,14,15,13,11,0,0,0,64,8,57,199,217,156,91,35,10,0,779,1460,1580,3373,2801,2247,1653,811,345,79,14347,1913,4290,11998,11268,9639,7054,2773,779,140,49855,5,47,223,253,238,196,102,25,0,1090,35,143,458,377,184,113,28,3,0,1341,149,1072,4240,3393,3228,2294,1083,310,59,15828,41,283,1489,1061,863,707,391,128,23,4991,39,110,382,399,375,224,90,29,8,1649
8,5,360,1171,1218,1319,1217,650,243,75,6249,121,635,3140,2384,1787,794,154,12,0,9025,65,856,3185,3403,3362,2777,1622,854,217,16343,65,684,1474,1416,1229,1049,692,343,104,7052,13,102,462,496,420,327,179,97,18,2117,7,148,650,690,670,500,225,133,38,3063,10,84,559,607,590,666,404,145,25,3094,73,1081,3623,3467,2956,2096,851,271,124,14546,63,975,3615,3095,2771,2696,1422,517,146,15295,47,447,1091,651,481,315,114,51,17,3208,74,359,783,642,381,202,108,57,9,2622,7,28,14,6,0,13,4,7,0,90,11,91,300,366,340,254,137,89,28,1617,1013,1339,2039,1626,1406,1064,786,640,322,10234,1588,7193,22105,20079,17714,13963,7341,3450,1119,94559,18,452,1335,1179,1280,1195,933,355,126,6868,99,671,3034,3260,2047,1187,355,35,5,10679,51,867,3553,3519,3334,2827,2110,1040,357,17670,75,607,1988,1545,1262,1025,769,441,134,7848,4,112,456,487,447,378,224,119,31,2258
9,0,0,0,6,0,6,0,0,0,13,0,0,8,0,0,0,0,0,0,9,0,7,20,39,49,29,8,0,0,158,0,5,9,10,12,11,6,0,0,48,0,0,3,10,6,3,0,0,0,20,0,0,7,0,0,3,0,0,0,10,0,0,3,10,8,4,0,0,0,30,0,4,11,10,11,5,3,0,0,45,0,0,7,16,10,5,0,0,0,41,0,0,4,0,5,0,0,0,0,3,0,0,5,5,4,0,0,0,0,13,0,0,0,0,0,6,0,0,0,4,0,0,3,0,4,0,0,0,0,5,49,138,445,135,56,33,12,4,4,885,54,166,526,229,161,107,26,3,4,1284,0,0,6,13,6,10,0,4,0,36,0,0,8,3,4,0,0,0,0,11,6,9,44,53,81,71,43,13,3,324,0,5,10,20,29,42,12,10,0,129,0,3,3,12,9,12,0,0,0,41
