STE_CODE_2021,C11_0_4_Indig_M,C11_0_4_Indig_F,C11_0_4_Indig_P,C11_0_4_NonInd_M,C11_0_4_NonInd_F,C11_0_4_NonInd_P,C11_0_4_Indig_st_ns_M,C11_0_4_Indig_st_ns_F,C11_0_4_Indig_st_ns_P,C11_0_4_Tot_M,C11_0_4_Tot_F,C11_0_4_Tot_P,C11_5_9_Indig_M,C11_5_9_Indig_F,C11_5_9_Indig_P,C11_5_9_NonInd_M,C11_5_9_NonInd_F,C11_5_9_NonInd_P,C11_5_9_Indig_st_ns_M,C11_5_9_Indig_st_ns_F,C11_5_9_Indig_st_ns_P,C11_5_9_Tot_M,C11_5_9_Tot_F,C11_5_9_Tot_P,C11_10_14_Indigen_M,C11_10_14_Indigen_F,C11_10_14_Indigen_P,C11_10_14_NonInd_M,C11_10_14_NonInd_F,C11_10_14_NonInd_P,C11_10_14_Ind_st_ns_M,C11_10_14_Ind_st_ns_F,C11_10_14_Ind_st_ns_P,C11_10_14_Tot_M,C11_10_14_Tot_F,C11_10_14_Tot_P,C11_15_19_Indigen_M,C11_15_19_Indigen_F,C11_15_19_Indigen_P,C11_15_19_NonInd_M,C11_15_19_NonInd_F,C11_15_19_NonInd_P,C11_15_19_Ind_st_ns_M,C11_15_19_Ind_st_ns_F,C11_15_19_Ind_st_ns_P,C11_15_19_Tot_M,C11_15_19_Tot_F,C11_15_19_Tot_P,C11_20_24_Indigen_M,C11_20_24_Indigen_F,C11_20_24_Indigen_P,C11_20_24_NonInd_M,C11_20_24_NonInd_F,C11_20_24_NonInd_P,C11_20_24_Ind_st_ns_M,C11_20_24_Ind_st_ns_F,C11_20_24_Ind_st_ns_P,C11_20_24_Tot_M,C11_20_24_Tot_F,C11_20_24_Tot_P,C11_25_29_Indigen_M,C11_25_29_Indigen_F,C11_25_29_Indigen_P,C11_25_29_NonInd_M,C11_25_29_NonInd_F,C11_25_29_NonInd_P,C11_25_29_Ind_st_ns_M,C11_25_29_Ind_st_ns_F,C11_25_29_Ind_st_ns_P,C11_25_29_Tot_M,C11_25_29_Tot_F,C11_25_29_Tot_P,C11_30_34_Indigen_M,C11_30_34_Indigen_F,C11_30_34_Indigen_P,C11_30_34_NonInd_M,C11_30_34_NonInd_F,C11_30_34_NonInd_P,C11_30_34_Ind_st_ns_M,C11_30_34_Ind_st_ns_F,C11_30_34_Ind_st_ns_P,C11_30_34_Tot_M,C11_30_34_Tot_F,C11_30_34_Tot_P,C11_35_39_Indigen_M,C11_35_39_Indigen_F,C11_35_39_Indigen_P,C11_35_39_NonInd_M,C11_35_39_NonInd_F,C11_35_39_NonInd_P,C11_35_39_Ind_st_ns_M,C11_35_39_Ind_st_ns_F,C11_35_39_Ind_st_ns_P,C11_35_39_Tot_M,C11_35_39_Tot_F,C11_35_39_Tot_P,C11_40_44_Indigen_M,C11_40_44_Indigen_F,C11_40_44_Indigen_P,C11_40_44_NonInd_M,C11_40_44_NonInd_F,C11_40_44_NonInd_P,C11_40_44_Ind_st_ns_M,C11_40_44_Ind_st_ns_F,C11_40_44_Ind_st_ns_P,C11_40_44_Tot_M,C11_40_44_Tot_F,C11_40_44_Tot_P,C11_45_49_Indigen_M,C11_45_49_Indigen_F,C11_45_49_Indigen_P,C11_45_49_NonInd_M,C11_45_49_NonInd_F,C11_45_49_NonInd_P,C11_45_49_Ind_st_ns_M,C11_45_49_Ind_st_ns_F,C11_45_49_Ind_st_ns_P,C11_45_49_Tot_M,C11_45_49_Tot_F,C11_45_49_Tot_P,C11_50_54_Indigen_M,C11_50_54_Indigen_F,C11_50_54_Indigen_P,C11_50_54_NonInd_M,C11_50_54_NonInd_F,C11_50_54_NonInd_P,C11_50_54_Ind_st_ns_M,C11_50_54_Ind_st_ns_F,C11_50_54_Ind_st_ns_P,C11_50_54_Tot_M,C11_50_54_Tot_F,C11_50_54_Tot_P,C11_55_59_Indigen_M,C11_55_59_Indigen_F,C11_55_59_Indigen_P,C11_55_59_NonInd_M,C11_55_59_NonInd_F,C11_55_59_NonInd_P,C11_55_59_Ind_st_ns_M,C11_55_59_Ind_st_ns_F,C11_55_59_Ind_st_ns_P,C11_55_59_Tot_M,C11_55_59_Tot_F,C11_55_59_Tot_P,C11_60_64_Indigen_M,C11_60_64_Indigen_F,C11_60_64_Indigen_P,C11_60_64_NonInd_M,C11_60_64_NonInd_F,C11_60_64_NonInd_P,C11_60_64_Ind_st_ns_M,C11_60_64_Ind_st_ns_F,C11_60_64_Ind_st_ns_P,C11_60_64_Tot_M,C11_60_64_Tot_F,C11_60_64_Tot_P,C11_65_over_Indigen_M,C11_65_over_Indigen_F,C11_65_over_Indigen_P,C11_65ove_NonInd_M,C11_65ove_NonInd_F,C11_65ove_NonInd_P,C11_65ove_Indig_st_ns_M,C11_65ove_Indig_st_ns_F,C11_65ove_Indig_st_ns_P,C11_65_over_Tot_M,C11_65_over_Tot_F,C11_65_over_Tot_P,C11_Tot_Indig_M,C11_Tot_Indig_F,C11_Tot_Indig_P,C11_Tot_NonInd_M,C11_Tot_NonInd_F,C11_Tot_NonInd_P,C11_Tot_Indig_st_ns_M,C11_Tot_Indig_st_ns_F,C11_Tot_Indig_st_ns_P,C11_Tot_Tot_M,C11_Tot_Tot_F,C11_Tot_Tot_P,C16_0_4_Indig_M,C16_0_4_Indig_F,C16_0_4_Indig_P,C16_0_4_NonInd_M,C16_0_4_NonInd_F,C16_0_4_NonInd_P,C16_0_4_Indig_st_ns_M,C16_0_4_Indig_st_ns_F,C16_0_4_Indig_st_ns_P,C16_0_4_Tot_M,C16_0_4_Tot_F,C16_0_4_Tot_P,C16_5_9_Indig_M,C16_5_9_Indig_F,C16_5_9_Indig_P,C16_5_9_NonInd_M,C16_5_9_NonInd_F,C16_5_9_NonInd_P,C16_5_9_Indig_st_ns_M,C16_5_9_Indig_st_ns_F
1,10845,10567,21410,212482,201660,414140,12011,11172,23185,235334,223396,458737,10515,9877,20390,202273,190882,393155,10900,10160,21055,223685,210926,434607,10640,10142,20784,203938,193571,397505,10975,9903,20882,225553,213617,439169,9929,9479,19402,207166,196167,403332,11132,9546,20680,228228,215191,443415,7079,6908,13984,205908,204492,410401,13970,11330,25303,226954,222734,449684,5407,5747,11148,212840,221281,434122,15448,12441,27893,233693,239470,473163,4476,4882,9358,212644,221476,434122,13493,11366,24858,230612,237725,468331,4739,5477,10214,221694,232971,454664,12486,10767,23248,238916,249209,488126,4746,5625,10368,218273,232831,451104,11867,10151,22020,234887,248612,483499,4252,5008,9257,221052,229694,450749,11569,9846,21420,236881,244552,481426,3877,4218,8092,214772,224807,439580,11681,9672,21354,230325,238695,469023,2985,3228,6210,192942,201573,394511,10179,8711,18894,206109,213510,419614,2274,2412,4684,182411,186102,368518,9340,8137,17476,194026,196650,390675,3326,3990,7316,435439,520767,956208,24912,29748,54656,463673,554507,1018181,85083,87539,172620,3143831,3258280,6402115,179961,162957,342921,3408877,3508780,6917657,13004,11957,24961,213474,202435,415910,12385,11887,24268,238859,226273,465135,12965,12391,25351,220129,208866,428994,12117,11725
2,2383,2308,4690,166241,157439,323679,8479,7889,16368,177103,167636,344733,2189,2101,4281,157282,149629,306905,7765,7163,14929,167236,158886,326122,2206,2209,4415,158699,150239,308938,7559,7033,14595,168461,159479,327939,2109,1949,4058,167045,159490,326532,7862,6889,14749,177008,168331,345342,1607,1733,3340,178205,174309,352512,10877,8383,19257,190682,184420,375108,1247,1314,2558,180159,185188,365346,11683,9078,20762,193091,195579,388668,1044,1192,2231,173288,179173,352466,9655,7863,17514,183991,188222,372216,1104,1196,2300,177385,187579,364960,8783,7372,16157,187276,196141,383415,1136,1252,2389,180081,192832,372914,8595,7302,15899,189808,201393,391203,1003,1042,2044,172924,182349,355268,8162,6896,15061,182087,190280,372368,816,846,1659,164623,173467,338091,7677,6682,14356,173111,180992,354109,669,717,1382,147384,155574,302958,6980,6109,13094,155037,162402,317439,469,543,1017,136183,144068,280251,6536,6008,12548,143189,150621,293812,711,914,1626,325164,393169,718331,18671,22950,41623,344545,417038,761579,18672,19315,37992,2484667,2584488,5069153,129281,117612,246896,2632623,2721424,5354035,2752,2725,5475,177596,168087,345684,10244,9809,20054,190592,180625,371219,2735,2669,5403,176599,167836,344439,9734,9052
3,10478,9910,20387,134913,127384,262297,7836,7372,15209,153229,144663,297894,9755,9462,19218,130413,123064,253478,7416,6877,14294,147587,139401,286988,9543,9323,18866,131983,125878,257859,7407,6850,14257,148932,142050,290979,8721,8167,16887,133976,128883,262862,7729,6437,14162,150422,143492,293919,6317,6400,12723,131375,132682,264053,9876,7197,17071,147570,146281,293847,5157,5537,10691,133949,138569,272516,10232,7266,17496,149333,151374,300712,4571,4913,9485,128042,133826,261868,8627,6714,15342,141241,145455,286696,4624,5122,9751,137692,145190,282882,8850,6700,15552,151169,157017,308183,4340,4976,9318,139563,148007,287572,9008,6667,15678,152918,159655,312570,3822,4165,7987,136218,143580,279798,8612,6337,14956,148658,154088,302746,3074,3463,6540,130570,136950,267517,8008,6071,14078,141657,146484,288140,2379,2640,5024,118117,122539,240654,6994,5294,12295,127486,130475,257966,1679,1945,3625,113588,114465,228057,6450,4992,11440,121720,121400,243124,2278,3052,5327,248952,282331,531283,15062,17308,32369,266293,302692,568986,76743,79086,155826,1949359,2003344,3952703,122119,102090,224210,2148216,2184519,4332739,11153,10706,21854,131923,125160,257088,8953,8563,17519,152032,144429,296464,11691,11186,22877,142083,134527,276611,9035,8616
4,1836,1744,3580,45361,43387,88745,1944,1871,3818,49142,47006,96146,1796,1669,3465,44216,41838,86064,1910,1770,3677,47917,45276,93198,1759,1747,3507,46185,44169,90351,1961,1771,3730,49906,47683,97591,1650,1529,3182,49300,46858,96154,2132,1784,3918,53084,50165,103249,1349,1368,2716,50128,48445,98572,2499,1799,4298,53977,51609,105585,1143,1208,2346,48837,49117,97954,2429,1777,4206,52408,52099,104508,860,963,1823,45984,46401,92386,2063,1542,3609,48906,48906,97822,892,987,1880,48623,49734,98357,2087,1641,3723,51605,52359,103965,882,990,1868,52609,53923,106535,2278,1724,4003,55769,56644,112406,797,876,1674,52973,54365,107335,2298,1773,4077,56072,57015,113086,616,734,1354,52215,54198,106413,2288,1800,4090,55124,56736,111857,505,518,1026,47440,49963,97399,1934,1650,3580,49881,52126,102013,346,404,750,45543,47581,93120,1971,1758,3731,47857,49739,97599,536,726,1260,109621,134190,243810,5413,7064,12476,115568,141981,257547,14970,15463,30432,739037,764169,1503206,33208,29720,62930,787218,809352,1596570,1983,1809,3793,45559,43115,88667,2370,2243,4612,49909,47161,97068,2021,1948,3967,47082,44884,91970,2329,2201
5,4180,4046,8236,69126,65078,134207,4544,4272,8816,77857,73408,151260,4095,4125,8222,64984,61744,126724,4025,3801,7827,73103,69675,142772,4139,3936,8078,66820,63290,130112,4021,3827,7846,74985,71056,146036,3766,3503,7273,68588,64717,133308,4113,3517,7630,76469,71739,148211,3157,3026,6186,72760,69688,142453,6266,4106,10373,82189,76820,159010,2619,2699,5320,76759,73826,150582,7418,4628,12045,86797,81148,167948,2209,2328,4534,70889,70495,141385,6074,4162,10232,79173,76982,156152,2248,2275,4523,73291,73909,147203,5792,4015,9806,81330,80199,161528,2041,2329,4372,75787,76811,152599,5885,3880,9763,83711,83021,166734,1728,1917,3645,73376,73893,147276,5389,3550,8935,80490,79364,159855,1449,1587,3039,68873,70151,139025,4985,3321,8304,75303,75058,150371,1056,1250,2303,61251,63122,124375,4249,2963,7217,66559,67336,133893,727,886,1613,56550,56113,112661,3485,2771,6257,60761,59770,120530,992,1332,2326,119088,137796,256888,7380,8281,15658,127461,147413,274876,34421,35246,69669,1018144,1020648,2038785,73616,57103,130723,1126175,1112990,2239170,4342,4063,8405,73927,70009,143938,4890,4495,9383,83156,78572,161732,4406,4250,8657,75361,71388,146748,4512,4235
6,1190,1215,2407,14181,13302,27480,643,648,1295,16017,15159,31184,1132,1048,2180,13793,13054,26849,620,588,1206,15549,14688,30234,1221,1128,2351,14706,14117,28824,638,644,1280,16564,15891,32455,1075,1033,2108,15119,14231,29353,646,574,1222,16841,15847,32686,795,841,1635,13477,13313,26795,650,498,1150,14924,14653,29574,641,726,1367,12473,13218,25696,574,441,1019,13690,14383,28076,475,578,1054,12073,13129,25201,507,444,949,13055,14158,27205,492,578,1072,13745,15025,28768,552,510,1069,14793,16113,30908,560,673,1233,15107,16433,31540,664,509,1172,16331,17617,33944,488,563,1053,15929,16838,32776,667,539,1200,17085,17944,35026,465,500,968,16596,17715,34311,688,564,1248,17749,18781,36527,373,374,744,15623,16452,32076,707,567,1273,16704,17387,34093,296,283,577,15237,15635,30869,711,574,1284,16240,16491,32729,427,461,887,34885,40927,75808,1823,2180,4006,37136,43566,80702,9625,9999,19627,222954,233393,456342,10089,9287,19378,242674,252678,495351,1233,1201,2439,12528,11935,24462,778,790,1575,14539,13929,28475,1419,1366,2787,13888,13127,27010,881,837
7,3130,2988,6119,5017,4701,9715,688,605,1288,8831,8284,17119,3410,3193,6606,4312,4328,8640,614,563,1176,8337,8080,16414,3164,2977,6144,4227,4010,8239,661,558,1221,8058,7550,15603,2940,2730,5666,4240,3732,7976,673,504,1177,7856,6968,14820,2617,2681,5294,5566,4636,10204,794,542,1338,8985,7859,16839,2427,2462,4892,6440,6236,12672,968,685,1648,9826,9380,19212,2057,2088,4142,5907,5936,11841,766,594,1361,8729,8620,17342,1950,2026,3980,5852,5625,11482,725,639,1366,8535,8298,16828,1697,2033,3733,5744,5431,11180,785,636,1422,8232,8104,16337,1391,1470,2864,5494,5138,10635,725,579,1304,7611,7192,14801,1127,1319,2447,5213,4929,10144,687,496,1186,7026,6749,13776,823,931,1756,4664,4184,8848,601,436,1027,6082,5548,11630,540,699,1240,3986,3091,7076,499,300,808,5028,4097,9120,762,1137,1900,5011,4113,9120,623,447,1071,6390,5705,12097,28037,28742,56781,71674,66100,137777,9806,7587,17392,109519,102422,211946,2908,2691,5593,5296,5226,10523,796,718,1514,9000,8623,17628,3111,2902,6012,4898,4585,9486,678,644
8,316,257,570,11571,10804,22372,499,402,905,12385,11457,23842,286,265,550,10413,9744,20157,366,334,699,11067,10345,21409,271,290,565,10075,9750,19825,405,293,697,10756,10333,21089,347,252,602,11455,10904,22366,558,480,1036,12362,11635,24000,284,279,563,14326,14060,28383,1024,773,1801,15638,15108,30749,232,232,467,14201,14419,28620,835,616,1452,15276,15263,30537,163,180,343,12922,13299,26226,635,499,1144,13723,13986,27707,174,165,332,12641,13025,25670,545,410,955,13357,13601,26957,147,156,303,12102,12603,24704,546,420,964,12794,13178,25973,136,151,287,11304,12141,23448,503,361,865,11943,12654,24600,107,106,216,10798,11616,22407,429,352,780,11331,12073,23405,94,87,185,9414,10133,19543,367,316,684,9880,10533,20410,43,41,88,8611,9099,17708,305,268,575,8967,9408,18371,45,64,111,16551,20054,36601,677,775,1451,17273,20891,38162,2656,2529,5188,166388,171643,338032,7701,6300,14001,176745,180475,357219,383,347,728,12860,12007,24871,656,541,1195,13898,12897,26796,372,311,680,12337,11463,23799,517,457
9,10,16,20,61,42,103,4,8,13,78,60,140,14,14,28,64,69,133,6,9,14,87,89,176,15,14,28,74,62,139,9,12,19,94,93,182,7,7,16,97,40,137,0,3,4,112,52,165,3,9,11,188,55,243,7,0,13,201,71,271,6,3,11,346,58,411,3,4,8,358,69,425,14,6,20,205,66,272,4,0,5,224,74,298,9,13,20,129,66,190,11,3,13,149,78,226,3,6,8,118,81,194,3,10,14,125,99,219,5,5,8,122,88,215,4,3,6,127,95,226,10,8,16,97,79,179,5,0,6,107,93,203,4,4,10,95,72,168,3,11,16,110,86,196,4,4,9,92,34,132,5,0,9,108,41,146,3,7,17,85,45,131,4,5,8,98,63,158,119,124,244,1779,869,2652,74,68,138,1971,1064,3034,10,7,14,126,112,237,9,7,16,143,123,263,12,9,23,130,110,244,17,7
