STE_CODE_2021,C16_P_25_29_Em_FT,C16_P_25_29_Em_PT,C16_P_25_29_Em_AFW,C16_P_25_29_Em_Hrs_NS,C16_P_25_29_Em_Tot,C16_P_25_29_Unem_Look_FT,C16_P_25_29_Unem_Look_PT,C16_P_25_29_Unem_Tot,C16_P_25_29_Tot_LF,C16_P_25_29_Not_LF,C16_P_25_29_LF_NS,C16_P_25_29_Tot,C16_P_30_34_Em_FT,C16_P_30_34_Em_PT,C16_P_30_34_Em_AFW,C16_P_30_34_Em_Hrs_NS,C16_P_30_34_Em_Tot,C16_P_30_34_Unem_Look_FT,C16_P_30_34_Unem_Look_PT,C16_P_30_34_Unem_Tot,C16_P_30_34_Tot_LF,C16_P_30_34_Not_LF,C16_P_30_34_LF_NS,C16_P_30_34_Tot,C16_P_35_39_Em_FT,C16_P_35_39_Em_PT,C16_P_35_39_Em_AFW,C16_P_35_39_Em_Hrs_NS,C16_P_35_39_Em_Tot,C16_P_35_39_Unem_Look_FT,C16_P_35_39_Unem_Look_PT,C16_P_35_39_Unem_Tot,C16_P_35_39_Tot_LF,C16_P_35_39_Not_LF,C16_P_35_39_LF_NS,C16_P_35_39_Tot,C16_P_40_44_Em_FT,C16_P_40_44_Em_PT,C16_P_40_44_Em_AFW,C16_P_40_44_Em_Hrs_NS,C16_P_40_44_Em_Tot,C16_P_40_44_Unem_Look_FT,C16_P_40_44_Unem_Look_PT,C16_P_40_44_Unem_Tot,C16_P_40_44_Tot_LF,C16_P_40_44_Not_LF,C16_P_40_44_LF_NS,C16_P_40_44_Tot,C16_P_45_49_Em_FT,C16_P_45_49_Em_PT,C16_P_45_49_Em_AFW,C16_P_45_49_Em_Hrs_NS,C16_P_45_49_Em_Tot,C16_P_45_49_Unem_Look_FT,C16_P_45_49_Unem_Look_PT,C16_P_45_49_Unem_Tot,C16_P_45_49_Tot_LF,C16_P_45_49_Not_LF,C16_P_45_49_LF_NS,C16_P_45_49_Tot,C16_P_50_54_Em_FT,C16_P_50_54_Em_PT,C16_P_50_54_Em_AFW,C16_P_50_54_Em_Hrs_NS,C16_P_50_54_Em_Tot,C16_P_50_54_Unem_Look_FT,C16_P_50_54_Unem_Look_PT,C16_P_50_54_Unem_Tot,C16_P_50_54_Tot_LF,C16_P_50_54_Not_LF,C16_P_50_54_LF_NS,C16_P_50_54_Tot,C16_P_55_59_Em_FT,C16_P_55_59_Em_PT,C16_P_55_59_Em_AFW,C16_P_55_59_Em_Hrs_NS,C16_P_55_59_Em_Tot,C16_P_55_59_Unem_Look_FT,C16_P_55_59_Unem_Look_PT,C16_P_55_59_Unem_Tot,C16_P_55_59_Tot_LF,C16_P_55_59_Not_LF,C16_P_55_59_LF_NS,C16_P_55_59_Tot,C16_P_60_64_Em_FT,C16_P_60_64_Em_PT,C16_P_60_64_Em_AFW,C16_P_60_64_Em_Hrs_NS,C16_P_60_64_Em_Tot,C16_P_60_64_Unem_Look_FT,C16_P_60_64_Unem_Look_PT,C16_P_60_64_Unem_Tot,C16_P_60_64_Tot_LF,C16_P_60_64_Not_LF,C16_P_60_64_LF_NS,C16_P_60_64_Tot,C16_P_65_69_Em_FT,C16_P_65_69_Em_PT,C16_P_65_69_Em_AFW,C16_P_65_69_Em_Hrs_NS,C16_P_65_69_Em_Tot,C16_P_65_69_Unem_Look_FT,C16_P_65_69_Unem_Look_PT,C16_P_65_69_Unem_Tot,C16_P_65_69_Tot_LF,C16_P_65_69_Not_LF,C16_P_65_69_LF_NS,C16_P_65_69_Tot,C16_P_70_74_Em_FT,C16_P_70_74_Em_PT,C16_P_70_74_Em_AFW,C16_P_70_74_Em_Hrs_NS,C16_P_70_74_Em_Tot,C16_P_70_74_Unem_Look_FT,C16_P_70_74_Unem_Look_PT,C16_P_70_74_Unem_Tot,C16_P_70_74_Tot_LF,C16_P_70_74_Not_LF,C16_P_70_74_LF_NS,C16_P_70_74_Tot,C16_P_75over_Em_FT,C16_P_75over_Em_PT,C16_P_75over_Emp_Aw_fr_w,C16_P_75over_Emp_Hou_w_ns,C16_P_75over_Em_Tot,C16_P_75over_Unem_Lo_ft_wor,C16_P_75over_Unem_Lo_pt_wor,C16_P_75over_Unemp_Tot,C16_P_75over_Tot_lab_for,C16_P_75over_N_lab_forc,C16_P_75over_LF_NS,C16_P_75over_Tot,C16_P_Tot_Em_FT,C16_P_Tot_Em_PT,C16_P_Tot_Em_AFW,C16_P_Tot_Em_Hrs_NS,C16_P_Tot_Em_Tot,C16_P_Tot_Unem_Look_FT,C16_P_Tot_Unem_Look_PT,C16_P_Tot_Unem_Tot,C16_P_Tot_Tot_labo_for,C16_P_Tot_Not_LF,C16_P_Tot_LF_NS,C16_P_Tot_Tot,C21_P_15_19_Em_FT,C21_P_15_19_Em_PT,C21_P_15_19_Em_AFW,C21_P_15_19_Em_Hrs_NS,C21_P_15_19_Em_Tot,C21_P_15_19_Unem_Look_FT,C21_P_15_19_Unem_Look_PT,C21_P_15_19_Unem_Tot,C21_P_15_19_Tot_LF,C21_P_15_19_Not_LF,C21_P_15_19_LF_NS,C21_P_15_19_Tot,C21_P_20_24_Em_FT,C21_P_20_24_Em_PT,C21_P_20_24_Em_AFW,C21_P_20_24_Em_Hrs_NS,C21_P_20_24_Em_Tot,C21_P_20_24_Unem_Look_FT,C21_P_20_24_Unem_Look_PT,C21_P_20_24_Unem_Tot,C21_P_20_24_Tot_LF,C21_P_20_24_Not_LF,C21_P_20_24_LF_NS,C21_P_20_24_Tot,C21_P_25_29_Em_FT,C21_P_25_29_Em_PT,C21_P_25_29_Em_AFW,C21_P_25_29_Em_Hrs_NS,C21_P_25_29_Em_Tot,C21_P_25_29_Unem_Look_FT,C21_P_25_29_Unem_Look_PT,C21_P_25_29_Unem_Tot,C21_P_25_29_Tot_LF,C21_P_25_29_Not_LF,C21_P_25_29_LF_NS,C21_P_25_29_Tot,C21_P_30_34_Em_FT,C21_P_30_34_Em_PT,C21_P_30_34_Em_AFW,C21_P_30_34_Em_Hrs_NS,C21_P_30_34_Em_Tot,C21_P_30_34_Unem_Look_FT,C21_P_30_34_Unem_Look_PT,C21_P_30_34_Unem_Tot,C21_P_30_34_Tot_LF,C21_P_30_34_Not_LF,C21_P_30_34_LF_NS,C21_P_30_34_Tot,C21_P_35_39_Em_FT,C21_P_35_39_Em_PT,C21_P_35_39_Em_AFW,C21_P_35_39_Em_Hrs_NS,C21_P_35_39_Em_Tot,C21_P_35_39_Unem_Look_FT,C21_P_35_39_Unem_Look_PT,C21_P_35_39_Unem_Tot
1,266635,92542,12076,8342,379587,16479,9649,26126,405714,84590,36856,527158,279468,95016,17716,7687,399889,13606,7432,21042,420928,84192,35241,540363,256217,97677,12695,6537,373123,11947,6815,18765,391889,78034,29800,499722,262391,103166,8524,6168,380250,11557,6843,18401,398652,75750,28764,503162,256161,98615,7639,6172,368577,11726,6178,17907,386487,77511,28447,492443,241925,94795,8871,5792,351381,11164,5811,16974,368357,88841,28342,485543,200500,90435,10213,4714,305856,9552,6047,15597,321458,120293,27975,469721,115047,74982,8224,3391,201645,6640,5415,12057,213704,180505,25834,420046,42806,44296,4259,1900,93255,908,1649,2561,95819,263208,25445,384471,12248,19491,1583,1084,34402,228,614,841,35246,235716,21593,292556,5910,10385,1001,1578,18879,222,335,553,19431,462491,58695,540617,2134527,1071151,107652,67005,3380336,123986,101565,225552,3605885,2088242,399769,6093897,33618,110470,31866,3538,179487,6639,19068,25712,205200,229969,22730,457896,147128,131909,43826,7642,330502,15028,14591,29613,360120,106867,29202,496185,254982,105112,36564,9246,405907,14851,8188,23040,428943,91148,35882,555967,273604,110559,41896,9082,435148,12285,6469,18759,453901,96689,35465,586057,278181,114859,35679,7627,436339,11215,5697,16915
2,221334,81393,9864,6904,319495,15371,8615,23987,343486,68958,28828,441268,230105,81081,15336,6067,332590,12098,6147,18243,350833,69061,28039,447923,201698,83831,11299,5054,301878,9980,5536,15516,317396,63554,23080,404028,201594,89758,7428,4901,303674,9931,5891,15820,319494,60125,22273,401892,204088,88496,6779,4957,304318,9653,5104,14755,319068,60742,22235,402045,186735,79581,7677,4515,278505,8958,4317,13278,291784,65021,21566,378372,152087,74969,8509,3717,239283,7519,4229,11746,251031,85892,20689,357614,88996,62767,7438,2696,161894,5138,3897,9037,170935,129395,19510,319839,31667,36413,3812,1476,73375,698,1286,1978,75355,196662,19378,291395,8708,14981,1392,907,25987,150,488,637,26630,175409,16165,218198,4342,7922,862,1216,14337,132,228,367,14702,355544,42748,412998,1670556,920875,91629,53061,2736127,103129,90340,193467,2929597,1610131,305978,4845709,22183,107314,15489,2787,147764,4345,24314,28655,176418,170779,16007,363201,123372,139897,18444,6567,288281,12473,14662,27135,315411,73229,21693,410337,237227,103354,17005,8103,365692,12838,7380,20219,385911,60811,28810,475532,255671,102148,23611,7586,389021,10432,5736,16168,405188,67659,27104,499959,249461,108326,19040,6475,383307,9011,5345,14356
3,156205,59037,8571,4440,228248,12952,6247,19202,247452,49158,24141,320749,161043,61183,11372,4042,237633,10486,5198,15686,253313,49643,22988,325943,151456,62935,7952,3673,226006,9009,4568,13575,239586,45633,20000,305218,165851,67290,6044,3967,243143,9684,4649,14330,257474,44651,20780,322899,168472,64829,5896,3775,242970,9649,3945,13597,256568,45040,21374,322979,154470,59487,6718,3199,223872,9411,3478,12893,236771,51220,20734,308725,124975,55252,7205,2690,190124,8213,3556,11768,201890,70595,19710,292200,74053,44792,5661,1984,126481,5720,3401,9122,135602,107180,17901,260687,26233,25780,2601,1134,55743,738,1192,1933,57679,167177,17341,242191,7378,10777,895,646,19695,188,442,627,20326,146043,14043,180410,3394,5188,484,936,10003,160,186,342,10343,250476,34525,295344,1333192,691752,73002,38506,2136450,105533,70127,175667,2312119,1206041,272339,3790497,27476,100396,19139,3039,150047,6826,19188,26016,176068,120954,16490,313506,113226,89984,20806,5480,229496,11994,9285,21278,250771,50726,22241,323739,162770,70747,18995,5907,258423,10044,5576,15624,274048,47355,26288,347687,169691,72931,20857,5570,269046,7863,4411,12274,281319,48104,24609,354033,176873,77253,17051,4674,275849,6816,4091,10906
4,49667,21849,3181,1387,76080,4682,2248,6929,83010,18721,5630,107362,51432,23816,4349,1312,80909,3953,1711,5655,86571,18533,5650,110747,47351,24274,3028,1072,75727,3443,1689,5130,80861,16888,5070,102814,51524,25613,2222,1080,80435,3354,1504,4860,85293,16357,5004,106650,55984,26218,2233,1171,85607,3419,1456,4870,90481,17515,5623,113618,53839,25140,2676,1045,82700,3159,1357,4521,87220,20385,5666,113269,46209,24183,2975,861,74233,2799,1272,4064,78301,27773,5825,111898,28316,19672,2450,687,51116,1728,1216,2943,54059,42640,5323,102027,9504,11171,1237,399,22310,174,331,507,22818,68065,5400,96289,2470,4622,412,254,7759,42,99,141,7906,60088,4571,72562,1246,2345,270,387,4251,48,75,122,4371,121319,12041,137736,435113,270416,28536,12052,746105,35453,25036,60490,806593,501989,75066,1383652,7064,34794,2264,893,45015,1670,6082,7751,52771,42602,3784,99152,34902,37931,3114,1524,77472,4106,3821,7926,85398,19144,4635,109174,55891,28145,4034,1675,89741,3535,2119,5657,95396,16295,5502,117195,56474,28150,5326,1404,91355,2734,1579,4310,95667,17086,5346,118095,57819,30133,4051,1236,93244,2429,1526,3959
5,91338,32057,5365,2471,131232,7545,3594,11145,142372,27434,15103,184908,95174,34814,7063,2343,139395,6583,3191,9777,149171,30223,14868,194267,82853,35244,5137,1962,125194,5806,2871,8678,133871,27084,12086,173040,84941,36974,3840,1945,127703,5973,2818,8790,136491,23832,11673,172001,88286,35974,3997,2003,130253,6049,2232,8280,138535,22397,11589,172519,81442,32470,4347,1726,119989,5600,1883,7482,127475,23906,11053,162437,65695,30263,4524,1409,101893,4647,1869,6518,108413,31188,10294,149898,39365,26224,3715,965,70266,3277,1771,5046,75310,47807,9017,132144,13966,15455,1768,520,31705,497,705,1210,32917,75715,8133,116755,3473,6474,620,308,10870,118,267,388,11257,65207,6448,82907,1520,3318,324,357,5524,73,113,185,5709,123177,17639,146521,715288,376588,45843,20016,1157735,59491,38474,97967,1255699,595453,146574,1997728,14223,53851,2501,1297,71873,2986,10574,13559,85432,60724,7106,153263,56361,52397,3902,2661,115318,5238,4505,9738,125059,23835,9925,158817,88202,35744,6091,2974,133019,4628,2583,7211,140233,22932,12880,176045,97224,39906,9185,2903,149218,3779,2503,6284,155499,27146,13664,196312,100247,44847,7520,2427,155045,3566,2338,5906
6,12520,5981,903,349,19744,1185,628,1809,21557,5431,1715,28699,12811,6747,1207,347,21113,864,475,1339,22447,5206,1670,29328,12219,7233,864,298,20623,816,403,1214,21845,4945,1551,28335,14321,8051,745,323,23448,867,410,1274,24724,5014,1752,31499,16181,8210,809,395,25598,881,421,1303,26900,5655,1957,34514,16068,8044,984,359,25454,869,410,1275,26731,6708,2104,35539,14065,8223,1157,346,23795,756,410,1162,24958,10144,2274,37383,7988,6705,927,238,15850,548,446,996,16851,15683,2243,34775,2537,3512,395,146,6590,47,112,160,6747,23902,2297,32946,681,1403,126,98,2300,20,29,48,2348,20124,1958,24433,346,789,75,130,1338,14,28,45,1382,36006,3978,41367,121820,81600,9414,3749,216584,9613,6750,16363,232948,160044,26756,419757,2740,9346,623,285,12991,740,1873,2611,15602,13068,1400,30065,10832,9187,781,520,21321,1535,1160,2701,24023,5420,1583,31024,17005,10043,1301,623,28969,1488,891,2385,31355,5445,1959,38756,16668,10110,1585,522,28890,1062,645,1703,30593,5408,1899,37908,15759,9391,1220,383,26758,725,491,1214
7,10319,2328,605,371,13621,757,269,1024,14642,3994,3073,21707,10186,2535,701,352,13779,665,249,913,14690,3933,2708,21333,8760,2299,530,251,11836,565,201,765,12595,3226,2188,18014,8429,2066,406,228,11124,526,170,700,11826,2803,1984,16615,8560,1887,407,230,11085,495,160,653,11742,2608,2100,16455,7711,1595,429,236,9974,440,126,567,10542,2443,1875,14854,6261,1505,427,164,8355,270,86,353,8708,2519,1660,12891,3941,1203,303,107,5552,199,112,304,5853,3171,1374,10409,1516,761,125,60,2462,57,42,95,2555,3880,928,7366,374,290,37,26,729,14,12,26,756,2982,558,4295,139,131,17,23,316,3,4,8,327,3760,621,4707,74107,21493,4507,2605,102708,5517,2171,7684,110392,46009,22960,179363,1446,3162,196,162,4959,439,542,983,5941,7055,1184,14183,5803,2657,342,288,9093,647,297,944,10039,4167,1591,15791,9707,3024,655,359,13747,578,279,861,14606,4159,2172,20936,10311,3286,890,326,14819,575,229,805,15627,4172,2159,21952,9381,2950,713,252,13294,424,174,596
8,19062,4982,1037,369,25438,676,430,1110,26549,3941,2000,32485,19415,5702,1726,359,27195,615,337,953,28146,3503,1981,33630,17429,5856,1175,330,24783,530,267,794,25581,3077,1534,30188,17164,5288,697,249,23389,485,251,732,24125,2675,1419,28213,16794,4522,562,254,22132,384,182,562,22695,2521,1336,26554,14915,3858,708,200,19682,393,180,572,20262,2981,1188,24433,11007,3537,652,155,15350,331,227,564,15907,5306,1147,22359,5750,3129,479,102,9461,206,183,384,9846,8253,1053,19147,2039,2068,255,63,4426,50,112,160,4589,11765,933,17287,462,824,73,35,1398,25,43,64,1466,9899,802,12167,169,415,44,38,672,10,23,35,705,17438,2372,20520,137059,57058,8480,3021,205628,4893,5317,10206,215829,88578,18507,322917,2197,9831,712,129,12864,330,2069,2400,15272,9946,1133,26348,13205,11838,882,394,26313,745,974,1726,28038,4358,1861,34261,23437,7415,1179,521,32544,803,477,1282,33826,3587,1866,39282,22723,7377,1917,431,32455,593,301,895,33352,3389,1733,38468,22509,7419,1716,301,31936,515,294,808
9,102,27,12,3,144,0,3,5,152,74,31,263,116,54,14,5,191,0,0,0,196,81,38,310,148,51,15,10,222,0,0,0,224,81,17,317,165,41,13,3,225,10,3,13,237,61,27,321,171,55,8,3,236,3,0,5,247,54,36,333,180,67,7,6,273,3,0,3,276,53,49,380,164,59,22,10,249,4,9,12,263,67,47,378,132,46,13,5,197,4,0,9,200,88,44,331,87,49,8,3,154,0,0,0,157,104,42,299,28,21,0,0,55,0,0,0,55,110,17,175,9,18,0,5,36,0,0,0,36,174,35,239,1409,568,119,69,2168,37,24,64,2226,1108,433,3773,29,70,7,4,110,0,0,0,109,57,21,189,78,41,6,5,136,0,0,6,140,39,32,218,111,44,9,3,164,0,0,0,164,63,46,277,101,44,13,5,168,0,0,0,167,75,55,301,141,77,12,0,229,7,0,3
