STE_CODE_2021,C16_25_34_Need_asst_ns_P,C16_25_34_Tot_M,C16_25_34_Tot_F,C16_25_34_Tot_P,C16_35_44_Need_asst_M,C16_35_44_Need_asst_F,C16_35_44_Need_asst_P,C16_35_44_No_need_asst_M,C16_35_44_No_need_asst_F,C16_35_44_No_need_asst_P,C16_35_44_Need_asst_ns_M,C16_35_44_Need_asst_ns_F,C16_35_44_Need_asst_ns_P,C16_35_44_Tot_M,C16_35_44_Tot_F,C16_35_44_Tot_P,C16_45_54_Need_asst_M,C16_45_54_Need_asst_F,C16_45_54_Need_asst_P,C16_45_54_No_need_asst_M,C16_45_54_No_need_asst_F,C16_45_54_No_need_asst_P,C16_45_54_Need_asst_ns_M,C16_45_54_Need_asst_ns_F,C16_45_54_Need_asst_ns_P,C16_45_54_Tot_M,C16_45_54_Tot_F,C16_45_54_Tot_P,C16_55_64_Need_asst_M,C16_55_64_Need_asst_F,C16_55_64_Need_asst_P,C16_55_64_No_need_asst_M,C16_55_64_No_need_asst_F,C16_55_64_No_need_asst_P,C16_55_64_Need_asst_ns_M,C16_55_64_Need_asst_ns_F,C16_55_64_Need_asst_ns_P,C16_55_64_Tot_M,C16_55_64_Tot_F,C16_55_64_Tot_P,C16_65_74_Need_asst_M,C16_65_74_Need_asst_F,C16_65_74_Need_asst_P,C16_65_74_No_need_asst_M,C16_65_74_No_need_asst_F,C16_65_74_No_need_asst_P,C16_65_74_Need_asst_ns_M,C16_65_74_Need_asst_ns_F,C16_65_74_Need_asst_ns_P,C16_65_74_Tot_M,C16_65_74_Tot_F,C16_65_74_Tot_P,C16_75_84_Need_asst_M,C16_75_84_Need_asst_F,C16_75_84_Need_asst_P,C16_75_84_No_need_asst_M,C16_75_84_No_need_asst_F,C16_75_84_No_need_asst_P,C16_75_84_Need_asst_ns_M,C16_75_84_Need_asst_ns_F,C16_75_84_Need_asst_ns_P,C16_75_84_Tot_M,C16_75_84_Tot_F,C16_75_84_Tot_P,C16_85over_Need_asst_M,C16_85over_Need_asst_F,C16_85over_Need_asst_P,C16_85over_No_need_assist_M,C16_85over_No_need_assist_F,C16_85over_No_need_asst_P,C16_85over_Need_assist_ns_M,C16_85over_Need_assist_ns_F,C16_85over_Need_assist_ns_P,C16_85over_Tot_M,C16_85over_Tot_F,C16_85over_Tot_P,C16_Tot_Need_assist_M,C16_Tot_Need_assist_F,C16_Tot_Need_asst_P,C16_Tot_No_need_assist_M,C16_Tot_No_need_assist_F,C16_Tot_No_need_asst_P,C16_Tot_Need_assist_ns_M,C16_Tot_Need_assist_ns_F,C16_Tot_Need_assist_ns_P,C16_Tot_Tot_M,C16_Tot_Tot_F,C16_Tot_Tot_P,C21_0_4_Need_assist_M,C21_0_4_Need_assist_F,C21_0_4_Need_assist_P,C21_0_4_No_need_assist_M,C21_0_4_No_need_assist_F,C21_0_4_No_need_assist_P,C21_0_4_Need_assist_ns_M,C21_0_4_Need_assist_ns_F,C21_0_4_Need_assist_ns_P,C21_0_4_Tot_M,C21_0_4_Tot_F,C21_0_4_Tot_P,C21_5_14_Need_assist_M,C21_5_14_Need_assist_F,C21_5_14_Need_assist_P,C21_5_14_No_need_assist_M,C21_5_14_No_need_assist_F,C21_5_14_No_need_assist_P,C21_5_14_Need_assist_ns_M,C21_5_14_Need_assist_ns_F,C21_5_14_Need_assist_ns_P,C21_5_14_Tot_M,C21_5_14_Tot_F,C21_5_14_Tot_P,C21_15_19_Need_assist_M,C21_15_19_Need_assist_F,C21_15_19_Need_assist_P,C21_15_19_No_need_assist_M,C21_15_19_No_need_assist_F,C21_15_19_No_need_assist_P,C21_15_19_Need_assist_ns_M,C21_15_19_Need_assist_ns_F,C21_15_19_Need_assist_ns_P,C21_15_19_Tot_M,C21_15_19_Tot_F,C21_15_19_Tot_P,C21_20_24_Need_assist_M,C21_20_24_Need_assist_F,C21_20_24_Need_assist_P,C21_20_24_No_need_assist_M,C21_20_24_No_need_assist_F,C21_20_24_No_need_assist_P,C21_20_24_Need_assist_ns_M,C21_20_24_Need_assist_ns_F,C21_20_24_Need_assist_ns_P,C21_20_24_Tot_M,C21_20_24_Tot_F,C21_20_24_Tot_P,C21_25_34_Need_assist_M,C21_25_34_Need_assist_F,C21_25_34_Need_assist_P,C21_25_34_No_need_assist_M,C21_25_34_No_need_assist_F,C21_25_34_No_need_assist_P,C21_25_34_Need_assist_ns_M,C21_25_34_Need_assist_ns_F,C21_25_34_Need_assist_ns_P,C21_25_34_Tot_M,C21_25_34_Tot_F,C21_25_34_Tot_P,C21_35_44_Need_assist_M,C21_35_44_Need_assist_F,C21_35_44_Need_assist_P,C21_35_44_No_need_assist_M,C21_35_44_No_need_assist_F,C21_35_44_No_need_assist_P,C21_35_44_Need_assist_ns_M,C21_35_44_Need_assist_ns_F,C21_35_44_Need_assist_ns_P,C21_35_44_Tot_M,C21_35_44_Tot_F,C21_35_44_Tot_P,C21_45_54_Need_assist_M,C21_45_54_Need_assist_F,C21_45_54_Need_assist_P,C21_45_54_No_need_assist_M,C21_45_54_No_need_assist_F,C21_45_54_No_need_assist_P,C21_45_54_Need_assist_ns_M,C21_45_54_Need_assist_ns_F,C21_45_54_Need_assist_ns_P,C21_45_54_Tot_M,C21_45_54_Tot_F,C21_45_54_Tot_P,C21_55_64_Need_assist_M,C21_55_64_Need_assist_F,C21_55_64_Need_assist_P,C21_55_64_No_need_assist_M,C21_55_64_No_need_assist_F,C21_55_64_No_need_assist_P,C21_55_64_Need_assist_ns_M,C21_55_64_Need_assist_ns_F,C21_55_64_Need_assist_ns_P,C21_55_64_Tot_M,C21_55_64_Tot_F,C21_55_64_Tot_P,C21_65_74_Need_assist_M,C21_65_74_Need_assist_F,C21_65_74_Need_assist_P,C21_65_74_No_need_assist_M,C21_65_74_No_need_assist_F,C21_65_74_No_need_assist_P,C21_65_74_Need_assist_ns_M,C21_65_74_Need_assist_ns_F,C21_65_74_Need_assist_ns_P,C21_65_74_Tot_M,C21_65_74_Tot_F,C21_65_74_Tot_P,C21_75_84_Need_assist_M,C21_75_84_Need_assist_F,C21_75_84_Need_assist_P,C21_75_84_No_need_assist_M
1,82937,526562,540960,1067522,10750,10877,21625,446039,464991,911028,37479,32758,70227,494268,508626,1002886,16961,18854,35810,426667,448955,875626,34831,31721,66549,478459,499530,977984,25133,27828,52962,376908,398735,775649,31019,30137,61155,433060,456700,889766,31290,31840,63126,274667,289841,564505,24513,24875,49390,330470,346556,677021,31485,46418,77903,125463,138997,264459,13963,16785,30759,170911,202200,373110,24879,54821,79697,30703,39623,70328,6173,11310,17480,61755,105754,167506,185224,216823,402049,3235702,3323021,6558728,265082,254369,519451,3686008,3794213,7480230,4145,2200,6344,222385,211622,434004,14182,13526,27704,240712,227348,468056,27450,12826,40279,457175,445868,903036,30259,28375,58629,514884,487069,1001950,9416,5520,14937,213448,204357,417798,13288,11868,25158,236152,221745,457896,6844,4511,11354,230669,222985,453653,17298,13881,31181,254811,241377,496185,10411,8888,19296,513233,534211,1047445,40538,34744,75285,564182,577843,1142026,10841,11162,22004,498165,517434,1015603,35179,30386,65561,544185,558982,1103170,15864,18283,34141,452036,476613,928652,29257,24896,54151,497157,519792,1016948,25628,29304,54934,417183,441193,858371,25873,22604,48471,468684,493101,961784,36545,41138,77691,324144,347030,671174,20326,19535,39858,381015,407703,788725,39739,56131,95869,157646
2,64964,437169,452028,889191,8260,8783,17043,359467,375255,734717,28251,25906,54154,395978,409944,805915,12384,14546,26927,340806,361566,702375,26189,24926,51115,379379,401038,780416,17221,20384,37606,287481,306497,593980,22859,23010,45862,327561,349891,677452,22143,23981,46123,204483,221522,426002,18195,19271,37463,244821,264774,509597,23828,36842,60672,94815,105733,200551,10811,12979,23785,129454,155554,285008,18950,41193,60144,23761,30584,54344,4855,8648,13502,47566,80425,127990,137988,166947,304940,2568943,2651927,5220869,201140,199671,400815,2908071,3018545,5926624,3190,1844,5033,179244,171429,350673,10245,9951,20194,192679,183224,375900,23154,11207,34363,362828,353737,716571,22010,20617,42627,407992,385561,793556,7819,4869,12686,169346,163055,332403,9348,8760,18115,186513,176684,363201,5561,4029,9591,192354,185474,377835,12615,10296,22910,210530,199799,410337,8803,8440,17238,442888,456897,899779,31314,27157,58474,483005,492494,975493,9085,10068,19155,417299,432626,849927,26326,23329,49654,452710,466023,918738,12962,15819,28781,367480,389621,757105,21885,19117,41003,402327,424557,826885,19311,23558,42861,323384,344889,668273,18543,16867,35417,361238,385314,746547,27058,33147,60206,247207,268780,515987,14765,14599,29366,289030,316526,605557,31801,46635,78432,118468
3,54135,317855,328843,646694,7308,7596,14909,273689,291415,565102,26154,21963,48118,307151,320974,628122,11009,12208,23218,271669,288176,559843,25857,22785,48643,308535,323169,631704,16105,16508,32616,232271,245557,477830,21905,20532,42437,270281,282597,552884,20659,18394,39052,171226,179321,350548,16703,16295,33004,208588,214010,422602,17849,23767,41619,72322,77556,149879,8539,9789,18316,98710,111112,209816,12591,27254,39850,15494,19842,35331,3687,6665,10350,31772,53761,85531,118311,124954,243262,2019211,2084458,4103667,184365,171892,356257,2321887,2381304,4703192,2903,1649,4556,138811,131759,270567,8993,8339,17335,150707,141747,292452,22705,11392,34101,301861,295844,597705,20763,19296,40060,345329,326532,671867,7579,4839,12420,143455,139559,283016,9487,8590,18070,160521,152988,313506,5178,3620,8795,144560,146654,291213,13153,10579,23732,162891,160853,323739,7833,6973,14809,305642,326464,632109,30589,24219,54803,344064,357656,701724,8220,8471,16697,299784,324369,624150,26388,20585,46974,334392,353425,687817,11441,13500,24943,293117,313439,606554,24290,18347,42638,328848,345286,674132,17509,19332,36843,261701,280834,542540,19941,15971,35914,299151,316137,615299,24964,25197,50156,206034,220130,426166,14406,12733,27139,245404,258060,503466,25628,32602,58229,97263
4,13941,108273,109837,218111,2741,2815,5557,94261,96609,190872,7182,5855,13038,104184,105279,209468,4378,4989,9371,100274,103237,203507,7463,6548,14008,112115,114774,226890,6163,6672,12836,91332,96629,187961,6674,6449,13123,104169,109750,213925,7310,7254,14566,68713,74692,143411,5288,5590,10874,81311,87536,168850,7116,11142,18255,32329,36071,68408,2988,3608,6594,42433,50821,93257,6419,14333,20749,8487,11237,19724,1437,2576,4012,16343,28146,44484,46337,54319,100651,727281,746634,1473917,52386,49710,102091,826004,850663,1676653,1103,642,1739,45169,43156,88323,2083,2081,4166,48355,45879,94232,7907,3813,11716,94379,93340,187720,4938,4535,9474,107224,101688,208912,2544,1581,4122,46285,44404,90691,2288,2056,4342,51117,48041,99152,1781,1193,2970,51491,49549,101040,2886,2276,5160,56158,53018,109174,2707,2441,5148,108087,109860,217946,6871,5319,12192,117665,117620,235287,2870,2981,5849,102535,106982,209509,6474,4824,11299,111879,114787,226660,4179,4791,8971,100825,104182,205006,6022,4639,10669,111026,113612,224641,6378,7224,13603,98910,104649,203565,5467,4508,9980,110755,116381,227147,8683,9365,18049,81456,88700,170161,4110,4016,8132,94249,102081,196344,9176,13354,22533,40185
5,34645,190954,188230,379175,2451,2748,5202,154642,156895,311537,16425,11875,28300,173518,171518,345044,3734,4298,8035,149666,151178,300846,14723,11354,26076,168123,166830,334958,5421,6257,11683,121969,126711,248679,11566,10114,21680,138956,143082,282038,7296,7149,14444,83553,86011,169565,7907,7751,15655,98756,100911,199669,7446,11004,18457,35996,39855,75851,4417,5375,9789,47859,56234,104097,5618,12490,18108,8224,10290,18517,2004,3798,5797,15846,26578,42424,44351,51300,95653,1090206,1095088,2185296,103855,89605,193462,1238412,1235993,2474414,1216,725,1943,77659,73757,151418,4374,4021,8391,83249,78503,161753,8441,4096,12536,158737,154019,312756,9575,9159,18734,176753,167274,344030,2883,1818,4702,71678,68990,140673,4123,3769,7888,78684,74577,153263,1979,1426,3406,72921,71717,144643,6219,4555,10774,81119,77698,158817,3044,2790,5837,163418,173754,337171,17505,11838,29347,183967,188382,372352,2868,3289,6151,169117,177012,346124,16743,10477,27211,188728,190778,379492,4068,4865,8930,155171,160725,315898,14512,8919,23430,173751,174509,348256,6053,7264,13318,137374,143916,281294,11179,7654,18835,154606,158834,313444,8728,9669,18395,104782,111394,216175,6765,6049,12813,120275,127112,247382,10222,13909,24132,47925
6,4161,28333,29699,58028,940,1003,1941,25536,28165,53703,2121,2057,4188,28597,31225,59829,1619,1824,3442,29698,31942,61640,2580,2384,4966,33897,36150,70048,2416,2482,4896,30025,31989,62015,2630,2613,5243,35071,37084,72158,2834,2644,5482,23015,24405,47420,2226,2255,4479,28075,29304,57379,2303,3221,5529,10206,11376,21584,1169,1330,2496,13678,15927,29602,1650,3798,5451,2273,2902,5177,421,714,1139,4344,7414,11762,15419,17214,32634,215881,225360,441247,18182,17907,36086,249482,260481,509961,288,182,469,13458,12838,26290,776,740,1514,14522,13760,28277,2340,1160,3496,28890,28548,57447,1764,1655,3418,32994,31363,64363,835,561,1401,13836,13248,27085,850,733,1583,15521,14542,30065,613,436,1041,14280,13972,28255,913,816,1724,15806,15224,31024,939,822,1765,35118,35484,70603,2307,1981,4290,38364,38287,76661,943,1033,1973,28990,31342,60331,1961,1684,3646,31894,34059,65959,1547,1816,3361,29890,32411,62295,1900,1649,3549,33337,35876,69206,2346,2536,4884,32071,34693,66756,1953,1792,3748,36370,39021,75393,3221,3219,6443,27651,29471,57120,1786,1652,3434,32658,34342,66998,3070,4015,7084,13134
7,6774,22002,21045,43037,252,224,478,14681,14465,29147,2914,2090,5009,17847,16779,34628,427,460,881,13257,12685,25940,2553,1925,4483,16237,15070,31309,541,599,1142,9757,9144,18893,1810,1452,3264,12108,11195,23295,625,609,1240,4817,4074,8888,871,664,1538,6313,5347,11663,393,561,957,1245,1102,2342,250,217,466,1888,1880,3773,181,324,498,156,143,299,54,77,134,391,544,939,3471,3384,6856,97203,92827,190038,17892,14049,31941,118566,110260,228838,113,63,176,7586,7032,14620,748,678,1429,8447,7773,16224,705,322,1030,14542,14116,28662,1539,1455,2988,16786,15893,32678,218,111,327,6403,6114,12516,702,635,1339,7323,6860,14183,150,112,263,7017,6619,13637,1156,732,1887,8323,7463,15791,231,192,417,17769,19605,37372,2936,2163,5099,20936,21960,42894,267,300,570,14993,16072,31067,2398,1781,4182,17658,18153,35817,436,457,892,12602,12986,25584,2016,1477,3496,15054,14920,29970,594,668,1262,10209,10082,20285,1497,1181,2684,12300,11931,24236,703,798,1503,6046,5508,11553,821,631,1446,7570,6937,14499,544,689,1231,1814
8,4414,32430,33677,66115,511,641,1150,26538,27235,53775,1895,1587,3480,28944,29463,58405,684,867,1550,22749,23730,46477,1576,1376,2958,25009,25973,50990,771,1058,1828,17950,19263,37217,1183,1276,2460,19904,21597,41503,1020,1190,2203,12049,13379,25430,877,936,1813,13946,15505,29452,1143,1818,2957,4787,5548,10339,512,560,1065,6442,7926,14360,989,2131,3124,1176,1402,2576,164,307,465,2329,3840,6159,7436,9311,16746,176414,181241,357651,11896,11102,23000,195746,201654,397393,173,97,270,13089,12298,25389,499,525,1023,13761,12920,26680,1536,765,2302,26446,25481,51927,1039,999,2029,29021,27245,56253,503,351,853,12261,11964,24223,650,615,1267,13414,12930,26348,425,398,823,15609,15889,31500,1050,890,1938,17084,17177,34261,571,731,1295,36057,36600,72657,2078,1720,3796,38706,39051,77747,588,791,1380,32204,32990,65196,1541,1263,2809,34333,35044,69387,727,926,1650,25994,26506,52498,1116,939,2055,27837,28371,56207,889,1173,2059,20107,21575,41686,911,752,1662,21907,23500,45406,1206,1628,2832,14765,16667,31436,674,737,1416,16645,19032,35673,1451,2344,3801,6886
9,176,328,243,572,0,0,0,256,269,527,89,31,115,345,300,638,7,7,10,299,292,590,76,42,119,382,341,712,9,11,18,300,282,588,52,50,100,361,343,708,18,15,34,205,176,381,39,25,63,262,216,475,19,18,36,61,62,124,13,10,24,93,90,184,11,13,28,14,5,23,0,8,11,25,26,55,79,71,154,1872,1802,3673,511,244,757,2462,2117,4583,0,0,0,115,98,212,15,16,27,130,114,243,9,5,13,256,231,485,49,36,88,314,272,587,0,0,3,76,88,161,12,14,24,88,102,189,6,0,4,72,90,160,40,18,57,118,108,218,0,6,4,180,186,366,159,46,208,339,238,583,3,3,5,223,260,482,106,48,148,332,311,642,0,3,8,254,269,523,92,39,130,346,311,665,12,12,24,319,329,648,54,44,98,385,385,772,17,21,46,258,215,471,47,26,75,322,262,586,14,25,41,91
