STE_CODE_2021,C11_0_14_SEO,C11_0_14_UOL_SE_Vw_w,C11_0_14_UOL_SE_Nw_Na,C11_0_14_UOL_SE_P_E_n,C11_0_14_UOL_SE_Tot,C11_0_14_LPE_NS,C11_0_14_Tot,C11_15_24_SEO,C11_15_24_UOL_SE_Vw_w,C11_15_24_UOL_SE_Nw_Na,C11_15_24_UOL_SE_P_E_n,C11_15_24_UOL_SE_Tot,C11_15_24_LPE_NS,C11_15_24_Tot,C11_25_34_SEO,C11_25_34_UOL_SE_Vw_w,C11_25_34_UOL_SE_Nw_Na,C11_25_34_UOL_SE_P_E_n,C11_25_34_UOL_SE_Tot,C11_25_34_LPE_NS,C11_25_34_Tot,C11_35_44_SEO,C11_35_44_UOL_SE_Vw_w,C11_35_44_UOL_SE_Nw_Na,C11_35_44_UOL_SE_P_E_n,C11_35_44_UOL_SE_Tot,C11_35_44_LPE_NS,C11_35_44_Tot,C11_45_54_SEO,C11_45_54_UOL_SE_Vw_w,C11_45_54_UOL_SE_Nw_Na,C11_45_54_UOL_SE_P_E_n,C11_45_54_UOL_SE_Tot,C11_45_54_LPE_NS,C11_45_54_Tot,C11_55_64_SEO,C11_55_64_UOL_SE_Vw_w,C11_55_64_UOL_SE_Nw_Na,C11_55_64_UOL_SE_P_E_n,C11_55_64_UOL_SE_Tot,C11_55_64_LPE_NS,C11_55_64_Tot,C11_65_74_SEO,C11_65_74_UOL_SE_Vw_w,C11_65_74_UOL_SE_Nw_Na,C11_65_74_UOL_SE_P_E_n,C11_65_74_UOL_SE_Tot,C11_65_74_LPE_NS,C11_65_74_Tot,C11_75_84_SEO,C11_75_84_UOL_SE_Vw_w,C11_75_84_UOL_SE_Nw_Na,C11_75_84_UOL_SE_P_E_n,C11_75_84_UOL_SE_Tot,C11_75_84_LPE_NS,C11_75_84_Tot,C11_85_over_SEO,C11_85_over_UOL_SE_Vw_w,C11_85_over_UOL_SE_Nw_Na,C11_85_over_UOL_SE_P_E_n,C11_85_over_UOL_SE_Tot,C11_85_over_LPE_NS,C11_85_over_Tot,C11_Tot_SEO,C11_Tot_UOL_SE_Vw_w,C11_Tot_UOL_SE_Nw_Na,C11_Tot_UOL_SE_P_E_n,C11_Tot_UOL_SE_Tot,C11_Tot_LPE_NS,C11_Tot_Tot,C16_0_14_SEO,C16_0_14_UOL_SE_Vw_w,C16_0_14_UOL_SE_Nw_Na,C16_0_14_UOL_SE_P_E_n,C16_0_14_UOL_SE_Tot,C16_0_14_LPE_NS,C16_0_14_Tot,C16_15_24_SEO,C16_15_24_UOL_SE_Vw_w,C16_15_24_UOL_SE_Nw_Na,C16_15_24_UOL_SE_P_E_n,C16_15_24_UOL_SE_Tot,C16_15_24_LPE_NS,C16_15_24_Tot,C16_25_34_SEO,C16_25_34_UOL_SE_Vw_w,C16_25_34_UOL_SE_Nw_Na,C16_25_34_UOL_SE_P_E_n,C16_25_34_UOL_SE_Tot,C16_25_34_LPE_NS,C16_25_34_Tot,C16_35_44_SEO,C16_35_44_UOL_SE_Vw_w,C16_35_44_UOL_SE_Nw_Na,C16_35_44_UOL_SE_P_E_n,C16_35_44_UOL_SE_Tot,C16_35_44_LPE_NS,C16_35_44_Tot,C16_45_54_SEO,C16_45_54_UOL_SE_Vw_w,C16_45_54_UOL_SE_Nw_Na,C16_45_54_UOL_SE_P_E_n,C16_45_54_UOL_SE_Tot,C16_45_54_LPE_NS,C16_45_54_Tot,C16_55_64_SEO,C16_55_64_UOL_SE_Vw_w,C16_55_64_UOL_SE_Nw_Na,C16_55_64_UOL_SE_P_E_n,C16_55_64_UOL_SE_Tot,C16_55_64_LPE_NS,C16_55_64_Tot,C16_65_74_SEO,C16_65_74_UOL_SE_Vw_w,C16_65_74_UOL_SE_Nw_Na,C16_65_74_UOL_SE_P_E_n,C16_65_74_UOL_SE_Tot,C16_65_74_LPE_NS,C16_65_74_Tot,C16_75_84_SEO,C16_75_84_UOL_SE_Vw_w,C16_75_84_UOL_SE_Nw_Na,C16_75_84_UOL_SE_P_E_n,C16_75_84_UOL_SE_Tot,C16_75_84_LPE_NS,C16_75_84_Tot,C16_85_over_SEO,C16_85_over_UOL_SE_Vw_w,C16_85_over_UOL_SE_Nw_Na,C16_85_over_UOL_SE_P_E_n,C16_85_over_UOL_SE_Tot,C16_85_over_LPE_NS,C16_85_over_Tot,C16_Tot_SEO,C16_Tot_UOL_SE_Vw_w,C16_Tot_UOL_SE_Nw_Na,C16_Tot_UOL_SE_P_E_n,C16_Tot_UOL_SE_Tot,C16_Tot_LPE_NS,C16_Tot_Tot,C21_0_14_SEO,C21_0_14_UOL_SE_Vw_w,C21_0_14_UOL_SE_Nw_Na,C21_0_14_UOL_SE_P_E_n,C21_0_14_UOL_SE_Tot,C21_0_14_LPE_NS,C21_0_14_Tot,C21_15_24_SEO,C21_15_24_UOL_SE_Vw_w,C21_15_24_UOL_SE_Nw_Na,C21_15_24_UOL_SE_P_E_n,C21_15_24_UOL_SE_Tot,C21_15_24_LPE_NS,C21_15_24_Tot,C21_25_34_SEO,C21_25_34_UOL_SE_Vw_w,C21_25_34_UOL_SE_Nw_Na,C21_25_34_UOL_SE_P_E_n,C21_25_34_UOL_SE_Tot,C21_25_34_LPE_NS,C21_25_34_Tot,C21_35_44_SEO,C21_35_44_UOL_SE_Vw_w,C21_35_44_UOL_SE_Nw_Na,C21_35_44_UOL_SE_P_E_n,C21_35_44_UOL_SE_Tot,C21_35_44_LPE_NS,C21_35_44_Tot,C21_45_54_SEO,C21_45_54_UOL_SE_Vw_w,C21_45_54_UOL_SE_Nw_Na,C21_45_54_UOL_SE_P_E_n,C21_45_54_UOL_SE_Tot,C21_45_54_LPE_NS,C21_45_54_Tot,C21_55_64_SEO,C21_55_64_UOL_SE_Vw_w,C21_55_64_UOL_SE_Nw_Na,C21_55_64_UOL_SE_P_E_n,C21_55_64_UOL_SE_To,C21_55_64_LPE_NS,C21_55_64_T,C21_65_74_SEO,C21_65_74_UOL_SE_Vw_w,C21_65_74_UOL_SE_Nw_Na,C21_65_74_UOL_SE_P_E_n,C21_65_74_UOL_SE_Tot,C21_65_74_LPE_NS,C21_65_74_Tot,C21_75_84_SEO,C21_75_84_UOL_SE_Vw_w,C21_75_84_UOL_SE_Nw_Na,C21_75_84_UOL_SE_P_E_n,C21_75_84_UOL_SE_Tot,C21_75_84_LPE_NS,C21_75_84_Tot,C21_85_over_SEO,C21_85_over_UOL_SE_Vw_w,C21_85_over_UOL_SE_Nw_Na,C21_85_over_UOL_SE_P_E_n
1,1018535,195205,52910,6571,254683,59296,1332511,640304,195566,11721,2027,209313,43488,893108,599547,265003,20380,2343,287724,54228,941497,677988,217408,28956,2022,248381,45250,971622,688571,177205,42406,1762,221377,40506,950451,614554,120380,40809,1394,162578,33156,810286,414898,67622,34794,1060,103477,23314,541687,252091,35419,29779,839,66037,18633,336754,106853,11278,9946,446,21664,11218,139730,5013347,1285079,271686,18465,1575228,329084,6917657,1024929,224507,62381,6099,292986,68420,1386336,639151,227203,17571,1641,246417,52523,938097,625638,334305,32772,2319,369389,72491,1067522,636404,272779,32421,2269,307466,59017,1002886,674573,201219,44503,1935,247661,55751,977984,638146,142037,56232,1650,199930,51690,889766,504023,87739,41150,1316,130203,42796,677021,265105,44238,34428,1000,79676,28336,373110,118660,14982,14950,515,30443,18407,167506,5126635,1549009,336410,18745,1904163,449433,7480230,1045667,278802,56031,14974,349807,74532,1470001,666899,228660,8529,525,237719,49468,954084,682199,360992,30607,734,392339,67489,1142026,646654,361022,36633,679,398333,58185,1103170,695838,227505,45561,621,273685,47424,1016948,684839,169095,64861,680,234637,42309,961784,581589,109440,61027,648,171118,36019,788725,330827,52670,38591,558,91822,28873,451521,123467,17444,19848,399
2,766383,145653,40856,5413,191921,40491,998795,518432,159374,10075,1864,171313,30701,720444,495167,210662,15936,2105,228706,37006,760882,550633,170075,21738,1726,193538,30446,774616,536390,133879,27934,1541,163353,26732,726472,463762,95659,28447,1180,125286,22199,611245,292291,62360,30081,942,93383,16541,402224,175570,36010,28151,819,64982,13801,254359,76224,10253,9419,327,19995,8771,104999,3874864,1023925,212638,15920,1252479,226698,5354035,781711,185842,53777,5423,245043,54158,1080917,518611,193832,15601,1403,210837,40682,770132,527796,277774,25683,2103,305558,55837,889191,518059,214877,26148,1837,242862,44995,805915,544734,158586,32969,1640,193197,42486,780416,490854,109413,37150,1295,147853,38751,677452,370790,74819,30662,1166,106648,32163,509597,187590,44475,30633,923,76024,21388,285008,86670,14566,13466,425,28456,12865,127990,4026817,1274187,266078,16215,1556482,343328,5926624,804177,248012,49936,13577,311520,53758,1169456,536001,193795,7878,418,202090,35449,773536,589685,309080,24492,628,334194,51612,975493,540564,303862,30384,636,334879,43288,918738,572664,182677,35475,573,218727,35495,826885,542608,128391,44511,582,173481,30459,746547,448536,87593,42806,590,130980,26034,605557,242952,49765,32258,560,82583,19264,344801,92611,18351,18139,424
3,761083,55405,17624,2119,75159,39625,875862,491693,59364,4691,812,64864,31211,587763,468296,76484,7221,890,84602,34509,587407,518845,62420,7466,597,70477,31429,620750,506669,47914,7579,525,56022,28190,590885,440092,31739,6591,375,38704,22285,501086,283435,19132,5072,305,24504,14704,322641,149616,10849,4312,212,15371,11558,176543,56234,3557,1857,104,5519,8047,69800,3675955,366865,62404,5948,435227,221561,4332739,764251,74401,22742,2394,99531,48908,912699,494164,72914,6543,669,80122,38851,613148,479768,106080,12027,894,118998,47926,646694,491088,85467,9518,817,95801,41233,628122,520271,59711,9652,621,69988,41451,631704,466396,39627,9668,506,49806,36676,552884,362567,24407,6400,422,31231,28808,422602,174662,13291,4758,252,18306,16852,209816,67462,4630,2359,131,7119,10944,85531,3820631,480522,83676,6715,570913,311646,4703192,782889,104423,21939,5883,132247,49189,964322,519294,76941,3434,347,80721,37236,637250,516115,124738,10219,426,135383,50225,701724,508905,124491,11637,339,136472,42439,687817,549045,75290,11330,283,86904,38184,674132,521805,48661,12507,230,61396,32095,615299,437748,29826,10925,195,40946,24772,503466,237115,15181,5830,179,21190,16694,274997,78297,5640,3048,107
4,242329,24932,8690,1040,34661,9944,286931,168983,29242,2595,367,32204,7653,208839,153694,36611,3452,344,40408,8218,202326,173398,30574,4335,355,35258,7714,216378,187724,24674,4579,335,29581,7642,224942,170707,18148,4068,251,22470,6441,199611,110066,13835,4469,224,18527,4606,133196,66334,10182,5457,219,15857,4004,86193,29836,3412,2295,117,5827,2486,38150,1303066,191610,39930,3248,234789,58713,1596570,235541,32760,10880,1015,44659,12803,293005,161799,33663,3491,269,37426,9448,208674,155801,45193,4977,377,50548,11758,218111,155487,38097,5055,352,43504,10473,209468,181356,28187,5691,291,34170,11360,226890,176880,20114,5667,278,26062,10987,213925,140415,14784,4215,221,19221,9214,168850,70993,10928,5274,196,16400,5865,93257,33260,4222,3012,91,7323,3902,44484,1311533,227940,48259,3105,279305,85815,1676653,236010,43813,9493,2403,55711,11423,303138,161880,36583,1608,120,38316,8134,208326,164483,55805,4106,140,60048,10752,235287,159222,52029,5398,149,57578,9857,226660,177456,31700,6172,141,38014,9169,224641,189233,22339,6815,138,29289,8624,227147,167090,15749,6092,114,21961,7291,196344,92144,10546,4540,131,15219,5288,112656,35430,4919,3604,79
5,361544,41488,12322,1545,55355,23168,440066,242245,42881,2939,538,46357,18616,307219,236175,57821,5124,567,63511,24414,324096,253040,48299,5875,514,54686,20537,328258,250548,36790,5526,385,42693,16981,310225,209779,26751,5050,301,32100,12554,254427,126685,14678,4017,243,18944,6917,152541,69849,8700,4134,203,13038,5225,88119,26080,3072,1859,105,5030,3105,34216,1775953,280479,46837,4392,331710,131513,2239170,374190,57821,16991,1835,76645,25847,476683,235968,51281,3545,487,55315,19046,310327,254731,84251,8297,686,93232,31216,379175,241274,71034,7347,614,78995,24768,345044,257497,47032,7209,501,54738,22723,334958,224535,31334,6951,364,38643,18858,282038,161608,19485,4779,263,24528,13522,199669,80353,10552,4079,195,14825,8924,104097,30875,3765,2125,109,5999,5550,42424,1861038,376554,61313,5053,442917,170458,2474414,388791,74599,14884,4085,93563,23425,505783,241927,51943,1659,174,53783,16376,312079,256245,83365,5480,217,89066,27044,372352,254259,93007,7288,278,100573,24668,379492,261981,57062,7794,223,65085,21193,348256,251729,36313,8373,137,44827,16884,313444,203652,24479,7632,144,32256,11480,247382,106790,11979,4261,122,16357,7979,131131,37399,4631,2757,96
6,87097,2605,963,115,3684,3093,93874,56420,3110,436,50,3599,2248,62262,49250,3592,379,27,3994,2037,55285,59491,2817,383,32,3236,2127,64851,66587,2407,312,17,2738,2234,71561,62274,2045,243,24,2308,2242,66825,41164,1615,206,16,1839,1759,44757,22925,1122,205,22,1350,1422,25695,8906,396,121,13,529,807,10243,454118,19704,3247,314,23268,17966,495351,81111,3205,1330,127,4653,4443,90205,53462,3673,488,41,4198,3279,60941,48800,5067,642,33,5744,3490,58028,52364,3545,493,43,4076,3393,59829,62723,2787,446,32,3264,4061,70048,65033,2254,367,32,2651,4478,72158,51314,1741,241,26,2008,4062,57379,25656,1235,210,21,1463,2485,29602,9956,515,130,14,661,1154,11762,450412,24015,4344,364,28719,30828,509961,81161,5341,1504,396,7239,4237,92635,53346,4611,201,36,4848,2893,61089,54097,17887,862,57,18804,3755,76661,54260,7689,702,28,8417,3273,65959,62181,3322,532,23,3884,3137,69206,69161,2353,504,21,2881,3348,75393,61460,1749,394,19,2156,3376,66998,32886,1232,236,15,1480,2286,36649,11323,490,157,19
7,29464,9798,5339,426,15556,4120,49141,18761,8474,1042,168,9684,3210,31659,21609,9765,1023,143,10934,4017,36558,20686,8093,841,87,9022,3454,33162,19585,5522,671,76,6266,2726,28578,14832,3354,601,43,4001,1922,20751,5901,1357,518,25,1900,765,8565,1769,507,264,13,787,287,2833,404,120,90,4,217,79,693,133015,46987,10393,985,58363,20566,211946,28559,11561,4034,585,16180,4735,49474,16561,9499,708,177,10388,3778,30720,23008,12903,959,216,14074,5947,43037,18958,10396,825,160,11378,4290,34628,19190,7315,756,114,8180,3945,31309,15559,4086,640,87,4810,2932,23295,7892,1862,509,35,2402,1369,11663,2334,674,331,18,1019,418,3773,576,143,93,3,238,127,939,132635,58421,8852,1396,68671,27532,228838,28579,12057,3927,710,16694,3619,48897,15948,10433,712,165,11307,2714,29968,21458,15911,825,165,16902,4536,42894,18573,12524,896,129,13551,3696,35817,18040,7872,876,91,8837,3096,29970,16267,4770,742,59,5578,2386,24236,10157,2384,610,33,3018,1324,14499,3530,790,361,13,1167,463,5157,709,196,123,4
8,53817,7791,2336,296,10423,2101,66342,42035,9337,566,80,9977,2734,54747,42560,12228,726,100,13056,2633,58247,40444,9773,737,88,10589,1895,52929,38108,7526,778,68,8373,1531,48008,31677,5128,782,43,5951,1156,38785,17094,2979,796,48,3826,745,21664,8698,1680,770,18,2466,506,11668,3609,498,332,24,858,364,4831,278044,56938,7827,761,65527,13657,357219,56590,11395,3241,373,15010,2876,74479,40384,11824,921,66,12807,2748,55933,43993,17021,1023,101,18140,3986,66115,40122,14273,988,96,15356,2929,58405,38345,9119,961,58,10133,2504,50990,31988,6054,1300,49,7403,2116,41503,23034,3837,936,45,4823,1600,29452,10337,2052,821,32,2898,1124,14360,4204,682,378,13,1067,886,6159,288990,76253,10562,823,87640,20764,397393,60278,16069,3028,913,20014,2647,82936,45232,12155,336,17,12511,2866,60606,48368,24919,1081,41,26043,3337,77747,44471,21223,1238,28,22488,2421,69387,41752,11553,1142,32,12724,1732,56207,35235,7311,1474,15,8806,1362,45406,28184,4753,1512,17,6282,1207,35673,15042,2429,1014,19,3457,853,19350,5294,844,509,9
9,211,178,71,9,259,34,501,112,124,11,0,135,183,432,131,141,18,0,163,438,725,161,121,23,3,146,138,449,183,130,72,0,204,38,427,111,77,128,0,215,20,342,28,17,67,0,86,4,119,7,4,23,0,23,0,35,0,0,3,0,3,0,4,944,804,415,18,1235,854,3034,341,324,76,7,409,63,814,140,195,3,0,201,81,419,170,219,23,0,243,165,572,242,270,19,5,302,102,638,275,272,53,6,328,107,712,286,214,117,9,330,86,708,189,131,99,0,233,54,475,69,50,43,0,97,20,184,24,16,7,0,26,4,55,1729,1694,439,37,2170,687,4583,357,292,63,11,362,104,825,143,181,4,0,189,76,410,182,177,15,0,196,211,583,231,240,21,6,261,147,642,268,240,25,3,274,118,665,383,224,71,0,293,92,772,249,158,109,4,268,64,586,112,58,43,0,103,42,257,35,7,16,0
