STE_CODE_2021,C11_1_74_REA,C11_1_74_ST_HA,C11_1_74_Co_ho_pr,C11_1_74_Per_no_sa_ho,C11_1_74_Oth_land_typ,C11_1_74_LLT_NS,C11_1_74_Tot,C11_75_99_REA,C11_75_99_ST_HA,C11_75_99_Co_ho_pr,C11_75_99_Pe_no_sa_ho,C11_75_99_Oth_lan_typ,C11_75_99_Lan_type_ns,C11_75_99_Tot,C11_100_149_REA,C11_100_149_ST_HA,C11_100_149_Co_ho_pr,C11_100_149_Pe_no_sa_ho,C11_100_149_Ot_lan_ty,C11_100_149_Lan_typ_ns,C11_100_149_Tot,C11_150_199_REA,C11_150_199_ST_HA,C11_150_199_Co_ho_pr,C11_150_199_Pe_no_sa_ho,C11_150_199_Ot_lan_ty,C11_150_199_Lan_ty_ns,C11_150_199_Tot,C11_200_224_REA,C11_200_224_ST_HA,C11_200_224_Co_ho_pr,C11_200_224_Pe_no_sa_ho,C11_200_224_Ot_lan_ty,C11_200_224_Lan_ty_ns,C11_200_224_Tot,C11_225_274_REA,C11_225_274_ST_HA,C11_225_274_Co_ho_pr,C11_225_274_Pe_no_sa_ho,C11_225_274_Ot_la_typ,C11_225_274_Lan_ty_ns,C11_225_274_Tot,C11_275_349_REA,C11_275_349_ST_HA,C11_275_349_Co_ho_pr,C11_275_349_Pe_no_sa_ho,C11_275_349_Ot_lan_ty,C11_275_349_Lan_ty_ns,C11_275_349_Tot,C11_350_449_REA,C11_350_449_ST_HA,C11_350_449_Co_ho_pr,C11_350_449_Pe_no_sa_ho,C11_350_449_Ot_lan_ty,C11_350_449_Lan_ty_ns,C11_350_449_Tot,C11_450_549_REA,C11_450_549_ST_HA,C11_450_549_Co_ho_pr,C11_450_549_Pe_no_sa_ho,C11_450_549_Oth_lan_typ,C11_450_549_Lan_ty_ns,C11_450_549_Tot,C11_550_649_REA,C11_550_649_ST_HA,C11_550_649_Co_ho_pr,C11_550_649_Pe_no_sa_ho,C11_550_649_Ot_lan_ty,C11_550_649_Lan_ty_ns,C11_550_649_Tot,C11_650_749_REA,C11_650_749_ST_HA,C11_650_749_Co_ho_pr,C11_650_749_Pe_no_sa_ho,C11_650_749_Oth_lan_typ,C11_650_749_LLT_NS,C11_650_749_Tot,C11_750_849_REA,C11_750_849_ST_HA,C11_750_849_Co_ho_pr,C11_750_849_Pe_no_sa_ho,C11_750_849_Oth_lan_typ,C11_750_849_LLT_NS,C11_750_849_Tot,C11_850_950_REA,C11_850_949_ST_HA,C11_850_949_Co_ho_pr,C11_850_949_Pe_no_sa_ho,C11_850_949_Oth_lan_typ,C11_850_949_LLT_NS,C11_850_949_Tot,C11_950over_REA,C11_950over_ST_HA,C11_950over_Co_ho_pr,C11_950over_Pe_no_sa_ho,C11_950over_Oth_lan_typ,C11_950over_LLT_NS,C11_950over_Tot,C11_R_NS_REA,C11_R_NS_ST_HA,C11_R_NS_Co_ho_pr,C11_R_NS_Pe_no_sa_ho,C11_R_NS_Oth_lan_typ,C11_R_NS_Land_typ_ns,C11_Rent_not_statd_Tot,C11_Tot_REA,C11_Tot_ST_HA,C11_Tot_Co_ho_pr,C11_Tot_Pe_no_sa_ho,C11_Tot_Oth_lan_typ,C11_Tot_LLT_NS,C11_Tot_Tot,C16_1_74_REA,C16_1_74_ST_HA,C16_1_74_Co_ho_pr,C16_1_74_Per_no_sa_ho,C16_1_74_Oth_land_typ,C16_1_74_LLT_NS,C16_1_74_Tot,C16_75_99_REA,C16_75_99_ST_HA,C16_75_99_Co_ho_pr,C16_75_99_Pe_no_sa_ho,C16_75_99_Oth_lan_typ,C16_75_99_Lan_type_ns,C16_75_99_Tot,C16_100_149_REA,C16_100_149_ST_HA,C16_100_149_Co_ho_pr,C16_100_149_Pe_no_sa_ho,C16_100_149_Ot_lan_ty,C16_100_149_Lan_typ_ns,C16_100_149_Tot,C16_150_199_REA,C16_150_199_ST_HA,C16_150_199_Co_ho_pr,C16_150_199_Pe_no_sa_ho,C16_150_199_Ot_lan_ty,C16_150_199_Lan_ty_ns,C16_150_199_Tot,C16_200_224_REA,C16_200_224_ST_HA,C16_200_224_Co_ho_pr,C16_200_224_Pe_no_sa_ho,C16_200_224_Ot_lan_ty,C16_200_224_Lan_ty_ns,C16_200_224_Tot,C16_225_274_REA,C16_225_274_ST_HA,C16_225_274_Co_ho_pr,C16_225_274_Pe_no_sa_ho,C16_225_274_Ot_la_typ,C16_225_274_Lan_ty_ns,C16_225_274_Tot,C16_275_349_REA,C16_275_349_ST_HA,C16_275_349_Co_ho_pr,C16_275_349_Pe_no_sa_ho,C16_275_349_Ot_lan_ty,C16_275_349_Lan_ty_ns,C16_275_349_Tot,C16_350_449_REA,C16_350_449_ST_HA,C16_350_449_Co_ho_pr,C16_350_449_Pe_no_sa_ho,C16_350_449_Ot_lan_ty,C16_350_449_Lan_ty_ns,C16_350_449_Tot,C16_450_549_REA,C16_450_549_ST_HA,C16_450_549_Co_ho_pr,C16_450_549_Pe_no_sa_ho,C16_450_549_Oth_lan_typ,C16_450_549_Lan_ty_ns,C16_450_549_Tot,C16_550_649_REA,C16_550_649_ST_HA,C16_550_649_Co_ho_pr,C16_550_649_Pe_no_sa_ho,C16_550_649_Oth_lan_typ,C16_550_649_LLT_NS,C16_550_649_Tot,C16_650_749_REA,C16_650_749_ST_HA,C16_650_749_Co_ho_pr,C16_650_749_Pe_no_sa_ho,C16_650_749_Oth_lan_typ,C16_650_749_LLT_NS,C16_650_749_Tot,C16_750_849_REA,C16_750_849_ST_HA,C16_750_849_Co_ho_pr,C16_750_849_Pe_no_sa_ho,C16_750_849_Oth_lan_typ,C16_750_849_LLT_NS,C16_750_849_Tot,C16_850_950_REA,C16_850_949_ST_HA,C16_850_949_Co_ho_pr,C16_850_949_Pe_no_sa_ho
1,762,11907,1669,2092,1769,220,18422,824,30622,1937,1709,921,309,36318,9495,23993,4787,10597,3403,556,52835,24452,16481,3020,15522,3882,533,63882,19394,5705,1040,12384,3278,276,42081,46847,6347,1213,16845,2894,389,74539,91891,4427,898,23452,2874,593,124136,109617,1666,436,21363,2252,547,135881,58708,421,159,10918,885,269,71362,30052,237,102,5765,428,120,36714,15294,132,53,3090,242,64,18876,8100,278,55,1949,139,52,10571,4462,79,28,1048,74,26,5717,8718,42,19,2808,338,111,12040,7455,6953,1637,7206,3073,1507,27840,436077,109291,17037,136753,26466,5575,731203,626,5213,770,1206,1218,96,9133,384,4754,1219,870,557,115,7892,3902,37702,2678,6081,2047,550,52965,13734,19944,4316,10146,2625,564,51330,12336,8939,1503,9724,1550,300,34350,29687,7901,1535,13128,4175,386,56817,70471,7868,1532,20987,3093,577,104520,138642,5004,1234,26325,3121,660,174997,102776,1249,411,16273,1685,385,122774,62744,386,155,9304,812,189,73589,35281,199,107,5544,465,128,41726,18134,93,61,3384,265,58,21999,10166,48,31,1947
2,609,5421,808,1720,793,130,9480,720,16186,1111,1683,631,179,20521,7563,12727,2252,10296,2184,395,35422,22564,8283,1749,14763,2643,400,50400,19756,2604,612,10764,1830,202,35773,52771,3457,628,15487,2038,402,74789,92153,1750,461,19029,2163,521,116078,69409,407,215,11416,874,286,82604,25689,140,85,4875,363,117,31273,10365,69,42,2060,199,49,12775,4841,70,25,1060,84,23,6104,2364,143,7,598,79,16,3211,1370,44,9,333,49,13,1810,4186,28,9,1352,236,56,5861,6389,3786,788,6025,2047,1158,20193,320752,55123,8801,101463,16207,3947,506298,625,2656,407,1196,490,75,5444,447,2729,619,1003,368,85,5258,3917,20890,1567,6285,1456,411,34529,12653,9098,2380,10338,1767,368,36598,13123,4353,1153,8619,1237,223,28706,42457,3787,1223,13772,2349,370,63958,114221,3188,834,22955,3000,588,144790,122125,1480,372,17085,1633,432,143130,49273,287,152,7733,588,173,58213,22425,114,53,3609,303,63,26572,10113,63,32,1770,154,33,12165,4997,38,25,1081,101,17,6266,2597,25,8,563
3,519,11349,1150,1253,5083,139,19490,291,11465,1007,1048,1444,149,15408,3094,14265,2220,7352,3082,349,30358,13145,7258,1775,12388,4009,412,38992,12961,2161,608,10572,3554,255,30103,37215,2127,618,16448,2998,407,59818,83397,1258,758,26984,3364,762,116522,92883,389,543,23285,2505,565,120182,27114,89,127,6891,787,149,35164,8649,69,51,2510,386,47,11717,3582,101,27,1096,258,17,5083,1524,54,7,569,151,17,2332,722,22,9,284,61,9,1101,2204,22,10,1069,371,42,3712,4882,3483,683,4879,3468,1207,18600,292171,54112,9591,116645,31526,4524,508566,494,3543,360,828,3585,82,8892,250,4724,440,593,1004,73,7082,2248,17874,1325,4812,2128,288,28672,9509,11062,2123,8374,2717,390,34166,11601,3724,770,8934,1840,265,27135,35239,4350,1037,14674,5165,408,60874,88042,3328,893,24960,3823,686,121729,125193,1069,712,26688,2732,657,157058,49215,163,167,9671,898,193,60305,16379,65,54,3464,400,55,20413,6434,48,26,1460,235,25,8221,2818,29,8,702,158,17,3737,1350,20,9,356
4,146,5500,1028,784,712,95,8272,203,11434,1476,740,415,139,14409,2442,9333,1729,4605,1382,189,19679,7448,4889,881,7298,1435,187,22137,6036,1618,295,5978,935,98,14959,15648,1888,364,9450,1101,182,28634,20559,668,232,10060,975,171,32668,10120,137,73,4202,389,72,14989,2497,38,14,923,127,14,3615,842,66,4,326,79,9,1332,334,38,12,154,50,3,581,157,71,11,97,38,7,377,68,34,10,48,19,0,167,312,18,4,271,70,19,699,1015,2433,604,1831,863,394,7142,67833,38158,6742,46787,8590,1580,169683,147,2169,308,553,357,45,3582,131,6412,756,410,208,121,8038,1430,10512,1304,2988,1023,190,17447,4747,6044,1896,4958,1102,176,18924,4559,2173,626,4547,630,91,12635,15714,2397,653,8433,1384,174,28753,28737,1586,411,12521,1239,188,44696,19355,424,121,7017,496,95,27509,4906,61,43,1698,131,31,6865,1493,37,16,533,104,13,2194,616,20,8,230,61,6,945,278,25,3,126,46,0,482,140,24,3,59
5,216,5100,1245,742,3042,88,10435,115,8228,673,545,717,99,10381,1065,8010,1419,3845,2608,194,17136,3266,4397,584,5707,1999,140,16084,3581,1437,158,5426,1203,86,11894,11211,1307,194,8700,1296,136,22845,28962,683,185,16236,1747,238,48055,33423,279,89,14444,1302,218,49761,10924,102,23,4222,403,54,15734,4070,51,12,1356,172,15,5678,1885,61,8,620,130,12,2720,1056,47,16,421,96,13,1650,595,23,5,213,70,5,917,2214,14,4,906,465,33,3641,1985,2137,418,2654,2281,546,10028,104583,31884,5019,66052,17549,1875,226959,199,2320,349,451,2619,40,5982,78,2204,390,329,532,49,3586,572,11062,845,2443,1942,148,17013,1647,6096,1335,3564,1640,152,14431,2101,2374,307,3496,1033,84,9391,7172,2351,290,5768,1749,110,17445,25370,1740,281,13188,1907,204,42679,47539,699,200,19620,2024,282,70373,21092,141,61,7699,730,104,29817,7299,59,17,2393,223,19,10009,3136,37,15,1007,134,23,4350,1716,22,12,531,91,13,2380,890,15,3,255
6,49,1083,176,394,300,28,2036,85,3567,269,347,141,60,4461,1015,2458,457,2137,427,84,6571,3236,1654,261,3366,440,79,9039,2294,532,56,2312,252,46,5488,4653,404,53,3069,316,61,8554,4355,122,77,2566,236,32,7392,1884,34,14,1009,69,18,3018,471,13,10,219,21,8,730,127,10,5,65,10,4,220,37,4,7,21,5,0,77,18,19,0,32,3,0,71,9,4,0,3,3,0,22,58,9,0,86,20,8,183,265,465,88,518,298,100,1724,18562,10377,1472,16138,2525,522,49594,63,628,92,230,224,18,1259,57,1337,134,183,80,23,1819,658,2827,502,1307,282,78,5654,2606,2182,592,2415,369,109,8274,2517,1047,214,2335,244,51,6411,5688,542,94,3664,361,68,10414,6332,195,78,3580,339,41,10567,3140,65,42,1439,119,17,4825,799,21,14,340,22,3,1195,225,10,0,114,15,0,363,65,8,0,45,13,0,127,32,3,0,17,12,0,61,7,3,3,10
7,78,3166,1046,66,1014,59,5438,30,850,107,24,316,11,1334,33,1068,214,206,392,19,1926,94,527,79,302,724,16,1743,144,234,24,306,707,9,1423,407,212,16,463,490,16,1604,1116,344,26,774,310,20,2590,2491,98,15,1282,197,29,4112,2268,27,6,870,128,16,3323,1129,7,7,373,53,6,1573,500,3,4,160,48,0,715,228,3,0,96,41,0,368,106,6,0,28,14,0,159,69,0,0,84,85,6,241,195,772,152,271,824,86,2297,8893,7315,1695,5292,5347,289,28836,60,2587,622,44,624,55,3984,7,1231,92,11,277,13,1638,36,1297,164,117,349,13,1976,73,699,92,163,332,19,1373,124,207,79,216,191,5,814,364,257,36,292,1033,10,1990,1223,161,22,574,441,14,2439,2917,166,25,1237,275,22,4638,3056,118,9,1207,188,19,4596,2038,26,5,608,84,5,2767,1071,8,0,280,48,7,1415,488,6,0,114,30,3,640,202,8,0,55
8,15,1115,69,40,12,3,1253,3,2212,78,18,20,12,2346,38,1859,116,230,83,12,2341,102,1158,61,341,127,16,1808,156,411,30,339,287,8,1225,378,542,44,551,385,8,1910,1477,564,67,1404,373,11,3897,7453,913,32,3564,259,34,12253,4826,84,7,2156,140,27,7238,1625,23,7,752,53,8,2469,576,12,0,198,19,4,811,222,11,0,101,7,0,358,120,4,0,42,8,0,170,197,5,0,75,33,6,318,215,537,59,287,136,63,1306,17411,9455,576,10108,1943,205,39707,31,543,39,36,12,4,663,6,1295,46,21,8,8,1386,55,2572,93,162,54,15,2962,151,1268,126,343,52,10,1950,148,525,45,283,84,9,1094,603,612,63,442,488,11,2221,3355,548,115,1295,685,10,6012,9636,577,49,3423,427,45,14153,5761,141,11,2223,201,22,8357,2234,22,9,720,69,4,3057,705,9,5,296,31,0,1042,306,3,4,129,10,0,459,160,0,0,63
9,0,37,23,0,41,0,100,0,18,0,0,6,0,32,9,35,0,0,0,0,49,0,34,0,3,0,4,42,0,6,0,13,0,0,23,4,4,0,8,10,0,30,11,4,0,12,0,0,24,0,0,0,3,0,0,9,0,0,0,7,3,0,9,0,0,0,4,3,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,16,13,6,19,5,57,23,155,36,64,95,3,385,0,24,15,3,30,0,71,0,12,0,5,14,0,33,21,11,0,35,10,0,75,22,33,0,39,5,0,94,10,19,0,14,0,0,48,13,0,0,9,0,0,27,12,9,0,17,9,0,42,11,3,0,17,3,0,25,6,0,0,5,8,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
