STE_CODE_2021,Ot_ty_Ed_Ins_Ft_st_C11_P,Ot_ty_Ed_Ins_Ft_st_C16_M,Ot_ty_Ed_Ins_Ft_st_C16_F,Ot_ty_Ed_Ins_Ft_st_C16_P,Ot_ty_Ed_Ins_Ft_st_C21_M,Ot_ty_Ed_Ins_Ft_st_C21_F,Ot_ty_Ed_Ins_Ft_st_C21_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,Ot_ty_Ed_Ins_Pt_st_C16_M,Ot_ty_Ed_Ins_Pt_st_C16_F,Ot_ty_Ed_Ins_Pt_st_C16_P,Ot_ty_Ed_Ins_Pt_st_C21_M,Ot_ty_Ed_Ins_Pt_st_C21_F,Ot_ty_Ed_Ins_Pt_st_C21_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,O_t_E_I_F_P_s_s_ns_C16_M,O_t_E_I_F_P_s_s_ns_C16_F,O_t_E_I_F_P_s_s_ns_C16_P,O_t_E_I_F_P_s_s_ns_C21_M,O_t_E_I_F_P_s_s_ns_C21_F,O_t_E_I_F_P_s_s_ns_C21_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Oth_ty_Edu_Ins_Tot_C16_M,Oth_ty_Edu_Ins_Tot_C16_F,Oth_ty_Edu_Ins_Tot_C16_P,Oth_ty_Edu_Ins_Tot_C21_M,Oth_ty_Edu_Ins_Tot_C21_F,Oth_ty_Edu_Ins_Tot_C21_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,Type_Educ_Insti_ns_C16_M,Type_Educ_Insti_ns_C16_F,Type_Educ_Insti_ns_C16_P,Type_Educ_Insti_ns_C21_M,Type_Educ_Insti_ns_C21_F,Type_Educ_Insti_ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
1,16468,10726,13451,24178,14254,13922,28181,11536,21607,33143,13529,25004,38530,18515,26804,45316,456,556,1010,389,571,960,442,388,835,19534,31085,50618,24644,39027,63668,33211,41118,74331,251555,234985,486536,269914,265351,535261,239551,225717,465268,1060144,1075970,2136115,1145079,1180164,2325241,1210619,1243361,2453980
2,16469,10045,11912,21956,13388,12759,26148,10766,22011,32777,12664,23990,36651,17210,25916,43126,468,553,1026,380,517,895,400,379,778,19080,31187,50267,23081,36417,59500,30996,39056,70054,182347,174132,356482,205465,207733,413197,175368,165575,340941,797580,819971,1617558,896920,932321,1829242,968301,996680,1964979
3,8794,5600,7336,12941,7711,7943,15657,6617,12899,19515,7963,16051,24019,12307,18960,31273,252,283,531,258,298,556,217,242,454,10995,17851,28840,13826,23688,37514,20237,27148,47384,166541,145250,311791,185562,175326,360885,175215,150846,326067,633302,648951,1282249,705285,738626,1443912,770753,800357,1571113
4,3472,1798,2240,4042,2295,2421,4713,2634,4748,7386,2553,4711,7273,3678,5688,9366,107,136,247,85,98,187,96,91,183,4322,6776,11103,4441,7059,11500,6064,8201,14269,50650,48048,98694,53945,52489,106439,43918,38900,82819,225005,233662,458663,237290,247665,484958,245236,253529,498761
5,4285,3008,3425,6428,3664,3963,7627,3131,5868,8997,4060,7784,11836,6191,9786,15975,123,121,245,136,143,280,129,121,253,5398,8124,13528,7196,11345,18543,9985,13866,23856,100601,80267,180868,105171,92473,197646,94721,72480,167197,344601,335225,679828,383577,383413,766989,405355,401787,807143
6,854,399,508,911,1014,1074,2093,644,1313,1957,627,1215,1844,994,1663,2657,22,36,58,30,27,54,34,33,65,1027,1842,2863,1054,1750,2810,2040,2775,4810,16058,15568,31624,19014,19311,38329,15947,14951,30895,68639,71148,139785,71980,74991,146969,76184,78008,154196
7,458,205,207,418,460,468,931,393,743,1135,387,814,1194,480,893,1375,24,15,34,23,25,42,12,21,33,635,989,1622,612,1041,1656,961,1381,2340,15151,11090,26240,17640,13702,31344,13643,10647,24291,37713,35418,73131,41619,39741,81366,39845,39484,79321
8,787,462,435,892,1053,943,1995,754,1222,1972,742,1489,2233,1629,2110,3739,21,19,47,16,24,41,11,22,28,1273,1536,2807,1212,1950,3167,2694,3070,5763,9943,8564,18508,11798,11325,23129,9641,8605,18244,57656,57197,114854,65197,66460,131658,73124,74118,147234
9,8,9,3,15,4,0,4,3,0,3,5,7,14,3,14,16,0,0,0,0,3,0,0,0,0,10,3,14,15,12,24,9,12,19,853,95,946,545,258,800,580,321,908,1077,320,1398,933,640,1573,995,732,1733
