STE_CODE_2021,C11_M_15_19_Em_FT,C11_M_15_19_Em_PT,C11_M_15_19_Em_AFW,C11_M_15_19_Em_Hrs_NS,C11_M_15_19_Em_Tot,C11_M_15_19_Unem_Look_FT,C11_M_15_19_Unem_Look_PT,C11_M_15_19_Unem_Tot,C11_M_15_19_Tot_LF,C11_M_15_19_Not_LF,C11_M_15_19_LF_NS,C11_M_15_19_Tot,C11_M_20_24_Em_FT,C11_M_20_24_Em_PT,C11_M_20_24_Em_AFW,C11_M_20_24_Em_Hrs_NS,C11_M_20_24_Em_Tot,C11_M_20_24_Unem_Look_FT,C11_M_20_24_Unem_Look_PT,C11_M_20_24_Unem_Tot,C11_M_20_24_Tot_LF,C11_M_20_24_Not_LF,C11_M_20_24_LF_NS,C11_M_20_24_Tot,C11_M_25_29_Em_FT,C11_M_25_29_Em_PT,C11_M_25_29_Em_AFW,C11_M_25_29_Em_Hrs_NS,C11_M_25_29_Em_Tot,C11_M_25_29_Unem_Look_FT,C11_M_25_29_Unem_Look_PT,C11_M_25_29_Unem_Tot,C11_M_25_29_Tot_LF,C11_M_25_29_Not_LF,C11_M_25_29_LF_NS,C11_M_25_29_Tot,C11_M_30_34_Em_FT,C11_M_30_34_Em_PT,C11_M_30_34_Em_AFW,C11_M_30_34_Em_Hrs_NS,C11_M_30_34_Em_Tot,C11_M_30_34_Unem_Look_FT,C11_M_30_34_Unem_Look_PT,C11_M_30_34_Unem_Tot,C11_M_30_34_Tot_LF,C11_M_30_34_Not_LF,C11_M_30_34_LF_NS,C11_M_30_34_Tot,C11_M_35_39_Em_FT,C11_M_35_39_Em_PT,C11_M_35_39_Em_AFW,C11_M_35_39_Em_Hrs_NS,C11_M_35_39_Em_Tot,C11_M_35_39_Unem_Look_FT,C11_M_35_39_Unem_Look_PT,C11_M_35_39_Unem_Tot,C11_M_35_39_Tot_LF,C11_M_35_39_Not_LF,C11_M_35_39_LF_NS,C11_M_35_39_Tot,C11_M_40_44_Em_FT,C11_M_40_44_Em_PT,C11_M_40_44_Em_AFW,C11_M_40_44_Em_Hrs_NS,C11_M_40_44_Em_Tot,C11_M_40_44_Unem_Look_FT,C11_M_40_44_Unem_Look_PT,C11_M_40_44_Unem_Tot,C11_M_40_44_Tot_LF,C11_M_40_44_Not_LF,C11_M_40_44_LF_NS,C11_M_40_44_Tot,C11_M_45_49_Em_FT,C11_M_45_49_Em_PT,C11_M_45_49_Em_AFW,C11_M_45_49_Em_Hrs_NS,C11_M_45_49_Em_Tot,C11_M_45_49_Unem_Look_FT,C11_M_45_49_Unem_Look_PT,C11_M_45_49_Unem_Tot,C11_M_45_49_Tot_LF,C11_M_45_49_Not_LF,C11_M_45_49_LF_NS,C11_M_45_49_Tot,C11_M_50_54_Em_FT,C11_M_50_54_Em_PT,C11_M_50_54_Em_AFW,C11_M_50_54_Em_Hrs_NS,C11_M_50_54_Em_Tot,C11_M_50_54_Unem_Look_FT,C11_M_50_54_Unem_Look_PT,C11_M_50_54_Unem_Tot,C11_M_50_54_Tot_LF,C11_M_50_54_Not_LF,C11_M_50_54_LF_NS,C11_M_50_54_Tot,C11_M_55_59_Em_FT,C11_M_55_59_Em_PT,C11_M_55_59_Em_AFW,C11_M_55_59_Em_Hrs_NS,C11_M_55_59_Em_Tot,C11_M_55_59_Unem_Look_FT,C11_M_55_59_Unem_Look_PT,C11_M_55_59_Unem_Tot,C11_M_55_59_Tot_LF,C11_M_55_59_Not_LF,C11_M_55_59_LF_NS,C11_M_55_59_Tot,C11_M_60_64_Em_FT,C11_M_60_64_Em_PT,C11_M_60_64_Em_AFW,C11_M_60_64_Em_Hrs_NS,C11_M_60_64_Em_Tot,C11_M_60_64_Unem_Look_FT,C11_M_60_64_Unem_Look_PT,C11_M_60_64_Unem_Tot,C11_M_60_64_Tot_LF,C11_M_60_64_Not_LF,C11_M_60_64_LF_NS,C11_M_60_64_Tot,C11_M_65_69_Em_FT,C11_M_65_69_Em_PT,C11_M_65_69_Em_AFW,C11_M_65_69_Em_Hrs_NS,C11_M_65_69_Em_Tot,C11_M_65_69_Unem_Look_FT,C11_M_65_69_Unem_Look_PT,C11_M_65_69_Unem_Tot,C11_M_65_69_Tot_LF,C11_M_65_69_Not_LF,C11_M_65_69_LF_NS,C11_M_65_69_Tot,C11_M_70_74_Em_FT,C11_M_70_74_Em_PT,C11_M_70_74_Em_AFW,C11_M_70_74_Em_Hrs_NS,C11_M_70_74_Em_Tot,C11_M_70_74_Unem_Look_FT,C11_M_70_74_Unem_Look_PT,C11_M_70_74_Unem_Tot,C11_M_70_74_Tot_LF,C11_M_70_74_Not_LF,C11_M_70_74_LF_NS,C11_M_70_74_Tot,C11_M_75over_Em_FT,C11_M_75over_Em_PT,C11_M_75over_Em_AFW,C11_M_75over_Em_Hrs_NS,C11_M_75over_Em_Tot,C11_M_75over_Unem_Look_FT,C11_M_75over_Unem_Look_PT,C11_M_75over_Unem_Tot,C11_M_75over_Tot_LF,C11_M_75ove_Not_LF,C11_M_75over_LF_NS,C11_M_75over_Tot,C11_M_Tot_Em_FT,C11_M_Tot_Em_PT,C11_M_Tot_Em_AFW,C11_M_Tot_Em_Hrs_NS,C11_M_Tot_Em_Tot,C11_M_Tot_Unem_Look_FT,C11_M_Tot_Unem_Look_PT,C11_M_Tot_Unem_Tot,C11_M_Tot_Tot_labo_for,C11_M_Tot_Not_LF,C11_M_Tot_LF_NS,C11_M_Tot_Tot,C16_M_15_19_Em_FT,C16_M_15_19_Em_PT,C16_M_15_19_Em_AFW,C16_M_15_19_Em_Hrs_NS,C16_M_15_19_Em_Tot,C16_M_15_19_Unem_Look_FT,C16_M_15_19_Unem_Look_PT,C16_M_15_19_Unem_Tot,C16_M_15_19_Tot_LF,C16_M_15_19_Not_LF,C16_M_15_19_LF_NS,C16_M_15_19_Tot,C16_M_20_24_Em_FT,C16_M_20_24_Em_PT,C16_M_20_24_Em_AFW,C16_M_20_24_Em_Hrs_NS,C16_M_20_24_Em_Tot,C16_M_20_24_Unem_Look_FT,C16_M_20_24_Unem_Look_PT,C16_M_20_24_Unem_Tot,C16_M_20_24_Tot_LF,C16_M_20_24_Not_LF,C16_M_20_24_LF_NS,C16_M_20_24_Tot,C16_M_25_29_Em_FT,C16_M_25_29_Em_PT,C16_M_25_29_Em_AFW,C16_M_25_29_Em_Hrs_NS,C16_M_25_29_Em_Tot,C16_M_25_29_Unem_Look_FT,C16_M_25_29_Unem_Look_PT,C16_M_25_29_Unem_Tot
1,28744,43270,3483,3248,78744,7697,9760,17454,96202,121056,10972,228228,94782,46086,4523,5409,150794,12146,6799,18945,169744,42389,14823,226954,143329,28557,4469,5042,181397,9429,2628,12053,193447,23861,16379,233693,156464,21977,4903,4377,187721,7497,1634,9136,196858,19384,14374,230612,165829,21370,5010,4535,196752,7161,1447,8608,205360,20154,13398,238916,159893,21552,4957,4580,190983,6974,1473,8449,199431,22767,12684,234887,157511,22755,5048,4454,189762,6735,1496,8234,197999,26565,12322,236881,146249,23482,5471,3862,179061,6220,1563,7784,186843,31134,12349,230325,113969,23668,5699,2956,146286,5298,1763,7061,153351,42113,10642,206109,70870,26502,4387,2084,103845,3814,2116,5939,109778,74216,10032,194026,24052,16870,2039,983,43942,445,675,1117,45063,96904,8699,150662,6660,7806,759,508,15739,119,276,397,16139,90627,7664,114429,3190,4936,673,594,9387,58,142,201,9591,169784,19214,198588,1271543,308834,51414,42625,1674412,73596,31781,105376,1779794,780955,163558,2724301,24086,48453,2893,2520,77952,6411,12566,18975,96933,121719,11454,230107,91120,59740,3629,4985,159473,12262,9580,21845,181315,51192,15975,248485,150924,37601,3813,4947,197288,9863,4062,13925
2,20093,36938,2396,2631,62060,4571,8190,12763,74818,94709,7481,177008,77902,42060,3729,4597,128284,8706,5618,14321,142610,36797,11281,190682,120827,24816,3745,4197,153592,7152,2093,9241,162831,18071,12187,193091,127757,17552,4060,3417,152785,5634,1249,6886,159669,14162,10156,183991,132126,16780,4296,3556,156762,5205,1066,6273,163036,14884,9355,187276,132867,17241,4144,3669,157920,5113,1043,6152,164076,16665,9070,189808,126094,16737,3981,3315,150123,4645,903,5553,155672,17876,8538,182087,115646,16732,4574,2986,139939,4127,964,5092,145030,20163,7918,173111,89402,18249,4462,2184,114294,3583,1130,4718,119003,28903,7128,155037,54977,21554,4045,1627,82204,2509,1308,3820,86018,50298,6866,143189,18207,13684,1755,782,34428,285,440,724,35151,68797,6063,110017,4788,6201,696,375,12061,86,178,270,12330,66879,5692,84896,2298,3783,523,464,7067,50,69,116,7180,127313,15142,149634,1022978,252320,42417,33808,1351517,51666,24244,75914,1427434,575512,116886,2119822,14544,41036,1930,1810,59321,4119,12203,16319,75638,97643,8557,181849,69656,54533,2885,3886,130963,10311,9549,19857,150817,46276,12642,209730,125633,32905,3159,4126,165823,9235,3564,12800
3,24166,36022,2367,2513,65063,7121,7297,14408,79480,62967,7979,150422,70035,27107,3281,3512,103940,8947,3357,12310,116246,20635,10691,147570,93248,17366,3378,3101,117097,6410,1508,7923,125012,13204,11115,149333,95914,13318,3357,2635,115222,4879,1000,5880,121104,10824,9316,141241,104614,13272,3530,2972,124387,4692,823,5518,129904,11801,9465,151169,105310,13533,3540,2904,125285,4493,750,5244,130528,12919,9465,152918,100461,13169,3626,2738,120001,4155,802,4955,124957,14571,9129,148658,91955,13473,3889,2189,111511,3822,741,4562,116076,17128,8458,141657,71926,14073,3907,1733,91635,3357,894,4253,95887,24384,7220,127486,47264,15084,3258,1361,66959,2482,1093,3570,70530,44336,6858,121720,15122,9810,1295,627,26854,348,414,763,27618,59942,5551,93117,3886,4163,446,302,8801,84,149,234,9039,53972,4731,67742,1747,2254,342,376,4721,33,63,103,4822,88963,11649,105436,825657,192644,36225,26962,1081488,50825,18892,69720,1151204,435637,111633,1698476,17331,38399,1856,1624,59210,7061,10895,17955,77164,65672,8355,151192,65299,35253,2389,2783,105721,11281,5324,16603,122328,25280,11675,159283,91837,21901,2781,2627,119151,7957,2315,10273
4,6777,12243,793,755,20571,1922,2376,4297,24869,26168,2045,53084,22859,11636,1228,1099,36824,3132,1487,4620,41446,9883,2649,53977,31830,7012,1352,940,41130,2329,636,2970,44099,5717,2592,52408,32281,5188,1364,835,39669,1855,407,2266,41936,4742,2230,48906,34614,5234,1394,795,42035,1724,337,2065,44097,5265,2244,51605,37473,5512,1415,853,45257,1661,364,2025,47286,6101,2381,55769,36605,5838,1458,817,44720,1660,354,2013,46734,6936,2403,56072,34999,5764,1710,720,43187,1405,310,1715,44905,7862,2356,55124,28080,5886,1695,560,36225,1137,370,1508,37733,10187,1964,49881,17527,6901,1331,425,26188,735,407,1142,27330,18532,1995,47857,5122,4331,574,185,10217,65,107,175,10389,24302,1631,36315,1267,1833,195,99,3400,22,39,62,3462,22777,1560,27797,591,986,137,136,1854,19,12,31,1883,45114,4454,51453,290019,78378,14652,8226,391279,17680,7215,24893,416175,193577,30503,640248,4148,11895,587,458,17090,1763,3650,5416,22504,26975,2039,51515,19163,13794,946,829,34738,3862,2276,6143,40885,11647,2695,55218,29577,8444,1011,788,39821,3017,893,3914
5,13947,16813,1356,1298,33413,2673,2877,5551,38959,33120,4385,76469,38944,15223,2260,1818,58252,3548,1754,5302,63548,11948,6688,82189,54898,9107,2692,1644,68340,2706,704,3413,71755,7184,7854,86797,53853,6696,2570,1423,64537,2074,424,2498,67032,5697,6439,79173,56622,6439,2771,1578,67403,1929,334,2258,69661,5579,6082,81330,58329,6850,2769,1474,69424,1820,349,2169,71591,5990,6132,83711,55914,6604,2847,1330,66701,1694,296,1986,68680,6212,5592,80490,50746,6733,2788,1127,61397,1513,309,1822,63222,6984,5102,75303,40300,7019,2649,851,50809,1366,330,1695,52507,9727,4327,66559,25965,8915,2131,685,37700,942,459,1403,39098,18148,3515,60761,8114,5957,896,325,15289,167,187,354,15641,25377,2545,43562,1852,2697,297,141,4992,41,78,120,5108,24991,2169,32271,702,1446,185,156,2496,21,33,55,2551,43737,5340,51629,460185,100498,26221,13843,600740,20490,8133,28625,629365,204696,66184,900241,7962,18061,862,749,27633,2961,5438,8401,36037,36989,4085,77112,31832,19541,1614,1454,54437,5585,3105,8693,63128,13741,5690,82560,53808,12241,2250,1479,69780,4826,1248,6065
6,2625,3208,288,204,6323,738,659,1401,7721,8507,613,16841,6595,2789,385,272,10045,1099,389,1493,11536,2675,715,14924,8170,1782,334,253,10541,765,168,930,11469,1618,603,13690,8274,1506,373,233,10386,591,109,701,11088,1420,554,13055,9446,1690,424,227,11781,601,122,729,12506,1702,586,14793,10411,1833,476,259,12984,592,126,719,13706,1950,674,16331,10690,2000,527,263,13472,510,106,626,14096,2313,682,17085,10731,2132,564,253,13675,537,123,657,14334,2717,698,17749,8279,2258,546,175,11254,469,189,654,11911,4113,683,16704,4954,2415,443,160,7970,309,189,498,8470,7042,736,16240,1419,1345,184,63,3007,20,50,74,3082,8897,620,12601,377,577,64,29,1052,9,13,19,1068,7843,570,9485,185,313,46,41,586,0,9,11,601,13039,1411,15051,82159,23844,4638,2422,113074,6256,2258,8513,121587,63818,9140,194541,1690,3453,210,166,5524,648,963,1607,7135,8083,743,15958,5859,3239,304,219,9617,1213,540,1751,11376,3006,909,15292,7747,2020,278,211,10255,827,261,1086
7,1305,1188,104,140,2744,316,212,530,3271,3698,877,7856,4238,865,365,234,5703,416,111,525,6230,1719,1029,8985,5262,843,371,196,6678,326,87,418,7097,1543,1193,9826,4970,742,278,184,6173,286,49,335,6511,1259,961,8729,4962,714,310,185,6182,250,49,305,6483,1138,911,8535,4831,701,282,159,5969,220,41,263,6232,1053,944,8232,4564,602,294,139,5595,185,32,218,5812,975,828,7611,4128,619,255,124,5128,150,33,185,5310,925,786,7026,3428,490,210,89,4219,116,22,132,4350,1059,676,6082,2179,518,179,54,2931,81,29,107,3045,1422,564,5028,696,281,74,31,1079,14,12,27,1109,1473,341,2927,188,135,21,11,356,3,3,12,367,1202,235,1800,38,47,6,7,103,10,7,13,112,1291,261,1669,40797,7743,2749,1569,52858,2381,686,3070,55932,18754,9603,84293,863,1284,87,110,2346,336,224,559,2906,3695,874,7474,3736,978,204,203,5115,560,157,717,5832,1776,1245,8850,5925,890,251,223,7291,445,115,554
8,1703,3411,266,165,5543,265,645,909,6452,5390,525,12362,7020,3556,379,265,11218,401,483,891,12106,2507,1026,15638,10568,1603,375,222,12775,323,144,463,13231,1156,880,15276,9985,1294,391,190,11855,235,74,308,12170,902,656,13723,9910,1231,388,166,11691,221,68,290,11986,787,586,13357,9608,1057,377,178,11220,200,35,237,11457,782,554,12794,8946,950,372,165,10436,188,38,229,10664,790,493,11943,8321,913,423,133,9795,176,43,222,10025,880,431,11331,6008,1082,396,78,7571,130,70,197,7769,1728,384,9880,3684,1331,303,64,5383,96,60,156,5540,3115,310,8967,1074,890,122,25,2113,21,42,62,2180,3730,276,6184,243,374,55,8,683,4,14,13,704,3320,223,4234,87,183,19,14,302,4,6,13,316,6015,523,6848,77163,17879,3872,1674,100590,2268,1722,3994,104583,31092,6868,142537,1215,3425,208,155,5002,247,968,1214,6211,5666,482,12364,5922,4044,272,277,10513,498,561,1062,11576,3379,906,15860,10156,2043,299,225,12724,394,208,598
9,23,10,0,0,31,4,0,6,35,70,4,112,44,5,0,4,56,0,0,0,56,143,3,201,52,11,0,3,66,7,0,7,75,282,5,358,45,3,0,4,57,6,0,5,65,159,3,224,47,12,5,0,61,4,0,3,62,72,10,149,57,10,7,0,75,0,0,0,77,47,6,125,78,11,6,0,99,0,0,0,100,27,7,127,65,17,3,0,83,0,0,0,84,24,0,107,76,10,6,0,87,0,0,3,88,18,4,110,62,5,0,8,69,0,0,0,73,21,6,108,8,4,0,0,14,0,0,0,9,25,3,41,10,0,0,0,10,0,0,0,10,28,0,38,0,0,0,0,0,0,0,0,0,16,3,18,560,95,22,28,705,24,5,30,737,921,59,1715,17,12,0,0,36,0,0,5,39,58,10,104,43,19,4,7,72,0,0,0,73,48,19,136,58,13,5,3,82,0,0,0
