STE_CODE_2021,C11_F_55_59_Em_FT,C11_F_55_59_Em_PT,C11_F_55_59_Em_AFW,C11_F_55_59_Em_Hrs_NS,C11_F_55_59_Em_Tot,C11_F_55_59_Unem_Look_FT,C11_F_55_59_Unem_Look_PT,C11_F_55_59_Unem_Tot,C11_F_55_59_Tot_LF,C11_F_55_59_Not_LF,C11_F_55_59_LF_NS,C11_F_55_59_Tot,C11_F_60_64_Em_FT,C11_F_60_64_Em_PT,C11_F_60_64_Em_AFW,C11_F_60_64_Em_Hrs_NS,C11_F_60_64_Em_Tot,C11_F_60_64_Unem_Look_FT,C11_F_60_64_Unem_Look_PT,C11_F_60_64_Unem_Tot,C11_F_60_64_Tot_LF,C11_F_60_64_Not_LF,C11_F_60_64_LF_NS,C11_F_60_64_Tot,C11_F_65_69_Em_FT,C11_F_65_69_Em_PT,C11_F_65_69_Em_AFW,C11_F_65_69_Em_Hrs_NS,C11_F_65_69_Em_Tot,C11_F_65_69_Unem_Look_FT,C11_F_65_69_Unem_Look_PT,C11_F_65_69_Unem_Tot,C11_F_65_69_Tot_LF,C11_F_65_69_Not_LF,C11_F_65_69_LF_NS,C11_F_65_69_Tot,C11_F_70_74_Em_FT,C11_F_70_74_Em_PT,C11_F_70_74_Em_AFW,C11_F_70_74_Em_Hrs_NS,C11_F_70_74_Em_Tot,C11_F_70_74_Unem_Look_FT,C11_F_70_74_Unem_Look_PT,C11_F_70_74_Unem_Tot,C11_F_70_74_Tot_LF,C11_F_70_74_Not_LF,C11_F_70_74_LF_NS,C11_F_70_74_Tot,C11_F_75over_Em_FT,C11_F_75over_Em_PT,C11_F_75over_Em_AFW,C11_F_75over_Em_Hrs_NS,C11_F_75over_Em_Tot,C11_F_75over_Unem_Lo_ft_wo,C11_F_75over_Unem_Lo_pt_wor,C11_F_75over_Unemp_Tot,C11_F_75over_Tot_lab_for,C11_F_75over_N_lab_forc,C11_F_75over_LF_NS,C11_F_75over_Tot,C11_F_Tot_Em_FT,C11_F_Tot_Em_PT,C11_F_Tot_Em_AFW,C11_F_Tot_Em_Hrs_NS,C11_F_Tot_Em_Tot,C11_F_Tot_Unem_Look_FT,C11_F_Tot_Unem_Look_PT,C11_F_Tot_Unem_Tot,C11_F_Tot_Tot_labo_for,C11_F_Tot_Not_LF,C11_F_Tot_LF_NS,C11_F_Tot_Tot,C16_F_15_19_Em_FT,C16_F_15_19_Em_PT,C16_F_15_19_Em_AFW,C16_F_15_19_Em_Hrs_NS,C16_F_15_19_Em_Tot,C16_F_15_19_Unem_Look_FT,C16_F_15_19_Unem_Look_PT,C16_F_15_19_Unem_Tot,C16_F_15_19_Tot_LF,C16_F_15_19_Not_LF,C16_F_15_19_LF_NS,C16_F_15_19_Tot,C16_F_20_24_Em_FT,C16_F_20_24_Em_PT,C16_F_20_24_Em_AFW,C16_F_20_24_Em_Hrs_NS,C16_F_20_24_Em_Tot,C16_F_20_24_Unem_Look_FT,C16_F_20_24_Unem_Look_PT,C16_F_20_24_Unem_Tot,C16_F_20_24_Tot_LF,C16_F_20_24_Not_LF,C16_F_20_24_LF_NS,C16_F_20_24_Tot,C16_F_25_29_Em_FT,C16_F_25_29_Em_PT,C16_F_25_29_Em_AFW,C16_F_25_29_Em_Hrs_NS,C16_F_25_29_Em_Tot,C16_F_25_29_Unem_Look_FT,C16_F_25_29_Unem_Look_PT,C16_F_25_29_Unem_Tot,C16_F_25_29_Tot_LF,C16_F_25_29_Not_LF,C16_F_25_29_LF_NS,C16_F_25_29_Tot,C16_F_30_34_Em_FT,C16_F_30_34_Em_PT,C16_F_30_34_Em_AFW,C16_F_30_34_Em_Hrs_NS,C16_F_30_34_Em_Tot,C16_F_30_34_Unem_Look_FT,C16_F_30_34_Unem_Look_PT,C16_F_30_34_Unem_Tot,C16_F_30_34_Tot_LF,C16_F_30_34_Not_LF,C16_F_30_34_LF_NS,C16_F_30_34_Tot,C16_F_35_39_Em_FT,C16_F_35_39_Em_PT,C16_F_35_39_Em_AFW,C16_F_35_39_Em_Hrs_NS,C16_F_35_39_Em_Tot,C16_F_35_39_Unem_Look_FT,C16_F_35_39_Unem_Look_PT,C16_F_35_39_Unem_Tot,C16_F_35_39_Tot_LF,C16_F_35_39_Not_LF,C16_F_35_39_LF_NS,C16_F_35_39_Tot,C16_F_40_44_Em_FT,C16_F_40_44_Em_PT,C16_F_40_44_Em_AFW,C16_F_40_44_Em_Hrs_NS,C16_F_40_44_Em_Tot,C16_F_40_44_Unem_Look_FT,C16_F_40_44_Unem_Look_PT,C16_F_40_44_Unem_Tot,C16_F_40_44_Tot_LF,C16_F_40_44_Not_LF,C16_F_40_44_LF_NS,C16_F_40_44_Tot,C16_F_45_49_Em_FT,C16_F_45_49_Em_PT,C16_F_45_49_Em_AFW,C16_F_45_49_Em_Hrs_NS,C16_F_45_49_Em_Tot,C16_F_45_49_Unem_Look_FT,C16_F_45_49_Unem_Look_PT,C16_F_45_49_Unem_Tot,C16_F_45_49_Tot_LF,C16_F_45_49_Not_LF,C16_F_45_49_LF_NS,C16_F_45_49_Tot,C16_F_50_54_Em_FT,C16_F_50_54_Em_PT,C16_F_50_54_Em_AFW,C16_F_50_54_Em_Hrs_NS,C16_F_50_54_Em_Tot,C16_F_50_54_Unem_Look_FT,C16_F_50_54_Unem_Look_PT,C16_F_50_54_Unem_Tot,C16_F_50_54_Tot_LF,C16_F_50_54_Not_LF,C16_F_50_54_LF_NS,C16_F_50_54_Tot,C16_F_55_59_Em_FT,C16_F_55_59_Em_PT,C16_F_55_59_Em_AFW,C16_F_55_59_Em_Hrs_NS,C16_F_55_59_Em_Tot,C16_F_55_59_Unem_Look_FT,C16_F_55_59_Unem_Look_PT,C16_F_55_59_Unem_Tot,C16_F_55_59_Tot_LF,C16_F_55_59_Not_LF,C16_F_55_59_LF_NS,C16_F_55_59_Tot,C16_F_60_64_Em_FT,C16_F_60_64_Em_PT,C16_F_60_64_Em_AFW,C16_F_60_64_Em_Hrs_NS,C16_F_60_64_Em_Tot,C16_F_60_64_Unem_Look_FT,C16_F_60_64_Unem_Look_PT,C16_F_60_64_Unem_Tot,C16_F_60_64_Tot_LF,C16_F_60_64_Not_LF,C16_F_60_64_LF_NS,C16_F_60_64_Tot,C16_F_65_69_Em_FT,C16_F_65_69_Em_PT,C16_F_65_69_Em_AFW,C16_F_65_69_Em_Hrs_NS,C16_F_65_69_Em_Tot,C16_F_65_69_Unem_Look_FT,C16_F_65_69_Unem_Look_PT,C16_F_65_69_Unem_Tot
1,64797,53419,5702,2021,125938,2295,2409,4710,130642,73592,9271,213510,32108,38608,3911,1416,76045,1072,1666,2743,78789,108825,9039,196650,8769,15454,1525,676,26416,87,346,432,26851,118603,8214,153660,1986,5232,559,354,8131,17,97,121,8244,106707,7982,122937,924,2463,445,528,4352,29,93,123,4473,243304,30128,277906,736384,630629,68710,28195,1463917,43099,48049,91146,1555064,1152316,153458,2860846,11228,67000,3494,2385,84107,4095,13283,17378,101483,106443,10388,218317,68780,74556,4854,3759,151947,7190,9335,16530,168479,57747,14956,241183,115707,54941,8260,3393,182303,6614,5586,12203,194501,54118,17955,266577,102583,66650,13431,2985,185646,5415,5222,10641,196286,61044,17055,274379,86628,73799,8939,2535,171904,4634,5145,9782,181683,56434,14242,252362,94405,79293,4795,2581,181066,4467,5193,9662,190728,51847,13689,256266,98708,74537,3976,2548,179769,4626,4502,9123,188896,50386,13569,252844,93412,68787,4640,2461,169300,4332,3967,8299,177601,55510,13575,246687,75608,62755,5249,2051,145661,3303,3657,6957,152622,74735,13599,240948,40270,45833,4139,1458,91694,1863,2628,4481,96179,106829,12755,215758,12941,22968,2014,807,38738,184,567,749
2,46940,45431,4761,1571,98707,1621,1736,3361,102062,53960,6372,162402,22718,32692,3502,1127,60032,699,1082,1779,61819,82208,6596,150621,5568,12188,1280,573,19612,65,231,292,19906,88713,6270,114897,1202,3821,394,324,5744,21,61,84,5834,80369,6217,92419,618,1694,337,411,3066,37,52,83,3148,182831,23735,209717,560284,539518,56374,22931,1179110,30990,37937,68928,1248044,876084,111293,2235416,5360,55612,2358,1941,65273,2637,13099,15731,81008,85209,8271,174492,49640,68502,4063,3030,125238,6441,9752,16189,141426,50646,11990,204064,95707,48487,6701,2775,153676,6140,5051,11189,164864,44506,14336,223709,83149,57086,11677,2380,154288,4896,4363,9250,163543,50983,13801,228324,64009,64167,8010,1956,138152,3753,4209,7965,146116,46838,11158,204109,67662,70565,4253,2068,144552,3973,4614,8581,153134,41877,10818,205829,73864,68982,3652,2155,148661,3698,3889,7586,156245,40117,10910,207269,68840,60179,4135,1950,135106,3326,3023,6355,141460,41832,10486,193771,53897,53890,4510,1612,113910,2527,2680,5206,119119,54974,10356,184442,28787,39491,3710,1155,73147,1345,2014,3360,76506,79101,9841,165440,8829,18880,1790,645,30145,130,480,608
3,40550,33392,3679,1237,78865,1635,1415,3044,81908,43013,5548,130475,21065,24031,2620,920,48633,730,1008,1740,50380,65444,5585,121400,5276,9172,904,423,15779,66,234,303,16080,71665,4901,92641,1171,2771,275,227,4447,25,58,84,4530,59856,4756,69142,513,1132,198,301,2144,22,38,59,2198,120997,17708,140902,477297,418653,44166,17672,957795,31194,30886,62076,1019872,643667,94867,1758403,9315,53522,2104,1692,66636,4433,11059,15494,82134,55112,7848,145089,47715,48026,3275,1932,100954,6541,6004,12541,113494,33157,10926,157576,64370,37136,5788,1813,109099,4992,3932,8927,118023,32993,11599,162626,57228,44545,8231,1579,111590,4079,3743,7822,119413,36046,10758,166218,51594,48598,5178,1452,106823,3454,3541,6993,113823,32715,9238,155777,60715,52558,3112,1737,118127,3893,3534,7424,125549,30055,9591,165198,65675,49657,2930,1625,119890,3948,2998,6947,126835,28811,9815,165459,60809,44369,3487,1442,110110,3616,2491,6101,116215,31845,9652,157712,47581,39195,3592,1200,91565,2789,2225,5022,96585,43580,9310,149475,25676,28341,2767,875,57665,1559,1797,3354,61022,63385,8723,133130,7950,13641,1190,492,23275,140,412,546
4,15780,14932,1688,398,32797,465,489,960,33755,16705,1679,52126,7833,10810,1209,344,20202,186,292,481,20678,27228,1833,49739,1763,3930,404,134,6231,20,53,74,6310,30399,1636,38345,388,1148,156,77,1772,7,16,29,1796,27181,1758,30738,153,499,107,129,887,7,15,17,903,64764,7220,72891,155053,169224,17963,5842,348084,9466,10612,20074,368155,272850,28379,669385,1771,17045,701,458,19983,1011,3866,4883,24866,22311,1988,49169,12484,18776,1269,632,33166,2017,2280,4293,37462,12772,2534,52766,20091,13401,2170,597,36263,1666,1353,3014,39276,11869,2707,53851,17171,16924,3292,529,37914,1309,1147,2452,40366,12930,2688,55983,14591,18409,2017,422,35439,1251,1251,2502,37943,11434,2319,51697,17253,19808,1199,463,38728,1132,1094,2226,40952,10341,2289,53580,20451,20131,1113,484,42180,1213,1050,2257,44442,10417,2578,57435,20332,18691,1365,463,40858,1047,875,1919,42782,11921,2640,57337,16940,17402,1555,386,36285,782,758,1542,37832,16555,2848,57230,9612,12706,1241,321,23878,418,570,990,24872,25048,2606,52524,2843,5890,603,187,9524,34,112,143
5,20849,19227,2374,667,43109,493,598,1088,44198,20074,3063,67336,10337,13966,1716,427,26442,241,397,641,27080,29812,2874,59770,2481,5251,588,192,8508,33,109,140,8648,31895,2211,42761,496,1654,172,89,2411,15,23,35,2442,29313,2189,33950,196,641,115,114,1067,9,28,28,1100,61456,8149,70706,239231,223756,25527,8620,497141,11930,13763,25691,522832,324860,51166,898860,4046,24720,977,722,30466,1783,5540,7324,37784,31434,3665,72881,23395,25004,1688,1084,51173,2982,3072,6050,57222,15318,5234,77773,37527,19812,3112,990,61453,2722,2354,5072,66526,18561,6847,91940,31395,25244,4539,869,62055,2351,2421,4769,66823,22888,6572,96282,24542,27559,2921,734,55754,2062,2326,4390,60138,20410,5183,85737,27337,29407,1779,799,59322,2150,2269,4420,63740,16973,5073,85784,31177,28205,1753,855,61984,2174,1748,3916,65904,15013,5027,85942,29650,24649,2004,754,57055,1883,1394,3278,60340,15714,4844,80892,23470,22010,2147,635,48261,1329,1243,2570,50832,20212,4734,75778,12951,16899,1664,410,31920,728,919,1649,33569,29506,4236,67306,3908,8045,801,226,12971,77,227,300
6,4405,5036,607,153,10197,189,184,370,10571,6216,602,17387,2071,3376,432,92,5968,85,135,215,6183,9675,628,16491,455,1178,122,52,1806,3,26,32,1838,10260,615,12715,108,379,30,22,544,0,0,0,549,8807,608,9961,41,131,22,28,222,0,3,5,229,18583,2082,20891,44304,52537,5710,1675,104224,3125,3190,6319,110542,87562,8837,206937,785,5170,280,177,6414,353,971,1323,7741,6612,761,15118,3747,4855,405,159,9168,533,510,1043,10211,3531,833,14569,4769,3960,622,136,9493,357,368,726,10215,3561,834,14609,4121,4976,861,118,10074,271,318,586,10659,3602,823,15085,3815,5634,575,111,10139,253,285,536,10672,3346,792,14810,5059,6251,417,138,11869,293,297,594,12461,3106,855,16422,6095,6252,431,183,12957,323,270,594,13556,3408,899,17863,6208,5901,533,158,12797,319,260,571,13368,3887,1028,18290,5212,5786,638,158,11789,224,242,469,12256,5912,1142,19310,2657,4137,460,107,7360,132,222,358,7720,8947,1120,17783,727,1763,182,67,2748,14,43,56
7,2412,866,206,74,3564,53,33,83,3642,1401,504,5548,1231,632,128,42,2029,14,23,42,2066,1662,369,4097,325,235,30,34,621,5,9,13,634,1501,233,2365,68,87,11,7,178,0,4,4,179,1128,168,1479,29,41,4,10,80,0,0,0,84,1497,285,1862,28748,13137,2593,1142,45614,1521,898,2422,48032,22933,7544,78510,626,1397,65,92,2181,259,230,494,2677,3167,755,6598,2679,1239,164,157,4234,368,136,505,4739,2045,1011,7796,4388,1434,354,147,6329,311,154,465,6792,2392,1385,10573,4000,1769,452,147,6371,258,173,436,6807,2431,1230,10471,3364,1666,307,108,5437,238,148,381,5821,1970,949,8747,3463,1490,193,91,5240,220,105,327,5572,1581,883,8035,3671,1316,197,113,5295,201,82,286,5581,1424,915,7914,3368,1034,208,106,4719,181,76,259,4981,1351,826,7157,2694,961,200,72,3927,100,40,135,4061,1464,764,6291,1556,697,129,46,2428,52,58,104,2534,1767,607,4900,555,384,60,33,1033,19,20,39
8,4398,2371,466,81,7314,55,58,111,7426,2805,304,10533,2163,1871,304,64,4396,30,59,89,4475,4662,267,9408,460,815,116,21,1404,0,21,30,1434,4807,248,6487,71,248,20,11,350,3,6,12,355,4153,253,4759,24,95,7,16,142,0,0,0,142,8560,942,9642,54877,33150,6033,1240,95303,1339,1980,3320,98621,43800,5919,148341,801,4561,203,182,5741,133,990,1128,6872,4788,489,12144,4927,4850,400,259,10436,306,558,861,11297,3403,869,15563,8897,2935,738,144,12712,283,229,509,13226,2337,977,16538,7697,3985,1364,151,13196,281,232,511,13711,2519,918,17143,6523,4349,861,120,11856,235,182,420,12271,2171,723,15174,6955,3995,436,100,11487,194,172,360,11851,1797,641,14286,7098,3376,318,117,10905,165,124,288,11194,1579,617,13392,6618,2791,380,90,9878,154,115,268,10142,1879,564,12589,4741,2362,369,71,7542,110,131,249,7787,3188,583,11561,2319,1880,269,51,4519,54,77,130,4653,4822,560,10040,667,1044,114,25,1860,11,43,52
9,28,12,0,0,43,0,0,0,44,40,3,86,15,6,0,0,20,0,0,0,21,19,3,41,5,0,0,0,4,0,0,0,4,27,0,26,0,0,0,0,0,0,0,0,0,12,0,16,0,0,0,0,0,0,0,0,0,20,0,17,301,136,21,14,470,15,11,23,494,281,48,818,3,22,0,6,38,6,0,0,46,50,16,103,29,13,4,0,48,0,0,0,49,13,8,71,44,15,4,0,66,0,0,0,68,16,12,100,43,38,14,0,94,0,0,0,98,33,17,142,55,35,3,4,98,0,0,0,99,32,5,140,63,44,5,3,108,5,0,8,117,26,13,154,73,42,5,5,121,3,0,3,120,23,14,165,69,38,4,9,117,0,0,0,116,25,28,173,66,35,8,6,115,0,3,6,125,34,30,185,39,32,4,0,80,0,0,0,84,61,22,163,27,26,0,5,59,0,0,0
