STE_CODE_2021,C11_M_Post_Deg_15_19_yrs,C11_M_Post_Deg_20_24_yrs,C11_M_Post_Deg_25_34_yrs,C11_M_Post_Deg_35_44_yrs,C11_M_Post_Deg_45_54_yrs,C11_M_Post_Deg_55_64_yrs,C11_M_Post_Deg_65_74_yrs,C11_M_Post_Deg_75_84_yrs,C11_M_Post_Deg_85over,C11_M_Post_Deg_Tot,C11_M_GrDip_GrCe_15_19,C11_M_GrDip_GrCe_20_24,C11_M_GrDip_GrCe_25_34,C11_M_GrDip_GrCe_35_44,C11_M_GrDip_GrCe_45_54,C11_M_GrDip_GrCe_55_64,C11_M_GrDip_GrCe_65_74,C11_M_GrDip_GrCe_75_84,C11_M_GrDip_GrCe_85over,C11_M_GrDip_GrCe_Tot,C11_M_BD_15_19,C11_M_BD_20_24,C11_M_BD_25_34,C11_M_BD_35_44,C11_M_BD_45_54,C11_M_BD_55_64,C11_M_BD_65_74,C11_M_BD_75_84,C11_M_BD_85over,C11_M_BD_Tot,C11_M_AdD_DL_15_19,C11_M_AdD_DL_20_24,C11_M_AdD_DL_25_34,C11_M_AdD_DL_35_44,C11_M_AdD_DL_45_54,C11_M_AdD_DL_55_64,C11_M_AdD_DL_65_74,C11_M_AdD_DL_75_84,C11_M_AdD_DL_85over,C11_M_AdD_DL_Tot,C11_M_CL_C_III_IV_15_19,C11_M_CL_C_III_IV_20_24,C11_M_CL_C_III_IV_25_34,C11_M_CL_C_III_IV_35_44,C11_M_CL_C_III_IV_45_54,C11_M_CL_C_III_IV_55_64,C11_M_CL_C_III_IV_65_74,C11_M_CL_C_III_IV_75_84,C11_M_CL_C_III_IV_85over,C11_M_CL_C_III_IV_Tot,C11_M_CL_C_I_II_15_19,C11_M_CL_C_I_II_20_24,C11_M_CL_C_I_II_25_34,C11_M_CL_C_I_II_35_44,C11_M_CL_C_I_II_45_54,C11_M_CL_C_I_II_55_64,C11_M_CL_C_I_II_65_74,C11_M_CL_C_I_II_75_84,C11_M_CL_C_I_II_85over,C11_M_CL_C_I_II_Tot,C11_M_CL_CL_nfd_15_19,C11_M_CL_CL_nfd_20_24,C11_M_CL_CL_nfd_25_34,C11_M_CL_CL_nfd_35_44,C11_M_CL_CL_nfd_45_54,C11_M_CL_CL_nfd_55_64,C11_M_CL_CL_nfd_65_74,C11_M_CL_CL_nfd_75_84,C11_M_CL_CL_nfd_85over,C11_M_CL_CL_nfd_Tot,C11_M_CL_Tot_15_19,C11_M_CL_Tot_20_24,C11_M_CL_Tot_25_34,C11_M_CL_Tot_35_44,C11_M_CL_Tot_45_54,C11_M_CL_Tot_55_64,C11_M_CL_Tot_65_74,C11_M_CL_Tot_75_84,C11_M_CL_Tot_85over,C11_M_CL_Tot_Tot,C11_M_LE_ID_15_19,C11_M_LE_ID_20_24,C11_M_LE_ID_25_34,C11_M_LE_ID_35_44,C11_M_LE_ID_45_54,C11_M_LE_ID_55_64,C11_M_LE_ID_65_74,C11_M_LE_ID_75_84,C11_M_LE_ID_85over,C11_M_LE_ID_Tot,C11_M_LE_NS_15_19,C11_M_LE_NS_20_24,C11_M_LE_NS_25_34,C11_M_LE_NS_35_44,C11_M_LE_NS_45_54,C11_M_LE_NS_55_64,C11_M_LE_NS_65_74,C11_M_LE_NS_75_84,C11_M_LE_NS_85over,C11_M_LE_NS_Tot,C11_M_Tot_15_19_yrs,C11_M_Tot_20_24_yrs,C11_M_Tot_25_34_yrs,C11_M_Tot_35_44_yrs,C11_M_Tot_45_54_yrs,C11_M_Tot_55_64_yrs,C11_M_Tot_65_74_yrs,C11_M_Tot_75_84_yrs,C11_M_Tot_85over,C11_M_Tot_Tot,C16_M_Post_Deg_15_19_yrs,C16_M_Post_Deg_20_24_yrs,C16_M_Post_Deg_25_34_yrs,C16_M_Post_Deg_35_44_yrs,C16_M_Post_Deg_45_54_yrs,C16_M_Post_Deg_55_64_yrs,C16_M_Post_Deg_65_74_yrs,C16_M_Post_Deg_75_84_yrs,C16_M_Post_Deg_85over,C16_M_Post_Deg_Tot,C16_M_GrDip_GrCe_15_19,C16_M_GrDip_GrCe_20_24,C16_M_GrDip_GrCe_25_34,C16_M_GrDip_GrCe_35_44,C16_M_GrDip_GrCe_45_54,C16_M_GrDip_GrCe_55_64,C16_M_GrDip_GrCe_65_74,C16_M_GrDip_GrCe_75_84,C16_M_GrDip_GrCe_85over,C16_M_GrDip_GrCe_Tot,C16_M_BD_15_19,C16_M_BD_20_24,C16_M_BD_25_34,C16_M_BD_35_44,C16_M_BD_45_54,C16_M_BD_55_64,C16_M_BD_65_74,C16_M_BD_75_84,C16_M_BD_85over,C16_M_BD_Tot,C16_M_AdD_DL_15_19,C16_M_AdD_DL_20_24,C16_M_AdD_DL_25_34,C16_M_AdD_DL_35_44,C16_M_AdD_DL_45_54,C16_M_AdD_DL_55_64,C16_M_AdD_DL_65_74,C16_M_AdD_DL_75_84,C16_M_AdD_DL_85over,C16_M_AdD_DL_Tot,C16_M_CL_C_III_IV_15_19,C16_M_CL_C_III_IV_20_24,C16_M_CL_C_III_IV_25_34,C16_M_CL_C_III_IV_35_44,C16_M_CL_C_III_IV_45_54,C16_M_CL_C_III_IV_55_64,C16_M_CL_C_III_IV_65_74,C16_M_CL_C_III_IV_75_84,C16_M_CL_C_III_IV_85over,C16_M_CL_C_III_IV_Tot,C16_M_CL_C_I_II_15_19,C16_M_CL_C_I_II_20_24,C16_M_CL_C_I_II_25_34,C16_M_CL_C_I_II_35_44,C16_M_CL_C_I_II_45_54,C16_M_CL_C_I_II_55_64,C16_M_CL_C_I_II_65_74,C16_M_CL_C_I_II_75_84,C16_M_CL_C_I_II_85over,C16_M_CL_C_I_II_Tot,C16_M_CL_CL_nfd_15_19,C16_M_CL_CL_nfd_20_24,C16_M_CL_CL_nfd_25_34,C16_M_CL_CL_nfd_35_44,C16_M_CL_CL_nfd_45_54,C16_M_CL_CL_nfd_55_64,C16_M_CL_CL_nfd_65_74,C16_M_CL_CL_nfd_75_84,C16_M_CL_CL_nfd_85over,C16_M_CL_CL_nfd_Tot,C16_M_CL_Tot_15_19,C16_M_CL_Tot_20_24,C16_M_CL_Tot_25_34,C16_M_CL_Tot_35_44,C16_M_CL_Tot_45_54,C16_M_CL_Tot_55_64,C16_M_CL_Tot_65_74,C16_M_CL_Tot_75_84,C16_M_CL_Tot_85over,C16_M_CL_Tot_Tot,C16_M_LE_ID_15_19,C16_M_LE_ID_20_24,C16_M_LE_ID_25_34,C16_M_LE_ID_35_44,C16_M_LE_ID_45_54,C16_M_LE_ID_55_64,C16_M_LE_ID_65_74,C16_M_LE_ID_75_84,C16_M_LE_ID_85over,C16_M_LE_ID_Tot
1,18,1624,31915,32621,27986,20370,9527,3085,677,127832,6,396,5521,7746,7393,6905,2352,720,135,31166,205,23491,96941,83774,64942,49977,22644,9139,2668,353780,856,13779,39899,44920,39181,30115,16045,7474,2125,194390,7318,40993,99732,112825,119049,94844,62030,31043,8452,576280,1985,3580,5206,3968,3432,2676,1355,487,100,22782,697,2161,4773,5396,6372,6823,4263,1846,471,32806,9993,46735,109710,122184,128853,104345,67642,33381,9022,631870,655,2437,6663,6939,7483,6988,4811,2868,1066,39908,22921,20782,41871,37971,37918,34025,29612,25243,10919,261253,34653,109242,332529,336157,313747,252711,152628,81909,26608,1640194,26,1952,43377,47770,33847,25444,15432,5056,1201,174104,33,498,6304,8939,8191,8361,4526,1233,264,38347,294,31090,120939,98475,71760,58356,35116,12987,3938,432949,1092,12601,45124,48627,46307,36265,22865,9163,2993,225036,7182,41208,110302,108269,116614,103762,75294,37990,11374,611991,1730,3426,4824,3752,3394,2694,1811,609,160,22404,839,2583,6498,7651,8938,9698,8403,3793,1112,49519,9749,47217,121625,119672,128944,116158,85513,42389,12641,683907,431,1470,4459,4364,4056,3829,3371,1822,653,24462
2,10,1377,24836,22886,18783,13378,6585,1973,435,90258,7,469,6308,8825,8563,6924,2328,606,111,34129,136,21970,86684,68289,49257,35737,15453,6138,1860,285512,652,13686,34062,32869,29254,26154,14884,6394,1644,159593,7118,33813,79017,88746,87482,64920,41290,20378,5426,428197,1791,2518,3588,2522,1954,1402,645,245,61,14722,531,1675,3653,3862,3989,3794,1970,837,236,20547,9441,38008,86255,95123,93426,70120,43906,21463,5719,463466,292,1222,3577,3534,3486,2995,2175,1377,503,19154,17101,16172,31364,28217,27429,25436,22526,20137,9001,197382,27639,92894,273081,259743,230181,180745,107851,58088,19265,1249499,25,2250,36413,35301,23746,17064,10413,3269,725,129215,25,588,7216,9715,9341,8808,4583,1056,218,41546,201,28427,104940,83225,56781,42892,24797,8766,2751,352776,983,13188,42693,39179,35074,29017,20656,8102,2536,191427,7257,35193,93315,84201,92094,75253,50048,25718,7713,470796,1467,2733,3511,2788,2210,1625,955,294,64,15649,561,1990,4918,5445,5798,5672,4357,1906,656,31309,9281,39917,101741,92437,100103,82551,55356,27918,8433,517756,283,1113,3353,3132,2674,2465,2182,1325,480,17012
3,6,655,10633,12732,11731,8823,4184,1224,221,50213,13,295,2987,4755,4581,3603,1273,317,46,17871,126,12756,46881,41934,30350,22987,10606,3710,931,170291,791,5944,18347,24901,24301,19611,10179,3855,921,108846,7594,32086,79168,84368,83382,66971,40937,17441,4121,416076,3329,3061,4031,2484,1733,1181,589,189,39,16644,653,1404,3138,3493,2998,3249,1818,701,180,17633,11576,36549,86340,90340,88116,71406,43341,18334,4348,450351,368,1077,2834,3200,3153,2977,2327,1269,363,17574,15056,14610,28049,27001,25568,22430,18438,14777,6572,172504,27939,71892,196066,204871,187807,151840,90347,43483,13399,987649,10,707,14002,17393,14562,10915,6792,2201,433,67010,14,472,3872,5239,5715,4852,2424,646,103,23337,162,14816,53297,47665,35828,26520,16852,5801,1429,202373,1278,7755,22823,28238,29704,23942,15252,5417,1402,135805,9578,33877,91604,86598,86351,75029,52217,23225,5809,464295,3466,3725,3711,2612,1924,1306,840,277,44,17901,927,1847,4294,4891,4954,4893,4108,1901,502,28329,13969,39443,99613,94105,93234,81226,57172,25404,6353,510523,264,762,2083,2176,2045,1937,1891,1169,363,12693
4,4,235,4530,4515,4154,3473,1804,652,137,19512,0,82,1051,1629,1907,1821,648,166,26,7330,37,4757,17814,14712,11340,10044,4609,1749,562,65635,93,2022,6402,8483,9069,8524,4512,1770,514,41387,1877,10610,24824,27775,28795,23647,15144,7928,2213,142806,806,1314,1851,1083,774,550,277,95,23,6767,183,643,1287,1396,1484,1646,888,429,109,8068,2862,12559,27957,30263,31052,25844,16307,8459,2338,157641,125,359,1033,1199,1107,1185,828,477,181,6498,4835,4113,7698,7819,8187,7490,6626,6417,3069,56250,7965,24135,66490,68621,66802,58385,35341,19693,6823,354253,5,263,5760,6528,4936,4044,2745,1031,255,25573,3,105,1282,1843,2031,2145,1218,290,58,8976,35,5156,19693,17360,12451,10696,7395,2366,845,75994,151,1952,7839,9296,10372,9365,6843,2377,746,48943,2341,10481,28661,25833,28996,25946,18819,9801,3002,153872,776,1460,1940,1296,934,689,428,128,37,7689,236,603,1470,1761,2032,2150,1898,840,265,11246,3353,12547,32070,28889,31962,28783,21147,10769,3305,172807,92,277,823,863,836,869,816,468,210,5250
5,3,379,6435,7346,6712,4885,2309,684,142,28896,0,195,1950,2968,2716,1936,700,194,32,10688,50,7596,29699,25004,19017,13744,5932,2127,569,103734,392,4049,11440,13176,13042,11531,6104,2464,609,62804,4645,18431,42159,43438,44108,33225,18896,8533,2088,215531,1273,1419,1863,1256,886,614,285,104,21,7722,256,701,1533,1731,1626,1588,877,391,86,8790,6172,20555,45553,46424,46623,35428,20055,9022,2199,232043,236,961,2548,2622,2550,2544,1923,1134,403,14923,7409,8816,18660,16387,14204,11117,7581,6132,2737,93033,14263,42553,116282,113929,104856,81180,44601,21756,6695,546121,5,385,8933,11069,8477,6012,3663,1206,266,40015,4,233,2506,3204,3305,2635,1288,301,59,13534,62,8817,35693,30369,22405,16202,9397,3175,896,127018,501,4099,15282,15982,15584,12936,8804,3407,853,77452,3800,17776,51411,44819,45863,37505,23722,11132,2696,238718,1841,1794,2123,1350,1032,696,354,102,31,9328,343,833,2295,2647,2747,2486,2023,975,258,14607,5983,20404,55826,48813,49647,40687,26095,12213,2980,262654,150,422,1415,1477,1310,1096,1022,498,177,7562
6,0,52,707,1004,1142,1121,666,214,53,4956,0,31,281,513,552,486,182,51,12,2122,3,911,3803,3673,3334,3089,1383,590,182,16968,18,372,1336,2265,2655,2535,1453,631,174,11438,779,3782,7984,9201,10132,8115,5081,2245,576,47898,266,389,572,267,247,169,96,36,10,2051,30,107,228,279,293,376,239,99,24,1667,1078,4278,8791,9738,10667,8654,5421,2381,608,51618,20,85,224,258,346,351,257,146,37,1722,1545,1113,1896,2168,2466,2648,2520,2147,887,17380,2668,6844,17034,19621,21158,18881,11885,6167,1945,106204,4,35,1094,1283,1307,1268,1004,329,90,6411,5,41,356,472,664,619,382,97,16,2646,8,923,4006,3911,3327,3397,2307,748,271,18911,25,381,1531,2252,2797,2874,2149,825,233,13056,594,3576,8868,8247,9496,9273,6118,2986,770,49936,238,505,569,351,231,216,119,43,16,2292,64,173,357,466,539,605,511,268,70,3043,899,4255,9786,9066,10268,10088,6749,3295,854,55268,17,57,155,161,195,218,242,169,49,1266
7,0,19,460,495,497,417,150,20,4,2063,0,11,172,240,298,215,44,10,0,981,0,387,2003,1638,1203,971,306,57,9,6588,12,236,1022,1271,1117,861,278,60,8,4858,310,1744,4394,4355,3826,2604,1044,241,25,18541,122,219,310,215,148,75,26,7,0,1121,26,62,156,182,141,115,56,3,0,751,458,2028,4859,4752,4116,2790,1125,256,27,20418,15,67,172,152,147,131,57,22,7,774,1426,1541,3307,2716,2258,1662,814,359,83,14168,1913,4290,11998,11268,9639,7054,2773,779,140,49855,0,20,732,766,583,462,240,44,4,2861,0,12,204,277,287,231,80,20,0,1109,7,439,2748,2037,1391,1065,469,115,21,8295,7,216,1289,1437,1458,989,408,108,9,5921,287,1620,5635,4357,4172,2963,1364,376,66,20844,143,192,307,239,170,83,28,7,0,1175,53,108,296,312,259,200,122,28,9,1385,479,1921,6241,4906,4600,3245,1522,416,73,23408,4,42,135,121,109,86,40,27,7,573
8,5,147,3057,3612,3460,2630,1223,458,114,14698,0,61,727,1061,1234,1009,301,45,10,4453,12,2324,8326,6038,4788,3976,1992,791,257,28502,40,770,2454,2703,2414,1779,871,372,102,11498,315,2070,4769,4425,3918,2915,1761,945,245,21374,168,270,297,162,118,95,47,9,4,1181,34,112,243,260,225,275,152,63,13,1373,516,2453,5308,4847,4254,3287,1966,1024,263,23924,28,164,324,353,275,302,235,164,61,1901,988,1271,1916,1466,1286,989,750,598,316,9577,1588,7193,22105,20079,17714,13963,7341,3450,1119,94559,8,131,3844,5109,3942,3037,1855,664,190,18776,5,77,996,1105,1211,1170,596,107,18,5278,15,2625,9148,7035,5093,4093,2844,1102,369,32327,45,681,2832,3088,2787,2014,1225,444,158,13281,334,1932,5486,4426,3957,3001,2084,1141,343,22697,153,259,307,187,125,77,45,26,10,1183,32,115,257,341,300,312,261,100,41,1762,519,2304,6049,4958,4376,3387,2396,1268,391,25645,28,80,227,206,196,180,164,116,49,1238
9,0,0,6,4,3,3,0,0,0,24,0,0,0,3,3,0,0,0,0,7,0,9,19,30,12,9,0,0,0,77,0,4,10,16,22,11,0,0,0,69,3,10,36,40,56,40,13,0,0,193,0,0,8,0,0,0,0,0,0,11,0,0,3,0,0,0,0,0,0,5,3,10,44,42,58,44,13,0,0,216,0,0,0,0,4,0,0,0,0,12,52,145,443,136,52,37,14,3,4,884,54,166,526,229,161,107,26,3,4,1284,0,0,5,6,0,5,11,4,0,35,0,0,0,4,3,0,4,0,0,20,0,5,25,37,24,24,17,0,3,140,0,0,11,27,27,16,8,6,0,103,5,14,60,84,109,118,51,18,4,458,7,0,8,9,7,6,6,0,0,28,0,4,6,7,4,4,5,0,0,37,12,14,73,98,122,124,62,16,4,527,0,4,0,3,7,0,0,0,0,12
