STE_CODE_2021,C11_1_74_CF_NC,C11_1_74_CF_Cu15DS_,C11_1_74_CF_CU15_NDS,C11_1_74_CF_NCU15_DS,C11_1_74_CF_NDCO,C11_1_74_Tot,C11_75_99_CF_NC,C11_75_99_CF_Cu15DS_,C11_75_99_CF_CU15_NDS,C11_75_99_CF_NCU15_DS,C11_75_99_CF_NDCO,C11_75_99_Tot,C11_100_149_CF_NC,C11_100_149_CF_Cu15DS_,C11_100_149_CF_CU15_NDS,C11_100_149_CF_NCU15_DS,C11_100_149_CF_NDCO,C11_100_149_Tot,C11_150_199_CF_NC,C11_150_199_CF_Cu15DS_,C11_150_199_CF_CU15_NDS,C11_150_199_CF_NCU15_DS,C11_150_199_CF_NDCO,C11_150_199_Tot,C11_200_224_CF_NC,C11_200_224_CF_Cu15DS_,C11_200_224_CF_CU15_NDS,C11_200_224_CF_NCU15_DS,C11_200_224_CF_NDCO,C11_200_224_Tot,C11_225_274_CF_NC,C11_225_274_CF_Cu15DS_,C11_225_274_CF_CU15_NDS,C11_225_274_CF_NCU15_DS,C11_225_274_CF_NDCO,C11_225_274_Tot,C11_275_349_CF_NC,C11_275_349_CF_Cu15DS_,C11_275_349_CF_CU15_NDS,C11_275_349_CF_NCU15_DS,C11_275_349_CF_NDCO,C11_275_349_Tot,C11_350_449_CF_NC,C11_350_449_CF_Cu15DS_,C11_350_449_CF_CU15_NDS,C11_350_449_CF_NCU15_DS,C11_350_449_CF_NDCO,C11_350_449_Tot,C11_450_549_CF_NC,C11_450_549_CF_Cu15DS_,C11_450_549_CF_CU15_NDS,C11_450_549_CF_NCU15_DS,C11_450_549_CF_NDCO,C11_450_549_Tot,C11_550_649_CF_NC,C11_550_649_CF_Cu15DS_,C11_550_649_CF_CU15_NDS,C11_550_649_CF_NCU15_DS,C11_550_649_CF_NDCO,C11_550_649_Tot,C11_650_749_CF_NC,C11_650_749_CF_Cu15DS_,C11_650_749_CF_CU15_NDS,C11_650_749_CF_NCU15_DS,C11_650_749_CF_NDCO,C11_650_749_Tot,C11_750_849_CF_NC,C11_750_849_CF_Cu15DS_,C11_750_849_CF_CU15_NDS,C11_750_849_CF_NCU15_DS,C11_750_849_CF_NDCO,C11_750_849_Tot,C11_850_949_CF_NC,C11_850_949_CF_Cu15DS_,C11_850_949_CF_CU15_NDS,C11_850_949_CF_NCU15_DS,C11_850_949_CF_NDCO,C11_850_949_Tot,C11_950over_CF_NC,C11_950over_CF_Cu15DS_,C11_950over_CF_CU15_NDS,C11_950over_CF_NCU15_DS,C11_950over_CF_NDCO,C11_950over_Tot,C11_Rns_CF_NC,C11_Rns_CF_Cu15DS_,C11_Rns_CF_CU15_NDS,C11_Rns_CF_NCU15_DS,C11_Rns_CF_NDCO,C11_Rns_Tot,C11_Tot_CF_NC,C11_Tot_CF_Cu15DS_,C11_Tot_CF_CU15_NDS,C11_Tot_CF_NCU15_DS,C11_Tot_CF_NDCO,C11_Tot_Tot,C16_1_74_CF_NC,C16_1_74_CF_Cu15DS_,C16_1_74_CF_CU15_NDS,C16_1_74_CF_NCU15_DS,C16_1_74_CF_NDCO,C16_1_74_Tot,C16_75_99_CF_NC,C16_75_99_CF_Cu15DS_,C16_75_99_CF_CU15_NDS,C16_75_99_CF_NCU15_DS,C16_75_99_CF_NDCO,C16_75_99_Tot,C16_100_149_CF_NC,C16_100_149_CF_Cu15DS_,C16_100_149_CF_CU15_NDS,C16_100_149_CF_NCU15_DS,C16_100_149_CF_NDCO,C16_100_149_Tot,C16_150_199_CF_NC,C16_150_199_CF_Cu15DS_,C16_150_199_CF_CU15_NDS,C16_150_199_CF_NCU15_DS,C16_150_199_CF_NDCO,C16_150_199_Tot,C16_200_224_CF_NC,C16_200_224_CF_Cu15DS_,C16_200_224_CF_CU15_NDS,C16_200_224_CF_NCU15_DS,C16_200_224_CF_NDCO,C16_200_224_Tot,C16_225_274_CF_NC,C16_225_274_CF_Cu15DS_,C16_225_274_CF_CU15_NDS,C16_225_274_CF_NCU15_DS,C16_225_274_CF_NDCO,C16_225_274_Tot,C16_275_349_CF_NC,C16_275_349_CF_Cu15DS_,C16_275_349_CF_CU15_NDS,C16_275_349_CF_NCU15_DS,C16_275_349_CF_NDCO,C16_275_349_Tot,C16_350_449_CF_NC,C16_350_449_CF_Cu15DS_,C16_350_449_CF_CU15_NDS,C16_350_449_CF_NCU15_DS,C16_350_449_CF_NDCO,C16_350_449_Tot,C16_450_549_CF_NC,C16_450_549_CF_Cu15DS_,C16_450_549_CF_CU15_NDS,C16_450_549_CF_NCU15_DS,C16_450_549_CF_NDCO,C16_450_549_Tot,C16_550_649_CF_NC,C16_550_649_CF_Cu15DS_,C16_550_649_CF_CU15_NDS,C16_550_649_CF_NCU15_DS,C16_550_649_CF_NDCO,C16_550_649_Tot,C16_650_749_CF_NC,C16_650_749_CF_Cu15DS_,C16_650_749_CF_CU15_NDS,C16_650_749_CF_NCU15_DS,C16_650_749_CF_NDCO,C16_650_749_Tot,C16_750_849_CF_NC,C16_750_849_CF_Cu15DS_,C16_750_849_CF_CU15_NDS,C16_750_849_CF_NCU15_DS,C16_750_849_CF_NDCO,C16_750_849_Tot,C16_850_949_CF_NC,C16_850_949_CF_Cu15DS_,C16_850_949_CF_CU15_NDS,C16_850_949_CF_NCU15_DS,C16_850_949_CF_NDCO,C16_850_949_Tot,C16_950over_CF_NC,C16_950over_CF_Cu15DS_,C16_950over_CF_CU15_NDS,C16_950over_CF_NCU15_DS,C16_950over_CF_NDCO,C16_950over_Tot,C16_Rns_CF_NC,C16_Rns_CF_Cu15DS_,C16_Rns_CF_CU15_NDS,C16_Rns_CF_NCU15_DS,C16_Rns_CF_NDCO,C16_Rns_Tot,C16_Tot_CF_NC,C16_Tot_CF_Cu15DS_,C16_Tot_CF_CU15_NDS,C16_Tot_CF_NCU15_DS,C16_Tot_CF_NDCO,C16_Tot_Tot,C21_1_74_CF_NC,C21_1_74_CF_Cu15DS_,C21_1_74_CF_CU15_NDS,C21_1_74_CF_NCU15_DS,C21_1_74_CF_NDCO,C21_1_74_Tot,C21_75_99_CF_NC,C21_75_99_CF_Cu15DS_
1,1594,136,894,106,142,2874,1118,63,476,59,107,1813,9500,455,2903,504,914,14278,9424,1105,6000,866,1353,18760,6917,886,5830,619,1156,15408,12976,1721,11955,1211,2023,29888,24404,3192,25630,2282,3334,58838,31730,4704,30921,3388,3821,74567,19022,2383,14816,1957,2065,40242,9976,1026,7478,1022,1053,20550,4763,574,4180,576,474,10569,2311,319,2551,345,244,5778,1218,193,1537,216,156,3325,2139,650,3655,582,319,7344,4027,581,3167,515,710,9006,141131,18007,121980,14248,17868,313235,862,78,568,50,91,1648,735,25,248,35,64,1104,3190,186,1290,153,310,5121,8724,430,3177,495,901,13724,5387,492,2959,334,737,9906,9645,996,7290,720,1382,20032,19271,2102,17176,1564,2744,42859,38010,5100,41009,3838,5169,93123,32290,4482,29272,3433,4202,73669,20995,2501,16673,2219,2322,44710,11757,1343,9378,1309,1272,25052,5742,678,5003,770,636,12826,2832,426,3170,448,348,7223,4254,1168,6368,1274,699,13767,4426,571,3149,586,803,9541,168118,20573,146707,17224,21685,374305,628,56,405,37,63,1192,583,26
2,861,87,426,80,67,1518,729,31,332,36,57,1177,5407,256,2130,218,425,8445,7252,756,4934,521,886,14342,5768,607,4975,460,688,12502,14172,1474,12003,1144,1514,30311,26424,2890,22807,2005,2338,56464,21390,2218,15600,1843,1704,42753,7832,817,5492,799,585,15520,2920,359,2406,351,233,6264,1242,181,1340,191,123,3070,587,114,796,118,64,1678,323,67,528,105,49,1070,1013,269,1329,241,149,3004,2935,393,2207,368,471,6376,98849,10500,77303,8491,9347,204488,524,56,319,48,72,1017,518,20,182,19,35,781,2364,125,1137,130,226,3983,5619,354,2573,299,503,9344,4223,369,2559,275,458,7879,11019,966,8603,697,1119,22400,30590,3270,29347,2318,2947,68471,35755,4243,30730,3184,3320,77236,15738,1583,11157,1545,1257,31286,6592,749,4925,729,530,13525,2555,388,2645,422,251,6264,1234,248,1469,247,154,3355,578,144,878,180,94,1875,1328,432,1997,446,219,4420,3270,436,2436,397,573,7115,121907,13381,100963,10941,11757,258946,475,38,228,38,48,831,401,16
3,2169,283,2497,156,269,5378,843,127,935,39,121,2068,5047,386,2772,286,578,9065,5651,697,3962,331,734,11384,5204,512,4111,312,545,10682,11101,1067,8930,629,1170,22900,25101,2618,22398,1512,2411,54039,28289,4180,29131,2661,3436,67695,7768,1676,8492,1144,1213,20293,2427,570,2788,452,418,6653,884,264,1252,245,163,2810,419,125,567,97,55,1268,211,43,293,55,32,633,564,162,752,126,83,1692,2665,327,2239,272,406,5912,98346,13043,91122,8321,11639,222476,1404,200,1529,119,158,3410,625,53,578,34,80,1368,2444,191,1643,124,318,4726,4962,379,2473,212,514,8545,4142,358,2469,225,407,7600,10591,982,8324,564,1088,21547,25002,2588,21793,1565,2622,53576,37528,5316,35480,3218,4344,85883,14215,2779,14517,2082,2261,35851,4461,1091,4837,950,853,12196,1702,498,1968,419,363,4954,660,236,940,226,166,2228,324,109,453,113,88,1089,503,167,701,185,103,1659,2530,392,2040,264,449,5677,111108,15350,99741,10297,13817,250313,1317,177,1242,112,153,3009,635,55
4,635,58,392,26,54,1167,576,27,182,16,32,833,3960,148,1270,161,224,5757,3732,375,2450,196,436,7186,2694,250,2056,159,284,5451,5374,539,4606,414,642,11569,6603,860,6347,650,644,15108,3126,581,3193,398,358,7647,683,164,800,124,99,1868,224,72,311,55,42,703,85,33,141,26,23,314,40,16,77,14,10,149,27,6,20,3,0,60,110,24,96,18,9,254,907,95,547,78,112,1738,28766,3245,22493,2341,2968,59818,322,29,174,15,37,566,341,29,212,14,30,636,1666,70,540,60,96,2430,3576,197,1551,167,261,5748,2159,207,1460,127,217,4171,5345,480,4629,312,569,11333,8641,1013,8234,755,873,19519,5809,990,5844,772,703,14126,1360,329,1401,295,220,3608,369,110,512,124,65,1183,143,55,225,65,35,521,73,26,113,22,10,241,41,8,53,14,8,122,62,21,89,15,6,195,868,83,578,72,127,1729,30778,3657,25610,2831,3260,66134,242,16,135,9,22,434,259,19
5,1339,164,1862,87,227,3678,567,45,413,31,42,1108,3545,207,1867,124,273,6013,2904,276,1960,162,295,5599,2187,195,1615,105,259,4360,4384,358,3511,221,402,8879,10369,1109,9609,644,858,22592,11620,1794,12066,1053,1313,27848,3513,734,3846,514,470,9077,1269,253,1377,211,156,3266,556,121,739,91,78,1583,338,74,441,91,40,984,193,62,248,56,24,581,722,184,956,143,108,2113,1527,171,1412,126,194,3432,45035,5736,41932,3665,4738,101101,1021,144,1356,73,141,2732,376,27,353,17,35,816,1589,142,1225,86,166,3201,2841,185,1317,115,223,4675,1812,163,1139,83,162,3359,3308,267,2424,160,302,6463,9152,706,7125,466,699,18156,16893,2125,16098,1376,1601,38089,7475,1418,7230,976,972,18080,2360,487,2530,421,367,6165,916,223,1196,229,141,2704,482,121,713,153,77,1547,219,90,401,79,46,836,417,162,767,150,81,1585,1465,211,1288,159,203,3320,50335,6467,45159,4552,5213,111727,929,161,1099,70,130,2386,328,34
6,184,13,104,11,22,327,155,6,74,6,12,258,993,41,385,28,57,1509,1370,153,1109,104,190,2921,939,103,801,66,110,2018,1559,206,1576,129,169,3640,1430,240,1559,133,131,3488,581,138,687,94,76,1573,144,35,158,30,15,381,28,9,38,4,6,87,18,0,14,0,0,34,11,0,13,0,6,27,8,0,3,0,0,9,28,6,23,0,3,58,243,26,170,14,46,498,7681,976,6699,622,850,16835,122,3,74,9,9,230,73,0,26,3,5,104,449,27,202,21,34,744,1209,83,545,63,108,1999,1042,94,699,71,136,2043,1846,194,1486,142,210,3871,2052,337,2072,198,221,4873,1002,243,1056,117,137,2560,249,54,233,33,27,598,59,16,71,9,10,163,24,3,32,0,0,55,3,7,13,5,0,23,3,0,5,6,0,8,12,5,10,3,0,26,235,21,156,23,39,475,8388,1087,6679,687,933,17769,95,0,56,3,6,162,45,0
7,1024,254,2143,59,209,3690,237,38,362,14,52,704,346,78,599,25,80,1126,380,45,507,13,48,995,336,41,430,21,20,854,336,55,379,27,34,836,596,50,552,38,65,1304,1204,71,792,57,60,2177,983,87,678,61,106,1915,417,44,367,28,36,901,187,24,160,18,15,412,90,11,79,7,13,205,29,0,40,4,7,77,27,0,27,8,0,63,386,70,609,32,52,1153,6582,894,7733,413,791,16410,869,198,1509,63,194,2838,261,59,479,7,43,860,407,59,514,32,59,1077,269,59,350,14,46,745,143,28,168,12,22,376,559,56,617,20,36,1280,610,48,532,25,38,1249,1248,98,1082,55,75,2567,1445,123,1086,95,123,2878,849,94,712,56,91,1801,382,58,441,27,43,947,159,35,191,23,11,420,53,18,74,7,3,161,79,20,126,13,9,237,521,85,696,38,76,1412,7852,1037,8588,494,864,18833,690,181,1198,46,227,2340,347,55
8,60,3,15,0,5,87,41,6,27,3,4,81,376,31,172,27,28,635,288,39,181,19,23,545,249,34,261,17,21,576,335,66,372,54,28,851,845,66,690,57,59,1717,3455,223,2236,206,258,6382,1739,175,1394,131,130,3570,475,92,552,80,52,1244,143,38,167,28,18,387,68,16,90,12,5,192,25,5,47,12,4,89,47,16,73,14,4,156,156,30,135,18,22,368,8292,847,6407,679,662,16884,26,4,20,0,4,54,34,0,25,0,9,65,209,12,96,15,16,352,320,46,168,22,30,581,187,12,86,6,18,315,504,45,373,19,30,968,1463,76,1113,61,61,2780,3913,202,2733,162,195,7204,2006,257,2013,203,166,4644,644,137,782,122,83,1774,168,62,268,51,26,567,83,28,118,20,9,252,37,14,63,15,5,136,60,28,109,21,7,218,203,20,140,20,22,399,9855,946,8084,743,683,20315,27,3,19,0,4,56,33,5
9,23,0,21,5,7,56,8,0,14,0,0,20,19,0,14,3,4,43,17,0,13,0,0,35,9,0,7,0,0,12,11,4,5,0,0,17,6,0,3,0,0,11,6,0,0,0,0,10,0,0,7,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,18,5,0,30,95,7,107,10,15,241,15,0,19,0,4,38,6,0,11,0,4,21,25,0,8,0,0,33,23,4,22,0,5,59,12,0,8,0,6,35,8,0,8,0,0,19,14,0,15,0,0,31,4,0,10,4,0,18,4,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,0,33,124,19,125,11,26,300,28,0,16,0,4,52,7,0
