STE_CODE_2021,C16_M_25_29_Tot_LF,C16_M_25_29_Not_LF,C16_M_25_29_LF_NS,C16_M_25_29_Tot,C16_M_30_34_Em_FT,C16_M_30_34_Em_PT,C16_M_30_34_Em_AFW,C16_M_30_34_Em_Hrs_NS,C16_M_30_34_Em_Tot,C16_M_30_34_Unem_Look_FT,C16_M_30_34_Unem_Look_PT,C16_M_30_34_Unem_Tot,C16_M_30_34_Tot_LF,C16_M_30_34_Not_LF,C16_M_30_34_LF_NS,C16_M_30_34_Tot,C16_M_35_39_Em_FT,C16_M_35_39_Em_PT,C16_M_35_39_Em_AFW,C16_M_35_39_Em_Hrs_NS,C16_M_35_39_Em_Tot,C16_M_35_39_Unem_Look_FT,C16_M_35_39_Unem_Look_PT,C16_M_35_39_Unem_Tot,C16_M_35_39_Tot_LF,C16_M_35_39_Not_LF,C16_M_35_39_LF_NS,C16_M_35_39_Tot,C16_M_40_44_Em_FT,C16_M_40_44_Em_PT,C16_M_40_44_Em_AFW,C16_M_40_44_Em_Hrs_NS,C16_M_40_44_Em_Tot,C16_M_40_44_Unem_Look_FT,C16_M_40_44_Unem_Look_PT,C16_M_40_44_Unem_Tot,C16_M_40_44_Tot_LF,C16_M_40_44_Not_LF,C16_M_40_44_LF_NS,C16_M_40_44_Tot,C16_M_45_49_Em_FT,C16_M_45_49_Em_PT,C16_M_45_49_Em_AFW,C16_M_45_49_Em_Hrs_NS,C16_M_45_49_Em_Tot,C16_M_45_49_Unem_Look_FT,C16_M_45_49_Unem_Look_PT,C16_M_45_49_Unem_Tot,C16_M_45_49_Tot_LF,C16_M_45_49_Not_LF,C16_M_45_49_LF_NS,C16_M_45_49_Tot,C16_M_50_54_Em_FT,C16_M_50_54_Em_PT,C16_M_50_54_Em_AFW,C16_M_50_54_Em_Hrs_NS,C16_M_50_54_Em_Tot,C16_M_50_54_Unem_Look_FT,C16_M_50_54_Unem_Look_PT,C16_M_50_54_Unem_Tot,C16_M_50_54_Tot_LF,C16_M_50_54_Not_LF,C16_M_50_54_LF_NS,C16_M_50_54_Tot,C16_M_55_59_Em_FT,C16_M_55_59_Em_PT,C16_M_55_59_Em_AFW,C16_M_55_59_Em_Hrs_NS,C16_M_55_59_Em_Tot,C16_M_55_59_Unem_Look_FT,C16_M_55_59_Unem_Look_PT,C16_M_55_59_Unem_Tot,C16_M_55_59_Tot_LF,C16_M_55_59_Not_LF,C16_M_55_59_LF_NS,C16_M_55_59_Tot,C16_M_60_64_Em_FT,C16_M_60_64_Em_PT,C16_M_60_64_Em_AFW,C16_M_60_64_Em_Hrs_NS,C16_M_60_64_Em_Tot,C16_M_60_64_Unem_Look_FT,C16_M_60_64_Unem_Look_PT,C16_M_60_64_Unem_Tot,C16_M_60_64_Tot_LF,C16_M_60_64_Not_LF,C16_M_60_64_LF_NS,C16_M_60_64_Tot,C16_M_65_69_Em_FT,C16_M_65_69_Em_PT,C16_M_65_69_Em_AFW,C16_M_65_69_Em_Hrs_NS,C16_M_65_69_Em_Tot,C16_M_65_69_Unem_Look_FT,C16_M_65_69_Unem_Look_PT,C16_M_65_69_Unem_Tot,C16_M_65_69_Tot_LF,C16_M_65_69_Not_LF,C16_M_65_69_LF_NS,C16_M_65_69_Tot,C16_M_70_74_Em_FT,C16_M_70_74_Em_PT,C16_M_70_74_Em_AFW,C16_M_70_74_Em_Hrs_NS,C16_M_70_74_Em_Tot,C16_M_70_74_Unem_Look_FT,C16_M_70_74_Unem_Look_PT,C16_M_70_74_Unem_Tot,C16_M_70_74_Tot_LF,C16_M_70_74_Not_LF,C16_M_70_74_LF_NS,C16_M_70_74_Tot,C16_M_75over_Em_FT,C16_M_75over_Em_PT,C16_M_75over_Em_AFW,C16_M_75over_Em_Hrs_NS,C16_M_75over_Em_Tot,C16_M_75over_Unem_Lo_ft_wor,C16_M_75over_Unem_Lo_pt_wor,C16_M_75over_Unempl_Tot,C16_M_75over_Tot_LF,C16_M_75over_Not_LF,C16_M_75over_LF_NS,C16_M_75over_Tot,C16_M_Tot_Em_FT,C16_M_Tot_Em_PT,C16_M_Tot_Em_AFW,C16_M_Tot_Em_Hrs_NS,C16_M_Tot_Em_Tot,C16_M_Tot_Unem_Look_FT,C16_M_Tot_Unem_Look_PT,C16_M_Tot_Unem_Tot,C16_M_Tot_Tot_labo_for,C16_M_Tot_Not_LF,C16_M_Tot_LF_NS,C16_M_Tot_Tot,C21_M_15_19_Em_FT,C21_M_15_19_Em_PT,C21_M_15_19_Em_AFW,C21_M_15_19_Em_Hrs_NS,C21_M_15_19_Em_Tot,C21_M_15_19_Unem_Look_FT,C21_M_15_19_Unem_Look_PT,C21_M_15_19_Unem_Tot,C21_M_15_19_Tot_LF,C21_M_15_19_Not_LF,C21_M_15_19_LF_NS,C21_M_15_19_Tot,C21_M_20_24_Em_FT,C21_M_20_24_Em_PT,C21_M_20_24_Em_AFW,C21_M_20_24_Em_Hrs_NS,C21_M_20_24_Em_Tot,C21_M_20_24_Unem_Look_FT,C21_M_20_24_Unem_Look_PT,C21_M_20_24_Unem_Tot,C21_M_20_24_Tot_LF,C21_M_20_24_Not_LF,C21_M_20_24_LF_NS,C21_M_20_24_Tot,C21_M_25_29_Em_FT,C21_M_25_29_Em_PT,C21_M_25_29_Em_AFW,C21_M_25_29_Em_Hrs_NS,C21_M_25_29_Em_Tot,C21_M_25_29_Unem_Look_FT,C21_M_25_29_Unem_Look_PT,C21_M_25_29_Unem_Tot,C21_M_25_29_Tot_LF,C21_M_25_29_Not_LF,C21_M_25_29_LF_NS,C21_M_25_29_Tot,C21_M_30_34_Em_FT,C21_M_30_34_Em_PT,C21_M_30_34_Em_AFW,C21_M_30_34_Em_Hrs_NS,C21_M_30_34_Em_Tot,C21_M_30_34_Unem_Look_FT,C21_M_30_34_Unem_Look_PT,C21_M_30_34_Unem_Tot,C21_M_30_34_Tot_LF,C21_M_30_34_Not_LF,C21_M_30_34_LF_NS,C21_M_30_34_Tot,C21_M_35_39_Em_FT,C21_M_35_39_Em_PT,C21_M_35_39_Em_AFW,C21_M_35_39_Em_Hrs_NS,C21_M_35_39_Em_Tot,C21_M_35_39_Unem_Look_FT,C21_M_35_39_Unem_Look_PT,C21_M_35_39_Unem_Tot,C21_M_35_39_Tot_LF,C21_M_35_39_Not_LF,C21_M_35_39_LF_NS,C21_M_35_39_Tot,C21_M_40_44_Em_FT,C21_M_40_44_Em_PT,C21_M_40_44_Em_AFW,C21_M_40_44_Em_Hrs_NS
1,211208,30473,18900,260579,176890,28363,4283,4698,214242,8194,2214,10400,224643,23148,18185,265983,169585,23874,3753,3996,201218,7312,1673,8989,210206,21597,15557,247359,167988,23867,3735,3589,199184,7093,1653,8744,207919,23898,15077,246904,157451,24074,3664,3620,188812,7102,1677,8783,197594,27128,14877,239600,148511,26008,4228,3331,182082,6830,1849,8677,190760,33329,14771,238856,124893,27681,4963,2660,160197,6251,2391,8643,168841,45559,14374,228773,74777,29154,4086,1935,109949,4779,2789,7573,117525,73681,13078,204286,29864,21323,2239,1089,54516,726,1085,1811,56329,119425,12612,188363,8978,11029,875,587,21467,178,415,598,22056,109494,10553,142101,4499,6728,630,812,12674,136,218,351,13025,196575,23055,232661,1329577,367909,42790,38774,1779049,77135,42169,119302,1898352,877233,198481,2974063,23402,48542,14351,1844,88137,4242,9498,13735,101876,122288,11988,236148,81567,59801,21293,4369,167029,9682,7639,17322,184346,54761,15700,254808,137308,45747,16946,5373,205374,9522,3959,13481,218857,40594,18694,278145,161601,39239,16328,5266,222432,7556,2285,9845,232273,35542,18222,286043,172176,35113,14700,4498,226489,6809,1733,8547,235033,33519,16782,285334,156861,30812,12427,3525
2,178621,24447,14494,217556,146956,23994,3660,3686,178302,7208,1783,8988,187288,18077,14242,219608,137684,19668,3286,3089,163731,6219,1330,7550,171280,16715,11924,199917,133929,19196,3170,2826,159123,5957,1276,7234,166360,18250,11453,196062,130221,19508,3124,2802,155659,5956,1216,7166,162822,20629,11321,194776,117895,19398,3538,2561,143397,5630,1298,6925,150325,23192,11088,184599,98186,21083,4001,2099,125367,4995,1548,6542,131914,30920,10338,173172,60205,23280,3723,1539,88749,3794,1888,5678,94424,50296,9676,154399,22843,17540,2020,833,43231,567,802,1371,44605,86022,9459,140086,6644,8705,804,506,16665,110,335,449,17110,79938,7692,104737,3370,5229,529,657,9792,70,130,200,9988,149871,17157,177015,1067764,306087,35845,30423,1440118,64164,36912,101076,1541195,662274,150036,2353502,16903,46191,6547,1421,71060,2773,12046,14822,85875,92336,8299,186517,73914,61012,7690,3659,146278,7978,7533,15509,161786,37054,11692,210533,133387,43858,5921,4897,188067,8068,3428,11497,199562,24625,15309,239492,157017,33195,6175,4462,200846,6166,1912,8074,208923,20745,13845,243510,161911,29365,5498,3911,200684,5479,1471,6950,207629,19994,12647,240280,143322,24480,4543,2899
3,129429,16162,12541,158127,103814,16635,3133,2462,126048,6407,1452,7857,133906,13599,12221,159731,99861,14331,2773,2218,119182,5558,1022,6577,125762,12918,10763,149442,105133,14730,2928,2232,125023,5789,1114,6903,131920,14597,11188,157707,102797,15170,2961,2147,123077,5708,953,6659,129735,16231,11559,157523,93661,15116,3225,1761,113763,5803,986,6789,120558,19377,11079,151016,77396,16057,3610,1493,98560,5419,1332,6750,105304,27015,10408,142723,48372,16448,2894,1105,68814,4164,1598,5766,74584,43799,9173,127555,18286,12141,1406,636,32467,601,782,1384,33852,76989,8828,119671,5416,5995,520,337,12268,149,295,440,12703,69180,7034,88924,2599,3314,290,484,6685,100,142,239,6932,109733,13816,130477,831795,225496,30777,21909,1109978,65992,28205,94199,1204174,510545,138640,1853365,19007,43607,7503,1495,71617,4349,9813,14170,85789,66118,8617,160521,66273,37771,7997,3068,115105,7720,4674,12398,127504,23447,11934,162887,93748,27197,6534,3405,130876,6485,2452,8938,139817,18258,13977,172049,105114,22342,6296,3181,136940,4776,1476,6249,143190,15514,13322,172022,111775,19925,5682,2733,140112,4197,1150,5346,145460,15346,12332,173137,104796,17725,4955,2199
4,43735,6850,2922,53509,34261,6895,1053,786,42998,2646,560,3207,46201,5603,2964,54763,32760,5865,1013,652,40287,2192,437,2631,42915,5451,2748,51118,34264,5801,1020,614,41704,2225,408,2629,44337,6014,2719,53069,35536,6081,1124,683,43423,2209,405,2618,46038,7098,3043,56186,33506,6449,1305,576,41841,2113,487,2600,44438,8469,3028,55930,29271,6781,1420,477,37948,2009,512,2522,40475,11214,2981,54668,18700,6964,1199,368,27233,1301,651,1956,29188,17589,2721,49505,6660,5276,634,216,12790,143,221,363,13152,30791,2700,46646,1827,2628,238,132,4820,28,62,94,4906,27616,2146,34672,933,1524,174,195,2823,34,46,77,2905,51049,4827,58777,280609,88408,11724,6784,387523,23546,10609,34162,421686,216360,37533,675579,5099,14923,1018,459,21505,1075,3126,4201,25703,23431,1979,51114,20950,16168,1340,838,39291,2720,2024,4738,44035,9599,2522,56156,33031,11338,1328,971,46670,2326,1007,3332,50002,6358,2996,59349,36504,8844,1441,856,47648,1743,536,2281,49926,5557,2833,58318,38300,7659,1319,756,48033,1579,476,2051,50083,5690,2778,58550,34952,6564,1140,628
5,75849,8869,8259,92971,63777,9568,2526,1468,77339,4236,774,5012,82349,7331,8306,97985,58302,7688,2220,1225,69439,3745,551,4292,73729,6673,6904,87305,57605,7561,2062,1151,68383,3826,550,4374,72755,6862,6604,86213,57110,7767,2247,1148,68273,3875,482,4360,72636,7386,6564,86578,51794,7826,2342,972,62932,3716,486,4202,67136,8197,6214,81546,42222,8253,2375,784,53631,3321,628,3947,57580,10977,5561,74122,26414,9321,2048,557,38342,2551,851,3400,41738,18304,4788,64835,10065,7408,968,295,18732,425,481,908,19636,34136,4130,57902,2648,3726,370,180,6917,97,189,289,7203,30492,3156,40852,1176,2181,213,186,3759,40,78,118,3878,52825,7002,63709,464712,121151,22087,11644,619598,39208,14852,54056,673657,242780,77239,993687,9806,23280,1222,618,34928,1812,5250,7061,41989,32958,3737,78685,32951,22318,1731,1489,58485,3433,2272,5703,64188,11439,5491,81122,51030,13419,2312,1809,68575,3006,1081,4086,72656,8100,7302,88058,62162,10663,3016,1758,77599,2370,679,3046,80646,7391,7869,95911,67570,9783,3060,1498,81912,2186,489,2672,84585,7320,7631,99534,60788,8485,2382,1177
6,11341,1868,881,14091,8691,1769,342,231,11033,590,159,754,11786,1605,850,14241,8403,1606,294,183,10484,561,118,681,11169,1598,760,13522,9270,1800,325,185,11580,569,113,686,12265,1911,897,15078,10083,1956,382,214,12638,557,151,707,13347,2242,1058,16645,9863,2137,457,203,12660,548,147,699,13360,2815,1071,17250,8857,2440,519,196,12008,531,164,699,12704,4237,1130,18078,5328,2566,467,126,8492,420,221,643,9128,6732,1127,16997,1806,1743,212,84,3845,35,67,100,3943,11089,1143,16180,504,808,76,48,1442,14,21,43,1486,9448,966,11894,266,525,48,69,907,10,18,26,939,15469,1621,18024,78376,26058,3921,2135,110488,6542,2951,9494,119978,70113,13163,203258,1973,3784,284,131,6175,471,928,1398,7570,7196,758,15523,6495,3669,319,311,10796,1051,609,1656,12447,2543,815,15806,10390,4026,420,349,15178,929,415,1342,16522,2068,990,19582,10932,3369,436,314,15051,647,240,889,15937,1821,1028,18784,10450,2522,397,223,13592,463,180,637,14237,1729,898,16860,9211,2180,408,188
7,7846,1605,1682,11133,6188,766,250,197,7401,408,76,481,7889,1498,1474,10860,5396,629,220,142,6390,330,57,388,6776,1251,1238,9268,4961,573,213,135,5883,308,65,373,6258,1226,1099,8580,4888,572,215,114,5791,299,76,369,6165,1187,1188,8537,4346,560,217,131,5251,264,48,308,5562,1093,1047,7697,3571,542,223,90,4430,169,47,218,4642,1056,894,6600,2382,509,169,66,3121,146,55,198,3326,1415,768,5503,956,375,69,28,1433,33,22,52,1485,1984,533,4002,258,155,23,14,450,9,13,22,470,1531,316,2314,102,76,12,9,198,0,5,5,202,1761,318,2279,43577,7915,2158,1469,55113,3297,948,4246,59353,21065,12679,93102,852,1397,94,87,2428,263,266,529,2955,3742,624,7320,3337,1162,145,166,4806,381,142,523,5327,2098,893,8321,5240,1148,218,198,6804,349,134,480,7286,1862,1119,10262,5849,1104,286,188,7432,302,75,374,7803,1731,1136,10671,5426,877,272,135,6709,239,69,306,7012,1524,961,9496,4583,756,209,124
8,13321,1603,1021,15947,11719,1717,358,207,14001,335,108,440,14441,984,1057,16484,10909,1505,314,209,12933,292,85,372,13308,899,806,15014,10209,1288,262,146,11901,292,81,372,12276,875,777,13926,9694,1154,243,140,11234,215,55,275,11505,935,719,13162,8298,1067,328,108,9806,243,69,307,10115,1099,629,11845,6267,1173,282,80,7807,222,97,318,8128,2113,554,10793,3426,1248,205,55,4939,155,104,259,5190,3429,491,9112,1369,1019,144,37,2564,36,73,106,2671,5071,468,8210,323,479,44,21,863,19,27,46,909,4449,373,5731,122,265,24,22,433,6,15,21,454,7404,903,8761,79628,20436,2991,1673,104719,2953,2442,5394,110117,37911,9194,157225,1413,4273,312,69,6076,211,1073,1284,7355,5479,574,13415,6998,5203,376,219,12795,477,528,1006,13803,2290,990,17084,12523,3266,376,309,16472,476,226,709,17177,1561,993,19738,13185,2526,480,255,16446,336,115,450,16898,1135,935,18969,13414,2122,492,186,16208,308,91,398,16614,959,746,18318,11918,1731,397,151
9,86,54,23,162,73,12,6,5,95,0,0,0,99,51,21,167,93,16,9,3,120,0,0,0,120,47,10,182,104,6,3,3,112,3,0,3,117,36,17,171,104,17,4,3,121,0,0,0,124,32,16,170,112,32,0,3,154,0,0,0,156,28,22,207,99,19,12,3,136,3,7,5,137,30,16,195,88,21,8,0,114,3,0,5,119,29,19,172,68,24,5,0,97,0,0,0,97,47,22,170,17,10,0,0,27,0,0,0,27,53,9,93,9,7,0,4,20,0,0,0,20,83,16,119,889,206,59,37,1189,13,12,27,1215,596,228,2042,20,28,5,0,49,0,0,0,52,32,7,88,51,16,4,0,60,0,0,6,63,25,15,108,63,19,0,3,90,0,0,0,90,51,22,163,58,9,4,5,80,0,0,0,81,62,28,176,86,18,4,0,112,0,0,0,113,38,29,176,78,16,0,3
