STE_CODE_2021,Age_19_C11_P,Age_19_C16_M,Age_19_C16_F,Age_19_C16_P,Age_19_C21_M,Age_19_C21_F,Age_19_C21_P,Age_15_19_C11_M,Age_15_19_C11_F,Age_15_19_C11_P,Age_15_19_C16_M,Age_15_19_C16_F,Age_15_19_C16_P,Age_15_19_C21_M,Age_15_19_C21_F,Age_15_19_C21_P,Age_20_C11_M,Age_20_C11_F,Age_20_C11_P,Age_20_C16_M,Age_20_C16_F,Age_20_C16_P,Age_20_C21_M,Age_20_C21_F,Age_20_C21_P,Age_21_C11_M,Age_21_C11_F,Age_21_C11_P,Age_21_C16_M,Age_21_C16_F,Age_21_C16_P,Age_21_C21_M,Age_21_C21_F,Age_21_C21_P,Age_22_C11_M,Age_22_C11_F,Age_22_C11_P,Age_22_C16_M,Age_22_C16_F,Age_22_C16_P,Age_22_C21_M,Age_22_C21_F,Age_22_C21_P,Age_23_C11_M,Age_23_C11_F,Age_23_C11_P,Age_23_C16_M,Age_23_C16_F,Age_23_C16_P,Age_23_C21_M,Age_23_C21_F,Age_23_C21_P,Age_24_C11_M,Age_24_C11_F,Age_24_C11_P,Age_24_C16_M,Age_24_C16_F,Age_24_C16_P,Age_24_C21_M,Age_24_C21_F,Age_24_C21_P,Age_20_24_C11_M,Age_20_24_C11_F,Age_20_24_C11_P,Age_20_24_C16_M,Age_20_24_C16_F,Age_20_24_C16_P,Age_20_24_C21_M,Age_20_24_C21_F,Age_20_24_C21_P,Age_25_C11_M,Age_25_C11_F,Age_25_C11_P,Age_25_C16_M,Age_25_C16_F,Age_25_C16_P,Age_25_C21_M,Age_25_C21_F,Age_25_C21_P,Age_26_C11_M,Age_26_C11_F,Age_26_C11_P,Age_26_C16_M,Age_26_C16_F,Age_26_C16_P,Age_26_C21_M,Age_26_C21_F,Age_26_C21_P,Age_27_C11_M,Age_27_C11_F,Age_27_C11_P,Age_27_C16_M,Age_27_C16_F,Age_27_C16_P,Age_27_C21_M,Age_27_C21_F,Age_27_C21_P,Age_28_C11_M,Age_28_C11_F,Age_28_C11_P,Age_28_C16_M,Age_28_C16_F,Age_28_C16_P,Age_28_C21_M,Age_28_C21_F,Age_28_C21_P,Age_29_C11_M,Age_29_C11_F,Age_29_C11_P,Age_29_C16_M,Age_29_C16_F,Age_29_C16_P,Age_29_C21_M,Age_29_C21_F,Age_29_C21_P,Age_25_29_C11_M,Age_25_29_C11_F,Age_25_29_C11_P,Age_25_29_C16_M,Age_25_29_C16_F,Age_25_29_C16_P,Age_25_29_C21_M,Age_25_29_C21_F,Age_25_29_C21_P,Age_30_C11_M,Age_30_C11_F,Age_30_C11_P,Age_30_C16_M,Age_30_C16_F,Age_30_C16_P,Age_30_C21_M,Age_30_C21_F,Age_30_C21_P,Age_31_C11_M,Age_31_C11_F,Age_31_C11_P,Age_31_C16_M,Age_31_C16_F,Age_31_C16_P,Age_31_C21_M,Age_31_C21_F,Age_31_C21_P,Age_32_C11_M,Age_32_C11_F,Age_32_C11_P,Age_32_C16_M,Age_32_C16_F,Age_32_C16_P,Age_32_C21_M,Age_32_C21_F,Age_32_C21_P,Age_33_C11_M,Age_33_C11_F,Age_33_C11_P,Age_33_C16_M,Age_33_C16_F,Age_33_C16_P,Age_33_C21_M,Age_33_C21_F,Age_33_C21_P,Age_34_C11_M,Age_34_C11_F,Age_34_C11_P,Age_34_C16_M,Age_34_C16_F,Age_34_C16_P,Age_34_C21_M,Age_34_C21_F,Age_34_C21_P,Age_30_34_C11_M,Age_30_34_C11_F,Age_30_34_C11_P,Age_30_34_C16_M,Age_30_34_C16_F,Age_30_34_C16_P,Age_30_34_C21_M,Age_30_34_C21_F,Age_30_34_C21_P,Age_35_C11_M,Age_35_C11_F,Age_35_C11_P,Age_35_C16_M,Age_35_C16_F,Age_35_C16_P,Age_35_C21_M,Age_35_C21_F,Age_35_C21_P,Age_36_C11_M,Age_36_C11_F,Age_36_C11_P,Age_36_C16_M,Age_36_C16_F,Age_36_C16_P,Age_36_C21_M,Age_36_C21_F,Age_36_C21_P,Age_37_C11_M,Age_37_C11_F,Age_37_C11_P,Age_37_C16_M
1,87392,47367,44898,92265,45766,43203,88965,228228,215191,443415,230107,218317,448424,236148,221749,457896,45551,44370,89921,48335,46029,94364,48789,45315,94113,46375,44577,90957,49107,46927,96034,51023,47724,98754,45314,44158,89470,48825,47793,96622,50847,48082,98930,44906,44408,89308,50536,49498,100038,51272,49214,100484,44812,45212,90030,51677,50940,102617,52878,51031,103908,226954,222734,449684,248485,241183,489669,254808,241374,496185,45840,46003,91840,52096,52313,104408,53863,52415,106275,46709,47367,94080,53016,53762,106772,55473,54677,110143,46320,48023,94342,52291,53215,105502,55729,55662,111391,47533,49379,96912,51812,53715,105528,56436,56836,113275,47292,48704,95993,51374,53575,104947,56643,58243,114884,233693,239470,473163,260579,266577,527158,278145,277829,555967,47683,48907,96591,52895,54861,107755,57664,60243,117902,46295,47417,93716,52949,54566,107515,58250,60502,118750,46001,47393,93393,53500,55282,108782,57560,59998,117558,45096,46900,91999,53500,55751,109259,56304,59574,115879,45542,47100,92640,53129,53924,107050,56268,59703,115966,230612,237725,468331,265983,274379,540363,286043,300011,586057,45642,47105,92743,52416,53361,105774,57342,59379,116722,46618,48053,94674,50563,50923,101488,57330,59415,116750,47455,49651,97104,48800
2,70038,39089,37759,76842,36984,35402,72381,177008,168331,345342,181849,174492,356338,186517,176690,363201,37207,35917,73119,40395,39227,79629,39734,37355,77087,38509,37090,75598,41927,40194,82119,41299,39587,80888,38318,36930,75251,42060,40530,82589,41702,39649,81344,38245,37262,75507,42407,41838,84242,42677,40456,83133,38408,37222,75634,42939,42275,85217,45123,42757,87877,190682,184420,375108,209730,204064,413790,210533,199803,410337,38501,37952,76449,43367,43710,87085,47108,44374,91481,38794,39379,78170,43978,44981,88957,48564,46457,95022,38510,39263,77772,42953,44836,87795,48385,47257,95647,39088,39711,78797,43887,45480,89367,47893,48528,96423,38200,39274,77471,43372,44700,88068,47538,49427,96971,193091,195579,388668,217556,223709,441268,239492,236041,475532,38116,38957,77069,44107,46357,90466,48813,50935,99747,37037,38034,75073,44072,46233,90305,48879,52093,100974,36533,37433,73968,43968,45753,89723,48483,51273,99752,36173,36970,73143,44249,45556,89808,48537,51465,100003,36139,36827,72968,43210,44419,87626,48800,50684,99485,183991,188222,372216,219608,228324,447923,243510,256446,499959,35980,37136,73117,42587,43367,85957,48780,51260,100039,36598,38170,74776,40776,41806,82578,48663,51140,99805,37494,39353,76847,39488
3,58368,29777,29550,59326,31049,30141,61190,150422,143492,293919,151192,145089,296285,160521,152988,313506,29545,29356,58903,30955,30216,61172,32238,31443,63685,30001,29695,59693,31820,31679,63495,32573,31721,64289,29277,29169,58450,32084,31234,63325,32208,31953,64163,29316,28884,58204,32292,31990,64283,32787,32564,65347,29433,29173,58603,32135,32453,64589,33084,33170,66251,147570,146281,293847,159283,157576,316859,162887,160852,323739,29754,29800,59557,32267,32609,64874,33944,33762,67706,29901,30454,60349,32437,33152,65589,34528,34946,69469,29822,30380,60207,31232,32321,63556,34687,34986,69671,30144,30957,61100,31122,32212,63333,34583,35482,70063,29713,29783,59496,31064,32332,63397,34314,36465,70782,149333,151374,300712,158127,162626,320749,172049,175639,347687,29527,29846,59375,31782,33155,64930,34951,36886,71838,28431,29305,57731,31762,33450,65211,35193,36715,71904,27892,28604,56498,31919,33304,65227,34047,36335,70387,27381,28707,56084,32535,33942,66474,33917,36065,69986,28012,28994,57004,31726,32370,64093,33915,36008,69919,141241,145455,286696,159731,166218,325943,172022,182016,354033,28250,29516,57764,31234,32169,63400,34658,36810,71464,29270,30156,59422,30265,31395,61659,34406,37022,71431,30329,30965,61302,29433
4,20933,10593,10173,20768,10175,9605,19776,53084,50165,103249,51515,49169,100684,51114,48041,99152,10801,10274,21071,11040,10331,21373,10620,10095,20713,11057,10654,21712,11442,10591,22033,11227,10454,21687,11001,10262,21254,10840,10474,21317,11241,10597,21833,10576,10183,20760,10992,10674,21666,11384,10755,22147,10545,10243,20791,10903,10692,21602,11678,11111,22795,53977,51609,105585,55218,52766,107987,56156,53018,109174,10644,10449,21087,10938,10526,21462,12039,11301,23339,10578,10365,20941,10785,10880,21668,12295,11550,23853,10643,10608,21247,10735,10608,21342,11643,11535,23176,10415,10476,20892,10530,10864,21397,11831,11692,23519,10123,10206,20332,10519,10977,21489,11548,11766,23310,52408,52099,104508,53509,53851,107362,59349,57839,117195,10078,10085,20163,10948,11213,22160,11790,11875,23664,9740,9738,19481,10900,11190,22095,11696,11993,23689,9781,9569,19350,11165,11411,22579,11790,11806,23588,9521,9620,19138,11016,11124,22142,11523,12030,23553,9793,9900,19685,10727,11043,21773,11516,12079,23599,48906,48906,97822,54763,55983,110747,58318,59780,118095,9784,9797,19582,10686,10738,21433,11728,12297,24027,9977,9999,19971,10250,10390,20642,11835,12168,24009,10119,10229,20351,10137
5,29505,15477,14590,30068,15017,14313,29332,76469,71739,148211,77112,72881,149998,78685,74580,153263,15767,14965,30729,16096,14790,30887,15758,14803,30557,16321,15191,31515,16490,15198,31687,16007,15387,31397,16435,15547,31981,16439,15350,31790,16393,15607,31998,16573,15435,32010,16569,16105,32675,16360,15706,32066,17092,15689,32778,16963,16333,33296,16599,16200,32805,82189,76820,159010,82560,77773,160335,81122,77702,158817,17527,16091,33623,17692,17214,34906,17258,16511,33766,17565,16471,34028,18503,18146,36651,17753,17282,35043,17315,16339,33657,18552,18384,36937,17691,17766,35455,17496,16341,33836,18921,18940,37868,17393,18148,35545,16893,15909,32808,19300,19250,38553,17967,18272,36239,86797,81148,167948,92971,91940,184908,88058,87980,176045,16571,15999,32572,20024,19875,39893,18612,19512,38120,16050,15483,31531,19591,19395,38981,19061,19839,38897,15759,15470,31228,19521,19427,38944,19180,20264,39446,15604,14986,30594,19586,19052,38635,19392,20262,39652,15184,15038,30226,19266,18547,37811,19665,20524,40198,79173,76982,156152,97985,96282,194267,95911,100399,196312,15712,15396,31108,18596,18095,36688,20082,20688,40766,15699,15609,31310,17828,17460,35283,20028,20600,40627,15805,15805,31610,17153
6,6158,3089,2931,6024,2936,2721,5659,16841,15847,32686,15958,15118,31079,15523,14544,30065,3084,3060,6149,3033,2958,5994,3017,2881,5898,3146,2880,6021,3182,2956,6137,3136,2863,6003,3002,2971,5974,3166,2883,6051,3096,3125,6219,2814,2895,5712,3004,2905,5912,3184,3040,6226,2875,2842,5712,2902,2873,5772,3364,3316,6676,14924,14653,29574,15292,14569,29864,15806,15216,31024,2773,2834,5607,2852,3011,5862,3585,3545,7131,2756,2955,5714,2938,2851,5787,4011,3771,7783,2723,2882,5607,2771,2900,5673,4071,3918,7991,2771,2810,5579,2791,2937,5724,3986,3944,7930,2670,2906,5571,2746,2908,5652,3928,3993,7919,13690,14383,28076,14091,14609,28699,19582,19166,38756,2624,2957,5585,2853,2966,5822,3965,4050,8024,2580,2804,5375,2819,3106,5928,3927,3950,7878,2661,2814,5473,2835,3037,5873,3762,3783,7548,2589,2848,5441,2920,2947,5867,3564,3738,7302,2601,2732,5338,2816,3026,5842,3562,3595,7158,13055,14158,27205,14241,15085,29328,18784,19123,37908,2809,2892,5705,2701,3111,5809,3526,3649,7170,2762,3107,5869,2702,2951,5648,3434,3715,7147,2999,3186,6181,2755
7,2835,1431,1235,2670,1438,1356,2792,7856,6968,14820,7474,6598,14072,7320,6857,14183,1683,1489,3175,1586,1339,2923,1619,1361,2981,1796,1482,3279,1746,1416,3166,1538,1364,2900,1785,1496,3281,1789,1479,3270,1646,1470,3113,1831,1623,3453,1793,1717,3508,1755,1585,3338,1875,1771,3643,1936,1839,3780,1769,1690,3458,8985,7859,16839,8850,7796,16644,8321,7473,15791,2067,1841,3901,2131,2110,4237,1945,1999,3945,1948,1876,3818,2255,1997,4253,2057,2037,4099,1907,1877,3787,2221,2154,4374,2054,2164,4220,2004,1936,3942,2255,2164,4422,2111,2222,4333,1904,1859,3765,2265,2150,4417,2090,2248,4339,9826,9380,19212,11133,10573,21707,10262,10674,20936,1994,1928,3928,2315,2235,4546,2261,2456,4711,1761,1730,3493,2174,2120,4299,2212,2297,4507,1732,1687,3422,2144,2078,4224,2120,2198,4323,1599,1672,3273,2192,2065,4262,2062,2190,4252,1630,1598,3230,2032,1967,3998,2013,2146,4161,8729,8620,17342,10860,10471,21333,10671,11289,21952,1744,1716,3462,2089,1915,4002,2095,2101,4187,1658,1639,3303,1855,1778,3635,1844,2143,3982,1696,1630,3324,1841
8,5691,2967,2962,5924,3012,3103,6119,12362,11635,24000,12364,12144,24506,13415,12936,26348,3177,3016,6194,3046,2962,6008,3199,3114,6315,3189,3059,6246,3170,3060,6230,3395,3313,6709,3109,3013,6126,3216,3171,6385,3477,3397,6878,3113,2976,6091,3272,3231,6505,3490,3640,7132,3042,3050,6089,3158,3137,6300,3528,3701,7230,15638,15108,30749,15860,15563,31430,17084,17173,34261,3107,3032,6136,3276,3280,6565,3711,3678,7385,3052,3040,6096,3191,3319,6513,3977,3862,7845,3099,3095,6193,3199,3316,6513,4010,3976,7984,3070,2976,6043,3216,3318,6535,4067,4019,8090,2946,3124,6069,3063,3303,6359,3966,4007,7971,15276,15263,30537,15947,16538,32485,19738,19543,39282,2897,2961,5859,3290,3394,6690,3923,4008,7933,2752,2896,5653,3196,3492,6686,3960,3987,7939,2769,2772,5537,3422,3491,6918,3730,3889,7619,2679,2673,5346,3318,3313,6628,3653,3807,7456,2624,2687,5308,3260,3443,6710,3698,3815,7512,13723,13986,27707,16484,17143,33630,18969,19497,38468,2594,2539,5132,3243,3278,6515,3742,3795,7534,2738,2652,5393,3019,3171,6190,3646,3934,7574,2645,2736,5378,3079
9,37,17,20,41,18,14,25,112,52,165,104,103,214,88,103,189,38,14,44,17,4,28,12,21,29,26,6,31,25,14,35,20,14,31,45,12,60,40,12,50,16,18,34,42,21,59,28,21,46,21,34,60,56,13,65,28,14,47,32,28,63,201,71,271,136,71,211,108,104,218,73,11,87,24,14,34,23,20,44,76,12,84,29,15,45,36,16,51,78,19,100,27,26,50,40,22,62,67,14,87,38,24,66,33,29,56,58,18,70,38,20,67,35,31,67,358,69,425,162,100,263,163,113,277,64,8,78,41,25,65,37,18,57,49,11,61,33,32,67,30,23,54,48,22,65,24,36,58,22,32,52,28,18,46,38,34,72,52,29,77,35,13,49,36,19,56,38,26,67,224,74,298,167,142,310,176,126,301,28,16,38,39,33,71,33,28,62,30,13,48,29,23,55,33,28,57,30,16,49,48
