STE_CODE_2021,C16_CFNC_BF_4000more,C16_CFNC_BF_Ns,C16_CFNC_BF_Tot,C16_CFNC_BPT_Neg_ni_inc,C16_CFNC_BPT_1_149,C16_CFNC_BPT_150_399,C16_CFNC_BPT_400_649,C16_CFNC_BPT_650_799,C16_CFNC_BPT_800_1249,C16_CFNC_BPT_1250_1999,C16_CFNC_BPT_2000_2499,C16_CFNC_BPT_2500_2999,C16_CFNC_BPT_3000_3999,C16_CFNC_BPT_4000more,C16_CFNC_BPT_Ns,C16_CFNC_BPT_Tot,C16_CFNC_1F1P_Neg_ni_inc,C16_CFNC_1F1P_1_149,C16_CFNC_1F1P_150_399,C16_CFNC_1F1P_400_649,C16_CFNC_1F1P_650_799,C16_CFNC_1F1P_800_1249,C16_CFNC_1F1P_1250_1999,C16_CFNC_1F1P_2000_2499,C16_CFNC_1F1P_2500_2999,C16_CFNC_1F1P_3000_3999,C16_CFNC_1F1P_4000more,C16_CFNC_1F1P_Ns,C16_CFNC_1F1P_Tot,C16_CFNC_1E1A_Neg_ni_inc,C16_CFNC_1E1A_1_149,C16_CFNC_1E1A_150_399,C16_CFNC_1E1A_400_649,C16_CFNC_1E1A_650_799,C16_CFNC_1E1A_800_1249,C16_CFNC_1E1A_1250_1999,C16_CFNC_1E1A_2000_2499,C16_CFNC_1E1A_2500_2999,C16_CFNC_1E1A_3000_3999,C16_CFNC_1E1A_4000more,C16_CFNC_1E1A_Ns,C16_CFNC_1E1A_Tot,C16_CFNC_1F1NW_Neg_ni_inc,C16_CFNC_1F1NW_1_149,C16_CFNC_1F1NW_150_399,C16_CFNC_1F1NW_400_649,C16_CFNC_1F1NW_650_799,C16_CFNC_1F1NW_800_1249,C16_CFNC_1F1NW_1250_1999,C16_CFNC_1F1NW_2000_2499,C16_CFNC_1F1NW_2500_2999,C16_CFNC_1F1NW_3000_3999,C16_CFNC_1F1NW_4000more,C16_CFNC_1F1NW_Ns,C16_CFNC_1F1NW_Tot,C16_CFNC_1P1NW_Neg_ni_inc,C16_CFNC_1P1NW_1_149,C16_CFNC_1P1NW_150_399,C16_CFNC_1P1NW_400_649,C16_CFNC_1P1NW_650_799,C16_CFNC_1P1NW_800_1249,C16_CFNC_1P1NW_1250_1999,C16_CFNC_1P1NW_2000_2499,C16_CFNC_1P1NW_2500_2999,C16_CFNC_1P1NW_3000_3999,C16_CFNC_1P1NW_4000more,C16_CFNC_1P1NW_Ns,C16_CFNC_1P1NW_Tot,C16_CFNC_1A1NW_Neg_ni_inc,C16_CFNC_1A1NW_1_149,C16_CFNC_1A1NW_150_399,C16_CFNC_1A1NW_400_649,C16_CFNC_1A1NW_650_799,C16_CFNC_1A1NW_800_1249,C16_CFNC_1A1NW_1250_1999,C16_CFNC_1A1NW_2000_2499,C16_CFNC_1A1NW_2500_2999,C16_CFNC_1A1NW_3000_3999,C16_CFNC_1A1NW_4000more,C16_CFNC_1A1NW_Ns,C16_CFNC_1A1NW_Tot,C16_CFNC_BA_Neg_ni_inc,C16_CFNC_BA_1_149,C16_CFNC_BA_150_399,C16_CFNC_BA_400_649,C16_CFNC_BA_650_799,C16_CFNC_BA_800_1249,C16_CFNC_BA_1250_1999,C16_CFNC_BA_2000_2499,C16_CFNC_BA_2500_2999,C16_CFNC_BA_3000_3999,C16_CFNC_BA_4000more,C16_CFNC_BA_Ns,C16_CFNC_BA_Tot,C16_CFNC_BNW_Neg_ni_inc,C16_CFNC_BNW_1_149,C16_CFNC_BNW_150_399,C16_CFNC_BNW_400_649,C16_CFNC_BNW_650_799,C16_CFNC_BNW_800_1249,C16_CFNC_BNW_1250_1999,C16_CFNC_BNW_2000_2499,C16_CFNC_BNW_2500_2999,C16_CFNC_BNW_3000_3999,C16_CFNC_BNW_4000more,C16_CFNC_BNW_Ns,C16_CFNC_BNW_Tot,C16_CFNC_LFns_Neg_ni_inc,C16_CFNC_LFns_1_149,C16_CFNC_LFns_150_399,C16_CFNC_LFns_400_649,C16_CFNC_LFns_650_799,C16_CFNC_LFns_800_1249,C16_CFNC_LFns_1250_1999,C16_CFNC_LFns_2000_2499,C16_CFNC_LFns_2500_2999,C16_CFNC_LFns_3000_3999,C16_CFNC_LFns_4000more,C16_CFNC_LFns_Ns,C16_CFNC_LFns_Tot,C16_CFNC_Tot_Neg_ni_inc,C16_CFNC_Tot_1_149,C16_CFNC_Tot_150_399,C16_CFNC_Tot_400_649,C16_CFNC_Tot_650_799,C16_CFNC_Tot_800_1249,C16_CFNC_Tot_1250_1999,C16_CFNC_Tot_2000_2499,C16_CFNC_Tot_2500_2999,C16_CFNC_Tot_3000_3999,C16_CFNC_Tot_4000more,C16_CFNC_Tot_Ns,C16_CFNC_Tot_Tot,C16_CFC_BFT_Neg_ni_inc,C16_CFC_BFT_1_149,C16_CFC_BFT_150_399,C16_CFC_BFT_400_649,C16_CFC_BFT_650_799,C16_CFC_BFT_800_1249,C16_CFC_BFT_1250_1999,C16_CFC_BFT_2000_2499,C16_CFC_BFT_2500_2999,C16_CFC_BFT_3000_3999,C16_CFC_BFT_4000more,C16_CFC_BFT_Ns,C16_CFC_BFT_Tot,C16_CFC_BPT_Neg_ni_inc,C16_CFC_BPT_1_149,C16_CFC_BPT_150_399,C16_CFC_BPT_400_649,C16_CFC_BPT_650_799,C16_CFC_BPT_800_1249,C16_CFC_BPT_1250_1999,C16_CFC_BPT_2000_2499,C16_CFC_BPT_2500_2999,C16_CFC_BPT_3000_3999,C16_CFC_BPT_4000more,C16_CFC_BPT_Ns,C16_CFC_BPT_Tot,C16_CFC_1F1P_Neg_ni_inc,C16_CFC_1F1P_1_149,C16_CFC_1F1P_150_399,C16_CFC_1F1P_400_649,C16_CFC_1F1P_650_799,C16_CFC_1F1P_800_1249,C16_CFC_1F1P_1250_1999,C16_CFC_1F1P_2000_2499,C16_CFC_1F1P_2500_2999,C16_CFC_1F1P_3000_3999,C16_CFC_1F1P_4000more,C16_CFC_1F1P_Ns,C16_CFC_1F1P_Tot,C16_CF_1E1A_Neg_ni_inc,C16_CF_1E1A_1_149,C16_CF_1E1A_150_399,C16_CF_1E1A_400_649,C16_CF_1E1A_650_799,C16_CF_1E1A_800_1249,C16_CF_1E1A_1250_1999,C16_CF_1E1A_2000_2499,C16_CF_1E1A_2500_2999,C16_CF_1E1A_3000_3999,C16_CF_1E1A_4000more,C16_CF_1E1A_Ns,C16_CF_1E1A_Tot,C16_CF_1F1NW_Neg_ni_inc,C16_CF_1F1NW_1_149,C16_CF_1F1NW_150_399,C16_CF_1F1NW_400_649,C16_CF_1F1NW_650_799,C16_CF_1F1NW_800_1249,C16_CF_1F1NW_1250_1999,C16_CF_1F1NW_2000_2499,C16_CF_1F1NW_2500_2999,C16_CF_1F1NW_3000_3999,C16_CF_1F1NW_4000more,C16_CF_1F1NW_Ns,C16_CF_1F1NW_Tot,C16_CF_1P1NW_Neg_ni_inc,C16_CF_1P1NW_1_149
1,28856,2649,159511,97,158,169,1538,2622,8405,8881,3011,1574,1335,1738,592,30118,138,80,122,658,1088,9291,29945,15460,10441,7595,8350,1407,84568,33,26,41,215,287,1403,3305,2317,1746,1590,1502,703,13169,189,95,334,2185,3809,16866,20848,10053,3582,5296,4644,1806,69716,204,509,2134,6599,6324,13651,9588,3021,1522,1342,1853,1223,47961,94,70,160,619,722,1676,1713,721,309,359,291,565,7302,49,27,14,133,209,520,1020,778,548,596,555,587,5041,13107,4967,5128,34033,71692,56333,32821,8596,3790,3204,4292,11251,249208,187,80,87,513,1062,846,640,254,91,90,119,38958,42932,14428,6151,8288,47095,88665,113097,134972,78533,51273,55057,52211,59746,709525,282,97,111,329,481,3118,20774,29321,29726,45841,55130,16195,201403,38,44,121,738,1136,5427,9343,4583,3081,2919,2860,2693,32987,169,95,174,707,1062,11584,53545,41634,37915,36735,45340,16043,245004,36,15,38,195,222,1763,6572,6022,5528,7147,6802,2661,37013,253,139,427,2736,4561,27159,50164,27908,10599,19466,16687,10266,170370,179,200
2,17292,2320,127008,98,163,213,1351,2108,6935,7196,2443,1248,923,1303,499,24466,130,86,115,642,993,8352,27138,14154,9219,6058,5738,1376,73992,34,24,44,180,291,1237,2965,2126,1486,1324,959,578,11237,197,112,313,1854,3389,14808,17483,7443,2647,3631,3193,1612,56677,182,496,1918,5673,5351,11508,7427,2192,1092,931,1427,1075,39281,77,77,147,577,587,1498,1400,568,216,216,242,514,6118,53,34,10,114,179,469,951,694,478,478,433,558,4454,10384,4023,3758,26038,52556,41618,22197,5623,2469,2246,2959,9451,183312,161,73,64,430,888,701,555,230,93,77,92,29805,33158,11597,5224,6651,37326,66982,90265,109864,66464,42759,41156,33643,47791,559717,278,93,113,357,530,2895,16896,22440,21237,29856,31258,12145,138104,51,47,124,727,1041,5004,8347,3964,2487,2092,2015,2379,28280,208,94,193,784,1143,11743,52347,39253,33733,29653,33351,14914,217426,43,18,44,176,257,1720,6376,5472,4774,5204,4434,2302,30806,298,152,474,2494,4294,25580,44133,22250,8079,13537,11458,8861,141612,165,248
3,12025,1957,107253,57,107,135,1029,1699,5814,5924,1942,1072,786,887,376,19825,106,58,84,557,895,7257,24568,12603,7962,5112,4417,1088,64701,22,26,35,173,222,1022,2685,1898,1343,1258,848,449,9979,170,90,235,1413,2677,12784,15538,6692,2122,3210,2290,1290,48525,136,327,1221,4642,4628,10009,5937,1699,767,630,788,747,31533,52,42,114,402,492,1267,1355,592,208,227,180,342,5269,51,18,12,75,137,333,753,574,458,443,284,431,3574,5589,2699,3281,21644,48920,39099,20467,4599,1958,1735,2157,6807,158961,105,30,44,315,700,564,409,165,49,55,77,29337,31848,6688,3572,5242,30763,61101,81416,99675,57563,35261,33383,23959,42828,481452,234,82,99,269,385,2136,14836,20512,19613,27558,22859,9195,117782,31,37,79,393,648,3223,5985,2845,1802,1594,1284,1450,19364,105,67,113,471,718,7352,37708,27972,24300,20448,20060,8515,147823,22,11,19,112,147,1129,4576,4315,3865,4098,2854,1595,22749,172,83,240,1164,2310,16665,32956,15960,5682,8932,6779,5372,96318,94,123
4,2785,496,32173,24,41,59,443,687,2399,2450,755,367,287,313,149,7967,36,31,42,240,317,2969,9575,4820,2777,1702,1314,383,24200,9,7,15,71,91,447,1021,717,457,386,253,131,3592,49,33,70,533,990,4725,5259,2014,739,815,726,386,16334,53,140,485,1898,2039,4229,2537,719,316,246,345,278,13289,14,19,40,139,203,507,477,166,68,55,66,101,1860,12,13,6,36,49,140,298,228,151,125,94,110,1267,1905,1034,1096,8894,21420,17511,8601,1776,739,595,796,2824,67195,27,17,14,115,315,202,216,80,18,22,22,9652,10710,2201,1377,1837,12533,26333,34194,37379,19941,11705,9881,6705,14509,178588,61,25,36,107,126,780,4626,6171,5791,7807,6262,3088,34876,16,18,41,211,338,1580,2810,1182,715,579,497,630,8619,51,33,52,200,325,3510,16246,11733,9246,7965,6224,3774,59369,5,5,13,36,72,554,1918,1660,1414,1297,872,573,8422,54,24,99,498,1032,6518,10927,4466,1760,2164,1754,1861,31148,35,59
5,9439,897,55402,42,53,74,462,853,2857,3277,1295,673,563,687,200,11047,52,18,52,227,297,2706,10663,6811,5173,3767,3569,551,33903,10,10,9,94,104,435,1136,1016,887,975,820,249,5738,60,37,97,562,1041,5412,8298,4444,1439,2515,1832,679,26408,67,223,742,2254,2303,4853,3472,1071,569,455,650,409,17056,34,27,57,210,214,629,755,365,113,194,143,191,2938,14,15,7,26,51,170,402,329,247,311,293,213,2074,3275,1365,1685,9557,20647,17709,9644,2321,977,1050,1292,3186,72707,55,16,23,132,268,250,238,100,33,53,43,19367,20573,3743,1826,2772,13688,25950,36090,45390,29873,20648,23132,18767,25941,247840,88,29,34,116,137,724,4429,7244,7720,12501,13912,4616,51552,22,18,34,198,298,1540,3032,1646,1153,1108,1180,909,11132,61,40,76,205,279,3089,16719,14957,14836,13650,16674,5424,86008,19,7,16,47,66,445,1924,1973,1936,2539,2433,941,12357,112,45,127,658,1103,7948,18246,12172,3774,8352,6276,3330,62146,64,88
6,658,127,9318,7,11,28,182,253,868,868,253,135,85,87,51,2831,12,13,13,81,133,1077,3200,1490,789,511,390,137,7837,0,3,3,21,31,158,385,238,131,115,77,32,1196,13,12,32,169,327,1486,1664,569,234,219,169,143,5027,11,49,139,727,821,1513,938,219,106,71,84,114,4775,5,8,20,76,80,208,186,48,18,17,19,53,733,4,5,6,13,26,69,97,78,58,37,34,32,455,449,283,359,3127,7440,5393,2812,526,201,158,207,1001,21962,24,5,8,62,140,101,80,26,14,13,15,3234,3719,555,388,618,4513,9343,11279,12537,6005,3298,2658,1741,4922,57846,16,8,10,35,31,234,1405,1792,1547,1988,1235,924,9228,0,4,13,56,104,533,908,399,216,161,109,209,2707,11,13,13,52,95,1148,5187,3390,2493,1966,1316,1220,16906,0,0,4,24,28,208,679,507,380,330,167,156,2491,5,8,16,92,229,1895,2949,1062,400,392,326,524,7907,3,18
7,1330,111,6896,5,3,5,22,40,154,125,69,47,65,42,26,601,0,3,9,10,0,130,674,479,355,277,274,38,2247,0,0,3,4,6,29,77,110,107,117,108,27,592,3,3,16,58,82,377,549,337,129,218,138,71,1972,4,8,31,105,81,177,139,54,19,22,33,35,703,0,3,3,19,3,40,49,36,15,23,9,19,216,0,0,0,5,9,11,28,47,32,45,41,27,247,139,156,121,697,512,545,383,93,47,40,36,215,2973,12,5,8,10,7,20,16,5,5,0,7,1592,1685,184,189,184,949,762,1574,2838,2654,2115,2528,2005,2154,18138,5,7,7,9,11,82,527,985,1062,1848,1777,612,6940,0,0,7,24,26,94,127,92,53,65,54,69,616,0,5,4,13,17,156,842,764,787,736,814,242,4392,0,0,0,7,4,33,121,186,163,285,260,78,1135,5,11,20,119,121,546,1206,736,236,616,316,269,4207,3,10
8,2715,147,11721,0,9,5,47,66,294,302,163,122,139,122,17,1278,0,4,4,13,21,276,1269,817,687,706,664,66,4519,0,0,0,3,11,47,117,126,135,208,184,32,878,3,3,10,49,100,562,1045,785,367,527,469,51,3968,0,18,57,173,168,458,637,313,191,171,171,31,2382,3,0,0,15,13,58,97,64,47,63,30,13,402,0,0,0,5,0,18,37,34,36,57,53,22,271,394,115,125,723,1367,2459,2685,1053,563,437,347,277,10543,6,0,3,15,21,25,36,13,9,10,9,2325,2477,422,154,202,1048,1783,4286,7274,5425,4493,5599,4776,2985,38433,7,3,5,3,6,70,660,1345,1778,3948,5832,967,14628,0,0,4,16,37,161,347,217,256,336,251,79,1700,5,0,0,17,28,283,1690,1908,2329,3255,3270,579,13371,3,0,0,0,11,49,255,403,534,869,772,144,3034,3,0,11,53,109,788,2021,1483,558,1043,1009,363,7439,8,11
9,8,0,98,0,0,0,3,3,9,12,0,0,0,0,0,33,0,0,0,0,7,20,26,10,0,13,8,0,84,0,0,0,0,0,0,0,4,0,3,0,0,11,0,0,0,3,7,13,12,7,3,3,0,0,51,0,0,0,10,3,10,4,0,0,0,0,0,30,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,5,0,0,0,0,0,9,0,0,0,24,21,19,9,3,0,0,0,4,86,0,0,0,0,0,0,0,0,0,0,0,29,30,5,0,0,35,45,93,95,50,30,27,17,44,437,0,0,0,0,0,5,32,18,22,19,13,17,117,0,0,0,0,0,0,4,3,4,0,0,4,20,0,0,0,0,3,11,30,13,15,13,5,6,105,0,0,0,0,0,0,9,0,5,0,3,5,20,0,0,0,0,3,11,23,16,3,0,5,6,75,0,0
