STE_CODE_2021,C11_F_CL_Tot_15_19,C11_F_CL_Tot_20_24,C11_F_CL_Tot_25_34,C11_F_CL_Tot_35_44,C11_F_CL_Tot_45_54,C11_F_CL_Tot_55_64,C11_F_CL_Tot_65_74,C11_F_CL_Tot_75_84,C11_F_CL_Tot_85over,C11_F_CL_Tot_Tot,C11_F_LE_ID_15_19,C11_F_LE_ID_20_24,C11_F_LE_ID_25_34,C11_F_LE_ID_35_44,C11_F_LE_ID_45_54,C11_F_LE_ID_55_64,C11_F_LE_ID_65_74,C11_F_LE_ID_75_84,C11_F_LE_ID_85over,C11_F_LE_ID_Tot,C11_F_LE_NS_15_19,C11_F_LE_NS_20_24,C11_F_LE_NS_25_34,C11_F_LE_NS_35_44,C11_F_LE_NS_45_54,C11_F_LE_NS_55_64,C11_F_LE_NS_65_74,C11_F_LE_NS_75_84,C11_F_LE_NS_85over,C11_F_LE_NS_Tot,C11_F_Tot_15_19_yrs,C11_F_Tot_20_24_yrs,C11_F_Tot_25_34_yrs,C11_F_Tot_35_44_yrs,C11_F_Tot_45_54_yrs,C11_F_Tot_55_64_yrs,C11_F_Tot_65_74_yrs,C11_F_Tot_75_84_yrs,C11_F_Tot_85over,C11_F_Tot_Tot,C16_F_Post_Deg_15_19_yrs,C16_F_Post_Deg_20_24_yrs,C16_F_Post_Deg_25_34_yrs,C16_F_Post_Deg_35_44_yrs,C16_F_Post_Deg_45_54_yrs,C16_F_Post_Deg_55_64_yrs,C16_F_Post_Deg_65_74_yrs,C16_F_Post_Deg_75_84_yrs,C16_F_Post_Deg_85over,C16_F_Post_Deg_Tot,C16_F_GrDip_GrCe_15_19,C16_F_GrDip_GrCe_20_24,C16_F_GrDip_GrCe_25_34,C16_F_GrDip_GrCe_35_44,C16_F_GrDip_GrCe_45_54,C16_F_GrDip_GrCe_55_64,C16_F_GrDip_GrCe_65_74,C16_F_GrDip_GrCe_75_84,C16_F_GrDip_GrCe_85over,C16_F_GrDip_GrCe_Tot,C16_F_BD_15_19,C16_F_BD_20_24,C16_F_BD_25_34,C16_F_BD_35_44,C16_F_BD_45_54,C16_F_BD_55_64,C16_F_BD_65_74,C16_F_BD_75_84,C16_F_BD_85over,C16_F_BD_Tot,C16_F_AdD_DL_15_19,C16_F_AdD_DL_20_24,C16_F_AdD_DL_25_34,C16_F_AdD_DL_35_44,C16_F_AdD_DL_45_54,C16_F_AdD_DL_55_64,C16_F_AdD_DL_65_74,C16_F_AdD_DL_75_84,C16_F_AdD_DL_85over,C16_F_AdD_DL_Tot,C16_F_CL_C_III_IV_15_19,C16_F_CL_C_III_IV_20_24,C16_F_CL_C_III_IV_25_34,C16_F_CL_C_III_IV_35_44,C16_F_CL_C_III_IV_45_54,C16_F_CL_C_III_IV_55_64,C16_F_CL_C_III_IV_65_74,C16_F_CL_C_III_IV_75_84,C16_F_CL_C_III_IV_85over,C16_F_CL_C_III_IV_Tot,C16_F_CL_C_I_II_15_19,C16_F_CL_C_I_II_20_24,C16_F_CL_C_I_II_25_34,C16_F_CL_C_I_II_35_44,C16_F_CL_C_I_II_45_54,C16_F_CL_C_I_II_55_64,C16_F_CL_C_I_II_65_74,C16_F_CL_C_I_II_75_84,C16_F_CL_C_I_II_85over,C16_F_CL_C_I_II_Tot,C16_F_CL_CL_nfd_15_19,C16_F_CL_CL_nfd_20_24,C16_F_CL_CL_nfd_25_34,C16_F_CL_CL_nfd_35_44,C16_F_CL_CL_nfd_45_54,C16_F_CL_CL_nfd_55_64,C16_F_CL_CL_nfd_65_74,C16_F_CL_CL_nfd_75_84,C16_F_CL_CL_nfd_85over,C16_F_CL_CL_nfd_Tot,C16_F_CL_Tot_15_19,C16_F_CL_Tot_20_24,C16_F_CL_Tot_25_34,C16_F_CL_Tot_35_44,C16_F_CL_Tot_45_54,C16_F_CL_Tot_55_64,C16_F_CL_Tot_65_74,C16_F_CL_Tot_75_84,C16_F_CL_Tot_85over,C16_F_CL_Tot_Tot,C16_F_LE_ID_15_19,C16_F_LE_ID_20_24,C16_F_LE_ID_25_34,C16_F_LE_ID_35_44,C16_F_LE_ID_45_54,C16_F_LE_ID_55_64,C16_F_LE_ID_65_74,C16_F_LE_ID_75_84,C16_F_LE_ID_85over,C16_F_LE_ID_Tot,C16_F_LE_NS_15_19,C16_F_LE_NS_20_24,C16_F_LE_NS_25_34,C16_F_LE_NS_35_44,C16_F_LE_NS_45_54,C16_F_LE_NS_55_64,C16_F_LE_NS_65_74,C16_F_LE_NS_75_84,C16_F_LE_NS_85over,C16_F_LE_NS_Tot,C16_F_Tot_15_19_yrs,C16_F_Tot_20_24_yrs,C16_F_Tot_25_34_yrs,C16_F_Tot_35_44_yrs,C16_F_Tot_45_54_yrs,C16_F_Tot_55_64_yrs,C16_F_Tot_65_74_yrs,C16_F_Tot_75_84_yrs,C16_F_Tot_85over,C16_F_Tot_Tot,C21_F_Post_Deg_15_19_yrs,C21_F_Post_Deg_20_24_yrs,C21_F_Post_Deg_25_34_yrs,C21_F_Post_Deg_35_44_yrs,C21_F_Post_Deg_45_54_yrs,C21_F_Post_Deg_55_64_yrs,C21_F_Post_Deg_65_74_yrs,C21_F_Post_Deg_75_84_yrs,C21_F_Post_Deg_85over,C21_F_Post_Deg_Tot,C21_F_GrDip_GrCe_15_19,C21_F_GrDip_GrCe_20_24,C21_F_GrDip_GrCe_25_34,C21_F_GrDip_GrCe_35_44,C21_F_GrDip_GrCe_45_54,C21_F_GrDip_GrCe_55_64,C21_F_GrDip_GrCe_65_74,C21_F_GrDip_GrCe_75_84,C21_F_GrDip_GrCe_85over,C21_F_GrDip_GrCe_Tot,C21_F_BD_15_19,C21_F_BD_20_24,C21_F_BD_25_34,C21_F_BD_35_44,C21_F_BD_45_54,C21_F_BD_55_64,C21_F_BD_65_74,C21_F_BD_75_84,C21_F_BD_85over,C21_F_BD_Tot,C21_F_AdD_DL_15_19,C21_F_AdD_DL_20_24,C21_F_AdD_DL_25_34,C21_F_AdD_DL_35_44,C21_F_AdD_DL_45_54,C21_F_AdD_DL_55_64,C21_F_AdD_DL_65_74,C21_F_AdD_DL_75_84,C21_F_AdD_DL_85over,C21_F_AdD_DL_Tot,C21_F_CL_C_III_IV_15_19,C21_F_CL_C_III_IV_20_24,C21_F_CL_C_III_IV_25_34,C21_F_CL_C_III_IV_35_44,C21_F_CL_C_III_IV_45_54,C21_F_CL_C_III_IV_55_64,C21_F_CL_C_III_IV_65_74,C21_F_CL_C_III_IV_75_84,C21_F_CL_C_III_IV_85over,C21_F_CL_C_III_IV_Tot
1,11583,38286,77167,78394,73863,46078,18331,8018,3122,354832,686,2612,6475,9182,13456,12888,8398,4710,1987,60382,20268,16305,33077,33966,36124,37119,37482,38183,25286,277813,34676,115397,350490,336413,288932,211575,113537,69856,35848,1556730,40,3791,56429,47553,30260,20335,9365,2141,460,170383,105,1390,12422,14868,13846,13879,6589,1572,323,64995,352,45186,164821,132889,88899,63484,32979,11765,3561,543932,2327,19362,59915,66333,66778,54454,31781,12857,4307,318103,7627,30269,66568,59870,58770,40285,16347,5020,2306,287066,2816,4745,7393,8435,8711,7312,3800,964,343,44518,1341,3958,8333,13011,18500,18838,13859,5272,2347,85465,11783,38974,82289,81318,85984,66445,34004,11256,4999,417047,378,1437,4345,4530,5723,6965,6106,3033,1401,33919,17754,18514,42053,35693,38102,41051,42503,36760,27656,300092,32736,128654,422274,383185,329594,266612,163336,79386,42700,1848475,5,3463,72583,76459,44534,28248,16286,4691,745,247016,89,2277,16045,19500,18065,15803,12222,3431,581,88018,215,48059,194747,167254,116062,77576,50224,18718,5172,678031,1789,19858,61185,69756,74707,63811,43318,18685,5584,358683,8052,31495,73186,68833,67045,56594,26344,7816,2448,341819
2,9332,28977,57376,55064,50127,31118,11727,5136,1877,250727,324,1382,3477,4292,5037,5032,3620,2136,893,26199,15772,12725,24577,25395,26964,28648,29821,30624,20383,214910,26715,95297,288523,259991,209240,152761,82344,51931,27232,1194035,25,3462,46822,36368,21740,14197,6464,1417,341,130825,102,1730,16756,19181,17619,14268,6249,1506,284,77685,259,40254,140678,109681,69665,47828,25105,9134,2880,445493,1672,18474,54235,54512,51804,39184,23046,9322,3344,255595,5723,23792,52992,45482,45811,30715,13204,3996,1630,223340,1835,3339,5388,5466,5299,4190,2177,497,180,28376,875,2881,6845,8783,10352,9112,6378,2500,1252,48981,8437,30014,65224,59733,61463,44013,21763,6990,3065,300696,295,1095,3331,3002,3072,3213,3206,1700,876,19783,14246,14941,33586,28029,29672,31599,33411,27926,19103,232511,25036,109972,360639,310499,255033,194290,119242,57987,29888,1462587,0,4517,69526,63020,33632,20580,11445,3248,553,206528,76,2347,20166,24377,22756,17612,11452,3305,498,102586,124,42717,163857,141207,94399,58866,38886,14690,3908,558652,943,17081,55903,62197,60409,48486,32341,13781,4128,295268,4992,22030,57429,53463,51882,42836,20436,5929,1806,260802
3,13993,29122,55698,50997,45202,28205,9338,3107,987,236644,427,1117,2792,3515,4553,4512,3056,1652,561,22176,13273,10570,20303,21574,22323,21783,21734,20903,13945,166400,29433,73721,201390,194189,162640,114496,59669,34302,17835,887673,7,1157,18827,18795,14001,9419,4052,787,177,67235,69,1209,8758,10704,10273,7876,3463,911,138,43403,191,24285,83984,73126,49353,33527,17931,5973,1681,290055,2572,13048,37785,42105,42489,31556,17176,6315,1777,194816,10893,25375,52326,45969,43705,30382,11894,2668,913,224124,3884,4675,5844,4733,4227,3445,1805,377,117,29115,1309,2782,6098,8039,8812,8193,5531,1896,681,43340,16092,32824,64272,58736,56742,42014,19235,4946,1714,296582,295,734,1971,1991,2497,2633,2557,1343,513,14538,12523,13030,26709,23943,26090,26069,25653,20499,14658,189189,31749,86302,242315,229409,201440,153088,90064,40784,20662,1095820,0,1518,25400,30653,21109,13829,7509,1965,248,102237,85,1584,12392,14453,14126,10392,6631,1786,292,61737,136,28003,99757,93512,67871,42581,27154,10334,2346,371682,3222,13388,40935,47549,50163,41123,24946,9894,2437,233653,12354,28581,60589,57052,54480,44497,20550,5082,1051,284242
4,3388,10275,21148,18993,17067,10843,4053,1744,601,88117,115,405,956,1282,1501,1278,916,603,247,7290,4288,3054,5527,6327,7312,8065,8733,9925,7035,60261,8030,24611,70086,66295,60148,46623,24696,16234,9224,325961,9,439,7814,6848,4589,3473,1786,392,74,25424,10,342,2770,3631,3581,3585,1778,394,71,16150,50,8116,30110,24901,16587,13433,7596,2661,946,104393,243,2992,10876,12817,14899,13221,7520,2566,1018,66159,2502,8189,18305,15335,15661,11036,4790,1384,556,77767,927,1725,2803,2279,1838,1410,703,189,56,11942,373,833,2034,3015,3277,3047,2175,831,392,15980,3808,10749,23142,20630,20781,15505,7672,2406,1001,105691,86,261,763,754,895,924,1005,581,304,5578,3717,3278,6839,6313,7582,8339,9295,8158,6078,59606,7912,26178,82319,75897,68923,58484,36652,17150,9489,383000,3,668,12099,11538,6733,4809,3073,887,134,39944,9,394,3656,4856,4468,4137,3181,867,130,21701,26,9906,35036,31297,21681,15108,11152,4401,1203,129817,140,2402,10456,13484,15384,15075,10788,4134,1155,73015,3166,8622,20391,18996,18000,15528,7695,2168,653,95230
5,6034,14729,27243,25204,21805,13882,5515,2621,1014,118050,299,968,2334,3173,4078,4202,3173,1632,652,20513,6407,5553,11442,11321,10520,10063,9032,9459,6022,79819,13704,39782,109471,103164,86550,61325,31913,19023,9127,474064,3,603,11422,10678,7056,4430,1934,437,82,36646,22,652,5586,6433,5795,4417,1626,425,91,25048,97,13370,52349,42000,27833,18122,9582,3707,950,168006,955,5852,19949,21117,21243,17080,9223,3656,1107,100185,3643,11894,26556,21370,19751,12920,5252,1534,564,103482,2135,2247,3390,2795,2354,1824,971,293,95,16109,471,1346,3494,4989,5385,4831,3239,1221,459,25446,6250,15488,33442,29161,27496,19578,9459,3048,1120,145040,117,459,1532,1353,1501,1582,1444,790,312,9099,5979,6503,16111,13381,13692,13699,12990,11227,7919,101497,13434,42928,140398,124121,104615,78911,46248,23280,11576,585516,5,956,15177,17204,10527,6529,3494,912,154,54961,27,688,6734,8316,7469,5788,3352,935,162,33473,46,13550,54854,53589,36523,22985,14634,5762,1510,203443,584,5806,19586,23322,23128,20728,13217,5377,1594,113348,5449,13640,30545,27570,24326,18495,8878,2440,623,131966
6,1208,3624,6811,6153,5888,3717,1258,499,187,29357,50,108,280,360,457,556,341,210,71,2439,1424,824,1536,1961,2441,3000,3395,3284,1749,19618,2734,6798,18118,19327,19485,16075,9027,5491,2500,99550,0,108,1630,1639,1490,1276,689,133,29,6996,4,89,807,1004,1168,1094,556,127,30,4879,7,1609,6293,6169,5085,4887,2748,908,311,28019,54,606,2370,3320,4096,3836,2623,1181,342,18431,571,2655,5765,4972,4839,3673,1359,365,127,24333,378,751,1022,718,671,495,257,65,26,4379,134,322,698,907,1104,1218,753,322,140,5586,1087,3725,7473,6591,6612,5390,2361,749,303,34301,17,57,165,171,235,288,348,237,90,1602,1492,1056,2102,2183,2808,3464,3980,3117,1663,21860,2665,7258,20857,21075,21486,20235,13304,6453,2768,116084,0,180,5423,3233,2171,1826,1203,317,38,14388,0,106,1162,1422,1360,1376,1030,284,55,6792,3,2090,9364,8066,6273,5490,4233,1554,370,37434,41,589,2789,3488,4450,4498,3455,1568,473,21358,468,2953,7222,6518,6008,5191,2385,555,146,31440
7,462,1373,2977,2415,1850,950,232,57,15,10333,16,68,148,177,192,154,63,20,3,841,1132,991,2172,2115,1761,1288,709,360,136,10668,1650,3504,11245,9940,8145,5168,1760,578,191,42188,4,41,994,931,702,556,176,34,0,3437,0,47,623,643,544,419,109,21,0,2405,4,707,4516,3197,2037,1425,554,131,27,12602,16,350,1613,1633,1642,1141,406,123,14,6942,285,1022,2615,1931,1617,950,263,49,12,8750,171,244,426,281,255,155,44,5,5,1584,37,129,388,373,374,272,131,32,10,1744,502,1405,3429,2584,2240,1380,441,83,21,12077,4,41,120,100,97,73,52,26,8,521,1220,1341,3286,2435,2261,1752,965,380,147,13784,1749,3928,14577,11526,9518,6749,2700,791,229,51768,0,61,2043,1553,944,698,295,72,4,5667,0,63,709,831,663,491,227,46,0,3040,4,856,5373,3856,2379,1598,835,231,42,15163,24,295,1604,1719,1681,1308,602,191,31,7456,345,948,2637,2318,1847,1269,445,78,18,9905
8,575,1945,3463,3255,2767,1915,790,342,138,15190,25,103,288,347,542,627,466,294,140,2827,898,911,1367,1127,1044,1018,963,1046,820,9205,1587,7503,23274,20073,17256,12707,6100,2998,1502,92997,0,258,4632,4652,3194,2031,989,248,47,16040,4,153,1813,1904,1750,1458,852,175,22,8134,17,3565,12073,9041,6142,4572,2654,1022,279,39359,83,944,3227,3486,3384,2631,1726,754,232,16475,366,1594,3186,2686,2260,1535,618,200,82,12525,201,268,334,314,259,220,141,52,22,1811,55,171,292,509,732,793,694,275,115,3640,617,2031,3808,3515,3250,2545,1451,530,220,17973,29,45,186,180,208,228,260,117,58,1304,703,978,2096,1623,1494,1548,1397,1207,1059,12096,1457,7975,27832,24391,19423,15009,9324,4047,1924,111388,0,323,7760,7469,4647,2861,1587,562,96,25314,4,226,2099,2496,2145,1626,1264,434,62,10350,4,4350,14337,11640,7729,5320,3798,1749,446,49375,76,1123,3349,3969,3810,3149,2215,1095,363,19141,410,1646,3443,3015,2646,1995,995,349,118,14610
9,7,15,31,25,30,8,0,0,0,118,0,0,6,3,3,0,0,0,0,11,7,9,20,23,25,20,7,6,0,112,14,33,97,115,96,52,6,7,0,424,0,0,7,16,12,8,4,0,0,38,0,3,8,7,11,4,4,0,0,33,0,10,46,53,21,41,17,3,7,194,0,0,35,46,31,32,14,8,0,173,8,10,33,34,43,15,4,0,0,151,3,7,7,5,6,5,0,0,0,27,0,3,9,10,9,18,12,0,0,58,12,24,45,47,58,38,17,3,0,241,0,0,0,0,8,4,0,0,0,11,29,11,30,36,63,60,42,26,8,290,42,44,168,207,194,182,94,41,11,989,0,0,11,22,16,13,7,0,0,71,0,0,5,11,13,21,3,0,0,52,0,9,49,57,44,26,30,8,0,218,0,3,28,36,24,40,22,14,3,180,0,23,33,36,38,34,14,5,0,184
