STE_CODE_2021,C16_F_65_69_Tot_LF,C16_F_65_69_Not_LF,C16_F_65_69_LF_NS,C16_F_65_69_Tot,C16_F_70_74_Em_FT,C16_F_70_74_Em_PT,C16_F_70_74_Em_AFW,C16_F_70_74_Em_Hrs_NS,C16_F_70_74_Em_Tot,C16_F_70_74_Unem_Look_FT,C16_F_70_74_Unem_Look_PT,C16_F_70_74_Unem_Tot,C16_F_70_74_Tot_LF,C16_F_70_74_Not_LF,C16_F_70_74_LF_NS,C16_F_70_74_Tot,C16_F_75over_Em_FT,C16_F_75over_Em_PT,C16_F_75over_Emp_A_fr_wo,C16_F_75over_Em_Hou_wor_ns,C16_F_75over_Em_Tot,C16_F_75over_Unem_Lo_ft_wor,C16_F_75over_Unem_Lo_pt_wor,C16_F_75over_Unem_Tot,C16_F_75over_Tot_LF,C16_F_75over_N_lab_forc,C16_F_75over_LF_NS,C16_F_75over_Tot,C16_F_Tot_Em_FT,C16_F_Tot_Em_PT,C16_F_Tot_Em_AFW,C16_F_Tot_Em_Hrs_NS,C16_F_Tot_Em_Tot,C16_F_Tot_Unem_Look_FT,C16_F_Tot_Unem_Look_PT,C16_F_Tot_Unem_Tot,C16_F_Tot_Tot_labo_for,C16_F_Tot_Not_LF,C16_F_Tot_LF_NS,C16_F_Tot_Tot,C21_F_15_19_Em_FT,C21_F_15_19_Em_PT,C21_F_15_19_Em_AFW,C21_F_15_19_Em_Hrs_NS,C21_F_15_19_Em_Tot,C21_F_15_19_Unem_Look_FT,C21_F_15_19_Unem_Look_PT,C21_F_15_19_Unem_Tot,C21_F_15_19_Tot_LF,C21_F_15_19_Not_LF,C21_F_15_19_LF_NS,C21_F_15_19_Tot,C21_F_20_24_Em_FT,C21_F_20_24_Em_PT,C21_F_20_24_Em_AFW,C21_F_20_24_Em_Hrs_NS,C21_F_20_24_Em_Tot,C21_F_20_24_Unem_Look_FT,C21_F_20_24_Unem_Look_PT,C21_F_20_24_Unem_Tot,C21_F_20_24_Tot_LF,C21_F_20_24_Not_LF,C21_F_20_24_LF_NS,C21_F_20_24_Tot,C21_F_25_29_Em_FT,C21_F_25_29_Em_PT,C21_F_25_29_Em_AFW,C21_F_25_29_Em_Hrs_NS,C21_F_25_29_Em_Tot,C21_F_25_29_Unem_Look_FT,C21_F_25_29_Unem_Look_PT,C21_F_25_29_Unem_Tot,C21_F_25_29_Tot_LF,C21_F_25_29_Not_LF,C21_F_25_29_LF_NS,C21_F_25_29_Tot,C21_F_30_34_Em_FT,C21_F_30_34_Em_PT,C21_F_30_34_Em_AFW,C21_F_30_34_Em_Hrs_NS,C21_F_30_34_Em_Tot,C21_F_30_34_Unem_Look_FT,C21_F_30_34_Unem_Look_PT,C21_F_30_34_Unem_Tot,C21_F_30_34_Tot_LF,C21_F_30_34_Not_LF,C21_F_30_34_LF_NS,C21_F_30_34_Tot,C21_F_35_39_Em_FT,C21_F_35_39_Em_PT,C21_F_35_39_Em_AFW,C21_F_35_39_Em_Hrs_NS,C21_F_35_39_Em_Tot,C21_F_35_39_Unem_Look_FT,C21_F_35_39_Unem_Look_PT,C21_F_35_39_Unem_Tot,C21_F_35_39_Tot_LF,C21_F_35_39_Not_LF,C21_F_35_39_LF_NS,C21_F_35_39_Tot,C21_F_40_44_Em_FT,C21_F_40_44_Em_PT,C21_F_40_44_Em_AFW,C21_F_40_44_Em_Hrs_NS,C21_F_40_44_Em_Tot,C21_F_40_44_Unem_Look_FT,C21_F_40_44_Unem_Look_PT,C21_F_40_44_Unem_Tot,C21_F_40_44_Tot_LF,C21_F_40_44_Not_LF,C21_F_40_44_LF_NS,C21_F_40_44_Tot,C21_F_45_49_Em_FT,C21_F_45_49_Em_PT,C21_F_45_49_Em_AFW,C21_F_45_49_Em_Hrs_NS,C21_F_45_49_Em_Tot,C21_F_45_49_Unem_Look_FT,C21_F_45_49_Unem_Look_PT,C21_F_45_49_Unem_Tot,C21_F_45_49_Tot_LF,C21_F_45_49_Not_LF,C21_F_45_49_LF_NS,C21_F_45_49_Tot,C21_F_50_54_Em_FT,C21_F_50_54_Em_PT,C21_F_50_54_Em_AFW,C21_F_50_54_Em_Hrs_NS,C21_F_50_54_Em_Tot,C21_F_50_54_Unem_Look_FT,C21_F_50_54_Unem_Look_PT,C21_F_50_54_Unem_Tot,C21_F_50_54_Tot_LF,C21_F_50_54_Not_LF,C21_F_50_54_LF_NS,C21_F_50_54_Tot,C21_F_55_59_Em_FT,C21_F_55_59_Em_PT,C21_F_55_59_Em_AFW,C21_F_55_59_Em_Hrs_NS,C21_F_55_59_Em_Tot,C21_F_55_59_Unem_Look_FT,C21_F_55_59_Unem_Look_PT,C21_F_55_59_Unem_Tot,C21_F_55_59_Tot_LF,C21_F_55_59_Not_LF,C21_F_55_59_LF_NS,C21_F_55_59_Tot,C21_F_60_64_Em_FT,C21_F_60_64_Em_PT,C21_F_60_64_Em_AFW,C21_F_60_64_Em_Hrs_NS,C21_F_60_64_Em_Tot,C21_F_60_64_Unem_Look_FT,C21_F_60_64_Unem_Look_PT,C21_F_60_64_Unem_Tot,C21_F_60_64_Tot_LF,C21_F_60_64_Not_LF,C21_F_60_64_LF_NS,C21_F_60_64_Tot,C21_F_65_69_Em_FT,C21_F_65_69_Em_PT,C21_F_65_69_Em_AFW,C21_F_65_69_Em_Hrs_NS,C21_F_65_69_Em_Tot,C21_F_65_69_Unem_Look_FT,C21_F_65_69_Unem_Look_PT,C21_F_65_69_Unem_Tot,C21_F_65_69_Tot_LF,C21_F_65_69_Not_LF,C21_F_65_69_LF_NS,C21_F_65_69_Tot,C21_F_70_74_Em_FT,C21_F_70_74_Em_PT,C21_F_70_74_Em_AFW,C21_F_70_74_Em_Hrs_NS,C21_F_70_74_Em_Tot,C21_F_70_74_Unem_Look_FT,C21_F_70_74_Unem_Look_PT,C21_F_70_74_Unem_Tot,C21_F_70_74_Tot_LF,C21_F_70_74_Not_LF,C21_F_70_74_LF_NS,C21_F_70_74_Tot,C21_F_75over_Em_FT,C21_F_75over_Em_PT,C21_F_75over_Emp_Aw_fr_w,C21_F_75over_Emp_Hou_w_ns,C21_F_75over_Em_Tot,C21_F_75over_Unem_Lo_ft_wor,C21_F_75over_Unem_Lo_pt_wor,C21_F_75over_Unemp_Tot,C21_F_75over_Tot_lab_for,C21_F_75over_N_lab_forc,C21_F_75over_LF_NS,C21_F_75over_yr_Tot,C21_F_Tot_Em_FT,C21_F_Tot_Em_PT,C21_F_Tot_Em_AFW,C21_F_Tot_Em_Hrs_NS
1,39488,143784,12829,196103,3273,8466,710,493,12939,49,197,247,13184,126229,11035,150451,1408,3659,372,764,6202,81,120,201,6407,265912,35640,307957,804943,703245,64866,28231,1601285,46849,59400,106247,1707532,1211010,201290,3119836,10218,61930,17510,1695,91350,2402,9573,11968,103322,107684,10744,221749,65559,72109,22534,3272,163478,5339,6953,12290,175771,52105,13505,241374,117674,59363,19613,3875,200528,5330,4231,9557,210086,50556,17187,277829,112005,71321,25568,3818,212710,4735,4186,8914,221626,61146,17239,300011,106001,79746,20981,3129,209851,4407,3959,8369,218218,60658,15980,294854,102247,73748,12890,2299,191186,3767,3440,7206,198389,52441,13299,264127,106507,70739,12012,2133,191391,3875,3158,7038,198430,52536,12361,263323,97526,67466,12700,2014,179712,3505,3045,6548,186256,58862,11345,256461,77547,64439,12664,1735,156377,2912,3003,5916,162294,76235,11281,249809,47569,54435,10824,1343,114167,2020,2991,5014,119182,113556,10554,243291,16932,27753,5340,707,50736,431,996,1427,52162,153595,10258,216012,4571,11491,1985,462,18514,52,281,329,18843,162264,10582,191688,1585,5128,955,666,8335,42,110,154,8486,305272,39268,353030,865942,719663,175586,27143
2,30751,110637,9915,151313,2067,6281,590,397,9327,39,151,192,9519,95469,8472,113463,975,2687,331,559,4546,59,103,170,4713,205672,25595,235980,602791,614789,55788,22643,1296011,38964,53429,92396,1388405,947862,155943,2492205,5283,61118,8940,1362,76705,1573,12266,13843,90542,78437,7710,176690,49453,78884,10750,2912,142002,4496,7129,11623,153630,36179,9995,199803,103839,59491,11079,3209,177629,4770,3951,8720,186346,36193,13505,236041,98653,68957,17436,3127,188175,4269,3827,8091,196263,46919,13265,256446,87551,78963,13542,2565,182621,3531,3877,7403,190028,47281,12343,249649,81213,71072,6716,1949,160949,3045,3332,6377,167326,39093,9968,216377,84263,68049,5567,1885,159760,3021,3100,6113,165882,38000,9349,213232,79768,65407,6271,1788,153233,2784,2817,5598,158836,43706,8786,211322,61297,59532,6744,1422,128999,2326,2586,4917,133912,55197,8176,197285,36555,49058,6197,1059,92870,1479,2378,3857,96725,83516,7787,188031,12474,24432,3232,602,40739,324,796,1124,41859,117630,7679,167169,3170,9732,1143,420,14461,38,209,246,14708,126746,7900,149353,1047,3893,612,577,6129,29,112,143,6275,241172,24889,272334,704564,698602,98229,22874
3,23825,90191,8513,122528,1970,4780,369,312,7430,40,145,183,7617,76860,7004,91484,792,1872,196,450,3311,54,49,101,3416,140747,20707,164866,501396,466252,42229,16600,1026476,39543,41922,81466,1107943,695490,133695,1937129,8474,56787,11633,1543,78432,2470,9371,11845,90275,54838,7873,152988,46950,52215,12808,2406,114388,4278,4606,8877,123264,27281,10308,160852,69026,43555,12459,2504,127547,3560,3124,6683,134230,29096,12311,175639,64574,50585,14556,2388,132106,3086,2938,6022,138126,32596,11289,182016,65101,57326,11369,1943,135740,2618,2945,5562,141302,32046,10637,183981,66246,52662,7448,1551,127907,2554,2570,5125,133033,27547,8863,169446,72639,50369,7358,1526,131898,2756,2332,5087,136983,28365,8973,174326,68884,47044,8035,1501,125470,2490,2188,4674,130148,32384,8430,170965,53734,43557,7879,1229,106396,2175,2258,4434,110824,43528,8030,162382,32009,35374,6598,894,74874,1560,2139,3702,78574,67979,7210,153762,10802,17558,2966,462,31790,345,716,1054,32847,96417,6640,135905,2759,6987,1050,297,11097,40,179,221,11317,104142,6697,122156,1006,2878,428,452,4764,24,73,93,4865,177891,20303,203054,562205,516914,104593,18699
4,9663,37273,2700,49638,647,2000,174,127,2943,13,41,52,2996,32482,2425,37897,310,818,93,195,1419,18,31,49,1471,70275,7216,78964,154499,182008,16810,5270,358587,11900,14425,26323,384910,285627,37532,708069,1961,19875,1246,439,23518,594,2955,3553,27072,19165,1806,48041,13955,21762,1774,691,38177,1382,1797,3183,41364,9546,2107,53018,22853,16803,2705,701,43068,1212,1114,2323,45391,9936,2508,57839,19972,19309,3880,549,43709,985,1046,2032,45743,11525,2514,59780,19522,22473,2734,483,45211,850,1052,1906,47115,10987,2341,60441,19920,19668,1432,397,41413,795,911,1708,43120,9205,2013,54335,21901,18862,1230,437,42430,864,821,1690,44117,9211,2126,55457,22114,19169,1563,426,43276,775,817,1586,44867,11224,2060,58152,18368,18576,1812,392,39154,649,752,1402,40555,15653,2056,58255,11508,15751,1704,316,29276,433,738,1176,30452,25599,2072,58125,3892,7457,843,166,12359,105,236,335,12692,38269,2079,53041,909,3020,277,122,4327,12,58,70,4391,42474,2176,49041,315,1235,159,180,1888,9,26,32,1925,81467,6437,89828,177195,203951,21362,5301
5,13278,41575,4000,58854,825,2750,248,128,3953,22,75,102,4053,34710,3291,42054,344,1135,113,176,1767,30,38,64,1830,70346,10639,82816,250575,255438,23752,8376,538138,20287,23619,43906,582046,352665,69335,1004045,4413,30576,1275,675,36943,1172,5327,6498,43441,27766,3373,74580,23407,30073,2173,1174,56827,1810,2235,4043,60866,12393,4436,77702,37169,22326,3783,1162,64443,1621,1509,3128,67569,14836,5580,87980,35060,29240,6173,1142,71618,1410,1826,3232,74852,19757,5796,100399,32679,35059,4461,931,73134,1379,1856,3239,76367,19553,5447,101372,32144,31682,2255,723,66799,1313,1724,3040,69839,15255,4309,89399,34961,29164,1912,747,66780,1358,1433,2790,69565,13767,4234,87572,34315,27189,2505,730,64743,1330,1226,2557,67298,15593,4047,86940,27621,24716,2814,587,55734,1046,1148,2194,57930,20274,3762,81965,16847,21015,2482,422,40774,760,1105,1866,42639,30841,3386,76868,5902,10924,1133,238,18196,162,363,528,18723,46447,3154,68326,1351,4350,367,132,6201,17,99,114,6316,49417,3053,58785,417,1730,179,195,2523,12,41,50,2574,87369,9561,99498,286299,298053,31515,8859
6,2801,12809,1158,16769,173,589,48,41,858,3,4,5,868,10674,993,12535,75,269,28,57,431,8,9,18,446,20541,2354,23342,43442,55543,5494,1610,106094,3075,3803,6875,112969,89931,13594,216502,760,5563,341,157,6819,269,943,1217,8033,5870,642,14544,4338,5516,458,215,10523,492,553,1041,11569,2881,771,15216,6619,6019,878,274,13789,562,483,1044,14828,3378,965,19166,5738,6738,1150,209,13840,412,404,820,14660,3588,874,19123,5310,6865,826,161,13162,260,310,570,13736,3291,822,17851,5438,6220,457,123,12236,258,265,520,12759,2763,694,16213,6325,6135,443,165,13070,246,249,492,13562,2915,657,17136,6620,6229,657,150,13649,231,250,483,14131,3809,788,18731,5515,6159,724,117,12527,196,273,470,12991,5326,786,19109,3408,5470,659,102,9634,157,279,430,10071,8969,874,19911,1065,2510,292,54,3924,47,74,115,4037,13162,819,18016,279,938,86,44,1346,9,20,22,1371,14005,945,16324,83,375,51,61,569,4,6,9,581,24415,2351,27344,51500,64739,7028,1827
7,1073,1894,395,3361,122,135,11,9,277,3,3,9,289,1456,246,1987,42,55,10,9,116,3,0,0,119,1999,306,2423,30527,13583,2349,1138,47592,2221,1224,3442,51037,24934,10281,86257,595,1763,100,70,2532,184,274,453,2985,3305,563,6857,2467,1499,199,121,4288,268,159,419,4710,2068,698,7473,4461,1878,433,165,6937,236,144,383,7321,2296,1055,10674,4463,2184,600,143,7392,270,160,427,7819,2441,1018,11289,3955,2071,442,118,6584,184,106,288,6873,2160,864,9900,3649,1632,229,82,5597,168,116,287,5888,1593,778,8259,3557,1286,200,73,5119,122,74,196,5320,1426,719,7460,3526,1205,245,77,5050,121,81,206,5253,1534,673,7459,2811,1020,240,57,4131,89,44,132,4264,1531,609,6402,1828,841,186,57,2920,73,49,119,3036,1987,509,5528,699,488,107,29,1324,22,16,32,1356,2324,373,4058,181,248,28,9,468,0,5,10,472,2141,260,2873,59,77,11,8,159,0,6,7,167,2668,346,3180,32269,16198,3028,1009
8,1917,6699,464,9072,137,344,29,20,532,6,18,22,556,5450,429,6435,43,153,22,23,240,3,13,11,250,10036,1475,11755,57431,36623,5494,1355,100907,1939,2869,4811,105718,50673,9307,165692,781,5554,401,58,6796,122,994,1117,7911,4467,560,12936,6209,6634,505,173,13516,268,445,717,14235,2073,872,17173,10912,4145,801,214,16072,320,252,573,16647,2024,873,19543,9540,4851,1440,176,16013,261,183,445,16457,2247,798,19497,9095,5295,1223,111,15727,210,199,407,16137,2115,670,18918,8586,4431,550,86,13650,166,138,305,13954,1686,490,16129,8511,3511,416,76,12512,146,122,271,12785,1570,445,14795,7526,3039,498,66,11125,109,104,214,11343,1825,405,13570,5419,2667,447,50,8579,102,120,214,8798,3148,323,12263,2813,2225,359,28,5423,75,101,173,5598,5313,325,11239,872,1252,160,21,2309,13,48,62,2372,7137,357,9872,228,611,55,7,904,3,13,15,921,7895,351,9157,45,239,25,7,325,0,3,3,330,13595,958,14879,70539,44461,6875,1076
9,59,55,17,127,13,14,6,0,24,0,0,0,24,57,9,86,0,8,0,0,10,0,0,0,10,94,14,122,523,361,60,33,979,18,10,34,1014,513,205,1733,13,41,0,0,60,0,0,0,61,26,14,103,33,32,4,5,72,0,0,0,76,17,16,104,41,29,7,0,84,0,0,0,84,13,24,113,41,35,12,0,84,0,0,0,84,11,29,126,54,56,7,0,117,3,0,3,125,28,24,166,56,28,8,0,97,0,0,3,96,16,22,140,68,31,11,4,107,0,0,3,111,16,12,140,77,42,0,3,122,0,0,0,125,18,25,171,70,44,14,4,127,5,3,9,132,38,25,193,54,51,4,0,117,5,6,4,124,47,21,193,17,38,6,0,57,0,0,0,62,77,12,155,18,20,0,0,39,0,0,0,39,63,12,108,0,15,0,0,23,0,0,0,23,116,29,164,536,473,73,20
