SA3_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
10102,11,45,3,3082,149,13,4,72,27,34,9,7,5,23,212,561,9,5,0,3,3,3,0,0,0,0,23,45,3109,292,95,2258,532,1031,107,268,51,349,251,8352
10103,0,0,0,343,46,3,0,23,4,5,9,0,0,9,70,175,0,0,0,4,0,0,0,0,0,5,7,15,591,112,16,620,75,238,27,74,15,101,83,1954
10104,5,21,0,602,76,21,8,89,8,27,10,40,8,57,266,620,5,0,0,8,0,0,0,0,3,7,25,51,1308,474,94,1858,243,618,136,413,100,637,305,6178
10105,10,8,0,576,65,8,4,53,10,21,3,6,0,18,159,344,4,0,3,3,0,0,0,0,0,0,10,24,1038,151,47,1137,184,491,85,164,59,261,176,3798
10106,10,10,0,985,104,11,6,60,19,34,4,12,0,24,161,425,3,0,0,4,0,0,0,0,0,5,16,41,1264,185,43,1362,189,504,58,164,57,282,194,4306
10201,35,70,5,4874,190,52,17,211,49,105,28,47,18,114,487,1331,13,3,12,13,6,11,0,0,0,7,48,126,4051,1278,333,5841,1428,2831,660,1204,387,1575,562,20157
10202,21,43,3,2522,175,47,28,170,49,92,29,44,24,125,549,1333,11,3,16,12,4,7,6,3,13,18,56,147,3326,1058,367,4735,1379,2559,648,993,424,1597,650,17746
10301,3,12,0,858,74,10,0,77,7,24,3,14,5,24,216,463,0,0,7,3,0,3,3,0,0,0,11,33,1515,179,48,1540,233,579,80,204,50,304,237,4963
10302,0,4,4,591,134,4,12,106,10,35,0,18,4,41,234,593,8,0,0,8,0,3,0,0,3,6,18,52,1385,166,61,1651,222,630,71,178,62,412,262,5094
10303,0,7,6,788,64,15,10,78,14,30,6,17,10,35,207,481,6,5,0,8,0,0,0,0,3,6,16,46,1025,194,63,1489,259,627,88,226,80,384,246,4685
