SA3_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
10102,25817,25450,51270,789,819,1605,2010,1947,3961,177,140,318,162,178,342,49,50,99,54,54,113,17,21,38,33,25,59,1189,1179,2367,0,0,0,3695,3594,7290,187,193,383,68,48,118,4743,4656,9400,1694,1588,3277,32250,31691,63944
10103,7987,7674,15665,555,560,1120,654,628,1283,68,57,123,87,106,197,16,7,25,36,36,73,4,10,11,12,14,23,82,61,143,0,0,0,971,916,1887,82,76,158,29,21,50,1637,1574,3206,967,712,1682,10594,9961,20550
10104,29565,30669,60235,1613,1746,3360,2221,2458,4679,210,231,442,125,148,266,27,19,43,28,20,52,7,21,29,16,13,29,309,337,647,3,4,4,2947,3257,6203,97,109,212,97,57,155,4753,5171,9926,3023,2965,5988,37345,38809,76153
10105,14754,14958,29711,1074,1192,2263,1096,1100,2197,31,42,70,56,51,107,4,3,11,9,5,23,3,0,3,4,5,5,114,108,216,0,0,0,1318,1320,2636,92,70,162,58,45,100,2540,2627,5164,1832,1304,3132,19130,18882,38008
10106,15209,15738,30944,724,749,1474,722,784,1501,56,51,112,43,44,93,11,11,22,11,12,25,17,13,26,4,6,13,387,422,815,0,0,0,1248,1348,2597,55,58,113,21,19,45,2054,2175,4234,1324,1246,2576,18583,19166,37747
10201,69925,74569,144494,2189,2332,4527,8091,8457,16553,126,127,247,131,177,307,25,20,47,46,43,92,21,25,51,17,32,46,20,24,52,0,0,0,8478,8915,17395,384,400,785,223,181,401,11278,11827,23104,4292,4776,9062,85494,91171,176665
10202,65385,69120,134508,1950,2156,4110,7738,8333,16068,93,98,190,152,164,310,20,25,45,30,39,72,10,9,21,11,19,25,22,22,42,0,5,0,8068,8704,16771,232,257,491,229,173,403,10484,11297,21775,4711,5194,9906,80579,85613,166190
10301,18421,18757,37180,980,1009,1986,2348,2603,4949,42,42,80,61,53,117,13,11,20,4,0,13,6,8,18,10,9,27,15,12,25,0,0,0,2498,2746,5244,72,70,144,59,44,107,3607,3869,7481,2477,1469,3952,24517,24099,48610
10302,21354,21544,42896,1358,1511,2868,1229,1236,2461,77,65,144,93,98,192,5,5,11,13,15,24,3,6,5,12,13,22,36,25,66,0,0,0,1473,1446,2916,53,66,123,68,58,125,2954,3079,6032,2594,2552,5146,26899,27180,54079
10303,18740,18619,37362,1134,1236,2370,1513,1546,3064,19,23,41,78,84,161,8,9,17,11,7,24,9,10,19,6,4,13,9,10,17,0,0,0,1656,1700,3355,59,60,116,53,40,95,2900,3029,5927,2242,1847,4091,23882,23502,47375
10304,23565,24643,48209,1346,1414,2758,2411,2470,4882,55,53,110,104,112,214,16,17,30,24,17,40,7,3,9,11,12,27,17,18,33,0,0,0,2646,2703,5351,112,115,220,67,62,131,4162,4292,8460,1862,1933,3793,29592,30862,60455
10401,20448,21088,41533,1301,1383,2678,1375,1484,2860,100,101,198,257,282,532,3,6,13,26,30,56,15,12,24,19,20,42,7,6,13,0,0,0,1807,1945,3747,67,74,138,63,70,129,3233,3467,6692,2929,2065,4989,26606,26620,53222
10402,35096,37405,72507,1649,1856,3510,3447,3791,7240,211,227,436,314,361,672,28,29,52,43,30,68,43,45,88,25,30,60,45,53,103,0,0,4,4160,4560,8721,199,230,433,157,156,306,6165,6804,12972,2997,3143,6141,44263,47353,91612
10501,7614,7385,14998,519,585,1095,488,511,997,34,40,72,72,83,153,13,14,23,16,9,26,6,8,12,0,3,8,0,5,6,0,0,0,630,671,1302,41,34,68,29,23,54,1216,1306,2521,1879,1936,3809,10706,10617,21325
10502,7521,7782,15304,567,666,1228,260,266,524,47,49,95,39,36,68,85,76,159,7,10,16,10,12,17,16,8,20,9,11,15,0,0,0,465,460,923,25,33,56,31,27,60,1079,1182,2267,1049,1053,2103,9653,10019,19674
10503,26910,28041,54954,1377,1559,2933,2772,2931,5695,80,66,141,138,157,298,16,14,32,17,28,46,9,11,20,23,23,45,24,15,42,0,0,0,3077,3245,6316,142,126,263,121,98,223,4718,5023,9738,4574,3822,8393,36206,36883,73085
10601,38045,38575,76619,1994,2252,4248,3888,4028,7919,105,55,157,246,156,405,37,7,48,44,24,68,22,4,27,25,16,47,32,10,45,0,0,0,4393,4312,8703,131,110,241,136,108,250,6656,6785,13447,4218,2442,6662,48924,47801,96725
10602,33562,35277,68841,1065,1112,2181,4796,5339,10129,90,72,157,128,148,274,19,29,52,38,29,63,14,17,28,44,34,77,26,21,50,0,0,0,5154,5682,10833,113,128,239,117,129,245,6452,7050,13501,1741,1710,3454,41755,44042,85793
10603,30130,31094,61218,1479,1579,3059,2897,2919,5815,89,81,172,149,166,319,31,27,59,19,21,40,15,17,33,38,48,89,40,33,75,0,0,0,3283,3312,6590,161,161,316,76,84,155,4993,5132,10120,2226,2183,4413,37349,38409,75754
10604,11881,11679,23562,862,909,1776,1000,1095,2087,15,27,44,87,79,162,10,8,18,9,11,24,0,0,0,6,6,15,0,0,0,0,0,0,1123,1229,2352,78,60,133,45,39,83,2109,2233,4346,1337,1001,2338,15327,14917,30243
10701,32721,33760,66480,829,872,1704,2985,3211,6190,55,64,117,55,42,98,13,6,23,12,13,24,9,6,15,0,4,3,20,26,45,0,0,0,3149,3370,6514,106,114,220,100,78,171,4178,4428,8610,1839,1903,3739,38733,40093,78827
10702,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9
10703,39410,41244,80657,1475,1562,3031,4055,4484,8539,69,72,142,94,99,196,6,4,12,23,20,45,12,13,28,10,9,19,47,54,106,0,0,0,4315,4764,9077,148,156,302,108,118,228,6040,6595,12642,2429,2419,4842,47883,50251,98137
10704,52848,54254,107104,2108,2093,4206,6747,7216,13960,157,147,302,137,145,281,17,33,53,25,31,52,31,24,59,15,21,32,110,132,240,0,0,0,7240,7744,14975,370,371,744,171,117,289,9892,10329,20215,2902,3086,5989,65640,67663,133305
10801,12569,13362,25927,658,739,1402,1336,1379,2718,23,37,60,61,52,115,8,4,11,11,12,23,7,4,4,0,9,11,4,13,17,0,0,0,1448,1508,2955,45,43,87,44,61,101,2197,2350,4546,1277,1343,2620,16042,17056,33092
10802,19524,20319,39846,906,1037,1935,1456,1530,2985,64,61,121,162,171,338,8,7,14,14,15,30,3,0,7,6,9,16,16,19,28,0,0,0,1728,1823,3550,55,56,105,89,53,143,2778,2966,5738,2874,2251,5121,25174,25529,50706
10803,173,181,355,10,6,16,15,17,26,0,0,0,0,0,3,0,0,0,0,0,0,0,5,3,0,0,0,0,0,3,0,0,0,21,19,35,0,0,0,0,0,0,28,28,58,16,15,34,216,225,442
10804,33045,35945,68991,1566,1630,3198,3655,4211,7870,129,143,271,198,210,411,24,14,36,39,41,72,14,16,36,14,16,35,49,45,89,3,5,7,4127,4700,8829,148,150,296,130,128,254,5969,6602,12570,2189,2272,4462,41203,44825,86023
10805,21950,22937,44882,1222,1412,2634,2016,2129,4146,47,53,99,104,106,205,6,10,14,12,14,31,7,9,17,12,11,23,8,14,23,0,0,0,2215,2347,4559,47,56,107,74,58,133,3556,3879,7433,2228,2299,4532,27738,29114,56846
10901,25312,26773,52086,1189,1258,2450,2199,2417,4614,956,1051,2002,137,132,270,17,14,30,14,29,44,21,16,42,13,10,26,28,28,57,0,0,0,3379,3697,7084,123,128,252,74,59,136,4771,5147,9913,2159,2080,4243,32235,33998,66239
10902,5023,4760,9787,240,248,486,142,152,293,227,225,447,15,15,26,12,10,18,7,9,17,0,0,0,4,3,11,0,0,5,0,0,0,411,411,824,40,25,65,14,4,22,705,685,1395,915,814,1730,6645,6266,12912
10903,16705,17014,33723,998,1051,2046,473,484,958,948,997,1950,78,64,143,9,13,32,19,20,39,0,3,5,9,8,12,13,13,18,0,0,0,1547,1610,3159,56,56,111,44,42,87,2639,2763,5397,1991,1922,3910,21335,21703,43036
11001,13259,14064,27324,1474,1546,3023,1055,1249,2306,50,53,107,164,188,348,20,13,33,20,18,43,8,5,11,7,12,22,11,17,29,0,0,0,1339,1561,2896,93,84,173,33,42,73,2930,3236,6166,1725,1931,3656,17919,19230,37152
11002,14432,14890,29317,1056,1161,2219,853,951,1807,36,23,55,288,311,603,6,9,20,13,9,22,15,4,17,4,5,11,4,5,6,0,0,0,1216,1320,2542,75,65,141,34,39,75,2385,2590,4971,2102,1983,4087,18915,19460,38378
11003,8767,8680,17440,588,592,1181,568,582,1154,30,29,60,133,150,280,5,9,17,5,4,14,0,9,5,3,0,4,0,6,4,0,0,0,752,789,1534,19,24,37,23,27,48,1377,1429,2802,2108,2066,4180,12251,12175,24421
11004,31557,32648,64205,2063,2207,4276,3362,3555,6911,82,68,150,225,243,468,10,14,23,17,15,30,11,16,28,17,15,29,13,12,24,0,0,0,3731,3933,7657,155,133,290,110,109,218,6058,6385,12443,3466,3450,6916,41082,42480,83561
11101,51298,53762,105063,1404,1464,2869,5104,5687,10795,105,103,216,123,141,268,20,24,42,28,27,56,14,17,32,24,22,42,30,42,72,5,3,11,5456,6075,11534,202,202,402,125,124,251,7188,7866,15057,2425,2581,5007,60917,64209,125126
11102,33706,35295,69000,1063,1147,2213,3907,4226,8130,52,52,109,76,81,163,24,23,47,28,29,60,13,10,21,13,9,22,20,18,39,0,0,0,4139,4458,8595,120,139,253,151,144,297,5476,5885,11359,1834,1898,3734,41019,43075,84093
11103,67725,69969,137695,2376,2515,4885,10579,11519,22103,298,286,582,310,321,624,47,48,99,60,55,109,56,51,108,43,62,103,105,105,207,6,3,5,11501,12442,23946,587,578,1159,345,252,600,14810,15785,30595,4357,4381,8738,86898,90126,177024
11201,32202,34168,66364,1834,2083,3915,3123,3677,6803,361,426,794,446,562,1008,38,43,81,42,43,78,29,26,57,20,9,35,19,20,43,3,0,3,4080,4817,8898,289,301,593,176,170,345,6388,7371,13750,3312,3522,6836,41900,45058,86960
11202,27578,28511,56092,1203,1334,2540,2303,2457,4761,117,132,244,338,354,691,31,16,50,31,25,57,25,18,40,12,13,29,13,15,33,0,0,0,2870,3030,5904,129,121,247,102,103,209,4309,4587,8897,3154,3121,6272,35039,36223,71258
11203,36597,39498,76099,1423,1615,3040,2890,3149,6033,235,271,499,1297,1435,2728,32,36,68,32,40,74,16,21,32,32,33,62,17,26,44,0,0,3,4541,5004,9545,211,250,463,185,149,329,6361,7014,13382,3423,3644,7062,46385,50157,96541
11301,19374,19386,38757,1369,1386,2754,1001,1045,2043,174,155,327,95,92,187,26,24,45,8,10,19,6,14,17,9,7,14,26,29,56,0,0,0,1348,1366,2712,111,101,215,49,32,80,2875,2885,5766,2292,2151,4440,24538,24419,48960
11302,5894,5857,11752,334,395,728,308,303,606,41,43,79,34,39,68,6,5,12,4,3,5,5,3,3,5,3,8,21,28,45,4,0,6,416,415,830,26,24,52,10,10,20,784,853,1636,772,625,1394,7453,7331,14784
11303,37276,38822,76099,1942,2219,4164,3703,4110,7815,353,378,733,384,342,725,110,108,215,51,46,98,23,28,47,44,42,84,147,139,284,0,0,0,4810,5188,9998,266,168,432,111,106,221,7128,7684,14811,3936,3058,6998,48341,49568,97909
11401,41695,43170,84866,2134,2296,4430,4032,4232,8258,157,149,305,168,181,348,20,19,39,74,57,132,22,16,41,37,40,81,133,153,283,15,3,17,4647,4852,9501,142,164,309,121,112,229,7049,7428,14476,4335,3601,7932,53080,54199,107278
11402,20014,21636,41649,894,1014,1908,2465,2662,5128,46,47,88,54,57,108,6,7,15,23,17,40,6,6,13,0,0,0,31,47,76,0,0,0,2628,2849,5474,108,127,234,49,45,91,3680,4028,7703,1371,1470,2838,25055,27139,52198
11501,64315,66747,131064,1111,1189,2299,7010,7264,14270,120,115,239,75,82,153,32,40,75,23,33,53,11,13,26,3,5,10,28,20,45,0,0,0,7305,7572,14873,713,693,1409,80,84,159,9207,9533,18740,1752,2019,3778,75275,78301,153576
11502,12025,11881,23906,250,255,501,1113,1081,2192,13,17,30,10,16,32,0,0,0,5,8,11,0,0,0,0,0,0,0,3,3,0,0,0,1144,1119,2269,59,57,123,17,17,29,1470,1453,2923,467,421,893,13968,13753,27718
11503,10844,10502,21344,302,298,597,843,889,1731,12,12,19,25,10,40,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,885,912,1797,24,32,58,27,24,49,1235,1266,2502,490,396,887,12576,12161,24739
11504,21713,22014,43721,635,637,1269,4272,4417,8687,37,34,73,30,31,58,6,5,12,12,12,26,0,0,0,9,3,11,13,16,25,0,0,0,4380,4517,8899,187,201,389,31,38,65,5227,5401,10625,821,691,1515,27760,28105,55863
11601,57607,57369,114976,1575,1480,3058,6647,6431,13077,152,107,258,86,97,175,15,14,34,20,19,40,5,11,19,16,9,22,30,28,57,0,0,0,6965,6713,13679,481,526,1006,159,126,282,9178,8843,18023,3946,3812,7755,70733,70022,140752
11602,54380,55234,109610,1318,1305,2624,10249,10440,20691,126,128,255,101,88,190,24,24,46,30,29,68,10,11,18,17,13,33,23,21,43,0,0,0,10575,10761,21336,500,544,1041,109,82,193,12501,12697,25190,3565,2187,5759,70451,70112,140559
11603,45990,47401,93394,1196,1267,2464,4020,4294,8316,66,58,119,66,84,150,16,18,35,10,14,30,4,5,9,10,3,8,18,10,27,0,0,0,4212,4490,8697,252,280,529,140,116,261,5801,6143,11946,4240,4512,8756,56034,58066,114099
11701,20637,20735,41372,1626,1567,3192,4360,4369,8726,103,100,196,76,89,173,12,16,33,36,22,58,7,5,12,14,4,14,29,32,64,0,0,5,4637,4645,9280,315,340,656,128,76,205,6705,6628,13336,1673,1584,3259,29016,28949,57968
11702,20134,20569,40702,732,792,1523,4078,4182,8260,110,107,212,69,65,136,6,10,16,26,27,48,17,12,29,5,3,5,41,31,74,0,0,0,4346,4444,8791,246,258,508,94,73,163,5422,5566,10990,1364,1139,2499,26919,27273,54192
