SA3_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
10102,0,4,4,108,162,270,6,0,3,3,0,3,27,18,49,13360,10949,24309,656,1035,1688,329,6,338,225,24,246,98,22,121,88,40,125,333,376,712,15225,12636,27861,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,4,0,4,7,0,8,0,0,0,0,7,3,21,33,52,14,24,41,4,8,13,40,74,112,156,94,245,197,168,368,0,0,4,3,9,14,9,3,12,16,13,27,1591,2130,3725,1309,2134,3444,72,48,120,18413,17132,35548
10103,0,7,13,28,6,32,3,0,3,0,0,0,5,5,12,3377,2881,6259,244,280,525,87,0,87,34,0,38,23,10,27,64,31,89,346,356,706,4207,3580,7788,3,0,3,0,0,0,0,0,0,14,12,27,3,0,8,0,0,0,20,16,34,0,0,0,0,0,0,0,0,6,4,3,3,0,0,0,6,0,8,48,30,76,74,45,119,0,0,6,0,0,0,3,0,3,3,4,9,686,728,1411,511,646,1149,52,40,88,5523,5044,10569
10104,0,3,3,52,51,105,4,3,4,0,3,6,13,10,21,9878,9321,19196,613,678,1283,401,13,419,96,14,109,104,60,162,109,49,154,566,586,1156,11833,10787,22624,0,0,0,0,0,0,0,0,0,8,4,6,0,0,0,0,4,4,8,8,9,0,0,0,0,0,0,3,4,7,3,7,15,0,0,0,11,12,23,110,37,152,130,53,182,0,0,0,0,0,0,4,5,10,4,3,12,1569,2099,3677,1332,2034,3360,166,142,307,15043,15123,30166
10105,13,0,12,32,17,44,0,0,0,0,0,0,14,21,34,6089,5280,11367,431,458,895,230,11,249,59,4,59,32,4,35,60,17,82,308,284,591,7262,6103,13367,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,3,8,11,60,33,97,69,45,111,0,0,0,4,0,4,8,0,8,10,0,10,893,1040,1933,672,1103,1773,70,54,122,8976,8341,17320
10106,3,0,3,30,26,57,3,0,3,0,5,5,7,5,12,5915,5378,11294,371,410,777,277,19,293,57,10,66,19,3,31,85,33,119,371,320,690,7137,6211,13346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,6,3,10,6,0,0,0,10,17,21,67,40,111,81,56,136,0,0,0,4,5,6,10,0,7,9,4,12,1196,1388,2581,604,1003,1606,75,63,140,9098,8719,17820
10201,520,316,841,200,282,482,25,0,21,0,4,6,25,32,55,20060,15807,35871,1062,1343,2414,507,13,521,216,17,234,121,45,163,188,133,319,560,626,1187,23491,18627,42112,158,116,281,0,6,7,0,0,5,186,75,256,22,17,43,31,14,46,406,227,634,0,9,12,0,0,0,10,13,18,15,26,49,8,15,20,34,64,97,225,86,313,670,376,1051,64,40,104,10,10,19,10,3,19,89,50,143,11004,13020,24018,4793,7398,12191,192,165,358,40242,39637,79875
10202,186,97,285,163,202,369,4,0,5,0,0,5,4,14,15,21800,16732,38537,1302,1214,2516,658,11,671,195,18,214,92,23,107,157,103,257,345,404,749,24909,18817,43725,72,45,110,3,0,0,0,0,0,102,35,132,15,13,29,12,5,11,197,93,289,0,0,0,0,0,0,7,7,16,14,28,46,7,3,11,32,40,78,218,86,306,448,224,673,35,25,64,3,0,8,6,0,6,42,26,72,5723,8686,14410,4633,7118,11753,173,154,323,35930,35028,70958
10301,4,0,9,30,32,59,5,0,4,0,0,0,31,31,60,7925,7064,14996,573,630,1202,218,5,225,54,8,66,47,12,56,58,22,81,407,338,741,9349,8138,17490,0,6,6,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,5,5,8,0,0,0,0,0,0,4,0,3,4,5,7,0,6,6,9,12,13,79,43,117,83,56,141,0,0,0,0,0,4,6,0,7,6,3,15,1155,1552,2711,999,1429,2426,70,58,127,11658,11239,22900
10302,6,0,6,123,49,170,3,0,5,0,0,0,23,18,37,7850,7027,14876,619,546,1167,322,16,338,90,15,110,52,10,66,143,39,179,636,548,1186,9874,8265,18140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,8,3,12,4,0,4,0,0,0,10,5,18,115,31,146,132,36,164,0,0,0,0,0,0,6,5,12,9,3,16,1381,1442,2817,743,1198,1940,126,101,226,12263,11044,23302
10303,5,5,10,20,19,37,0,0,3,0,0,0,12,10,22,7081,5832,12912,475,419,896,205,5,217,59,8,71,36,9,45,49,24,78,399,406,801,8347,6748,15091,6,0,6,0,0,0,0,0,0,3,3,6,0,0,0,0,3,3,10,3,16,0,0,0,0,0,0,0,0,0,5,6,9,0,0,0,4,3,6,90,54,146,101,69,169,0,5,5,0,0,0,4,0,8,4,5,7,1006,1316,2323,1053,1451,2500,72,85,157,10580,9664,20246
10304,0,6,7,69,39,106,6,0,4,0,0,0,28,45,75,10112,9254,19368,729,738,1470,272,8,276,66,11,82,57,20,79,73,49,123,437,381,817,11854,10545,22405,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,14,0,15,6,0,8,0,4,4,16,9,33,98,54,152,120,68,189,0,0,0,0,0,4,3,0,3,5,0,14,1558,1946,3509,1102,1707,2805,81,77,156,14719,14348,29064
10401,5,0,5,26,33,59,0,0,0,0,0,0,13,11,18,6519,6251,12767,468,448,914,231,9,242,62,3,69,119,46,168,62,29,93,401,352,751,7900,7184,15086,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,3,0,3,6,0,6,0,0,0,15,0,15,94,47,139,108,50,152,0,0,0,0,5,3,4,0,4,6,7,7,874,1154,2027,886,1273,2155,96,83,181,9871,9749,19616
10402,10,3,9,107,124,224,4,0,4,0,0,0,15,33,47,13022,12629,25651,949,1123,2069,348,8,354,195,32,230,188,59,250,105,53,159,498,542,1042,15441,14600,30044,0,6,6,0,0,0,0,0,0,8,4,4,0,0,0,6,0,6,11,7,17,0,0,0,0,0,0,6,4,10,5,19,18,0,0,3,9,21,31,130,79,212,144,105,255,0,0,0,5,4,7,10,0,10,18,4,20,2046,2637,4686,1653,2666,4314,130,132,260,19428,20147,39577
