SA3_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
11503,10248,10019,20268,4485,2629,7115,1521,2713,4229,798,872,1668,227,146,376,7029,6359,13384,2793,3308,6103,3.2,2.3,2.8,68.6,63.5,66,66.4,62,64.2,299,477,780,111,285,397,861,1480,2332,789,1347,2138,3725,1522,5252,70,192,266,178,306,484,3972,2028,5998,10844,10502,21344,1235,1266,2502,8074,7826,15904,3393,3338,6732
11504,20973,21686,42659,11188,7407,18590,2789,5119,7904,1404,1860,3265,601,522,1127,15989,14902,30885,4276,6153,10425,3.8,3.5,3.7,76.2,68.7,72.4,73.3,66.3,69.8,2095,2151,4244,368,558,925,4245,5603,9842,2020,2622,4644,4352,1970,6320,107,263,372,309,520,833,4768,2757,7520,21713,22014,43721,5227,5401,10625,10509,10400,20915,14577,15216,29786
11601,57239,57410,114649,20732,14816,35546,7507,10108,17620,5252,3893,9143,2251,1899,4154,35740,30719,66464,18027,23360,41385,6.3,6.2,6.2,62.4,53.5,58,58.5,50.2,54.3,4469,4611,9075,686,1090,1770,9542,11596,21139,5174,5501,10677,9504,5231,14732,454,755,1216,857,1278,2129,10814,7269,18082,57607,57369,114976,9178,8843,18023,37623,38177,75808,25010,24183,49191
11602,53118,53689,106805,26210,19253,45460,6359,10770,17126,4520,4112,8634,1611,1684,3296,38698,35816,74513,12422,15889,28307,4.2,4.7,4.4,72.9,66.7,69.8,69.8,63.6,66.7,6827,6634,13459,890,1309,2193,12371,15005,27379,4825,5421,10251,7608,4429,12038,323,596,914,740,1009,1752,8674,6036,14708,54380,55234,109610,12501,12697,25190,27249,27606,54862,34650,35513,70164
11603,43027,45438,88464,14356,10365,24717,4990,7078,12073,3773,2845,6624,1900,1591,3491,25021,21878,46901,14597,20049,34643,7.6,7.3,7.4,58.2,48.1,53,53.7,44.6,49.1,1814,1804,3620,284,573,851,5123,6722,11843,3079,3713,6789,7102,4901,12008,360,701,1065,651,907,1555,8114,6510,14623,45990,47401,93394,5801,6143,11946,30982,31900,62882,17119,18196,35311
11701,24866,25026,49894,10155,7904,18058,3901,4934,8837,1740,1839,3578,884,802,1687,16675,15479,32151,6612,8042,14656,5.3,5.2,5.2,67.1,61.8,64.4,63.5,58.6,61.1,2474,2665,5144,303,532,842,5249,6358,11607,2369,2844,5215,3917,1731,5648,161,211,365,350,496,845,4419,2435,6852,20637,20735,41372,6705,6628,13336,11620,12030,23654,14322,14020,28341
11702,23396,24115,47505,10655,9373,20026,3449,4692,8142,1410,1650,3064,794,643,1437,16312,16351,32667,5735,6622,12353,4.9,3.9,4.4,69.7,67.8,68.8,66.3,65.2,65.7,2678,3405,6082,594,954,1548,6436,7743,14180,1931,2190,4115,2652,1313,3969,159,204,363,318,396,715,3129,1914,5047,20134,20569,40702,5422,5566,10990,12664,13100,25766,11810,12078,23889
11703,105310,95807,201122,48836,36854,85689,15380,17118,32505,6300,6616,12913,4160,3477,7631,74676,64067,138743,22504,25146,47654,5.6,5.4,5.5,70.9,66.9,69,67,63.2,65.2,16532,16049,32585,2604,3155,5760,34078,33445,67527,9674,9467,19142,8055,4068,12121,530,627,1159,1195,1310,2506,9780,6003,15781,69916,63311,133223,34686,32963,67656,33160,30045,63199,68098,63274,131367
11801,50888,56934,107824,25048,19995,45044,7416,11255,18672,2433,3415,5850,1251,1317,2569,36153,35987,72140,11661,17487,29145,3.5,3.7,3.6,71,63.2,66.9,68.6,60.9,64.5,7753,7938,15689,1191,1943,3134,17853,21030,38880,3785,5690,9473,4173,1989,6163,190,347,541,672,1030,1705,5035,3366,8402,44393,48043,92435,12219,13963,26180,26036,28636,54672,27963,30833,58798
11802,54815,58755,113575,23267,19407,42671,7731,11905,19633,2964,3804,6764,1677,1405,3083,35637,36511,72153,15808,18974,34775,4.7,3.9,4.3,65,62.1,63.5,62,59.8,60.8,7173,7689,14866,989,1938,2931,13813,17565,31376,4133,6059,10193,7391,3063,10458,285,481,770,757,1208,1970,8440,4756,13190,47699,51143,98841,12492,13433,25927,29966,32780,62748,27325,29078,56403
