SA3_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
10102,5678,3334,1314,306,34476
10103,2115,1415,664,203,11116
10104,9086,8841,3921,1337,41346
10105,3393,2656,1250,447,18907
10106,3384,2568,1184,321,18368
10201,16403,13334,7319,2893,94679
10202,12816,10207,5693,2200,79553
10301,4128,3161,1490,494,24982
10302,4242,3331,1716,593,24047
10303,4250,3327,1672,433,23132
10304,4718,3652,1751,591,29975
10401,5168,4564,2079,700,26424
10402,8699,7540,3536,1255,47568
10501,1695,1091,556,177,9532
10502,1569,1125,506,223,8574
10503,5582,3992,2122,736,35359
10601,7351,5162,2056,567,45371
10602,5931,4093,1880,586,41110
10603,7388,6849,3791,1049,38309
10604,2232,1492,670,254,13737
10701,5724,3875,2012,770,36722
10702,0,0,0,0,3
10703,8422,6735,3065,1195,50154
10704,11689,8337,4149,1610,75475
10801,3391,3607,1974,729,16829
10802,5256,4526,2004,649,24901
10803,56,43,25,4,269
10804,8123,7753,4296,1621,44749
10805,5657,5399,2649,844,27919
10901,5398,4120,1938,609,32784
10902,1085,716,326,100,5728
10903,3677,3270,1740,606,19909
11001,3413,2685,1490,472,19956
11002,3334,2907,1411,403,17491
11003,1947,1229,565,167,11260
11004,6181,4816,2544,868,38726
11101,10938,8692,4544,1578,65180
11102,6957,6245,3407,1319,42742
11103,13883,10138,4933,2180,96914
11201,9083,7978,3226,1183,49627
11202,7047,5509,2205,775,35685
11203,9252,7758,4089,1866,50312
11301,3227,2100,1016,441,20934
11302,1306,944,515,161,6794
11303,7396,5673,2649,1016,46986
11401,10707,10011,4925,1536,56284
11402,5292,5327,3238,1080,29550
11501,14466,10564,5096,2049,88524
11502,2882,2031,1083,367,15102
11503,2519,1562,598,134,12912
11504,3424,1899,715,186,29416
11601,8885,5944,2463,770,70787
11602,7259,4019,1274,255,75640
11603,6404,3729,1505,665,47259
11701,3390,1923,935,293,34076
11702,3795,2112,816,245,34189
11703,14022,8745,3597,1125,159798
11801,10599,8103,4696,2005,84979
11802,10601,6900,3653,1705,82803
11901,10843,6535,3242,1656,80700
11902,8047,4214,2188,1100,65439
11903,10342,6644,3331,1707,71155
11904,9790,5965,3145,1570,81161
