SA3_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
30604,0,5,0,0,0,5,3,11,12,103,112,20,238,4,6,13,249,159,10,417
30605,9,18,0,0,0,19,23,21,61,476,423,76,970,54,45,94,1066,826,37,1929
30701,3,7,0,0,0,9,11,13,37,491,344,50,888,55,33,82,973,655,28,1657
30702,5,13,0,0,0,13,14,23,51,460,405,74,939,43,50,94,1033,726,36,1790
30703,0,8,0,0,0,10,17,20,42,426,414,57,896,47,46,94,989,756,27,1776
30801,3,9,0,0,0,9,6,16,28,394,199,34,637,29,23,56,693,336,18,1048
30803,10,25,0,0,3,28,36,53,110,1817,1313,236,3367,172,139,317,3684,2047,94,5821
30804,0,0,0,0,0,0,11,8,17,165,76,19,264,11,5,12,279,136,5,421
30805,5,16,5,5,4,19,14,25,59,809,579,98,1484,120,106,227,1712,1048,34,2798
30901,5,6,0,0,0,6,4,9,21,786,695,175,1657,55,52,105,1763,896,20,2677
30902,0,8,0,0,0,8,7,18,36,748,691,140,1577,46,48,95,1678,874,24,2578
30903,6,10,0,0,0,10,16,16,45,954,785,218,1954,58,89,152,2104,1375,34,3513
30904,0,0,0,0,0,0,5,9,15,186,181,49,422,10,9,25,444,267,9,718
30905,4,6,0,3,3,7,0,8,23,480,417,88,983,28,26,51,1034,449,19,1500
30906,8,15,0,0,0,18,20,29,63,1075,889,228,2201,72,80,153,2353,1068,48,3469
30907,17,26,0,0,4,35,31,50,113,2548,1705,470,4722,178,152,326,5054,2308,78,7439
30908,5,10,0,0,0,10,8,13,31,956,714,146,1810,58,58,117,1932,862,20,2814
30909,4,13,0,0,0,13,14,18,45,881,723,195,1794,62,81,142,1940,1212,43,3193
30910,0,0,0,0,0,0,8,13,20,430,338,104,871,45,38,78,949,562,18,1534
31001,6,12,0,3,3,16,26,46,92,1161,759,227,2147,129,119,241,2390,1851,72,4318
31002,7,15,0,0,0,15,20,24,57,663,589,167,1419,69,68,140,1563,1364,45,2971
31003,10,23,0,4,4,26,47,47,121,1981,1274,404,3664,206,178,379,4045,2684,79,6813
31004,12,18,0,5,5,16,25,30,79,1890,1098,336,3333,181,150,328,3656,2065,60,5785
31101,4,8,0,0,0,8,7,4,15,154,152,37,345,15,27,41,387,395,9,793
31102,7,15,0,0,0,15,17,20,56,743,543,158,1449,90,78,169,1616,1166,40,2821
31103,13,29,0,0,0,29,20,50,96,1508,1007,311,2824,155,150,302,3126,2028,78,5238
31104,7,24,3,0,3,23,8,19,47,779,503,159,1446,82,66,143,1587,989,30,2611
31105,3,7,0,0,0,9,9,24,36,985,701,203,1891,99,81,184,2068,1262,37,3369
31106,9,12,0,0,0,20,33,46,94,1139,847,217,2204,169,159,321,2525,2122,81,4731
31201,0,0,0,0,0,0,3,7,17,413,232,38,679,28,22,53,729,307,15,1052
31202,18,23,0,0,0,23,27,33,84,1774,1110,183,3065,128,105,233,3295,1540,56,4896
31203,5,10,0,0,0,4,4,0,16,290,211,37,543,19,17,36,574,222,10,806
31301,3,5,0,0,0,12,10,12,33,326,323,100,751,31,27,58,811,716,27,1553
31302,10,20,0,0,0,20,25,33,77,1149,1005,260,2412,153,145,300,2707,2031,49,4795
31303,0,0,0,0,0,0,5,8,13,108,113,36,250,14,7,22,274,217,10,504
31304,7,15,0,0,0,15,17,22,58,1051,807,219,2075,80,98,178,2256,1312,33,3598
31305,5,7,0,0,0,8,12,12,30,984,736,181,1906,74,73,147,2055,1422,34,3506
31401,3,12,0,0,0,12,11,10,32,1312,689,169,2175,40,41,85,2253,808,12,3073
31402,9,21,0,0,0,18,14,15,49,1748,1058,309,3120,96,93,192,3306,1369,38,4717
31403,0,6,0,0,0,11,6,17,35,710,466,105,1280,39,49,85,1372,861,25,2260
31501,4,16,3,0,3,17,25,41,91,421,230,63,706,100,27,125,837,870,65,1764
31502,4,11,0,0,0,11,21,17,54,466,171,62,694,47,30,74,769,579,28,1383
31503,3,3,0,0,0,6,3,10,25,214,130,32,371,10,8,22,391,205,14,614
31601,5,11,0,0,0,11,4,22,34,871,690,148,1704,26,50,81,1786,667,30,2483
31602,3,16,0,0,0,16,15,9,43,1261,1092,275,2629,78,90,167,2791,1395,32,4218
31603,3,9,0,0,0,9,10,17,35,810,717,165,1693,42,44,88,1780,878,35,2696
31605,6,7,0,0,0,9,0,9,17,547,564,137,1250,38,27,67,1313,598,13,1928
31606,7,15,0,0,0,13,15,3,30,603,637,135,1381,26,52,77,1456,885,15,2356
