SA3_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
30402,4430,9269,1857,1981,2819,1672,461,1015,292,23788
30403,3853,11588,1787,3002,3219,2169,683,1553,368,28229
30404,4228,9324,2761,3454,3664,1994,893,1464,376,28154
30501,7543,19454,4157,5824,6206,3645,1412,3476,894,52614
30502,4970,9281,2234,2306,3452,1847,694,1216,394,26396
30503,9762,22563,4690,5849,7827,4547,1595,3123,924,60877
30504,5825,14870,2391,3327,4147,2562,646,1504,455,35730
30601,3668,7024,4266,4256,3510,2753,1330,2435,458,29708
30602,4869,8995,7411,7469,5843,4662,2996,5236,864,48355
30603,2114,1699,1970,1630,1409,1083,1298,2792,330,14312
30604,784,728,922,930,558,567,295,853,137,5780
30605,2475,2685,2464,2300,1866,1439,1199,2643,436,17515
30701,4544,2421,2730,1834,2178,1393,2005,3138,429,20670
30702,3505,2111,2887,1911,2059,1391,1726,2937,350,18880
30703,2826,2270,2213,2096,1814,1467,1467,2810,348,17311
30801,2137,1633,2391,1081,1400,1049,2487,1901,307,14383
30803,5209,9089,8938,7489,6626,4692,5272,6255,1028,54606
30804,1377,747,1096,536,658,436,1031,1009,162,7053
30805,2652,4116,5876,3086,2904,2297,3472,3528,634,28565
30901,5180,8313,4454,4422,4078,3392,1130,2459,681,34105
30902,3764,6721,4267,3839,3338,2711,1151,2352,560,28709
30903,3892,5938,4293,3916,4074,3401,1668,2955,597,30735
30904,1413,1960,1623,1159,1098,637,474,915,196,9485
30905,2505,4097,2607,2090,2313,1807,700,1418,389,17939
30906,4026,6219,5541,4440,4551,3609,2052,3464,699,34605
30907,10303,13286,11866,9463,10346,8029,5425,7507,1617,77848
30908,3321,6227,3370,3605,3554,3091,1047,2187,517,26926
30909,3170,6490,4102,4493,3614,3322,1558,3286,645,30684
30910,3301,4454,2468,2701,2445,2420,875,2258,481,21423
31001,2948,6724,4055,4541,4186,2551,3307,4070,737,33112
31002,3661,3345,4540,3672,3343,2238,2824,3915,578,28109
31003,5282,8832,7838,7351,7200,4758,4436,5849,982,52525
31004,4613,8397,6433,6661,6804,4115,5285,5646,1095,49043
31101,767,616,893,681,676,478,589,855,147,5700
31102,1779,2472,3153,2574,2676,1786,2090,2848,458,19837
31103,3317,4455,6118,5283,5462,3490,5991,5609,967,40691
31104,3359,3837,5442,3335,4396,2479,3043,3114,674,29677
31105,3074,4809,4556,3459,4172,2647,2554,3215,632,29109
31106,2961,5823,4606,3818,4262,2642,3290,4262,715,32388
31201,2042,1677,2838,1239,1547,922,3387,2483,393,16526
31202,5811,8859,11826,6065,6833,4952,7373,5994,1252,58955
31203,1591,1466,2163,1647,1192,1124,1113,1555,212,12067
31301,1344,1752,1881,1671,1553,1250,901,1422,244,12020
31302,3042,3826,5254,4841,4059,3233,3104,5483,730,33573
31303,795,643,952,741,657,415,532,1107,147,5995
31304,3322,4498,5340,4368,4549,3128,2680,3739,605,32217
31305,3244,5005,3874,3739,3821,2291,1878,2813,496,27154
31401,7247,12447,6524,5388,7251,3863,1918,2881,672,48193
31402,4768,8266,5856,6287,6395,4205,3283,4108,810,43983
31403,1689,3009,3075,2512,2934,1716,1525,2092,372,18930
31501,1694,1836,1516,1503,1208,598,1095,1453,383,11292
31502,1613,2203,2641,1409,1498,811,2030,1772,356,14329
31503,1969,1023,986,860,918,456,602,1482,233,8530
31601,3526,6730,3803,4011,3431,3040,1158,2362,447,28515
31602,5181,9503,6483,6003,5530,4313,2102,4177,711,44011
31603,3830,6550,4554,4289,3687,2825,1309,2871,544,30458
31605,3203,4550,2797,2710,2151,2250,652,1812,383,20507
31606,3525,5217,4596,3269,3247,2292,1634,2921,518,27233
31607,2688,4235,3860,3051,2736,2074,1425,2732,410,23214
31608,1482,2011,1769,1357,1167,923,525,1134,237,10614
31701,8072,15376,10725,10207,9463,6587,4643,9107,1244,75433
31801,2653,2113,2653,1961,1777,1356,1972,2594,405,17478
31802,9541,18553,13685,15164,11605,8064,7006,8776,1622,94009
31901,4049,5775,5076,5233,4189,3461,2903,5695,669,37052
31902,3209,2119,2245,2226,1685,1431,1608,3437,431,18390
31903,2494,2528,3111,2635,2284,1998,1831,3006,438,20316
31904,2064,4087,3063,3907,2403,2331,1270,2463,409,21999
31905,1521,1987,2305,2424,1967,1496,1361,2153,341,15562
39797,0,10,0,0,0,0,0,17,0,29
39999,290,488,386,429,275,208,319,732,98,3219
40101,1728,4736,1000,1687,1478,878,236,716,197,12644
40102,6522,10193,5744,4753,4763,3252,1638,3431,643,40927
40103,3802,8891,1481,2015,2726,1669,391,1013,324,22310
40104,3224,7532,3286,3274,3937,2519,1123,2207,392,27494
40105,2790,6960,1708,2073,2396,1452,552,1166,257,19346
40106,2472,5575,1466,1605,2037,1284,530,1019,226,16210
40107,3297,7736,1528,1967,2267,1476,351,1015,281,19908
40201,2046,2688,3009,2379,2425,1651,1507,2016,335,18050
40202,3601,4182,5751,5989,4854,3814,4456,6195,963,39800
40203,3786,8712,4754,5055,4586,2857,2470,4063,666,36945
40204,5595,8833,9224,9418,8072,5523,6166,9202,1400,63436
40205,5546,9933,7199,6348,7440,4323,2669,4000,793,48239
40301,2832,5074,1812,2267,2335,1449,521,1000,275,17567
40302,5304,12214,6356,7225,6770,4082,2025,3845,824,48647
40303,5170,11612,3200,3788,3940,2553,803,2026,406,33504
40304,8913,14618,13490,12248,11290,7818,4641,8530,1399,82951
40401,7600,14286,7494,7284,8486,5163,3193,4990,1000,59496
