SA1_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
10102100701,3,0,3,0,0,0,3,3,0,24,0,0,3,3,6,0,4,0,0,19,0,0,4,3,3,8,0,0,0,25,0,0,0,0,3,7,0,0,0,10,0,0,4,0,6,4,0,0,0,14,0,0,4,0,0,3,0,0,0,6,0,0,3,7,5,9,0,0,0,23,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,5,5,0,7,6,5,0,25,23,3,36,30,49,57,48,22,5,276
10102100702,0,0,3,0,0,7,0,0,0,16,0,0,0,0,3,3,3,3,0,13,0,0,0,4,3,7,8,3,0,24,0,0,7,5,6,4,7,0,0,20,0,0,0,3,3,0,0,0,0,8,0,0,0,5,4,3,0,0,0,15,0,0,0,3,3,7,0,6,0,22,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,4,0,0,6,0,7,6,4,5,0,29,14,15,21,24,45,69,38,34,4,269
10102100703,3,0,4,0,7,0,4,0,0,20,0,5,3,9,10,3,3,5,0,33,0,7,11,0,4,4,4,0,0,42,0,0,0,9,4,3,3,0,0,24,0,0,3,6,5,3,4,0,0,23,0,0,4,6,0,0,0,0,0,15,0,0,4,12,9,8,3,0,0,32,0,0,4,0,0,0,0,0,0,3,0,0,0,6,0,3,0,0,0,4,6,6,0,3,3,8,4,5,4,35,30,13,43,63,54,54,55,46,9,371
10102100704,0,0,4,7,4,9,11,10,3,42,0,0,5,3,4,13,6,4,6,37,0,0,4,0,10,0,8,4,0,39,0,0,3,6,0,3,6,6,0,24,0,0,0,3,5,0,3,3,0,15,0,0,0,9,5,3,0,0,0,20,0,0,3,4,10,4,3,0,0,22,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,8,0,0,3,3,7,0,11,11,0,44,11,14,40,49,66,66,82,86,33,449
10102100705,0,5,7,4,8,0,7,4,0,30,0,0,3,6,3,5,3,3,0,23,0,0,9,6,6,3,3,4,0,29,0,4,0,4,0,9,0,0,0,16,0,0,8,0,4,6,0,3,0,20,0,0,5,0,7,3,0,0,0,16,0,0,11,12,7,5,0,0,0,31,0,0,0,0,0,7,0,0,0,9,0,0,0,4,0,0,0,0,0,3,5,0,9,3,6,6,3,3,0,40,14,19,54,48,54,62,58,50,3,354
10102100706,0,0,0,0,3,0,0,6,0,14,0,0,0,0,0,0,0,3,0,14,0,5,0,3,9,12,0,0,0,33,0,0,0,0,0,0,0,0,0,11,0,0,0,0,4,7,0,0,0,10,0,0,0,5,0,4,0,0,0,8,0,0,6,6,5,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,9,5,6,7,0,0,23,3,8,23,40,37,52,45,17,0,227
10102100707,5,0,8,3,4,9,11,6,4,44,0,4,4,4,5,6,11,3,0,37,0,0,0,3,6,11,3,0,0,25,0,0,0,3,5,5,4,0,0,15,0,0,0,3,0,4,4,4,0,17,0,0,0,0,4,5,0,0,0,8,0,0,6,0,13,5,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,10,0,0,0,3,0,6,4,0,0,26,12,11,35,37,52,90,77,32,9,349
10102100708,0,3,0,0,0,10,6,3,0,35,0,0,4,6,11,3,8,0,0,44,0,4,0,8,10,8,10,0,0,41,0,6,8,0,3,8,3,0,0,29,0,0,5,5,12,8,0,0,0,29,0,0,0,0,3,5,0,0,0,14,0,0,0,5,20,9,4,0,0,45,0,0,3,3,3,5,0,0,0,14,0,0,0,5,5,7,5,0,0,23,3,0,3,0,7,14,15,10,3,64,21,14,45,56,116,113,112,37,15,526
10102100709,0,5,0,0,3,3,0,0,3,19,0,3,6,6,5,4,0,0,0,20,0,0,11,0,8,6,0,0,0,34,0,4,4,3,11,3,0,0,0,23,0,0,5,0,8,7,0,3,0,25,0,0,3,8,3,4,0,0,0,24,0,0,9,22,16,6,0,0,0,44,0,0,0,0,3,0,0,0,0,4,0,0,4,0,4,5,0,0,0,14,0,0,6,3,9,10,0,0,0,27,20,6,48,57,72,89,25,14,0,346
10102100710,0,0,0,8,8,5,7,3,0,29,0,0,4,4,9,3,3,4,0,27,0,0,0,4,11,14,10,4,0,43,0,0,5,0,11,15,6,0,0,31,0,0,0,5,11,10,3,4,0,24,0,0,0,0,5,0,4,0,0,13,0,0,0,4,8,7,4,0,0,15,0,0,0,0,4,0,0,0,0,9,0,0,0,0,7,0,4,0,0,13,5,0,3,3,8,12,5,10,0,34,20,8,26,49,95,126,95,45,6,475
