GCCSA_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
1GSYD,1733,5259,236,203000,4661,1026,840,3655,1277,3088,690,1410,1149,4084,15504,37374,385,81,409,308,170,245,87,104,260,690,2817,5551,152564,31271,13251,138199,41865,107839,17523,40369,20202,84673,20014,667760
1RNSW,296,784,75,50165,4119,695,294,3649,588,1519,325,872,303,1688,10987,25037,241,33,172,271,84,91,30,31,84,295,892,2232,69120,14911,3371,89077,14642,36269,5337,14154,4098,23213,12645,286830
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,721,2742,198,154314,5080,1028,646,5062,882,3177,502,1481,811,3007,15023,36696,491,85,385,557,186,280,78,89,208,493,2284,5135,145387,29887,5681,177319,27658,108427,8266,36212,8587,55170,18987,621573
2RVIC,134,282,43,23700,2152,468,206,2372,299,984,199,452,205,893,5226,13465,178,22,149,194,52,75,37,32,48,185,552,1536,34059,8534,2036,55866,8089,21599,2917,7711,2209,11499,6224,160744
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,423,894,86,71123,2984,428,293,2300,572,1476,281,624,369,1361,10788,21473,201,23,178,179,75,92,27,24,65,168,930,1960,77049,12584,3603,79746,17956,47169,5338,14310,4803,21400,12320,296285
3RQLD,304,637,69,42187,3890,602,401,3096,620,1518,301,719,351,1510,17572,30581,315,34,245,250,76,104,36,45,105,249,1108,2566,63802,12833,3407,75648,12907,36623,5180,12916,4282,20053,19398,267037
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,140,426,35,29812,1660,312,114,1724,215,810,144,404,164,792,5719,12046,74,19,65,108,41,48,11,17,38,106,348,876,35904,8746,1290,51552,6419,23065,2331,8915,1698,13304,6436,159659
4RSAU,31,65,12,3626,698,108,44,778,78,207,36,134,41,217,2129,4477,38,8,27,35,9,19,7,8,13,53,126,335,7510,1839,439,11979,1420,4605,653,1837,501,2920,2376,36077
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,524,875,88,63859,2691,492,281,2791,408,1536,252,656,303,1226,20812,31451,154,15,159,157,58,71,24,20,66,100,814,1640,54911,10780,2239,80774,9939,45159,3684,11944,3467,15652,22172,260717
5RWAU,138,65,19,8977,1111,170,70,1018,135,394,80,141,77,372,5225,8789,48,8,37,57,17,23,13,13,18,53,233,517,11216,2112,673,16037,2027,7987,1031,2027,904,3337,5600,52952
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,32,78,3,4482,369,99,25,327,46,145,22,67,17,143,867,2143,3,0,5,14,0,0,5,0,6,18,58,107,5556,1888,251,8615,1082,3214,407,1435,276,1972,966,25680
6RTAS,19,40,7,3035,409,93,30,549,64,197,44,101,50,215,1358,3101,14,3,17,20,9,8,3,5,0,31,79,189,5560,1658,336,9867,1199,4159,525,1773,439,2729,1514,29765
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,36,52,5,3752,311,21,18,109,39,86,17,25,20,56,1321,2020,7,0,16,9,3,0,0,0,9,7,51,102,5479,564,193,3402,809,2149,217,521,197,739,1408,15671
7RNTE,7,9,0,931,143,18,11,49,12,63,11,53,18,246,388,1007,10,3,10,0,0,6,0,4,8,47,104,195,1909,295,125,1134,243,1010,66,547,133,2677,559,8698
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,86,337,10,21685,652,50,43,330,75,203,29,74,39,145,1373,3019,38,0,15,11,11,12,0,3,10,16,90,201,19300,2243,621,14769,2941,6975,728,1936,457,2749,1545,54271
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,0,52,11,0,0,9,0,0,0,0,0,0,23,54,0,0,0,0,0,0,0,0,0,0,7,8,117,26,14,109,14,47,5,23,6,18,26,413
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
