GCCSA_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
1GSYD,1290585,1344906,2635497,130796,133868,264665,618157,633405,1251564,12572,12331,24902,13673,13665,27334,3801,3788,7586,5827,5461,11291,1050,1067,2118,1311,1141,2455,4032,4027,8058,46,36,85,660461,674932,1335395,189302,193826,383124,17706,15379,33084,998261,1018000,2016262,135594,131431,267026,2424447,2494341,4918782
1RNSW,720025,739260,1459282,123576,134117,257699,270899,293595,564492,15244,16272,31522,20515,22105,42619,2609,2715,5319,3580,3611,7189,1158,1273,2433,2091,2102,4192,8738,9234,17974,79,81,160,324907,350992,675899,28869,30488,59355,10295,9356,19649,487654,524949,1012599,105223,97304,202527,1312895,1361510,2674410
19499,761,424,1186,221,160,382,1929,1707,3632,110,138,249,225,214,438,30,35,62,37,47,83,14,16,31,19,16,38,33,33,65,0,0,0,2400,2195,4597,373,438,814,56,35,95,3046,2835,5882,2307,1536,3835,6115,4793,10906
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,1223581,1285807,2509392,104308,108387,212701,23494,24349,47843,582689,599336,1182024,14982,15968,30953,7286,7610,14901,9017,8894,17906,3187,3389,6575,2469,2374,4836,3122,3281,6396,20,20,49,646265,665220,1311484,166347,171160,337502,14672,12691,27362,931590,957450,1889045,116295,112373,228666,2271461,2355635,4627098
2RVIC,404091,415291,819380,68610,73746,142352,9832,10824,20661,156013,169395,325403,5714,6174,11891,2662,2909,5580,2284,2273,4565,1175,1300,2473,1418,1469,2889,766,779,1545,12,5,15,179870,195138,375005,16773,17206,33974,4790,4384,9175,270040,290470,560515,57706,54175,111883,731842,759936,1491780
29499,538,340,876,170,99,264,102,82,184,1346,1306,2654,96,103,199,42,26,62,34,37,70,21,13,34,14,15,30,6,8,17,0,0,0,1660,1586,3243,283,285,568,58,39,95,2171,2008,4180,2241,1381,3624,4945,3734,8678
29799,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,5,0,0,0,7,0,9,24,3,27,36,6,38
3GBRI,566250,586051,1152309,59832,64200,124027,27252,29183,56430,13068,13804,26869,341323,362695,704019,3873,4034,7902,4458,4513,8967,1801,1882,3681,2872,2888,5759,2686,2720,5412,37,32,61,397362,421746,819108,60576,66659,127236,13009,11426,24431,530775,564027,1094799,67895,60739,128631,1164922,1210817,2375741
3RQLD,591906,602209,1194121,86497,93333,179825,38482,41433,79909,19245,20709,39955,296785,326049,622836,4244,4698,8944,5631,5875,11511,2529,2776,5302,4379,4433,8814,2246,2355,4601,34,31,65,373579,408360,781939,41396,45797,87198,13649,12604,26251,515115,560101,1075215,110010,94246,204255,1217037,1256555,2473592
39499,948,648,1590,339,239,577,521,521,1039,320,345,666,2315,2263,4581,97,84,184,146,147,288,52,58,111,58,59,121,30,19,48,0,0,0,3532,3503,7033,482,644,1125,75,58,135,4429,4444,8873,2215,1492,3704,7588,6582,14167
39799,17,3,20,0,0,0,4,0,4,0,0,0,8,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,14,18,4,17,0,0,0,26,3,30,111,24,135,149,28,183
4GADE,369758,386568,756331,30554,32768,63326,7110,6825,13936,6769,6724,13490,4233,4361,8588,149125,159906,309034,2076,2010,4086,635,732,1362,1918,1957,3874,889,842,1725,24,19,44,172777,183363,356146,35103,36280,71380,4098,3635,7737,242538,256044,498588,29587,28041,57631,641881,670660,1312544
4RSAU,110420,108442,218865,21190,22394,43590,1488,1499,2990,2238,2295,4538,1462,1506,2963,26942,29048,55988,881,938,1819,266,258,525,883,889,1769,82,86,166,0,0,0,34245,36517,70759,2794,2923,5716,1021,891,1914,59256,62723,121976,16877,13777,30654,186554,184942,371493
49499,262,144,404,85,54,134,34,37,67,50,34,86,74,77,153,599,572,1180,35,39,77,11,4,15,20,18,36,4,0,3,0,0,0,827,790,1622,78,101,184,15,22,35,1008,965,1975,524,341,866,1793,1446,3241
49799,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,12,0,12
5GPER,539591,558499,1098092,52442,55631,108072,7641,7938,15576,6728,7317,14051,6110,6289,12393,2096,2184,4285,241936,256846,498784,977,1105,2085,1881,1855,3733,810,822,1634,120,136,250,268301,284492,552789,49844,55512,105360,7682,6875,14554,378265,402509,780775,60607,47571,108185,978469,1008582,1987047
5RWAU,130448,126130,256575,26105,27111,53214,1743,1731,3479,1742,1731,3472,2528,2287,4809,840,774,1613,50175,52573,102742,395,405,796,945,893,1840,97,97,189,26,24,55,58479,60519,118997,6332,6921,13257,1894,1641,3538,92816,96191,189007,32929,24443,57371,256188,246763,502947
