GCCSA_CODE_2021,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
4GADE,229,297,2623,1959,416,3951,835,5748,292,16343,1269,3745,8015,4207,2112,4009,2679,5858,665,32560,7469,17252,18748,6900,5286,4557,7598,9282,1505,78602,12971,17993,15410,5237,5474,3355,7041,6625,1500,75609,13835,14264,13420,4425,5000,3257,7104,6234,1390,68928,9926,10444,10376,3371,4099,2679,6809,5238,1014,53962,2927,3937,2460,824,1109,977,1510,1338,328,15405,544,596,237,58,149,175,112,168,134,2168,53,35,18,0,7,12,5,12,30,176,49222,68557,71303,26983,23651,22974,33693,40500,6865,343752,210,416,535,4696,989,8623,153,2522,247,18400,1403,5445,1793,9472,4772,6234,365,2258,489,32236,6044,24966,4216,14429,11948,5294,680,3961,1064,72609,8914,24055,3388,11789,13805,3971,557,3767,1036,71273,8747,18590,2912,10813,15864,4648,739,4418,898,67640,5380,12869,1993,8454,13553,4189,613,4153,592,51792,1242,3151,446,1583,3403,932,147,1002,202,12109,130,235,45,87,280,90,13,86,101,1061,13,9,3,4,10,11,0,13,32,97,32080,89729,15335,61330,64625,33989,3265,22190,4664,327210
4RSAU,122,44,1304,323,56,987,243,1940,126,5144,468,286,2237,391,139,503,754,1783,137,6700,2156,1441,4559,893,365,713,2066,3093,318,15604,3412,1565,3640,791,488,641,2291,2440,341,15610,4374,1688,3625,913,648,721,2901,2710,424,18000,4531,1557,3317,899,722,778,3144,2758,405,18115,2516,688,916,235,246,288,915,853,173,6830,714,86,95,14,38,37,76,144,97,1303,74,4,3,0,5,0,0,10,22,118,18375,7360,19697,4456,2706,4671,12394,15734,2041,87428,76,71,194,1434,244,1973,56,962,100,5104,258,819,409,1727,706,980,133,803,80,5912,1154,3495,930,2974,2090,1451,302,1491,184,14073,1899,3567,773,2909,2939,1281,204,1516,209,15290,2484,3273,864,3525,3626,1735,266,2007,247,18025,2388,2677,686,3460,3259,1558,237,2136,195,16593,1109,723,157,617,926,296,65,530,133,4563,269,53,14,26,120,32,3,69,84,672,22,0,0,0,7,5,0,4,15,60,9667,14687,4024,16670,13920,9308,1259,9527,1243,80295
49499,0,0,0,0,0,0,4,6,0,13,0,0,7,0,0,8,5,12,0,33,8,14,22,12,3,8,15,30,3,116,11,17,15,4,3,0,12,22,3,93,8,12,16,3,6,0,17,16,4,83,8,6,15,6,6,0,6,15,5,63,0,4,3,0,0,0,5,0,0,16,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,38,55,82,24,19,25,56,96,21,419,0,0,0,7,0,5,0,5,0,18,0,0,0,7,5,8,0,4,4,31,5,27,10,16,7,5,0,22,0,97,14,14,3,9,12,12,0,3,0,63,7,14,4,7,6,0,6,7,0,45,0,8,8,7,8,5,0,5,0,47,0,0,0,3,6,0,0,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,72,20,55,40,38,8,42,8,311
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,338,591,4808,3219,650,6330,2177,9124,444,27689,1718,5626,12703,6143,2579,5894,5062,8441,966,49129,10915,27793,32745,8652,6868,5694,13697,12289,2532,121186,21427,31202,30516,6682,7367,4299,14241,9417,2385,127540,22099,23871,25146,5593,6605,4023,13499,8221,2090,111151,15556,16649,18096,4109,5564,3295,12075,7222,1390,83965,4591,6096,4332,1096,1743,1454,3269,2504,483,25561,722,956,338,94,237,229,243,383,159,3363,45,58,14,4,30,21,4,23,49,252,77424,112850,128690,35599,31644,31240,64263,57624,10501,549839,359,682,1040,8176,1749,12977,446,3952,419,29803,2096,7716,3082,14244,7421,9228,1037,3298,692,48815,10197,38665,7574,19893,19643,8263,2205,6000,1728,114173,13375,38296,6222,17902,22477,6796,1887,6298,1612,114862,12642,29283,5042,16859,23825,7484,2019,7105,1333,105593,7596,18457,3347,11918,19610,6313,1485,5854,881,75468,1666,4656,746,2507,5274,1627,321,1529,280,18605,177,360,54,143,452,140,22,163,116,1617,12,13,6,0,24,7,0,10,40,109,48138,138121,27111,91652,100473,52822,9426,34213,7095,509051
5RWAU,119,75,1938,502,97,1487,458,2363,180,7221,429,452,3447,496,202,622,1268,2166,166,9239,2498,2583,8749,1285,589,857,3744,3862,497,24666,4515,3119,8394,1244,809,701,4501,3045,585,26904,5414,3099,7134,1314,889,781,5421,2863,603,27516,5073,2677,5313,1136,946,790,5461,2805,493,24699,2647,975,1294,305,340,348,1545,978,190,8622,790,107,84,28,56,65,106,165,91,1490,108,5,0,3,0,5,4,22,30,180,21602,13082,36357,6311,3931,5651,22505,18276,2832,130548,79,110,383,1917,469,2645,136,1217,148,7110,348,1070,687,1957,1276,1091,377,958,154,7921,1850,5411,1648,3815,3845,1728,858,2208,281,21644,3044,5947,1512,4249,4840,1859,828,2292,351,24916,3523,5220,1406,4399,5223,2164,925,2617,346,25825,2969,3854,992,3438,4446,1882,668,2398,272,20933,1276,987,212,719,1195,468,148,656,119,5778,294,61,24,48,109,34,14,111,61,759,22,3,0,0,0,0,0,0,7,37,13413,22667,6858,20545,21408,11880,3962,12456,1734,114926
59499,0,0,3,0,0,0,5,9,5,19,0,0,20,15,3,11,17,34,8,101,11,37,76,15,12,7,38,65,6,268,28,36,64,13,9,5,39,30,5,211,6,23,53,8,0,0,53,17,4,156,8,8,17,10,6,3,32,20,4,115,0,3,4,0,0,0,9,4,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,115,232,51,36,29,182,169,19,899,0,0,0,13,7,6,0,11,0,33,4,15,4,22,12,5,7,12,5,84,14,47,9,57,22,10,8,57,7,234,17,35,7,31,23,12,7,13,3,138,7,9,7,17,28,5,7,9,0,91,5,17,6,29,23,3,3,18,0,102,0,5,3,0,11,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,139,34,172,112,47,31,120,11,715
59799,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,6,0,12,0,3,15,0,0,0,5,21,0,60,0,12,27,0,4,0,8,30,4,92,4,8,12,0,0,0,5,15,6,55,0,9,13,0,0,0,3,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,32,77,0,10,0,25,86,12,246,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,8,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,15,0,29
6GHOB,55,44,570,323,81,619,114,706,59,2560,240,486,1482,691,309,668,289,752,88,5011,1493,2969,3933,1669,1028,1082,1270,2044,322,15804,2215,2974,2636,1012,834,532,913,1204,265,12592,2348,2654,2072,916,879,516,866,862,228,11352,1695,1962,1757,608,679,426,1062,847,155,9202,546,758,453,162,176,156,250,249,67,2815,109,75,37,22,29,28,25,23,22,368,8,4,0,6,0,4,0,0,3,23,8701,11935,12937,5401,4005,4029,4793,6693,1220,59730,43,54,114,714,192,1289,43,380,49,2882,203,842,320,1443,795,1038,44,344,69,5094,1168,4522,821,3257,2362,1267,114,924,238,14675,1662,4279,525,2078,2313,739,89,643,199,12528,1575,3639,516,1848,2695,749,103,691,166,11970,973,2578,372,1502,2351,654,96,700,128,9356,211,642,101,305,545,156,26,234,40,2263,39,37,10,14,51,15,0,21,18,205,3,3,0,0,0,0,0,0,7,19,5878,16597,2766,11169,11309,5901,520,3938,912,58995
6RTAS,132,32,977,261,56,766,212,1097,70,3605,375,292,1910,482,199,530,608,1240,129,5768,1705,1678,4001,1057,526,720,1878,2516,303,14378,2287,1926,3027,827,542,541,1841,1652,313,12953,2772,1993,2872,859,697,657,2244,1804,314,14208,2577,1738,2679,765,711,607,2451,1753,299,13571,1136,696,663,204,213,222,641,512,125,4418,301,102,52,20,38,37,57,65,59,724,40,6,4,0,7,4,0,0,17,83,11333,8467,16186,4472,2987,4075,9939,10634,1623,69710,57,44,191,943,225,1715,60,627,63,3931,228,614,416,1659,719,1029,94,574,71,5411,1001,3299,848,2934,1862,1259,195,1355,161,12921,1411,3519,676,2376,2232,1083,174,1203,175,12842,1668,3171,697,2844,2991,1361,201,1597,191,14725,1479,2572,574,2397,2708,1114,173,1623,150,12786,511,609,127,419,647,233,39,342,78,3008,108,42,5,16,55,12,8,29,42,322,6,0,0,5,0,0,0,4,15,25,6468,13863,3543,13592,11446,7805,946,7346,955,65967
69499,0,0,0,0,0,0,0,0,0,5,0,0,3,4,0,0,0,7,0,18,8,5,7,6,0,0,10,6,3,46,6,3,8,0,0,0,9,8,0,36,0,0,7,6,0,0,16,3,4,42,5,0,3,3,0,0,0,5,3,20,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,15,39,17,0,3,32,34,8,174,0,0,0,0,0,0,0,0,0,8,0,0,3,5,0,3,0,0,0,18,0,9,0,3,8,3,0,4,0,33,0,4,3,4,3,5,0,8,0,36,0,11,0,3,3,0,0,7,0,22,0,11,0,0,9,4,0,0,0,20,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,36,8,19,22,18,3,18,3,133
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,28,36,372,235,58,369,112,496,42,1748,167,254,962,795,225,316,283,422,95,3517,967,1771,2578,1481,714,528,859,922,235,10045,1379,1631,2213,991,631,298,726,652,183,8685,1370,1254,1709,739,524,235,753,561,159,7304,1047,847,1095,378,389,186,650,413,119,5120,337,341,264,90,122,78,173,124,36,1561,41,39,17,8,10,9,21,16,3,158,7,0,0,0,4,0,0,0,5,14,5330,6168,9209,4718,2671,2013,3561,3609,876,38166,36,34,74,454,212,750,27,176,43,1801,153,488,183,829,679,426,49,160,65,3029,877,3240,498,1940,1990,688,103,449,156,9952,1222,2737,381,1362,1786,495,93,459,133,8665,1192,1879,256,948,1688,414,97,499,93,7057,721,1288,138,552,1196,307,73,353,54,4692,136,325,44,140,301,103,15,93,23,1175,16,19,0,7,36,11,0,5,4,102,0,0,0,0,0,0,0,0,0,0,4350,10012,1580,6230,7886,3192,450,2193,573,36467
7RNTE,12,22,126,103,29,124,27,193,37,675,51,167,300,236,47,98,68,265,46,1269,422,729,917,733,191,170,268,530,136,4096,542,690,734,605,169,103,298,352,111,3610,531,450,593,482,163,62,281,322,73,2963,507,452,467,302,142,60,282,264,66,2535,182,135,130,64,48,33,95,90,24,808,31,17,13,5,12,8,14,13,4,103,0,0,0,0,0,0,0,0,0,5,2283,2659,3284,2536,801,646,1327,2034,494,16062,9,48,29,203,72,201,8,121,31,720,46,264,81,343,196,103,19,143,47,1238,376,1409,186,958,676,278,45,252,101,4283,445,1100,140,711,588,166,30,196,82,3465,497,874,90,574,575,147,40,210,70,3072,344,704,76,383,457,125,21,172,46,2333,94,201,29,79,111,36,6,38,10,615,8,12,0,4,13,3,6,4,3,47,0,0,0,0,0,0,0,0,0,0,1825,4606,633,3254,2698,1067,180,1128,394,15781
79499,0,0,0,0,0,0,0,0,0,3,0,3,6,0,4,0,0,5,0,17,7,13,7,7,3,0,9,30,5,76,12,14,14,6,0,0,0,11,4,67,4,7,8,0,0,0,3,3,3,36,5,5,0,4,0,0,3,3,0,26,0,0,4,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,35,38,18,13,4,22,58,18,242,0,0,0,4,0,0,0,6,0,13,0,3,0,9,0,0,6,3,0,18,5,24,4,23,8,3,3,25,6,96,13,20,3,9,8,0,0,6,0,54,7,13,0,0,8,3,6,6,0,46,0,6,3,0,6,7,0,0,0,16,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,66,7,45,31,13,9,49,5,259
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,10,0,16,0,7,4,0,0,0,0,0,0,10,0,0,4,0,0,0,0,9,0,9,0,3,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,6,0,0,4,23,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
8ACTE,352,247,930,1159,250,1459,256,1322,88,6067,1090,2433,2656,1990,1252,1391,513,1185,275,12780,4378,10442,6122,2765,2914,1703,1487,2308,764,32885,7048,10638,4268,1835,2515,821,1047,1497,719,30384,6599,7543,3061,1344,2286,589,967,1045,587,24020,3535,4523,1851,737,1476,442,905,818,303,14582,757,1507,494,218,350,189,338,259,101,4202,113,208,54,21,47,51,22,35,16,574,16,17,5,0,0,5,0,4,6,58,23881,37554,19442,10064,11098,6642,5533,8471,2859,125547,191,317,251,2245,573,2543,49,550,76,6782,825,2962,705,3538,2959,1803,60,400,245,13498,4366,12720,1369,4234,5877,1657,109,989,729,32050,6575,11207,903,2897,5586,834,59,677,623,29359,5618,7852,658,2238,5391,772,99,573,433,23626,2524,4319,416,1518,3682,676,85,534,232,13991,360,1086,84,349,879,238,12,153,47,3211,28,100,17,25,85,19,0,9,11,296,4,4,0,0,5,3,0,5,9,26,20483,40563,4407,17051,25031,8543,472,3889,2404,122843
89499,0,0,0,6,0,0,0,0,0,10,0,0,3,7,0,0,0,6,0,18,0,8,8,6,0,4,3,0,0,30,0,6,6,0,0,0,0,8,0,23,0,3,9,3,0,6,0,0,0,14,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,22,20,19,8,8,4,12,0,104,3,0,0,0,0,10,0,0,0,14,0,0,0,10,0,3,0,4,0,23,0,12,0,0,9,5,0,0,0,31,5,7,0,0,0,0,0,0,0,16,4,3,0,0,0,0,0,0,0,13,7,7,0,0,7,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,30,8,11,17,14,0,9,0,111
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,15,13,0,6,4,12,0,49,5,3,19,4,3,0,8,13,0,60,19,12,57,25,8,4,13,27,3,169,42,22,59,17,9,6,25,24,4,208,45,25,68,19,16,3,24,24,7,231,59,26,89,18,8,10,25,27,12,272,16,12,41,4,3,3,26,20,3,125,6,0,6,5,0,0,0,4,0,20,4,0,0,0,0,0,0,0,0,4,195,107,347,107,53,37,121,150,26,1142,4,0,3,37,3,6,0,4,0,60,6,12,4,23,11,0,0,5,0,70,14,42,9,43,35,15,6,6,0,168,36,38,5,40,47,19,4,16,5,214,46,37,6,35,51,20,0,31,0,234,46,40,12,22,63,24,0,32,0,246,12,20,0,12,16,13,4,14,6,100,3,4,0,7,3,3,0,3,0,23,0,0,0,0,0,0,0,0,0,0,167,193,44,227,226,98,14,118,13,1105
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
