GCCSA_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
1GSYD,2029330,2090095,4119424,75098,75874,150977,272829,277698,550526,6175,5688,11859,4854,5134,9993,1249,1231,2473,1390,1377,2767,492,538,1034,473,445,917,1523,1547,3065,39,16,53,289021,293666,582687,22907,24233,47146,5900,4691,10594,392938,398472,791407,131303,127650,258948,2553567,2616223,5169784
1RNSW,1087303,1127276,2214580,52744,57018,109766,105434,113763,219201,6321,6473,12787,7413,7867,15280,902,866,1770,1011,984,1996,552,544,1098,678,670,1347,3239,3325,6561,37,27,65,125583,134525,260112,5415,5399,10813,3765,3311,7077,187507,200256,387757,102401,94837,197236,1377208,1422366,2799574
19499,1117,690,1808,499,323,827,1682,1644,3327,103,133,237,198,214,414,33,26,62,29,34,68,17,21,39,10,15,16,22,25,50,0,0,0,2092,2117,4204,212,201,413,47,33,86,2858,2673,5527,2347,1601,3950,6321,4965,11284
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,1925590,1997651,3923241,55775,57712,113491,6991,7412,14412,256094,262227,518326,4548,4871,9417,1857,1962,3820,1798,1905,3708,1258,1323,2583,713,783,1498,982,1041,2022,10,4,11,274256,281536,555793,18921,20135,39057,4859,3966,8825,353811,363352,717165,112464,108402,220867,2391868,2469394,4861264
2RVIC,613342,636687,1250028,27416,29918,57333,3301,3586,6894,57995,62472,120467,1879,1894,3772,783,778,1559,616,548,1157,418,445,860,394,408,803,305,261,563,3,0,3,65686,70389,136073,2455,2546,5002,1688,1484,3179,97247,104336,201582,56115,52380,108499,766704,793404,1560107
29499,847,576,1426,345,229,576,90,83,174,1209,1233,2442,81,96,179,32,23,50,27,26,52,19,13,29,15,11,22,7,9,20,0,0,0,1475,1495,2970,159,136,290,24,22,48,2008,1884,3889,2274,1409,3682,5124,3875,9002
29799,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,27,36,6,38
3GBRI,955457,992390,1947844,29293,31956,61252,8620,8760,17378,5722,5937,11659,145192,154678,299868,1229,1279,2513,1117,1139,2255,633,694,1320,975,957,1930,948,936,1888,11,13,27,164446,174388,338831,9536,9986,19523,4038,3504,7544,207313,219840,427147,64643,57534,122171,1227408,1269754,2497165
3RQLD,962838,995946,1958785,42455,46307,88760,12715,13875,26590,8188,8892,17084,125527,138336,263860,1413,1556,2967,1563,1738,3300,990,1095,2084,1444,1486,2932,835,851,1687,19,18,39,152685,167852,320538,7517,7391,14908,4602,4019,8624,207264,225565,432831,106173,90515,196684,1276279,1312026,2588307
39499,1455,1091,2545,722,578,1295,431,462,889,277,302,586,2200,2296,4494,80,73,160,117,139,261,44,47,95,39,59,96,24,25,51,0,0,0,3220,3403,6627,166,178,343,60,50,111,4166,4209,8378,2204,1478,3681,7825,6776,14601
39799,39,5,47,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,4,109,24,130,149,28,183
4GADE,557887,582791,1140682,12999,13760,26764,3055,2679,5731,3544,3197,6747,1530,1609,3137,58637,61831,120470,644,663,1310,282,302,583,649,710,1365,312,297,606,3,4,7,68662,71301,139962,3944,4120,8060,1506,1265,2771,87106,90443,177553,27804,26576,54380,672799,699808,1372611
4RSAU,156037,156058,312096,8406,9098,17503,527,491,1018,1003,928,1934,547,580,1134,9891,10501,20392,306,303,610,100,113,212,291,313,609,24,23,46,0,0,4,12693,13261,25951,597,527,1120,422,327,749,22111,23214,45321,16317,13381,29702,194464,192651,387121
49499,369,226,596,148,74,225,36,41,72,42,38,81,66,63,129,499,564,1067,32,32,64,6,6,16,14,13,22,3,8,6,0,0,0,703,765,1467,41,43,86,55,32,84,947,917,1865,538,354,890,1854,1490,3345
49799,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,12,0,12
5GPER,834509,866205,1700716,22691,24424,47109,3390,3292,6678,3743,3667,7407,2653,2762,5416,891,869,1755,94036,100573,194609,429,479,905,685,677,1361,331,335,670,45,47,82,106195,112695,218897,8181,8529,16708,2558,2300,4859,139628,147947,287575,58265,45198,103461,1032407,1059352,2091753
5RWAU,198024,195198,393223,12410,13070,25482,820,750,1572,822,835,1658,1157,1074,2232,368,334,700,20626,21462,42085,179,178,358,378,382,759,44,38,82,14,12,27,24399,25060,49466,1468,1267,2734,751,621,1367,39032,40019,79052,32485,24148,56632,269539,259366,528905
59499,650,443,1089,269,221,487,144,127,273,133,121,259,180,191,365,40,42,86,775,793,1565,27,17,42,30,25,58,3,12,8,0,0,0,1335,1324,2661,99,96,192,43,20,61,1743,1662,3403,2228,1281,3513,4620,3386,8005
59799,200,24,229,0,0,0,7,0,3,0,0,0,6,3,10,0,0,0,31,4,39,0,0,0,3,0,3,0,0,0,0,0,0,46,9,55,10,0,14,0,0,0,55,10,71,200,19,216,455,58,514
6GHOB,95678,101400,197079,2527,2735,5260,1340,1233,2578,1425,1277,2699,651,703,1348,106,115,222,156,174,330,10113,10789,20901,84,81,161,86,100,186,0,0,0,13955,14467,28423,591,593,1182,332,263,602,17404,18059,35467,6146,5838,11988,119230,125302,244534
6RTAS,122399,125749,248149,4014,4332,8348,1336,1215,2547,1284,1177,2461,972,1061,2029,159,130,289,240,270,520,9890,11005,20901,113,115,227,65,65,130,6,5,4,14060,15041,29103,462,459,916,305,301,602,18843,20139,38978,9701,9326,19026,150944,155211,306158
69499,178,106,280,64,46,107,27,26,48,23,29,54,20,37,62,8,10,21,4,7,9,197,198,394,0,4,3,0,0,0,0,0,0,284,314,593,15,11,23,7,3,8,362,374,736,224,138,360,761,612,1377
69799,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,13,0,19
7GDAR,49380,49197,98576,1362,1427,2787,932,879,1816,1102,1084,2189,869,890,1759,358,388,750,403,434,833,55,57,114,6957,7216,14180,137,146,279,3,3,10,10815,11111,21924,508,548,1053,305,215,525,12981,13295,26284,7401,5716,13118,69763,68209,137973
7RNTE,32754,32828,65580,1851,2050,3896,435,480,917,477,542,1014,580,613,1190,239,276,514,232,240,480,39,38,74,2249,2454,4701,40,38,75,0,0,0,4286,4684,8971,305,285,593,143,140,286,6585,7159,13744,4952,3715,8672,44295,43697,87998
79499,541,431,972,165,137,306,82,99,179,91,95,184,122,135,261,28,36,64,65,59,120,7,9,21,108,123,232,8,4,9,0,0,0,509,557,1069,36,46,83,8,3,13,721,747,1469,557,486,1038,1816,1661,3479
79799,42,10,53,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,3,0,3,3,0,3,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,15,0,18,25,0,24,83,15,99
8ACTE,171875,178295,350169,3169,3283,6451,7222,7317,14542,2226,2103,4330,1557,1516,3068,372,382,752,432,416,842,148,146,294,239,238,479,21962,22558,44514,11,11,23,34157,34687,68850,2350,2354,4704,565,432,996,40239,40760,81001,9191,8410,17605,221304,227466,448776
89499,78,45,120,17,29,45,22,37,56,19,13,26,12,0,8,0,4,4,0,0,4,0,0,5,0,0,0,70,92,159,0,0,0,127,147,273,12,10,26,5,0,0,153,189,348,98,36,135,331,273,601
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,1593,1593,3184,92,110,202,54,50,107,16,7,22,48,44,93,0,4,7,66,74,136,0,0,0,6,4,17,10,13,27,0,0,4,206,201,404,18,21,43,4,3,5,322,331,650,576,326,901,2487,2246,4739
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,0,0,0,0,0,0,5,6,4,5,0,8,6,4,11
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
