GCCSA_CODE_2021,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
39799,0,0,0,0,12,6,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,224,69,699,403,1078,153,2636,438,96,1073,355,1936,75,3976,1638,392,4639,2943,11112,535,21261,480,168,1361,708,2162,105,4990,843,218,3755,2714,23724,761,32015,438,140,1411,978,3279,174,6419,1146,218,3892,2041,6545,456,14292,802,108,2544,1854,4016,345,9678,1166,207,2720,2405,5659,522,12682,417,107,1344,662,1054,87,3671,1062,448,2890,1725,1263,143,7541,246,86,1000,719,1228,92,3366,4474,1221,11881,2918,2815,450,23757,668,131,1828,1187,3338,231,7385,2726,1055,6349,4095,6359,426,21008,4591,1184,6525,1398,1943,188,15825,4653,1207,9723,2833,4536,575,23537,285,75,1065,525,1063,101,3105,514,186,1397,1162,6829,220,10310,731,138,1730,971,3378,1020,7968,27541,7452,67839,32589,93318,6680,235423,154,49,469,265,357,54,1344,104,50,419,123,214,21,928,705,222,2509,1348,2402,241,7430,248,83,536,275,437,36,1616,364,110,1389,982,1787,155,4790,272,92,872,526,942,90,2788,829,290,4405,2411,6587,598,15118,745,128,2911,1660
4RSAU,123,78,1021,1038,4905,524,7680,50,21,196,192,1989,74,2527,164,70,746,593,4633,221,6428,13,4,54,104,889,31,1099,40,22,237,312,6328,240,7183,14,10,128,160,1002,74,1388,79,22,301,267,1898,129,2697,36,15,177,252,1175,93,1750,27,20,126,263,1687,152,2266,13,6,64,39,125,15,250,22,15,95,161,134,17,451,9,7,47,96,204,18,384,154,52,568,245,461,40,1514,27,9,119,140,829,61,1188,131,106,466,703,1555,87,3041,297,178,1177,231,566,45,2488,306,107,823,426,979,87,2728,9,6,81,55,230,22,394,38,32,140,160,2150,69,2589,37,21,137,139,1101,318,1754,1583,789,6691,5588,32837,2323,49812,107,111,878,729,1193,203,3225,30,9,77,73,221,18,427,79,42,497,392,1021,90,2122,6,8,33,30,84,3,160,12,17,131,192,547,49,952,7,3,84,116,275,25,513,49,46,534,520,2276,217,3643,67,41,336,412
49499,0,0,3,0,5,0,7,0,0,0,3,4,0,13,0,0,4,5,7,0,14,0,0,0,0,5,0,3,0,0,4,3,22,0,31,0,0,0,0,0,0,4,0,0,0,3,14,6,15,4,0,3,0,13,0,20,0,0,0,0,23,8,26,0,0,0,0,3,0,5,0,0,0,0,5,0,3,0,0,4,3,0,0,9,4,0,12,0,4,0,21,0,0,10,0,9,3,26,3,0,0,0,3,0,8,0,0,5,3,0,0,10,4,0,9,0,5,3,21,0,0,3,0,0,0,3,0,0,0,0,5,0,5,0,0,0,0,8,0,14,19,3,59,20,142,18,264,0,0,0,0,0,0,7,0,0,4,0,0,0,7,0,0,5,0,3,0,3,0,0,3,0,0,0,6,0,0,3,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,3
49799,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,205,60,653,373,1013,125,2426,4829,1052,11196,4725,20134,1016,42955,1718,399,5191,3750,15965,769,27786,728,186,1702,829,2634,133,6217,1826,457,7266,6476,36682,1552,54266,911,184,2745,1650,5872,319,11683,1565,308,5629,3122,8638,733,19999,857,150,3810,3552,6391,619,15380,1815,437,5156,4630,8895,936,21866,436,117,1553,814,1199,108,4216,1373,587,4459,2098,1168,231,9911,419,136,1840,1200,1862,177,5627,8185,1776,21015,5382,4951,942,42258,791,213,2508,1626,4145,379,9662,3053,1466,7643,5335,8142,718,26362,5243,2391,8302,1797,2726,375,20830,5235,1374,11392,3277,4523,732,26523,485,152,1868,977,1904,190,5582,778,221,2072,1695,10162,390,15316,1809,317,4602,2514,8600,2235,20079,42273,11964,110587,55833,155617,12676,388951,128,58,516,281,452,102,1535,1723,615,4771,1660,2820,286,11869,763,294,2877,1807,2793,392,8925,378,141,972,404,602,61,2558,653,319,3087,2156,3367,396,9968,395,174,1670,982,1620,218,5067,1644,483,7230,4834,10272,1163,25620,940,255,4969,3551
5RWAU,145,54,1248,972,3880,454,6746,449,160,1540,1490,11483,436,15569,151,66,825,608,4130,234,6019,42,18,136,217,1434,62,1904,85,46,556,1014,9650,374,11728,28,18,218,235,1597,52,2142,81,22,444,397,2262,166,3373,102,31,494,535,1801,164,3131,95,53,431,637,2888,183,4287,19,9,103,65,188,13,402,45,24,167,169,127,17,558,22,9,119,182,472,33,837,277,103,1092,509,847,83,2909,29,16,210,216,1163,77,1711,276,185,976,1127,2290,166,5020,418,499,1537,376,816,67,3712,565,165,1427,512,1103,134,3916,20,9,126,88,298,34,576,96,37,218,210,3000,86,3641,87,17,308,292,2070,538,3315,3018,1552,12175,9852,51509,3377,81492,105,138,1195,732,1254,263,3693,172,76,714,561,1532,137,3197,64,60,527,372,901,110,2036,19,9,93,81,208,18,422,43,27,304,429,977,83,1869,6,20,172,139,481,32,852,140,78,908,928,3094,346,5490,126,64,1065,871
59499,0,0,7,7,15,0,35,3,0,13,9,68,8,104,0,0,3,6,17,0,27,0,0,0,0,3,0,3,0,0,8,3,70,0,80,0,0,0,0,0,0,6,4,0,6,4,11,0,23,4,0,15,15,26,0,62,0,0,3,8,20,0,37,0,0,0,0,0,0,3,0,0,0,0,3,0,9,0,0,0,0,0,0,0,3,3,25,5,8,0,40,0,0,5,0,14,0,23,5,0,7,5,9,0,25,5,0,3,5,4,0,18,0,4,7,4,6,0,32,0,0,9,0,3,0,7,0,0,5,0,21,0,27,4,0,0,0,14,8,32,34,12,123,81,324,19,595,5,0,16,7,5,0,32,0,0,3,6,9,0,29,0,0,8,5,6,0,14,0,0,3,0,0,0,5,0,0,0,0,5,0,13,0,0,0,0,0,0,7,4,0,9,7,11,0,32,10,0,24,16
59799,0,0,5,0,12,5,23,4,0,8,9,30,3,54,0,0,0,0,3,0,4,0,0,0,0,4,0,9,0,0,0,0,19,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,15,4,6,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,17,4,22,5,3,33,18,106,13,179,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,205,21,311,149,432,51,1172,24,0,50,25,87,6,189,272,29,520,299,1743,93,2957,203,39,510,224,508,24,1506,183,41,520,422,5075,129,6358,67,10,130,96,437,24,766,429,38,730,290,1032,95,2610,561,48,832,403,822,67,2738,288,36,413,246,760,92,1843,78,20,249,108,182,20,657,126,57,366,207,143,23,923,47,24,139,94,159,17,478,839,242,1858,404,467,64,3878,161,34,248,135,415,35,1029,623,330,1414,710,1176,92,4336,1101,249,1293,212,482,46,3388,882,246,1685,478,916,101,4308,118,37,321,135,286,13,901,148,26,257,149,1021,31,1632,135,17,207,103,465,178,1100,6508,1537,12059,4888,16597,1193,42781,84,25,149,63,75,22,421,4,0,12,4,10,0,35,148,28,276,131,294,37,915,90,37,220,112,151,9,615,62,22,149,146,321,15,721,30,7,82,60,110,15,311,399,60,777,361,1077,125,2792,501,43,748,347
6RTAS,253,44,694,586,2202,270,4051,37,11,122,110,1029,49,1361,244,44,517,399,3161,193,4555,36,21,118,133,715,15,1040,63,29,302,401,6105,172,7071,78,18,170,211,1051,54,1583,179,36,407,261,1490,101,2467,246,26,400,287,945,85,1985,136,26,278,324,1638,143,2555,19,11,116,79,165,3,387,52,36,171,152,153,18,578,16,4,58,93,196,13,383,317,129,920,354,435,48,2199,55,16,130,134,597,26,946,188,132,595,454,1035,68,2480,515,154,1185,242,538,49,2683,613,201,1302,513,1027,118,3777,44,20,142,99,255,25,583,82,22,157,135,1568,40,1996,64,12,160,106,780,253,1369,3227,986,7942,5069,25086,1748,44057,127,41,534,320,602,112,1733,8,4,34,22,82,11,163,61,30,305,236,634,83,1346,21,12,74,65,124,3,303,20,6,121,144,404,40,734,19,8,98,76,252,22,476,90,47,469,406,1926,174,3105,188,41,502,373
69499,0,0,0,0,0,4,5,0,0,0,0,0,0,7,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,21,0,21,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,6,0,9,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,3,6,6,14,11,55,7,93,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,4,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,34,0,72,53,172,0,335,51,7,127,98,721,36,1039,36,7,103,132,643,27,945,77,21,155,116,353,18,745,77,14,339,297,2851,89,3659,25,5,87,66,341,23,553,230,13,347,130,600,38,1361,232,18,456,322,480,66,1570,122,30,308,332,742,54,1593,27,11,83,45,89,5,259,19,17,74,72,39,7,236,22,11,71,49,137,10,300,386,84,773,192,342,36,1814,58,9,151,114,293,24,654,607,280,1323,1190,2030,137,5562,372,125,444,126,280,28,1370,542,124,892,257,362,65,2246,65,15,119,61,171,17,444,76,16,169,88,813,27,1187,92,16,189,138,635,179,1248,3145,818,6282,3878,12099,897,27125,17,0,63,26,64,4,180,18,4,61,34,80,7,199,16,8,65,53,128,13,274,30,17,80,56,84,6,275,31,9,170,141,309,28,690,4,3,41,44,84,18,191,178,19,425,224,514,84,1451,179,16,555,271
7RNTE,5,3,47,68,317,44,483,19,12,63,55,360,21,530,21,0,33,30,172,4,253,7,0,26,33,137,8,214,14,5,64,75,936,42,1138,5,0,22,15,71,4,119,44,10,105,66,277,32,533,60,3,164,119,283,35,658,17,8,76,94,228,15,438,5,3,20,3,29,4,69,4,0,9,14,7,3,35,3,0,12,7,26,0,50,52,10,130,49,136,23,395,12,9,49,38,132,9,248,202,67,391,446,979,90,2177,139,64,253,69,198,33,754,246,71,444,188,360,57,1368,20,7,84,27,126,23,289,30,7,72,41,337,22,503,20,0,51,26,189,89,376,923,277,2110,1475,5303,557,10644,15,5,66,56,161,13,316,4,9,35,18,38,5,109,4,0,15,14,25,6,67,0,0,3,6,19,0,27,10,5,45,36,98,17,208,5,0,15,11,35,3,73,42,15,146,72,210,26,511,46,14,165,110
79499,0,0,0,0,11,0,18,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,13,4,22,0,0,0,0,0,0,6,0,0,0,0,6,0,8,6,0,0,3,12,0,25,0,0,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,4,3,0,13,0,0,0,0,4,0,10,0,0,6,0,4,0,16,3,0,0,0,0,0,10,5,0,4,0,0,0,12,0,0,3,0,5,0,7,0,0,0,0,0,0,3,0,0,0,0,5,3,12,19,9,36,18,87,15,182,0,0,3,5,3,0,8,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,0,9,0,0,0,0,0,0,0,0,0,5,0,4,0,11,5,0,14,4
79799,0,0,5,0,8,3,12,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,6,6,22,0,40,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,51,14,76,37,100,6,287,13,5,27,10,29,3,83,255,29,496,267,931,42,2025,171,29,272,127,372,21,982,394,72,1350,1096,6613,211,9738,103,21,237,139,359,16,877,831,84,1186,563,1234,119,4015,787,60,1265,792,1180,144,4231,511,67,659,456,921,124,2736,303,99,724,264,343,26,1759,322,83,633,234,149,35,1451,144,34,355,228,290,20,1074,3811,896,6285,1371,1135,222,13736,402,80,643,303,623,70,2117,8761,2341,11820,4108,3766,461,31256,2702,442,2190,398,607,63,6400,1727,355,2504,752,875,152,6355,218,81,450,177,349,21,1294,329,66,494,267,1293,56,2499,400,35,482,216,500,310,1944,22219,4897,32151,11809,21668,2123,94869,28,19,57,33,26,8,162,9,3,11,5,0,0,22,105,16,225,115,191,11,664,87,33,157,63,78,8,428,173,39,430,294,408,36,1380,47,10,123,63,66,9,321,663,99,1401,650,1001,118,3931,542,48,1052,662
89499,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,8,0,4,0,15,3,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,3,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,15,7,27,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,5,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,0,0,10,0,13,0,0,4,5,29,0,40,0,0,3,0,15,0,15,0,0,0,0,25,0,24,0,0,4,4,93,14,114,0,0,0,0,5,0,7,0,0,11,3,22,0,37,0,0,8,3,36,7,51,3,0,3,6,25,3,41,0,0,0,0,8,0,11,0,0,0,0,0,0,0,0,0,4,4,0,0,5,0,0,5,4,5,0,14,0,0,0,4,21,0,31,4,4,40,28,81,5,176,0,0,14,0,4,0,19,5,0,5,0,8,0,20,0,0,0,0,10,0,16,0,0,6,0,25,0,32,0,0,4,0,30,6,42,22,12,116,85,446,51,732,0,0,3,5,6,0,10,0,0,3,5,5,0,16,0,0,0,3,3,0,4,0,0,0,4,3,0,3,0,0,3,3,4,0,14,0,0,0,0,5,0,4,0,4,10,8,16,11,53,0,0,12,13
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
