GCCSA_CODE_2021,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54
1GSYD,103094,77639,51535,28470,10539,3228,390293,16005,53930,52103,43572,31712,17998,6068,1379,222756,9386,26281,19758,12911,7497,3887,1661,587,81966,8083,17458,15899,12793,7705,4590,1895,483,68916,434,365,245,270,363,334,265,282,2556,1448,4652,5472,4689,3065,2027,865,369,22586,17215,29507,25083,18609,15819,14893,14542,13899,149569,105460,345908,327892,252997,186047,120416,57204,27135,1423057,7635,21564,19620,17033,14199,9725,4529,1112,95417,12300,38637,53318,24961,12079,4127,704,53,146184,13468,64764,64217,58347,60101,42446,23421,7392,334155,12670,32639,28480,25326,18424,11430,6014,1860,136838,2132,6535,6344,5802,4815,2654,1180,332,29799,17185,64446,49540,40598,35032,23819,11382,4049,246062,7805,38341,34773,32878,30122,27704,12134,3408,187160,37840,167315,181113,134656,91096,53623,20621,5638,691910,23368,81860,76693,65998,49198,30853,11535,2689,342203,15231,42816,32813,20822,12425,6764,2749,867,134485,11979,28438,26966,20316,12457,7227,3218,754,111361,938,816,510,470,611,563,420,395,4711,2719,8630,10079,8846,6343,4133,1930,743,43425,37814,62938,53760,40178,33539,28952,26065,21089,304325,203082,659742,638236,496236
1RNSW,30212,31090,28191,18538,6816,1802,151347,8177,21433,22531,22713,21100,12385,3493,611,112440,2272,6016,5765,4524,3630,2516,1103,319,26149,6129,11798,9900,8595,6058,3951,1497,356,48279,267,177,85,111,122,95,86,52,1008,449,1170,1456,1650,1363,916,406,138,7549,12090,12900,12725,12772,13693,14676,14276,10154,103296,51911,129838,131062,128243,123294,92191,43572,18006,718120,1425,5121,5232,5309,4986,4749,2018,411,29254,1692,5503,5841,3983,3391,2115,481,43,23054,9967,33836,32386,35219,41231,36049,18598,4986,212268,6986,16351,14954,14675,15136,11675,5564,1578,86925,3130,7602,8395,9092,8161,5444,2400,539,44755,8514,30415,27278,26559,29613,21968,9148,2708,156206,4341,19358,21922,21720,23071,24022,9420,2371,126221,11736,38847,45108,46045,42125,29997,11710,2824,228399,10675,29322,30972,31721,29020,19419,6213,1240,158578,3913,9477,8936,6969,5620,4190,1749,457,41299,8534,17474,15567,13498,9768,6516,2707,618,74686,487,343,189,179,193,194,127,80,1806,1033,2569,3152,3610,3214,2417,1085,353,17425,26744,29960,28792,28724,29549,29836,25877,15848,215324,99172,246180,248741,247304
19499,84,86,92,40,13,0,455,26,97,52,61,74,38,6,0,352,21,64,26,15,16,8,0,0,158,25,50,26,26,23,19,0,0,162,0,0,0,0,0,0,0,0,4,0,4,3,0,3,3,0,0,21,230,350,305,213,159,77,26,10,1373,375,843,611,522,498,255,66,20,3187,3,46,24,17,17,6,5,0,120,10,37,27,13,17,11,0,0,119,26,130,93,81,129,107,25,3,602,16,75,36,38,49,32,4,0,256,10,27,17,24,24,13,9,0,126,19,97,71,83,66,43,12,0,395,9,39,27,40,48,41,10,0,217,45,170,141,131,132,74,23,0,714,35,144,95,92,114,66,4,0,551,39,88,49,26,26,17,3,0,245,31,82,49,48,38,25,0,0,265,0,3,0,0,0,0,0,0,8,3,17,19,11,19,13,0,0,80,465,780,809,676,484,226,71,21,3539,718,1736,1449,1281
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,83315,60637,36663,18168,6326,2226,298219,14804,53359,51464,43973,31853,17958,5710,1220,220336,8922,24888,17786,10498,5820,3078,1368,475,72828,8095,20118,17379,12646,7915,4824,2051,552,73583,430,300,218,184,181,226,105,52,1696,1795,5498,6531,5320,3276,2071,837,300,25621,15382,25977,21429,16533,13660,13394,12794,10619,129783,98577,337434,311927,234528,164834,105132,49416,21908,1323761,10839,24130,21096,17143,12776,8499,3765,890,99145,9092,39619,49378,22219,10747,3958,559,50,135619,15407,67306,64306,56947,53272,38263,20995,6733,323231,12340,38691,29335,23466,16270,9744,5213,1544,136602,2700,7771,7486,6215,4399,2187,887,257,31896,17935,72671,54585,41698,33106,22269,10286,3777,256326,7550,39588,36994,34227,31952,28009,12690,3091,194097,29727,135021,148146,108203,68445,37821,14192,4183,545742,22465,79100,73745,62855,46117,28698,10079,2243,325299,15532,43192,31190,18031,10037,5423,2373,746,126521,11921,33117,29996,19668,12493,7057,3160,820,118230,884,734,499,339,332,360,197,76,3418,3127,10177,12215,9917,6535,4144,1815,620,48545,33324,55753,45716,35746,28904,25699,23034,16237,264416,192851,646864,604695,456686
2RVIC,15130,13625,10770,6095,1939,536,62588,4210,12795,13182,14009,13205,8147,1975,285,67817,1229,3246,3215,2364,1866,1280,451,174,13825,2989,7325,5898,4667,3384,2317,960,202,27743,98,117,62,58,56,55,27,11,484,225,749,1077,1104,880,622,222,100,4968,6377,6902,7082,7202,7816,8887,8171,5715,58155,26762,74197,75226,70334,65705,50499,23410,9591,395733,1066,2873,3189,3110,2580,2295,854,162,16133,869,3069,3452,2110,1685,1048,211,17,12464,5523,17292,16344,18333,20247,17890,8523,2161,106315,3883,11805,9382,8115,7731,5569,2575,747,49797,2158,5322,6260,6178,5552,3224,1281,325,30303,5177,19439,16583,15408,17173,13019,5247,1565,93604,2496,11901,12850,12200,12973,14984,6742,1314,75456,4491,18347,23368,21723,18053,12114,4066,915,103084,5845,17216,17323,18476,17249,11810,3287,543,91753,2289,5429,5223,3830,2920,2321,821,244,23079,4105,10637,9089,7298,5533,3660,1536,323,42191,188,250,134,115,102,88,41,14,934,479,1687,2314,2442,2069,1552,652,226,11431,13601,14920,14829,15642,16721,18006,15092,8978,117792,52177,140190,140350,134980
29499,55,43,35,19,0,0,255,22,86,48,38,50,11,5,0,264,5,30,18,7,11,6,0,0,77,16,38,33,12,10,5,0,0,116,4,0,6,0,0,0,0,0,3,3,12,4,5,4,4,0,0,32,180,311,356,188,118,67,13,11,1242,278,705,618,379,303,140,29,11,2459,5,25,12,25,7,5,0,0,78,7,36,30,17,10,0,0,0,93,26,109,79,80,61,49,22,0,409,21,41,40,34,26,21,0,0,177,11,26,16,23,9,6,0,0,86,24,94,58,41,44,22,0,0,280,4,30,28,27,36,19,9,0,151,39,136,109,73,69,38,0,0,467,33,132,75,61,66,27,5,0,400,13,50,45,16,18,9,0,0,153,22,59,57,25,25,14,7,0,205,3,0,4,0,0,0,0,0,11,12,23,11,11,12,4,0,0,72,394,709,887,664,409,201,39,15,3334,608,1458,1448,1099
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,9,0,0,0,29,0,6,16,3
3GBRI,41290,32876,20795,10159,3063,787,158478,11038,25753,26190,22221,15903,9024,2628,436,113197,5103,9235,7112,4758,2592,1339,602,226,30961,7610,11356,8774,6850,4104,2469,927,196,42287,511,220,134,99,92,109,70,42,1274,746,1617,2048,1741,1145,718,311,122,8446,9400,12849,10749,8465,6980,6840,6396,5274,66962,65712,152727,150811,122979,86817,54034,23771,9766,666614,3817,8878,9056,7216,5001,3595,1458,320,39341,3844,11729,14814,8918,4328,1527,274,17,45447,11409,34768,36006,32478,29959,22364,11281,2987,181260,5776,16108,14611,12338,9571,6927,3478,878,69690,1653,3763,4315,3886,2822,1548,693,155,18843,11712,34963,29763,25280,20336,12820,5877,1717,142480,3725,16035,19928,20518,16877,13789,6020,1302,98192,22474,59862,68252,55936,36393,19790,6580,1496,270772,17367,38290,37355,32236,22918,14216,4703,873,167947,8820,15992,11761,7589,4269,2372,1005,332,52141,10979,17330,14125,10793,6486,3828,1536,310,65387,1014,485,265,188,157,183,109,59,2456,1571,3385,4292,3886,2681,1705,751,279,18537,20156,27426,23444,19296,15216,13543,11479,7923,138480,124312,289009,287970,240561
3RQLD,30795,28063,21737,11859,3789,819,134824,8845,18925,20897,20937,17887,9798,2600,367,100255,2498,5352,4888,3612,2484,1568,760,200,21362,8143,12394,10545,9310,6243,3947,1478,265,52323,404,148,113,85,113,88,63,23,1035,593,1156,1399,1448,1148,752,336,109,6937,13053,15793,14145,13858,12922,11813,10613,6974,99173,59912,126237,130147,122502,102682,67316,30889,11553,651237,1900,4666,4898,4557,3712,3042,1328,255,24359,1677,4543,5169,3639,2421,1405,294,28,19184,12237,33738,34042,34793,36066,29306,14374,3308,197857,4961,15121,15148,15046,13906,10783,4860,1111,80942,2759,5153,6318,6516,5279,2898,1253,252,30425,9701,30471,27244,25941,24642,15955,6692,1883,142527,3937,15284,21133,22147,19843,16414,6658,1357,106771,16958,39136,45553,42926,33993,21040,7486,1548,208643,13258,26865,28246,28560,24063,14671,4565,715,140944,4331,8509,7495,5573,3887,2788,1208,322,34120,11442,18485,16509,14679,10035,6349,2431,444,80384,784,303,202,169,191,176,97,30,1955,1407,2696,3340,3545,2930,1931,962,267,17074,28456,35182,32112,32086,29267,24997,19937,11151,213195,113810,240161,247414,240162
