GCCSA_CODE_2021,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
39499,58,155,510,369,266,259,77,4,0,1705,0,30,103,9,8,13,0,0,0,160,0,0,4,3,5,3,0,0,0,15,3,3,12,9,7,6,0,0,0,38,0,0,7,5,0,0,0,0,0,5,0,0,10,5,9,3,4,0,0,29,0,0,13,3,7,0,0,0,0,27,10,24,24,26,14,18,0,0,0,116,33,42,113,19,29,19,4,0,0,260,0,0,10,4,13,6,0,0,0,32,0,0,4,7,8,0,0,0,0,17,0,0,8,3,6,0,0,0,0,14,0,4,3,3,6,5,5,0,0,26,0,5,20,18,12,12,8,0,0,70,7,6,38,19,19,14,6,0,0,103,3,9,17,17,7,13,0,0,0,54,0,6,32,24,20,19,5,0,0,110,0,28,72,50,48,57,12,0,0,265,0,6,8,9,9,7,0,0,0,33,10,6,18,13,12,0,0,0,0,50
39799,0,4,9,13,15,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,16343,32560,78602,75609,68928,53962,15405,2168,176,343752,53,162,469,570,635,518,266,53,15,2742,9,95,394,313,263,136,28,0,0,1244,705,964,2460,2925,3097,2264,536,49,0,13000,15,103,537,679,526,265,51,0,0,2174,180,569,1726,1764,1767,1249,392,26,7,7680,87,291,913,1031,1290,907,228,26,0,4782,6026,6192,6672,5056,5494,4530,1006,89,8,35068,7138,5076,4479,2737,2191,1558,336,40,0,23561,75,332,1027,1243,1282,1009,196,15,0,5189,102,279,750,750,546,311,96,15,0,2840,72,723,2850,3272,2932,1693,293,20,3,11850,64,305,915,923,943,787,274,64,4,4274,177,1697,5535,5568,4261,2712,850,74,3,20878,217,1237,3131,2830,3033,2476,627,45,4,13599,112,1050,4408,6121,5683,3867,667,21,0,21938,808,2891,8635,10333,10201,7823,1788,123,0,42601,1038,7170,21419,19696,18597,16080,3376,162,3,87537,582,833,1168,937,776,577,194,29,3,5097,528,1354,3222,2777,2596,1887,516,73,3,12956
4RSAU,5144,6700,15604,15610,18000,18115,6830,1303,118,87428,203,320,810,1050,1257,1412,970,293,27,6345,19,85,252,158,134,90,3,6,0,742,269,303,736,853,947,807,174,18,0,4108,0,19,54,61,77,45,14,0,0,275,36,89,307,391,413,356,115,10,0,1719,36,59,193,202,275,240,51,6,0,1068,1589,943,1595,1557,1964,1738,382,26,3,9799,1777,869,1139,997,1121,1026,214,26,0,7171,24,103,197,248,415,427,119,15,6,1555,27,29,89,99,62,66,22,0,0,398,27,67,251,315,331,223,46,4,0,1266,13,51,158,180,220,176,53,8,0,864,66,163,528,602,561,468,153,22,0,2567,51,195,544,618,869,854,224,15,0,3386,41,193,693,900,1101,740,138,10,0,3802,189,613,1952,2448,2582,1994,515,29,0,10314,374,1331,3476,3500,4477,4902,981,40,3,19080,80,90,152,158,163,142,43,9,0,838,128,241,585,519,596,457,149,17,0,2703
49499,13,33,116,93,83,63,16,5,0,419,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,3,0,0,0,10,0,0,3,0,0,0,0,0,0,6,0,0,3,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,6,7,5,0,6,0,0,0,26,10,4,10,5,3,0,3,0,0,33,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,0,0,0,24,4,0,7,0,3,6,3,0,0,27,0,0,5,7,0,3,0,0,0,19,0,0,8,10,3,4,0,0,0,20,0,6,23,15,15,17,3,0,0,81,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,8
49799,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,27689,49129,121186,127540,111151,83965,25561,3363,252,549839,98,187,569,602,678,517,252,62,11,2977,111,1087,4662,4740,3257,1545,206,19,0,15623,828,1057,3034,3599,3583,2440,581,68,3,15189,40,168,828,1090,831,445,84,4,0,3488,210,988,3895,3958,3228,2249,529,40,0,15093,219,616,1755,2053,2032,1401,321,36,4,8432,8789,9384,10422,8474,8684,7059,1690,124,11,54633,11474,7397,7262,4754,3613,2327,557,37,4,37430,198,817,2398,2574,2654,1904,469,37,0,11052,220,392,904,735,606,425,110,13,0,3410,117,724,3419,4143,3355,1929,410,39,9,14147,116,581,1826,1921,1842,1414,515,88,8,8304,306,2819,9744,10086,7070,4057,1264,128,6,35477,371,1555,4280,4164,3660,2644,671,52,0,17402,279,1628,6192,7703,7504,5547,1090,66,0,30014,1470,4008,12480,16119,18416,13330,3156,204,7,69198,1796,9843,28423,27217,25588,20327,4954,269,8,118436,1163,1477,2240,1875,1441,969,334,42,0,9553,1078,2318,5497,4733,3964,2590,694,84,3,20964
5RWAU,7221,9239,24666,26904,27516,24699,8622,1490,180,130548,199,333,952,1128,1309,1415,966,275,18,6592,104,495,1491,1350,1060,537,60,4,0,5099,254,283,766,838,735,511,134,21,0,3543,12,44,146,181,148,118,20,0,0,670,67,170,662,783,717,598,139,7,0,3138,80,140,348,326,378,254,70,15,0,1610,2034,1125,2007,2343,2615,2252,532,55,0,12961,2386,1047,1915,1712,1629,1318,381,45,0,10427,78,172,493,596,746,694,234,28,0,3047,59,50,114,100,82,81,26,0,0,500,18,110,369,395,367,270,49,3,0,1579,51,159,359,355,386,288,106,16,0,1716,84,237,798,1017,846,630,219,22,0,3857,113,251,768,940,978,761,189,21,0,4020,110,321,1252,1645,1806,1271,271,28,0,6699,250,691,2815,4094,4620,3449,728,46,0,16684,522,1482,4461,5113,5435,4994,1183,64,0,23252,161,122,301,309,305,234,64,0,0,1497,258,368,950,906,897,621,157,11,0,4170
59499,19,101,268,211,156,115,28,0,0,899,0,10,19,0,0,5,0,0,0,38,0,6,13,8,8,9,0,0,0,38,0,0,15,3,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,5,0,0,0,3,5,7,4,0,0,25,0,0,3,4,3,0,0,0,0,5,0,9,10,9,6,9,3,0,0,47,22,21,54,9,12,14,0,0,0,142,0,3,9,3,4,8,0,0,0,29,0,0,0,5,0,0,0,0,0,7,0,0,5,6,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,9,13,20,4,4,0,0,0,44,0,7,14,3,0,3,0,0,0,29,5,0,7,7,3,7,0,0,0,32,0,7,10,11,10,10,3,0,0,50,4,14,32,31,15,29,5,0,0,124,3,0,9,0,0,0,0,0,0,17,3,0,8,6,4,5,0,0,0,24
59799,3,12,60,92,55,30,5,0,0,246,0,3,6,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,2560,5011,15804,12592,11352,9202,2815,368,23,59730,21,48,177,120,122,81,47,10,0,621,0,4,9,15,12,5,3,0,0,42,160,157,359,315,274,241,82,4,0,1589,3,37,201,259,184,77,8,0,0,777,19,66,271,277,231,190,60,9,0,1114,12,48,123,114,128,92,28,0,0,550,851,986,1474,919,863,750,195,20,0,6054,1070,767,1453,663,455,310,92,13,0,4818,21,77,178,176,189,154,41,4,0,842,13,48,174,151,119,108,28,0,0,633,17,69,397,376,322,195,36,0,0,1408,14,82,177,129,153,116,36,5,0,715,41,227,945,826,670,474,128,12,0,3322,39,136,446,395,389,299,88,13,0,1813,48,281,1231,1696,1793,1150,204,4,0,6418,141,425,1774,2029,2151,1608,405,20,0,8558,142,1177,3977,3128,3053,2879,581,40,3,14985,134,142,287,245,223,186,63,7,0,1294,72,228,660,477,432,282,79,15,0,2243
6RTAS,3605,5768,14378,12953,14208,13571,4418,724,83,69710,111,218,631,570,598,614,321,93,4,3166,0,18,82,57,57,31,11,5,0,262,171,216,535,502,611,540,103,8,3,2682,0,11,108,116,109,72,12,0,0,418,32,89,244,301,265,251,68,7,0,1252,37,86,167,184,217,173,46,0,0,910,1233,983,1426,1260,1547,1227,267,17,0,7965,1483,843,1237,828,886,801,187,14,0,6277,26,67,205,268,390,376,81,15,0,1411,20,38,90,92,106,94,22,0,0,461,16,105,329,362,315,223,38,3,0,1386,20,90,195,148,168,155,52,10,0,855,65,199,622,623,564,419,164,13,0,2675,52,148,380,487,574,476,93,7,0,2212,31,162,556,803,994,749,130,4,0,3429,104,397,1352,2076,2328,1825,376,26,0,8486,220,1246,3716,3273,3999,3972,754,32,5,17204,84,90,175,159,198,185,57,3,0,963,134,270,597,473,484,357,111,8,0,2432
69499,5,18,46,36,42,20,3,0,0,174,0,0,3,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,0,4,0,0,0,22,5,3,3,5,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,0,3,7,0,0,0,0,0,11,0,0,0,4,3,0,0,0,0,5,0,0,7,0,10,5,0,0,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,3
69799,0,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,1748,3517,10045,8685,7304,5120,1561,158,14,38166,10,19,64,61,76,53,22,5,0,311,7,12,95,73,58,32,3,0,0,283,37,60,95,113,109,70,17,0,0,501,0,15,91,118,97,53,5,0,0,379,26,55,277,296,273,181,32,0,0,1151,10,27,86,92,85,46,15,0,0,350,455,388,727,507,497,339,110,5,0,3031,609,348,903,537,312,218,47,3,0,2986,33,67,174,172,161,127,22,4,0,763,10,24,66,59,25,27,11,0,0,225,4,32,196,142,119,44,13,0,0,556,8,41,147,131,108,74,35,12,0,562,37,143,623,504,378,261,88,7,0,2049,24,81,307,305,282,178,40,3,0,1222,80,483,1655,1763,1539,953,188,9,0,6673,105,267,968,1225,1123,740,172,14,0,4612,115,590,2566,1838,1261,934,246,9,0,7560,85,106,205,132,120,66,21,0,0,739,68,119,377,343,234,146,45,5,0,1339
7RNTE,675,1269,4096,3610,2963,2535,808,103,5,16062,60,121,137,95,68,54,10,3,0,554,4,19,39,52,29,14,0,0,0,157,12,12,31,24,23,9,3,0,0,122,3,0,8,9,15,13,0,0,0,49,11,23,79,78,74,57,18,4,0,340,3,16,31,23,26,22,6,0,0,131,171,92,323,204,176,168,43,0,0,1172,122,125,350,182,135,129,29,0,0,1080,8,18,62,41,58,46,10,6,0,235,4,7,15,14,11,12,0,0,0,74,3,8,39,34,14,11,4,0,0,107,3,17,29,30,23,20,6,0,0,129,9,17,164,119,107,82,17,6,0,524,15,36,95,91,84,71,22,0,0,416,41,167,607,592,539,361,83,0,0,2380,87,161,669,600,624,473,117,6,0,2739,69,264,1189,922,758,577,150,9,0,3938,33,56,123,102,83,63,35,3,0,494,24,34,142,135,102,75,23,0,0,543
79499,3,17,76,67,36,26,11,0,0,242,0,0,12,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,6,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,5,4,4,0,6,0,0,0,0,20,4,3,28,3,3,0,0,0,0,49,0,0,4,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,9,5,0,0,0,0,0,8,0,0,8,13,5,0,0,0,0,25,0,3,0,3,4,0,0,0,0,6,0,0,5,4,7,0,0,0,0,19,0,0,0,4,7,0,0,0,0,20,0,0,12,6,6,6,3,0,0,38,0,0,4,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0
79799,0,3,16,10,9,9,0,0,0,56,0,3,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,6067,12780,32885,30384,24020,14582,4202,574,58,125547,13,32,46,47,24,48,25,4,0,240,0,3,7,8,3,5,0,0,0,27,162,148,258,205,202,126,41,13,0,1157,8,51,183,159,108,41,5,0,0,550,53,179,602,494,379,212,43,8,0,1975,20,72,113,96,105,78,22,0,0,509,1752,1749,1870,1010,862,737,253,22,0,8252,2219,1754,1689,779,484,372,83,9,0,7376,21,71,236,217,241,168,45,4,0,992,52,155,377,368,304,162,37,13,0,1460,14,145,545,509,342,214,56,8,0,1835,36,226,462,343,239,179,59,15,3,1565,174,1297,3460,2981,2036,1105,311,42,0,11404,80,305,951,734,613,479,135,11,3,3293,276,2460,9608,11032,9134,4365,584,24,0,37487,672,1360,3441,3911,3505,2170,539,48,0,15647,493,2281,6097,4862,3766,2740,682,44,0,20971,332,442,543,433,349,233,94,13,0,2446,307,536,940,768,630,415,140,8,0,3739
89499,10,18,30,23,14,5,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,12,8,3,0,8,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,3,9,5,0,5,0,0,0,23,0,4,3,0,4,3,0,0,0,13,0,3,9,4,0,5,0,0,0,20,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,49,60,169,208,231,272,125,20,4,1142,0,0,3,0,5,0,0,0,0,16,0,0,4,4,5,3,0,0,0,14,0,0,6,0,0,7,0,0,0,9,0,0,0,3,4,3,0,0,0,9,0,0,4,5,10,4,0,0,0,25,0,0,0,0,0,0,0,0,0,4,7,6,4,24,24,29,20,8,0,127,21,13,20,21,35,31,13,0,0,160,0,3,6,4,10,7,3,0,0,33,0,0,5,0,0,0,5,0,0,5,0,0,9,8,6,4,0,0,0,22,0,0,0,3,0,4,0,0,0,9,0,0,3,8,3,13,3,0,0,35,4,3,11,21,26,18,8,0,0,93,6,12,30,49,44,36,15,0,0,182,0,8,31,22,26,31,4,0,0,129,0,6,19,20,22,36,14,3,0,124,8,4,8,3,5,7,5,0,0,35,0,0,4,4,4,5,0,0,0,18
99499,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
