GCCSA_CODE_2021,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
1GSYD,48144,111568,301213,305092,249396,180407,54783,7988,667,1259257,163,278,726,802,1023,784,338,100,15,4227,5,47,233,268,260,154,32,10,0,1011,1332,2543,8639,10729,10995,7806,1659,136,8,43834,23,255,1208,1559,1343,689,115,8,0,5206,479,2136,8702,9200,7441,4334,1120,132,9,33552,334,1802,6938,8593,7743,4704,1025,112,13,31271,13581,18352,25487,20945,18442,13436,3264,319,20,113850,17596,11928,13810,9139,7229,5229,1099,106,11,66138,486,2087,6848,7648,7492,5063,1027,88,4,30741,397,1809,7177,6792,4576,2214,481,63,3,23506,338,5010,22107,25759,17210,7870,1564,138,19,80006,420,1977,5798,5860,4676,2759,908,213,32,22635,1102,10686,37779,31538,21444,11982,3717,473,16,118733,563,3149,10150,9186,8167,5750,1439,143,7,38554,493,3475,13890,16645,15105,9773,1981,106,9,61474,4235,11450,33347,33789,34042,24322,6404,469,19,148081,4204,22844,61010,54011,51066,41434,10929,903,23,246426,1412,2423,4615,3656,2862,1831,605,102,6,17518,1473,3403,8919,7953,7355,4863,1221,141,8,35331
1RNSW,39936,55330,126160,124729,128767,113949,38463,7010,839,635185,577,1074,2465,2733,3550,4184,3233,1125,145,19083,41,333,1144,1057,835,377,56,4,3,3847,1332,1429,3793,3800,4058,3179,736,81,9,18416,51,144,536,754,899,551,83,8,0,3018,420,926,3171,3476,3324,2686,764,77,3,14855,235,501,1323,1455,1670,1325,390,53,5,6970,11880,8596,11825,10938,12459,10944,2642,234,16,69534,15474,8349,8707,6890,6746,5793,1443,146,9,53564,205,581,1579,1911,2561,2486,756,103,6,10189,224,406,916,908,804,610,189,25,0,4084,160,952,3733,3912,3574,2269,399,50,5,15062,261,788,1875,1754,1970,1416,528,92,5,8691,550,2327,7363,7610,6646,4728,1538,166,6,30942,450,1495,4187,4677,5305,4583,1038,87,0,21826,492,2087,8214,10606,11385,6976,1083,60,0,40903,1783,5077,16019,20142,21846,16562,3865,232,7,85535,3314,12969,34387,32324,36057,33939,7380,367,13,160744,936,917,1558,1442,1385,1001,345,60,7,7642,1399,2327,5281,4492,4381,3122,895,101,7,22004
19499,57,128,435,295,228,187,52,6,0,1388,0,3,35,5,6,5,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,4,19,6,3,10,0,0,0,44,0,0,0,0,6,0,0,0,0,9,0,0,11,4,6,3,0,0,0,30,0,0,5,0,0,3,0,0,0,13,15,20,31,11,22,10,3,0,0,113,26,31,43,13,11,7,0,0,0,137,0,7,8,5,3,0,0,0,0,27,0,0,10,3,0,4,0,0,0,14,0,3,12,9,6,3,0,0,0,34,0,3,3,4,0,0,0,0,0,14,0,3,27,21,16,6,3,0,0,87,0,0,19,15,5,10,0,0,0,56,8,7,11,10,15,13,0,0,0,63,4,6,30,12,19,22,7,0,0,94,0,18,61,40,38,32,16,0,0,199,4,5,21,9,6,0,0,0,0,39,5,0,13,12,9,10,0,0,0,42
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,49493,115736,316019,305215,247898,176983,52681,7562,610,1272202,157,434,1287,1329,1430,1120,449,142,10,6359,5,32,189,299,303,107,31,5,0,977,2391,3338,10560,12763,13446,9017,1799,167,7,53490,30,350,2123,2908,1839,822,129,7,0,8206,373,2236,8776,8634,7105,4463,1079,121,0,32792,330,1651,5860,7084,6854,4178,923,100,5,26990,16154,23880,27426,20604,20128,14074,3314,298,12,125884,21980,16130,16022,9330,7603,4815,1007,89,3,76985,362,2137,6772,7020,6673,4314,828,53,3,28166,558,1454,4827,4725,3247,1547,346,42,6,16745,171,2913,14985,17597,11565,5370,1105,96,5,53803,261,1583,5521,4590,3932,2389,782,143,14,19210,582,7673,33341,28664,19468,10438,3125,348,18,103669,527,3413,10731,8953,8316,5507,1463,126,7,39043,380,3397,15601,17866,16076,10477,2133,192,7,66132,2973,9986,36003,37161,35249,24786,5655,422,12,152253,2558,20938,67861,58886,53243,40348,10013,640,18,254516,2173,3206,5329,4450,3513,2009,592,83,8,21361,1215,3990,10862,9394,8192,5259,1286,125,7,40332
2RVIC,21524,30436,72577,70493,73449,67302,24572,4520,525,365387,524,835,2299,2396,2828,3330,2557,840,90,15696,6,61,145,136,149,110,30,0,3,640,1211,1133,2644,2815,3262,2607,608,47,4,14331,28,142,515,616,605,372,65,4,0,2351,173,603,1780,1956,2004,1557,396,36,5,8500,163,320,851,882,1059,873,210,22,7,4389,6891,5165,6726,6092,7304,6458,1470,96,10,40220,8040,4293,4427,3407,3503,3129,831,61,6,27695,122,327,970,1109,1518,1479,412,45,0,5979,113,240,567,573,551,399,125,14,0,2592,58,385,1794,2184,1936,1191,232,18,0,7791,82,347,870,839,912,633,223,32,0,3942,219,1080,3680,4073,3542,2574,867,79,3,16110,245,719,2032,2207,2521,2241,548,60,4,10575,222,1034,4159,5439,5877,4376,877,61,0,22046,795,2476,9109,11078,11540,8951,2036,93,4,46081,1270,6876,20398,18958,21235,20540,4511,179,4,93984,559,639,1066,1050,1003,756,240,27,0,5335,547,1250,2926,2433,2329,1779,535,62,3,11862
29499,43,104,316,210,182,131,36,7,0,1022,0,0,11,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,5,13,5,9,0,0,0,0,32,0,0,0,5,0,0,0,0,0,5,0,0,6,3,0,3,0,0,0,17,4,0,5,4,6,0,0,0,0,12,9,9,20,14,9,10,3,0,0,68,16,32,50,3,7,8,0,0,0,114,0,0,12,3,9,6,0,0,0,29,0,0,5,6,0,0,0,0,0,13,0,0,12,5,0,0,0,0,0,21,0,4,3,0,0,0,0,0,0,10,0,3,13,5,6,12,0,0,0,39,0,0,15,6,4,6,0,0,0,30,4,6,8,9,5,9,0,0,0,46,0,7,18,18,16,8,0,0,0,65,0,18,54,26,23,33,3,0,0,156,3,0,11,8,0,0,0,0,0,25,0,6,4,5,7,0,0,0,0,22
29799,0,0,0,4,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,33679,62251,146078,146238,129871,89402,24218,3096,230,635069,146,307,1017,775,836,688,300,105,6,4174,7,172,898,1127,748,346,48,4,0,3347,957,1638,4493,5218,5270,3532,656,61,5,21829,37,171,799,1315,1122,486,75,3,0,4012,349,1195,3894,4364,3635,2230,570,49,5,16297,279,797,2330,2659,2682,1707,386,26,0,10864,9884,10619,12978,9512,9515,6842,1527,125,9,61014,15832,8298,8421,4717,3666,2308,468,35,3,43750,231,1188,3565,4169,3938,2724,556,42,0,16405,236,703,1433,1352,1057,532,128,7,0,5445,156,1384,5599,6568,4964,2373,419,42,7,21519,232,1025,2693,2642,2345,1557,602,94,13,11203,635,4803,13694,12766,9163,4839,1308,138,0,47351,486,2191,5690,5098,4639,3061,751,62,0,21969,244,2114,8179,10781,10707,6047,979,57,6,39108,1879,5330,15614,19983,21400,13927,2713,184,7,81029,2918,14063,36089,33992,31451,23178,4736,244,4,146676,1004,1519,2262,1812,1487,866,258,36,0,9238,1168,2629,6054,5176,4642,2805,707,76,0,23256
3RQLD,37881,52699,121230,123170,126868,103984,33068,5464,513,604869,678,1144,3126,2903,3368,3265,2032,672,61,17243,142,676,1947,1655,1407,738,96,14,0,6676,1148,1377,3175,3675,3943,2954,729,68,0,17063,73,164,614,789,763,460,85,11,0,2949,384,977,3635,4360,4133,3017,770,83,3,17364,246,627,1521,1805,2053,1469,371,46,7,8139,11605,8601,11821,10924,12510,10278,2602,224,18,68577,15837,7919,10030,7473,6878,5098,1331,113,9,54696,275,682,2154,2572,3114,2561,761,85,0,12199,208,491,897,808,770,514,140,20,0,3853,172,964,3001,3338,3094,1895,330,32,4,12842,253,849,2141,2399,2632,2127,800,141,8,11348,633,2577,7078,7542,6420,4184,1289,144,5,29881,544,1558,4302,4684,5239,4057,1019,83,3,21494,303,1616,5789,7333,7818,5111,940,60,4,28976,1474,4279,13320,19561,21758,14830,3153,215,10,78600,2660,11613,31192,31095,33301,28526,6153,306,7,144859,1133,1319,2070,1878,1626,1176,388,54,4,9638,1321,2417,5687,5191,4809,3180,855,90,0,23548
