GCCSA_CODE_2021,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,M_GradDip_and_GradCert_75_84,M_GradDip_and_GradCert_85ov,M_GradDip_and_GradCert_Total,M_BachDeg_15_24,M_BachDeg_25_34,M_BachDeg_35_44,M_BachDeg_45_54,M_BachDeg_55_64,M_BachDeg_65_74,M_BachDeg_75_84,M_BachDeg_85ov,M_BachDeg_Total,M_AdvDip_and_Dip_15_24,M_AdvDip_and_Dip_25_34,M_AdvDip_and_Dip_35_44,M_AdvDip_and_Dip_45_54,M_AdvDip_and_Dip_55_64,M_AdvDip_and_Dip_65_74,M_AdvDip_and_Dip_75_84,M_AdvDip_and_Dip_85ov,M_AdvDip_and_Dip_Total,M_Cert_III_IV_15_24,M_Cert_III_IV_25_34,M_Cert_III_IV_35_44,M_Cert_III_IV_45_54,M_Cert_III_IV_55_64,M_Cert_III_IV_65_74,M_Cert_III_IV_75_84,M_Cert_III_IV_85ov,M_Cert_III_IV_Total,M_Cert_I_II_15_24,M_Cert_I_II_25_34,M_Cert_I_II_35_44,M_Cert_I_II_45_54,M_Cert_I_II_55_64,M_Cert_I_II_65_74,M_Cert_I_II_75_84,M_Cert_I_II_85ov,M_Cert_I_II_Total,M_Cert_Levl_nfd_15_24,M_Cert_Levl_nfd_25_34,M_Cert_Levl_nfd_35_44,M_Cert_Levl_nfd_45_54,M_Cert_Levl_nfd_55_64,M_Cert_Levl_nfd_65_74,M_Cert_Levl_nfd_75_84,M_Cert_Levl_nfd_85ov,M_Cert_Levl_nfd_Total,M_Cert_Lev_Tot_15_24,M_Cert_Lev_Tot_25_34,M_Cert_Lev_Tot_35_44,M_Cert_Lev_Tot_45_54,M_Cert_Lev_Tot_55_64,M_Cert_Lev_Tot_65_74,M_Cert_Lev_Tot_75_84,M_Cert_Lev_Tot_85ov,M_Cert_Lev_Tot_Total,M_Lev_Edu_IDes_15_24,M_Lev_Edu_IDes_25_34,M_Lev_Edu_IDes_35_44,M_Lev_Edu_IDes_45_54,M_Lev_Edu_IDes_55_64,M_Lev_Edu_IDes_65_74,M_Lev_Edu_IDes_75_84,M_Lev_Edu_IDes_85ov,M_Lev_Edu_IDes_Total,M_Lev_Edu_NS_15_24,M_Lev_Edu_NS_25_34,M_Lev_Edu_NS_35_44,M_Lev_Edu_NS_45_54,M_Lev_Edu_NS_55_64,M_Lev_Edu_NS_65_74,M_Lev_Edu_NS_75_84,M_Lev_Edu_NS_85ov,M_Lev_Edu_NS_Total,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Total,F_PGrad_Deg_15_24,F_PGrad_Deg_25_34,F_PGrad_Deg_35_44,F_PGrad_Deg_45_54,F_PGrad_Deg_55_64,F_PGrad_Deg_65_74,F_PGrad_Deg_75_84,F_PGrad_Deg_85ov,F_PGrad_Deg_Total,F_GradDip_and_GradCert_15_24,F_GradDip_and_GradCert_25_34,F_GradDip_and_GradCert_35_44,F_GradDip_and_GradCert_45_54,F_GradDip_and_GradCert_55_64,F_GradDip_and_GradCert_65_74,F_GradDip_and_GradCert_75_84,F_GradDip_and_GradCert_85ov,F_GradDip_and_GradCert_Total,F_BachDeg_15_24,F_BachDeg_25_34,F_BachDeg_35_44,F_BachDeg_45_54,F_BachDeg_55_64,F_BachDeg_65_74,F_BachDeg_75_84,F_BachDeg_85ov,F_BachDeg_Total,F_AdvDip_and_Dip_15_24,F_AdvDip_and_Dip_25_34,F_AdvDip_and_Dip_35_44,F_AdvDip_and_Dip_45_54,F_AdvDip_and_Dip_55_64,F_AdvDip_and_Dip_65_74,F_AdvDip_and_Dip_75_84,F_AdvDip_and_Dip_85ov,F_AdvDip_and_Dip_Total,F_Cert_III_IV_15_24,F_Cert_III_IV_25_34,F_Cert_III_IV_35_44,F_Cert_III_IV_45_54,F_Cert_III_IV_55_64,F_Cert_III_IV_65_74,F_Cert_III_IV_75_84,F_Cert_III_IV_85ov,F_Cert_III_IV_Total,F_Cert_I_II_15_24,F_Cert_I_II_25_34,F_Cert_I_II_35_44,F_Cert_I_II_45_54,F_Cert_I_II_55_64,F_Cert_I_II_65_74,F_Cert_I_II_75_84,F_Cert_I_II_85ov,F_Cert_I_II_Total,F_Cert_Levl_nfd_15_24,F_Cert_Levl_nfd_25_34,F_Cert_Levl_nfd_35_44,F_Cert_Levl_nfd_45_54,F_Cert_Levl_nfd_55_64,F_Cert_Levl_nfd_65_74,F_Cert_Levl_nfd_75_84,F_Cert_Levl_nfd_85ov,F_Cert_Levl_nfd_Total,F_Cert_Lev_Tot_15_24,F_Cert_Lev_Tot_25_34,F_Cert_Lev_Tot_35_44,F_Cert_Lev_Tot_45_54,F_Cert_Lev_Tot_55_64,F_Cert_Lev_Tot_65_74,F_Cert_Lev_Tot_75_84,F_Cert_Lev_Tot_85ov,F_Cert_Lev_Tot_Total,F_Lev_Edu_IDes_15_24,F_Lev_Edu_IDes_25_34,F_Lev_Edu_IDes_35_44,F_Lev_Edu_IDes_45_54,F_Lev_Edu_IDes_55_64,F_Lev_Edu_IDes_65_74,F_Lev_Edu_IDes_75_84,F_Lev_Edu_IDes_85ov,F_Lev_Edu_IDes_Total,F_Lev_Edu_NS_15_24,F_Lev_Edu_NS_25_34,F_Lev_Edu_NS_35_44,F_Lev_Edu_NS_45_54,F_Lev_Edu_NS_55_64,F_Lev_Edu_NS_65_74,F_Lev_Edu_NS_75_84,F_Lev_Edu_NS_85ov,F_Lev_Edu_NS_Total,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Total,P_PGrad_Deg_15_24,P_PGrad_Deg_25_34
49499,0,13,11,3,5,3,0,0,36,0,0,0,0,5,0,0,0,6,7,37,18,18,22,11,4,0,108,0,6,11,7,18,10,0,0,65,21,56,46,58,63,54,7,0,308,10,17,0,0,0,0,0,0,33,0,4,0,8,4,7,0,0,23,29,79,52,63,70,59,7,0,363,0,0,3,5,3,0,0,0,9,39,96,95,106,103,53,5,0,500,78,225,187,202,224,138,21,0,1081,0,25,7,11,0,0,0,0,44,0,4,6,5,7,4,0,0,22,12,51,25,12,15,7,4,0,125,4,18,16,21,27,20,0,0,96,29,44,32,21,24,11,0,0,166,12,8,7,0,6,0,0,0,30,0,0,8,6,0,9,0,0,21,41,55,46,27,31,18,0,0,214,3,0,0,0,0,0,0,0,4,37,74,86,45,35,31,6,4,314,97,214,187,122,116,75,11,5,826,4,37
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,3,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,833,10647,14534,10360,7358,4866,2019,413,51024,191,2457,3426,3420,2796,1741,592,88,14697,8880,32763,33737,24700,16912,12034,4667,1073,134759,4225,12426,15947,14624,12009,9442,4350,1003,74022,16130,37860,35658,32821,31166,22046,10705,2859,189247,5338,2172,1207,835,613,410,153,25,10750,900,1358,1742,1982,1860,1695,907,241,10680,22369,41389,38616,35634,33639,24156,11770,3122,210677,517,990,1297,1155,931,930,681,243,6733,7182,11807,11336,9829,7826,5827,4679,2781,61262,44187,112475,118877,99720,81470,58995,28746,8714,553185,876,14079,15888,9604,5760,3023,801,147,50178,637,5827,7130,6324,4798,2736,788,142,28381,12402,48227,46482,31059,19069,12196,4781,1280,175500,5707,16541,19410,19030,16506,10441,4345,1331,93317,15276,23851,20956,18473,13941,6763,1944,531,101736,5225,2571,2216,1935,1699,1127,429,93,15297,1311,1847,2961,4237,4159,3102,1546,555,19727,21811,28276,26139,24645,19793,10992,3926,1175,136758,437,1022,1245,1173,1203,1378,897,315,7668,6442,9711,8486,7330,7189,7732,7371,5544,59800,48313,123684,124780,99160,74324,48502,22912,9936,551599,1709,24726
5RWAU,42,660,856,781,676,572,244,38,3857,19,243,414,462,420,305,71,12,1950,468,3044,3395,3045,2422,1954,679,138,15144,287,1563,2618,2710,2710,2190,889,154,13115,4440,11924,12065,11301,10591,6989,2671,574,60554,1527,665,405,290,264,159,46,6,3367,193,291,435,506,565,547,220,59,2820,6165,12880,12899,12100,11421,7686,2939,644,66745,65,147,177,217,223,219,128,33,1207,3628,5277,5229,5334,4695,3321,1998,751,30244,10666,23810,25604,24647,22563,16257,6948,1768,132252,85,1055,1293,913,758,463,110,5,4693,86,895,1172,1137,979,602,147,24,5039,1151,6488,7025,5432,3871,2420,980,227,27599,670,2999,3868,4067,4178,2761,1029,259,19832,3777,6627,6543,5802,4514,2091,495,93,29943,1704,1101,874,727,584,339,95,18,5442,289,476,702,1015,1034,714,271,60,4551,5774,8199,8118,7538,6133,3145,863,169,39939,70,161,201,210,232,294,171,66,1412,3060,3934,3860,3771,3800,3445,2499,1318,25690,10893,23732,25547,23081,19957,13133,5798,2067,124202,123,1716
59499,0,21,16,12,10,8,0,0,64,0,4,7,7,6,4,0,0,29,12,81,53,28,24,21,8,0,227,10,37,33,21,25,20,6,0,143,48,131,132,113,114,103,14,0,662,15,8,10,6,0,0,0,0,39,4,4,3,7,9,7,0,0,26,65,139,148,126,123,109,14,0,726,0,3,0,3,0,0,0,0,13,174,398,532,519,342,152,50,9,2177,258,676,786,712,533,320,81,13,3376,0,42,18,8,10,7,0,0,90,0,7,12,9,11,10,0,0,49,40,140,80,27,36,13,0,0,340,8,48,44,27,45,16,5,0,190,32,65,69,48,47,22,0,0,286,25,12,3,4,4,0,0,0,49,0,0,4,4,19,8,0,0,42,54,82,75,63,71,31,0,0,376,4,6,0,0,4,4,0,0,15,162,262,283,227,164,100,22,7,1234,269,590,509,363,340,179,25,7,2290,0,64
59799,0,0,0,3,0,0,0,0,5,0,0,3,0,0,0,0,0,3,4,9,10,10,6,0,0,0,36,0,5,6,3,0,3,0,0,24,7,27,39,15,7,0,0,0,100,0,0,0,0,0,0,0,0,3,0,6,4,0,3,0,0,0,8,7,30,36,21,9,4,0,0,110,0,0,3,4,0,0,0,0,10,14,40,70,41,20,3,0,0,204,24,82,135,83,47,7,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,4,0,4,0,0,0,0,7,4,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,3,3,8,0,0,0,0,20,13,12,6,7,3,5,0,0,48,0,0
6GHOB,78,3414,1674,1143,944,748,338,87,8427,19,333,379,478,428,319,92,14,2059,967,4704,3308,2402,1912,1746,664,191,15893,269,1177,1259,1370,1359,1127,562,137,7252,1459,4337,3797,3622,3633,2611,1376,377,21215,304,290,179,103,109,65,16,12,1079,84,150,179,191,214,235,134,38,1228,1852,4777,4157,3915,3961,2906,1529,433,23522,30,124,95,77,86,66,71,18,571,764,1153,885,819,812,837,691,286,6249,3988,15677,11756,10199,9500,7753,3934,1164,63976,140,3996,2266,1386,1001,665,172,27,9669,61,726,892,755,736,557,145,24,3892,1338,5571,4294,3211,2585,1997,770,213,19986,332,1432,1618,1967,1813,1460,653,237,9511,1426,2926,2614,2262,1899,880,240,70,12319,385,412,311,239,245,138,63,12,1799,141,204,208,295,466,414,173,93,1999,1949,3539,3136,2798,2618,1438,474,169,16113,50,107,104,81,102,127,98,39,712,760,1071,821,756,898,1134,1111,620,7177,4631,16446,13130,10966,9757,7378,3422,1337,67058,223,7410
6RTAS,40,1352,784,582,649,607,315,48,4380,0,161,228,279,332,333,98,11,1443,461,2481,2047,1821,1815,1644,594,120,10974,179,834,1194,1613,1841,1599,652,137,8053,2237,5914,5378,5972,6501,4680,2216,518,33414,435,437,244,175,177,109,40,7,1624,101,168,190,241,327,400,189,43,1665,2777,6518,5815,6387,7005,5186,2444,565,36697,41,105,85,92,88,132,82,15,642,1315,1360,1231,1445,1629,1841,1311,519,10651,4809,12806,11396,12224,13357,11338,5494,1419,72842,35,1419,967,784,819,539,142,11,4701,49,434,531,606,633,473,144,24,2896,752,3775,3755,3053,2892,2229,785,154,17389,302,1353,1865,2479,2681,1987,911,237,11814,1987,4281,3882,3731,3277,1499,317,79,19051,634,697,526,465,451,257,74,24,3126,193,289,336,518,685,585,211,70,2886,2815,5266,4747,4708,4407,2341,599,168,25064,67,93,80,120,138,159,125,38,817,1168,1247,1145,1320,1793,2131,1845,863,11512,5180,13589,13082,13056,13366,9866,4556,1498,74194,72,2773
69499,0,0,3,3,0,5,0,0,12,0,0,0,0,0,0,0,0,3,0,4,3,8,9,6,0,0,24,4,5,3,4,4,4,0,0,27,3,25,22,25,24,13,6,0,109,3,5,0,4,0,0,0,0,9,0,0,0,4,5,0,0,0,10,12,29,22,27,28,13,6,0,135,0,0,0,0,0,0,0,0,5,23,40,29,30,31,44,4,0,209,39,82,65,80,75,63,5,0,408,0,6,5,6,4,0,0,0,19,0,6,0,0,7,0,0,0,10,0,21,15,14,6,0,0,0,61,0,3,5,6,10,6,4,0,28,7,16,19,13,11,3,0,0,69,8,7,4,3,4,0,0,0,26,0,0,0,0,0,0,0,0,4,14,18,25,17,12,3,0,0,94,0,0,0,0,4,0,0,0,5,15,16,23,16,21,32,7,4,131,39,68,68,56,63,47,8,4,347,0,10
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,38,1275,977,521,413,245,68,9,3547,3,203,198,234,202,80,16,3,937,450,2397,1804,1118,746,513,164,30,7221,185,892,1032,1136,771,412,130,19,4566,1246,3134,2890,2557,2085,1157,410,60,13543,363,161,89,68,32,25,7,0,740,84,108,155,147,109,102,37,7,747,1695,3403,3138,2770,2223,1283,461,68,15036,21,71,75,62,33,46,27,6,337,929,1403,1185,1111,812,551,233,77,6302,3319,9637,8403,6947,5207,3125,1096,211,37944,47,1544,1155,699,480,217,51,3,4197,50,506,593,476,330,159,30,0,2150,650,3830,2903,1697,1065,605,179,28,10956,234,1155,1285,1187,877,427,146,15,5332,865,1823,1637,1231,843,272,55,11,6746,305,245,179,111,88,51,10,3,998,69,122,147,214,165,102,51,6,876,1240,2185,1966,1560,1095,438,111,25,8622,34,94,69,51,43,33,8,5,345,785,1289,1099,883,719,518,268,101,5662,3048,10607,9076,6550,4610,2398,803,184,37272,85,2818
7RNTE,3,313,302,140,149,85,19,3,1013,3,64,74,66,58,41,6,0,305,93,810,601,351,318,169,40,0,2379,87,351,394,368,302,138,33,0,1679,503,1360,1239,1168,1005,477,108,18,5885,138,132,118,83,54,23,3,0,555,43,103,110,95,73,45,13,0,479,687,1599,1465,1351,1129,537,130,18,6911,5,12,19,18,13,9,0,3,78,938,1119,858,754,709,389,134,25,4936,1819,4267,3714,3053,2665,1358,374,46,17308,13,476,391,235,213,78,18,0,1423,13,193,228,187,156,64,15,0,850,196,1469,911,673,515,222,48,9,4037,82,424,406,472,411,175,45,10,2029,417,797,674,585,396,156,22,4,3060,130,181,160,136,84,23,8,0,724,56,120,110,132,96,49,8,4,577,609,1096,940,856,585,227,40,13,4369,15,27,17,16,13,7,8,0,109,838,1059,805,730,649,361,104,37,4581,1763,4752,3698,3171,2536,1127,272,75,17392,23,792
79499,0,9,11,5,0,5,0,0,32,0,9,3,0,7,3,0,0,20,3,40,13,11,10,14,0,0,91,0,7,16,11,15,13,0,0,63,10,41,42,33,52,49,6,0,231,0,5,0,5,3,0,0,0,16,0,0,0,0,10,3,0,0,19,10,49,49,35,59,53,6,0,261,0,0,0,0,0,0,0,0,4,71,125,146,173,139,67,16,0,728,84,238,244,242,229,152,22,0,1209,0,19,4,12,9,3,0,0,50,0,9,10,5,4,3,0,0,34,7,76,36,12,20,5,0,0,166,0,16,17,23,16,11,0,0,85,12,20,7,19,24,12,0,0,92,0,3,3,3,3,0,0,0,14,0,3,9,5,4,7,0,0,23,12,31,15,24,33,16,0,0,125,0,3,3,0,5,0,0,0,6,82,148,119,158,125,39,7,0,668,101,307,214,229,210,76,9,0,1144,0,30
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,6,0,0,4,0,0,0,0,0,6,0,3,0,5,3,0,0,0,16,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,6,3,7,4,8,4,0,0,0,25,0,0,3,0,0,0,0,0,3,6,4,4,6,7,0,0,0,21,7,16,16,7,12,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,8,0,0
8ACTE,230,6683,7347,5273,3841,2618,1174,298,27454,70,1178,1367,1314,1254,963,294,24,6467,3342,11475,9016,6394,4432,3627,1756,512,40549,749,2792,3685,3267,2375,1501,688,196,15251,2353,6035,5028,4250,3416,2259,1377,449,25164,519,367,228,142,94,80,32,11,1471,159,246,376,315,343,324,179,59,2008,3030,6647,5633,4708,3856,2661,1590,513,28645,95,229,220,166,127,105,97,37,1076,1742,2299,1726,1271,1044,863,677,363,9993,9258,31301,28998,22391,16928,12338,6278,1943,129433,322,7756,7465,4645,2857,1587,562,96,25288,224,2093,2492,2145,1620,1260,434,62,10337,4349,14315,11628,7722,5313,3798,1749,446,49327,1196,3341,3967,3810,3142,2212,1088,363,19121,2050,3440,3008,2646,1995,990,349,118,14593,506,346,295,278,266,221,80,31,2031,202,255,348,658,792,817,404,142,3617,2761,4035,3653,3587,3056,2032,834,289,20247,87,166,193,122,153,179,134,55,1098,1634,1965,1492,1121,990,1172,982,679,10040,10579,33684,30894,23150,17130,12248,5789,1998,135466,547,14435
89499,0,4,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,7,0,3,0,4,0,0,21,6,0,0,0,3,0,0,0,16,8,9,7,10,6,5,0,0,46,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,11,11,14,10,6,5,0,0,57,0,0,0,0,0,0,0,0,0,12,11,30,19,13,13,4,0,100,26,36,47,41,32,14,4,0,205,0,8,6,11,7,0,0,0,21,0,0,0,0,4,0,0,0,7,3,15,11,6,9,0,0,0,50,4,8,0,4,3,0,0,0,22,8,3,6,0,3,0,0,0,18,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,10,3,4,0,4,0,0,0,26,0,0,0,0,0,0,0,0,4,3,7,7,3,6,4,0,0,34,20,43,36,21,36,7,3,0,166,0,13
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,7,10,6,3,6,0,0,37,0,0,3,5,3,0,0,0,13,5,23,32,29,20,21,4,4,132,5,12,21,32,27,20,6,3,117,22,60,85,90,129,83,26,10,502,8,11,0,6,0,3,0,0,35,0,0,4,3,4,6,6,0,17,33,71,90,103,137,89,22,10,556,0,0,0,0,4,10,0,0,12,59,165,104,96,61,48,31,3,569,96,277,264,264,257,199,66,14,1435,0,11,22,16,13,7,0,0,71,0,5,11,13,21,3,0,0,52,10,49,57,44,26,30,8,0,214,8,28,36,24,40,22,14,3,180,21,33,36,38,34,14,5,0,184,19,3,3,12,12,4,0,0,53,3,0,9,0,5,10,5,0,44,46,39,53,52,54,27,9,0,276,0,0,0,4,4,12,4,0,26,37,58,59,50,70,35,36,11,352,106,193,237,196,220,132,70,14,1170,0,17
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
