GCCSA_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
1GSYD,422,4576,112,75551,348,93,212,187,232,355,129,243,252,1190,11951,15182,257,63,249,127,107,125,43,138,152,2152,2731,6146,106079,20937,6594,51398,17808,47670,8844,32593,10957,160658,16906,480444
1RNSW,226,1905,51,21843,224,81,78,196,107,294,76,245,116,1106,10594,13132,310,115,185,184,68,140,30,102,82,2608,2175,5997,54995,16005,2625,41676,5630,25546,3605,24714,4746,134724,14871,329142
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,272,3303,100,56947,414,87,170,258,237,415,129,294,176,1146,11428,14756,372,96,227,245,102,172,49,169,127,2563,2683,6803,113255,22776,3043,63412,8942,44522,4588,32149,5550,144870,16350,459470
2RVIC,119,978,35,11077,161,45,50,165,66,196,33,162,80,694,5576,7220,204,89,128,167,41,105,27,90,69,1697,1402,4024,30996,9735,1729,26163,3245,14625,2223,14497,2948,71624,8298,186074
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,177,1433,49,26458,198,39,96,137,144,201,59,108,85,561,8444,10064,151,36,114,83,51,65,15,54,65,1035,1164,2842,59438,11119,2522,34243,7893,24850,3725,15362,4247,79035,10581,253022
3RQLD,266,1774,49,20898,260,84,108,224,134,288,81,203,137,906,14126,16552,342,97,272,198,69,140,51,108,120,2040,1999,5430,55366,13924,3172,38950,6133,25109,3878,20493,4803,108405,17822,298055
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,100,980,22,10774,85,27,25,80,37,105,16,80,32,410,4619,5513,67,24,38,52,30,45,8,27,19,692,629,1621,27816,7371,771,20670,2073,12663,1260,10924,1510,54094,5959,145106
4RSAU,34,228,17,2203,35,12,5,35,14,51,15,53,19,192,2247,2669,45,25,45,42,10,28,8,28,17,442,368,1054,7453,2614,430,6952,698,3750,551,3895,724,21410,3042,51517
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,232,1455,30,25125,149,46,72,126,119,195,60,116,75,545,13559,15059,134,32,102,89,34,62,11,62,46,975,1042,2587,46237,9939,1486,30897,3700,20669,1874,15207,2410,66289,15432,214131
5RWAU,70,249,14,5386,49,14,15,53,24,57,18,42,19,167,4317,4776,78,31,46,51,15,28,3,20,13,356,426,1068,12110,2879,694,8310,1112,5126,638,3847,844,17670,5120,58359
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,14,145,7,1978,13,3,0,16,9,12,6,16,5,76,876,1038,8,10,8,6,0,5,3,6,0,134,113,296,4934,1804,210,4061,403,2256,278,2383,348,9688,1149,27505
6RTAS,23,155,8,1674,21,10,13,28,6,42,8,22,6,143,1539,1844,27,7,20,17,6,9,9,12,9,258,267,629,5823,2129,347,5393,543,3107,436,3374,542,15695,2120,39512
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,5,58,7,1789,21,4,12,12,6,17,3,7,11,20,1131,1232,10,0,8,0,0,0,0,0,4,38,67,143,4362,559,153,1947,336,1319,131,602,142,2038,1256,12828
7RNTE,5,20,0,650,5,0,0,0,9,10,0,9,4,33,372,456,10,0,9,0,0,0,0,4,6,43,91,164,1943,213,74,607,103,564,35,268,86,1710,513,6120
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,81,597,3,9016,26,4,0,25,9,24,11,4,13,81,1377,1575,15,0,12,10,4,5,0,10,4,95,114,273,14283,1992,290,6186,860,4376,360,2958,487,13628,1629,47064
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,0,37,0,0,0,0,0,0,0,0,0,4,22,27,0,0,0,0,0,0,0,0,0,0,3,10,99,28,11,88,4,48,5,58,7,97,33,496
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
