GCCSA_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
39499,30,29,30,14,48,59,12,56,5,290,55,75,60,40,86,119,13,34,10,488,40,35,39,14,72,73,26,63,15,386,78,88,83,51,62,34,10,20,12,429,40,48,46,18,68,39,9,13,6,275,38,45,38,18,31,18,3,13,8,208,35,23,27,17,36,41,25,109,12,319,46,117,78,74,121,112,41,118,23,732,9,6,9,9,15,10,0,9,38,98,371,466,404,251,535,500,136,436,124,3219
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,5,17,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,26,5,29
4GADE,2330,4036,5142,4750,17987,19958,8507,18097,500,81303,6871,15018,17603,16256,40405,33531,10276,17413,912,158286,3000,6853,7609,5767,23453,22531,6333,10066,1023,86638,5258,22130,18672,11161,14405,8536,2935,4111,1106,88320,3388,10544,12660,9025,29961,14221,3676,4285,513,88271,2336,19899,10491,4532,9346,5601,1752,2429,587,56970,1629,3334,3806,2635,9362,7209,2653,5689,641,36958,2542,17694,10848,5455,12192,7402,2148,3416,998,62688,609,1314,936,687,2454,1677,463,938,2443,11530,27964,100827,87768,60262,159568,120674,38739,66436,8721,670956
4RSAU,895,1871,1967,1604,3576,5684,2511,9512,425,28042,1264,2245,2686,2372,4327,4426,1583,2943,193,22041,973,1959,1869,1510,5302,5889,1860,3998,354,23719,1355,4924,4638,2924,3140,2009,623,1115,394,21129,699,2746,2821,2053,4242,2388,612,925,126,16620,608,4359,2688,1419,2100,1434,437,688,249,13976,834,942,950,629,2184,2474,1372,3983,293,13657,1351,6244,3330,2080,4462,3981,1086,2087,616,25255,256,345,230,141,472,404,117,360,961,3280,8243,25627,21183,14737,29801,28706,10197,25619,3609,167723
49499,7,8,7,4,17,17,3,9,0,66,19,12,8,13,25,19,4,18,3,123,7,11,9,3,20,19,7,22,6,106,4,23,16,11,12,3,0,7,7,76,8,13,5,5,11,5,3,9,0,64,7,15,7,3,8,5,0,3,0,57,11,9,6,0,10,15,6,14,3,66,5,41,20,16,17,14,3,17,6,141,8,0,0,0,4,0,5,3,15,27,70,122,87,60,133,94,31,93,38,724
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
5GPER,3594,6094,7440,6389,22356,33180,13202,32447,852,125556,10848,24874,26155,20505,51230,63737,18322,33726,1575,250973,6534,10903,11015,8434,30714,39076,13062,33747,2314,155805,6006,32630,25795,14634,19414,14679,4216,8051,1820,127252,5228,18320,19157,11639,35294,26338,6246,8930,969,132123,2968,29754,15659,6534,11883,9120,2554,4659,921,84068,4470,6209,5727,3746,12704,12576,5749,21014,1486,73685,3860,25774,14784,7428,13067,11586,3470,10194,1656,91834,811,1740,1215,825,2678,2788,738,2097,4695,17595,44335,156300,126951,80149,199346,213085,67555,154866,16303,1058890
5RWAU,1484,2190,2216,1778,3824,6849,3042,13139,490,35016,2252,3777,3750,3241,6289,7676,2739,5747,281,35748,2484,2729,2489,1933,5977,9127,4080,13657,746,43221,1617,5532,4842,3343,4197,3673,1042,2185,437,26859,1319,4050,3729,2412,5791,4380,1197,2231,227,25334,781,5314,3002,1608,2713,2034,673,1187,228,17528,2245,1624,1409,784,2343,3639,2361,11532,535,26465,1532,6997,4053,2438,3974,4308,1665,5040,728,30737,357,414,263,181,453,601,212,783,1310,4566,14073,32622,25750,17709,35552,42284,17005,55490,4979,245471
59499,21,16,5,4,20,25,6,17,5,107,42,42,31,15,25,49,15,24,3,257,30,20,21,16,33,38,13,98,5,272,11,42,44,18,34,24,7,27,5,223,24,27,8,13,27,32,7,12,4,150,9,17,13,3,10,13,0,4,0,77,25,16,7,13,7,20,10,104,6,213,18,35,30,22,48,48,14,80,3,292,0,3,0,0,6,0,3,8,5,33,181,208,163,110,217,250,70,370,33,1614
59799,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,29,0,33,4,3,0,0,0,4,0,67,0,83,0,0,0,0,0,0,0,4,0,9,0,0,0,0,5,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,23,0,31,3,8,0,0,0,0,4,76,5,98,0,0,0,0,0,0,0,7,0,6,13,14,5,3,5,5,11,220,5,277
