GCCSA_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
1GSYD,5242,9742,7194,5270,6920,3373,1894,39628,2024,2501,1789,1293,1709,956,648,10917,366,516,355,246,284,186,117,2080,12560,24381,19189,14736,20324,10723,6253,108164,483,873,652,517,718,364,232,3832,695,1020,679,487,570,270,176,3893,1175,1895,1326,1001,1292,638,402,7723,13733,26277,20521,15740,21614,11353,6656,115890,17027,19123,11470,7971,9602,4793,2868,72849,413,511,346,230,183,78,42,1802,31171,45912,32331,23933,31396,16225,9563,190532
1RNSW,5934,11067,7533,5336,5664,1183,429,37152,1258,1292,838,572,597,158,64,4777,371,527,333,220,223,46,19,1735,10745,20873,15946,11848,14106,3453,1340,78321,398,802,578,418,409,72,22,2696,753,1117,633,413,388,57,15,3374,1152,1919,1210,831,794,132,39,6070,11900,22792,17160,12683,14895,3584,1376,84392,13375,12831,7346,5068,4502,773,365,44272,368,447,323,235,140,17,5,1536,25639,36070,24834,17986,19544,4377,1751,130207
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,5740,11660,8547,6378,8535,4427,2378,47662,1140,1207,786,598,843,450,264,5270,359,533,342,265,357,175,89,2124,11804,24421,19219,14870,21577,12084,6748,110721,464,936,646,527,679,390,229,3871,762,1497,768,567,695,332,184,4803,1230,2437,1416,1091,1375,718,414,8676,13027,26856,20638,15967,22949,12801,7156,119393,12575,14485,8548,6201,7672,4155,2649,56285,420,516,307,241,167,77,56,1777,26019,41856,29490,22408,30787,17034,9863,177455
2RVIC,3063,6225,4274,3070,3486,862,297,21276,606,636,369,247,307,72,37,2275,145,270,181,113,130,37,18,890,5157,10797,8248,6277,7924,2145,800,41338,169,344,285,206,242,56,21,1323,344,558,331,216,198,43,17,1701,511,896,614,422,441,103,32,3027,5671,11691,8858,6695,8368,2243,838,44366,6293,6535,3658,2582,2406,625,244,22350,166,220,174,119,68,15,6,763,12130,18450,12695,9399,10845,2882,1086,67483
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,3948,7707,5481,3858,4619,1453,650,27708,1212,1529,1024,700,833,300,133,5733,310,424,257,177,178,59,23,1432,8997,18002,13823,10231,13629,4767,2148,71594,504,975,661,458,499,124,54,3276,738,1180,604,385,405,104,43,3466,1242,2158,1266,845,909,225,100,6744,10240,20154,15091,11074,14538,4995,2248,78338,10328,10706,6174,4391,4291,1254,700,37844,304,337,209,134,80,30,14,1113,20869,31199,21472,15599,18913,6280,2962,117299
3RQLD,5022,9983,7129,4875,5583,1017,393,33995,975,1216,809,542,700,165,65,4473,318,516,336,265,223,49,20,1734,9672,19911,15455,11569,14356,2853,1180,74996,520,1111,727,554,480,80,29,3505,862,1367,801,493,438,79,19,4057,1382,2482,1526,1049,921,162,50,7565,11051,22387,16982,12619,15277,3016,1232,82557,11394,11620,6849,4606,4101,782,332,39684,332,450,273,220,97,27,0,1404,22779,34460,24096,17438,19474,3829,1565,123638
