GCCSA_CODE_2021,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
1GSYD,9575,47656,203394,229730,186062,120697,26283,2267,139,825818,26332,42593,61874,47086,40064,38851,21262,4575,386,283025,11360,18391,28227,22548,19583,18388,6497,920,87,126004,872,2926,7718,5720,3694,2466,744,220,56,24424,48144,111568,301213,305092,249396,180407,54783,7988,667,1259257,2105,6277,12178,9624,8535,6979,1119,52,3,46881,6012,5755,4556,2121,1913,2620,1163,164,15,24314,8116,12033,16729,11745,10446,9605,2286,217,19,71199,56263,123604,317940,316837,259846,190013,57067,8207,689,1330459,89382,42757,57797,48203,51691,79874,141804,98896,34253,644658,6586,10132,25391,20463,15239,12779,10008,8399,5882,114880,152229,176492,401126,385497,326780,282673,208867,115498,40821,2089990,4306,42814,171536,150729,133998,78145,13222,675,33,595468,31627,46971,80899,95370,82404,64346,21739,2671,162,426181,13477,18383,33106,26397,18832,16483,5104,597,50,132432,732,2167,5498,3795,2572,1750,588,191,66,17364,50142,110339,291034,276293,237807,160722,40649,4135,315,1171441,1201,3636,7673,6207,5259,3373,332,17,7,27712,5930,5017,5953,5160,4073,3654,786,50,9,30631,7124,8648,13630,11366,9334,7030,1119,72,16,58338
1RNSW,13797,33837,95276,99123,101135,79238,18838,2589,243,444092,22180,17164,22983,18767,20398,26564,16481,3626,398,148567,2989,2888,5001,4549,5171,6375,2428,397,77,29880,966,1434,2901,2289,2057,1763,716,393,119,12644,39936,55330,126160,124729,128767,113949,38463,7010,839,635185,2117,3371,4831,3550,3841,3593,526,21,3,21856,3474,1864,1669,1024,1111,1702,744,66,15,11675,5596,5233,6504,4583,4954,5291,1265,92,15,33535,45533,60561,132660,129312,133720,119240,39736,7100,856,668717,32816,11908,18122,17904,24825,54609,121375,80993,25379,387942,5310,5435,11119,10365,10820,11214,10391,7553,4003,76204,83664,77907,161894,157579,169368,185056,171497,95647,30234,1132855,5903,22697,57976,57416,69950,46918,8276,821,49,270003,30254,25091,49631,58053,55728,54443,17489,2121,176,292979,4031,4131,12036,7450,5865,6977,2220,269,43,43018,959,1101,2190,1624,1567,1328,577,318,86,9762,41146,53016,121826,124551,133105,109670,28564,3530,353,615759,1193,1691,2354,1922,2090,1548,147,8,4,10966,3623,1914,2435,2224,2117,2324,479,35,8,15168,4816,3607,4792,4148,4206,3879,635,47,17,26138
19499,23,70,243,184,129,102,17,4,0,762,22,48,133,69,54,61,26,0,0,410,10,10,51,33,34,14,6,0,0,152,4,11,23,14,7,10,6,5,0,66,57,128,435,295,228,187,52,6,0,1388,13,36,75,70,57,33,6,0,0,285,9,15,25,13,17,23,3,0,0,106,24,49,97,83,79,56,12,0,0,392,78,181,530,377,303,237,61,4,0,1775,83,92,218,241,274,401,459,127,13,1917,90,136,412,483,435,312,131,39,8,2040,253,411,1164,1108,1010,949,648,166,19,5734,9,48,170,97,85,52,9,0,0,470,48,50,160,75,75,78,24,0,0,506,6,21,43,23,19,22,3,0,0,136,0,0,6,9,6,0,0,0,0,20,66,122,369,195,189,156,34,0,0,1128,9,16,28,37,24,12,0,0,0,135,19,19,28,24,14,19,4,0,0,124,27,37,57,62,40,30,6,0,0,252
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,10063,54431,233903,248294,200917,130555,26768,2168,128,907232,33683,52045,64729,43756,36800,37086,22219,4640,346,295310,4902,6381,9747,7734,6711,7141,2961,535,66,46170,852,2885,7646,5433,3467,2193,728,225,69,23490,49493,115736,316019,305215,247898,176983,52681,7562,610,1272202,1899,6290,11678,8672,7884,5960,932,45,11,43383,10071,6610,4413,2153,1880,2525,1036,136,17,28836,11970,12901,16091,10828,9764,8484,1969,183,28,72223,61464,128635,332109,316047,257667,185472,54648,7748,635,1344420,73851,31025,35656,30268,35059,60597,127042,92814,33912,520210,5552,8789,22825,17588,13622,10563,8509,6836,3937,98225,140865,168453,390596,363898,306343,256625,190191,107396,38491,1962857,2876,37877,170468,139740,127700,72444,11055,525,24,562704,44455,64207,99165,113897,98283,74167,23196,2474,113,519954,6609,8735,21814,16068,8530,8363,2871,374,32,73403,776,2276,5095,3508,2609,1634,558,207,77,16737,54717,113085,296540,273220,237118,156611,37678,3576,249,1172787,1135,3740,7793,5597,4727,2955,274,15,0,26241,10269,6231,6474,6034,4762,3701,751,65,7,38288,11400,9969,14270,11634,9488,6657,1026,76,6,64529
2RVIC,6817,19432,56297,56791,58598,47143,11872,1733,160,258855,12496,8925,12235,10048,10861,15089,10420,2226,243,82548,1643,1303,2335,2288,2613,3936,1677,269,48,16121,568,771,1706,1365,1377,1132,594,291,63,7867,21524,30436,72577,70493,73449,67302,24572,4520,525,365387,863,1663,2494,1729,1996,1825,282,10,3,10865,1965,904,907,531,559,924,381,44,7,6222,2828,2568,3407,2259,2548,2751,657,54,8,17085,24358,33003,75982,72756,76002,70050,25227,4571,537,382476,18404,5956,9541,9433,13000,27595,66882,43513,13821,208150,2657,2778,5934,5602,6066,6315,6335,4350,2161,42202,45414,41733,91461,87790,95064,103961,98445,52439,16515,632831,2403,11544,31906,28964,36290,25384,4581,463,43,141562,16639,14624,29160,36083,35135,34369,10967,1215,90,178279,2324,2006,6679,4177,3291,4567,1495,174,31,24741,586,634,1233,997,1062,847,462,228,69,6119,21950,28806,68974,70223,75778,65164,17509,2072,228,350707,431,738,1209,949,1062,838,86,7,5,5324,1975,896,1279,1164,1151,1259,251,33,5,8019,2410,1628,2491,2113,2216,2096,341,47,14,13343
29499,19,59,201,145,110,77,13,0,0,621,16,38,92,39,43,34,20,0,0,281,0,10,14,12,8,14,4,0,0,74,3,4,12,7,14,5,0,0,0,44,43,104,316,210,182,131,36,7,0,1022,12,25,57,64,50,23,0,0,0,222,8,24,17,13,13,5,0,0,0,78,16,46,75,71,56,28,6,0,0,298,63,152,389,284,241,154,40,7,0,1324,77,73,169,199,220,198,223,62,5,1218,91,124,383,525,461,287,130,22,7,2028,234,345,939,1008,912,644,392,90,15,4576,9,35,126,65,39,33,0,0,0,302,22,59,131,50,42,55,3,0,0,367,3,11,30,12,14,8,4,0,0,85,0,0,9,0,0,0,3,4,0,16,37,109,287,131,99,96,9,6,0,771,7,15,34,19,10,13,5,0,0,105,26,13,18,13,8,9,8,0,0,79,32,23,55,38,14,20,6,0,0,191
29799,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,7,0,0,0,24,0,0,6,16,3,10,4,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,7703,33028,107696,118316,105475,66172,12492,1000,46,451929,20896,22535,27917,19952,17237,16726,9399,1754,121,136556,4502,5201,7229,5633,5455,5494,2017,237,27,35794,582,1477,3233,2341,1707,1005,312,100,40,10793,33679,62251,146078,146238,129871,89402,24218,3096,230,635069,2039,4240,6154,4255,4006,3367,497,24,0,24575,5584,2883,2112,1086,946,1195,532,45,6,14383,7625,7117,8267,5337,4950,4557,1022,71,8,38964,41306,69371,154339,151578,134825,93957,25250,3165,240,674032,35729,13675,18538,15640,18164,32925,72245,47532,14069,268519,3306,4840,10967,8909,7556,5772,4555,3256,1807,50965,80337,87883,183841,176133,160551,132656,102051,53955,16110,993517,3213,24079,75871,72295,72360,40831,5688,271,15,294634,26646,29081,47464,54147,45259,33719,9972,1046,43,247393,7273,8091,15359,10951,8336,7213,1973,161,18,59372,623,1186,2388,1624,1278,829,247,108,34,8314,37766,62434,141089,139011,127229,82594,17887,1591,110,609709,1205,2431,3727,2844,2613,1630,157,0,3,14614,5299,2729,3271,2869,2140,1843,368,24,12,18553,6503,5167,6994,5710,4758,3467,525,26,16,33171
3RQLD,11288,33152,90838,98019,100128,74293,17331,2114,128,427292,22682,15187,21477,17608,18690,21575,12842,2705,254,133013,3001,2779,5570,4967,5805,6514,2265,329,46,31281,914,1577,3338,2569,2250,1600,636,316,88,13284,37881,52699,121230,123170,126868,103984,33068,5464,513,604869,2298,3449,5011,3763,4244,4038,599,30,6,23430,4216,1787,1788,1046,1146,1680,719,85,10,12468,6508,5232,6796,4807,5390,5713,1325,114,16,35903,44390,57930,128025,127976,132255,109697,34389,5575,529,640774,30281,9679,14967,15041,20637,42821,97943,64865,18456,314690,5243,6942,15896,13995,14311,12677,9760,6390,2896,88118,79911,74553,158891,157012,167212,165201,142094,76828,21880,1043585,5247,22804,57469,58959,69077,44837,7856,688,30,266968,30096,23060,46485,55717,52050,45121,14556,1678,103,268864,4339,4701,11599,7826,7032,7226,2040,227,20,45016,917,1220,2488,1854,1742,1290,507,242,75,10331,40600,51782,118046,124358,129903,98469,24960,2838,225,591187,1246,1807,2861,2298,2586,2082,223,15,3,13116,4049,1857,2762,2626,2342,2521,514,34,10,16712,5299,3661,5624,4924,4931,4600,736,46,15,29830
