GCCSA_CODE_2021,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
1GSYD,7340,84775,4098,21071,9649,3218,735,1966,992,133843,9634,61253,810,16200,7392,1945,388,1214,609,99445,55813,74245,4386,17952,87107,23181,3053,7824,3902,277461,19326,56578,2586,37440,25687,6717,1345,3839,2001,155514,9481,25585,2743,4439,8822,5286,557,1208,630,58746,4572,1963,7812,7598,8131,4465,843,2926,521,38827,50,111,31,129,191,113,32,136,19,807,2316,3792,508,1685,3059,1106,276,594,367,13708,1496,2552,580,2173,3304,1359,405,1164,3626,16672,125508,356963,33477,115393,169261,53464,9406,24818,14160,902455,11640,29017,6069,3944,7525,3124,1488,2279,888,65972,19682,59791,10430,3848,9034,5348,4684,4705,1825,119339,38187,60503,69868,5710,14021,7615,17307,13333,3074,229614,18368,15325,41456,1836,4601,2492,4021,7014,1281,96409,3337,3684,6289,1144,2000,1067,1317,2732,284,21865,11456,118593,5872,26877,11162,4224,2012,3096,1422,184720,13215,77952,1747,17939,8309,2497,1303,1945,812,125727,123939,148112,14638,26286,115685,43935,15822,17329,7782,513534,34147,93353,5962,52928,33319,10263,4716,6912,3410,245009,15267,43572,7027,6501,11569,8077,2337,2988,1085,98419
1RNSW,4915,48448,3294,17868,6133,2225,464,1895,524,85766,6409,37930,553,11854,4178,1094,222,934,393,63568,17538,15939,2184,8884,42903,10436,1015,4438,1213,104548,7115,20123,1416,31420,10627,3492,596,3164,924,78880,2407,6238,1022,2161,2734,1501,174,747,204,17188,3296,1070,7914,7599,4949,3318,497,2999,362,32007,36,44,14,108,84,82,7,72,0,452,724,1088,247,824,949,320,84,310,137,4681,1016,1131,505,1996,1823,1170,196,1239,1538,10621,48634,141490,21575,85635,79370,25871,4309,18674,5689,431246,3337,7974,2304,1484,1798,710,394,885,226,19111,2676,5997,2363,928,1503,1022,687,1074,202,16446,18628,16541,60696,4174,5031,3936,17330,11368,1795,139497,10878,3522,30752,1549,1695,1284,4542,6486,858,61555,9761,4678,6065,1489,2334,1557,2332,5133,451,33804,6875,63514,4314,22028,6657,2592,1071,2618,714,110385,9176,49981,1398,13336,4657,1452,884,1518,567,82974,34358,28224,5974,12195,48877,16009,4428,7777,1979,159803,11595,29176,2849,42425,12548,4497,1854,4837,1350,111129,3754,9868,2446,3150,3402,2235,628,1636,293,27405
19499,8,79,0,26,9,10,3,3,3,139,7,38,0,15,6,0,0,6,0,67,28,33,7,20,55,19,7,25,3,192,16,37,3,47,16,10,3,26,4,162,6,31,3,10,7,10,3,6,0,77,6,3,9,11,9,10,0,12,0,65,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,9,6,0,0,4,0,4,0,3,3,28,82,241,31,138,118,57,27,109,19,829,10,30,4,3,6,0,4,3,0,63,11,17,6,0,0,0,5,3,0,55,18,39,68,15,8,5,31,33,6,228,9,8,48,3,0,0,10,22,0,107,5,3,12,3,6,0,6,11,3,55,8,116,3,38,12,10,3,6,3,198,9,45,0,13,7,0,6,13,0,90,56,58,13,23,72,32,15,38,5,315,28,67,4,76,20,15,17,38,5,267,6,49,8,13,9,10,10,18,0,121
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,7664,91976,4533,25291,11077,3990,816,2386,1123,148849,8077,60961,1050,21143,7626,2555,496,1577,731,104216,44069,57354,4650,16520,68457,18876,2601,7338,3117,222982,17221,52400,3058,44891,24987,7396,1392,4920,2066,158327,7855,21885,2985,5415,7915,5591,613,1547,623,54424,4883,1807,11145,9664,8220,5565,1084,4204,604,47174,61,80,32,119,101,71,28,109,16,618,2822,4513,732,2633,3550,1312,267,825,454,17104,1339,2177,686,2470,2786,1455,353,1272,3535,16078,109726,339257,39810,136946,150579,53831,9773,29510,13955,883389,12087,31223,6252,5119,7618,3830,1641,2827,941,71541,18044,53790,9980,4335,9304,5007,5444,5162,1911,112980,36580,57914,74173,6229,12983,7724,19431,16444,3413,234889,16455,14753,52682,2068,4559,3006,4641,8489,1541,108200,4037,3809,7259,1390,2170,1301,1585,2919,344,24826,11468,124150,6725,32566,12596,5107,2173,3872,1566,200227,11797,79679,2248,23496,8690,3204,1487,2458,1000,134058,100416,116325,14866,24793,94528,35672,15034,16329,6375,424326,29218,82036,6920,60250,32303,10843,5449,8665,3233,238922,13417,39101,7994,8297,11147,8870,2653,4181,1117,96773
2RVIC,3386,30863,1932,10694,3981,1411,237,1174,338,54017,3434,20963,386,7602,2409,823,103,709,233,36669,8310,7964,1149,3731,17684,4180,398,2104,497,46021,4113,11007,912,19922,5749,2269,347,2483,556,47353,1227,3156,617,1114,1431,969,133,507,119,9282,1985,529,4747,3830,2779,2156,265,1991,205,18498,17,22,9,38,24,27,3,64,6,204,496,765,161,564,631,225,55,225,83,3200,621,603,298,1065,935,665,101,877,875,6040,27072,81042,12868,50386,38552,14163,2224,12360,3154,241821,2119,4216,1300,892,1102,506,223,626,124,11110,1605,3324,1303,462,920,454,402,692,121,9279,10322,7566,30333,2057,2460,2134,8042,7190,1049,71151,6305,2090,19408,917,966,897,2454,4020,598,37661,8415,2788,3792,992,1417,1097,1681,3416,327,23925,4640,38911,2571,13292,4337,1644,547,1619,442,68010,5294,28218,943,8718,2736,1043,489,1102,329,48876,17802,15395,3080,5372,20959,6852,2189,3937,876,76473,6315,15522,1838,25506,6732,2936,1063,3709,803,64422,2043,5281,1508,1657,1824,1483,495,1178,193,15664
29499,4,50,3,20,6,0,0,11,0,96,3,19,0,13,3,0,0,3,0,40,22,18,3,13,26,8,5,6,0,109,10,33,8,34,11,5,0,15,0,116,4,21,0,8,3,3,0,3,0,38,0,0,13,7,4,4,3,6,0,31,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,12,0,4,0,0,4,0,0,3,7,28,57,166,37,104,70,27,15,60,8,546,7,14,8,3,3,4,0,5,0,43,3,20,8,3,4,4,0,3,0,52,18,37,72,4,0,14,16,29,0,188,7,0,40,8,4,0,3,16,3,89,5,0,4,9,6,0,5,10,0,35,3,75,9,28,9,0,4,15,0,141,3,21,0,19,3,0,0,5,0,59,47,54,16,20,35,12,21,20,0,225,16,44,9,49,14,9,8,26,0,178,9,31,6,6,3,4,0,14,0,77
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,3623,49873,2867,14831,5877,2329,389,1465,528,81782,4278,30446,491,12170,4328,1002,192,890,320,54120,21377,27208,2450,9559,39973,10563,1476,4594,1508,118719,7897,23968,1422,26248,12972,3809,665,3177,963,81108,2929,8469,1207,2620,3733,2369,299,854,255,22734,3143,1175,6088,6128,5189,3449,500,2639,294,28613,39,53,32,127,122,131,12,85,0,603,756,1326,233,894,1237,456,118,355,169,5549,724,1018,387,1509,1622,833,198,794,1773,8857,50048,161381,19840,77556,80609,27414,4641,17659,6332,445469,4067,13987,2835,1856,2431,1081,555,1036,317,28166,5635,18340,3843,1424,2717,1522,1477,1646,486,37093,18011,29278,48379,3570,6070,4057,10596,9678,1602,131241,8005,6444,24709,1213,2466,1460,2785,5117,721,52924,2100,2589,3069,744,1217,684,987,2194,179,13763,5726,67718,3952,18568,6672,2899,1123,2285,774,109720,6170,39371,1050,13351,4914,1290,819,1344,448,68760,46165,50682,7514,13666,51299,17986,8262,9534,2736,207845,13325,37418,3548,36143,16508,5669,2904,5820,1508,122844,4798,14309,3403,3918,5154,3733,1173,2135,440,39071
3RQLD,4005,46017,2750,16945,5888,2390,467,1748,572,80780,4774,32877,557,12664,4382,1294,307,1185,383,58428,15793,15707,2409,9374,35885,11039,1409,4994,1100,97702,5877,15404,1344,28771,9558,4055,738,3723,769,70233,1906,4851,879,1907,2295,1567,238,821,163,14642,3894,1161,7878,7980,5557,4371,708,3581,405,35541,26,50,27,117,68,132,10,105,9,537,552,840,238,847,873,404,118,357,148,4379,937,966,517,2041,1746,1252,239,1398,1782,10876,41401,125854,20810,83682,70476,28620,5297,21045,5755,402947,2471,6473,2173,1519,1546,746,420,941,219,16500,2208,4835,2185,855,1193,930,687,1132,212,14230,16979,15442,63472,4003,4564,4299,15269,11406,2118,137548,9224,3215,28606,1470,1972,1524,4440,6540,917,57903,4911,3211,4157,1124,1564,1177,1921,4104,360,22527,5905,62101,3780,21158,6495,2879,1161,2510,800,106789,6927,42688,1341,13850,4783,1648,1065,1713,542,74549,31222,27137,6748,13002,41195,16805,5341,8836,1895,152176,9164,22444,3224,38424,11168,5542,2307,6062,1178,99515,2963,7804,2324,2717,2767,2314,723,1682,256,23545
