GCCSA_CODE_2021,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_19,F_AgriForestFish_20_29,F_AgriForestFish_30_34,F_AgriForestFish_35_39,F_AgriForestFish_40_44,F_AgriForestFish_45_49,F_AgriForestFish_50_over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_19,F_Min_20_29,F_Min_30_34,F_Min_35_39,F_Min_40_44,F_Min_45_49,F_Min_50_over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_19,F_Mnfg_20_29,F_Mnfg_30_34,F_Mnfg_35_39,F_Mnfg_40_44,F_Mnfg_45_49,F_Mnfg_50_over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_19,F_EGW_WS_20_29,F_EGW_WS_30_34,F_EGW_WS_35_39,F_EGW_WS_40_44,F_EGW_WS_45_49,F_EGW_WS_50_over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_19,F_Cnstn_20_29,F_Cnstn_30_34,F_Cnstn_35_39,F_Cnstn_40_44,F_Cnstn_45_49,F_Cnstn_50_over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_19,F_WTrade_20_29,F_WTrade_30_34,F_WTrade_35_39,F_WTrade_40_44,F_WTrade_45_49,F_WTrade_50_over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_19,F_RTrade_20_29,F_RTrade_30_34,F_RTrade_35_39,F_RTrade_40_44,F_RTrade_45_49,F_RTrade_50_over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_19,F_AccomFoodS_20_29,F_AccomFoodS_30_34,F_AccomFoodS_35_39,F_AccomFoodS_40_44,F_AccomFoodS_45_49,F_AccomFoodS_50_over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_19,F_TransPostWhse_20_29,F_TransPostWhse_30_34,F_TransPostWhse_35_39,F_TransPostWhse_40_44,F_TransPostWhse_45_49,F_TransPostWhse_50_over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_19,F_InfoMedTelecom_20_29,F_InfoMedTelecom_30_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40_44,F_InfoMedTelecom_45_49,F_InfoMedTelecom_50_over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_19,F_FinInsurS_20_29,F_FinInsurS_30_34,F_FinInsurS_35_39,F_FinInsurS_40_44,F_FinInsurS_45_49,F_FinInsurS_50_over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_19,F_RentHirREserv_20_29,F_RentHirREserv_30_34,F_RentHirREserv_35_39,F_RentHirREserv_40_44,F_RentHirREserv_45_49,F_RentHirREserv_50_over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_19,F_ProScieTechServ_20_29,F_ProScieTechServ_30_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40_44,F_ProScieTechServ_45_49,F_ProScieTechServ_50_over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_19,F_AdminSupServ_20_29,F_AdminSupServ_30_34,F_AdminSupServ_35_39,F_AdminSupServ_40_44,F_AdminSupServ_45_49,F_AdminSupServ_50_over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_19,F_PubAdmiSafety_20_29,F_PubAdmiSafety_30_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40_44,F_PubAdmiSafety_45_49,F_PubAdmiSafety_50_over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_19,F_EducTrain_20_29,F_EducTrain_30_34,F_EducTrain_35_39,F_EducTrain_40_44,F_EducTrain_45_49,F_EducTrain_50_over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_19,F_HealthCareSocA_20_29,F_HealthCareSocA_30_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40_44,F_HealthCareSocA_45_49,F_HealthCareSocA_50_over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_19,F_ArtRecServ_20_29,F_ArtRecServ_30_34,F_ArtRecServ_35_39,F_ArtRecServ_40_44,F_ArtRecServ_45_49,F_ArtRecServ_50_over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_19,F_OthServ_20_29,F_OthServ_30_34,F_OthServ_35_39,F_OthServ_40_44,F_OthServ_45_49,F_OthServ_50_over,F_OthServ_hours_NS,F_OthServ_Tot
1GSYD,126004,132799,95744,54480,256769,317133,77507,174415,24424,1259257,261,808,720,416,751,608,164,425,61,4227,51,78,87,61,234,278,69,156,4,1011,3672,5771,4792,2911,11847,9068,2317,3151,294,43834,264,317,381,263,1741,1366,305,554,16,5206,4926,6205,4352,1982,5500,6629,1160,2391,404,33552,2066,2916,2928,1950,8877,7965,1762,2655,142,31271,23453,25067,17888,8565,17902,12438,2795,4575,1162,113850,19846,22381,9172,3236,4895,3445,758,1608,790,66138,3247,3638,3699,1843,7532,6748,1476,2248,298,30741,1624,1667,1746,1313,5606,6465,1505,3454,127,23506,3868,3623,6114,5064,21869,24127,5186,9716,445,80006,1592,3066,2503,1522,5259,5358,1202,1960,173,22635,5905,13215,13195,8038,25557,31427,7358,13367,675,118733,5196,7545,5745,2623,7727,6273,1204,1877,369,38554,4511,3604,6213,2841,22862,12673,3636,4769,364,61474,12098,26134,19745,13372,28729,23491,6967,16550,989,148081,18831,40487,42938,28304,51041,42267,7297,13151,2113,246426,5304,2960,2009,1007,2557,2191,492,861,143,17518,11307,6208,4126,2005,5452,3742,837,1295,372,35331
1RNSW,29880,66738,46568,35260,128917,150468,48177,116532,12644,635185,636,3451,2915,1742,2231,3055,794,3840,420,19083,292,197,330,154,544,753,437,1095,41,3847,899,3108,2368,1737,4267,3607,967,1322,135,18416,148,204,324,245,928,733,167,254,20,3018,707,2995,2564,1372,2708,2711,549,1080,168,14855,331,1027,951,662,1658,1428,337,531,44,6970,5641,20883,13852,7274,11255,5806,1718,2375,725,69534,6308,22260,8912,3759,5014,3280,900,2358,769,53564,675,2007,1804,818,1857,1584,442,873,113,10189,281,647,575,301,1071,640,189,347,32,4084,894,1195,2265,1501,4672,2828,654,981,74,15062,382,1081,1037,726,2718,1603,385,703,58,8691,1402,4970,5155,3403,6839,5183,1353,2452,180,30942,1506,6468,3818,1894,3891,2358,531,1062,287,21826,3081,2644,4777,2763,15047,7342,2311,2656,279,40903,4842,14172,13363,9969,16001,12072,4858,9710,543,85535,10543,23834,31481,24356,31459,24616,4827,8171,1455,160744,891,2183,1294,604,1110,825,221,445,81,7642,2272,5128,3953,2238,3948,2585,638,1012,242,22004
19499,152,170,146,86,224,249,75,208,66,1388,4,13,0,5,7,12,0,14,0,57,0,0,0,0,0,0,0,0,0,0,5,7,9,0,16,7,6,0,0,44,0,0,0,0,4,0,0,0,0,9,7,5,0,0,4,9,0,0,0,30,4,0,0,0,0,3,0,0,0,13,20,27,16,21,17,12,6,0,0,113,17,52,31,9,6,10,3,4,0,137,4,9,0,0,3,7,0,0,0,27,0,0,0,0,4,9,0,3,0,14,0,6,4,0,14,6,3,0,0,34,0,4,0,0,4,4,0,0,0,14,8,20,9,6,19,13,5,8,0,87,8,20,10,0,8,4,0,10,0,56,6,4,10,0,14,9,3,8,0,63,13,21,17,16,4,13,0,7,0,94,30,33,36,28,28,26,0,18,3,199,7,13,0,3,4,5,0,6,0,39,0,3,5,3,9,8,0,6,0,42
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,46170,127770,99540,67995,282143,350550,91628,182912,23490,1272202,263,1170,1031,731,1416,1017,209,427,88,6359,53,73,90,74,124,287,81,186,9,977,1944,7516,6433,4438,15467,11232,2567,3582,312,53490,364,378,719,674,2618,2256,516,637,45,8206,1192,5261,4978,2764,6781,7510,1430,2522,347,32792,1080,2760,3213,2259,7831,6358,1465,1908,115,26990,10318,38475,23471,10881,20631,13063,3207,4694,1144,125884,8628,33172,14092,4975,7178,4634,1153,2252,909,76985,1747,3474,3923,2103,7181,6193,1410,1828,296,28166,1042,1919,1675,1207,4182,3883,1022,1729,84,16745,2728,2872,5104,3938,13587,16965,3149,5159,305,53803,831,2259,2395,1439,5295,4470,906,1485,134,19210,4177,11859,12799,8841,23295,25975,5858,10371,491,103669,2351,9086,7719,3209,8161,5296,1102,1731,392,39043,4040,5050,7234,5847,20236,14089,3772,5470,392,66132,7807,27869,23472,15442,30869,21258,8584,16005,942,152253,14769,40757,49639,41334,49654,36950,7414,11930,2063,254516,3213,5673,3062,1704,3080,2678,577,1202,166,21361,4710,9432,8099,3903,6761,4389,1070,1600,378,40332
2RVIC,16121,37168,25189,20200,70839,93232,28186,66594,7867,365387,598,3023,2393,1516,1900,2380,611,2854,417,15696,43,66,62,53,77,143,61,115,7,640,770,2784,1847,1197,3178,2777,730,911,142,14331,139,182,282,213,606,645,110,164,10,2351,349,1874,1374,834,1556,1621,304,508,89,8500,248,680,629,422,1032,853,215,273,34,4389,2955,13146,7856,4057,6092,3475,880,1274,483,40220,3269,12207,4394,1759,2395,1617,355,1292,406,27695,373,1092,1093,557,1089,955,250,483,76,5979,211,486,399,217,595,363,142,168,21,2592,541,652,1163,821,2151,1556,342,520,50,7791,180,553,473,362,1195,722,142,275,30,3942,720,2700,2664,1822,3392,2766,718,1228,104,16110,765,3517,1883,955,1815,886,207,368,175,10575,1631,2295,2974,2149,5817,4523,1075,1408,172,22046,2554,7939,7775,5374,8985,5468,2649,4980,357,46081,6871,14969,19704,17199,15893,12067,2444,4000,838,93984,635,1513,873,506,829,522,129,290,49,5335,1157,3107,2378,1247,1836,1223,270,481,168,11862
29499,74,114,105,63,202,240,60,114,44,1022,0,3,0,0,3,9,0,3,0,21,0,0,0,0,0,0,0,0,0,0,0,5,0,3,4,9,5,3,0,32,0,0,0,0,3,0,0,0,0,5,0,0,4,3,0,9,0,0,0,17,0,0,0,0,4,0,0,4,0,12,10,23,11,3,8,9,0,0,5,68,19,42,24,8,12,3,0,3,0,114,4,9,5,0,4,0,0,0,0,29,0,6,0,0,6,3,0,0,0,13,0,0,0,0,11,3,0,4,0,21,0,0,0,0,3,6,0,4,0,10,4,4,10,0,12,0,0,5,0,39,3,9,6,4,6,0,0,0,4,30,5,0,3,3,10,7,7,5,0,46,4,21,7,9,12,6,0,5,0,65,17,34,29,25,14,21,3,3,4,156,0,15,6,0,0,0,0,0,0,25,7,5,3,0,3,3,0,0,0,22
29799,0,0,0,0,0,0,0,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,35794,60276,44335,31943,139213,158635,47851,106227,10793,635069,199,686,673,472,743,657,167,518,69,4174,178,137,180,169,595,1015,280,791,10,3347,1114,2547,2346,1703,6622,4586,1196,1542,174,21829,192,187,296,283,1061,1297,269,431,15,4012,714,2429,2206,1343,3374,3751,865,1493,118,16297,619,1066,1102,856,3300,2482,559,828,50,10864,8211,15727,10647,5436,10871,5858,1568,2107,592,61014,8740,16644,6558,2586,4053,2550,722,1383,506,43750,1235,1787,2126,1139,4451,3202,922,1399,146,16405,532,585,591,352,1424,1040,304,584,31,5445,1193,1101,2118,1629,7159,4980,1265,1979,94,21519,593,1316,1177,858,3017,2509,548,1115,68,11203,2304,5303,5542,3960,10957,11155,2848,5091,191,47351,1936,4802,3611,1765,4862,2954,674,1149,217,21969,3084,2025,3701,2408,14323,8471,2183,2662,268,39108,7176,13851,13648,8002,15228,10851,3775,8059,441,81029,12264,20685,25138,22143,33762,19769,4316,7416,1178,146676,2246,1924,1138,635,1438,1063,252,468,77,9238,5514,4059,3079,1836,4275,2642,640,998,217,23256
3RQLD,31281,57373,42372,33268,112693,131236,47439,135928,13284,604869,542,2561,2158,1513,2178,2835,793,4303,361,17243,601,318,344,210,648,1042,727,2693,88,6676,788,2633,2201,1473,4040,3251,1004,1542,131,17063,173,218,284,258,752,838,150,262,8,2949,650,2950,2690,1649,3414,3239,796,1783,183,17364,384,999,962,657,2181,1776,454,684,53,8139,6077,18979,12840,7193,12235,6108,1768,2631,747,68577,6309,19230,9280,4573,6360,3749,1212,3189,792,54696,891,2071,2042,1040,2452,1880,523,1164,138,12199,339,548,497,278,946,606,131,480,23,3853,691,980,1664,1177,3979,2635,616,1010,85,12842,467,1402,1288,931,3250,2100,539,1299,75,11348,1280,4403,4475,3118,7138,5212,1372,2688,184,29881,1459,5928,3697,1948,4047,2147,592,1388,285,21494,2261,2186,2808,1980,10074,5885,1433,2090,260,28976,5033,12422,14377,9540,13823,10380,3974,8491,559,78600,10512,19253,25488,23541,32290,20351,4095,7882,1447,144859,2003,2396,1432,837,1236,915,207,504,116,9638,3298,4926,3773,2335,4194,2771,708,1260,288,23548
39499,167,184,170,102,292,303,97,309,74,1705,5,13,9,13,33,38,13,28,0,160,3,3,0,0,3,5,0,5,0,15,3,7,3,0,3,7,3,0,0,38,0,0,0,0,0,3,0,5,0,5,4,3,4,3,3,0,3,7,0,29,6,3,3,0,9,4,0,4,0,27,25,33,20,11,16,10,0,8,7,116,42,66,56,26,29,17,0,18,4,260,3,0,6,4,6,8,0,9,0,32,3,8,0,4,0,0,0,0,0,17,0,0,0,3,5,6,0,0,0,14,0,5,3,5,5,0,5,6,0,26,5,19,16,4,3,16,0,3,0,70,9,26,14,7,17,11,0,6,5,103,11,4,6,8,19,6,6,0,0,54,17,21,14,15,15,9,0,4,5,110,34,40,50,31,50,45,3,10,3,265,9,5,9,3,0,0,0,0,3,33,7,5,13,3,8,6,0,0,4,50
39799,0,0,0,0,0,5,0,26,5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,11152,36922,29073,21212,85392,80182,26551,48262,5004,343752,100,565,469,297,505,384,115,266,41,2742,118,64,83,69,199,231,99,376,11,1244,477,2031,1778,1221,3782,2275,631,719,81,13000,98,135,199,204,796,480,125,138,8,2174,326,1393,1270,709,1727,1397,347,481,44,7680,160,608,688,459,1412,922,252,260,19,4782,1655,11854,7366,3467,6100,2590,789,933,306,35068,1292,10417,4710,1829,2429,1353,522,755,240,23561,368,780,821,411,1284,881,245,357,39,5189,124,408,381,234,796,516,138,227,19,2840,559,787,1491,1245,4036,2252,610,825,53,11850,171,548,591,381,1281,780,199,307,24,4274,745,2812,3275,2246,5246,3808,1101,1565,86,20878,602,3570,2868,1356,2973,1255,313,535,125,13599,1394,1168,2401,2320,7756,4335,1126,1315,108,21938,2132,7453,7686,4834,8221,5507,2432,4109,230,42601,5340,13106,18014,15148,20418,8666,2377,3825,631,87537,308,1700,881,470,772,531,164,240,37,5097,482,3106,2585,1460,2806,1431,411,576,103,12956
4RSAU,3730,8348,6113,4917,16029,19352,7300,19599,2034,87428,285,1314,1003,664,754,1025,242,937,118,6345,77,29,34,21,57,100,59,351,11,742,173,711,593,422,983,731,215,249,25,4108,15,22,51,32,68,49,12,25,0,275,78,387,288,171,300,271,54,157,16,1719,44,165,153,128,235,201,54,79,10,1068,490,2922,2143,1191,1473,789,266,382,152,9799,424,2945,1352,560,629,432,206,476,146,7171,74,332,307,158,215,247,69,142,16,1555,14,75,63,30,120,56,11,24,0,398,69,157,246,160,310,182,49,82,7,1266,36,127,111,91,266,109,49,77,10,864,109,496,459,265,555,374,101,183,32,2567,162,1153,636,302,520,293,74,182,58,3386,258,327,432,438,1169,778,157,227,19,3802,550,1678,2174,1277,1563,1162,610,1197,94,10314,1298,3070,4033,3300,3726,2022,500,901,236,19080,61,271,169,99,84,72,24,47,14,838,133,656,518,351,458,290,103,156,33,2703
49499,35,49,41,28,74,67,18,70,28,419,0,0,0,4,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,7,0,7,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,6,0,4,0,0,3,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0,9,8,0,5,0,0,0,0,26,0,16,4,6,7,4,4,0,0,33,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,9,3,0,4,0,24,3,7,9,0,5,0,0,3,0,27,3,0,4,0,5,0,0,0,0,19,7,4,5,0,4,6,0,9,0,20,12,8,10,12,12,6,0,3,0,81,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,4,0,0,8
49799,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,19718,53388,38520,26705,99330,136587,47154,118950,9492,549839,100,637,461,374,481,504,116,251,46,2977,1296,699,1108,783,1925,3622,1462,4566,161,15623,520,2506,2229,1292,3598,3083,786,1088,91,15189,187,219,348,301,1168,813,211,228,16,3488,491,2410,2263,1264,2586,3771,741,1429,139,15093,281,1071,1178,760,2173,1931,433,561,37,8432,2301,18218,11818,5238,8778,4796,1347,1670,463,54633,1248,14960,7628,3265,4020,2906,878,2103,421,37430,666,1591,1730,946,2226,2431,552,798,107,11052,170,657,519,283,728,628,153,237,31,3410,848,1241,1944,1310,3721,3261,707,1038,69,14147,284,1171,1117,688,1962,1759,422,836,59,8304,1561,5068,5164,3368,7257,7799,1926,3179,158,35477,698,4773,3484,1501,3010,2161,527,1084,176,17402,2056,2694,3502,2527,9737,6015,1543,1766,171,30014,3149,13197,11811,7878,12474,9844,3896,6553,390,69198,6921,19670,23723,17004,26117,14731,3312,6057,897,118436,431,3320,1660,902,1364,1064,262,491,64,9553,751,5386,4080,2296,3854,2652,673,1045,219,20964
