GCCSA_CODE_2021,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
4GADE,177,355,924,1028,1184,1000,542,148,27,5390,28,224,1319,1395,1178,769,150,17,0,5077,707,2177,6359,7310,7952,6285,1382,171,10,32350,94,281,1428,1643,1717,1314,215,12,0,6707,1852,5389,12983,10564,9192,6927,1631,173,5,48714,293,760,2023,2527,2840,2227,607,76,4,11349,4470,5216,6883,5024,4118,3177,1019,159,10,30065,5166,3851,4770,2875,1936,1428,390,68,3,20485,301,1506,4823,4941,4853,4688,1265,118,5,22510,91,392,1170,1438,1056,655,141,26,0,4972,63,603,2159,2660,2108,1335,373,75,3,9365,65,307,882,921,901,848,376,103,12,4423,196,1771,6532,7188,5407,3673,1608,263,15,26652,329,1201,2952,2466,2387,2070,607,67,6,12082,185,1582,5315,6518,6520,4962,830,51,0,25965,454,1485,3854,4098,3745,3210,1126,103,3,18087,314,1905,6589,6431,5540,4625,1525,186,4,27119,631,756,1280,905,737,517,221,40,3,5086,484,1430,3182,2683,2823,2260,799,109,12,13784,443,1370,3176,2991,2742,2002,611,189,37,13571
4RSAU,562,1094,2645,2874,3344,3613,2235,696,72,17128,36,186,936,1015,923,688,91,10,0,3881,463,913,2002,2160,2608,2244,509,49,4,10950,25,85,332,330,391,388,95,7,0,1650,671,1175,2430,2233,2219,2104,580,53,3,11469,120,182,402,470,603,587,179,22,0,2566,1158,715,1122,947,944,901,366,37,4,6192,1187,514,715,475,507,571,212,25,0,4201,85,220,692,832,1216,1524,534,65,0,5167,11,37,90,70,65,79,31,6,0,382,7,37,83,139,155,143,42,20,0,623,7,23,65,80,94,165,81,14,0,532,40,116,277,359,392,412,263,32,0,1897,78,208,482,403,542,590,200,23,0,2525,51,145,639,812,1083,1109,232,23,0,4088,52,146,638,550,606,600,291,26,0,2905,43,190,629,609,756,896,268,23,0,3415,75,55,126,98,126,161,56,13,0,698,240,386,685,588,691,641,265,32,0,3539,230,293,608,562,744,709,305,129,29,3608
49499,0,0,10,3,9,3,0,0,0,19,0,0,5,5,3,4,0,0,0,18,0,3,5,5,7,3,0,0,0,27,0,0,3,0,0,0,0,0,0,3,0,0,7,19,13,10,3,0,0,57,0,5,0,4,0,0,0,0,0,8,4,0,16,3,0,0,0,0,0,28,3,3,7,0,9,5,4,0,0,32,0,6,10,8,13,7,3,0,0,49,0,0,3,0,0,0,0,0,0,5,0,0,3,0,5,4,0,0,0,10,0,0,3,0,0,0,0,0,0,10,0,0,7,15,6,0,0,0,0,25,3,3,8,6,11,4,0,0,0,35,0,0,3,8,4,3,0,0,0,16,0,0,0,5,3,5,0,0,0,10,0,0,13,0,0,4,0,0,0,25,0,0,4,0,3,0,0,0,0,8,0,0,6,0,0,0,0,0,0,13,0,3,3,8,8,4,0,5,0,31
49799,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,190,343,796,797,864,858,504,184,23,4547,358,2533,13136,15837,13274,7849,1426,83,4,54507,1357,2999,7760,9444,9608,7526,1802,211,12,40715,120,362,1634,2165,2052,1601,308,17,0,8258,3044,7051,19272,19355,15725,11451,2711,213,17,78833,521,1272,3756,4481,4302,3211,856,110,7,18520,5990,7592,8618,6455,5203,3961,1547,220,13,39600,8839,5732,6539,4377,2666,2054,612,80,3,30902,701,2279,7483,8415,7921,7400,2335,207,4,36746,210,528,1293,1458,1140,722,215,38,0,5606,53,589,2453,3243,2893,1801,609,120,8,11772,119,434,1311,1594,1638,1324,751,192,21,7384,378,3002,10580,13289,10368,6601,2549,395,25,47185,568,1556,3524,3337,3007,2630,945,127,10,15705,317,1965,6891,7849,7988,6537,1660,162,8,33377,889,1843,4788,4993,4900,4706,1790,189,13,24113,392,2351,7171,7350,6297,5118,1928,259,9,30880,1204,1415,2066,1634,1259,990,428,87,6,9092,1051,2189,4692,4183,3783,3181,1159,160,11,20414,1380,3100,7412,7291,6265,4445,1434,285,57,31678
5RWAU,516,944,2439,2580,2958,3119,2020,707,107,15391,289,1237,5083,6216,5414,3692,584,32,0,22538,466,767,1887,2110,1999,1567,417,43,3,9267,56,134,410,633,681,640,131,4,0,2697,941,1600,3762,3779,3520,3253,895,66,4,17821,158,282,694,778,825,692,188,23,0,3644,1446,892,1318,1050,1111,1042,401,57,0,7335,1737,647,1175,913,689,693,332,47,3,6246,145,363,1181,1446,1958,2124,837,78,4,8138,37,42,118,129,93,86,40,6,0,556,12,34,90,156,222,149,63,11,0,736,23,58,211,201,281,272,137,36,0,1207,75,160,627,741,790,711,336,51,9,3499,118,220,576,586,693,641,219,31,0,3088,116,274,1115,1461,1893,1877,489,39,0,7258,61,190,718,886,1041,1046,368,31,0,4351,96,207,911,990,1086,1116,391,43,3,4845,111,76,165,164,177,178,81,19,0,976,398,591,1015,965,905,762,278,30,3,4944,409,515,1169,1128,1160,1044,416,129,38,6006
59499,0,3,25,11,8,14,0,0,0,62,0,5,47,36,35,25,0,0,0,155,0,0,9,15,7,0,0,0,0,40,0,0,5,0,3,0,0,0,0,12,3,7,44,40,34,14,0,0,0,139,0,0,8,0,3,0,0,0,0,15,3,16,13,5,5,5,0,0,0,45,3,17,32,11,14,7,0,0,0,90,6,13,8,10,8,11,0,0,0,56,0,0,3,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,16,23,8,3,0,0,0,49,0,4,13,10,0,3,0,0,0,34,0,3,5,14,3,6,0,0,0,35,0,0,6,5,0,3,0,0,0,18,0,0,6,13,6,8,0,0,0,37,0,0,5,3,0,0,0,0,0,8,3,4,8,4,5,6,0,0,0,36,0,3,7,14,5,6,4,0,0,50
59799,3,0,15,9,4,0,0,0,0,32,0,5,9,34,20,12,0,0,0,77,0,0,0,0,0,0,0,0,0,4,0,0,4,4,0,0,0,0,0,9,0,0,13,16,5,0,0,0,0,40,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,3,8,10,13,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,6,11,5,4,3,0,0,36
6GHOB,45,134,522,374,308,254,103,36,3,1769,0,16,53,60,76,54,22,4,0,278,131,315,1059,968,922,814,176,21,0,4416,10,54,405,511,460,323,65,6,0,1831,446,1069,2494,1898,1465,1251,317,31,0,8974,36,96,349,301,305,242,81,10,0,1430,550,771,1518,871,633,491,197,28,0,5069,711,675,1714,641,369,226,106,13,0,4458,44,148,853,593,588,690,191,21,0,3117,23,59,218,221,209,133,44,4,0,904,8,56,278,356,264,169,54,9,0,1184,12,44,128,117,153,122,83,27,4,679,40,228,1034,1053,927,658,314,45,0,4306,44,131,453,312,306,282,84,10,0,1614,33,191,1033,1259,1543,1123,215,17,0,5411,104,245,849,897,889,717,206,9,0,3916,36,313,1454,1092,994,836,270,22,0,5016,157,142,330,223,246,198,91,12,0,1398,79,177,557,464,361,370,128,29,0,2168,60,156,509,375,328,242,96,25,7,1793
6RTAS,262,591,1697,1347,1458,1422,787,251,30,7847,17,97,418,503,519,431,85,3,0,2068,257,587,1600,1501,1720,1486,307,30,3,7493,12,48,250,302,394,346,64,5,0,1434,696,1261,2480,1833,1886,1793,461,42,3,10445,99,196,510,554,714,605,145,22,0,2836,733,674,1145,812,859,768,290,31,4,5314,872,558,971,490,394,409,171,24,0,3880,66,239,813,876,1161,1345,419,52,0,4966,12,38,115,145,108,108,31,3,0,564,9,44,150,186,177,148,43,9,0,763,10,29,87,79,121,134,82,23,3,565,37,139,521,527,521,520,257,62,4,2583,42,127,343,330,392,386,116,8,3,1750,29,137,512,698,914,801,159,16,0,3274,44,147,474,688,730,729,251,15,0,3085,35,243,1039,931,939,962,318,32,0,4489,105,74,154,177,167,194,70,10,0,953,153,293,608,499,559,498,163,20,0,2785,110,243,496,471,497,479,209,67,22,2598
69499,0,4,3,5,0,0,0,0,0,14,0,0,0,0,6,0,0,0,0,8,0,0,6,0,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,4,13,9,4,9,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,7,0,3,5,0,3,0,0,0,0,10,0,0,0,3,11,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,4,3,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,3,0,3,0,0,0,0,10
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,22,46,110,87,113,110,52,13,0,557,6,59,274,417,411,195,25,0,0,1388,69,104,315,343,324,207,50,4,0,1418,9,32,187,224,202,192,42,0,0,895,212,427,1372,1393,1094,722,174,20,0,5409,18,63,201,208,218,154,32,8,0,903,303,350,718,423,307,222,91,8,0,2418,557,387,886,409,242,163,65,7,0,2726,43,153,675,520,537,479,142,11,0,2548,13,20,95,80,80,59,16,0,0,360,4,14,58,73,77,42,18,0,0,281,4,15,78,93,94,68,45,11,0,421,32,142,577,515,363,289,123,13,0,2072,31,96,271,230,213,168,54,8,0,1071,97,904,1938,1659,1522,899,232,11,0,7266,38,103,335,387,329,306,99,8,0,1605,46,161,816,727,446,286,113,20,3,2615,69,95,232,124,96,78,31,0,0,723,93,140,411,331,286,237,72,6,0,1576,85,212,497,439,345,240,75,11,4,1911
7RNTE,59,150,256,173,134,119,50,13,0,966,8,24,146,218,204,146,14,4,0,760,28,36,93,81,55,53,9,0,0,356,0,6,52,50,67,69,18,0,0,272,72,141,446,368,289,251,85,9,0,1656,7,19,46,55,28,45,10,0,0,220,138,137,292,191,139,113,60,4,0,1076,98,98,337,181,133,131,50,3,0,1033,23,57,158,147,151,143,44,9,0,731,3,10,39,17,12,23,6,0,0,107,0,4,12,10,9,12,3,0,0,47,0,11,13,15,17,27,11,6,0,87,7,24,132,114,93,107,33,8,0,507,14,25,95,87,83,78,34,3,0,419,41,209,799,754,685,477,118,13,0,3089,34,77,255,248,191,179,55,7,0,1057,21,84,439,499,357,297,94,9,0,1785,27,34,129,103,92,65,25,8,0,481,39,53,165,165,117,131,47,0,0,710,49,70,191,146,114,79,39,9,0,707
79499,0,0,10,9,0,0,0,0,0,27,0,0,4,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,8,0,0,0,0,3,0,0,0,0,3,0,0,10,11,3,4,0,0,0,28,0,0,0,3,0,0,0,0,0,7,0,0,6,0,0,0,0,0,0,6,0,3,14,3,0,7,0,0,0,34,0,0,3,4,3,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,6,4,4,0,0,0,18,0,0,0,3,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,12,0,0,4,3,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,13,0,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,7,0,0,10,5,3,4,0,0,0,23
79799,0,0,6,3,0,3,0,0,0,16,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,5,5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,7
8ACTE,19,36,98,57,58,70,47,20,8,415,0,7,29,33,30,18,4,0,0,122,126,276,760,614,661,382,119,21,3,2961,19,90,348,327,292,206,38,3,0,1327,711,1886,4496,3339,2296,1397,386,48,6,14548,48,159,313,338,294,224,62,10,0,1449,1133,1519,2363,1154,769,554,221,35,3,7757,2042,1736,2415,1091,594,364,108,16,0,8369,71,291,1167,936,804,706,255,26,0,4259,40,160,590,635,501,255,50,13,4,2250,17,133,425,481,358,185,66,21,6,1675,30,124,369,318,264,211,96,26,8,1444,112,1272,4261,4296,3098,1897,671,95,7,15717,89,293,822,780,576,451,149,24,0,3194,437,2216,8219,10503,9231,4899,934,58,3,36501,413,865,1809,1804,1445,988,335,42,3,7705,137,632,2146,1897,1353,926,345,47,0,7486,333,345,469,336,283,208,86,17,0,2084,163,409,839,732,641,389,157,33,0,3357,116,339,945,707,465,255,75,18,3,2924
89499,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,4,4,3,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5,0,0,0,0,0,0,0,0,7,7,6,0,0,0,0,16,0,0,4,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,7,0,0,0,3,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,4
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,4,0,6,8,0,0,0,21,0,0,12,17,23,15,9,0,0,72,0,0,3,6,0,8,0,0,0,19,0,0,7,14,3,8,7,0,0,41,13,16,29,31,39,45,18,0,0,186,0,0,7,0,3,0,0,0,0,18,5,6,11,8,4,24,10,3,3,70,12,6,12,13,18,19,6,0,0,98,0,10,16,15,11,21,6,0,0,70,0,0,0,0,3,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12,0,0,0,5,4,6,3,3,0,27,3,0,9,10,13,17,6,3,0,59,4,13,33,54,46,55,22,4,0,237,0,6,5,9,3,6,5,0,0,29,0,0,3,6,9,4,0,0,0,25,4,3,4,8,11,6,0,0,0,32,0,0,5,10,8,9,10,3,0,42,3,5,8,12,7,14,12,3,0,64
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
