GCCSA_CODE_2021,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
5GPER,921,1768,4355,4312,3588,2341,730,189,39,18233,29803,48815,114173,114862,105593,75468,18605,1617,109,509051,284,529,1367,1396,1539,1374,751,245,31,7522,467,3627,17795,20569,16535,9397,1633,103,7,70130,2184,4060,10795,13045,13191,9968,2380,278,13,55904,159,525,2465,3254,2888,2040,389,23,0,11744,3256,8037,23161,23315,18946,13704,3238,255,13,93927,736,1888,5511,6541,6332,4610,1177,149,15,26954,14778,16973,19037,14933,13887,11017,3238,343,23,94230,20314,13129,13804,9128,6285,4380,1171,118,9,68330,898,3098,9885,10984,10572,9310,2801,248,9,47803,430,917,2192,2199,1742,1145,321,55,0,9013,174,1311,5873,7389,6250,3729,1015,161,12,25917,237,1011,3141,3514,3477,2731,1267,281,27,15691,684,5816,20319,23378,17438,10659,3813,530,31,82670,938,3110,7804,7503,6669,5282,1618,183,10,33115,590,3594,13081,15553,15490,12085,2748,231,10,63394,2362,5846,17267,21115,23319,18032,4945,399,13,93309,2183,12197,35606,34568,31888,25449,6886,525,15,149312,2368,2898,4309,3506,2704,1958,755,134,8,18637
5RWAU,274,323,671,797,784,632,267,100,10,3865,7110,7921,21644,24916,25825,20933,5778,759,37,114926,717,1278,3385,3704,4265,4535,2986,981,129,21982,387,1730,6574,7566,6477,4225,637,35,0,27636,721,1053,2652,2956,2733,2081,549,67,3,12815,69,183,557,809,832,761,150,8,0,3371,1010,1777,4424,4561,4233,3855,1030,69,4,20959,234,424,1042,1101,1207,953,258,40,0,5252,3475,2022,3330,3395,3730,3296,940,115,0,20299,4126,1694,3089,2628,2315,2012,708,93,7,16673,223,539,1674,2037,2705,2828,1073,114,4,11189,95,94,234,223,179,161,70,6,0,1058,27,142,453,551,589,414,109,23,0,2313,78,213,570,551,670,555,244,46,5,2929,160,401,1425,1757,1630,1342,562,66,9,7354,234,474,1342,1526,1669,1397,407,53,0,7110,223,589,2369,3100,3700,3152,754,61,0,13956,312,881,3527,4987,5658,4488,1097,77,0,21036,620,1698,5374,6105,6519,6106,1567,109,3,28100,275,191,469,475,481,412,140,23,0,2475
59499,0,0,14,6,4,7,0,0,0,30,33,84,234,138,91,102,18,0,0,715,0,16,43,9,8,14,0,0,0,101,0,14,56,41,48,30,0,0,0,188,3,0,27,18,7,7,0,0,0,67,0,0,6,0,5,0,0,0,0,12,4,7,47,43,39,16,3,0,0,168,0,5,6,3,7,0,0,0,0,22,3,17,28,10,9,10,6,0,0,88,22,42,91,23,27,25,0,0,0,231,6,13,21,15,14,15,0,0,0,88,0,6,8,0,0,0,0,0,0,17,0,0,6,7,5,0,0,0,0,16,0,0,0,0,3,5,0,0,0,9,0,9,28,38,9,7,0,0,0,92,0,14,26,19,3,7,3,0,0,62,5,3,17,23,14,14,5,0,0,66,0,7,15,13,11,10,3,0,0,69,4,16,38,38,25,31,3,0,0,157,3,3,9,3,0,3,0,0,0,25
59799,0,0,0,0,0,0,0,0,0,5,0,5,8,9,5,0,0,0,0,29,3,4,12,9,3,0,0,0,0,41,0,0,9,34,19,12,0,0,0,74,0,0,0,0,0,0,0,0,0,4,0,0,4,4,0,0,0,0,0,5,0,0,13,16,8,0,0,0,0,38,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,5,10,12,13,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,4,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,58,110,362,213,214,169,57,21,6,1206,2882,5094,14675,12528,11970,9356,2263,205,19,58995,62,179,697,494,429,343,141,46,4,2393,0,17,61,75,81,51,20,0,0,319,293,473,1423,1284,1198,1053,250,28,5,6006,16,95,605,766,652,400,72,6,0,2608,468,1137,2766,2174,1695,1440,374,34,0,10083,50,141,473,421,437,332,108,19,0,1975,1402,1756,2995,1790,1491,1243,392,50,0,11120,1789,1442,3165,1304,823,540,193,26,0,9275,54,224,1030,772,774,845,227,25,4,3960,35,105,385,369,327,237,75,4,0,1532,23,126,671,733,583,361,85,18,0,2598,23,122,310,247,305,240,119,32,4,1394,86,449,1987,1880,1595,1131,442,54,0,7632,81,267,894,708,697,577,173,21,0,3422,83,470,2262,2957,3335,2272,418,20,0,11826,246,667,2620,2925,3045,2320,610,31,0,12473,173,1490,5429,4224,4048,3710,851,62,3,19998,292,281,622,467,474,382,153,21,4,2695
6RTAS,102,125,270,268,319,258,117,62,11,1527,3931,5411,12921,12842,14725,12786,3008,322,25,65967,374,813,2329,1915,2051,2038,1105,347,37,11012,18,116,501,559,571,459,92,3,0,2327,427,804,2130,1996,2329,2028,411,36,7,10176,18,65,358,420,505,413,73,5,0,1855,731,1351,2726,2130,2147,2045,527,52,3,11696,134,288,678,734,925,775,192,25,0,3748,1968,1659,2569,2076,2405,2000,552,51,4,13277,2352,1395,2201,1320,1275,1207,353,45,0,10161,93,306,1012,1144,1547,1717,500,63,0,6379,33,77,201,236,211,208,50,5,0,1027,23,142,479,551,491,366,81,13,0,2149,32,123,289,231,293,297,132,29,8,1420,106,338,1145,1147,1089,937,423,79,4,5259,92,276,729,818,965,860,209,16,3,3963,60,307,1077,1502,1915,1548,285,25,0,6703,147,548,1835,2766,3056,2558,627,46,4,11575,254,1491,4750,4200,4933,4930,1072,53,8,21692,190,164,325,339,368,386,129,16,0,1920
69499,0,0,0,0,0,0,0,0,0,3,8,18,33,36,22,20,5,0,0,133,0,3,3,7,0,0,0,0,0,20,0,0,0,0,6,0,0,0,0,5,0,5,5,5,5,0,0,0,0,19,0,0,4,0,0,0,0,0,0,5,0,4,13,9,4,3,0,0,0,35,0,0,0,0,0,3,0,0,0,3,0,4,6,7,0,0,0,0,0,34,4,5,6,6,8,0,5,0,0,28,0,0,0,4,6,9,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,7,7,9,0,0,0,0,13,0,0,4,3,3,0,0,0,0,15,0,0,7,3,0,0,0,0,0,18,0,0,0,10,3,0,0,0,0,12,0,0,15,8,12,7,0,0,0,37,0,0,5,0,0,0,0,0,0,10
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,77,136,338,247,202,132,51,12,0,1201,1801,3029,9952,8665,7057,4692,1175,102,0,36467,27,68,171,151,190,163,75,19,0,863,12,68,371,487,470,229,30,3,0,1670,109,163,410,456,426,277,66,5,0,1921,12,44,279,342,299,250,44,5,0,1273,234,482,1649,1691,1364,904,205,19,0,6556,31,87,286,299,301,195,50,9,0,1251,759,740,1439,931,806,560,199,14,0,5449,1171,737,1790,945,553,382,117,14,0,5714,71,216,842,691,696,608,163,16,0,3310,23,47,163,141,105,88,23,0,0,586,9,47,252,213,194,89,29,0,0,835,16,60,222,222,205,144,77,20,3,979,77,288,1199,1022,745,546,209,21,6,4116,56,175,582,537,497,351,88,11,0,2295,179,1384,3591,3424,3059,1857,421,21,0,13939,142,370,1307,1613,1455,1051,267,20,0,6218,158,751,3379,2568,1699,1218,360,26,3,10171,154,200,432,260,218,143,54,3,0,1459
7RNTE,43,56,157,128,104,74,21,10,0,590,720,1238,4283,3465,3072,2333,615,47,0,15781,125,273,394,271,204,170,66,17,5,1519,10,38,188,265,236,162,14,4,0,917,39,45,126,105,81,58,17,0,0,480,3,13,63,58,81,84,18,0,0,319,82,164,521,440,360,310,105,12,0,1997,12,33,77,83,54,66,20,0,0,351,310,224,615,389,316,284,102,6,0,2259,227,230,687,360,270,257,79,8,0,2113,31,73,216,181,209,188,55,16,0,963,8,16,59,33,24,32,7,3,0,180,4,14,49,44,18,24,7,0,0,151,3,20,43,38,39,48,16,6,0,216,16,42,295,229,201,189,50,12,0,1035,24,62,192,173,168,152,57,7,0,833,78,372,1401,1342,1228,842,199,12,0,5470,128,235,922,848,817,657,177,12,0,3795,91,352,1627,1425,1110,870,238,12,0,5731,61,89,253,203,172,122,61,8,0,976
79499,0,0,5,5,0,0,0,0,0,11,13,18,96,54,46,16,5,0,0,259,0,10,20,9,4,5,0,0,0,41,0,0,7,0,0,0,0,0,0,16,0,0,0,0,4,0,0,0,0,7,0,0,0,0,3,0,0,0,0,3,0,4,12,14,6,4,0,0,0,42,0,0,0,3,0,0,0,0,0,7,5,4,10,5,3,0,0,0,0,33,4,4,41,7,8,8,3,0,0,81,0,0,9,4,7,3,0,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,7,0,0,8,5,0,0,0,0,0,15,0,0,11,18,6,0,0,0,0,38,0,3,3,11,3,0,0,0,0,21,0,0,11,9,7,0,0,0,0,37,0,0,7,9,7,0,0,0,0,28,0,3,14,6,10,8,3,0,0,47,0,5,8,0,4,0,0,0,0,17
79799,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,3,0,6,6,3,5,3,0,0,0,20,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,5,5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,93,233,631,416,288,158,54,16,13,1900,6782,13498,32050,29359,23626,13991,3211,296,26,122843,33,64,149,104,85,122,74,23,8,652,0,11,36,45,31,23,5,0,0,150,290,420,1021,821,865,504,157,29,3,4120,23,141,536,489,401,245,39,3,0,1878,769,2064,5094,3827,2671,1603,426,53,3,16523,72,233,420,435,395,305,85,10,3,1957,2886,3267,4231,2163,1632,1284,475,62,7,16011,4256,3491,4106,1866,1081,727,195,22,0,15748,90,357,1401,1149,1052,868,297,25,0,5252,98,317,969,998,809,413,89,24,4,3711,25,277,969,989,698,396,117,25,6,3510,65,353,830,657,499,396,153,39,11,3012,288,2566,7715,7279,5133,3004,982,135,9,27120,161,593,1775,1511,1189,927,287,33,3,6487,713,4673,17833,21535,18369,9262,1519,88,3,73991,1093,2228,5245,5709,4947,3159,877,94,8,23352,631,2920,8239,6756,5122,3664,1026,88,7,28459,667,785,1019,772,636,439,182,39,6,4533
89499,0,0,0,0,0,0,0,0,0,3,14,23,31,16,13,16,0,0,0,111,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,3,4,3,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,5,7,8,0,0,0,0,0,0,22,10,6,0,8,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,5,0,0,0,0,15,0,0,0,4,0,0,0,0,0,4,0,7,15,10,11,5,0,0,0,40,0,4,5,0,5,3,0,0,0,19,0,3,8,7,3,4,0,0,0,30,0,0,0,0,0,5,3,0,0,11
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,5,4,3,5,7,13,6,5,0,48,60,70,168,214,234,246,100,23,0,1105,0,0,6,4,9,6,0,0,0,30,3,0,11,20,30,15,9,0,0,93,4,0,4,3,6,8,3,0,0,32,0,0,10,15,10,8,9,0,0,50,10,13,34,36,46,46,18,0,0,209,0,0,3,0,3,0,3,3,0,20,14,6,15,26,31,50,34,7,3,200,35,22,35,35,49,53,22,4,0,257,0,12,23,21,18,25,7,0,0,104,0,0,0,0,3,7,6,0,0,15,0,0,9,6,6,6,0,0,0,26,0,0,0,8,4,3,5,0,0,24,0,0,3,10,17,21,3,3,0,61,5,10,18,34,34,36,11,3,0,151,9,27,68,101,88,86,39,0,0,419,0,13,36,29,33,36,9,0,0,161,0,3,22,27,34,42,17,3,0,150,12,5,5,15,13,15,4,0,0,66
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
