GCCSA_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
39499,85,57,57,46,5,0,369,0,35,21,29,44,33,0,0,168,91,514,200,142,202,146,33,0,1322,45,152,136,156,246,194,29,0,959,161,379,378,331,509,408,59,4,2225,51,34,26,13,30,26,0,0,183,10,29,34,32,59,46,9,0,208,221,439,436,377,593,475,68,8,2617,5,8,6,17,14,10,7,0,72,425,801,750,645,528,371,97,18,3642,799,2066,1632,1417,1684,1277,239,26,9143
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,10,0,6,0,0,0,0,14,0,0,6,0,0,0,0,0,7,0,0,0,4,0,0,0,0,4,0,10,8,9,0,0,0,0,25,0,0,0,0,0,0,0,0,0,14,34,52,29,8,0,0,0,136,16,45,64,42,5,3,0,0,170
4GADE,20230,12427,8905,6224,2351,488,71463,476,4763,6298,5915,5376,4186,1261,194,28468,15233,53652,47308,32787,22746,17567,7098,1853,198243,4456,15724,20079,21419,19840,14684,6019,1640,103858,18887,38504,35108,34326,31092,20523,9777,3115,191331,3127,3681,2752,2080,1718,1168,380,106,15003,1282,2039,2866,3911,3947,3585,1831,633,20088,23296,44216,40728,40317,36752,25273,11990,3853,226421,535,1082,1133,1027,1038,1082,810,301,7005,7750,9877,8911,8566,8398,8754,8091,5360,65707,52945,148951,144687,122459,103053,77772,37622,13683,701177
4RSAU,1081,908,903,806,307,35,5241,67,559,756,846,1060,958,250,33,4527,1262,5687,5706,4694,3967,3811,1487,319,26928,502,2492,3544,4764,5509,4758,1772,340,23685,5631,12367,11783,12244,12617,8796,3513,838,67788,966,1247,1067,830,728,507,130,24,5491,338,571,825,1176,1203,1119,501,119,5855,6937,14187,13674,14243,14547,10425,4136,980,79133,91,183,238,245,290,333,268,87,1732,3339,3405,3445,4201,4965,5311,4300,2039,31013,12297,27616,28449,29901,31248,26399,12512,3833,172247
49499,17,13,4,3,0,0,76,0,4,6,3,9,9,0,0,29,12,78,44,30,42,21,3,0,234,5,23,28,26,42,22,4,0,154,50,101,79,84,85,69,9,0,472,19,22,6,0,5,5,0,0,60,0,6,10,8,8,8,0,0,45,69,127,95,94,103,83,9,0,577,3,0,4,8,4,0,0,0,12,77,172,183,149,143,75,13,8,820,173,443,376,325,345,212,26,9,1909
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,3,6,0,0,0,0,9
5GPER,30420,19964,13117,7893,2824,559,101204,821,8282,10559,9741,7588,4478,1378,231,43076,21280,80990,80215,55761,35983,24234,9445,2352,310258,9938,28968,35353,33654,28515,19885,8694,2336,167344,31409,61714,56622,51297,45104,28804,12648,3387,290986,10567,4744,3427,2765,2307,1542,585,117,26049,2208,3205,4711,6214,6016,4798,2459,791,30407,44181,69668,64754,60278,53433,35143,15686,4291,347434,953,2009,2544,2331,2140,2304,1581,555,14404,13623,21511,19817,17157,15022,13557,12049,8320,121062,92499,236157,243656,198878,155788,107495,51659,18647,1104787
5RWAU,2149,1697,1433,1037,353,45,8556,101,1136,1592,1601,1402,916,215,31,6988,1623,9526,10426,8472,6293,4375,1660,365,42739,961,4553,6483,6779,6884,4949,1919,415,32946,8219,18550,18610,17101,15103,9078,3168,667,90496,3235,1765,1277,1020,844,495,140,24,8807,485,764,1133,1518,1603,1262,490,113,7373,11942,21080,21021,19641,17553,10832,3798,808,106680,128,308,381,431,456,511,305,98,2619,6690,9209,9094,9109,8497,6773,4496,2072,55925,21560,47536,51145,47727,42516,29384,12746,3837,256450
59499,32,11,25,15,0,0,148,0,15,17,14,15,12,0,0,77,54,221,131,58,60,35,8,0,563,18,79,71,50,77,35,8,0,335,81,191,203,162,158,129,13,0,946,33,22,15,10,7,4,0,0,85,3,11,6,14,23,14,0,0,66,115,224,224,185,195,147,13,0,1105,6,10,0,8,10,6,0,0,32,339,659,809,752,507,257,72,22,3407,529,1270,1293,1073,876,505,105,20,5668
59799,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,3,4,14,13,8,10,0,0,0,39,0,7,11,4,0,4,0,0,35,8,26,39,15,7,0,0,0,100,4,4,0,0,0,0,0,0,4,0,6,4,0,3,0,0,0,7,10,29,36,21,9,0,0,0,117,0,0,3,4,0,0,0,0,11,22,49,74,49,21,3,0,0,224,38,97,145,92,48,15,0,0,428
