GCCSA_CODE_2021,M_AgriForestFish_0,M_AgriForestFish_1_19,M_AgriForestFish_20_29,M_AgriForestFish_30_34,M_AgriForestFish_35_39,M_AgriForestFish_40_44,M_AgriForestFish_45_49,M_AgriForestFish_50_over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_19,M_Min_20_29,M_Min_30_34,M_Min_35_39,M_Min_40_44,M_Min_45_49,M_Min_50_over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_19,M_Mnfg_20_29,M_Mnfg_30_34,M_Mnfg_35_39,M_Mnfg_40_44,M_Mnfg_45_49,M_Mnfg_50_over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_19,M_EGW_WS_20_29,M_EGW_WS_30_34,M_EGW_WS_35_39,M_EGW_WS_40_44,M_EGW_WS_45_49,M_EGW_WS_50_over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_19,M_Cnstn_20_29,M_Cnstn_30_34,M_Cnstn_35_39,M_Cnstn_40_44,M_Cnstn_45_49,M_Cnstn_50_over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_19,M_WTrade_20_29,M_WTrade_30_34,M_WTrade_35_39,M_WTrade_40_44,M_WTrade_45_49,M_WTrade_50_over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_19,M_RTrade_20_29,M_RTrade_30_34,M_RTrade_35_39,M_RTrade_40_44,M_RTrade_45_49,M_RTrade_50_over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_19,M_AccomFoodS_20_29,M_AccomFoodS_30_34,M_AccomFoodS_35_39,M_AccomFoodS_40_44,M_AccomFoodS_45_49,M_AccomFoodS_50_over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_19,M_TransPostWhse_20_29,M_TransPostWhse_30_34,M_TransPostWhse_35_39,M_TransPostWhse_40_44,M_TransPostWhse_45_49,M_TransPostWhse_50_over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_19,M_InfoMedTelecom_20_29,M_InfoMedTelecom_30_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40_44,M_InfoMedTelecom_45_49,M_InfoMedTelecom_50_over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_19,M_FinInsurS_20_29,M_FinInsurS_30_34,M_FinInsurS_35_39,M_FinInsurS_40_44,M_FinInsurS_45_49,M_FinInsurS_50_over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_19,M_RentHirREserv_20_29,M_RentHirREserv_30_34,M_RentHirREserv_35_39,M_RentHirREserv_40_44,M_RentHirREserv_45_49,M_RentHirREserv_50_over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_19,M_ProScieTechServ_20_29,M_ProScieTechServ_30_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40_44,M_ProScieTechServ_45_49,M_ProScieTechServ_50_over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_19,M_AdminSupServ_20_29,M_AdminSupServ_30_34,M_AdminSupServ_35_39,M_AdminSupServ_40_44,M_AdminSupServ_45_49,M_AdminSupServ_50_over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_19,M_PubAdmiSafety_20_29,M_PubAdmiSafety_30_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40_44,M_PubAdmiSafety_45_49,M_PubAdmiSafety_50_over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_19,M_EducTrain_20_29,M_EducTrain_30_34,M_EducTrain_35_39,M_EducTrain_40_44,M_EducTrain_44_49,M_EducTrain_50_over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_19,M_HealthCareSocA_20_29,M_HealthCareSocA_30_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40_44,M_HealthCareSocA_45_49,M_HealthCareSocA_50_over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_19,M_ArtRecServ_20_29,M_ArtRecServ_30_34,M_ArtRecServ_35_39,M_ArtRecServ_40_44,M_ArtRecServ_45_49,M_ArtRecServ_50_over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_19,M_OthServ_20_29,M_OthServ_30_34,M_OthServ_35_39,M_OthServ_40_44,M_OthServ_45_49,M_OthServ_50_over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_19,M_ID_NS_20_29,M_ID_NS_30_34,M_ID_NS_35_39,M_ID_NS_40_44,M_ID_NS_45_49,M_ID_NS_50_over,M_ID_NS_hours_NS,M_ID_NS_Tot
1GSYD,359,818,672,388,1018,1302,378,1337,98,6369,275,167,146,59,694,1039,307,1119,38,3849,6249,5993,5279,3389,24329,22941,6718,11902,694,87497,810,647,463,398,3801,4710,1240,2672,128,14875,37191,15869,11179,6255,19166,40659,8481,23029,2894,164734,2214,3165,2684,1733,12723,14094,3567,7126,263,47578,10687,18557,13546,6402,18739,17630,4366,8884,1194,100002,17155,20218,9221,3425,6300,5176,1349,3355,999,67200,8679,8371,8919,4561,18130,21389,6499,14278,1439,92254,1632,2004,1476,926,8568,11660,2638,5964,256,35120,1523,2561,2552,2596,20991,31525,7555,19550,535,89381,1305,2518,1737,961,4417,6678,1797,4694,202,24315,3683,9514,7636,4846,28509,52569,10727,28065,928,146473,5094,6290,4967,2220,7253,8008,1567,3221,505,39128,4189,2965,2822,1673,25039,19043,6797,8205,637,71364,4399,10151,4083,2682,13668,11922,3389,7811,397,58508,4133,8750,8123,6324,18571,18844,3943,9653,682,79018,4824,2335,1559,920,3145,3473,690,1730,181,18862,5886,5636,3565,1967,8304,9222,2473,4699,499,42250,5706,6265,5129,2753,13406,15252,3026,7108,11852,70496
1RNSW,1104,3142,2933,2393,4845,8679,3107,17781,930,44924,1517,431,693,327,3452,6108,3359,10409,363,26658,1700,2361,2075,2132,13510,15059,5885,8541,514,51777,515,375,335,421,3517,3877,1166,2174,97,12477,4401,5998,5679,5433,17857,32855,8475,19931,1510,102138,511,1046,741,609,3698,5016,1838,3995,147,17598,2260,10600,5889,3541,9764,7801,2631,4916,509,47913,3937,14062,5484,2619,5190,3873,1248,3356,559,40321,2035,3309,3120,1888,5828,7108,2791,9591,620,36297,268,535,350,256,1353,1369,340,830,28,5319,267,479,451,387,2320,2605,788,1793,60,9147,232,743,457,324,1176,1604,641,1720,72,6971,778,2782,2164,1795,5783,8548,2380,5853,178,30263,994,3670,2429,1612,3299,3302,841,1962,261,18376,2921,2015,1785,1466,17442,12903,4570,5487,432,49017,1218,4070,2533,2158,7013,6124,2132,4532,196,29979,1910,4658,5239,4778,10056,9012,2133,4506,398,42696,809,1600,774,492,1493,1318,263,834,96,7685,1040,2201,1648,1295,5838,6984,2015,4402,290,25720,1448,2668,1795,1344,5481,6322,1554,3920,5380,29921
19499,0,10,9,0,6,13,6,16,8,76,3,6,4,0,5,4,0,23,0,35,7,5,11,6,29,18,6,8,4,90,0,0,4,0,4,5,0,0,0,10,33,21,11,16,30,51,10,35,5,210,4,0,9,4,17,10,5,9,0,48,6,14,16,3,19,9,3,3,5,80,13,34,18,9,12,12,3,0,5,100,12,14,16,0,14,11,10,20,0,110,0,0,0,6,3,10,0,3,0,26,6,4,0,0,7,16,4,4,0,42,4,0,0,0,0,0,0,0,0,6,10,11,9,10,14,23,4,22,0,97,11,11,6,7,5,0,0,8,0,56,10,5,3,5,19,15,6,21,4,86,3,5,6,0,11,4,4,6,0,45,0,11,13,9,15,20,3,13,3,87,10,0,8,0,7,4,5,4,0,38,0,5,5,0,6,3,0,4,3,34,14,16,7,7,13,12,4,11,31,112
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,331,988,911,655,1947,2246,617,1673,122,9484,224,136,98,89,360,796,332,1250,51,3340,2332,5429,5261,4315,35078,33886,10529,16868,803,114507,402,596,513,547,4943,5750,1558,2977,136,17430,5147,10237,11365,9964,33902,67195,17154,35837,2916,193715,999,2406,2267,1829,13030,14421,4253,7210,270,46684,4351,21746,13379,7181,21666,18911,5279,9651,1004,103164,6909,24332,11894,4632,9146,7045,2001,4819,955,71731,3859,7767,9800,5444,18157,23491,7383,14576,1448,91933,922,1790,1412,1016,7296,8550,1877,3860,198,26931,1208,1739,1914,1774,13733,24325,4883,11046,367,60987,596,1393,1286,941,4130,5327,1696,4111,170,19655,2051,7727,6359,5142,27364,47211,10216,24036,737,130843,1700,6216,6245,3200,8720,8205,1869,3740,503,40401,3125,3219,2729,2514,20412,20821,5678,7804,529,66827,2153,10295,4892,3434,14408,12934,4423,8924,371,61831,2699,7760,8232,8218,17232,17221,4375,9024,597,75360,3114,4153,2039,1442,4112,4330,1005,2275,195,22660,2009,4398,4163,2501,10433,10995,2961,5513,480,43450,2046,5436,4785,3154,16057,16899,3544,7721,11642,71280
2RVIC,1026,2719,2373,1892,4098,6794,2432,13459,800,35600,439,116,104,86,371,806,421,1983,69,4398,1287,1765,1555,1506,9695,11752,4471,5935,403,38378,350,242,268,280,2008,2509,813,1455,88,8007,1997,2925,2740,2994,10635,22179,5760,12594,969,62785,318,693,489,455,2558,3365,1192,2054,113,11242,1207,6369,3198,2014,5700,4937,1545,2766,340,28080,1911,7253,2625,1133,2332,1853,505,1760,306,19686,1164,1634,1664,1093,3094,4605,1775,5641,405,21068,154,327,213,158,942,882,250,437,23,3387,158,209,220,198,1432,1842,539,1090,37,5722,130,263,217,174,639,851,281,850,36,3441,416,1484,1163,902,3036,4688,1302,3091,120,16206,492,1938,1237,816,1713,1653,439,864,144,9294,1497,1070,822,793,6359,7804,1822,2609,178,22960,632,2008,1311,1144,4292,3402,1312,2625,120,16841,1115,2330,2629,2688,4751,4721,1168,2233,197,21843,515,978,464,371,1067,931,208,584,70,5188,515,1309,914,713,3142,3972,1032,2291,189,14077,794,1538,977,792,2973,3693,926,2250,3258,17181
29499,6,8,11,7,11,10,0,7,0,59,0,0,0,0,0,0,0,7,0,4,3,0,6,4,31,17,7,14,4,82,0,5,5,0,5,5,0,0,0,16,5,12,20,9,32,51,14,21,8,174,0,0,0,0,9,9,6,3,0,28,4,16,5,0,18,9,4,0,3,61,12,27,9,6,10,10,0,7,0,86,11,11,10,4,14,14,3,12,0,84,0,0,0,0,4,7,0,3,0,15,0,0,0,0,4,15,0,7,0,25,0,0,0,0,0,7,0,0,0,12,6,8,8,3,11,22,4,8,5,59,3,10,3,0,6,10,0,3,0,41,5,0,4,4,14,18,9,11,0,68,0,10,5,0,4,3,0,0,0,31,3,0,9,4,18,9,4,5,0,51,0,3,3,0,3,4,0,0,0,19,3,0,5,0,5,7,0,0,6,32,6,6,3,5,11,16,0,6,29,87
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,237,597,552,456,1020,1223,442,1758,110,6394,977,264,212,145,1116,2423,975,4455,99,10678,1679,2248,1956,1805,16323,15075,5512,9049,446,54084,488,293,283,319,2366,3748,1032,2189,48,10770,3302,4794,4258,4179,13977,27633,8887,22355,1132,90526,645,1014,913,715,5967,6527,2139,3650,140,21714,3434,9857,6446,3733,10458,8622,2720,4894,446,50613,5973,12528,4812,1943,4128,3090,994,2519,462,36444,2789,3673,4382,2707,10101,11484,4216,10235,689,50287,406,668,454,368,2325,2350,610,1454,45,8683,422,576,639,570,5501,5975,1614,3668,88,19044,408,886,689,510,2025,2697,941,2632,92,10885,1373,3424,2758,2223,11703,20200,4952,11968,255,58853,1398,3086,2617,1491,4400,3816,918,2031,240,19983,2608,1566,1712,1352,14581,12668,3672,5155,354,43672,2226,4359,2824,1971,7152,6111,1799,4073,175,30690,2513,4325,4259,4268,11464,9575,2237,5178,362,44182,1762,1449,767,480,1841,1624,385,906,74,9280,1837,2182,1738,1211,5366,5814,1821,3569,248,23792,1325,2470,2059,1507,7410,7981,1994,4484,5278,34511
3RQLD,824,2119,1783,1714,3920,5888,2214,15019,832,34304,3560,664,698,300,2017,4076,3540,19185,659,34698,1481,2084,1703,1656,11386,12478,5726,10199,448,47165,590,371,242,338,2491,3367,1097,2432,112,11038,3438,4920,4847,4985,15070,27006,9813,26127,1517,97724,555,945,695,580,3936,4518,1723,3889,130,16972,2185,9368,5492,3503,9551,7523,2625,5303,492,46046,4011,12286,5350,2774,5750,4188,1486,4092,602,40532,2222,2864,3161,2040,6124,6991,2705,10099,585,36802,284,488,402,269,1297,1273,320,984,51,5365,255,469,470,437,2114,2564,725,1897,53,8992,382,867,650,513,1440,2037,819,2657,92,9455,738,2241,1817,1461,5290,7757,2132,6255,181,27873,1027,3018,2312,1451,3411,2975,905,2952,246,18290,2424,1614,1289,1281,11302,11021,3625,5463,451,38470,1308,2976,2739,2097,5541,5140,1766,3818,175,25554,1951,3675,4338,4654,9521,8308,2017,4638,367,39464,1436,1612,968,613,1772,1546,331,899,157,9333,1209,2182,1516,1206,5336,6354,2109,4887,275,25079,1395,2604,1907,1407,5420,6246,1750,5145,5852,31724
