GCCSA_CODE_2021,M_NatPhySci_Occ_Mng,M_NatPhySci_Occ_Pro,M_NatPhySci_Occ_TTW,M_NatPhySci_Occ_CPS,M_NatPhySci_Occ_CA,M_NatPhySci_Occ_Sal,M_NatPhySci_Occ_MOD,M_NatPhySci_Occ_Lab,M_NatPhySci_Occ_IDNS,M_NatPhySci_Total,M_InfoTechn_Occ_Mng,M_InfoTechn_Occ_Pro,M_InfoTechn_Occ_TTW,M_InfoTechn_Occ_CPS,M_InfoTechn_Occ_CA,M_InfoTechn_Occ_Sal,M_InfoTechn_Occ_MOD,M_InfoTechn_Occ_Lab,M_InfoTechn_Occ_IDNS,M_InfoTechn_Total,M_EngRelTech_Occ_Mng,M_EngRelTech_Occ_Pro,M_EngRelTech_Occ_TTW,M_EngRelTech_Occ_CPS,M_EngRelTech_Occ_CA,M_EngRelTech_Occ_Sal,M_EngRelTech_Occ_MOD,M_EngRelTech_Occ_Lab,M_EngRelTech_Occ_IDNS,M_EngRelTech_Total,M_ArchitBuild_Occ_Mng,M_ArchitBuild_Occ_Pro,M_ArchitBuild_Occ_TTW,M_ArchitBuild_Occ_CPS,M_ArchitBuild_Occ_CA,M_ArchitBuild_Occ_Sal,M_ArchitBuild_Occ_MOD,M_ArchitBuild_Occ_Lab,M_ArchitBuild_Occ_IDNS,M_ArchitBuild_Total,M_AgriEnviRelStu_Occ_Mng,M_AgriEnviRelStu_Occ_Pro,M_AgriEnviRelStu_Occ_TTW,M_AgriEnviRelStu_Occ_CPS,M_AgriEnviRelStu_Occ_CA,M_AgriEnviRelStu_Occ_Sal,M_AgriEnviRelStu_Occ_MOD,M_AgriEnviRelStu_Occ_Lab,M_AgriEnviRelStu_Occ_IDNS,M_AgriEnviRelStu_Total,M_Health_Occ_Mng,M_Health_Occ_Pro,M_Health_Occ_TTW,M_Health_Occ_CPS,M_Health_Occ_CA,M_Health_Occ_Sal,M_Health_Occ_MOD,M_Health_Occ_Lab,M_Health_Occ_IDNS,M_Health_Total,M_Educat_Occ_Mng,M_Educat_Occ_Pro,M_Educat_Occ_TTW,M_Educat_Occ_CPS,M_Educat_Occ_CA,M_Educat_Occ_Sal,M_Educat_Occ_MOD,M_Educat_Occ_Lab,M_Educat_Occ_IDNS,M_Educat_Total,M_ManagCom_Occ_Mng,M_ManagCom_Occ_Pro,M_ManagCom_Occ_TTW,M_ManagCom_Occ_CPS,M_ManagCom_Occ_CA,M_ManagCom_Occ_Sal,M_ManagCom_Occ_MOD,M_ManagCom_Occ_Lab,M_ManagCom_Occ_IDNS,M_ManagCom_Total,M_SocietCultu_Occ_Mng,M_SocietCultu_Occ_Pro,M_SocietCultu_Occ_TTW,M_SocietCultu_Occ_CPS,M_SocietCultu_Occ_CA,M_SocietCultu_Occ_Sal,M_SocietCultu_Occ_MOD,M_SocietCultu_Occ_Lab,M_SocietCultu_Occ_IDNS,M_SocietCultu_Total,M_CreatArt_Occ_Mng,M_CreatArt_Occ_Pro,M_CreatArt_Occ_TTW,M_CreatArt_Occ_CPS,M_CreatArt_Occ_CA,M_CreatArt_Occ_Sal,M_CreatArt_Occ_MOD,M_CreatArt_Occ_Lab,M_CreatArt_Occ_IDNS,M_CreatArt_Total,M_FoodHospPersServ_Occ_Mng,M_FoodHospPersServ_Occ_Pro,M_FoodHospPersServ_Occ_TTW,M_FoodHospPersServ_Occ_CPS,M_FoodHospPersServ_Occ_CA,M_FoodHospPersServ_Occ_Sal,M_FoodHospPersServ_Occ_MOD,M_FoodHospPersServ_Occ_Lab,M_FoodHospPersServ_Occ_IDNS,M_FoodHospPersServ_Total,M_MixFieldProg_Occ_Mng,M_MixFieldProg_Occ_Pro,M_MixFieldProg_Occ_TTW,M_MixFieldProg_Occ_CPS,M_MixFieldProg_Occ_CA,M_MixFieldProg_Occ_Sal,M_MixFieldProg_Occ_MOD,M_MixFieldProg_Occ_Lab,M_MixFieldProg_Occ_IDNS,M_MixFieldProg_Total,M_FS_ID_Occ_Mng,M_FS_ID_Occ_Pro,M_FS_ID_Occ_TTW,M_FS_ID_Occ_CPS,M_FS_ID_Occ_CA,M_FS_ID_Occ_Sal,M_FS_ID_Occ_MOD,M_FS_ID_Occ_Lab,M_FS_ID_Occ_IDNS,M_FS_ID_Total,M_FS_NS_Occ_Mng,M_FS_NS_Occ_Pro,M_FS_NS_Occ_TTW,M_FS_NS_Occ_CPS,M_FS_NS_Occ_CA,M_FS_NS_Occ_Sal,M_FS_NS_Occ_MOD,M_FS_NS_Occ_Lab,M_FS_NS_Occ_IDNS,M_FS_NS_Total,M_Tot_Occ_Mng,M_Tot_Occ_Pro,M_Tot_Occ_TTW,M_Tot_Occ_CPS,M_Tot_Occ_CA,M_Tot_Occ_Sal,M_Tot_Occ_MOD,M_Tot_Occ_Lab,M_Tot_Occ_IDNS,M_Total_Total,F_NatPhySci_Occ_Mng,F_NatPhySci_Occ_Pro,F_NatPhySci_Occ_TTW,F_NatPhySci_Occ_CPS,F_NatPhySci_Occ_CA,F_NatPhySci_Occ_Sal,F_NatPhySci_Occ_MOD,F_NatPhySci_Occ_Lab,F_NatPhySci_Occ_IDNS,F_NatPhySci_Total,F_InfoTechn_Occ_Mng,F_InfoTechn_Occ_Pro,F_InfoTechn_Occ_TTW,F_InfoTechn_Occ_CPS,F_InfoTechn_Occ_CA,F_InfoTechn_Occ_Sal,F_InfoTechn_Occ_MOD,F_InfoTechn_Occ_Lab,F_InfoTechn_Occ_IDNS,F_InfoTechn_Total,F_EngRelTech_Occ_Mng,F_EngRelTech_Occ_Pro,F_EngRelTech_Occ_TTW,F_EngRelTech_Occ_CPS,F_EngRelTech_Occ_CA,F_EngRelTech_Occ_Sal,F_EngRelTech_Occ_MOD,F_EngRelTech_Occ_Lab,F_EngRelTech_Occ_IDNS,F_EngRelTech_Total,F_ArchitBuild_Occ_Mng,F_ArchitBuild_Occ_Pro,F_ArchitBuild_Occ_TTW,F_ArchitBuild_Occ_CPS,F_ArchitBuild_Occ_CA,F_ArchitBuild_Occ_Sal,F_ArchitBuild_Occ_MOD,F_ArchitBuild_Occ_Lab,F_ArchitBuild_Occ_IDNS,F_ArchitBuild_Total,F_AgriEnviRelStu_Occ_Mng,F_AgriEnviRelStu_Occ_Pro,F_AgriEnviRelStu_Occ_TTW,F_AgriEnviRelStu_Occ_CPS,F_AgriEnviRelStu_Occ_CA,F_AgriEnviRelStu_Occ_Sal,F_AgriEnviRelStu_Occ_MOD,F_AgriEnviRelStu_Occ_Lab,F_AgriEnviRelStu_Occ_IDNS,F_AgriEnviRelStu_Total
39499,10,12,0,5,0,0,3,0,0,29,4,22,11,0,0,0,0,12,0,49,31,44,110,10,16,8,42,56,12,318,5,0,66,3,0,3,21,27,0,135,0,3,7,0,3,0,11,8,3,35,0,36,0,6,0,0,9,4,0,56,0,11,0,3,0,3,6,4,0,21,27,18,4,15,11,14,14,30,0,145,10,17,7,24,0,5,7,19,7,102,11,9,8,3,4,8,5,10,0,51,6,0,21,7,0,4,7,22,0,63,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,5,3,3,23,0,0,13,5,4,0,10,20,14,63,118,174,240,84,41,46,141,208,39,1092,0,11,0,4,0,0,0,14,0,31,0,7,0,0,4,0,0,4,0,16,8,9,4,5,4,0,4,7,0,30,0,4,0,6,3,0,0,0,0,12,0,3,0,3,8,4,0,10,0,29
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,13,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,12,0,0,0,0,0,7,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,1452,4054,874,495,464,285,315,493,106,8542,1874,6495,1836,608,841,514,795,835,188,13979,8599,11317,25063,1909,2907,1915,5375,4704,930,62730,3322,1719,11679,437,706,541,1145,1998,325,21883,1016,786,1801,280,347,267,492,935,99,6012,1085,10679,559,2542,441,294,347,495,139,16580,1084,6001,298,849,326,196,290,260,83,9383,12435,11464,2677,2718,6303,3994,2730,2650,630,45610,2663,6482,1133,6779,1924,911,1115,1347,307,22658,923,3106,1116,665,591,681,415,690,94,8295,1258,238,4338,726,470,547,938,1133,126,9770,19,25,30,27,17,14,32,48,4,216,532,566,655,420,302,177,633,460,168,3916,674,398,1269,423,295,299,777,773,959,5863,36946,63330,53316,18871,15936,10642,15402,16822,4170,235423,963,3222,1051,847,968,341,56,300,62,7798,424,1414,284,703,586,210,48,336,60,4069,595,1608,590,424,599,262,208,481,67,4832,362,1244,385,200,454,296,21,101,42,3105,353,629,501,337,398,263,40,266,36,2816
4RSAU,242,385,95,40,33,35,50,138,8,1026,128,204,148,48,60,72,51,87,12,812,2657,1129,8480,351,460,488,2277,2068,340,18244,1038,118,2654,111,81,102,488,653,87,5335,2412,462,630,96,91,171,446,945,67,5312,222,1076,99,385,73,39,101,111,17,2131,357,1339,86,127,57,24,99,78,16,2179,1748,848,441,267,460,552,423,479,84,5310,370,538,183,1255,143,109,160,277,48,3078,115,195,92,68,34,51,42,109,3,718,366,39,972,144,51,136,304,424,40,2475,3,6,6,8,3,0,3,13,0,39,136,69,140,86,37,23,143,150,30,821,379,73,492,110,47,97,358,496,283,2341,10184,6497,14516,3092,1634,1898,4944,6010,1043,49812,165,273,126,86,117,31,9,71,10,889,37,47,24,30,58,28,3,37,0,261,125,111,102,87,103,79,60,146,14,818,47,55,46,22,60,29,5,34,7,309,431,248,199,171,238,142,33,312,33,1812
49499,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,8,4,11,27,0,0,0,11,13,0,72,0,4,8,0,0,0,3,4,0,27,3,0,0,0,0,0,0,11,0,11,0,3,0,0,0,0,0,0,0,11,0,7,0,0,0,0,0,0,0,8,7,6,3,0,3,7,6,4,0,40,5,9,0,7,0,0,0,4,0,22,0,3,3,0,0,0,0,0,0,11,0,0,8,0,0,0,0,8,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,5,9,4,19,30,51,59,18,14,18,31,45,7,264,0,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,2673,8024,1604,794,693,475,607,671,161,15695,3062,9047,2662,723,1073,776,1224,1029,196,19793,17334,26572,54916,2969,4943,2834,11091,7511,1610,129777,4880,2777,18675,876,1299,714,3148,3671,496,36539,1306,1340,2006,330,353,321,852,1221,111,7836,2067,14042,1071,3155,611,407,799,720,202,23069,1788,7726,604,1047,382,235,652,415,103,12948,18795,19384,4190,3630,7835,5185,4630,3559,926,68142,3885,9549,1727,6674,2247,1232,1848,1961,401,29529,1223,3934,1783,1073,795,1050,866,998,115,11841,1868,399,6714,1310,686,758,2220,1621,157,15736,29,28,90,36,24,46,78,118,24,465,788,961,1335,646,422,259,995,602,238,6250,1100,852,2866,672,487,448,1566,1337,2005,11325,60792,104638,100239,23934,21852,14732,30559,25446,6749,388951,1591,6662,1970,1470,1859,798,158,485,145,15142,620,1960,446,655,881,387,116,426,68,5558,1211,4099,1653,848,1180,540,570,783,106,10978,499,1873,708,365,684,430,60,159,32,4817,599,1317,748,436,658,315,116,435,43,4670
5RWAU,429,853,283,80,56,36,112,160,17,2017,208,293,319,88,90,117,142,185,22,1456,3938,2899,18193,622,756,544,4127,2637,544,34269,1266,314,4689,257,182,173,1336,1150,159,9521,1978,646,791,160,125,168,680,866,73,5483,352,2050,216,444,89,36,230,157,36,3611,564,1854,231,226,69,60,273,129,38,3452,2291,1318,856,439,675,623,722,605,129,7665,494,918,287,1217,174,155,319,374,30,3970,156,298,228,120,54,93,116,182,17,1268,462,71,1467,204,97,166,638,458,42,3602,6,11,16,6,0,17,21,34,0,111,195,151,348,143,52,27,293,170,52,1434,457,182,924,172,66,146,656,554,466,3625,12793,11859,28862,4181,2478,2359,9652,7663,1634,81492,279,739,326,202,263,77,37,134,18,2073,55,70,42,58,112,36,19,70,6,472,196,325,436,145,197,110,220,198,25,1850,89,166,103,52,113,50,29,51,8,647,506,455,313,227,385,190,113,382,36,2599
59499,0,6,5,0,0,0,0,0,0,15,5,3,3,0,0,0,0,0,0,14,14,43,100,6,3,3,37,25,0,230,5,0,34,0,0,3,9,11,4,70,0,3,0,0,0,0,0,8,0,14,3,9,0,3,0,0,0,4,0,23,0,5,5,0,0,0,0,3,0,14,11,13,6,5,8,6,6,11,0,60,4,12,4,10,4,0,4,5,0,49,0,9,4,4,3,0,0,0,0,21,0,0,14,0,0,3,5,7,0,38,0,0,0,0,0,0,0,0,0,0,0,3,8,4,0,0,0,0,0,17,3,0,3,0,0,0,8,3,10,25,40,106,188,38,25,15,72,95,13,595,0,7,0,7,0,0,0,8,0,21,0,0,0,0,0,0,0,0,0,6,0,3,0,0,5,0,3,0,0,16,0,0,0,0,0,0,0,0,0,5,0,5,0,4,0,0,0,4,0,14
59799,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,25,43,0,6,0,10,23,6,113,0,0,5,0,0,0,5,10,0,18,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,6,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,4,0,0,0,0,5,0,10,4,34,59,0,3,0,20,49,12,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,294,1063,191,102,92,41,44,101,25,1957,387,1052,542,179,179,167,162,269,40,2979,1157,1605,3660,340,354,261,689,713,125,8906,1016,335,2779,114,113,87,180,300,60,4986,301,237,318,85,53,40,73,211,27,1340,147,1813,71,391,57,45,46,58,28,2657,211,1120,55,153,52,26,28,35,15,1697,2043,1669,806,828,1068,759,583,815,150,8721,597,1340,205,1099,365,149,96,176,53,4084,165,580,218,155,109,101,39,86,19,1472,282,54,902,188,107,110,145,234,27,2051,5,0,10,17,4,3,11,6,6,51,114,120,116,88,57,30,81,75,32,709,122,85,273,100,69,67,115,167,165,1171,6840,11074,10148,3837,2674,1883,2291,3257,769,42781,211,858,205,181,189,86,14,47,16,1802,68,193,50,149,111,76,13,86,8,754,94,215,80,74,85,47,38,103,4,749,49,218,87,38,40,19,0,12,8,476,111,176,83,81,90,39,8,52,4,644
6RTAS,226,403,128,67,54,16,28,79,14,1015,181,418,302,107,79,92,107,169,21,1481,1682,1275,6174,409,429,340,1734,1332,226,13595,1498,241,2829,129,122,119,442,545,78,5997,1071,313,526,82,66,94,337,534,48,3081,182,1571,76,371,50,36,57,74,19,2433,265,1176,81,165,52,37,47,69,22,1912,1567,1004,498,452,682,509,533,613,101,5958,357,759,167,920,161,89,146,196,38,2827,101,324,135,111,51,64,48,99,12,954,321,41,879,167,75,130,254,313,23,2191,3,4,6,0,0,0,0,15,0,34,119,93,126,64,30,27,122,95,20,699,266,88,411,95,66,78,314,314,264,1887,7834,7711,12328,3132,1901,1638,4167,4454,890,44057,144,323,155,93,102,34,13,53,7,921,37,68,29,53,65,22,6,71,13,373,75,98,109,83,92,49,51,196,7,757,53,130,66,37,30,28,7,17,0,380,230,217,147,99,136,69,25,189,13,1127
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,16,0,0,4,3,11,0,36,3,0,7,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,11,12,31,8,0,3,7,20,0,93,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,127,304,87,58,41,16,30,24,12,700,188,456,251,138,96,116,84,95,21,1449,988,1125,4034,455,346,197,654,472,105,8382,418,123,1091,99,83,43,154,216,41,2281,159,148,178,63,55,31,58,104,8,803,161,1096,83,254,53,13,28,42,18,1740,120,499,57,127,43,16,33,14,18,937,1187,871,359,617,735,378,307,292,92,4844,381,694,131,990,205,64,101,115,43,2724,56,204,84,36,47,16,23,36,8,508,154,42,538,152,70,59,108,104,9,1233,0,0,8,9,3,0,0,0,0,29,92,75,116,108,36,8,55,50,21,558,84,55,236,114,55,40,100,86,162,931,4119,5689,7264,3221,1873,1005,1737,1649,566,27125,117,324,85,76,99,24,9,25,10,766,53,124,33,73,91,46,6,32,10,466,77,161,108,59,85,40,33,44,10,623,33,63,36,9,34,11,4,8,0,216,74,134,59,53,89,27,11,44,11,488
7RNTE,43,84,31,19,19,7,3,7,3,212,49,72,53,29,15,17,10,24,4,266,366,364,1309,180,88,57,249,249,42,2892,195,47,494,71,27,13,59,115,20,1040,137,137,60,50,41,8,35,111,9,593,63,448,32,160,27,10,14,20,4,783,112,331,22,68,22,6,18,13,7,603,361,166,102,222,171,83,60,82,23,1277,153,295,35,580,52,17,41,51,29,1252,44,81,29,41,18,13,4,16,5,238,88,18,227,91,32,26,40,64,5,583,0,5,0,4,0,0,4,4,3,17,20,30,32,50,13,0,15,21,6,197,57,65,112,108,26,30,65,113,105,687,1682,2150,2538,1682,543,288,615,886,258,10644,33,94,15,32,23,7,0,4,4,214,9,14,4,13,13,6,0,14,0,82,30,40,21,18,29,12,9,16,0,181,9,15,17,5,7,8,0,8,0,66,59,88,33,36,61,15,0,69,0,362
79499,0,0,3,0,0,0,0,0,0,4,3,4,0,0,0,0,0,0,0,9,5,3,11,4,0,0,3,16,0,55,3,0,0,0,0,0,0,7,0,19,0,0,0,0,0,0,4,0,0,12,0,6,0,0,0,0,0,0,0,13,0,3,0,0,0,0,0,0,0,11,5,4,4,0,5,0,0,0,0,20,0,5,0,5,0,3,0,3,0,22,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,7,14,23,37,30,16,11,4,12,40,8,182,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,10,0,26,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,6,0,0,0,19,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,1200,2819,306,225,440,95,53,120,77,5335,2202,7173,1154,401,672,473,344,507,209,13126,2475,4087,4573,538,847,379,781,775,245,14699,1401,636,3548,167,249,117,235,477,98,6924,404,420,530,82,174,49,81,139,46,1914,430,2945,168,621,171,70,50,70,58,4590,443,1787,93,298,174,36,72,125,36,3061,5668,5401,978,1105,2621,1105,608,727,415,18636,4113,6470,452,2127,1785,312,216,365,375,16218,601,1620,390,230,351,200,75,130,53,3647,420,115,1340,297,218,156,227,261,33,3065,6,8,13,12,6,3,11,12,4,71,430,428,157,172,191,49,98,85,74,1671,230,281,318,148,142,78,135,175,393,1904,20027,34192,14023,6418,8039,3121,2990,3960,2102,94869,1092,2258,343,360,774,152,14,56,82,5128,598,1720,178,390,423,243,11,131,72,3756,322,789,134,134,242,85,27,84,41,1863,194,466,119,68,204,77,8,25,15,1180,322,414,158,87,266,45,6,39,24,1362
89499,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,3,7,0,4,0,0,0,0,11,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,0,4,0,4,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,14,7,9,8,0,3,0,59,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,7,6,3,0,0,0,0,4,0,26,4,6,6,0,0,0,0,0,0,14,44,17,124,8,8,9,20,22,3,251,16,3,64,9,0,4,8,10,0,107,9,5,5,0,6,0,4,3,0,31,4,6,0,4,0,0,0,0,0,20,4,23,0,4,0,0,0,0,0,33,30,6,0,13,4,3,0,6,0,73,12,10,3,21,6,0,0,0,0,57,4,5,0,3,4,0,0,0,0,15,5,0,27,0,3,0,3,4,0,44,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,6,15,8,5,16,0,0,3,4,9,4,48,146,87,264,66,33,20,42,63,18,732,3,9,0,7,7,0,0,0,0,24,0,0,0,0,0,0,0,0,0,4,4,0,0,3,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,11,11,0,0,0,3,0,0,0,0,16
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
