GCCSA_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
1GSYD,1615,5210,12852,16142,6154,31768,4352,18604,1581,98284,10941,45196,30069,37340,28687,31992,12426,20665,4585,221909,71324,213710,67128,54918,71110,38412,28970,34046,12628,592249,112383,197123,55072,42087,78112,31088,27533,26411,11567,581378,98760,134483,46022,39341,74511,27649,29009,28887,8558,487206,57005,84337,34170,28247,57261,20657,26567,27406,5494,341136,14323,27551,8401,6472,16639,6026,6665,7526,1839,95433,2287,3865,793,496,1924,897,497,748,613,12129,231,252,49,22,105,82,9,48,187,989,368876,711729,254555,225062,334504,188556,136033,164335,47052,2430704
1RNSW,1455,1408,12779,14456,3001,25300,2693,18541,1446,81082,5048,11321,22493,23592,9548,14376,5560,14618,1795,108351,23999,57742,45246,34416,25363,16769,15430,24836,4185,247988,37766,59882,35957,29359,29865,14016,16655,21442,4335,249276,43271,53743,32437,31646,36300,16004,19665,24351,4453,261879,35673,41106,26009,26151,31969,14822,19636,24797,3455,223613,15482,13167,6198,5398,8773,4309,5629,6676,1390,67024,4417,1444,580,329,983,512,602,907,773,10539,611,80,47,23,65,51,25,63,241,1190,167707,239901,181749,165378,145868,106151,85905,136208,22065,1250938
19499,4,0,10,29,4,34,4,31,0,123,12,21,36,53,13,34,15,55,5,245,54,192,92,96,58,44,83,175,12,809,60,104,62,60,46,25,63,54,22,492,46,86,36,58,58,23,38,61,13,412,46,64,41,31,50,10,37,40,14,338,7,31,9,3,7,5,9,8,4,86,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,234,500,279,334,236,171,253,419,77,2511
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,1428,2868,10419,18890,5000,38665,3130,22128,1689,104206,10055,35973,34434,39958,26675,39102,12670,25110,4850,228826,63559,203220,83370,63867,71343,39114,33158,41803,13124,612555,101343,185408,66077,50114,71840,29640,30790,31538,11686,578433,91722,124398,54209,44800,69931,28119,29907,32986,8951,485019,53568,76866,37727,31251,53578,20723,25922,28416,5546,333593,13717,24188,8906,6824,14681,5841,6288,8099,1821,90351,2249,3212,852,491,1435,796,409,1092,592,11140,200,199,42,22,74,58,15,63,189,861,337829,656333,296021,256199,314570,202049,142288,191239,48452,2444991
2RVIC,942,461,6176,7028,1369,14891,1122,10606,870,43470,3197,5779,12540,11565,4838,8208,3042,9023,1054,59238,14084,33396,25756,19085,13216,9281,7942,16300,2493,141550,22329,33946,20713,16072,15922,7835,7906,13572,2418,140714,26217,29381,18651,18139,19257,9384,10383,15218,2603,149227,22735,23072,15238,15618,17658,8713,11494,15693,2235,132460,11002,7486,3741,3421,4950,2514,3308,4670,985,42077,3202,738,339,202,480,290,262,604,491,6593,404,32,24,11,34,19,14,46,156,751,104102,134293,103181,91143,77728,61142,45469,85735,13304,716097
29499,4,0,17,14,4,26,9,10,0,82,7,18,32,45,16,30,15,35,3,217,41,143,83,80,47,36,45,117,14,600,45,89,48,24,29,16,21,53,13,341,34,40,37,32,18,15,38,60,6,277,30,39,28,27,24,10,31,29,5,227,4,7,10,4,3,4,5,6,3,47,5,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,174,334,250,227,143,129,177,308,49,1797
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,15
3GBRI,1135,1922,7123,13322,3780,23800,3430,15849,1085,71448,5632,19847,17901,23496,15720,17506,7764,14502,2315,124682,28058,83073,41405,33706,35896,18693,17482,23242,5607,287158,44848,85820,34518,27362,38189,14095,16305,18703,5405,285251,44624,66320,28325,25789,38724,13921,16277,18857,4277,257102,25184,38979,19229,17349,28453,10772,13760,15656,2623,171993,6055,10129,4218,3450,6921,3078,3476,4026,748,42110,1005,1115,328,215,631,406,265,453,269,4690,93,48,9,3,41,25,18,14,91,347,156642,307246,153068,144697,168351,102284,78764,111300,22425,1244782
3RQLD,1203,1314,10517,14191,3307,25785,2690,17891,1581,78477,4638,12128,19910,20606,9919,14205,6107,14906,2063,104482,22446,51614,44088,32901,25116,16683,15807,25851,4776,239275,35616,55099,39124,29127,30055,14649,17287,21747,4832,247528,39968,49858,34675,30932,34813,17320,20540,23915,4750,256777,30093,34360,25625,23160,28918,14823,19339,22692,3431,202448,11574,10161,6003,4663,7662,4803,5388,6445,1328,58029,2976,1077,493,326,894,646,468,843,573,8303,305,52,21,10,53,37,22,56,177,739,148825,215651,180461,155917,140745,108943,87652,134338,23517,1196051
