GCCSA_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
1GSYD,65,21,55,56,18,126,14,96,105,3294,44,3891,14,18,8,13,4,36,9,70,36,552,3,752,7,19,10,15,7,36,13,162,79,1020,9,1377,5,12,6,4,3,39,3,226,106,907,12,1325,20,51,34,19,4,119,29,483,206,2271,40,3278,20,78,41,57,14,252,27,1028,415,2904,56,4896,56,219,110,132,32,887,108,1794,799,5697,77,9909,94,512,233,262,89,2262,239,2526,1261,6149,106,13723,282,1086,495,883,246,5043,534,3690,1919,8682,140,23000,664,2151,935,2788,847,7198,1112,4400,2314,8770,175,31346,958,1858,849,3893,1222,7969,1216,3533,1890,6464,100,29963,2124,2269,912,5524,1690,8126,1363,3024,1616,5715,127,32488,10059,5124,2132,16333,5254,19700,3251,5578,2767,9646,230,80076,14193,4401,1833,19449,6244,9236,2643,3556,1654,5994,142,69347,17243,3377,1333,19031,5708,10141,2013,2628,1192,4294,123,67076,17354,2304,885,13610,4510,4745,1333,1576,704,2282,74,49388,84359,6653,2141,52177,14535,28584,2829,4488
1RNSW,113,19,17,64,16,55,10,39,26,518,24,900,30,5,3,20,3,20,0,21,12,126,0,241,25,9,9,32,4,21,5,80,11,239,6,434,13,12,0,18,4,31,6,74,20,183,0,352,41,47,9,57,8,41,14,191,35,561,7,1003,44,59,9,106,13,131,15,351,68,645,15,1459,121,189,21,240,32,403,49,776,151,1735,30,3749,182,419,34,455,53,1056,74,1125,242,1867,43,5550,376,792,88,1227,158,2458,200,1636,408,3064,66,10485,883,1587,203,3794,504,3864,387,1911,454,2944,98,16628,1142,1277,184,4975,677,3892,345,1457,372,1981,69,16368,2202,1369,222,6443,940,3572,380,1093,317,1690,61,18291,8664,2775,528,16123,2496,7029,979,1798,626,2531,110,43646,9756,2008,447,15781,2601,3349,878,1032,328,1193,79,37436,10001,1371,361,12685,2127,2831,637,634,236,766,55,31703,8682,728,242,7541,1511,1258,353,307,115,397,25,21155,22500,1520,519,15605,2818,4652,652,734
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,124,43,50,101,23,182,19,145,117,2634,52,3487,23,21,4,32,10,61,0,124,34,499,8,817,17,40,10,39,11,83,10,281,83,848,9,1441,7,31,3,28,5,93,3,362,43,711,17,1307,47,106,15,56,15,188,14,645,115,1880,30,3110,48,165,17,128,15,593,37,1339,213,2013,47,4619,129,489,42,321,50,1582,93,2374,401,3770,69,9324,223,878,92,733,139,3989,180,3149,547,4089,113,14128,480,1784,156,1845,288,7699,340,4089,807,5768,153,23406,1342,3020,256,6028,794,10029,599,4232,851,5612,178,32940,1734,2403,259,7827,1034,10073,544,3218,730,4332,147,32303,3553,2509,269,10092,1327,9527,634,2466,606,3641,118,34740,14404,5029,741,26407,3909,19833,1335,4256,1019,6161,216,83314,17450,3808,687,28857,4317,8404,1090,2593,595,3475,137,71408,18399,2640,562,24727,3769,8868,870,1723,444,2320,93,64417,17114,1664,402,15952,2833,3668,556,991,236,1171,79,44669,64729,4139,1101,48513,8065,20088,1362,2649
2RVIC,62,10,12,29,8,44,4,16,16,337,17,543,21,5,0,15,0,15,0,18,6,83,0,171,10,6,4,23,4,21,3,47,9,129,5,263,11,9,5,11,6,18,4,45,8,96,0,208,32,21,7,36,5,45,8,78,29,310,3,570,37,54,6,62,11,125,15,235,41,345,7,926,74,103,14,165,33,297,27,451,81,920,17,2178,136,243,34,335,63,775,43,682,127,1051,33,3524,247,517,61,881,134,1752,119,1007,211,1599,38,6567,524,894,117,2760,416,2577,237,1080,290,1471,59,10416,633,779,115,3679,513,2487,233,743,204,976,34,10407,1304,852,155,4477,616,2249,239,608,176,761,38,11474,4684,1577,317,10963,1512,3993,520,933,324,1097,61,25995,5172,1190,270,9865,1412,1686,440,527,135,512,41,21235,4971,707,203,7555,1072,1489,306,299,101,292,33,17029,4125,389,133,4106,649,595,192,131,44,159,16,10545,9678,692,237,8350,1290,2379,301,316
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,41,11,15,31,7,56,5,33,33,760,17,1002,10,7,6,9,3,16,0,31,7,173,5,273,6,11,0,8,4,30,7,89,26,261,3,434,9,8,5,3,0,26,3,83,21,197,0,342,20,30,6,26,3,53,5,193,44,592,7,976,25,57,11,34,6,169,14,444,92,709,14,1575,58,143,21,137,24,528,40,793,192,1514,15,3470,98,308,43,278,78,1415,79,1163,264,1664,36,5416,224,647,105,800,181,3158,203,1620,449,2373,65,9816,654,1154,211,2549,564,4657,391,1854,558,2420,69,15071,941,998,182,3566,778,4715,415,1345,478,1785,46,15249,1842,1095,228,4634,1074,4415,401,1112,391,1442,62,16685,8178,2113,558,12349,2794,8929,979,1747,703,2390,73,40814,10003,1701,439,13004,2918,3701,761,983,348,1347,62,35271,10412,1239,376,11354,2549,3746,582,745,247,897,33,32167,9818,784,282,7603,1823,1525,344,402,111,449,20,23147,31536,1838,661,20889,4492,8472,803,1037
3RQLD,103,16,18,49,14,53,7,40,33,607,19,966,31,13,3,21,0,32,0,29,9,147,4,294,28,20,8,16,3,29,3,77,20,259,4,477,16,11,6,19,3,28,6,74,18,165,4,353,60,39,6,45,7,66,4,196,37,613,12,1086,49,62,9,77,23,136,16,365,67,675,19,1501,118,174,20,184,29,439,54,754,159,1693,22,3655,210,358,54,391,62,1156,79,1147,228,1847,38,5563,408,733,85,1137,167,2794,195,1554,381,2478,66,10001,902,1436,199,3327,498,4243,390,1771,496,2515,74,15852,1180,1136,195,4552,646,3966,391,1247,411,1634,61,15420,2229,1134,196,5768,842,3734,405,992,344,1356,55,17061,8675,2257,483,14166,2303,6975,925,1555,647,1895,103,39985,9732,1633,439,13506,2256,3070,787,845,311,973,86,33637,9605,1155,336,10246,1808,2784,552,512,257,538,32,27829,7729,627,231,6189,1203,1030,357,279,90,256,32,18016,18543,1392,461,12606,2348,4459,648,717
