GCCSA_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
39499,89,412,333,3294,64,4192,8,34,22,684,37,783,145,10,7,9,4,177,20,4,0,7,0,35,116,29,24,39,0,208,1159,341,261,2698,75,4536,58,5,17,12,8,95,93,7,4,29,0,132,180,29,29,387,5,632,19,9,0,9,0,40,15,5,0,13,0,26,66,9,3,4,0,74,276,67,63,862,16,1293,130,32,17,153,0,341,31,0,0,0,0,30,11,3,0,14,0,24,0,0,0,0,0,6,14,6,5,17,0,41,102,19,21,6,6,151,121,27,24,21,5,198,50,12,5,24,0,88,16,0,0,3,0,25,15,4,4,4,0,32,281,100,63,780,9,1229,7,3,0,0,0,20,32,4,6,5,0,53,70,3,5,18,0,98,8,0,0,4,0,11,25,0,3,0,0,24,38,10,5,32,3,80,752,81,73,274,30,1205,64,10,8,94,3434,3597,3155,745,560,6577,3637,14670
39799,0,0,0,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,11,0,23,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,128,128,26,7,4,16,130,183
4GADE,15700,50494,38303,311239,3798,419533,263,1465,772,19356,427,22281,51930,962,1939,1695,262,56779,5007,937,515,2266,56,8775,10161,3571,2278,6832,121,22959,124352,49671,38775,293868,4497,511166,14737,438,2024,537,91,17837,3002,590,472,2616,37,6715,16261,6999,4855,64601,621,93341,19048,4045,1854,12526,243,37710,3004,689,336,1318,39,5379,39950,743,545,512,86,41843,21140,8099,5611,70200,664,105722,42084,10811,4577,36932,597,95008,4107,87,287,135,9,4625,2961,836,446,1358,19,5628,973,170,105,452,13,1716,2858,940,559,2683,42,7080,1463,563,311,375,33,2754,2497,1317,942,576,26,5364,10357,1840,1171,4673,126,18155,4420,455,475,990,54,6387,324,122,28,21,0,500,26348,10166,7847,68110,691,113163,5114,591,357,862,28,6956,4070,561,482,223,18,5357,3413,363,307,880,20,4984,2782,206,186,133,12,3323,20181,726,769,544,117,22342,4952,1135,834,3529,45,10497,139173,11317,8874,17216,1250,177833,6489,512,449,4978,46020,58447,518533,99141,72631,639705,57275,1387290
4RSAU,2102,10506,8478,135087,2182,158354,63,502,213,15703,356,16833,1474,53,126,393,16,2056,709,160,63,438,18,1391,3063,883,647,1935,57,6586,25579,10618,8758,116976,2342,164275,2693,58,489,129,40,3416,509,95,75,732,14,1433,3828,1789,1356,34280,433,41688,1389,270,121,1154,43,2977,367,118,35,200,10,733,1482,77,42,118,12,1735,3696,1607,1117,23359,305,30086,2808,1043,395,4437,110,8792,107,6,53,18,0,186,81,43,16,164,3,309,54,8,14,21,0,91,274,108,55,339,6,789,706,178,133,126,17,1159,643,340,238,197,15,1424,928,238,140,891,18,2212,299,41,32,143,8,522,75,5,4,4,0,95,5758,2329,1834,25753,362,36036,227,44,19,73,0,364,692,90,85,52,0,930,424,77,32,261,8,805,152,16,24,27,5,213,431,34,49,20,16,548,902,225,150,1002,18,2294,10096,1600,1266,4256,237,17454,619,154,117,3228,24209,28324,59024,19397,15120,267891,29401,390843
49499,26,90,68,732,20,937,6,18,10,205,12,244,45,3,4,7,7,59,6,0,0,0,0,12,18,13,5,12,0,49,258,110,94,634,23,1109,9,0,0,0,0,5,21,0,0,3,0,26,30,12,13,142,3,198,11,0,0,8,0,15,7,3,0,3,0,12,18,0,0,3,0,23,34,28,9,152,3,223,40,13,6,57,0,114,3,0,0,0,0,3,6,0,0,0,0,8,5,0,0,3,0,6,0,0,5,5,0,7,11,3,4,5,0,22,11,9,4,0,0,23,14,7,5,8,0,32,6,4,0,0,0,14,0,0,0,0,0,0,47,16,18,164,4,247,3,0,0,0,0,6,0,0,0,6,0,3,9,0,0,4,0,14,0,0,0,0,0,0,6,0,0,0,0,6,7,0,0,8,0,21,142,21,9,53,7,235,13,0,0,16,772,808,652,202,148,1548,831,3377
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,5,5,8,0,0,0,5,12
5GPER,29319,95698,78658,385003,4560,593241,599,2851,1808,33096,699,39043,102154,2279,4319,3014,527,112289,9569,2727,1464,7814,148,21726,21543,5949,3993,10774,196,42454,304815,85852,68685,319755,5836,784948,34649,547,2731,604,138,38668,9828,1130,966,2538,72,14540,24378,5401,4484,25445,395,60102,6041,2067,1080,5304,75,14572,3131,566,375,870,34,4976,67443,2325,1649,1768,197,73386,71162,15660,11512,87365,1093,186796,46515,15262,7469,46641,652,116535,7547,117,413,119,16,8216,1920,443,251,531,11,3154,6437,1115,699,2313,60,10629,2022,711,390,1396,30,4543,18917,2601,1698,805,199,24208,13426,5196,3098,1504,119,23348,12041,1931,1589,4260,106,19925,4514,374,619,785,43,6332,2317,318,106,63,20,2827,71908,17927,13884,79086,990,183804,6473,577,358,661,39,8106,23979,2267,1965,600,101,28910,7800,648,569,1793,56,10875,5505,483,316,367,31,6700,20696,515,945,417,70,22652,11979,2075,1468,4285,70,19882,252156,19680,19541,21284,2000,314651,12343,1031,861,5445,96446,116128,985194,169557,134620,716031,111245,2116647
5RWAU,4065,21000,18487,148468,2199,194224,117,1536,719,38420,876,41659,3343,167,279,665,41,4493,716,325,182,1112,29,2354,4781,1499,970,2961,80,10284,51557,20098,16936,122758,2537,213880,7015,93,706,197,53,8069,1586,187,193,728,11,2715,5217,1347,1299,9957,164,17986,464,213,103,732,7,1524,373,111,55,168,6,718,3274,216,139,306,14,3941,10037,3432,2636,29500,404,46010,5328,2367,1079,11575,176,20529,423,8,60,14,5,505,157,27,16,63,0,264,302,83,55,252,5,691,248,134,60,250,0,691,5019,745,600,299,103,6765,3159,1406,885,489,54,6000,1682,395,327,1176,27,3611,503,52,97,208,13,869,424,42,24,24,4,515,12197,4217,3481,27967,380,48239,298,46,28,77,0,455,3470,380,343,150,15,4351,992,101,88,501,9,1692,281,39,50,38,3,405,890,33,69,25,12,1023,1795,462,312,1316,16,3895,21176,3116,3196,6600,398,34481,1348,304,261,2783,51833,56517,119358,37283,30738,289608,57821,534804
59499,38,167,166,1347,24,1746,6,8,6,354,25,402,51,0,0,8,0,67,13,3,0,8,0,28,52,12,9,13,0,89,602,174,149,916,17,1856,34,0,9,0,0,34,44,0,0,5,0,52,104,17,7,95,4,227,7,7,0,4,0,18,7,0,0,3,0,14,23,0,0,0,0,29,146,32,16,278,6,481,79,19,10,60,3,175,8,0,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,11,44,8,5,0,0,56,50,8,9,6,4,73,20,3,0,11,0,37,12,0,0,0,0,8,4,0,0,0,0,4,141,29,34,255,0,463,0,0,0,0,0,5,34,3,9,0,0,52,25,0,0,0,0,32,9,0,0,0,0,9,14,0,0,0,0,14,17,0,5,7,0,31,314,29,24,68,16,450,19,6,0,32,3432,3489,1481,314,268,2478,3512,8055
59799,9,8,4,59,3,76,0,0,0,7,0,7,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,8,49,11,4,50,0,116,16,0,0,0,0,13,4,0,0,0,0,4,8,0,0,10,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,19,0,36,7,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,17,7,0,0,0,0,4,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0,11,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,3,4,0,44,12,0,0,0,218,228,169,17,10,115,221,514
6GHOB,1169,8438,5747,76565,866,92784,36,310,142,9446,118,10053,8301,133,271,349,34,9087,382,131,50,246,11,815,1917,767,484,1768,18,4950,14170,8201,5595,76069,1097,105130,1210,50,295,50,9,1615,502,116,80,408,9,1116,2252,818,537,5437,71,9108,885,242,86,687,14,1913,241,127,30,166,6,573,3515,95,92,132,11,3852,2672,1689,1036,20802,231,26428,1541,649,215,2158,35,4601,554,20,66,37,3,677,117,45,22,87,0,272,38,14,4,19,0,74,113,68,28,156,0,362,198,119,67,114,0,494,510,289,186,207,5,1192,1075,363,167,911,5,2515,329,51,44,142,3,576,40,24,15,4,0,86,3373,2007,1329,16387,136,23236,189,39,17,55,0,306,536,98,87,46,0,773,444,60,39,150,4,699,384,21,8,22,3,439,996,18,20,22,3,1057,618,189,121,634,4,1569,17382,1965,1425,3523,172,24477,678,87,54,1541,9929,12295,55487,15421,10330,153660,12186,247086
6RTAS,1241,8629,6554,113777,1775,131969,46,411,227,15828,245,16748,2497,89,147,478,23,3229,192,92,22,162,3,472,2862,957,708,2311,34,6874,17760,8224,6140,103825,2053,138004,1251,32,394,84,16,1771,517,85,56,496,6,1157,2336,886,505,6886,105,10714,257,115,36,274,8,689,280,107,38,123,0,553,1728,86,71,110,12,2004,3151,1476,1003,24162,293,30085,1057,592,149,1999,36,3841,240,6,29,15,0,298,81,29,10,55,0,179,33,8,3,16,0,62,181,72,38,186,8,480,383,139,102,136,4,760,671,316,217,234,11,1452,717,211,105,553,3,1595,286,36,27,107,3,474,77,23,10,20,0,136,4343,2000,1442,21245,254,29285,93,28,6,35,3,160,520,69,70,40,6,698,347,28,36,190,8,606,231,20,20,25,0,299,366,12,50,5,3,437,749,160,125,634,11,1682,11970,1529,1314,3466,176,18469,521,111,95,2660,14937,18321,46294,15293,11341,217111,19044,309087
69499,8,28,22,380,11,438,0,0,3,113,0,121,12,0,0,0,0,13,0,0,0,5,0,5,9,0,0,6,0,16,70,27,23,313,9,443,0,0,0,0,0,3,0,0,0,3,0,11,7,4,0,38,3,57,0,0,0,0,0,6,0,0,0,0,0,3,4,0,0,0,0,4,14,5,0,81,0,110,6,0,0,11,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,9,3,0,0,0,0,3,4,0,0,11,0,14,0,0,0,0,0,3,0,0,0,0,0,0,24,0,6,57,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,6,0,6,57,15,0,18,4,90,0,3,0,18,317,333,187,53,37,756,337,1377
69799,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,0,9,3,19
7GDAR,1488,4303,4480,29818,326,40417,69,691,385,11048,293,12488,4573,202,341,800,45,5952,106,49,26,102,0,277,707,313,215,631,13,1877,8284,3435,3210,23434,371,38733,5885,122,600,232,26,6864,417,58,73,215,0,769,1273,457,403,3570,36,5743,2018,624,294,1059,32,4038,145,33,18,54,3,264,3730,84,54,55,7,3939,2187,841,741,8089,74,11932,1042,389,178,1656,17,3283,337,6,35,6,3,382,65,7,11,48,3,131,32,11,3,24,0,65,83,55,22,185,3,353,631,117,144,106,3,1008,511,254,158,105,16,1038,313,95,55,250,6,716,152,22,33,85,0,289,126,25,12,34,3,201,2015,829,721,6809,59,10431,65,19,3,28,0,114,372,71,38,31,3,512,502,35,32,116,9,689,524,33,27,24,4,610,1292,36,98,26,5,1460,292,63,75,297,0,726,17146,1268,1628,3279,186,23511,702,58,52,561,12393,13770,47785,8402,8040,62044,13635,139902
