GCCSA_CODE_2021,M_Mng_0,M_Mng_1_19,M_Mng_20_29,M_Mng_30_34,M_Mng_35_39,M_Mng_40_44,M_Mng_45_49,M_Mng_50_over,M_Mng_hours_NS,M_Mng_Tot,M_Pro_0,M_Pro_1_19,M_Pro_20_29,M_Pro_30_34,M_Pro_35_39,M_Pro_40_44,M_Pro_45_49,M_Pro_50_over,M_Pro_hours_NS,M_Pro_Tot,M_TTW_0,M_TTW_1_19,M_TTW_20_29,M_TTW_30_34,M_TTW_35_39,M_TTW_40_44,M_TTW_45_49,M_TTW_50_over,M_TTW_hours_NS,M_TTW_Tot,M_CPS_0,M_CPS_1_19,M_CPS_20_29,M_CPS_30_34,M_CPS_35_39,M_CPS_40_44,M_CPS_45_49,M_CPS_50_over,M_CPS_hours_NS,M_CPS_Tot,M_CA_0,M_CA_1_19,M_CA_20_29,M_CA_30_34,M_CA_35_39,M_CA_40_44,M_CA_45_49,M_CA_50_over,M_CA_hours_NS,M_CA_Tot,M_Sal_0,M_Sal_1_19,M_Sal_20_29,M_Sal_30_34,M_Sal_35_39,M_Sal_40_44,M_Sal_45_49,M_Sal_50_over,M_Sal_hours_NS,M_Sal_Tot,M_MOD_0,M_MOD_1_19,M_MOD_20_29,M_MOD_30_34,M_MOD_35_39,M_MOD_40_44,M_MOD_45_49,M_MOD_50_over,M_MOD_hours_NS,M_MOD_Tot,M_Lab_0,M_Lab_1_19,M_Lab_20_29,M_Lab_30_34,M_Lab_35_39,M_Lab_40_44,M_Lab_45_49,M_Lab_50_over,M_Lab_hours_NS,M_Lab_Tot,M_ID_NS_0,M_ID_NS_1_19,M_ID_NS_20_29,M_ID_NS_30_34,M_ID_NS_35_39,M_ID_NS_40_44,M_ID_NS_45_49,M_ID_NS_50_over,M_ID_NS_hours_NS,M_ID_NS_Tot,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_Mng_0,F_Mng_1_19,F_Mng_20_29,F_Mng_30_34,F_Mng_35_39,F_Mng_40_44,F_Mng_45_49,F_Mng_50_over,F_Mng_hours_NS,F_Mng_Tot,F_Pro_0,F_Pro_1_19,F_Pro_20_29,F_Pro_30_34,F_Pro_35_39,F_Pro_40_44,F_Pro_45_49,F_Pro_50_over,F_Pro_hours_NS,F_Pro_Tot,F_TTW_0,F_TTW_1_19,F_TTW_20_29,F_TTW_30_34,F_TTW_35_39,F_TTW_40_44,F_TTW_45_49,F_TTW_50_over,F_TTW_hours_NS,F_TTW_Tot,F_CPS_0,F_CPS_1_19,F_CPS_20_29,F_CPS_30_34,F_CPS_35_39,F_CPS_40_44,F_CPS_45_49,F_CPS_50_over,F_CPS_hours_NS,F_CPS_Tot,F_CA_0,F_CA_1_19,F_CA_20_29,F_CA_30_34,F_CA_35_39,F_CA_40_44,F_CA_45_49,F_CA_50_over,F_CA_hours_NS,F_CA_Tot,F_Sal_0,F_Sal_1_19,F_Sal_20_29,F_Sal_30_34,F_Sal_35_39,F_Sal_40_44,F_Sal_45_49,F_Sal_50_over,F_Sal_hours_NS,F_Sal_Tot,F_MOD_0,F_MOD_1_19,F_MOD_20_29,F_MOD_30_34,F_MOD_35_39,F_MOD_40_44,F_MOD_45_49,F_MOD_50_over,F_MOD_hours_NS,F_MOD_Tot,F_Lab_0,F_Lab_1_19,F_Lab_20_29,F_Lab_30_34,F_Lab_35_39,F_Lab_40_44,F_Lab_45_49,F_Lab_50_over,F_Lab_hours_NS,F_Lab_Tot,F_ID_NS_0,F_ID_NS_1_19,F_ID_NS_20_29,F_ID_NS_30_34,F_ID_NS_35_39,F_ID_NS_40_44,F_ID_NS_45_49,F_ID_NS_50_over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_19,F_Tot_20_29,F_Tot_30_34,F_Tot_35_39,F_Tot_40_44,F_Tot_45_49,F_Tot_50_over,F_Tot_hours_NS,F_Tot_Tot
59499,9,11,3,0,7,12,3,13,5,57,18,12,11,3,9,22,9,17,4,115,24,14,12,16,28,39,13,93,0,232,3,6,5,7,5,9,4,11,0,51,6,8,3,0,7,11,0,5,0,36,5,4,6,0,5,4,0,5,0,29,23,15,7,14,7,25,8,85,6,182,8,15,16,10,25,29,14,49,4,169,0,0,0,0,0,0,3,3,3,19,95,88,71,48,92,146,51,283,18,899,7,7,4,4,14,8,0,3,0,49,25,23,15,14,19,25,5,6,6,139,9,4,0,0,8,3,0,12,0,34,11,36,37,18,28,19,5,15,0,172,16,21,11,12,16,25,7,9,4,112,9,8,8,4,8,10,0,0,0,47,5,0,0,4,0,4,0,15,0,31,5,20,17,8,18,20,3,29,0,120,0,0,0,0,3,0,0,0,0,11,80,124,94,58,124,106,25,96,12,715
59799,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,27,0,32,3,6,0,0,0,0,0,68,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,23,0,25,3,5,0,0,0,0,4,68,5,86,0,0,0,0,0,0,0,7,0,12,9,11,5,0,4,4,9,198,5,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,11,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,15,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,16,0,29
6GHOB,213,421,437,399,1808,2310,908,2132,72,8701,374,1008,949,910,3448,2786,858,1542,66,11935,355,745,968,822,3569,4251,805,1239,183,12937,292,1027,921,664,966,744,281,423,87,5401,154,368,314,244,1510,828,236,324,38,4005,132,1102,614,313,826,542,209,241,45,4029,213,437,479,284,1054,1099,473,678,84,4793,239,1435,1001,583,1421,1111,328,452,124,6693,61,110,95,58,261,204,56,120,263,1220,2019,6662,5772,4278,14867,13862,4162,7154,956,59730,250,420,620,566,1484,1188,451,862,36,5878,1046,2134,2809,2318,3677,2494,826,1189,103,16597,117,479,575,322,684,376,71,97,42,2766,659,2890,2730,1598,1743,742,235,403,167,11169,600,1540,1990,1387,3615,1371,338,404,61,11309,318,2317,1269,521,906,301,91,100,76,5901,35,105,98,56,104,58,24,31,11,520,195,1620,852,317,471,251,64,110,57,3938,44,119,111,80,179,95,20,48,212,912,3269,11629,11062,7165,12862,6874,2122,3243,763,58995
6RTAS,326,552,545,491,1663,2798,1140,3663,153,11333,327,755,648,569,1995,2153,672,1291,57,8467,542,952,909,890,4043,4964,1339,2291,257,16186,300,801,723,490,768,646,252,413,75,4472,113,286,260,191,871,663,234,349,23,2987,144,983,508,271,818,712,223,367,47,4075,553,677,734,507,1968,2036,979,2270,214,9939,546,1942,1179,912,2320,1975,566,963,237,10634,103,127,100,91,232,265,100,198,415,1623,2945,7084,5595,4413,14674,16210,5504,11805,1475,69710,283,660,709,568,1225,1301,435,1204,72,6468,859,1810,2280,1843,2770,2279,708,1203,111,13863,178,672,693,405,781,490,99,168,50,3543,850,3380,3429,1938,1953,1036,281,527,197,13592,584,1910,2147,1445,3106,1474,277,420,86,11446,411,2886,1642,803,1134,479,172,155,120,7805,65,182,170,75,131,123,42,130,20,946,415,2599,1524,722,923,591,159,274,144,7346,98,173,84,54,133,82,16,54,259,955,3751,14280,12682,7847,12174,7854,2184,4127,1060,65967
69499,3,5,0,0,5,6,0,0,0,18,5,0,0,0,0,0,0,3,0,15,6,0,4,0,5,11,7,0,0,39,0,9,5,0,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,5,4,0,9,9,4,5,0,32,3,3,7,4,7,7,0,4,0,34,0,0,0,0,0,3,0,0,4,8,12,17,20,12,27,42,14,20,6,174,0,0,0,0,4,0,0,0,0,5,8,3,5,8,6,5,3,0,0,36,0,0,0,0,3,0,0,0,0,8,4,11,4,0,0,0,0,4,0,19,0,4,5,4,7,0,0,0,0,22,0,9,6,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,5,4,7,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,15,30,23,14,29,13,7,0,0,133
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,164,136,102,158,936,1409,588,1810,33,5330,234,309,266,323,1731,1773,472,1012,49,6168,386,346,402,375,2100,2701,807,1899,182,9209,230,354,348,276,817,1298,486,810,95,4718,94,136,136,133,917,661,192,377,27,2671,64,403,298,162,419,315,100,223,28,2013,236,224,313,189,601,689,294,964,59,3561,106,633,436,265,709,645,181,539,86,3609,43,43,43,29,153,182,23,120,239,876,1558,2586,2344,1916,8376,9672,3148,7755,802,38166,234,146,228,251,1135,1038,383,895,38,4350,691,706,840,879,2709,2295,639,1169,89,10012,72,169,216,152,438,295,59,149,23,1580,327,1023,1036,697,1482,893,240,431,108,6230,444,641,739,629,2929,1527,387,508,88,7886,143,952,609,304,636,318,77,119,29,3192,37,27,59,18,98,83,20,98,8,450,73,535,445,263,403,232,46,153,45,2193,42,44,40,31,135,69,14,36,167,573,2049,4252,4207,3226,9958,6743,1868,3564,599,36467
7RNTE,82,80,57,57,473,492,218,795,35,2283,132,142,158,134,764,684,197,392,52,2659,135,152,149,114,708,918,340,723,46,3284,115,217,170,179,644,533,184,449,47,2536,44,33,47,36,282,206,48,94,11,801,13,131,85,34,157,118,35,71,10,646,63,77,84,49,231,239,124,435,28,1327,80,256,161,113,475,370,92,436,52,2034,42,25,16,10,65,67,18,56,201,494,694,1102,918,732,3789,3638,1250,3440,491,16062,97,74,72,79,434,385,186,474,26,1825,318,376,370,393,1203,1057,271,579,49,4606,35,66,68,59,165,107,34,88,3,633,187,411,409,335,943,459,136,300,67,3254,143,236,239,198,1013,501,110,212,42,2698,51,248,177,100,214,136,44,68,17,1067,11,29,17,9,35,30,8,45,5,180,41,191,150,93,207,153,47,221,31,1128,38,20,14,19,61,50,11,14,167,394,925,1650,1522,1268,4280,2882,843,2009,403,15781
79499,9,0,3,0,0,10,0,6,0,28,8,5,4,5,5,9,0,3,0,35,7,5,0,0,8,6,0,14,0,38,6,0,5,3,0,0,0,0,0,18,3,0,0,0,0,0,0,5,0,13,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,3,22,0,5,4,4,9,9,0,20,6,58,0,0,0,0,0,0,0,0,10,18,39,24,18,22,32,41,12,53,17,242,8,6,0,0,0,5,0,3,0,22,18,9,9,8,10,10,4,8,3,66,0,0,0,0,0,0,0,5,0,7,9,3,4,3,14,9,4,6,0,45,8,5,9,0,4,0,0,5,0,31,6,4,0,5,4,0,3,3,0,13,4,0,0,0,0,0,0,3,0,9,0,6,5,0,16,4,0,11,0,49,0,0,0,0,0,0,0,0,4,5,53,37,19,18,52,25,13,28,11,259
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,0,16,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,0,0,0,0,0,11,3,23,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,33,3,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
