Australian Bureau of Statistics

"2021 Census - selected dwelling characteristics"
"BEDRD Number of Bedrooms in Private Dwelling (ranges) and NPRD Number of Persons Usually Resident in Dwelling by SA1 (EN) by TEND Tenure Type"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

" None (includes studio apartments or bedsitters),  One person"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"SA1 (EN)",
"Segment 01",52,24,0,375,16,7,4,478,
"Segment 02",32,13,0,197,3,12,12,269,
"Segment 03",60,18,3,373,20,21,8,507,
"Segment 04",24,14,0,87,10,3,7,144,
"Segment 05",44,15,0,76,8,5,6,150,
"Segment 06",8,13,0,16,0,0,3,34,
"Segment 07",3,6,0,27,0,0,6,44,
"Segment 08",195,165,5,2804,24,44,20,3259,
"Segment 09",22,0,0,291,9,27,3,351,
"Segment 10",28,14,0,332,4,4,0,378,
"Segment 11",38,11,3,171,4,13,3,239,
"Segment 12",37,16,0,43,3,0,5,108,
"Segment 13",81,21,0,91,0,4,5,198,
"Segment 14",26,14,0,369,9,5,5,436,
"Segment 15",22,26,3,213,0,0,4,268,
"Segment 16",258,285,10,3802,35,3,8,4402,
"Segment 17",27,28,0,270,3,0,3,337,
"Segment 18",45,66,0,1320,12,0,0,1436,
"Segment 19",21,20,0,127,3,0,9,175,
"Segment 20",82,14,0,193,9,3,13,305,
"Segment 21",259,203,3,2780,30,30,18,3327,
"Segment 22",25,39,0,498,4,0,0,573,
"Segment 23",17,7,0,162,4,6,0,201,
"Segment 24",58,17,0,214,8,18,15,325,
"Segment 25",54,28,0,468,8,6,5,570,
"Segment 26",22,6,0,214,8,4,0,260,
"Segment 27",28,7,0,379,3,11,7,426,
"Segment 28",34,9,0,141,0,0,5,188,
"Segment 29",74,13,4,287,3,16,13,413,
"Segment 30",71,18,3,214,0,11,4,328,
"Segment 31",221,61,12,2598,31,24,24,2965,
"Segment 32",67,8,5,1924,6,17,11,2041,
"Segment 33",53,21,0,60,8,0,3,150,
"Segment 34",103,17,0,83,19,0,9,227,
"Segment 35",259,34,0,155,23,11,22,502,
"Segment 36",139,18,0,288,20,7,11,485,
"Segment 37",159,36,3,771,16,11,15,1017,
"Segment 38",671,51,14,830,27,136,25,1739,
"Segment 39",76,19,0,71,16,0,4,188,
"Segment 40",161,27,0,142,18,0,14,375,
"Segment 41",121,15,0,78,19,3,9,248,
"Segment 42",37,12,0,29,3,0,7,87,
"Segment 43",186,21,4,117,29,3,17,372,
"Segment 44",640,99,0,299,97,3,60,1190,
"Segment 45",145,31,0,57,18,0,12,262,
"Segment 46",252,45,0,135,31,0,9,478,
"Segment 47",92,8,0,25,31,0,9,156,
"Segment 48",68,3,0,74,24,0,10,175,
"Segment 50",49,4,0,34,7,0,15,105,
"Total",5235,1673,66,24289,683,497,455,32903,


" None (includes studio apartments or bedsitters),  Two persons"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"SA1 (EN)",
"Segment 01",18,4,0,61,4,0,0,90,
"Segment 02",21,8,0,56,5,0,3,94,
"Segment 03",17,12,0,50,6,0,5,93,
"Segment 04",19,12,0,15,5,0,0,53,
"Segment 05",26,26,0,19,4,0,6,74,
"Segment 06",3,10,0,17,0,0,0,24,
"Segment 07",4,0,0,6,0,0,0,14,
"Segment 08",28,35,0,389,0,4,5,465,
"Segment 09",11,0,0,50,0,0,0,66,
"Segment 10",4,5,0,49,0,0,3,64,
"Segment 11",3,6,0,25,0,3,8,45,
"Segment 12",24,18,0,16,0,0,3,76,
"Segment 13",59,16,0,22,3,0,9,111,
"Segment 14",23,10,0,66,0,0,0,103,
"Segment 15",3,3,0,48,0,0,4,63,
"Segment 16",49,62,0,819,7,0,0,941,
"Segment 17",3,7,0,51,0,0,4,61,
"Segment 18",15,12,0,204,0,0,4,237,
"Segment 19",14,16,0,36,3,0,5,68,
"Segment 20",32,12,0,64,4,0,5,111,
"Segment 21",41,27,0,420,0,0,0,496,
"Segment 22",10,9,0,95,3,0,0,126,
"Segment 23",18,3,0,29,4,0,0,60,
"Segment 24",43,16,0,41,7,0,0,101,
"Segment 25",12,8,0,72,3,0,3,103,
"Segment 26",10,10,0,47,0,0,0,63,
"Segment 27",8,5,0,55,0,0,0,69,
"Segment 28",17,3,0,18,0,0,5,43,
"Segment 29",23,7,0,66,0,0,0,101,
"Segment 30",26,5,0,42,0,3,0,76,
"Segment 31",90,17,0,307,7,5,5,425,
"Segment 32",13,8,0,122,0,0,4,149,
"Segment 33",38,11,0,15,4,0,0,67,
"Segment 34",63,28,0,31,6,0,3,137,
"Segment 35",165,29,0,34,7,0,7,243,
"Segment 36",83,16,0,55,3,0,8,173,
"Segment 37",71,28,6,119,0,0,8,236,
"Segment 38",263,31,0,147,4,12,5,463,
"Segment 39",41,19,0,20,0,0,7,88,
"Segment 40",75,19,0,33,0,0,4,136,
"Segment 41",114,25,0,31,12,0,6,182,
"Segment 42",29,8,0,12,4,0,3,49,
"Segment 43",113,24,0,43,13,0,11,202,
"Segment 44",390,109,0,74,29,3,22,623,
"Segment 45",94,35,0,15,9,0,3,158,
"Segment 46",160,31,0,32,11,0,12,239,
"Segment 47",77,9,0,10,8,0,5,107,
"Segment 48",31,0,0,37,16,0,8,97,
"Segment 50",24,4,0,17,9,0,4,51,
"Total",2531,832,12,4097,198,39,175,7879,


" None (includes studio apartments or bedsitters),  Three persons"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"SA1 (EN)",
"Segment 01",0,0,0,7,0,0,0,12,
"Segment 02",7,6,0,10,0,0,0,20,
"Segment 03",4,3,0,15,0,0,0,21,
"Segment 04",5,6,0,7,0,0,0,18,
"Segment 05",9,7,0,4,0,0,0,22,
"Segment 06",0,5,0,5,0,0,0,12,
"Segment 07",3,0,0,6,0,0,0,14,
"Segment 08",0,5,0,16,0,0,0,18,
"Segment 09",0,0,0,11,0,0,5,16,
"Segment 10",3,3,0,4,0,0,0,9,
"Segment 11",6,6,0,8,0,0,0,17,
"Segment 12",5,10,0,6,3,0,0,24,
"Segment 13",11,8,0,13,0,0,3,25,
"Segment 14",10,0,0,9,0,0,4,16,
"Segment 15",0,0,0,0,0,0,0,7,
"Segment 16",3,0,0,42,0,0,0,44,
"Segment 17",5,4,0,20,0,0,0,23,
"Segment 18",0,0,0,11,0,0,0,19,
"Segment 19",0,5,0,12,0,0,3,18,
"Segment 20",12,0,0,18,0,0,0,30,
"Segment 21",3,0,0,25,0,0,0,32,
"Segment 22",0,3,0,24,0,0,0,25,
"Segment 23",7,4,0,8,4,0,5,19,
"Segment 24",0,0,0,9,0,0,0,23,
"Segment 25",5,0,0,15,0,0,3,20,
"Segment 26",0,3,0,4,0,0,0,12,
"Segment 27",8,0,0,8,4,0,0,17,
"Segment 28",8,0,0,17,0,0,0,19,
"Segment 29",8,4,0,13,0,0,0,26,
"Segment 30",3,0,0,11,0,0,0,24,
"Segment 31",9,5,0,40,0,0,9,60,
"Segment 32",3,0,0,25,0,0,0,34,
"Segment 33",0,8,0,7,0,0,0,17,
"Segment 34",8,9,0,13,0,0,0,36,
"Segment 35",16,9,0,9,0,0,0,37,
"Segment 36",10,4,0,18,0,0,0,27,
"Segment 37",8,9,0,21,0,0,0,41,
"Segment 38",14,7,0,22,0,0,3,55,
"Segment 39",10,11,0,0,3,0,0,21,
"Segment 40",5,14,0,6,0,0,0,31,
"Segment 41",6,8,0,6,3,0,0,22,
"Segment 42",3,0,0,0,0,0,0,7,
"Segment 43",8,13,0,12,0,0,0,34,
"Segment 44",54,31,0,19,5,0,4,121,
"Segment 45",24,8,0,10,0,0,0,45,
"Segment 46",22,9,0,5,3,0,0,38,
"Segment 47",8,5,0,5,4,0,0,10,
"Segment 48",3,0,0,15,4,0,3,27,
"Segment 50",6,0,0,0,0,0,0,11,
"Total",333,237,0,568,46,0,64,1252,


" None (includes studio apartments or bedsitters),  Four persons"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"SA1 (EN)",
"Segment 01",0,3,0,4,0,0,0,6,
"Segment 02",5,3,0,3,0,0,0,9,
"Segment 03",8,5,0,0,0,0,0,9,
"Segment 04",5,7,0,4,0,0,4,17,
"Segment 05",4,0,0,4,0,0,0,9,
"Segment 06",0,4,0,7,0,0,0,10,
"Segment 07",0,0,0,3,0,0,0,7,
"Segment 08",4,0,0,11,0,0,0,14,
"Segment 09",0,3,0,6,0,0,0,9,
"Segment 10",0,0,0,0,0,0,0,0,
"Segment 11",3,4,0,3,0,0,0,10,
"Segment 12",0,3,0,3,0,0,0,13,
"Segment 13",4,3,0,5,0,0,0,18,
"Segment 14",3,6,0,7,0,0,0,16,
"Segment 15",0,0,0,0,0,0,0,5,
"Segment 16",0,0,0,11,0,0,0,15,
"Segment 17",0,0,0,9,0,0,0,9,
"Segment 18",0,0,0,6,0,0,0,7,
"Segment 19",0,3,0,10,0,0,0,14,
"Segment 20",10,7,0,12,0,0,0,23,
"Segment 21",3,0,0,9,0,0,0,17,
"Segment 22",0,0,0,11,0,0,0,15,
"Segment 23",4,0,0,0,0,0,0,5,
"Segment 24",5,0,0,3,0,0,0,9,
"Segment 25",0,3,0,8,0,0,0,11,
"Segment 26",0,5,0,12,0,0,0,17,
"Segment 27",6,0,0,11,3,0,0,19,
"Segment 28",0,0,0,5,0,0,0,9,
"Segment 29",0,8,0,5,0,0,0,12,
"Segment 30",0,5,0,8,0,0,3,11,
"Segment 31",11,0,0,25,0,0,3,37,
"Segment 32",3,0,0,15,0,0,0,15,
"Segment 33",0,3,0,8,3,0,0,15,
"Segment 34",7,17,0,0,0,0,3,28,
"Segment 35",10,4,0,6,0,0,0,24,
"Segment 36",9,5,0,10,0,0,0,24,
"Segment 37",4,5,0,13,0,0,3,22,
"Segment 38",9,4,0,18,0,0,3,39,
"Segment 39",4,8,0,3,0,0,4,15,
"Segment 40",11,8,0,8,0,0,4,29,
"Segment 41",18,8,0,6,0,0,4,32,
"Segment 42",4,0,0,5,0,0,0,11,
"Segment 43",7,4,0,3,0,0,0,10,
"Segment 44",32,46,0,5,3,0,4,91,
"Segment 45",9,11,0,0,0,0,0,15,
"Segment 46",13,10,0,4,0,0,0,25,
"Segment 47",4,3,0,0,0,0,0,6,
"Segment 48",4,0,0,5,5,0,3,16,
"Segment 50",0,3,0,4,0,0,0,6,
"Total",201,225,0,311,30,3,45,813,


" None (includes studio apartments or bedsitters),  Five persons"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"SA1 (EN)",
"Segment 01",0,0,0,0,0,0,0,0,
"Segment 02",4,0,0,0,0,0,0,13,
"Segment 03",0,7,0,0,0,0,0,8,
"Segment 04",4,0,0,3,0,0,0,4,
"Segment 05",0,0,0,3,0,0,0,3,
"Segment 06",0,0,0,0,0,0,0,0,
"Segment 07",0,4,0,4,0,0,0,7,
"Segment 08",0,0,0,4,0,0,0,6,
"Segment 09",0,0,0,12,0,0,0,10,
"Segment 10",0,0,0,3,0,0,0,4,
"Segment 11",0,0,0,4,0,0,0,3,
"Segment 12",0,0,0,0,0,0,0,3,
"Segment 13",4,4,0,0,0,0,5,7,
"Segment 14",0,0,0,5,0,0,0,9,
"Segment 15",0,0,0,0,0,0,0,0,
"Segment 16",0,0,0,3,0,0,0,3,
"Segment 17",0,0,0,4,0,0,0,3,
"Segment 18",0,0,0,0,0,0,0,0,
"Segment 19",4,0,0,0,0,0,0,10,
"Segment 20",0,0,0,0,0,0,0,3,
"Segment 21",0,0,0,0,0,0,0,0,
"Segment 22",0,0,0,7,0,0,0,4,
"Segment 23",0,0,0,3,0,0,0,6,
"Segment 24",0,3,0,5,0,0,0,7,
"Segment 25",0,0,0,5,0,0,0,6,
"Segment 26",0,0,0,4,0,0,3,9,
"Segment 27",0,0,0,4,0,0,3,14,
"Segment 28",0,8,0,3,0,0,0,13,
"Segment 29",0,0,0,3,0,0,0,4,
"Segment 30",0,0,0,3,0,0,0,3,
"Segment 31",10,0,0,3,0,0,0,11,
"Segment 32",0,0,0,9,0,0,0,11,
"Segment 33",0,3,0,0,0,0,0,8,
"Segment 34",0,0,0,4,0,0,0,10,
"Segment 35",10,4,0,4,0,0,0,19,
"Segment 36",3,4,0,6,0,0,4,14,
"Segment 37",5,0,0,3,0,0,0,13,
"Segment 38",0,0,0,6,0,0,0,9,
"Segment 39",5,5,0,0,0,0,0,12,
"Segment 40",3,5,0,3,0,0,0,17,
"Segment 41",0,3,0,6,0,0,0,12,
"Segment 42",0,0,0,0,0,0,0,3,
"Segment 43",0,7,0,0,0,0,0,8,
"Segment 44",15,20,0,3,0,0,0,42,
"Segment 45",6,0,0,0,0,0,0,6,
"Segment 46",6,4,0,0,0,0,0,12,
"Segment 47",3,0,0,0,4,0,0,8,
"Segment 48",3,0,0,0,0,0,0,8,
"Segment 50",3,0,0,0,0,0,0,0,
"Total",111,98,0,142,12,0,23,388,


" None (includes studio apartments or bedsitters),  Six persons"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"SA1 (EN)",
"Segment 01",0,0,0,0,0,0,0,0,
"Segment 02",0,0,0,0,0,0,0,5,
"Segment 03",0,0,0,3,0,0,0,0,
"Segment 04",0,0,0,0,0,0,0,0,
"Segment 05",0,0,0,0,0,0,0,3,
"Segment 06",0,0,0,0,0,0,0,0,
"Segment 07",0,0,0,0,0,0,0,0,
"Segment 08",0,0,0,0,0,0,0,0,
"Segment 09",0,0,0,0,0,0,0,0,
"Segment 10",0,0,0,0,0,0,0,0,
"Segment 11",0,0,0,0,0,0,0,0,
"Segment 12",0,0,0,0,0,0,0,0,
"Segment 13",0,0,0,0,0,0,0,0,
"Segment 14",0,0,0,0,0,0,0,3,
"Segment 15",0,0,0,0,0,0,0,0,
"Segment 16",0,0,0,0,0,0,0,0,
"Segment 17",0,0,0,0,0,0,0,0,
"Segment 18",0,0,0,0,0,0,0,0,
"Segment 19",0,0,0,7,0,0,0,8,
"Segment 20",0,0,0,0,0,0,0,0,
"Segment 21",0,0,0,0,0,0,0,0,
"Segment 22",0,0,0,0,0,0,0,0,
"Segment 23",0,0,0,0,0,0,0,0,
"Segment 24",0,0,0,0,0,0,0,4,
"Segment 25",0,0,0,0,0,0,0,0,
"Segment 26",0,0,0,0,0,0,0,6,
"Segment 27",3,0,0,11,0,0,0,13,
"Segment 28",0,0,0,0,0,0,0,3,
"Segment 29",0,5,0,0,0,0,0,4,
"Segment 30",0,0,0,5,0,0,0,5,
"Segment 31",0,0,0,6,0,0,0,12,
"Segment 32",0,0,0,3,0,0,0,6,
"Segment 33",0,0,0,0,0,0,0,0,
"Segment 34",0,4,0,4,0,0,0,9,
"Segment 35",4,0,0,3,0,0,0,8,
