Australian Bureau of Statistics

"2021 Census - selected dwelling characteristics"
"HIND Total Household Income (weekly) and STRD Dwelling Structure by SA1 (EN) by TEND Tenure Type"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

" Negative income,  Separate house"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"Segment 11",38,0,0,9,0,24,0,80,
"Segment 12",0,0,0,0,0,0,0,0,
"Segment 13",22,0,0,14,0,11,0,47,
"Segment 14",32,3,0,42,0,3,0,84,
"Segment 15",117,26,0,234,13,0,0,395,
"Segment 16",473,122,3,769,45,4,5,1413,
"Segment 17",91,16,3,117,8,4,0,250,
"Segment 18",316,65,0,583,21,6,8,1008,
"Segment 19",12,4,0,0,0,0,0,19,
"Segment 20",35,0,0,9,0,6,0,55,
"Segment 21",177,22,3,305,12,17,3,538,
"Segment 22",401,134,3,497,30,8,0,1072,
"Segment 23",32,10,0,36,0,0,0,79,
"Segment 24",26,7,0,10,0,0,0,43,
"Segment 25",173,19,0,144,11,25,3,379,
"Segment 26",60,18,0,113,4,0,0,198,
"Segment 27",83,10,0,119,6,11,0,224,
"Segment 28",19,9,0,40,4,6,0,77,
"Segment 29",33,0,0,18,0,22,0,76,
"Segment 30",5,0,0,0,0,0,0,11,
"Segment 31",418,48,8,1024,14,38,3,1553,
"Segment 32",26,8,4,972,6,17,0,1032,
"Segment 33",0,0,0,0,0,0,0,0,
"Segment 34",0,0,0,0,0,0,0,0,
"Segment 35",6,4,0,0,0,14,0,20,
"Segment 36",9,0,0,21,0,0,0,30,
"Segment 37",24,4,0,53,0,8,3,88,
"Segment 38",477,22,23,164,9,159,5,869,
"Segment 39",4,0,0,0,0,0,0,9,
"Segment 40",13,0,0,8,0,0,0,23,
"Segment 41",0,0,0,3,0,0,0,3,
"Segment 42",0,0,0,0,0,0,0,0,
"Segment 43",3,0,0,4,0,0,0,8,
"Segment 44",4,0,0,3,0,0,0,14,
"Segment 45",3,0,0,0,0,0,0,3,
"Segment 46",9,0,0,0,0,0,0,12,
"Segment 47",0,0,0,0,0,0,0,0,
"Segment 48",0,0,0,0,0,0,0,0,
"Segment 50",0,0,0,0,0,0,0,0,
"Total",4597,757,61,6395,266,555,50,12677,


" $400-$499 ($20,800-$25,999),  Flat or apartment in a nine or more storey block"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"SA1 (EN)",
"Segment 01",67,5,0,18,4,11,0,108,
"Segment 02",10,0,0,0,0,0,0,13,
"Segment 03",86,6,0,33,10,7,0,141,
"Segment 04",0,0,0,0,0,0,0,0,
"Segment 05",0,0,0,0,0,0,0,0,
"Segment 06",0,0,0,0,0,0,0,0,
"Segment 07",0,0,0,0,0,0,0,0,
"Segment 08",278,39,0,137,19,21,0,489,
"Segment 09",14,0,0,3,3,0,0,22,
"Segment 10",21,3,0,10,0,0,0,39,
"Segment 11",7,0,0,10,0,0,0,14,
"Segment 12",0,0,0,0,0,0,0,0,
"Segment 13",0,0,0,0,0,0,0,0,
"Segment 14",0,0,0,0,0,0,0,4,
"Segment 15",10,6,0,9,0,0,0,28,
"Segment 16",1110,347,15,2140,140,7,12,3774,
"Segment 17",0,0,0,11,0,0,0,12,
"Segment 18",77,15,0,77,0,0,0,167,
"Segment 19",0,0,0,0,0,0,0,0,
"Segment 20",0,0,0,0,0,0,0,0,
"Segment 21",235,50,0,620,30,32,3,976,
"Segment 22",80,23,0,78,3,0,0,186,
"Segment 23",0,0,0,0,0,0,0,3,
"Segment 24",3,0,0,0,0,0,0,3,
"Segment 25",29,4,0,12,0,0,0,44,
"Segment 26",11,0,0,4,0,0,0,17,
"Segment 27",5,5,0,8,0,0,0,22,
"Segment 28",4,4,0,8,0,0,0,13,
"Segment 29",0,0,0,0,0,0,0,0,
"Segment 30",3,0,0,0,0,0,0,3,
"Segment 31",202,26,0,218,5,6,0,457,
"Segment 32",21,3,0,1551,3,25,0,1609,
"Segment 33",0,0,0,0,0,0,0,0,
"Segment 34",0,0,0,0,0,0,0,0,
"Segment 35",0,0,0,0,0,0,0,0,
"Segment 36",0,0,0,0,0,0,0,0,
"Segment 37",6,0,0,0,0,0,0,8,
"Segment 38",314,24,0,75,12,29,0,456,
"Segment 39",8,0,0,0,0,0,0,9,
"Segment 40",0,0,0,0,0,0,0,0,
"Segment 41",0,0,0,0,0,0,0,0,
"Segment 42",0,0,0,0,0,0,0,0,
"Segment 43",0,0,0,0,0,0,0,0,
"Segment 44",0,0,0,3,0,0,0,4,
"Segment 45",0,0,0,0,0,0,0,0,
"Segment 46",8,0,0,0,0,0,0,11,
"Segment 47",0,0,0,0,0,0,0,0,
"Segment 48",0,0,0,0,0,0,0,0,
"Segment 50",0,0,0,0,0,0,0,0,
"Total",2623,567,26,5023,241,130,25,8634,


" $400-$499 ($20,800-$25,999),  Flat or apartment attached to a house"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"SA1 (EN)",
"Segment 01",0,0,0,0,4,0,0,8,
"Segment 02",12,7,0,6,5,0,0,37,
"Segment 03",11,0,0,5,0,0,0,20,
"Segment 04",22,0,0,12,3,0,0,38,
"Segment 05",16,3,0,4,0,5,5,37,
"Segment 06",3,0,0,4,5,0,0,18,
"Segment 07",0,0,0,4,5,0,0,13,
"Segment 08",0,0,0,4,0,0,0,4,
"Segment 09",11,4,0,7,4,0,0,26,
"Segment 10",0,0,0,3,3,0,0,11,
"Segment 11",17,5,0,19,0,0,0,43,
"Segment 12",26,0,0,9,7,0,0,44,
"Segment 13",6,4,0,8,7,0,0,18,
"Segment 14",3,0,0,0,0,0,0,9,
"Segment 15",4,0,0,0,0,0,0,3,
"Segment 16",0,0,0,12,0,0,0,12,
"Segment 17",8,0,0,0,0,0,0,14,
"Segment 18",4,4,0,0,0,0,0,13,
"Segment 19",13,5,0,15,4,0,0,40,
"Segment 20",19,0,0,6,7,0,0,40,
"Segment 21",0,0,0,7,0,0,0,3,
"Segment 22",3,0,0,7,0,0,0,9,
"Segment 23",12,0,0,10,0,0,0,15,
"Segment 24",17,4,0,12,4,0,0,42,
"Segment 25",5,3,0,10,0,0,0,20,
"Segment 26",7,7,0,31,3,0,0,48,
"Segment 27",17,8,0,38,7,5,0,68,
"Segment 28",4,3,0,15,4,0,0,29,
"Segment 29",8,5,0,7,9,0,0,27,
"Segment 30",7,0,0,14,3,0,0,25,
"Segment 31",10,0,0,14,3,0,0,23,
"Segment 32",12,0,0,11,3,0,0,29,
"Segment 33",13,10,0,6,7,0,5,42,
"Segment 34",11,8,0,5,5,0,0,36,
"Segment 35",17,4,0,6,6,0,0,29,
"Segment 36",11,0,0,21,3,0,0,48,
"Segment 37",13,4,0,29,4,0,0,51,
"Segment 38",9,0,0,17,7,0,0,34,
"Segment 39",3,0,0,4,0,0,0,4,
"Segment 40",6,5,0,3,3,0,0,20,
"Segment 41",0,0,0,0,0,0,0,0,
"Segment 42",0,0,0,0,0,0,0,0,
"Segment 43",5,0,0,0,0,0,0,10,
"Segment 44",16,3,0,7,5,0,0,30,
"Segment 45",3,0,0,4,0,0,0,5,
"Segment 46",0,0,0,0,0,0,0,6,
"Segment 47",0,0,0,0,0,0,0,0,
"Segment 48",0,0,0,0,0,0,0,0,
"Segment 50",0,0,0,0,0,0,0,0,
"Total",377,116,3,414,147,31,16,1096,


" $400-$499 ($20,800-$25,999),  Caravan"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"SA1 (EN)",
"Segment 01",8,0,0,0,0,0,0,6,
"Segment 02",10,0,0,0,0,0,0,11,
"Segment 03",22,0,0,5,0,0,0,29,
"Segment 04",14,0,0,0,0,0,0,20,
"Segment 05",3,0,0,0,0,0,0,3,
"Segment 06",0,0,0,0,0,0,0,0,
"Segment 07",0,0,0,0,0,0,0,0,
"Segment 08",0,0,0,0,0,0,0,0,
"Segment 09",0,0,0,0,0,0,0,0,
"Segment 10",0,0,0,0,0,0,0,0,
"Segment 11",0,0,0,0,0,0,0,0,
"Segment 12",21,0,0,3,0,0,0,19,
"Segment 13",47,0,0,8,0,0,0,57,
"Segment 14",17,0,0,3,0,0,0,23,
"Segment 15",0,0,0,0,0,0,0,0,
"Segment 16",0,0,0,0,0,0,0,0,
"Segment 17",0,0,0,0,0,0,0,4,
"Segment 18",0,0,0,0,0,0,0,0,
"Segment 19",0,0,0,0,0,0,0,0,
"Segment 20",46,0,0,18,0,0,0,65,
"Segment 21",24,4,0,4,0,0,0,36,
"Segment 22",6,0,0,0,0,0,0,6,
"Segment 23",0,0,0,0,0,0,0,0,
"Segment 24",38,0,0,10,0,0,0,51,
"Segment 25",17,0,0,9,0,0,0,23,
"Segment 26",0,0,0,3,0,0,0,4,
"Segment 27",5,0,0,4,0,0,0,10,
"Segment 28",5,0,0,10,0,0,0,13,
"Segment 29",23,0,0,20,0,0,0,43,
"Segment 30",31,0,0,20,0,0,0,51,
"Segment 31",105,0,0,70,0,0,0,174,
"Segment 32",8,0,0,4,0,0,0,10,
"Segment 33",24,0,0,5,0,0,0,29,
"Segment 34",34,0,0,5,0,0,0,42,
"Segment 35",187,4,0,31,0,3,0,235,
"Segment 36",95,3,0,26,0,0,0,123,
"Segment 37",98,0,0,30,0,0,0,129,
"Segment 38",642,9,4,158,4,0,3,821,
"Segment 39",52,0,0,6,0,0,6,61,
"Segment 40",71,6,0,29,0,0,4,102,
"Segment 41",104,3,0,15,3,0,3,138,
"Segment 42",11,0,0,10,0,0,0,22,
"Segment 43",120,3,0,20,0,0,4,151,
"Segment 44",279,4,0,63,9,3,12,373,
"Segment 45",35,0,0,11,0,0,0,51,
"Segment 46",249,9,0,32,5,4,4,295,
"Segment 47",174,0,0,24,9,0,4,214,
"Segment 48",77,3,0,17,5,0,7,113,
"Segment 50",35,0,0,9,0,0,0,47,
"Total",2751,53,4,688,56,15,54,3618,


" $400-$499 ($20,800-$25,999),  Cabin, houseboat"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"SA1 (EN)",
"Segment 01",7,0,0,7,0,0,0,15,
"Segment 02",4,0,0,4,0,0,0,7,
"Segment 03",25,3,0,7,0,0,0,35,
"Segment 04",0,0,0,3,0,0,0,3,
"Segment 05",4,0,0,0,0,0,0,4,
"Segment 06",0,0,0,0,0,0,0,6,
"Segment 07",0,0,0,0,0,0,0,0,
"Segment 08",9,0,0,0,0,0,0,8,
"Segment 09",0,0,0,0,0,0,0,0,
"Segment 10",0,0,0,0,0,0,0,0,
"Segment 11",0,0,0,0,0,0,0,0,
"Segment 12",3,0,0,3,0,0,0,11,
"Segment 13",20,0,0,37,0,0,0,58,
"Segment 14",8,0,0,6,0,0,0,18,
"Segment 15",0,0,0,0,0,0,0,0,
"Segment 16",0,0,0,0,0,0,0,0,
"Segment 17",0,0,0,0,0,0,0,0,
"Segment 18",0,0,0,0,0,0,0,0,
"Segment 19",0,0,0,0,0,0,0,0,
"Segment 20",30,0,0,16,0,0,0,50,
"Segment 21",28,0,0,20,0,0,0,55,
"Segment 22",0,0,0,0,0,0,0,0,
"Segment 23",0,0,0,0,0,0,0,0,
"Segment 24",21,0,0,14,0,0,0,32,
"Segment 25",10,0,0,10,0,0,0,20,
"Segment 26",3,0,0,0,0,0,0,4,
"Segment 27",0,0,0,10,0,0,0,10,
"Segment 28",9,0,0,0,0,0,0,6,
"Segment 29",12,0,0,9,0,0,0,26,
"Segment 30",8,0,0,36,0,0,0,42,
"Segment 31",31,0,0,112,0,0,0,139,
"Segment 32",0,0,0,4,0,0,0,5,
"Segment 33",3,0,0,5,0,0,0,8,
"Segment 34",30,3,0,20,0,0,0,53,
"Segment 35",120,3,0,28,0,0,0,153,
"Segment 36",62,0,0,33,0,0,0,100,
"Segment 37",64,0,0,99,0,0,0,165,
"Segment 38",542,4,0,155,9,15,0,721,
"Segment 39",28,0,0,16,0,0,0,51,
"Segment 40",56,0,0,23,0,0,0,76,
"Segment 41",20,0,0,5,0,0,0,24,
"Segment 42",16,0,0,4,0,0,0,23,
"Segment 43",38,0,0,31,0,0,0,70,
"Segment 44",95,3,0,40,9,0,0,149,
"Segment 45",29,0,0,10,4,0,0,48,
"Segment 46",41,0,0,17,0,0,0,64,
"Segment 47",6,0,0,0,3,0,0,8,
"Segment 48",7,0,0,8,5,0,3,23,
"Segment 50",7,0,0,0,0,0,0,14,
"Total",1408,33,4,788,43,25,11,2309,


" $400-$499 ($20,800-$25,999),  Improvised home, tent, sleepers out"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"SA1 (EN)",
"Segment 01",0,0,0,0,0,0,0,0,
"Segment 02",0,0,0,0,0,0,0,4,
"Segment 03",0,0,0,0,0,0,0,0,
"Segment 04",3,0,0,0,0,0,0,3,
"Segment 05",4,0,0,0,0,0,0,8,
"Segment 06",0,0,0,0,0,0,0,0,
"Segment 07",0,0,0,0,0,0,0,0,
"Segment 08",0,0,0,3,0,0,0,3,
"Segment 09",0,0,0,0,0,0,0,0,
"Segment 10",0,0,0,0,0,0,0,0,
"Segment 11",0,0,0,0,0,0,0,0,
"Segment 12",4,0,0,0,0,0,0,7,
"Segment 13",0,0,0,0,0,0,0,0,
"Segment 14",0,0,0,0,0,0,0,5,
"Segment 15",0,0,0,0,0,0,0,0,
"Segment 16",0,0,0,0,0,0,0,0,
"Segment 17",0,0,0,0,0,0,0,0,
"Segment 18",0,0,0,0,0,0,0,0,
"Segment 19",0,0,0,0,0,0,0,0,
"Segment 20",0,0,0,0,0,0,0,0,
"Segment 21",4,0,0,0,0,0,0,3,
"Segment 22",0,0,0,0,0,0,0,0,
"Segment 23",0,0,0,0,0,0,0,0,
"Segment 24",7,0,0,0,0,0,0,7,
"Segment 25",0,0,0,0,0,0,0,0,
"Segment 26",0,0,0,0,0,0,0,0,
"Segment 27",0,0,0,0,0,0,0,0,
"Segment 28",0,0,0,0,0,0,0,4,
"Segment 29",3,0,0,0,0,0,0,3,
"Segment 30",0,0,0,0,0,0,0,0,
"Segment 31",3,0,0,0,0,0,0,5,
"Segment 32",0,0,0,0,0,0,0,0,
"Segment 33",0,0,0,0,0,0,0,0,
"Segment 34",8,0,0,3,0,0,0,10,
"Segment 35",16,4,0,0,3,0,0,29,
"Segment 36",7,0,0,0,0,0,0,13,
"Segment 37",7,0,0,4,0,0,0,14,
"Segment 38",5,0,0,11,0,0,0,19,
"Segment 39",0,0,0,4,0,0,0,8,
"Segment 40",7,0,0,0,0,0,0,4,
"Segment 41",13,0,0,4,0,0,0,17,
"Segment 42",0,0,0,0,0,0,0,3,
"Segment 43",12,0,0,8,3,0,0,22,
"Segment 44",85,4,0,18,13,4,8,137,
"Segment 45",0,0,0,0,0,0,0,7,
"Segment 46",14,4,0,4,0,0,0,24,
"Segment 47",28,0,0,3,0,0,0,31,
"Segment 48",19,0,0,5,4,0,3,35,
"Segment 50",0,0,0,3,0,0,4,11,
"Total",259,19,3,80,29,4,29,416,


" $400-$499 ($20,800-$25,999),  House or flat attached to a shop, office, etc."
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"SA1 (EN)",
"Segment 01",3,0,0,3,0,0,0,12,
"Segment 02",7,0,0,11,0,0,0,19,
"Segment 03",13,0,0,7,0,0,0,23,
"Segment 04",5,0,0,0,0,0,0,3,
"Segment 05",0,0,0,0,0,0,0,4,
"Segment 06",0,0,0,0,0,0,0,0,
"Segment 07",0,0,0,0,0,0,0,4,
"Segment 08",15,3,0,45,3,0,0,71,
"Segment 09",3,0,0,9,0,0,0,9,
"Segment 10",18,0,0,14,0,9,0,46,
"Segment 11",7,4,0,0,0,0,0,7,
"Segment 12",0,0,0,0,0,0,0,0,
"Segment 13",10,0,0,4,0,0,0,16,
"Segment 14",7,0,0,9,0,0,0,10,
"Segment 15",4,0,0,0,0,0,0,0,
"Segment 16",3,0,0,18,0,0,0,26,
"Segment 17",0,4,0,5,0,0,0,9,
"Segment 18",8,0,0,12,0,0,0,16,
"Segment 19",9,0,0,6,0,0,0,12,
"Segment 20",4,3,0,15,0,0,0,23,
"Segment 21",11,0,0,34,0,0,0,39,
"Segment 22",9,4,0,5,0,0,0,15,
"Segment 23",3,0,0,7,0,0,0,13,
"Segment 24",0,0,0,0,0,0,0,0,
"Segment 25",7,0,0,11,0,0,0,22,
"Segment 26",0,0,0,9,0,0,0,15,
"Segment 27",5,0,0,10,0,0,0,11,
"Segment 28",0,0,0,10,0,0,0,9,
"Segment 29",3,0,0,11,0,0,0,12,
"Segment 30",6,0,0,0,0,0,0,3,
"Segment 31",7,3,0,34,3,4,0,52,
"Segment 32",5,5,0,10,3,4,0,22,
"Segment 33",0,0,0,0,0,0,0,6,
"Segment 34",0,0,0,0,0,0,0,0,
"Segment 35",15,3,0,13,0,0,0,31,
"Segment 36",17,4,0,20,0,0,0,48,
"Segment 37",15,0,0,31,0,0,0,50,
"Segment 38",17,6,0,39,9,0,0,71,
"Segment 39",0,0,0,4,0,0,0,10,
"Segment 40",3,0,0,3,0,0,0,8,
"Segment 41",3,0,0,0,0,0,0,7,
"Segment 42",3,0,0,0,0,0,0,3,
"Segment 43",16,0,0,6,0,11,0,27,
"Segment 44",19,8,0,4,4,0,0,35,
"Segment 45",5,3,0,8,8,0,0,13,
"Segment 46",9,0,0,10,0,0,0,21,
"Segment 47",0,0,0,3,0,0,0,4,
"Segment 48",5,0,0,0,0,0,0,9,
"Segment 50",4,0,0,0,0,0,0,4,
"Total",301,70,0,431,50,30,7,885,


" $500-$649 ($26,000-$33,799),  Separate house"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"SA1 (EN)",
"Segment 01",1712,292,9,382,43,16,6,2467,
"Segment 02",3624,536,5,701,93,26,16,4995,
"Segment 03",1873,314,3,439,62,56,8,2766,
"Segment 04",2659,695,13,760,64,17,10,4216,
"Segment 05",3517,662,6,579,61,18,11,4856,
"Segment 06",1283,830,11,1130,39,7,11,3298,
"Segment 07",925,645,7,781,36,0,12,2411,
"Segment 08",996,146,3,327,44,5,7,1523,
"Segment 09",1755,421,5,511,48,14,5,2755,
"Segment 10",1516,405,3,825,26,16,6,2811,
"Segment 11",3626,726,9,1049,87,37,15,5550,
"Segment 12",2822,992,7,1001,49,19,9,4892,
"Segment 13",3445,1364,35,3144,70,252,25,8330,
"Segment 14",2086,674,10,2442,52,16,15,5295,
"Segment 15",368,262,3,563,18,0,0,1215,
"Segment 16",48,4,0,52,4,0,0,114,
"Segment 17",1310,430,14,1024,42,9,9,2835,
"Segment 18",477,87,4,329,17,0,0,914,
"Segment 19",2943,963,15,2038,91,26,14,6092,
"Segment 20",5288,891,16,1955,105,47,16,8316,
"Segment 21",1211,178,0,463,22,56,8,1940,
"Segment 22",467,116,0,358,11,7,0,970,
"Segment 23",2612,424,9,839,65,35,9,3995,
"Segment 24",3572,819,17,1770,53,63,16,6309,
"Segment 25",2792,564,16,1982,100,37,15,5500,
"Segment 26",1299,460,6,1105,46,6,9,2929,
"Segment 27",2419,783,11,1876,81,13,12,5204,
"Segment 28",1350,502,12,1143,52,16,14,3087,
"Segment 29",2609,864,23,3097,64,43,20,6713,
"Segment 30",3435,1133,25,3257,61,61,17,7993,
"Segment 31",1704,448,13,3149,66,47,12,5447,
"Segment 32",1119,420,8,3675,36,27,5,5293,
"Segment 33",2688,820,9,1401,70,32,13,5039,
"Segment 34",3773,863,9,1072,84,16,16,5836,
"Segment 35",6242,970,7,2018,110,93,25,9463,
"Segment 36",7194,1534,9,4831,161,75,33,13833,
"Segment 37",6968,1741,20,7463,168,76,37,16473,
"Segment 38",9631,1000,46,4319,167,571,53,15804,
"Segment 39",978,267,6,439,47,3,7,1747,
"Segment 40",1890,515,12,1111,75,13,19,3638,
"Segment 41",976,217,0,563,71,10,11,1844,
"Segment 42",558,146,0,269,33,4,5,1011,
"Segment 43",1687,388,7,900,82,20,13,3090,
"Segment 44",4914,1179,9,2268,294,55,51,8777,
"Segment 45",1714,447,0,734,130,14,20,3052,
"Segment 46",2602,619,3,1292,192,24,24,4758,
"Segment 47",315,51,0,165,59,5,8,602,
"Segment 48",283,85,0,1250,35,4,12,1677,
"Segment 50",164,44,0,129,10,0,3,356,
"Total",119436,28954,445,72978,3502,2006,695,228025,


" $500-$649 ($26,000-$33,799),  Semi-detached, row or terrace house, townhouse etc. with one storey"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"SA1 (EN)",
"Segment 01",269,20,6,273,23,106,0,695,
"Segment 02",510,61,0,401,18,57,5,1057,
"Segment 03",281,19,6,163,11,174,4,662,
"Segment 04",101,24,0,86,3,5,0,218,
"Segment 05",106,12,0,69,8,26,0,215,
"Segment 06",28,12,0,109,0,3,0,157,
"Segment 07",48,33,0,97,0,0,0,183,
"Segment 08",540,76,3,437,30,44,9,1136,
"Segment 09",197,33,0,128,18,16,0,400,
"Segment 10",200,45,4,405,4,51,6,709,
"Segment 11",409,51,8,271,15,79,4,827,
"Segment 12",57,22,0,74,6,7,0,167,
"Segment 13",209,46,0,421,5,76,4,756,
"Segment 14",316,67,5,849,14,23,3,1280,
"Segment 15",118,24,0,246,3,5,0,399,
"Segment 16",9,0,0,29,0,0,0,44,
"Segment 17",162,55,4,398,9,31,3,672,
"Segment 18",144,29,3,252,10,8,0,450,
"Segment 19",208,65,0,429,5,22,0,734,
"Segment 20",719,85,15,765,24,212,11,1832,
"Segment 21",307,35,10,341,7,171,10,871,
"Segment 22",108,27,0,186,12,6,0,341,
"Segment 23",309,58,3,405,29,51,0,854,
"Segment 24",424,64,17,647,4,153,3,1310,
"Segment 25",1002,171,9,1681,40,138,7,3050,
"Segment 26",113,46,5,321,9,36,0,522,
"Segment 27",266,94,6,534,13,26,6,940,
"Segment 28",90,29,0,358,10,21,4,515,
"Segment 29",457,97,5,1424,15,136,10,2139,
"Segment 30",552,122,16,1366,3,188,13,2258,
"Segment 31",720,172,16,3774,38,177,17,4918,
"Segment 32",216,64,9,1466,11,26,5,1799,
"Segment 33",83,24,0,206,3,3,0,323,
"Segment 34",91,7,3,100,4,20,0,233,
"Segment 35",301,33,10,369,13,160,0,891,
"Segment 36",542,84,6,1873,28,105,9,2650,
"Segment 37",912,142,13,4037,61,213,14,5390,
"Segment 38",2669,130,91,2441,45,1488,51,6916,
"Segment 39",19,5,0,91,0,8,0,127,
"Segment 40",134,25,0,355,7,17,0,536,
"Segment 41",20,5,0,124,0,8,0,162,
"Segment 42",22,5,0,71,0,18,0,121,
"Segment 43",76,11,3,314,4,22,0,423,
"Segment 44",81,9,0,277,4,38,3,412,
"Segment 45",39,0,0,81,0,25,0,148,
"Segment 46",63,6,0,271,6,24,3,371,
"Segment 47",6,0,0,7,0,0,0,19,
"Segment 48",0,0,0,165,7,0,0,180,
"Segment 50",0,0,0,20,0,0,0,21,
"Total",14251,2270,277,29221,577,4220,208,51026,


" $500-$649 ($26,000-$33,799),  Semi-detached, row or terrace house, townhouse etc. with two or more storeys"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"SA1 (EN)",
"Segment 01",219,36,8,179,14,26,0,481,
"Segment 02",349,60,0,140,10,11,3,576,
"Segment 03",181,24,0,122,6,22,0,347,
"Segment 04",27,13,0,23,0,0,0,65,
"Segment 05",33,7,0,8,0,0,0,52,
"Segment 06",17,5,0,27,0,0,0,56,
"Segment 07",46,37,0,98,0,0,0,181,
"Segment 08",547,113,6,485,28,6,5,1186,
"Segment 09",166,58,3,180,15,12,0,443,
"Segment 10",144,53,0,211,7,13,4,437,
"Segment 11",177,54,0,102,8,18,3,362,
"Segment 12",19,10,0,22,0,0,0,54,
"Segment 13",51,32,0,195,0,4,0,290,
"Segment 14",226,74,0,573,17,5,0,896,
"Segment 15",51,40,0,249,4,0,0,345,
"Segment 16",24,13,0,56,4,0,0,93,
"Segment 17",53,30,0,165,0,0,0,252,
"Segment 18",185,42,0,383,14,5,3,630,
"Segment 19",63,21,0,115,0,0,0,201,
"Segment 20",284,49,3,229,7,27,4,610,
"Segment 21",182,35,0,261,13,28,4,530,
"Segment 22",89,54,0,207,7,3,0,356,
"Segment 23",105,32,0,157,10,11,0,316,
"Segment 24",134,31,6,157,0,32,4,367,
"Segment 25",361,126,3,635,18,20,4,1170,
"Segment 26",96,51,0,290,3,0,0,437,
"Segment 27",143,90,3,505,9,6,0,762,
"Segment 28",52,45,0,222,5,5,0,333,
"Segment 29",134,52,4,470,7,30,3,695,
"Segment 30",119,47,0,481,0,21,0,672,
"Segment 31",428,135,7,2409,18,31,9,3032,
"Segment 32",73,25,0,1029,8,18,0,1152,
"Segment 33",16,6,0,39,0,0,0,65,
"Segment 34",24,3,0,18,0,0,0,42,
"Segment 35",76,8,0,70,3,14,0,168,
"Segment 36",87,26,0,284,5,5,0,407,
"Segment 37",175,44,0,799,11,8,0,1043,
"Segment 38",604,78,10,742,11,127,6,1585,
"Segment 39",4,0,0,8,0,0,0,16,
"Segment 40",20,4,0,115,0,0,0,138,
"Segment 41",19,0,0,16,0,0,0,37,
"Segment 42",5,0,0,16,0,0,0,16,
"Segment 43",11,3,0,67,0,0,0,85,
"Segment 44",17,0,0,44,0,0,0,64,
"Segment 45",6,0,0,4,0,0,0,11,
"Segment 46",20,3,0,33,0,0,0,48,
"Segment 47",0,0,0,0,0,0,0,0,
"Segment 48",0,0,0,21,0,0,0,24,
"Segment 50",3,0,0,0,0,0,0,0,
"Total",5869,1693,52,12674,259,503,70,21123,


" $500-$649 ($26,000-$33,799),  Flat or apartment in a one or two storey block"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"SA1 (EN)",
"Segment 01",124,19,0,372,14,28,3,555,
"Segment 02",185,39,3,431,10,48,6,715,
"Segment 03",161,12,5,299,7,82,3,568,
"Segment 04",15,3,5,61,0,10,0,92,
"Segment 05",14,3,0,18,0,4,0,38,
"Segment 06",0,0,0,9,0,0,0,5,
"Segment 07",5,4,0,14,0,0,0,29,
"Segment 08",506,109,6,1755,34,39,0,2457,
"Segment 09",90,10,0,252,9,21,5,384,
"Segment 10",81,19,0,344,3,20,0,475,
"Segment 11",109,20,0,159,6,26,0,328,
"Segment 12",3,3,0,21,0,0,0,29,
"Segment 13",27,3,0,114,0,12,0,163,
"Segment 14",119,36,3,740,4,32,0,941,
"Segment 15",73,25,0,418,3,0,0,524,
"Segment 16",51,14,0,272,5,0,0,349,
"Segment 17",59,23,0,351,4,0,0,437,
"Segment 18",118,39,0,779,22,12,3,976,
"Segment 19",42,12,0,159,4,5,0,224,
"Segment 20",173,38,0,497,10,69,0,785,
"Segment 21",126,26,10,492,15,89,0,758,
"Segment 22",104,26,0,358,4,3,0,501,
"Segment 23",110,35,0,528,12,48,0,731,
"Segment 24",96,24,0,326,3,21,3,471,
"Segment 25",274,81,7,1195,21,87,0,1662,
"Segment 26",68,36,0,477,4,3,0,585,
"Segment 27",70,22,0,434,8,17,0,556,
