SA2_CODE_2021,C21_CFNC_BPT_2000_2499,C21_CFNC_BPT_2500_2999,C21_CFNC_BPT_3000_3999,C21_CFNC_BPT_4000more,C21_CFNC_BPT_Ns,C21_CFNC_BPT_Tot,C21_CFNC_1F1P_Neg_ni_inc,C21_CFNC_1F1P_1_149,C21_CFNC_1F1P_150_399,C21_CFNC_1F1P_400_649,C21_CFNC_1F1P_650_799,C21_CFNC_1F1P_800_1249,C21_CFNC_1F1P_1250_1999,C21_CFNC_1F1P_2000_2499,C21_CFNC_1F1P_2500_2999,C21_CFNC_1F1P_3000_3999,C21_CFNC_1F1P_4000more,C21_CFNC_1F1P_Ns,C21_CFNC_1F1P_Tot,C21_CFNC_1E1A_Neg_ni_inc,C21_CFNC_1E1A_1_149,C21_CFNC_1E1A_150_399,C21_CFNC_1E1A_400_649,C21_CFNC_1E1A_650_799,C21_CFNC_1E1A_800_1249,C21_CFNC_1E1A_1250_1999,C21_CFNC_1E1A_2000_2499,C21_CFNC_1E1A_2500_2999,C21_CFNC_1E1A_3000_3999,C21_CFNC_1E1A_4000more,C21_CFNC_1E1A_Ns,C21_CFNC_1E1A_Tot,C21_CFNC_1F1NW_Neg_ni_inc,C21_CFNC_1F1NW_1_149,C21_CFNC_1F1NW_150_399,C21_CFNC_1F1NW_400_649,C21_CFNC_1F1NW_650_799,C21_CFNC_1F1NW_800_1249,C21_CFNC_1F1NW_1250_1999,C21_CFNC_1F1NW_2000_2499,C21_CFNC_1F1NW_2500_2999,C21_CFNC_1F1NW_3000_3999,C21_CFNC_1F1NW_4000more,C21_CFNC_1F1NW_Ns,C21_CFNC_1F1NW_Tot,C21_CFNC_1P1NW_Neg_ni_inc,C21_CFNC_1P1NW_1_149,C21_CFNC_1P1NW_150_399,C21_CFNC_1P1NW_400_649,C21_CFNC_1P1NW_650_799,C21_CFNC_1P1NW_800_1249,C21_CFNC_1P1NW_1250_1999,C21_CFNC_1P1NW_2000_2499,C21_CFNC_1P1NW_2500_2999,C21_CFNC_1P1NW_3000_3999,C21_CFNC_1P1NW_4000more,C21_CFNC_1P1NW_Ns,C21_CFNC_1P1NW_Tot,C21_CFNC_1A1NW_Neg_ni_inc,C21_CFNC_1A1NW_1_149,C21_CFNC_1A1NW_150_399,C21_CFNC_1A1NW_400_649,C21_CFNC_1A1NW_650_799,C21_CFNC_1A1NW_800_1249,C21_CFNC_1A1NW_1250_1999,C21_CFNC_1A1NW_2000_2499,C21_CFNC_1A1NW_2500_2999,C21_CFNC_1A1NW_3000_3999,C21_CFNC_1A1NW_4000more,C21_CFNC_1A1NW_Ns,C21_CFNC_1A1NW_Tot,C21_CFNC_BA_Neg_ni_inc,C21_CFNC_BA_1_149,C21_CFNC_BA_150_399,C21_CFNC_BA_400_649,C21_CFNC_BA_650_799,C21_CFNC_BA_800_1249,C21_CFNC_BA_1250_1999,C21_CFNC_BA_2000_2499,C21_CFNC_BA_2500_2999,C21_CFNC_BA_3000_3999,C21_CFNC_BA_4000more,C21_CFNC_BA_Ns,C21_CFNC_BA_Tot,C21_CFNC_BNW_Neg_ni_inc,C21_CFNC_BNW_1_149,C21_CFNC_BNW_150_399,C21_CFNC_BNW_400_649,C21_CFNC_BNW_650_799,C21_CFNC_BNW_800_1249,C21_CFNC_BNW_1250_1999,C21_CFNC_BNW_2000_2499,C21_CFNC_BNW_2500_2999,C21_CFNC_BNW_3000_3999,C21_CFNC_BNW_4000more,C21_CFNC_BNW_Ns,C21_CFNC_BNW_Tot,C21_CFNC_LFns_Neg_ni_inc,C21_CFNC_LFns_1_149,C21_CFNC_LFns_150_399,C21_CFNC_LFns_400_649,C21_CFNC_LFns_650_799,C21_CFNC_LFns_800_1249,C21_CFNC_LFns_1250_1999,C21_CFNC_LFns_2000_2499,C21_CFNC_LFns_2500_2999,C21_CFNC_LFns_3000_3999,C21_CFNC_LFns_4000more,C21_CFNC_LFns_Ns,C21_CFNC_LFns_Tot,C21_CFNC_Tot_Neg_ni_inc,C21_CFNC_Tot_1_149,C21_CFNC_Tot_150_399,C21_CFNC_Tot_400_649,C21_CFNC_Tot_650_799,C21_CFNC_Tot_800_1249,C21_CFNC_Tot_1250_1999,C21_CFNC_Tot_2000_2499,C21_CFNC_Tot_2500_2999,C21_CFNC_Tot_3000_3999,C21_CFNC_Tot_4000more,C21_CFNC_Tot_Ns,C21_CFNC_Tot_Tot,C21_CF_BFT_Neg_ni_inc,C21_CF_BFT_1_149,C21_CF_BFT_150_399,C21_CF_BFT_400_649,C21_CF_BFT_650_799,C21_CF_BFT_800_1249,C21_CF_BFT_1250_1999,C21_CF_BFT_2000_2499,C21_CF_BFT_2500_2999,C21_CF_BFT_3000_3999,C21_CF_BFT_4000more,C21_CF_BFT_Ns,C21_CF_BFT_Tot,C21_CF_BPT_Neg_ni_inc,C21_CF_BPT_1_149,C21_CF_BPT_150_399,C21_CF_BPT_400_649,C21_CF_BPT_650_799,C21_CF_BPT_800_1249,C21_CF_BPT_1250_1999,C21_CF_BPT_2000_2499,C21_CF_BPT_2500_2999,C21_CF_BPT_3000_3999,C21_CF_BPT_4000more,C21_CF_BPT_Ns,C21_CF_BPT_Tot,C21_CF_1F1P_Neg_ni_inc,C21_CF_1F1P_1_149,C21_CF_1F1P_150_399,C21_CF_1F1P_400_649,C21_CF_1F1P_650_799,C21_CF_1F1P_800_1249,C21_CF_1F1P_1250_1999,C21_CF_1F1P_2000_2499,C21_CF_1F1P_2500_2999,C21_CF_1F1P_3000_3999,C21_CF_1F1P_4000more,C21_CF_1F1P_Ns,C21_CF_1F1P_Tot,C21_CF_1E1A_Neg_ni_inc,C21_CF_1E1A_1_149,C21_CF_1E1A_150_399,C21_CF_1E1A_400_649,C21_CF_1E1A_650_799,C21_CF_1E1A_800_1249,C21_CF_1E1A_1250_1999,C21_CF_1E1A_2000_2499,C21_CF_1E1A_2500_2999,C21_CF_1E1A_3000_3999,C21_CF_1E1A_4000more,C21_CF_1E1A_Ns,C21_CF_1E1A_Tot,C21_CF_1F1NW_Neg_ni_inc,C21_CF_1F1NW_1_149,C21_CF_1F1NW_150_399,C21_CF_1F1NW_400_649,C21_CF_1F1NW_650_799,C21_CF_1F1NW_800_1249,C21_CF_1F1NW_1250_1999,C21_CF_1F1NW_2000_2499,C21_CF_1F1NW_2500_2999,C21_CF_1F1NW_3000_3999,C21_CF_1F1NW_4000more,C21_CF_1F1NW_Ns,C21_CF_1F1NW_Tot,C21_CF_1P1NW_Neg_ni_inc,C21_CF_1P1NW_1_149,C21_CF_1P1NW_150_399,C21_CF_1P1NW_400_649,C21_CF_1P1NW_650_799,C21_CF_1P1NW_800_1249,C21_CF_1P1NW_1250_1999,C21_CF_1P1NW_2000_2499,C21_CF_1P1NW_2500_2999,C21_CF_1P1NW_3000_3999,C21_CF_1P1NW_4000more,C21_CF_1P1NW_Ns
101021007,3,3,8,0,0,43,0,0,0,3,0,5,31,22,7,3,13,0,93,0,0,0,0,0,0,4,0,4,5,4,0,20,0,5,4,0,0,9,19,12,7,3,11,5,61,0,0,0,4,6,10,22,8,3,3,3,0,64,0,0,3,0,0,4,3,0,0,0,0,0,10,0,0,0,0,0,0,3,4,0,0,0,0,7,5,3,9,22,41,57,38,7,5,5,3,0,205,0,0,0,0,0,0,0,0,0,0,0,37,40,12,14,13,32,50,101,144,72,46,62,65,52,670,0,0,0,0,0,0,5,17,15,27,42,12,120,0,0,0,0,0,4,7,3,5,0,4,0,23,0,0,0,0,0,3,15,19,11,24,14,5,100,0,0,0,0,0,0,7,0,8,5,6,0,26,0,0,0,0,0,7,16,8,0,7,6,0,53,0,0,0,0,5,0,5,5,4,0,0,3
101021008,5,4,0,0,0,23,0,0,0,0,0,3,34,24,19,14,12,0,109,0,0,0,0,0,0,3,4,4,3,3,0,20,0,0,0,0,0,8,27,10,6,6,5,0,77,0,0,0,0,0,11,19,3,8,4,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,4,4,0,12,22,6,0,17,53,55,59,17,5,4,0,0,239,0,0,0,0,0,0,0,0,0,0,0,27,34,20,6,0,25,64,87,164,116,89,112,89,42,808,0,0,0,0,0,0,10,38,47,92,140,18,346,0,0,0,0,0,3,11,5,3,4,14,3,42,0,0,0,0,0,3,42,39,37,65,49,9,244,0,0,0,0,0,0,4,9,12,33,16,0,77,0,0,0,0,0,8,38,22,12,19,22,4,129,0,0,0,0,4,7,11,6,6,6,12,4
101021009,10,6,5,0,0,51,0,0,0,4,0,3,58,49,38,23,10,5,187,0,0,0,0,0,6,5,10,4,11,5,3,32,0,0,0,4,5,20,48,18,5,7,6,0,120,0,0,3,3,4,8,19,0,3,0,0,0,48,0,0,0,0,0,4,4,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,9,11,6,3,13,63,54,66,15,8,10,8,4,249,0,0,0,0,0,0,0,0,0,0,0,34,36,14,6,8,27,74,107,255,176,130,173,117,44,1132,0,0,0,0,0,0,18,37,53,81,107,8,309,0,0,0,4,5,7,8,14,11,7,14,4,64,0,0,0,0,0,8,54,44,42,69,56,9,279,0,0,0,0,0,0,11,10,11,20,16,3,78,0,0,0,0,0,21,46,35,20,20,20,8,161,0,0,3,4,0,14,11,5,4,3,4,0
101021010,0,4,3,0,0,22,0,0,0,0,0,4,16,9,10,17,12,0,77,0,0,0,0,0,0,0,4,5,3,4,0,12,0,0,0,0,0,15,15,6,4,0,10,0,63,0,0,0,0,0,8,6,0,3,0,3,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,3,4,15,16,33,8,3,0,8,4,103,0,0,0,0,0,0,0,0,0,0,0,26,29,0,0,4,10,21,46,107,73,71,84,76,30,524,0,0,0,0,0,0,9,23,19,45,66,7,168,0,0,0,0,0,0,6,0,0,4,0,0,17,0,0,0,0,0,3,21,14,28,28,30,5,133,0,0,0,0,0,0,0,5,8,8,5,4,30,0,0,0,0,0,17,26,15,3,6,15,0,93,0,0,0,0,0,0,7,3,0,0,0,0
101021012,3,0,4,3,0,36,0,0,0,0,0,4,19,17,26,34,35,0,131,0,0,0,0,0,0,4,8,7,6,13,0,37,0,0,0,0,0,5,28,18,28,12,26,0,121,0,0,0,7,3,11,17,14,3,11,4,0,66,0,0,0,0,0,0,4,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,3,9,7,4,0,20,27,68,89,33,19,18,5,7,291,0,0,0,0,0,0,0,0,0,0,0,44,49,6,0,7,28,34,97,176,134,125,176,270,57,1111,0,0,0,0,0,0,3,31,44,164,531,34,816,0,0,0,0,0,0,5,4,4,8,17,4,44,0,0,0,0,0,0,20,53,84,153,223,11,555,0,0,0,0,0,0,6,14,17,41,60,10,146,0,0,0,0,0,4,31,44,15,36,88,6,231,0,0,0,0,0,6,7,4,6,11,14,0
101021610,0,0,0,6,0,7,0,0,0,0,0,0,0,8,15,14,19,0,51,0,0,0,0,0,0,0,3,3,4,11,0,18,0,0,0,0,5,3,6,8,4,6,13,0,47,0,0,0,0,0,5,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,5,0,9,10,0,0,3,6,13,10,3,3,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,15,13,10,0,0,3,9,24,21,58,66,135,155,15,503,0,0,0,0,0,0,13,24,48,129,227,16,461,0,0,0,0,0,0,8,0,4,7,5,0,24,0,0,0,0,0,0,11,32,54,108,100,10,317,0,0,0,0,0,0,0,5,18,44,43,3,112,0,0,0,0,0,0,19,20,19,27,38,3,121,0,0,0,0,0,0,0,0,3,6,3,0
101021611,11,7,9,16,0,94,0,0,0,0,0,6,34,37,41,50,76,0,254,0,0,0,0,0,4,7,12,11,18,29,4,77,0,0,0,0,6,17,33,36,20,23,58,0,191,5,0,0,8,12,27,35,28,12,16,13,0,166,0,0,0,0,0,4,8,8,6,0,6,0,29,0,0,0,0,0,0,0,0,3,3,0,0,11,30,10,4,30,68,126,144,78,40,19,19,11,581,0,0,0,0,3,0,5,0,0,0,0,80,86,36,13,8,46,94,213,330,255,194,290,457,106,2035,0,0,0,0,0,0,10,45,61,186,544,56,897,0,0,0,0,0,0,5,13,12,8,28,9,74,0,0,0,0,0,3,39,67,86,185,234,17,628,0,0,0,0,0,0,6,10,16,39,79,14,160,0,0,0,0,0,10,40,32,22,38,86,19,238,0,0,0,0,0,4,19,11,5,9,16,4
101031013,0,0,0,4,0,17,0,0,0,0,0,5,21,11,6,7,0,3,56,0,0,0,0,0,0,3,0,0,4,0,0,9,0,0,0,0,0,3,3,0,3,0,4,0,25,0,0,0,0,3,3,5,0,0,0,0,0,22,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,16,43,19,15,3,0,4,3,10,110,0,0,0,0,0,0,0,0,0,0,0,11,11,8,5,6,23,46,47,73,32,22,44,20,16,339,0,0,0,0,0,0,9,15,6,7,16,0,54,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,18,12,12,12,10,10,89,0,0,0,0,0,0,4,3,0,3,0,0,11,0,0,0,0,0,4,9,6,3,3,5,6,28,0,0,0,0,0,5,0,0,0,0,0,0
101031014,4,4,0,0,0,30,0,0,0,0,0,4,30,28,22,12,6,0,101,0,0,0,0,3,0,4,0,0,0,0,0,14,0,0,0,0,0,12,29,19,6,4,7,0,83,0,0,3,4,12,14,16,0,0,4,0,0,59,0,0,0,3,3,6,3,0,0,0,0,0,14,0,0,0,0,0,0,3,0,0,0,0,0,10,12,6,3,19,88,75,55,8,4,13,3,6,281,0,0,0,0,0,4,0,0,0,0,0,42,48,12,6,9,34,111,119,169,95,65,74,54,66,795,0,0,0,0,0,0,8,29,24,46,36,8,153,0,0,0,0,0,4,17,4,6,5,0,4,38,0,0,0,0,0,4,32,32,23,48,20,7,169,0,0,0,0,0,0,5,6,6,12,3,0,36,0,0,0,3,0,7,32,33,7,12,19,0,106,0,0,0,0,4,12,5,0,3,0,4,0
101031015,7,0,0,3,0,27,0,0,0,0,0,11,19,9,15,15,14,0,81,0,0,0,0,0,0,5,0,4,0,0,0,14,0,0,0,0,0,3,11,3,0,0,4,0,27,0,4,0,0,6,7,5,5,5,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,3,12,42,41,22,14,0,5,3,0,152,0,0,0,0,0,0,0,0,0,0,0,33,38,13,8,8,11,49,76,88,55,46,51,46,40,493,0,0,0,0,0,0,10,11,21,36,34,17,128,0,0,0,0,0,3,8,0,0,5,0,0,19,0,0,0,0,0,0,14,17,17,15,21,0,94,0,0,0,0,0,4,6,0,0,4,3,0,24,0,0,0,0,0,12,12,10,3,0,6,0,48,0,0,0,0,0,4,3,0,0,0,0,0
