SA2_CODE_2021,Ot_ty_Ed_Ins_Ft_st_C11_P,Ot_ty_Ed_Ins_Ft_st_C16_M,Ot_ty_Ed_Ins_Ft_st_C16_F,Ot_ty_Ed_Ins_Ft_st_C16_P,Ot_ty_Ed_Ins_Ft_st_C21_M,Ot_ty_Ed_Ins_Ft_st_C21_F,Ot_ty_Ed_Ins_Ft_st_C21_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,Ot_ty_Ed_Ins_Pt_st_C16_M,Ot_ty_Ed_Ins_Pt_st_C16_F,Ot_ty_Ed_Ins_Pt_st_C16_P,Ot_ty_Ed_Ins_Pt_st_C21_M,Ot_ty_Ed_Ins_Pt_st_C21_F,Ot_ty_Ed_Ins_Pt_st_C21_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,O_t_E_I_F_P_s_s_ns_C16_M,O_t_E_I_F_P_s_s_ns_C16_F,O_t_E_I_F_P_s_s_ns_C16_P,O_t_E_I_F_P_s_s_ns_C21_M,O_t_E_I_F_P_s_s_ns_C21_F,O_t_E_I_F_P_s_s_ns_C21_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Oth_ty_Edu_Ins_Tot_C16_M,Oth_ty_Edu_Ins_Tot_C16_F,Oth_ty_Edu_Ins_Tot_C16_P,Oth_ty_Edu_Ins_Tot_C21_M,Oth_ty_Edu_Ins_Tot_C21_F,Oth_ty_Edu_Ins_Tot_C21_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,Type_Educ_Insti_ns_C16_M,Type_Educ_Insti_ns_C16_F,Type_Educ_Insti_ns_C16_P,Type_Educ_Insti_ns_C21_M,Type_Educ_Insti_ns_C21_F,Type_Educ_Insti_ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
127021509,47,23,51,76,32,36,66,12,47,64,28,59,93,41,67,101,3,0,4,0,3,3,0,4,4,38,77,117,58,113,173,71,106,174,528,519,1048,388,362,749,453,495,946,2485,2514,5003,2529,2557,5086,2690,2772,5462
127021510,51,46,61,108,33,34,69,22,46,70,32,67,100,49,87,129,0,3,5,0,7,3,4,0,4,50,81,127,86,127,216,81,115,201,480,473,953,444,440,888,517,484,1001,2766,2716,5477,2734,2844,5580,2905,3044,5945
127021511,120,69,115,184,55,92,148,48,97,142,75,158,238,61,132,190,0,5,8,4,12,11,5,3,10,94,176,265,146,280,428,120,228,346,1213,1146,2355,801,828,1631,891,887,1779,3912,4034,7950,3857,4036,7893,3711,3759,7468
127021512,46,33,44,82,27,52,80,27,43,77,28,81,105,43,70,113,4,4,4,6,4,6,3,0,6,43,79,124,64,132,196,76,122,201,698,723,1421,621,610,1225,692,599,1288,2692,2721,5411,2817,2918,5732,3015,2907,5916
127021513,87,43,70,112,50,67,120,31,74,102,47,115,162,58,119,170,0,4,9,3,9,12,0,0,10,61,137,195,90,197,287,116,182,297,812,738,1554,614,657,1270,773,743,1520,3265,3251,6517,3316,3417,6741,3588,3614,7203
127021514,31,21,26,46,19,17,36,13,25,41,19,36,55,19,30,52,5,0,5,0,0,0,0,0,0,29,43,73,37,65,102,40,54,94,251,255,508,186,200,385,221,249,472,1482,1532,3013,1370,1527,2895,1425,1572,2999
127021515,202,142,183,321,73,88,160,32,87,121,64,118,188,95,152,247,0,4,12,4,0,6,0,4,3,128,210,333,217,300,516,169,240,412,608,626,1234,616,626,1239,739,686,1425,2656,2904,5555,2847,3042,5886,2919,3019,5936
127021516,106,74,96,169,59,81,138,32,52,86,44,91,135,85,106,191,0,3,3,3,0,4,4,3,7,82,114,198,123,188,313,147,186,335,653,736,1386,561,618,1182,715,725,1437,2816,3028,5851,3070,3231,6305,3526,3738,7263
127021517,38,15,19,36,25,17,43,10,10,20,10,32,42,16,44,61,0,0,0,0,0,0,0,0,0,23,31,60,27,53,80,44,62,101,207,209,415,175,189,367,220,203,430,1182,1210,2395,1238,1248,2482,1349,1332,2681
127021518,3,3,0,3,6,6,9,4,4,8,0,11,13,10,5,17,0,0,0,0,0,0,0,0,0,7,5,15,6,12,17,9,13,22,206,195,402,207,183,395,143,120,259,731,673,1404,707,654,1362,643,582,1225
127021519,41,52,73,119,37,46,82,25,39,58,34,64,98,56,87,146,6,3,8,0,0,0,4,3,6,44,66,110,81,137,222,96,138,235,676,652,1321,550,613,1159,519,497,1014,2589,2575,5162,2622,2820,5447,2945,3109,6052
127021520,29,23,36,56,22,22,39,9,32,42,17,38,51,30,45,74,4,7,6,0,0,3,0,0,0,24,54,83,37,74,109,45,71,119,281,265,544,245,265,511,213,217,431,1521,1552,3068,1552,1561,3110,1567,1623,3192
127021521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,0,0,0,3,0,4,5,4,8
127031522,40,21,44,64,28,34,63,17,51,73,29,50,75,37,62,93,0,0,0,0,0,0,0,0,0,28,85,115,49,86,139,63,91,157,652,681,1338,555,607,1162,458,472,935,2459,2584,5045,2566,2764,5329,2633,2835,5471
127031523,15,16,18,35,13,27,41,22,35,53,29,39,71,32,62,92,0,5,5,0,0,0,0,0,0,22,45,69,45,58,98,49,90,138,458,490,953,416,449,863,479,415,892,2170,2295,4466,2653,2794,5448,3207,3254,6462
127031524,30,29,32,62,29,20,48,34,55,92,35,57,93,44,59,105,0,0,0,0,0,0,0,0,0,53,67,120,63,92,158,71,84,155,440,398,838,522,382,907,584,483,1070,3212,3219,6433,3408,3313,6722,3548,3431,6978
127031599,25,27,51,78,31,33,66,13,11,25,17,43,61,29,50,78,0,0,0,0,0,3,0,0,0,27,28,50,51,96,147,59,89,148,542,483,1031,593,638,1227,574,571,1150,1846,1797,3637,2000,2158,4161,2262,2334,4593
127031601,25,19,14,37,26,21,46,10,7,19,13,26,44,20,25,45,3,0,3,4,0,4,0,0,3,27,20,44,35,42,81,55,46,101,366,332,701,445,427,871,324,291,616,845,788,1631,1008,1014,2018,982,999,1985
127031730,0,0,3,9,26,28,49,3,0,4,5,5,11,28,31,56,0,0,0,0,0,0,0,0,0,3,0,4,7,9,16,51,55,109,21,16,37,70,76,146,321,316,643,77,63,140,384,417,797,2113,2232,4350
127031731,79,55,60,110,60,75,133,23,44,74,54,88,139,75,98,171,0,3,5,0,3,0,0,4,3,59,97,159,107,147,255,133,173,306,952,974,1928,1120,1174,2296,974,999,1976,2203,2332,4530,2586,2808,5393,2904,3200,6101
127031732,84,42,37,79,55,51,104,22,38,61,24,53,83,48,59,105,3,0,3,0,0,0,3,0,3,56,86,145,66,92,157,109,108,216,631,679,1314,756,712,1470,550,576,1126,2071,2192,4262,2253,2277,4532,2287,2411,4699
127031733,19,27,25,53,21,29,50,19,37,58,24,40,65,28,39,70,0,0,0,0,0,0,0,4,0,19,50,72,49,69,119,49,73,121,418,421,841,339,349,685,338,390,725,2567,2586,5156,2733,2803,5538,2805,2926,5729
128011529,12,5,11,15,9,16,30,30,46,69,23,46,66,26,48,77,0,0,0,0,0,0,0,0,0,38,48,84,25,61,87,38,65,100,325,333,657,308,320,629,240,233,465,2411,2557,4971,2560,2537,5101,2682,2628,5314
128011530,24,11,16,29,17,15,35,27,56,80,30,60,87,38,74,112,0,5,7,0,0,3,4,0,4,34,73,111,41,75,121,58,89,153,577,629,1203,470,498,968,439,430,875,2444,2544,4989,2503,2498,5005,2829,2891,5716
128011531,17,9,10,21,12,17,26,27,35,57,28,37,64,42,53,96,0,0,0,0,0,0,0,0,0,36,43,78,37,45,81,50,71,121,442,449,895,384,427,809,339,425,766,1993,2074,4071,2060,2167,4229,2185,2326,4513
