SA2_CODE_2021,C21_OD_H_f_so_FH_Tot,C21_OD_H_f_so_LP_H,C21_OD_H_f_so_GH,C21_OD_H_f_so_OH,C21_OD_H_f_so_Tot,C21_OD_Tot_FH_CF_no_ch,C21_OD_Tot_FH_CF_w_ch,C21_OD_Tot_FH_One_PFam,C21_OD_Tot_FH_oth_fa,C21_OD_Tot_FH_Tot,C21_OD_Tot_LP_H,C21_OD_Tot_GH,C21_OD_Tot_OH,C21_OD_Tot_Tot,C21_DS_ns_FH_CF_no_ch,C21_DS_ns_FH_CF_w_ch,C21_DS_ns_FH_One_PFam,C21_DS_ns_FH_oth_fa,C21_DS_ns_FH_Tot,C21_DS_ns_LP_H,C21_DS_ns_GH,C21_DS_ns_OH,C21_DS_NS_Tot,C21_Tot_FH_CF_no_ch,C21_Tot_FH_CF_w_ch,C21_Tot_FH_One_PFam,C21_Tot_FH_oth_fa,C21_Tot_FH_Tot,C21_Tot_LP_H,C21_Tot_GH,C21_Tot_OH,C21_Tot_Tot
602031099,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,4,153,65,26,4,246,163,11,47,463
602031100,9,0,0,0,9,3,3,5,0,10,3,0,12,28,0,0,0,0,3,6,0,0,4,956,581,258,18,1814,876,73,224,2987
603011065,5,0,0,0,0,9,0,0,0,9,10,4,17,33,4,4,0,0,9,3,0,6,14,293,198,73,11,569,376,31,158,1130
603011066,0,0,0,0,0,4,0,0,0,7,7,0,0,14,0,0,0,0,0,0,0,0,0,391,376,116,13,888,284,16,95,1294
603011067,4,0,0,0,9,3,0,0,0,3,0,0,0,8,0,0,0,0,0,6,0,0,4,804,735,265,18,1824,606,48,170,2646
603011068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,6,10
603021069,3,0,0,0,0,6,0,0,0,10,21,0,21,53,0,0,0,0,0,0,0,6,7,582,301,97,10,985,366,15,139,1509
603021070,4,5,0,0,3,0,0,0,0,4,11,0,5,23,0,0,0,0,0,4,0,0,8,670,434,216,11,1325,545,41,138,2052
603021071,0,0,0,0,0,10,0,0,0,6,13,0,14,39,0,3,0,0,7,0,0,0,7,569,359,153,9,1095,512,50,138,1791
603021072,7,5,0,0,15,14,7,0,0,22,23,0,24,69,0,4,0,0,5,3,0,0,11,1126,1050,364,32,2568,763,75,186,3582
603031073,0,0,0,0,0,6,0,0,0,5,9,0,26,48,0,3,0,0,3,0,0,6,13,413,170,93,10,684,434,25,155,1302
603031074,3,0,0,0,4,13,3,0,0,16,6,0,28,50,3,0,0,0,3,11,4,14,34,889,322,150,15,1375,652,51,275,2350
604011075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,286,200,15,834,583,34,64,1512
604011076,0,0,0,0,0,3,0,0,0,3,3,0,0,9,5,0,0,0,4,0,0,0,4,738,614,148,14,1522,428,27,94,2070
604011077,3,6,0,3,13,6,0,0,0,3,6,0,29,40,0,0,0,0,0,0,0,0,0,412,310,249,16,997,603,61,110,1769
604011078,0,0,0,0,0,0,0,0,0,0,5,0,4,5,0,0,0,0,0,4,0,4,5,686,682,352,30,1741,825,61,127,2753
604011079,5,5,0,0,5,5,0,0,0,5,35,0,19,54,0,0,0,0,0,0,0,7,6,738,552,210,6,1511,604,39,100,2258
604011080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427,375,190,15,997,393,30,39,1457
604011081,5,4,5,0,5,15,5,0,0,18,27,5,8,51,4,0,0,0,4,0,0,0,4,543,354,209,8,1113,561,37,78,1788
604011082,7,3,0,0,18,8,4,6,0,16,5,0,8,32,0,0,0,0,0,8,0,0,5,896,648,374,29,1943,1099,55,119,3218
604011083,0,0,0,0,3,4,0,0,0,5,26,0,7,43,0,0,0,0,0,0,0,0,0,581,391,239,11,1213,520,35,112,1878
604011084,0,0,0,0,0,4,0,0,0,8,4,0,0,6,0,0,0,0,0,0,0,0,0,878,550,292,22,1744,919,41,112,2822
604021085,0,0,0,0,5,0,0,0,0,9,3,0,23,39,0,4,0,0,3,3,0,0,8,1593,1245,875,71,3784,2194,198,236,6410
604021086,3,4,0,0,3,19,5,11,0,33,45,0,40,126,0,0,0,0,0,4,0,0,4,567,377,350,24,1318,680,80,156,2231
604021087,0,0,0,0,0,0,0,0,0,5,6,4,7,20,3,0,0,0,4,8,0,5,9,669,535,252,28,1483,621,42,100,2242
