SA2_CODE_2021,C11_Neg_Ni_inc_R1_74,C11_Neg_Ni_inc_R75_99,C11_Neg_Ni_inc_R100_149,C11_Neg_Ni_inc_R150_199,C11_Neg_Ni_inc_R200_224,C11_Neg_Ni_inc_R225_274,C11_Neg_Ni_inc_R275_349,C11_Neg_Ni_inc_R350_449,C11_Neg_Ni_inc_R450_549,C11_Neg_Ni_inc_R550_649,C11_Neg_Ni_inc_R650more,C11_Neg_Ni_inc_R_NS,C11_Neg_Ni_inc_R_Tot,C11_1_149_R1_74,C11_1_149_R75_99,C11_1_149_R100_149,C11_1_149_R150_199,C11_1_149_R200_224,C11_1_149_R225_274,C11_1_149_R275_349,C11_1_149_R350_449,C11_1_149_R450_549,C11_1_149_R550_649,C11_1_149_R650more,C11_1_149_R_NS,C11_1_149_R_Tot,C11_150_299_R1_74,C11_150_299_R75_99,C11_150_299_R100_149,C11_150_299_R150_199,C11_150_299_R200_224,C11_150_299_R225_274,C11_150_299_R275_349,C11_150_299_R350_449,C11_150_299_R450_549,C11_150_299_R550_649,C11_150_299_R650more,C11_150_299_R_NS,C11_150_299_R_Tot,C11_300_399_R1_74,C11_300_399_R75_99,C11_300_399_R100_149,C11_300_399_R150_199,C11_300_399_R200_224,C11_300_399_R225_274,C11_300_399_R275_349,C11_300_399_R350_449,C11_300_399_R450_549,C11_300_399_R550_649,C11_300_399_R650more,C11_300_399_R_NS,C11_300_399_R_Tot,C11_400_499_R1_74,C11_400_499_R75_99,C11_400_499_R100_149,C11_400_499_R150_199,C11_400_499_R200_224,C11_400_499_R225_274,C11_400_499_R275_349,C11_400_499_R350_449,C11_400_499_R450_549,C11_400_499_R550_649,C11_400_499_R650more,C11_400_499_R_NS,C11_400_499_R_Tot,C11_500_649_R1_74,C11_500_649_R75_99,C11_500_649_R100_149,C11_500_649_R150_199,C11_500_649_R200_224,C11_500_649_R225_274,C11_500_649_R275_349,C11_500_649_R350_449,C11_500_649_R450_549,C11_500_649_R550_649,C11_500_649_R650more,C11_500_649_R_NS,C11_500_649_R_Tot,C11_650_799_R1_74,C11_650_799_R75_99,C11_650_799_R100_149,C11_650_799_R150_199,C11_650_799_R200_224,C11_650_799_R225_274,C11_650_799_R275_349,C11_650_799_R350_449,C11_650_799_R450_549,C11_650_799_R550_649,C11_650_799_R650more,C11_650_799_R_NS,C11_650_799_R_Tot,C11_800_999_R1_74,C11_800_999_R75_99,C11_800_999_R100_149,C11_800_999_R150_199,C11_800_999_R200_224,C11_800_999_R225_274,C11_800_999_R275_349,C11_800_999_R350_449,C11_800_999_R450_549,C11_800_999_R550_649,C11_800_999_R650more,C11_800_999_R_NS,C11_800_999_R_Tot,C11_1000_1249_R1_74,C11_1000_1249_R75_99,C11_1000_1249_R100_149,C11_1000_1249_R150_199,C11_1000_1249_R200_224,C11_1000_1249_R225_274,C11_1000_1249_R275_349,C11_1000_1249_R350_449,C11_1000_1249_R450_549,C11_1000_1249_R550_649,C11_1000_1249_R650more,C11_1000_1249_R_NS,C11_1000_1249_R_Tot,C11_1250_1499_R1_74,C11_1250_1499_R75_99,C11_1250_1499_R100_149,C11_1250_1499_R150_199,C11_1250_1499_R200_224,C11_1250_1499_R225_274,C11_1250_1499_R275_349,C11_1250_1499_R350_449,C11_1250_1499_R450_549,C11_1250_1499_R550_649,C11_1250_1499_R650more,C11_1250_1499_R_NS,C11_1250_1499_R_Tot,C11_1500_1999_R1_74,C11_1500_1999_R75_99,C11_1500_1999_R100_149,C11_1500_1999_R150_199,C11_1500_1999_R200_224,C11_1500_1999_R225_274,C11_1500_1999_R275_349,C11_1500_1999_R350_449,C11_1500_1999_R450_549,C11_1500_1999_R550_649,C11_1500_1999_R650more,C11_1500_1999_R_NS,C11_1500_1999_R_Tot,C11_2000_2499_R1_74,C11_2000_2499_R75_99,C11_2000_2499_R100_149,C11_2000_2499_R150_199,C11_2000_2499_R200_224,C11_2000_2499_R225_274,C11_2000_2499_R275_349,C11_2000_2499_R350_449,C11_2000_2499_R450_549,C11_2000_2499_R550_649,C11_2000_2499_R650more,C11_2000_2499_R_NS,C11_2000_2499_R_Tot,C11_2500_2999_R1_74,C11_2500_2999_R75_99,C11_2500_2999_R100_149,C11_2500_2999_R150_199,C11_2500_2999_R200_224,C11_2500_2999_R225_274,C11_2500_2999_R275_349,C11_2500_2999_R350_449,C11_2500_2999_R450_549,C11_2500_2999_R550_649,C11_2500_2999_R650more,C11_2500_2999_R_NS,C11_2500_2999_R_Tot,C11_3000_3999_R1_74,C11_3000_3999_R75_99,C11_3000_3999_R100_149,C11_3000_3999_R150_199,C11_3000_3999_R200_224,C11_3000_3999_R225_274,C11_3000_3999_R275_349,C11_3000_3999_R350_449,C11_3000_3999_R450_549,C11_3000_3999_R550_649,C11_3000_3999_R650more,C11_3000_3999_R_NS,C11_3000_3999_R_Tot,C11_4000more_R1_74,C11_4000more_R75_99,C11_4000more_R100_149,C11_4000more_R150_199,C11_4000more_R200_224,C11_4000more_R225_274,C11_4000more_R275_349,C11_4000more_R350_449,C11_4000more_R450_549,C11_4000more_R550_649,C11_4000more_R650more,C11_4000more_R_NS,C11_4000more_R_Tot,C11_PI_S_R1_74,C11_PI_S_R75_99,C11_PI_S_R100_149,C11_PI_S_R150_199,C11_PI_S_R200_224
101021007,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,3,3,0,0,0,0,0,0,20,0,0,0,10,3,9,3,0,0,0,0,0,25,0,0,4,3,3,3,0,0,0,0,0,0,14,0,0,0,3,8,5,0,5,0,0,0,0,25,0,0,4,0,4,3,6,0,0,0,0,0,16,0,0,0,4,3,5,0,0,0,0,0,0,15,0,0,0,5,0,7,6,6,0,0,0,0,19,0,0,0,0,0,8,6,0,0,0,0,0,25,0,0,0,3,0,3,0,0,0,0,0,0,17,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8
101021008,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,4,0,0,0,0,0,0,0,0,0,6,8,22,11,6,0,0,0,0,0,0,0,6,54,4,33,22,7,9,5,0,7,0,0,0,3,90,0,4,15,22,0,3,3,7,0,0,0,4,65,3,0,3,4,0,3,0,0,0,0,0,0,23,5,3,12,11,6,12,8,8,0,0,0,0,58,0,0,6,17,3,7,24,16,3,0,0,0,81,0,0,7,12,15,8,18,23,0,0,0,0,85,0,0,0,7,4,8,20,27,7,0,0,0,75,0,0,3,11,5,7,32,54,13,5,0,5,129,0,0,0,0,3,7,14,28,10,3,0,0,69,0,0,0,0,3,5,8,12,12,3,0,3,50,0,0,0,0,0,3,4,18,3,0,0,0,35,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,3,3
101021009,0,0,0,3,4,0,4,5,0,0,0,6,14,5,8,0,4,0,0,3,0,0,0,0,0,19,13,14,8,5,6,3,7,0,0,0,0,6,59,6,30,13,18,11,7,13,4,0,0,0,9,107,0,7,19,34,8,24,14,4,0,0,0,0,111,0,0,3,0,3,3,0,0,0,0,0,0,21,0,4,12,25,26,40,43,14,0,0,0,10,165,0,0,6,25,27,46,35,24,0,0,0,3,169,0,0,4,20,26,48,60,38,4,0,0,9,216,0,0,3,13,24,35,43,39,14,0,0,4,174,0,0,4,12,11,38,68,67,27,0,8,5,235,0,0,3,0,4,14,33,56,14,3,0,0,127,0,0,0,7,0,13,25,22,10,0,0,0,83,0,0,0,0,0,4,11,21,14,5,5,7,62,0,0,0,0,6,0,5,4,0,0,0,0,18,0,3,3,3,4
101021010,0,0,0,0,3,3,5,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,5,5,0,0,5,4,0,0,0,0,23,11,9,15,8,3,0,0,0,0,0,0,0,47,4,3,11,15,7,10,12,4,0,0,0,0,69,0,0,4,0,0,0,0,0,0,0,0,0,11,0,0,4,7,17,19,16,10,0,0,0,0,78,0,0,3,12,22,19,18,7,0,0,4,0,87,0,0,5,19,19,18,35,15,4,3,0,0,105,0,0,0,12,9,16,29,21,4,0,0,3,104,0,0,4,10,12,26,28,40,3,4,0,4,129,0,0,0,3,4,4,13,15,11,0,0,0,52,0,0,0,0,0,4,8,7,7,0,4,0,34,0,0,0,0,0,4,3,7,9,0,3,0,29,0,0,0,0,0,0,4,3,0,5,0,0,12,0,0,4,0,0
101021012,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,4,5,3,3,0,0,0,3,0,0,0,7,30,0,9,7,4,0,0,0,0,0,0,0,0,27,0,5,3,7,3,0,4,6,0,0,0,0,25,0,0,5,0,0,0,0,5,0,0,0,0,10,0,0,0,11,3,6,8,11,7,0,0,0,51,0,0,0,4,3,7,8,11,0,0,0,0,47,0,0,4,11,7,3,14,29,4,0,0,3,80,0,0,4,9,6,3,14,19,8,8,0,0,59,0,0,0,7,15,15,24,50,24,8,0,0,136,0,0,0,0,16,10,17,30,26,5,3,8,117,0,0,0,4,3,21,29,22,27,8,8,0,128,0,0,0,5,8,29,30,21,22,20,14,0,139,0,0,0,0,0,9,19,4,4,16,6,0,63,0,0,6,10,3
101021610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021611,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,4,10,4,3,4,7,0,0,0,3,0,0,0,0,19,0,0,0,6,6,6,3,3,0,0,0,0,25,0,0,0,4,0,3,0,0,0,0,0,0,7,0,0,0,4,0,3,7,3,4,0,0,3,23,0,3,0,4,0,0,6,7,4,0,0,0,35,0,0,0,0,3,5,13,7,0,0,0,0,38,4,0,0,0,7,6,9,10,13,0,0,0,51,0,0,0,6,3,6,14,23,3,8,0,3,68,0,0,4,0,7,6,13,19,5,3,0,0,55,4,0,0,0,0,4,11,17,6,3,3,0,50,0,0,0,0,0,0,5,9,8,12,0,0,43,0,0,0,0,0,0,0,0,0,3,7,0,13,5,0,0,0,0
101031013,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,5,13,8,3,5,0,0,0,0,0,0,0,0,0,16,4,6,8,3,0,0,0,0,0,0,0,0,24,0,0,3,3,0,0,0,0,0,0,0,0,14,5,0,11,7,5,0,0,0,0,0,0,0,29,0,0,8,7,0,0,0,0,0,0,0,0,19,3,0,6,0,4,0,0,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,5,0,0,0,0,0,0,0,0,10,0,0,4,0,0,0,0,0,0,0,0,3,4,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
101031014,0,0,8,0,0,0,0,0,0,0,0,0,9,0,6,7,0,0,0,0,0,0,0,0,0,17,3,11,26,16,7,0,0,0,0,0,0,0,62,5,19,36,16,11,10,4,0,0,0,0,0,97,0,4,27,26,15,16,0,0,0,0,0,4,99,0,0,8,7,10,5,0,0,0,0,0,0,46,0,7,23,24,11,17,3,0,0,0,0,3,88,0,3,16,21,9,17,0,0,0,0,6,0,67,0,0,5,15,11,18,9,0,0,0,0,0,57,0,0,7,3,5,15,8,0,0,0,0,0,47,0,0,3,4,14,20,7,3,0,0,0,0,65,0,0,0,11,0,3,6,0,0,0,0,0,21,0,0,3,3,0,8,9,5,0,0,0,0,20,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,11,8
101031015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,0,4,6,3,0,0,0,0,0,0,0,4,16,0,3,3,4,0,0,0,0,0,0,0,0,16,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,7,6,0,5,0,0,0,0,0,0,21,0,0,0,4,0,0,0,0,0,0,0,0,16,0,0,0,3,0,0,6,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,0,6,0,0,0,0,12,0,0,4,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5
